date,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1993-09-30,866989308.0,270010672.0,,,128189.0,103983672.0,-41882594.0,-67940777.0,28948773,28948773,201974386.0,308964781.0,-36019210.0,1372998933.0,314967983.0,12940235.0,155016009.0,,141008538.0,,-91679.0,,0.03339,,,36042895.0,0.0,2022945571.0,28948773,1643009605.0,20010672.0,,933831.0,933831.0,2934899.0,42987520.0,,,1060965848.0,2142903.0,7960935.0,,,242929562.0,383938100,,2366995731.0,80976520,-62059351.0,0.0,866989308.0,,,21810342.0,-14077277.0,,123964040,725987193.0,41889008.0,,161953042.0,461979723.0,334978655.0,1.0,50960512.0,961979723.0,379935966.0,,0.0,-993996798.0,,0.03339,215048026.0,,,,
1993-12-31,,256023299.0,,,132380.0,101955215.0,-24024569.0,,23031823,23031823,191024623.0,314005825.0,-6991285.0,1411967170.0,69896744.0,11030046.0,153958168.0,,165991698.0,,-933831.0,,,,,265909324.0,0.0,2023034154.0,23031823,1667990469.0,30050304.0,,,,4019794.0,44945443.0,,240005295.0,1053084459.0,,,,,208987040.0,374978738,,2769923220.0,45204305,-78997882.0,0.0,,,,30109219.0,-15033452.0,,90149748,713132115.0,34061869.0,,163782735.0,469949696.0,339952343.0,,54923618.0,969949696.0,355043685.0,,132380.0,-1357956050.0,,,208101667.0,,,,
1994-03-31,871488000.0,248027681.0,,,0.0,30034602.0,10934256.0,,22006920,22006920,209965398.0,323044983.0,-13010381.0,1418961938.0,280000000.0,13010381.0,151003460.0,,152941176.0,968858.0,968858.0,,0.01383,,,30034602.0,0.0,2034048443.0,22006920,1666989619.0,30034602.0,,968858.0,968858.0,4013841.0,43044983.0,,,1055086505.0,,,,,215086506.0,368027682,,2777024222.0,51903115,-40000000.0,0.0,871488000.0,,,-35017301.0,-13979239.0,,94948098,745051903.0,35017301.0,,163183391.0,478062284.0,310034602.0,-40000000.0,60069204.0,978961938.0,367058824.0,,138409.0,-1358062284.0,,0.01383,212041522.0,,,,
1994-06-30,866257619.0,250968456.0,,,138350.0,89915592.0,-25876149.0,,23934698,23934698,191062535.0,319037078.0,-13004981.0,1438018816.0,333010515.0,9961262.0,154952961.0,,162977310.0,-402.0,7055492.0,,0.02763,,,89915592.0,0.0,2078998340.0,23934698,1688987272.0,36939679.0,,8024350.0,8024350.0,4980631.0,45914619.0,,,1090066408.0,,,,,226065302.0,389042612,,2796070836.0,52019923,-56983951.0,0.0,866257619.0,,,20075408.0,-13967634.0,,97952408,720116215.0,33895960.0,,174045379.0,487963475.0,369950194.0,-56983951.0,55063641.0,988931931.0,390011068.0,,-1.0,-1358052020.0,,0.02763,210016602.0,,,,
1994-09-30,835369046.0,236004832.0,,,-138350.0,101019064.0,-30030587.0,,42019063,42019063,193985770.0,331990871.0,-17988992.0,1478990469.0,323936099.0,26983488.0,169015975.0,,173043362.0,-28733.0,-8024350.0,,0.0503,,,101019064.0,0.0,2097999732.0,42019063,1714995301.0,19062961.0,,,,4027386.0,48105776.0,,,1080950463.0,,,,,270908846.0,443952208,,2917035844.0,90884682,-79012827.0,0.0,835369046.0,,,10780261.0,-15011913.0,,138990458,737951403.0,69002551.0,,180024164.0,516042422.0,342999060.0,-79012827.0,57994362.0,1017049268.0,383004430.0,,0.0,-1438045375.0,,0.0503,211974762.0,,,,
1994-12-31,,224014588.0,,,-140273.0,158046032.0,-6086575.0,,32989334,32989334,190068733.0,343947258.0,-22035416.0,1559966335.0,231869827.0,15006406.0,163978118.0,,168957618.0,1024087.0,36049937.0,,,,,158046032.0,0.0,2201009959.0,32989334,1783980923.0,36049937.0,,36049937.0,36049937.0,2969141.0,41921857.0,,152054987.0,1165941927.0,,,,,259046653.0,428004271,,2979941086.0,73268789,-116049792.0,0.0,,,,35021501.0,-14973603.0,,115190646,745967176.0,47995740.0,,185777864.0,533034086.0,419974751.0,-116049792.0,68926059.0,1035068032.0,417029036.0,,-1.0,-1419974751.0,,,211951185.0,,,,
1995-03-31,810234174.0,198964601.0,,,1.0,46033301.0,13012453.0,,36938576,36938576,243039037.0,359031762.0,-21967259.0,1640968238.0,200083951.0,21967259.0,174059046.0,,178956205.0,979432.0,-32041416.0,,0.04559,,,46033301.0,35959144.0,2231985448.0,36938576,1839932839.0,20987827.0,,4057647.0,4057647.0,4057647.0,47992165.0,,142997062.0,1173919127.0,-59045753.0,,,,209038758.0,387994963,,3061004617.0,85070659,-90947251.0,0.0,810234174.0,-9934238.0,,20148313.0,-14971317.0,,133062824,809850287.0,58905835.0,,123968099.0,555058066.0,364068840.0,-90947251.0,70938855.0,1058066322.0,392052609.0,,-1.0,-1420036379.0,,0.04559,207779488.0,,,,
1995-06-30,855028144.0,195965418.0,,,-137232.0,89962308.0,-9032763.0,,44051050,44051050,246054618.0,365033622.0,-18937834.0,1686016193.0,208041718.0,27995060.0,160971593.0,,194044188.0,1079028.0,-2952409.0,,0.05152,,,89962308.0,0.0,2285028132.0,44051050,1881981611.0,21956910.0,,960615.0,960615.0,3979690.0,45050239.0,,146974063.0,1195965418.0,-1884671.0,,,,290929052.0,484973240,,3106079319.0,94963634,-84021872.0,0.0,855028144.0,12953313.0,,2769212.0,-13984357.0,,140013873,818992727.0,72046110.0,,195965418.0,585014409.0,376972691.0,-84021872.0,69987649.0,1089062714.0,403046521.0,,137231.0,-1420063126.0,,0.05152,207904487.0,,,,
1995-09-30,848080929.0,181915750.0,,,271387.0,126011367.0,-19944273.0,,39978535,39978535,242956802.0,375100617.0,-17976925.0,1750067078.0,209954387.0,22001610.0,167963510.0,,189965119.0,892975.0,-20932.0,,0.04714,,,126011367.0,0.0,2321974779.0,39978535,1931982828.0,21062517.0,,939093.0,939093.0,2951435.0,47955718.0,,152938020.0,1209015294.0,21890982.0,,,,279044809.0,469009928,,3170110008.0,83042663,-106088028.0,0.0,848080929.0,-7043760.0,,16121917.0,-17059888.0,,131070567,825060370.0,61980145.0,,196002146.0,607995707.0,383954924.0,-106088028.0,63992487.0,1112959485.0,389991951.0,,134156.0,-1420042930.0,,0.04714,207002951.0,,,,
1995-12-31,,173984183.0,,,-134156.0,136956755.0,13919314.0,,29931970,29931970,253067903.0,380965367.0,-24963655.0,1855058631.0,241068995.0,22994958.0,162939733.0,,200922608.0,48292.0,1063298.0,,,,,136956755.0,0.0,2440005454.0,29931970,2029042814.0,41041723.0,,2045269.0,2045269.0,3043373.0,48939156.0,,198936460.0,1313062449.0,55946996.0,,,,290056881.0,490979489,,3290019089.0,81068111,-149949121.0,0.0,,4979144.0,,2138633.0,-16024253.0,,130007267,832015271.0,52926928.0,,208988770.0,622034361.0,481047178.0,-149949121.0,75074840.0,1126943005.0,410962640.0,,0.0,-1434960458.0,,,197982001.0,,,,
1996-03-31,865992910.0,171945087.0,,,-1.0,72991709.0,25961669.0,,58991437,58991437,319015903.0,411988582.0,-19029496.0,1918037243.0,215033302.0,36971592.0,171945086.0,,165012913.0,951475.0,2038875.0,,0.06812,,,72991709.0,2038875.0,2535952154.0,58991437,2089982330.0,16039146.0,,3941824.0,3941824.0,2038875.0,50971864.0,,201984505.0,1364958543.0,-56137012.0,,,,341987223.0,507000136,,3868560554.0,117031399,-97050428.0,0.0,865992910.0,-9106973.0,,19165420.0,-16039146.0,,168003263,931901590.0,95963029.0,,224955824.0,664944950.0,433056953.0,-97050428.0,95963028.0,1170993612.0,445969825.0,,135926.0,-1950523311.0,,0.06812,200897105.0,,,,
1996-06-30,864122799.0,172940535.0,,,1.0,119043206.0,4043787.0,,56055646,56055646,337970540.0,431942171.0,-21003819.0,1990998363.0,197899619.0,33960720.0,160938352.0,,129023459.0,3244.0,-1084156.0,,0.06487,,,119043206.0,0.0,2584969995.0,56055646,2163938898.0,18003273.0,,3000546.0,3000546.0,954719.0,49000858.0,,186033824.0,1374795417.0,-8920271.0,,,,406983088.0,536006547,,3948172395.0,111974905,-123898836.0,0.0,864122799.0,11152800.0,,22978606.0,-16966855.0,,160975763,972858702.0,90016366.0,,295008183.0,704037098.0,401936716.0,-123898836.0,165984724.0,1210174577.0,421031097.0,,136389.0,-1957174032.0,,0.06487,202945991.0,,,,
1996-09-30,863503192.0,184615385.0,,,136146.0,73860252.0,-46206954.0,,40571818,40571818,246562287.0,380667120.0,-18243703.0,1776038121.0,213070116.0,22328114.0,170456093.0,,192784207.0,2040516.0,-36489096.0,,0.03065,,,73860252.0,0.0,2356432948.0,40571818,1960653506.0,21375085.0,,953029.0,953029.0,2995235.0,43117816.0,,155207624.0,1226957114.0,25438495.0,,,,283185841.0,475970048,,3217154527.0,84275017,-64278782.0,0.0,863503192.0,-6130238.0,,-2525238.0,-13692433.0,,133015657,837304289.0,62899932.0,,198910824.0,617018380.0,389652825.0,-64278782.0,64942138.0,1129475834.0,395779442.0,,136147.0,-1441116406.0,,0.03065,210074882.0,,,,
1996-12-31,,175140469.0,,,-136146.0,208135256.0,80200402.0,,64258548,64258548,394956832.0,491023708.0,-59048297.0,2208989996.0,255036316.0,59957424.0,147046732.0,,144638569.0,19703.0,34575079.0,,,,,208135256.0,0.0,2824037276.0,64258548,2384130465.0,30012334.0,,959298.0,959298.0,-5134182.0,60965924.0,,222968343.0,1577086474.0,47704303.0,,,,527355358.0,671993927,,3710017816.0,177992149,-253760579.0,0.0,,20118398.0,,35206481.0,-23330345.0,,238958073,1069069481.0,124215972.0,,349363209.0,738933808.0,508016993.0,-253760579.0,215977192.0,1246950802.0,439906811.0,,-137043.0,-1501027820.0,,,183088941.0,,,,
1997-03-31,868042435.0,172112988.0,,,-138466.0,90972030.0,73940737.0,,59955691,59955691,495015231.0,522985323.0,-32954860.0,2294932152.0,243976738.0,34062587.0,162004985.0,,147050678.0,969261.0,19939075.0,,0.06907,,,90972030.0,969261.0,2914981999.0,59955691,2467045140.0,22016062.0,,21046801.0,21046801.0,1938521.0,57047909.0,,163943506.0,1626003877.0,-57878704.0,,,,423982277.0,571032955,,3811548048.0,128911659,-144973691.0,0.0,868042435.0,-14954306.0,,31847134.0,-18969814.0,,185959568,1196067571.0,94018278.0,,295070618.0,779977845.0,429936306.0,-144973691.0,160066464.0,1288978122.0,447936860.0,,3877043.0,-1516615896.0,,0.06907,178067017.0,,,,
1997-06-30,812389794.0,203174603.0,,,138465.0,105025209.0,99006123.0,,28019324,28019324,616977226.0,534989648.0,-138026.0,2429951691.0,232988268.0,21946170.0,163008972.0,,119944790.0,-3077.0,-6964610.0,,0.03449,,,105025209.0,0.0,3047066943.0,28019324,2633126294.0,16977226.0,,13940649.0,13940649.0,4968944.0,51992809.0,,171980676.0,1748102139.0,23786226.0,,,,363008971.0,482953761,,3941752933.0,55072463,-210995943.0,0.0,812389794.0,-1056736.0,,1141133.0,-18021214.0,,107108350,1326155970.0,49965494.0,,307936508.0,789924086.0,421946170.0,-210995943.0,180952381.0,1298964803.0,413940649.0,,0.0,-1511801242.0,,0.03449,174189096.0,,,,
1997-09-30,867539978.0,196934125.0,,,138103.0,-5001520.0,-150988567.0,,62974727,62974727,666068223.0,568982185.0,138102.0,2564010496.0,278966993.0,36044745.0,174975832.0,,96947935.0,967251.0,3045422.0,,0.07259,,,-5001520.0,0.0,3203977351.0,62974727,2760944621.0,7043226.0,,29968236.0,29968236.0,3038254.0,60963425.0,,169037426.0,1858997376.0,64060714.0,,,,438061042.0,535008977,,4076646872.0,101919625,159035509.0,0.0,867539978.0,3996127.0,,-192910929.0,17932887.0,,162960918,1403949731.0,99019472.0,,336141417.0,834000829.0,455047645.0,159035509.0,194033973.0,1344979975.0,443032730.0,,138103.0,-1512636376.0,,0.07259,168899323.0,,,,
1997-12-31,,201000714.0,,,-138102.0,389990700.0,292980949.0,,72070438,72070438,766976412.0,610007148.0,15005865.0,2817012152.0,291922803.0,24964426.0,158970693.0,,194932577.0,3070139.0,-4011309.0,,,,,-457042895.0,0.0,3457040743.0,72070438,3018012866.0,42030021.0,,13009292.0,13009292.0,3065914.0,64020160.0,,178984989.0,2056040029.0,-23963947.0,,,,364023211.0,558955788,,4470050036.0,85094914,-687125918.0,0.0,,6337.0,,,-54994754.0,,149115074,1543102216.0,97034864.0,,278928297.0,888062902.0,512937813.0,144896955.0,136916627.0,1401000715.0,439027877.0,,1.0,-1653037884.0,,,166118656.0,,,,
1998-03-31,880135736.0,197872340.0,,,0.0,144964539.0,126950355.0,-260992908.0,50070922,50070922,942978723.0,640992908.0,3971631.0,3011063830.0,273900709.0,33049645.0,164964539.0,,125957447.0,1985816.0,17021277.0,,0.05689,,,-116028369.0,13049645.0,3647943262.0,50070922,3208936170.0,10070922.0,,30070922.0,30070922.0,4964539.0,61985816.0,,180992908.0,2213900709.0,992908.0,,,,417021276.0,542978723,,4651205674.0,83971631,-255035461.0,0.0,880135736.0,-5957447.0,,-141845.0,-19007092.0,,145957447,1748936170.0,83120567.0,,333049645.0,919007092.0,464964539.0,-992908.0,194042553.0,1434042553.0,439007092.0,,0.0,-1640141844.0,,0.05689,164964539.0,,,,
1998-06-30,873910161.0,191974129.0,,,146995.0,111098962.0,188057730.0,-289940504.0,44980156,44980156,1140967220.0,665000735.0,2057916.0,3245038953.0,244009995.0,26017933.0,164927238.0,,79964721.0,954063.0,5909783.0,,0.05147,,,-178841542.0,0.0,3859032780.0,44980156,3437013082.0,17051301.0,,36013523.0,36013523.0,6026753.0,65016977.0,,160958401.0,2397030722.0,-27010841.0,,,,418050860.0,498015581,,4944730266.0,75113920,-292958071.0,0.0,873910161.0,-69306.0,,141844.0,-18035389.0,,140130897,1975011025.0,70998089.0,,342936940.0,946053212.0,422019697.0,-5033845.0,196971924.0,1462002058.0,422019697.0,,146994.0,-1699691313.0,,0.05147,169043070.0,,,,
1998-09-30,855619430.0,195868401.0,,,6027.0,120983171.0,77034761.0,-215095662.0,48967100,48967100,1239938791.0,717061974.0,1071155.0,3386074981.0,213925019.0,22035195.0,164957919.0,,106044376.0,1038698.0,-16963195.0,,0.05723,,,-94112491.0,0.0,4001989288.0,48967100,3581943382.0,11017598.0,,18974751.0,18974751.0,5049732.0,67029342.0,,157000765.0,2508951798.0,-48962939.0,,,,424942617.0,530986993,,5155470543.0,74980873,-214975098.0,0.0,855619430.0,58888.0,,,-18963640.0,,142010215,2127008416.0,71002295.0,,349961744.0,975975516.0,381943382.0,9087197.0,198928845.0,1493037490.0,420045907.0,,153023.0,-1769395562.0,,0.05723,170007651.0,,,,
1998-12-31,,199071207.0,,,1777.0,135956424.0,44954058.0,-170039037.0,43931818,43931818,1297987616.0,756037152.0,1010515.0,3504024768.0,227863777.0,28029590.0,175077399.0,,172043486.0,974983.0,7035231.0,,,,,-34082613.0,0.0,4104024768.0,43931818,3703095975.0,17027864.0,,26006192.0,26006192.0,7926478.0,69899754.0,,125077399.0,2584984520.0,8107807.0,40948951.0,,,323916230.0,495959716,,5323993808.0,78877370,-174028274.0,0.0,,-9976407.0,,,-19071278.0,,148777124,2215015480.0,71961408.0,,245038860.0,1000928793.0,369969040.0,-14979949.0,91989786.0,1519040248.0,400928793.0,,9907122.0,-1819969040.0,,,160990712.0,,,,
1999-03-31,882352000.0,196226415.0,,,-1509434.0,31698113.0,181132075.0,-185660377.0,15094340,15094340,987169811.0,760754717.0,1.0,3613584906.0,199245283.0,9056604.0,182641509.0,,108679245.0,508679245.0,28679245.0,211320755.0,0.015396,507169811.0,,-153962264.0,25660377.0,4270188679.0,13584906,3809811321.0,18113208.0,,54339623.0,54339623.0,12075472.0,75471698.0,,122264151.0,2247547170.0,-61886792.0,4528302.0,,,360754717.0,469433962,,5433962264.0,36226415,-184150943.0,54339623.0,882352000.0,-7547170.0,,-1.0,-19622642.0,,111698113,1907924528.0,24150944.0,,324528302.0,996226415.0,339622642.0,-3018868.0,172075472.0,2022641509.0,460377358.0,,12075471.0,-1820377358.0,,0.015396,160000000.0,,,,
1999-06-30,882352000.0,214139044.0,,,2976139.0,170707284.0,22740028.0,-245551122.0,36667644,36667644,1041361103.0,772953945.0,8800235.0,3763567028.0,221472572.0,30800821.0,158404224.0,,156937518.0,3201072.0,-36012774.0,252273394.0,0.033245,513347023.0,,-74843838.0,54339623.0,4413317688.0,29334116,3977706072.0,14667058.0,,19067175.0,19067175.0,7333529.0,77065703.0,,154004107.0,2371663244.0,44286323.0,24805814.0,,,407744207.0,564681725,,5583748900.0,66001761,-229460087.0,19067175.0,882352000.0,25147639.0,,-2933412.0,-31712060.0,,143737167,1981519507.0,67468465.0,,341742446.0,1006160164.0,390143737.0,-26315248.0,178938105.0,2041654444.0,435611616.0,,5866823.0,-1820181872.0,,0.033245,167204459.0,,,,
1999-09-30,884048000.0,206896552.0,,,-1466705.0,242202086.0,54381749.0,,73367572,73367572,1128393250.0,787967718.0,24944974.0,4022010271.0,255319148.0,42553191.0,148202494.0,,179016875.0,225332.0,-2937931.0,262655906.0,0.074691,513573001.0,,673413585.0,19067175.0,4655906090.0,66030814,4228906823.0,8804109.0,,16140866.0,16140866.0,4402054.0,77836774.0,,209831255.0,2564930301.0,92435392.0,,,,459280997.0,638297872,,5841526045.0,95377842,-299521765.0,16140866.0,884048000.0,8811857.0,,4400763.0,-30836978.0,,173214616,2090975789.0,115920763.0,,363903155.0,1053558327.0,473954512.0,-683798679.0,202494497.0,2090975789.0,426999266.0,,0.0,-1819515774.0,,0.074691,174614821.0,,,,
1999-12-31,,177951390.0,,,-1446759.0,393066128.0,172880407.0,,74927906,74927906,1306423611.0,839120370.0,973139.0,4528356481.0,400752314.0,52376931.0,160590278.0,,213667980.0,1493888.0,-11429929.0,290798611.0,,513599537.0,13020833.0,-956760261.0,16140866.0,5176504630.0,67900032,4719328704.0,33275463.0,,4340278.0,4340278.0,2564044.0,87912862.0,,276331019.0,3035300926.0,172560910.0,,,,497831240.0,711499220,,6464120370.0,126002222,-577376464.0,4340278.0,,-11944733.0,,,-29228783.0,,213915084,2324942130.0,127304837.0,,371829018.0,1103877315.0,710358796.0,679857332.0,196229807.0,2141203704.0,457175926.0,,1446759.0,-1935763889.0,,,179398149.0,,,,
2000-03-31,884256000.0,176888502.0,,,1449906.0,143540670.0,314629549.0,,104393214,104393214,1661591997.0,858344208.0,1449906.0,4909380890.0,301580397.0,75395099.0,169638973.0,,207336523.0,1449906.0,-1449906.0,342177758.0,0.12016,514716543.0,,143540670.0,4349717.0,5653182543.0,98593591,5086269392.0,15948963.0,,2899812.0,2899812.0,,91344063.0,,323328984.0,3405828621.0,-126141801.0,,,,571262868.0,778599391,,6845005074.0,178338408,-459620125.0,2899812.0,884256000.0,-8699435.0,,1449906.0,-30448021.0,,269682471,2764970277.0,179788313.0,,392924460.0,1206321589.0,640858344.0,-459620125.0,217485863.0,2247353922.0,566913151.0,,52196608.0,-1935624184.0,,0.12016,245034072.0,,,,
