date,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1989-01-31,,186800000,,854912000.0,,,,,,,,,,,186800000,,,,186800000,,,0.03,,,,,,,,,,,,,23800000,,,,,,,,,,,,,,,,,,854912000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1989-04-30,,-414100000,,,,,,,,,,471500000.0,286000000.0,,197900000,231600000.0,307300000.0,,-414100000,,421200000.0,,39200000.0,,7800000.0,32900000.0,,,,,,,473600000.0,,25400000,,54400000.0,,,,151400000.0,,119600000.0,-155900000.0,51300000.0,13700000.0,51300000.0,72100000.0,,,,149100000.0,,,,37900000.0,,,,,,759600000.0,,159500000.0,,,,338400000.0,,,,,,,,,
1989-07-31,,191900000,,855424000.0,,,,,,,,,,,191900000,,,,191900000,,,0.03,,,,,,,,,,,,,24400000,,,,,,,,,,,,,,,,,,855424000.0,,,,,,,,,,,,,,,,,,,,,0.03,,,
1989-10-31,26200000.0,49600000,,873333333.0,,,,,,,,514100000.0,277700000.0,,200600000,227900000.0,334800000.0,,40100000,,433000000.0,0.03,66000000.0,,,35800000.0,,,55400000.0,145200000.0,26200000.0,,517500000.0,95600000.0,26200000,,49800000.0,,,800000.0,163900000.0,12300000.0,123900000.0,-170900000.0,29200000.0,14000000.0,29200000.0,,2500000.0,105100000.0,,147200000.0,873333333.0,,,51100000.0,,,,38500000.0,,795200000.0,,112200000.0,,,,362200000.0,,115700000.0,,,,0.03,,,
1990-01-31,27100000.0,51900000,,677500000.0,,,-4800000.0,0.0,-42500000.0,,-22600000.0,558800000.0,287300000.0,,207400000,235700000.0,351000000.0,,41100000,-17500000.0,441200000.0,0.04,57800000.0,,,37100000.0,,,57200000.0,150200000.0,27100000.0,,525600000.0,98300000.0,27100000,,51600000.0,-28600000.0,,1500000.0,171500000.0,12700000.0,130800000.0,-179500000.0,24600000.0,14500000.0,24600000.0,,2800000.0,109100000.0,0.0,146200000.0,677500000.0,,17700000.0,54000000.0,45100000.0,-13900000.0,20200000.0,39800000.0,,812900000.0,-4500000.0,122400000.0,6300000.0,,,371700000.0,10700000.0,113300000.0,,0.0,,0.04,,,
1990-04-30,31000000.0,54500000,,,,,-4700000.0,0.0,-14900000.0,,-14600000.0,572600000.0,315500000.0,,236700000,260400000.0,360400000.0,,46800000,-1900000.0,478800000.0,,61500000.0,,8000000.0,29900000.0,,,68500000.0,168200000.0,31000000.0,,541000000.0,113700000.0,31000000,,55100000.0,2700000.0,,1600000.0,178100000.0,14700000.0,128000000.0,-182300000.0,36200000.0,17200000.0,36200000.0,86300000.0,2700000.0,121400000.0,-100000.0,142900000.0,,,-10700000.0,56700000.0,2100000.0,-14100000.0,37100000.0,45700000.0,,856500000.0,11600000.0,130900000.0,23000000.0,,,377700000.0,7700000.0,43200000.0,,0.0,,,,,
1990-07-31,28800000.0,54100000,,720000000.0,,,-5600000.0,0.0,-9200000.0,,,598100000.0,315300000.0,,225100000,266500000.0,372400000.0,,42900000,-15300000.0,495300000.0,0.04,53200000.0,,,31300000.0,,,63400000.0,161700000.0,28800000.0,,567800000.0,107600000.0,28800000,,48800000.0,2500000.0,,1900000.0,181200000.0,13000000.0,133900000.0,-191200000.0,55900000.0,17500000.0,55900000.0,,3100000.0,118800000.0,100000.0,147800000.0,720000000.0,,4300000.0,58800000.0,2300000.0,-11700000.0,24700000.0,41800000.0,,883100000.0,19700000.0,131100000.0,13000000.0,,,387800000.0,11200000.0,135400000.0,,36200000.0,,0.04,,,
1990-10-31,28700000.0,57100000,,717500000.0,,,-6000000.0,0.0,-30800000.0,,,646500000.0,336100000.0,,254600000,283900000.0,397800000.0,,44000000,-23800000.0,567200000.0,0.04,79900000.0,,,33100000.0,,,73300000.0,181300000.0,28700000.0,,621300000.0,124200000.0,28700000,,52200000.0,-16200000.0,,2400000.0,192700000.0,14000000.0,149900000.0,-205100000.0,57700000.0,19100000.0,57700000.0,,3600000.0,137300000.0,-200000.0,146500000.0,717500000.0,,2200000.0,51000000.0,100000.0,-14600000.0,19500000.0,42700000.0,,957400000.0,-8800000.0,136700000.0,4900000.0,,,390200000.0,13100000.0,147200000.0,,0.0,,0.04,,,
1991-01-31,34200000.0,61300000,,855000000.0,,,-6100000.0,0.0,10500000.0,,,677700000.0,318700000.0,,252200000,265100000.0,421100000.0,,50700000,-28000000.0,565700000.0,0.04,59100000.0,,,35300000.0,,,70400000.0,181800000.0,34200000.0,,654400000.0,120500000.0,34200000,,53600000.0,23500000.0,,2600000.0,210100000.0,15900000.0,145200000.0,-211000000.0,71300000.0,18300000.0,71300000.0,,3200000.0,131100000.0,100000.0,145000000.0,855000000.0,,-11100000.0,52300000.0,7700000.0,-13000000.0,14300000.0,50100000.0,,973100000.0,13500000.0,130200000.0,1300000.0,,,407400000.0,8100000.0,134900000.0,,0.0,,0.04,,,
1991-04-30,40300000.0,74500000,,,,,-6100000.0,0.0,-43900000.0,,0.0,716100000.0,340900000.0,,281300000,292100000.0,426000000.0,,60400000,26800000.0,612100000.0,,83900000.0,,7900000.0,26400000.0,,,72800000.0,208500000.0,40300000.0,,683200000.0,134000000.0,40300000,,48800000.0,-16000000.0,,2400000.0,217200000.0,18800000.0,139400000.0,-208800000.0,88800000.0,14500000.0,88800000.0,90900000.0,3900000.0,148100000.0,0.0,140700000.0,,,-6400000.0,54100000.0,4300000.0,-26500000.0,68100000.0,59100000.0,,1024100000.0,17600000.0,145800000.0,41600000.0,,,412000000.0,14100000.0,55400000.0,,0.0,,,,,
1991-07-31,36100000.0,65100000,,902500000.0,-100000.0,-18000000.0,-7900000.0,0.0,-29900000.0,,-3300000.0,740900000.0,304900000.0,,264700000,256800000.0,433800000.0,,54800000,-22000000.0,598500000.0,0.04,103000000.0,,,33900000.0,,,72100000.0,192600000.0,36100000.0,,708300000.0,127500000.0,36100000,,48100000.0,-900000.0,,2200000.0,218200000.0,18200000.0,146400000.0,-215600000.0,66600000.0,14200000.0,66600000.0,81700000.0,2700000.0,137800000.0,100000.0,138300000.0,902500000.0,,-16500000.0,58200000.0,2700000.0,-11000000.0,24300000.0,54300000.0,,1013200000.0,-22200000.0,134900000.0,13300000.0,,,414700000.0,10300000.0,40200000.0,,88800000.0,,0.04,,,
1991-10-31,38500000.0,71300000,,770000000.0,,-10200000.0,-7200000.0,0.0,-40900000.0,,0.0,772700000.0,321500000.0,,279000000,270400000.0,456900000.0,,58400000,5100000.0,632000000.0,0.05,110300000.0,,,36500000.0,,,80400000.0,198600000.0,38500000.0,,743100000.0,127300000.0,38500000,,51100000.0,-10000000.0,,2700000.0,229300000.0,19400000.0,162000000.0,-227600000.0,66100000.0,14600000.0,66100000.0,80700000.0,3200000.0,140200000.0,0.0,137300000.0,770000000.0,,-16400000.0,66000000.0,500000.0,-20700000.0,56700000.0,57900000.0,,1064600000.0,-600000.0,141200000.0,36000000.0,,,432600000.0,12900000.0,48500000.0,,0.0,,0.05,,,
1992-01-31,39400000.0,69500000,,788000000.0,,14900000.0,-7100000.0,0.0,9100000.0,,-6800000.0,806900000.0,338900000.0,,299500000,281900000.0,465700000.0,,60100000,-44900000.0,668700000.0,0.05,86900000.0,-10200000.0,,42200000.0,,,92200000.0,207300000.0,39400000.0,,781100000.0,137800000.0,39400000,,57000000.0,5700000.0,,2600000.0,237600000.0,19900000.0,174600000.0,-228100000.0,85100000.0,14800000.0,85100000.0,86100000.0,3300000.0,147200000.0,-100000.0,136800000.0,788000000.0,,6000000.0,76900000.0,8800000.0,-12100000.0,3800000.0,59300000.0,,1120000000.0,19100000.0,140300000.0,-8300000.0,,,451300000.0,9400000.0,55500000.0,,0.0,,0.05,,,
1992-04-30,47400000.0,99500000,,,,1800000.0,-7100000.0,0.0,-16500000.0,,-28200000.0,824200000.0,367000000.0,,333700000,308600000.0,497600000.0,,72700000,-1700000.0,695900000.0,,89000000.0,-10400000.0,8600000.0,32100000.0,,,77700000.0,256000000.0,47400000.0,,796500000.0,156500000.0,47400000,,58400000.0,1100000.0,,2900000.0,256800000.0,23900000.0,173200000.0,-240800000.0,100800000.0,17700000.0,100800000.0,80600000.0,4200000.0,183300000.0,100000.0,135200000.0,,,-34200000.0,75600000.0,5100000.0,-33400000.0,66600000.0,71300000.0,,1163500000.0,15700000.0,161900000.0,33200000.0,14000000.0,,467600000.0,26800000.0,66100000.0,,0.0,,,,,
1992-07-31,45600000.0,87800000,,912000000.0,,-700000.0,-8300000.0,0.0,-39300000.0,,-1000000.0,865900000.0,327600000.0,,329900000,264800000.0,526700000.0,,69900000,-25800000.0,682400000.0,0.05,73200000.0,-16300000.0,,46000000.0,,,86800000.0,243100000.0,45600000.0,,849700000.0,155300000.0,45600000,,62800000.0,-26600000.0,,2400000.0,267900000.0,23000000.0,189800000.0,-258800000.0,66800000.0,16800000.0,66800000.0,50400000.0,3600000.0,173200000.0,0.0,151900000.0,912000000.0,,-32500000.0,75100000.0,5400000.0,-18900000.0,37700000.0,68600000.0,,1177300000.0,-34000000.0,157100000.0,18800000.0,6900000.0,,494900000.0,17900000.0,57300000.0,,100800000.0,,0.05,,,
1992-10-31,60200000.0,85800000,,860000000.0,,-27400000.0,-8400000.0,0.0,-34800000.0,,0.0,904700000.0,391100000.0,,331800000,273200000.0,536500000.0,,69200000,48300000.0,784900000.0,0.07,113700000.0,1300000.0,,95800000.0,,,88500000.0,243300000.0,60200000.0,,881200000.0,157500000.0,60200000,,117900000.0,7500000.0,,21600000.0,270100000.0,28500000.0,192100000.0,-266400000.0,135200000.0,22100000.0,135200000.0,45800000.0,2200000.0,174100000.0,100000.0,145700000.0,860000000.0,,-7300000.0,71600000.0,1400000.0,-17500000.0,110600000.0,88700000.0,,1272300000.0,68400000.0,167300000.0,93100000.0,2600000.0,,487400000.0,16600000.0,60100000.0,,0.0,,0.07,,,
1993-01-31,47800000.0,86900000,,956000000.0,300000.0,-31600000.0,-8300000.0,0.0,-44300000.0,,-10900000.0,942100000.0,402700000.0,,308200000,279400000.0,541200000.0,,71100000,-14600000.0,809400000.0,0.05,137200000.0,-4700000.0,,101400000.0,,,81600000.0,226600000.0,47800000.0,,906300000.0,139700000.0,47800000,,123300000.0,800000.0,,2300000.0,273300000.0,23000000.0,189300000.0,-267900000.0,143500000.0,21900000.0,143500000.0,54500000.0,2500000.0,155500000.0,-200000.0,142100000.0,956000000.0,,3400000.0,84200000.0,8900000.0,-17100000.0,49300000.0,70800000.0,,1309000000.0,8300000.0,170900000.0,32200000.0,3600000.0,,499600000.0,15800000.0,54000000.0,,0.0,,0.05,,,
1993-04-30,58000000.0,104900000,,,-100000.0,-12900000.0,-8300000.0,0.0,-44400000.0,,-131000000.0,870300000.0,445000000.0,,358300000,348100000.0,550500000.0,,85600000,19700000.0,774700000.0,,158600000.0,5000000.0,10900000.0,81000000.0,,,93500000.0,264800000.0,58000000.0,,841500000.0,159900000.0,58000000,,96900000.0,-6900000.0,,2500000.0,282800000.0,27900000.0,189100000.0,-267700000.0,77000000.0,5000000.0,77000000.0,91900000.0,2100000.0,179200000.0,100000.0,139600000.0,,,-116200000.0,89400000.0,1700000.0,-23600000.0,93900000.0,85900000.0,,1286500000.0,-66500000.0,174000000.0,70300000.0,-1000000.0,,511800000.0,19300000.0,82200000.0,,0.0,,,,,
1993-07-31,52500000.0,82800000,,875000000.0,,-10200000.0,-9800000.0,0.0,3100000.0,,-27400000.0,889000000.0,389300000.0,,331300000,286800000.0,543700000.0,,64700000,300000.0,718800000.0,0.06,77900000.0,5300000.0,,97700000.0,,,83200000.0,248100000.0,52500000.0,,843200000.0,165300000.0,52500000,,102500000.0,-3300000.0,,15600000.0,274900000.0,25900000.0,179600000.0,-268800000.0,67800000.0,4800000.0,67800000.0,40700000.0,2100000.0,183400000.0,0.0,135700000.0,875000000.0,,-73500000.0,103100000.0,3300000.0,-13900000.0,61500000.0,78400000.0,,1232500000.0,-9200000.0,178200000.0,47600000.0,9500000.0,,513700000.0,18100000.0,67900000.0,,77000000.0,,0.06,,,
1993-10-31,56200000.0,106300000,,802857143.0,,-32100000.0,-9700000.0,0.0,-17200000.0,,-24600000.0,912200000.0,361300000.0,,332100000,251600000.0,556600000.0,,83900000,-12800000.0,704900000.0,0.07,79300000.0,-5000000.0,,104900000.0,,,82200000.0,249900000.0,56200000.0,,866300000.0,143600000.0,56200000,,109700000.0,2600000.0,,2200000.0,273000000.0,27700000.0,183600000.0,-283600000.0,58100000.0,4800000.0,58100000.0,17200000.0,2200000.0,166000000.0,0.0,133400000.0,802857143.0,,-58300000.0,116300000.0,1300000.0,-12700000.0,65700000.0,83900000.0,,1227600000.0,-9700000.0,174000000.0,53000000.0,25000000.0,,522700000.0,22400000.0,60400000.0,,0.0,,0.07,,,
1994-01-31,56900000.0,103300000,,812857143.0,0.0,-45300000.0,-9700000.0,0.0,-39600000.0,,0.0,969300000.0,394600000.0,,334600000,283500000.0,562400000.0,,84500000,13200000.0,794300000.0,0.07,81300000.0,-4000000.0,,105700000.0,,,84400000.0,250200000.0,56900000.0,,920300000.0,107900000.0,56900000,,111100000.0,-13200000.0,,2500000.0,266800000.0,28000000.0,187400000.0,-295600000.0,119000000.0,5400000.0,119000000.0,27700000.0,2000000.0,165700000.0,0.0,139700000.0,812857143.0,39000000.0,11600000.0,114100000.0,10000000.0,-10500000.0,88900000.0,84900000.0,,1314900000.0,60900000.0,190200000.0,78400000.0,29400000.0,,520600000.0,18800000.0,65600000.0,,0.0,,0.07,,,
1994-04-30,66800000.0,118900000,,,,-21700000.0,-9800000.0,0.0,-204400000.0,,-1400000.0,1089700000.0,569800000.0,,392900000,439400000.0,610000000.0,,99600000,50300000.0,845900000.0,,110300000.0,-4400000.0,20200000.0,94300000.0,,,103300000.0,289600000.0,66800000.0,,1053500000.0,127400000.0,66800000,,130400000.0,-167100000.0,,2000000.0,301800000.0,32800000.0,213300000.0,-308200000.0,108700000.0,15900000.0,108700000.0,58200000.0,2000000.0,190000000.0,45700000.0,367200000.0,,43300000.0,53300000.0,108400000.0,1700000.0,-23700000.0,140800000.0,99600000.0,,1623300000.0,-10300000.0,280000000.0,117100000.0,29100000.0,,777400000.0,19300000.0,101200000.0,,0.0,,,,,
1994-07-31,65100000.0,128500000,,813750000.0,-100000.0,-10100000.0,-11800000.0,0.0,-23500000.0,,-59100000.0,1092200000.0,548500000.0,,403800000,415000000.0,647100000.0,,98300000,-27200000.0,819200000.0,0.08,113400000.0,2000000.0,,113800000.0,,,96200000.0,307600000.0,65100000.0,,1063400000.0,135000000.0,65100000,,133500000.0,4700000.0,,2300000.0,309800000.0,32800000.0,212600000.0,-337300000.0,77000000.0,19700000.0,77000000.0,92800000.0,2700000.0,209300000.0,-39200000.0,357200000.0,813750000.0,44100000.0,-76700000.0,125700000.0,1400000.0,-27900000.0,68000000.0,97900000.0,,1611900000.0,-31800000.0,250400000.0,40100000.0,9800000.0,,792700000.0,30200000.0,71800000.0,,108700000.0,,0.08,,,
1994-10-31,69700000.0,126800000,,871250000.0,0.0,-45500000.0,-11800000.0,0.0,-5200000.0,,0.0,1146700000.0,519800000.0,,408200000,395100000.0,669400000.0,,104100000,25700000.0,877600000.0,0.08,114600000.0,-500000.0,,105200000.0,,,105100000.0,303100000.0,69700000.0,,1135900000.0,131300000.0,69700000,,124700000.0,3300000.0,,2800000.0,309800000.0,35100000.0,219200000.0,-359600000.0,115000000.0,19500000.0,115000000.0,27900000.0,2100000.0,199000000.0,100000.0,350600000.0,871250000.0,45000000.0,-75100000.0,117700000.0,2200000.0,-15300000.0,118100000.0,104800000.0,,1655700000.0,38100000.0,278100000.0,102800000.0,52300000.0,,778100000.0,22700000.0,89100000.0,,0.0,,0.08,,,
1995-01-31,71400000.0,130000000,,892500000.0,0.0,-84900000.0,-11800000.0,0.0,-68900000.0,,0.0,1220000000.0,514300000.0,,413700000,385300000.0,682300000.0,,105500000,-24600000.0,910900000.0,0.08,118400000.0,3400000.0,,109500000.0,,,104700000.0,309000000.0,71400000.0,,1202600000.0,132200000.0,71400000,,129000000.0,400000.0,,3800000.0,313400000.0,36000000.0,212400000.0,-368900000.0,129300000.0,19500000.0,129300000.0,38100000.0,2000000.0,203500000.0,0.0,342400000.0,892500000.0,46800000.0,12600000.0,150200000.0,13500000.0,-22500000.0,71300000.0,107400000.0,,1716900000.0,14200000.0,256600000.0,48800000.0,38100000.0,,806000000.0,24500000.0,90600000.0,,0.0,,0.08,,,
1995-04-30,87800000.0,157400000,,,0.0,-148700000.0,-11800000.0,0.0,-142400000.0,,0.0,1329600000.0,611700000.0,,516700000,456100000.0,715500000.0,,128300000,12200000.0,1103900000.0,,369800000.0,2300000.0,14200000.0,105500000.0,,,127700000.0,389000000.0,87800000.0,,1335000000.0,176100000.0,87800000,,155600000.0,-20800000.0,,5900000.0,331100000.0,44200000.0,221900000.0,-384400000.0,98300000.0,35900000.0,98300000.0,33500000.0,2200000.0,260700000.0,0.0,363300000.0,,55500000.0,-20500000.0,148400000.0,4800000.0,-31200000.0,129800000.0,132000000.0,,1946700000.0,-30900000.0,299600000.0,98600000.0,58300000.0,,842800000.0,29100000.0,123000000.0,,0.0,,,,,
