date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyLongTermDebt,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable
1986-09-30,,,,,,450000000.0,,,,,,,,,,,,,,,700000,,,,,,,,,,,,,700000,-0.016667,,700000,,,,,,,,,,,,,,-7500000,450000000.0,,,-7500000,,,-7500000,,,,,,,,-0.016667,,,,,,,,,,,
1986-12-31,,1400000.0,,,,,,,89300000.0,,,,,,,,-18500000.0,,,7200000.0,-34700000,,,-82000000.0,,18700000.0,,,,,,,,800000,,,-34700000,73600000.0,37200000.0,,0.0,,100900000.0,,,,,,,,-7700000,,,,-7700000,,4400000.0,-7700000,,,,70500000.0,,,70500000.0,,5500000.0,,,,3100000.0,,27300000.0,,11600000.0,,
1987-03-31,,,,,,480000000.0,,,,,,,,,,,,,,,3200000,,,,,,,,,,,,,3200000,-0.011667,,3200000,,,,,,,,,,,,,,-5600000,480000000.0,,,-5600000,,,-5600000,,,,,,,,-0.011667,,,,,,,,,,,
1987-06-30,,,,,,495000000.0,,,,,,,,,,,,,,,1700000,,,,,,,,,,,,,1700000,-0.013333,,1700000,,,,,,,,,,,,,,-6600000,495000000.0,,,-6600000,,,-6600000,,,,,,,,-0.013333,,,,,,,,,,,
1987-09-30,,,,,,525000000.0,,,,,,,,,,,,,,,1800000,,,,,,,,,,,,,1800000,-0.013333,,1800000,,,,,,,,,,,,,,-7000000,525000000.0,,,-7000000,,,-7000000,,,,,,,,-0.013333,,,,,,,,,,,
1987-12-31,,700000.0,,,,,,,67900000.0,,,,,,,,-8700000.0,,,7600000.0,-31000000,,,-104600000.0,,14000000.0,,,,,,,,1800000,,,-31000000,57800000.0,22700000.0,,0.0,,80700000.0,,,,,,,,-3400000,,,,-3400000,,5200000.0,-3400000,,,,54400000.0,,,54400000.0,,5500000.0,,,,3400000.0,,22900000.0,,12800000.0,,
1988-03-31,,,,,,540000000.0,,,,,,,,,,,,,,,5600000,,,,,,,,,,,,,5600000,-0.001667,,5600000,,,,,,,,,,,,,,-900000,540000000.0,,,-900000,,,-900000,,,,,,,,-0.001667,,,,,,,,,,,
1988-06-30,,,,,,540000000.0,,,,,,,,,,,,,,,5800000,,,,,,,,,,,,,5800000,-0.001667,,5800000,,,,,,,,,,,,,,-900000,540000000.0,,,-900000,,,-900000,,,,,,,,-0.001667,,,,,,,,,,,
1988-09-30,,,,,,240000000.0,,,,,,,,,,,,,,,3600000,,,,,,,,,,,,,3600000,0.001667,,3600000,,,,,,,,,,,,,,400000,240000000.0,,,400000,,,400000,,,,,,,,0.001667,,,,,,,,,,,
1988-12-31,,1700000.0,,,,,,,68000000.0,,,,,,,,-11000000.0,,,8000000.0,-26900000,,,-105800000.0,,14500000.0,,,,,,,,5600000,,,-26900000,57600000.0,25500000.0,,100000.0,,80900000.0,,,,,,,,200000,,,,200000,,4800000.0,200000,,,,54300000.0,,,54300000.0,,5000000.0,,,,3800000.0,,23300000.0,,12900000.0,,
1989-03-31,,,,,,60000000.0,,,,,,,,,,,,,,,8100000,,,,,,,,,,,,,8100000,0.001667,,8100000,,,,,,,,,,,,,,100000,60000000.0,,,100000,,,100000,,,,,,,,0.001667,,,,,,,,,,,
1989-06-30,,,,,,120000000.0,,,,,,,,,,,,,,,6900000,,,,,,,,,,,,,6900000,-0.001667,,6900000,,,,,,,,,,,,,,-200000,120000000.0,,,-200000,,,-200000,,,,,,,,-0.001667,,,,,,,,,,,
1989-09-30,,79700000.0,,,,120000000.0,,,137400000.0,,,,200000.0,3000000.0,,,-12600000.0,2300000.0,,6500000.0,-2100000,,,-106900000.0,,15200000.0,,,,,,,,7000000,0.001667,,-2800000,119200000.0,27800000.0,,,,143900000.0,,,,,,,6800000.0,1700000,120000000.0,,4500000.0,1700000,,,200000,,,,32300000.0,,,32300000.0,0.001667,9500000.0,,,,,,24700000.0,,6500000.0,,
1989-12-31,,80600000.0,,,,,,1800000.0,139200000.0,,5300000.0,,200000.0,3500000.0,,,-12900000.0,2400000.0,0.0,6000000.0,-2200000,,,-105300000.0,,15300000.0,,,2000000.0,-1200000.0,,-700000.0,,7500000,,3500000.0,-3300000,119600000.0,28200000.0,-200000.0,,900000.0,145200000.0,,,4200000.0,,,,7300000.0,1600000,,,5000000.0,1600000,,,100000,2100000.0,-1400000.0,-2500000.0,33200000.0,,,33200000.0,,5800000.0,,200000.0,1100000.0,4500000.0,1400000.0,25600000.0,-900000.0,6000000.0,,
1990-03-31,,94600000.0,,,,120000000.0,33200000.0,,139900000.0,,-600000.0,,3800000.0,3600000.0,,,-13300000.0,2700000.0,,5800000.0,1100000,,,-105000000.0,1800000.0,16400000.0,,100000.0,2200000.0,-900000.0,,-1800000.0,,11800000,0.001667,-4700000.0,200000,118400000.0,29700000.0,-1700000.0,,-18900000.0,145700000.0,,,,,,,8000000.0,1700000,120000000.0,,1500000.0,1700000,,,200000,-16300000.0,-1500000.0,-13900000.0,14300000.0,,,14300000.0,0.001667,6200000.0,,600000.0,900000.0,4700000.0,-3700000.0,27300000.0,-3500000.0,5800000.0,,
1990-06-30,,94000000.0,,,,60000000.0,,,141600000.0,,-900000.0,,2600000.0,3400000.0,,,-13900000.0,2500000.0,,7000000.0,100000,,,-104900000.0,1700000.0,18300000.0,,100000.0,1400000.0,-100000.0,,-2400000.0,,12000000,0.001667,3800000.0,-800000,118400000.0,32200000.0,6100000.0,,2900000.0,148600000.0,,,,,,,9400000.0,1600000,60000000.0,,2400000.0,1600000,,,100000,-3200000.0,-1400000.0,100000.0,17200000.0,,,17200000.0,0.001667,6600000.0,,1300000.0,800000.0,5300000.0,2300000.0,30200000.0,3700000.0,7000000.0,,
1990-09-30,,95100000.0,,,,180000000.0,,,144200000.0,,-700000.0,,3200000.0,3500000.0,,,-14500000.0,2500000.0,,8800000.0,700000,,,-104600000.0,1900000.0,21900000.0,,100000.0,2300000.0,500000.0,,-4400000.0,,12500000,0.001667,-400000.0,-300000,118400000.0,36400000.0,2600000.0,,-2700000.0,153000000.0,,,,,,,9300000.0,1800000,180000000.0,,2100000.0,1800000,,,300000,-5700000.0,-1500000.0,-600000.0,14500000.0,,,14500000.0,0.001667,6900000.0,,2000000.0,1000000.0,5800000.0,-1600000.0,34600000.0,-1800000.0,8800000.0,,
1990-12-31,,95000000.0,,,,,,2800000.0,145700000.0,,-900000.0,,5000000.0,3600000.0,,,-15200000.0,2500000.0,,12700000.0,2500000,,,-103400000.0,2700000.0,23600000.0,,100000.0,2500000.0,-1300000.0,,-2500000.0,,13800000,,-400000.0,1400000,120800000.0,38800000.0,3700000.0,,-1900000.0,158500000.0,,,9900000.0,,,,8800000.0,2600000,,,1200000.0,2600000,,,1100000,-4300000.0,-1500000.0,-900000.0,12600000.0,,,12600000.0,,7800000.0,,200000.0,1100000.0,6300000.0,-4400000.0,37700000.0,1200000.0,12800000.0,,
1991-03-31,,89000000.0,,6400000.0,,420000000.0,12600000.0,,147800000.0,,-600000.0,,5600000.0,4500000.0,,,-15900000.0,3400000.0,,10200000.0,2200000,,,-102000000.0,3000000.0,26200000.0,,100000.0,2100000.0,-700000.0,,-3300000.0,,15900000,0.003333,-1200000.0,1100000,117900000.0,42100000.0,2700000.0,,4500000.0,158100000.0,,,,,,,10300000.0,2900000,420000000.0,,1900000.0,2900000,,,1400000,2500000.0,-1500000.0,,17100000.0,,,17100000.0,0.003333,7500000.0,,800000.0,1100000.0,6500000.0,1400000.0,40200000.0,-600000.0,10300000.0,,
1991-06-30,,99700000.0,,,,660000000.0,,,149000000.0,,-600000.0,,5300000.0,5000000.0,,,-16600000.0,3900000.0,,11900000.0,1400000,,,-101200000.0,2400000.0,27600000.0,,100000.0,1700000.0,-400000.0,,-2000000.0,,15300000,0.001667,-2500000.0,300000,119400000.0,44200000.0,400000.0,,-13500000.0,160900000.0,,,,,,,10000000.0,2300000,660000000.0,,2100000.0,2300000,,,1100000,-13500000.0,-1400000.0,,3500000.0,,,3500000.0,0.001667,7200000.0,,1000000.0,1100000.0,6700000.0,-4400000.0,41500000.0,-1600000.0,11900000.0,,
1991-09-30,,83200000.0,,,,600000000.0,,,152500000.0,,-500000.0,,3600000.0,4700000.0,,,-17500000.0,3300000.0,,13000000.0,300000,,,-100200000.0,1100000.0,28400000.0,,100000.0,2100000.0,2500000.0,,-1800000.0,,14800000,0.001667,-2500000.0,-1100000,122600000.0,45900000.0,-800000.0,,16800000.0,165500000.0,,,,,,,11200000.0,1000000,600000000.0,,2200000.0,1000000,,,1000000,15100000.0,0.0,,20400000.0,,,20400000.0,0.001667,7700000.0,,2500000.0,1400000.0,6800000.0,-2800000.0,42900000.0,-2600000.0,13000000.0,,
1991-12-31,,134200000.0,,,,,,3200000.0,239000000.0,,-900000.0,,3600000.0,5100000.0,,,-18600000.0,3600000.0,,14100000.0,0,,,-99200000.0,1000000.0,28700000.0,,0.0,3000000.0,85100000.0,,-1300000.0,,15400000,,1100000.0,-1500000,209200000.0,47300000.0,3600000.0,,36300000.0,253100000.0,,,10900000.0,,,,11800000.0,1000000,,,2500000.0,1000000,,,1000000,-52400000.0,0.0,,56600000.0,,,56600000.0,,7900000.0,,85100000.0,1500000.0,7300000.0,600000.0,43900000.0,2300000.0,14100000.0,,
1992-03-31,,155800000.0,,,,480000000.0,56600000.0,,240300000.0,,-500000.0,,3400000.0,5300000.0,,,-18800000.0,3900000.0,,11500000.0,-500000,,,-98400000.0,900000.0,28100000.0,,100000.0,5200000.0,500000.0,,-2700000.0,,16100000,0.001667,200000.0,-1900000,208400000.0,46900000.0,4800000.0,,-17900000.0,251800000.0,,,,,,,12700000.0,800000,480000000.0,,2700000.0,800000,,,800000,-23200000.0,,-20000000.0,38800000.0,,,38800000.0,0.001667,8000000.0,,500000.0,1400000.0,7300000.0,4600000.0,43400000.0,2100000.0,11500000.0,,
1992-06-30,,154500000.0,,,,420000000.0,,,241700000.0,,-900000.0,,2900000.0,5500000.0,,,-19200000.0,4200000.0,,13800000.0,-1300000,,,-97700000.0,800000.0,30100000.0,,100000.0,1600000.0,600000.0,,-2600000.0,,18100000,0.001667,-2700000.0,-2600000,209300000.0,49300000.0,-1600000.0,,-1900000.0,255400000.0,,,,,,,15200000.0,700000,420000000.0,,3200000.0,700000,,,700000,-1000000.0,,2500000.0,36800000.0,,,36800000.0,0.001667,8200000.0,,600000.0,1200000.0,7800000.0,-4200000.0,46100000.0,-4200000.0,13700000.0,,
1992-09-30,,126000000.0,,,,740000000.0,,4100000.0,252400000.0,,-1000000.0,,20000000.0,11200000.0,,,-20100000.0,9800000.0,,20900000.0,10300000,,,-86600000.0,11600000.0,31400000.0,,500000.0,4100000.0,2100000.0,,-2200000.0,,37900000,0.015,-2300000.0,8800000,229600000.0,51500000.0,11400000.0,,38600000.0,273300000.0,,,16800000.0,,,,17900000.0,11100000,740000000.0,,2700000.0,11100000,,,11100000,25200000.0,,,75400000.0,,,75400000.0,0.015,4100000.0,,2100000.0,1500000.0,8200000.0,-10200000.0,43700000.0,9200000.0,20900000.0,,
1992-12-31,,149100000.0,,,,,,3900000.0,285000000.0,8600000.0,-500000.0,,95000000.0,71200000.0,,,-21000000.0,68200000.0,,26200000.0,26800000,,,-60900000.0,26700000.0,32300000.0,,1000000.0,3700000.0,6800000.0,,-1900000.0,,51500000,,-3000000.0,23800000,268400000.0,53300000.0,28500000.0,,10400000.0,311200000.0,,,22300000.0,,,,-43500000.0,25700000,,,2900000.0,25700000,,,25700000,-24900000.0,,,85900000.0,,,85900000.0,,4000000.0,,6800000.0,3000000.0,6500000.0,-5200000.0,42800000.0,26600000.0,26200000.0,,
1993-03-31,,204000000.0,,,,847500000.0,85900000.0,2900000.0,297400000.0,-3700000.0,-800000.0,,31500000.0,22100000.0,,,-22000000.0,20300000.0,,22500000.0,11200000,,,-49600000.0,12400000.0,32800000.0,,1100000.0,3100000.0,1100000.0,,-1500000.0,,32500000,0.013333,2300000.0,9400000,278800000.0,54800000.0,16700000.0,,-38500000.0,319900000.0,,,19600000.0,,,,1000000.0,11300000,847500000.0,,2900000.0,11300000,,,11300000,-56300000.0,,-54000000.0,47400000.0,,,47400000.0,0.013333,1700000.0,,1100000.0,1800000.0,6600000.0,6000000.0,41100000.0,15200000.0,22500000.0,,
1993-06-30,,186300000.0,,,,672000000.0,,3800000.0,304500000.0,13500000.0,-900000.0,,32800000.0,23700000.0,,,-23200000.0,22000000.0,,36000000.0,10800000,,,-44000000.0,6100000.0,34300000.0,,500000.0,3100000.0,1500000.0,,-2600000.0,,34700000,0.008333,6900000.0,9100000,297000000.0,57500000.0,14000000.0,,29800000.0,340500000.0,,,32200000.0,,,,1900000.0,5600000,672000000.0,,-2900000.0,5600000,,,5600000,14200000.0,,17700000.0,77200000.0,,,77200000.0,0.008333,2200000.0,,1500000.0,1600000.0,7000000.0,,43500000.0,11400000.0,36000000.0,,
1993-09-30,,195200000.0,,,,753333333.0,,2800000.0,317300000.0,-5700000.0,-400000.0,,32600000.0,24500000.0,,,-24400000.0,23000000.0,,30400000.0,9700000,,,-32700000.0,11600000.0,35600000.0,,300000.0,3200000.0,1500000.0,,-2600000.0,,33900000,0.015,-4200000.0,8100000,303200000.0,60000000.0,8700000.0,,-2300000.0,347600000.0,,,27600000.0,,,,1300000.0,11300000,753333333.0,,3500000.0,11300000,,,11300000,-12500000.0,,-9500000.0,74900000.0,,,74900000.0,0.015,1900000.0,,1500000.0,1600000.0,6900000.0,,44400000.0,6100000.0,30300000.0,,
1993-12-31,,203200000.0,,,,,,2900000.0,325200000.0,1400000.0,-600000.0,,33900000.0,40300000.0,,,-25600000.0,38600000.0,,31800000.0,-4700000,,,-28500000.0,4500000.0,38500000.0,,300000.0,3700000.0,3700000.0,,-4100000.0,,35200000,,2000000.0,-6400000,309400000.0,64100000.0,8200000.0,,-300000.0,357000000.0,,,28900000.0,,,,1300000.0,4200000,,,10800000.0,4200000,,,4200000,-12100000.0,,-7400000.0,74500000.0,,,74500000.0,,1900000.0,,3700000.0,1700000.0,7200000.0,1400000.0,47600000.0,4100000.0,31800000.0,,
1994-03-31,,250900000.0,,,,840000000.0,74500000.0,4100000.0,335500000.0,-2200000.0,-500000.0,,40500000.0,31100000.0,,,-26900000.0,6000000.0,,29500000.0,11200000,,,-17200000.0,12900000.0,43800000.0,,1700000.0,3400000.0,2200000.0,23300000.0,-6600000.0,,41200000,0.013333,20900000.0,9400000,311800000.0,70700000.0,33700000.0,,-21800000.0,365000000.0,,,25400000.0,,,,700000.0,11200000,840000000.0,,3500000.0,11200000,,,11200000,-57700000.0,,-50600000.0,52700000.0,,,52700000.0,0.013333,2200000.0,,2200000.0,1800000.0,7200000.0,23500000.0,53200000.0,27100000.0,29500000.0,,
1994-06-30,,259000000.0,,,,360000000.0,,4500000.0,342000000.0,3200000.0,-800000.0,,32500000.0,35600000.0,,,-28200000.0,7500000.0,,32800000.0,-1300000,,,-16600000.0,800000.0,50700000.0,,200000.0,5200000.0,7700000.0,26300000.0,-8200000.0,,32800000,0.001667,-5800000.0,-3100000,314700000.0,78900000.0,-1800000.0,,-13700000.0,374800000.0,,,28300000.0,,,,300000.0,600000,360000000.0,,4000000.0,600000,,,600000,-19700000.0,,-10700000.0,39100000.0,,,39100000.0,0.001667,2100000.0,,7700000.0,1800000.0,7300000.0,-8400000.0,60100000.0,-10000000.0,32800000.0,,
1994-09-30,,234400000.0,,,,792000000.0,,5000000.0,320700000.0,25800000.0,-700000.0,,31700000.0,57900000.0,,,-29700000.0,33000000.0,,58500000.0,-24100000,,,-43000000.0,-26200000.0,59900000.0,,200000.0,5000000.0,4800000.0,22800000.0,-10700000.0,,31800000,-0.033333,33000000.0,-26200000,309800000.0,89600000.0,9500000.0,,26500000.0,379300000.0,,,53500000.0,,,,100000.0,-26400000,792000000.0,,,-26400000,,,-26400000,12200000.0,,23600000.0,65500000.0,,,65500000.0,-0.033333,2000000.0,,4800000.0,2100000.0,7600000.0,6700000.0,69500000.0,-1200000.0,58600000.0,,
1994-12-31,,8480000.0,,,-5822000.0,,,9991000.0,329934000.0,,,,33896000.0,23703000.0,,,,-21814000.0,,47928000.0,12549000,,,-33359000.0,10593000.0,73162000.0,,890000.0,-10116000.0,845000.0,18813000.0,-18170000.0,,42944000,,-19857000.0,10193000,294784000.0,73162000.0,-6514000.0,,-10864000.0,377862000.0,18502000.0,213120000.0,0.0,,0.0,37937000.0,9048000.0,9703000,,,,9703000,,,9703000,-5095000.0,,11075000.0,54682000.0,,331000.0,267802000.0,,1800000.0,,,2356000.0,8116000.0,,83078000.0,-24684000.0,47928000.0,,
1995-03-31,,227900000.0,,29800000.0,,840000000.0,54700000.0,5300000.0,336600000.0,-9300000.0,-700000.0,,31800000.0,32700000.0,,,-33200000.0,10000000.0,,39500000.0,1400000,,,-30500000.0,3000000.0,81500000.0,,200000.0,4800000.0,25700000.0,20400000.0,-10000000.0,,32000000,0.003333,-4500000.0,-900000,308800000.0,114700000.0,800000.0,0.0,13700000.0,400300000.0,,,33400000.0,,,,200000.0,2800000,840000000.0,,4000000.0,2800000,,24200000.0,2800000,-12800000.0,,-31900000.0,68400000.0,800000.0,,68400000.0,0.003333,1800000.0,,25700000.0,2300000.0,8200000.0,6000000.0,91500000.0,-9200000.0,63700000.0,,
1995-06-30,,238500000.0,,78800000.0,,420000000.0,,8200000.0,342400000.0,-1600000.0,-400000.0,,32600000.0,36100000.0,,,-35300000.0,12100000.0,,38700000.0,-800000,,,-29800000.0,900000.0,92400000.0,,200000.0,5600000.0,2100000.0,21300000.0,-13000000.0,,32700000,0.001667,-7000000.0,-3500000,302100000.0,127700000.0,-3400000.0,0.0,-21600000.0,404400000.0,,,28800000.0,,,,100000.0,700000,420000000.0,,4200000.0,700000,,23300000.0,700000,-20300000.0,,-85700000.0,46700000.0,1700000.0,,46700000.0,0.001667,1900000.0,,2100000.0,2700000.0,8000000.0,-4400000.0,102300000.0,-16400000.0,62000000.0,,
1995-09-30,,245800000.0,,55300000.0,,660000000.0,,8500000.0,358700000.0,4200000.0,-600000.0,,33700000.0,36400000.0,,,-37500000.0,11100000.0,,42900000.0,100000,,,-28700000.0,1900000.0,100400000.0,,800000.0,5200000.0,20400000.0,22500000.0,-10200000.0,,33900000,0.001667,-3300000.0,-2700000,316700000.0,137900000.0,1500000.0,0.0,5700000.0,430700000.0,,,32700000.0,,,,200000.0,1100000,660000000.0,,4300000.0,1100000,,29100000.0,1100000,-16100000.0,,-60600000.0,52500000.0,1700000.0,,52500000.0,0.001667,5600000.0,,20400000.0,2800000.0,8000000.0,-1500000.0,114000000.0,-8700000.0,72000000.0,,
1995-12-31,,12749000.0,,143121000.0,1176000.0,,,12512000.0,382980000.0,,,,,28642000.0,,,,7193000.0,,53395000.0,17061000,,,-27699000.0,1445000.0,115048000.0,,485000.0,-17348000.0,25752000.0,23248000.0,-17109000.0,,53091000,,9421000.0,13945000,340309000.0,115048000.0,10549000.0,0.0,-6712000.0,469201000.0,19612000.0,262178000.0,0.0,,32826000.0,39216000.0,,960000,,,-12500000.0,960000,,32826000.0,960000,-43113000.0,,-170825000.0,45770000.0,1667000.0,355000.0,307948000.0,,5856000.0,,-8741000.0,3116000.0,7988000.0,,128892000.0,-6560000.0,86221000.0,,
1996-03-31,,267100000.0,,118100000.0,,740000000.0,45800000.0,9100000.0,381300000.0,-7300000.0,-100000.0,,33800000.0,41800000.0,,,-43000000.0,13700000.0,,50700000.0,-4400000,,,-31400000.0,-3500000.0,131200000.0,,200000.0,7700000.0,11500000.0,24500000.0,-15100000.0,,34400000,-0.005,-9000000.0,-8000000,327300000.0,174200000.0,-8600000.0,100000.0,-13300000.0,472000000.0,,,39900000.0,,,,600000.0,-3700000,740000000.0,,4500000.0,-3700000,11900000.0,39900000.0,-3700000,-16200000.0,,-119100000.0,32500000.0,1700000.0,,32500000.0,-0.005,6100000.0,,11500000.0,3600000.0,7400000.0,3800000.0,144700000.0,-23700000.0,90700000.0,,
