date,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings
2015-09-30,76373000.0,1608000.0,,,46431000,-1284000.0,120000,4844000,22657000.0,3853000.0,615895000.0,-73088000.0,1518000.0,9355000,48547000,-78316000,35770000,91679000.0,376000,641576000.0,6610000,21451000.0,671220000.0,48327000.0,2763000.0,23000,615895000.0,58367830.0,55340000,53674000.0,6855000,-22699000.0,72846000,-5228000,3847000,11350000,3847000,2349000,0.0,5880000,343000,0.0,875000.0,615895000.0,3397000.0,51889000.0,16016000.0,98000,639000.0,-215000.0,8909000,25206000.0,0.07,3329000.0,464000.0,39576000,,2402000,57050684.0,3886000.0,42667000,48547000.0,571000.0,48547000.0,-834000,110362000.0,,781582000.0,3847000,0.07,73061000,6122000,689903000.0,913000.0,,,
2015-12-31,83752000.0,,,,54856000,493000.0,419000,-867000,25310000.0,4899000.0,696703000.0,-80808000.0,1412000.0,9200000,50714000,-87207000,44560000,98314000.0,-469000,727534000.0,6241000,26608000.0,761138000.0,50925000.0,1084000.0,49000,696703000.0,58365587.0,65118000,58858000.0,6234000,-24894000.0,80531000,-6399000,5157000,8843000,5157000,2504000,0.0,2167000,360000,0.0,886000.0,696703000.0,2354000.0,51889000.0,21320000.0,367000,1093000.0,-221000.0,10262000,24974000.0,0.09,3726000.0,641000.0,48622000,,2599000,57109987.0,3484000.0,48547000,50714000.0,571000.0,50714000.0,1032000,115635000.0,,876773000.0,5157000,0.09,80752000,2444000,778459000.0,1404000.0,,,
2016-03-31,94389000.0,6582000.0,,,78155000,-3644000.0,-1170000,10840000,26825000.0,5694000.0,1125619000.0,-428916000.0,1223000.0,31647000,72075000,-437279000,43868000,118364000.0,423000,1161793000.0,28427000,45196000.0,1205803000.0,51475000.0,9839000.0,32000,1125619000.0,58362040.0,90126000,66990000.0,28704000,-27399000.0,428692000,-8363000,18588000,29948000,18588000,3860000,0.0,21361000,311000,,900000.0,1125619000.0,2580000.0,51889000.0,19004000.0,34000,736000.0,-224000.0,11971000,24650000.0,0.31,3994000.0,0.0,49451000,,2909000,57132909.0,3081000.0,50714000,72075000.0,571000.0,72075000.0,-226000,125829000.0,,1331632000.0,18588000,0.32,428916000,21585000,1213268000.0,866000.0,,,
2016-06-30,106612000.0,5371000.0,,,62015000,-1292000.0,3789000,8640000,29322000.0,5530000.0,1034314000.0,91305000.0,3594000.0,19329000,80893000,75328000,39986000,128815000.0,229000,1072497000.0,15950000,55617000.0,1122559000.0,57671000.0,5529000.0,31000,1034314000.0,58697229.0,73880000,76627000.0,16004000,-29985000.0,-91116000,-15977000,10421000,24606000,10421000,4202000,0.0,8818000,170000,,911000.0,1034314000.0,2775000.0,51889000.0,21982000.0,116000,441000.0,-224000.0,11865000,28349000.0,0.18,4389000.0,0.0,46011000,,3209000,57591556.0,2677000.0,72075000,80893000.0,576000.0,80893000.0,-195000,136424000.0,,1258983000.0,10421000,0.18,-91305000,8629000,1130168000.0,936000.0,,,
2016-09-30,120373000.0,,,-4889000.0,62577000,3436000.0,-6277000,-7491000,32064000.0,4850000.0,593041000.0,441273000.0,13925000.0,3922000,74496000,433483000,53731000,131037000.0,311000,628894000.0,117000,61815000.0,677678000.0,61064000.0,-6081000.0,33000,593041000.0,58907281.0,77325000,87285000.0,582000,-33088000.0,-459761000,-7790000,6198000,19881000,6198000,6232000,0.0,-6397000,252000,,1090000.0,593041000.0,1479000.0,51889000.0,25092000.0,-213000,355000.0,-254000.0,14748000,29000000.0,0.1,4821000.0,,61995000,,3553000,57819734.0,2274000.0,80893000,74496000.0,584000.0,74496000.0,1296000,143317000.0,,820995000.0,6198000,0.11,-455715000,12091000,689958000.0,1010000.0,,,
2016-12-31,132681000.0,,,-27182000.0,72328000,-348000.0,2087000,8809000,34481000.0,3737000.0,858244000.0,-265203000.0,3729000.0,17013000,60158000,-276583000,50719000,116527000.0,-545000,898894000.0,12749000,70448000.0,925583000.0,63192000.0,4116000.0,28000,858244000.0,58882966.0,87810000,96848000.0,12681000,-35833000.0,237727000,-11675000,8633000,24518000,8633000,6672000,0.0,-14338000,303000,,1113000.0,858244000.0,1339000.0,51889000.0,30570000.0,371000,675000.0,-262000.0,15482000,28711000.0,0.15,5230000.0,0.0,59647000,,3961000,57652531.0,1871000.0,74496000,60158000.0,585000.0,60158000.0,140000,153030000.0,,1078613000.0,8633000,0.15,265171000,12843000,962086000.0,1215000.0,,,
2017-03-31,145887000.0,16577000.0,,,102362000,-4480000.0,-1349000,11157000,36555000.0,3134000.0,950980000.0,-92736000.0,3625000.0,43046000,92915000,-101872000,54674000,146179000.0,176000,1005429000.0,38503000,96062000.0,1051654000.0,66944000.0,12889000.0,23000,950980000.0,58525980.0,119508000,106485000.0,38665000,-39402000.0,94404000,-9136000,25614000,40225000,25614000,6797000,0.0,32757000,257000,,1126000.0,950980000.0,1847000.0,51889000.0,28001000.0,95000,499000.0,-282000.0,17146000,30389000.0,0.43,5611000.0,,63697000,,4286000,57307187.0,1468000.0,60158000,92915000.0,585000.0,92915000.0,-508000,166898000.0,,1218552000.0,25614000,0.44,92593000,31089000,1072373000.0,1369000.0,,,
2017-06-30,160663000.0,,,,80351000,-2280000.0,1030000,-15515000,38964000.0,3439000.0,787015000.0,163965000.0,13899000.0,13945000,68117000,151192000,60727000,145048000.0,258000,828452000.0,8957000,110283000.0,866739000.0,72443000.0,-5264000.0,36000,787015000.0,58816442.0,98227000,116957000.0,9089000,-43706000.0,-191058000,-12773000,14221000,15068000,14221000,8095000,0.0,-24798000,281000,,1139000.0,787015000.0,1803000.0,51889000.0,30819000.0,149000,520000.0,-280000.0,17876000,33479000.0,0.24,6040000.0,,71262000,,4707000,57898914.0,1065000.0,92915000,68117000.0,595000.0,68117000.0,44000,179204000.0,,1045943000.0,14221000,0.24,-178938000,2295000,900895000.0,1326000.0,,,
2017-09-30,182141000.0,,,-4204000.0,83461000,2527000.0,-1144000,1341000,41841000.0,2505000.0,792734000.0,-5719000.0,14233000.0,16460000,66610000,-26736000,61509000,157265000.0,-509000,837612000.0,11335000,124350000.0,876490000.0,75059000.0,-2732000.0,33000,792734000.0,58873502.0,101287000,133765000.0,11437000,-48376000.0,-11898000,-21017000,14067000,37127000,14067000,8112000,0.0,-1507000,220000,,1152000.0,792734000.0,1444000.0,51889000.0,34695000.0,118000,750000.0,-281000.0,17826000,33218000.0,0.24,6526000.0,,72024000,,4905000,58003222.0,1011000.0,68117000,66610000.0,599000.0,66610000.0,359000,193446000.0,,1069936000.0,14067000,0.24,-7413000,16110000,912671000.0,1341000.0,,,
2017-12-31,201230000.0,,,-37489000.0,94845000,2146000.0,1542000,9250000,44642000.0,6490000.0,1089201000.0,-296467000.0,6785000.0,23502000,46077000,-312930000,65249000,135402000.0,537000,1140152000.0,17852000,137255000.0,1149862000.0,79610000.0,4947000.0,1000,1089201000.0,58850271.0,114025000,147705000.0,19434000,-53525000.0,254217000,-16463000,12905000,38180000,12905000,7426000,0.0,-20533000,153000,,888000.0,1089201000.0,1576000.0,51889000.0,36591000.0,-1429000,979000.0,-35315000.0,19180000,34414000.0,0.22,6982000.0,,75411000,,5497000,58100141.0,958000.0,66610000,46077000.0,601000.0,46077000.0,-132000,205302000.0,,1355164000.0,12905000,0.22,291521000,21717000,1219762000.0,1456000.0,,,
2018-03-31,219101000.0,,,-4999000.0,130311000,4272000.0,-710000,-16248000,46419000.0,3421000.0,,-5959000.0,23222000.0,57089000,68121000,-24667000,65009000,333033000.0,-193000,1141342000.0,52050000,299685000.0,1205019000.0,133755000.0,10890000.0,-73000,1095160000.0,58738732.0,153916000,159561000.0,51020000,-59540000.0,-10953000,-18708000,41160000,57664000,41160000,11250000,,22044000,0,,1331000.0,1095160000.0,2350000.0,51889000.0,34072000.0,1030000,420000.0,,23605000,33935000.0,0.7,7358000.0,53401000.0,79291000,,6069000,57793023.0,905000.0,46077000,68121000.0,604000.0,68121000.0,-774000,403111000.0,,1608130000.0,41160000,0.71,-5954000,38956000,1275097000.0,,,,
2018-06-30,231570000.0,,,-36690000.0,107869000,5962000.0,1303000,-9088000,49322000.0,4995000.0,,194873000.0,3699000.0,50265000,54630000,181708000,50642000,329738000.0,250000,947056000.0,43518000,335407000.0,1002032000.0,142171000.0,7796000.0,-43000,900287000.0,58720785.0,128800000,165370000.0,43037000,-66200000.0,-237892000,-13165000,35722000,42693000,35722000,10731000,,-13491000,34000,,1775000.0,900287000.0,2414000.0,51889000.0,32132000.0,515000,477000.0,,20931000,33486000.0,0.61,7867000.0,59363000.0,64832000,,6713000,57837312.0,852000.0,68121000,54630000.0,606000.0,54630000.0,-64000,416933000.0,,1418965000.0,35722000,0.62,-201202000,29528000,1089227000.0,,,,
2018-09-30,242672000.0,,,-1168000.0,111163000,4843000.0,1196000,302000,52405000.0,6173000.0,,40461000.0,4587000.0,44956000,85048000,-13991000,59231000,360377000.0,-113000,958149000.0,36444000,364176000.0,1037534000.0,149660000.0,7675000.0,-28000,902747000.0,58545061.0,133288000,168397000.0,36245000,-74275000.0,-1083000,-12391000,28769000,45492000,28769000,11526000,,30418000,384000,,1775000.0,902747000.0,2213000.0,51889000.0,39045000.0,583000,574000.0,,22125000,33049000.0,0.49,8409000.0,64206000.0,74918000,,8128000,57726790.0,798000.0,54630000,85048000.0,606000.0,85048000.0,201000,430652000.0,,1468186000.0,28769000,0.5,529000,33101000,1107809000.0,,,,
2018-12-31,259931000.0,,60000000.0,-62331000.0,126230000,6000000.0,-710000,-12777000,55671000.0,6288000.0,,-117338000.0,5068000.0,51794000,45718000,-80430000,65604000,334753000.0,-250000,1028682000.0,42699000,395590000.0,1064622000.0,158491000.0,11285000.0,-12000,967787000.0,58238231.0,150332000,176962000.0,43413000,-82969000.0,2132000,-15642000,31414000,38968000,31414000,12740000,,-39330000,348000,,1775000.0,967787000.0,3414000.0,51889000.0,43852000.0,-366000,797000.0,-444000.0,24102000,32614000.0,0.54,8980000.0,70206000.0,82817000,,8747000,57491280.0,745000.0,85048000,45718000.0,607000.0,45718000.0,-1201000,457304000.0,-7450000.0,1521926000.0,31414000,0.55,64907000,23326000,1187173000.0,,,,
2019-03-31,279758000.0,3526000.0,14500000.0,0.0,170625000,3722000.0,-1251000,-11379000,57839000.0,4081000.0,,-435213000.0,31071000.0,71735000,91307000,-452402000,84843000,398553000.0,-11000,1483710000.0,62112000,442872000.0,1549484000.0,180565000.0,14830000.0,8000,1405465000.0,58316154.0,199943000,187511000.0,62488000,-92247000.0,417565000,-14889000,47282000,80426000,47282000,18489000,16619000.0,45589000,276000,,1775000.0,1405465000.0,3835000.0,51889000.0,59191000.0,-100000,910000.0,-444000.0,29318000,32179000.0,0.81,9672000.0,73928000.0,108137000,,9347000,57357490.0,,45718000,91307000.0,609000.0,91307000.0,-421000,513344000.0,-452013000.0,2062828000.0,47282000,0.82,418009000,65537000,1664275000.0,26809000.0,,,
2019-06-30,298892000.0,,19700000.0,0.0,144074000,5714000.0,-33000,-28699000,59922000.0,3622000.0,,,5597000.0,62951000,1181990000,405472000,69035000,434762000.0,-237000,1201278000.0,52365000,491634000.0,1287986000.0,190152000.0,3603000.0,6000,1126808000.0,58410000.0,169313000,196371000.0,52886000,-102521000.0,-297877000,-19816000,48762000,42342000,48762000,16775000,18861000.0,149937000,258000,,1775000.0,1126808000.0,2850000.0,51889000.0,58991000.0,-263000,767000.0,-444000.0,25239000,31727000.0,0.83,10082000.0,79642000.0,91188000,,10328000,57569000.0,,91307000,94814000.0,612000.0,94814000.0,985000,538206000.0,405588000.0,1826192000.0,48762000,0.85,-297433000,22526000,1391430000.0,30705000.0,,,
2019-09-30,337472000.0,,20000000.0,0.0,148614000,6279000.0,314000,-7323000,62731000.0,4693000.0,,,4454000.0,61720000,909290000,-31218000,72788000,474898000.0,67000,918478000.0,50491000,530786000.0,1012975000.0,198651000.0,11339000.0,9000,835918000.0,58383000.0,175006000,224035000.0,50556000,-113437000.0,-295133000,-36375000,39152000,53651000,39152000,19605000,18706000.0,-272700000,260000,,1775000.0,835918000.0,2609000.0,51889000.0,65458000.0,195000,700000.0,-443000.0,26392000,31293000.0,0.67,10634000.0,85921000.0,98058000,,10969000,57654000.0,586000.0,1181990000,108127000.0,612000.0,108127000.0,241000,579052000.0,-14843000.0,1592027000.0,39152000,0.68,-294690000,17276000,1117129000.0,30345000.0,,,
