date,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2013-12-31,439150657.271244,16565825505.605663,16565825505.605663,1430755967.017168,0.0,1040833942.144658,20177488028.573086,34438944693.79993,41543495896.48703,57581871769.249115,58761796133.09179,17616817736.975456,5391707357.95656,-17218300236.604755,49413044418.51319,,1754258408.494562,71930846003.18481,15181172543.53334,,15117097180.72864,633720966.275764,121343890421.69801,17181574114.021572,19551581130.93204,,2623182840.675387,74763445883.27069,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,427726184.671192,21527547148.197742,21527547148.197742,1704484833.473943,0.0,116360781.946197,61936035521.43076,40540096430.05493,51490047255.267715,73410011109.47711,51490047255.267715,23867602597.543324,0.0,0.0,56696590381.2465,0.0,14756954615.2318,87743251980.79448,16858671083.625519,,9819245019.956295,2029492534.771941,144439842362.041,13553222388.202179,20177762077.62186,0.0,10713216820.563627,86963233497.67929,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,407816573.958891,16510174122.606302,16510174122.606302,1795192565.760215,0.0,149532743.784927,21504727693.09107,38980067707.40008,53539919038.07357,69052142014.99223,73363802734.18114,21814988145.436264,0.0,-19823883696.107563,52165337291.72978,,1787995802.690352,92860633530.78049,18274980355.404873,,15890452858.257008,2614823915.383475,145025970822.51025,20300469339.400696,22142041044.944473,,7216754078.390172,89352611354.39293,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,209104926.520094,6499077256.440616,6499077256.440616,331683676.549114,0.0,121777581.728177,19477202561.800766,35313095196.26887,21247784506.6644,83900747969.2099,21247784506.6644,18104801262.456245,0.0,,107975054241.24936,0.0,1563880523.246065,31495528242.75068,8369805238.909655,,4071537304.885504,596069215.827394,139470582484.00003,4999290197.262013,7346713318.732797,0.0,3244731618.415249,88900038166.47191,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,194272101.788575,2801035260.701654,2801035260.701654,258750342.468404,0.0,124769582.614214,1500584510.366925,10051069128.311495,21379142373.983234,18740558784.60479,33592326014.44172,4210345378.417912,0.0,-12213183640.458483,11030803434.745258,,559369672.391242,31716595376.483063,8321879946.443359,,3836874010.324358,601238659.845676,42747398811.22832,4696863012.638438,6484668776.942783,,1776919827.566191,23437421797.243225,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,182000000.0,4429000000.0,4429000000.0,302000000.0,0.0,109000000.0,17596000000.0,10660000000.0,21108000000.0,18590000000.0,21108000000.0,7089000000.0,0.0,,12261000000.0,0.0,1607000000.0,31555000000.0,8326000000.0,,3676000000.0,734000000.0,43816000000.0,4712000000.0,6077000000.0,0.0,855000000.0,23302000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,171000000.0,3487000000.0,3487000000.0,271000000.0,0.0,103000000.0,1583000000.0,17601000000.0,20900000000.0,20805000000.0,34326000000.0,5978000000.0,0.0,-13426000000.0,11028000000.0,,689000000.0,31602000000.0,8422000000.0,,2953000000.0,934000000.0,42630000000.0,4158000000.0,6110000000.0,,4314000000.0,24963000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,159000000.0,3934000000.0,3934000000.0,245000000.0,0.0,90000000.0,18753000000.0,18572000000.0,20704000000.0,19431000000.0,20704000000.0,6891000000.0,0.0,,11268000000.0,0.0,1343000000.0,31464000000.0,8375000000.0,,3039000000.0,1384000000.0,42732000000.0,4668000000.0,5860000000.0,0.0,509000000.0,24099000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,147000000.0,2361000000.0,2361000000.0,255000000.0,0.0,,1616000000.0,18421000000.0,20449000000.0,19195000000.0,35616000000.0,,,-15167000000.0,9386000000.0,,607000000.0,31265000000.0,8318000000.0,,1087000000.0,1629000000.0,40651000000.0,2971000000.0,5826000000.0,,2383000000.0,22166000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,136000000.0,6398000000.0,6398000000.0,331000000.0,0.0,,19506000000.0,19669000000.0,20580000000.0,22318000000.0,20580000000.0,,,,12873000000.0,0.0,1018000000.0,31626000000.0,8331000000.0,,422000000.0,1689000000.0,44499000000.0,2442000000.0,5345000000.0,0.0,2667000000.0,24760000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,124000000.0,1858000000.0,1858000000.0,399000000.0,0.0,,2340000000.0,18848000000.0,19632000000.0,18370000000.0,36704000000.0,,,-17072000000.0,8450000000.0,,443000000.0,30821000000.0,8390000000.0,,,1583000000.0,39271000000.0,1991000000.0,5379000000.0,,701000000.0,20361000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,492000000.0,4061000000.0,4061000000.0,685000000.0,0.0,,20643000000.0,20622000000.0,20841000000.0,22336000000.0,20841000000.0,,,,11941000000.0,,1010000000.0,33527000000.0,9461000000.0,,0.0,1576000000.0,45468000000.0,2447000000.0,5219000000.0,,1311000000.0,24783000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
