date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyNetIncome,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyIncomeTaxPayable
2014-09-30,3476240000.0,-1898000.0,-13835000.0,,50897000,103939000.0,103939000.0,-736293000.0,-15628000.0,-196000.0,0.0,135789000.0,2285000.0,239075000,5112000.0,25666000.0,-8020000.0,-16178000,-538407000,-21747000,103939000,10266000,1349487000.0,25666000.0,-19607000,55925000,-12712000,-0.11,202547677.0,39619000.0,44855000,120655000.0,5306871000.0,-0.11,5637000.0,54468000,-16143000.0,5536344000.0,42982000,6042000,39979000.0,1146108000.0,-12796000,1203528000.0,360289000,5028000,308617000.0,-371116000.0,9414000,110393000,202547677.0,-135136000,0.0,-167664000.0,-1365000,42982000,229473000.0,,37171000,145959000.0,5117743000.0,5285407000.0,-12796000,751000,-109987000.0,-140277000.0,,,,,,,,,,,
2014-12-31,3450101000.0,-6188000.0,-16738000.0,,53775000,108787000.0,108787000.0,-531113000.0,-49853000.0,-229000.0,0.0,149706000.0,2285000.0,103939000,9379000.0,25666000.0,-44532000.0,-13743000,-639388000,-19312000,108787000,378000,2057757000.0,25666000.0,-19657000,64444000,-11282000,-0.09,211473906.0,52886000.0,47205000,120655000.0,5911574000.0,-0.09,11009000.0,52455000,-16142000.0,6227351000.0,28885000,6570000,42877000.0,1850091000.0,-9992000,1908051000.0,615351000,10669000,-182000.0,-489412000.0,-16022000,116899000,211473906.0,4848000,0.0,-206262000.0,5665000,28885000,315777000.0,,46592000,149706000.0,5710671000.0,5916933000.0,-9992000,691000,-85286000.0,-170162000.0,,,,,,,,,,,
2015-03-31,3422299000.0,-2578000.0,-13265000.0,,60491000,115693000.0,115693000.0,-512058000.0,-11672000.0,-229000.0,0.0,141382000.0,2285000.0,108787000,15670000.0,25666000.0,-6635000.0,-12221000,-373172000,-17790000,115693000,-17117000,2436856000.0,25666000.0,-19465000,71846000,-3950000,-0.08,211481727.0,48177000.0,53664000,120655000.0,6248943000.0,-0.08,11289000.0,59902000,-16143000.0,6576550000.0,28914000,6827000,47103000.0,2235025000.0,-8265000,2292865000.0,351164000,11355000,,-359239000.0,-17967000,131748000,211481727.0,6906000,0.0,-251528000.0,-581000,28914000,327607000.0,,61069000,143991000.0,6037355000.0,6288883000.0,-8265000,696000,-2000.0,-198526000.0,,,,,,,,,,,
2015-06-30,3394792000.0,-2727000.0,-17155000.0,,66231000,90657000.0,90657000.0,-154943000.0,-4475000.0,-199000.0,0.0,158037000.0,2285000.0,115693000,22003000.0,25666000.0,-11099000.0,-12128000,-204360000,-17697000,90657000,23384000,2577099000.0,25666000.0,-6503000,81349000,-1513000,-0.08,211487164.0,50070000.0,59221000,120655000.0,6370768000.0,-0.08,12184000.0,72279000,-16143000.0,6686962000.0,74913000,7010000,52100000.0,2359939000.0,-8398000,2417199000.0,104411000,15118000,,-189030000.0,22265000,153628000,211487164.0,-25036000,0.0,-300173000.0,-600000,74913000,316194000.0,,72826000,159900000.0,6162148000.0,6462321000.0,-8398000,734000,-10001000.0,-226797000.0,,,,,,,,,,,
2015-09-30,3303007000.0,-7766000.0,-22399000.0,,74803000,238417000.0,238417000.0,-353420000.0,-14616000.0,-148000.0,0.0,234651000.0,2251000.0,90657000,23866000.0,25666000.0,-3496000.0,-23047000,-166394000,-28616000,238417000,20917000,2950684000.0,25666000.0,-17358000,86409000,-7678000,-0.14,211414368.0,106164000.0,67800000,120655000.0,6484455000.0,-0.14,17527000.0,86204000,-16144000.0,6965816000.0,52122000,7003000,53116000.0,2655773000.0,-19938000,2716033000.0,262032000,11606000,,-152841000.0,-4779000,172613000,211414368.0,147760000,0.0,-359412000.0,5794000,52122000,481361000.0,,71728000,234651000.0,6267464000.0,6626876000.0,-19938000,913000,0.0,-265988000.0,,,,,,,,,,,
2015-12-31,3259345000.0,2529000.0,-20044000.0,,69354000,57686000.0,57686000.0,-34210000.0,-4752000.0,-102000.0,0.0,154751000.0,2249000.0,238417000,27874000.0,25666000.0,-55551000.0,-14905000,-141016000,-20474000,57686000,-21557000,2872553000.0,25666000.0,-5592000,95047000,-9166000,-0.1,208045996.0,53735000.0,62163000,120655000.0,6503255000.0,-0.1,13936000.0,77540000,-15972000.0,6807786000.0,45416000,7191000,53819000.0,2650919000.0,-11347000,2713709000.0,-85131000,25693000,,-83909000.0,-13782000,172587000,208045996.0,-180731000,70094000.0,-416044000.0,6422000,45416000,304531000.0,,78690000,158844000.0,6289938000.0,6705982000.0,-11347000,782000,-54405000.0,-296865000.0,,,,,,,,,,,
2016-03-31,3686887000.0,-3277000.0,3779000.0,,79697000,71438000.0,71438000.0,-89611000.0,1891000.0,-62000.0,0.0,139000.0,2566000.0,57686000,30977000.0,25666000.0,0.0,1192000,-376320000,-4377000,71438000,-4011000,3657443000.0,25666000.0,-3031000,110192000,5510000,-0.02,219157870.0,69184000.0,69517000,120655000.0,7734364000.0,-0.02,16998000.0,85001000,-17691000.0,8097710000.0,55403000,8927000,66989000.0,3393407000.0,5028000,3523486000.0,334669000,30495000,1000.0,-50825000.0,-13504000,195193000,219157870.0,13752000,0.0,-472147000.0,3714000,55403000,363346000.0,-76336000.0,105522000,133957000.0,7561189000.0,8033336000.0,5028000,870000,-350000000.0,-313364000.0,,,,,,,,,,,
2016-06-30,4129812000.0,-3700000.0,-9271000.0,,90020000,270369000.0,270369000.0,-407608000.0,13715000.0,0.0,0.0,215307000.0,2753000.0,71438000,35481000.0,25666000.0,0.0,-2992000,-33868000,-10404000,270369000,16082000,3373053000.0,25666000.0,-3264000,125387000,-3639000,-0.04,238481265.0,59636000.0,79604000,120655000.0,7684379000.0,-0.04,19280000.0,95585000,-19328000.0,8252400000.0,93980000,8329000,70344000.0,3094506000.0,-3753000,3157746000.0,138819000,35367000,1000.0,-61401000.0,13051000,220972000,238481265.0,198931000,15939000.0,-535648000.0,4240000,93980000,568021000.0,-20053000.0,111332000,215307000.0,7521659000.0,8057307000.0,-3753000,983000,0.0,-335684000.0,,,,,,,,,,,
2016-09-30,4098779000.0,-5133000.0,-6489000.0,,86988000,106308000.0,106308000.0,-753499000.0,-301886000.0,28000.0,0.0,241067000.0,2754000.0,270369000,32851000.0,25666000.0,,-7483000,-41847000,-21152000,106308000,35849000,3233618000.0,25666000.0,-28634000,125645000,-5973000,-0.09,238401343.0,63222000.0,75392000,120317000.0,7706397000.0,-0.09,21818000.0,110412000,-25628000.0,8086499000.0,93538000,8454000,69743000.0,2926821000.0,-167000,2992551000.0,-215752000,38657000,498748000.0,-146501000.0,12151000,236057000,238401343.0,-164061000,0.0,-600299000.0,-608000,93538000,380102000.0,-108000.0,108076000,241067000.0,7545398000.0,8145697000.0,-167000,891000,,-368795000.0,,,,,,,,,,,
2016-12-31,4192936000.0,2406000.0,-2066000.0,,88578000,118799000.0,118799000.0,-82323000.0,-10098000.0,95000.0,0.0,177206000.0,2803000.0,106308000,31538000.0,25666000.0,,15978000,-70363000,2391000,250241000,-61211000,3169590000.0,25666000.0,-3072000,132083000,-2629000,-0.01,239887357.0,60676000.0,74164000,120279000.0,7705757000.0,0.01,17618000.0,95476000,-25761000.0,8107210000.0,35946000,8918000,70430000.0,2922574000.0,9338000,2992384000.0,67068000,43505000,-396147000.0,-88938000.0,-57978000,227559000,295965589.0,32651000,0.0,-666710000.0,6587000,35946000,401453000.0,0.0,115040000,177206000.0,7547856000.0,8214566000.0,9338000,892000,,-378578000.0,,,,,,,,,,,
2017-03-31,4529992000.0,-2657000.0,-5365000.0,22526000.0,84806000,495802000.0,495802000.0,-6476000.0,-13640000.0,0.0,0.0,250000.0,2959000.0,250241000,31889000.0,25666000.0,,12097000,-69997000,-1490000,630859000,22050000,3219009000.0,25666000.0,-3015000,132971000,-4480000,-0.01,244391368.0,63951000.0,73953000,120279000.0,7698280000.0,-0.01,18721000.0,100783000,-25801000.0,8490605000.0,110037000,9295000,72075000.0,2944096000.0,11796000,3091391000.0,340578000,48165000,350612000.0,-87783000.0,14435000,233754000,244391368.0,380618000,75220000.0,-732529000.0,8797000,110037000,792325000.0,0.0,117638000,127618000.0,7542196000.0,8274725000.0,11796000,938000,0.0,-392282000.0,,,,,,,,,,,
2017-06-30,4673057000.0,-1840000.0,-7944000.0,,83001000,67325000.0,67325000.0,-580799000.0,-3218000.0,0.0,0.0,897000.0,3023000.0,630859000,28392000.0,25666000.0,,15096000,-152519000,-186000,195849000,18917000,2734553000.0,25666000.0,-12029000,133612000,-7153000,-0.000718,258900456.0,61537000.0,72716000,120279000.0,7793700000.0,-0.000718,19262000.0,103396000,-28240000.0,8146307000.0,115169000,8926000,74392000.0,2434703000.0,15066000,2585955000.0,-397660000,50611000,4977000.0,-172543000.0,16241000,237008000,258900456.0,-435010000,76860000.0,-800076000.0,4361000,115169000,352607000.0,-169000.0,116174000,148598000.0,7633784000.0,8433860000.0,15066000,1121000,0.0,-405426000.0,,,,,,,,,,,
2017-09-30,5103589000.0,-7432000.0,-10559000.0,,84600000,243547000.0,243547000.0,-97916000.0,-21119000.0,0.0,0.0,1091000.0,3220000.0,195849000,26592000.0,25666000.0,,18788000,-264380000,1523000,363121000,30358000,2671449000.0,25666000.0,-16936000,131445000,-1156000,-0.004492,266767313.0,77797000.0,74790000,120279000.0,7961960000.0,0.01,35429000.0,115391000,-30971000.0,8509876000.0,124169000,8525000,74285000.0,2339235000.0,19097000,2481989000.0,307483000,46845000,339176000.0,-260482000.0,22678000,246836000,289153060.0,167272000,0.0,-869551000.0,4529000,124169000,547916000.0,0.0,120479000,189460000.0,7802499000.0,8672050000.0,19097000,1116000,0.0,-417609000.0,,,,,,,,,,,
2017-12-31,5149629000.0,909000.0,-5249000.0,,84620000,46156000.0,46156000.0,-5657000.0,-16803000.0,75000.0,0.0,222867000.0,3251000.0,363121000,25747000.0,25666000.0,,35018000,-350583000,-21994000,182823000,-61511000,2732944000.0,25666000.0,-193000,137585000,3315000,-0.08,286469724.0,70443000.0,75831000,120279000.0,8223950000.0,-0.08,30144000.0,105216000,-11000.0,8608768000.0,-954000,7986000,75951000.0,2475887000.0,30533000,2505357000.0,133699000,52965000,0.0,-349309000.0,-68054000,242801000,286469724.0,-180298000,0.0,-939724000.0,-5115000,36586000,384818000.0,0.0,132111000,227587000.0,8064980000.0,9004704000.0,30533000,1037000,0.0,-453953000.0,,,,,,,,,,,
2018-03-31,5116109000.0,-3886000.0,-7966000.0,,89361000,203883000.0,203883000.0,-245567000.0,-49472000.0,9508000.0,,272000.0,3234000.0,182823000,29301000.0,25666000.0,,20411000,-221631000,5814000,360155000,29150000,3117383000.0,25666000.0,-1268000,138030000,2157000,0.0204,285004736.0,87643000.0,79303000,120279000.0,8328056000.0,0.0204,28115000.0,119974000,-28934000.0,8958033000.0,101324000,9231000,80156000.0,2824857000.0,21525000,2933271000.0,286472000,48669000,0.0,-11167000.0,9055000,258004000,285004736.0,177332000,,,1623000,112491000,629977000.0,-34969000.0,130129000,184112000.0,,,21525000,975000,,-462504000.0,,,,,,,,,,,
2018-06-30,5148530000.0,-1636000.0,-7273000.0,,89620000,53504000.0,53504000.0,-154350000.0,-41882000.0,9267000.0,,282734000.0,3268000.0,360155000,31978000.0,25666000.0,,29048000,-103996000,-15151000,212514000,31911000,2961686000.0,25666000.0,2193000,147024000,472000,-0.05,295462572.0,83972000.0,78319000,120279000.0,8343008000.0,-0.05,28049000.0,117459000,-28962000.0,8830448000.0,125310000,9677000,82952000.0,2674381000.0,25898000,2674381000.0,-181119000,57404000,,-12164000.0,28475000,264483000,295462572.0,-147641000,,,2994000,137474000,487440000.0,0.0,136195000,287305000.0,,,25898000,943000,,-494326000.0,,,,,,,,,,,
2018-09-30,5268659000.0,-10792000.0,-8876000.0,,90274000,110138000.0,110138000.0,-60179000.0,-54121000.0,9026000.0,,305935000.0,3319000.0,212514000,30930000.0,,,27400000,-156284000,15177000,266164000,26377000,2982422000.0,25666000.0,421000,147587000,3898000,0.05,296214509.0,82425000.0,79940000,120279000.0,8417939000.0,0.05,36078000.0,132465000,-26806000.0,8971426000.0,109359000,9265000,82845000.0,2671703000.0,30281000,2671703000.0,83436000,57313000,,-17139000.0,14173000,280052000,296967649.0,53650000,,,2993000,126498000,553487000.0,0.0,141151000,310719000.0,,,30281000,832000,,-493995000.0,,,,,,,,,,,
2018-12-31,5251965000.0,4142000.0,-10472000.0,,93270000,30284000.0,30284000.0,-140271000.0,-68956000.0,7393000.0,,219229000.0,3320000.0,266164000,30691000.0,,,31414000,-192497000,17632000,175214000,-75666000,3027739000.0,25666000.0,-1750000,152736000,5959000,0.06,296559183.0,82253000.0,81123000,120279000.0,8651206000.0,0.06,29027000.0,117580000,-40851000.0,9001481000.0,20424000,8402000,83406000.0,2803543000.0,34734000,2803543000.0,67128000,59466000,0.0,-13995000.0,-82203000,270316000,297067211.0,-90950000,,,2513000,34419000,350275000.0,0.0,146548000,224196000.0,,,34734000,683000,-4600000.0,-491214000.0,,,,,,,,,,,
2019-03-31,5259870000.0,-5569000.0,-10332000.0,,91620000,154584000.0,154584000.0,-255556000.0,-80030000.0,7202000.0,,1805000.0,3326000.0,175214000,31915000.0,,,30065000,-130869000,16283000,312747000,42010000,3215666000.0,25666000.0,-7090000,151811000,4815000,0.05,296833755.0,82659000.0,81161000,120279000.0,8699538000.0,0.05,32813000.0,127393000,-14832000.0,9191038000.0,132233000,9435000,85854000.0,2943925000.0,33091000,3029779000.0,120466000,60191000,,-15703000.0,34273000,279204000,297444941.0,137533000,,,2051000,147936000,491500000.0,0.0,146167000,185887000.0,,,33091000,952000,,-489820000.0,,,,,,,,,,,
2019-06-30,5312464000.0,-915000.0,-9780000.0,,94840000,119176000.0,119176000.0,-105180000.0,-59821000.0,7062000.0,,301219000.0,3358000.0,312747000,32571000.0,,,36300000,-39164000,22518000,284910000,32483000,3147100000.0,25666000.0,-1971000,155619000,12096000,0.08,299466526.0,92816000.0,82840000,120279000.0,8644538000.0,0.08,31988000.0,126241000,-28671000.0,9142623000.0,121928000,10486000,86220000.0,2841057000.0,40304000,2841057000.0,-128229000,60779000,,-17628000.0,23517000,281860000,299991084.0,-27837000,,,2142000,139556000,498085000.0,0.0,155715000,306043000.0,,,40304000,1269000,,-482354000.0,,,,,,,,,,,
2019-09-30,5325279000.0,,-8768000.0,,95790000,171209000.0,171209000.0,-5551000.0,-94547000.0,6862000.0,,295544000.0,3360000.0,284910000,31465000.0,,,37302000,-54063000,23520000,298010000,21009000,3132932000.0,25666000.0,-5212000,155786000,12870000,0.08,300580978.0,85667000.0,82073000,120279000.0,8622915000.0,0.08,36302000.0,142518000,-57675000.0,9140121000.0,114187000,11107000,85644000.0,2837115000.0,41401000,2837115000.0,-65760000,59996000,,-18736000.0,22582000,298304000,301032855.0,13100000,,,2117000,132923000,517206000.0,0.0,154939000,295817000.0,,,41401000,1288000,-2503000.0,-473893000.0,,,,,,,,,,,
