date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,0.0,0.0,76401319000,90812002000,7381653000,,474462093000,10949858000.0,354842000.0,383650091000,268236864000,44250284000,18892273000,29846770000,40796628000,368229000,1020734000,79663300000,,91889003000,362084089000,21535639000.0,10270800000,-2643366000.0,,211371655000.0,103971970000,486004000.0,93847225000,210793173000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,0.0,0.0,84469506000,114751452000,8217417000,,539846914000,0.0,354842000.0,425095462000,321140627000,45068168000,19362424000,38068299000,38068299000,362576000,1086312000,100818933000,,115865593000,419001881000,19362424000.0,12705988000,,,238010106000.0,110412817000,884737000.0,97861254000,237060831000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,0.0,0.0,138162000000,144691000000,9332000000,,757035000000,307000000.0,248000000.0,612344000000,456681000000,42398000000,20345000000,103090000000,103397000000,372000000,971000000,158744000000,,132517000000,614893000000,24267000000.0,17569000000,-3922000000.0,,330921000000.0,126743000000,885000000.0,158212000000,329610000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,0.0,0.0,208509000000,192657000000,8878000000,,999915000000,4559000000.0,0.0,807258000000,570015000000,35484000000,24679000000,118248000000,122807000000,521000000,963000000,172752000000,,142529000000,817867000000,24679000000.0,33244000000,,,416589000000.0,163150000000,885000000.0,247852000000,415098000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,0.0,0.0,332164000000,237233000000,15644000000,,1350868000000,3603000000.0,0.0,1113635000000,733394000000,38495000000,26234000000,198420000000,202023000000,241000000,1006000000,202906000000,,182994000000,1158336000000,31190000000.0,38424000000,-4956000000.0,,578081000000.0,157184000000,1402000000.0,424942000000,577851000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,0.0,0.0,381192000000,216538000000,26654000000,,1492975000000,6831000000.0,0.0,1276437000000,885706000000,50867000000,29764000000,164404000000,171235000000,239000000,1028000000,292302000000,,187141000000,1324804000000,29764000000.0,44812000000,,,699194000000.0,101059000000,1402000000.0,439098000000,699063000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,,376244000000,238805000000,120782000000,,1761752000000,4670000000.0,,1522947000000,1084855000000,56210000000,40833000000,152008000000,156678000000,253000000,1270000000,356381000000,,399459000000,1519544000000,47454000000.0,51556000000,-6621000000.0,,851489000000.0,114772000000,1402000000.0,434689000000,851363000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,176531000000.0,372678000000,258633000000,130072000000,,1769888000000,1942000000.0,,1511255000000,1018597000000,86368000000,43899000000,156554000000,158496000000,275000000,1312000000,298451000000,,454410000000,1445362000000,43899000000.0,47972000000,,,830414000000.0,145767000000,1595000000.0,426765000000,1994000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,354857000000,304277000000,123141000000,,1880028000000,1173000000.0,,1575751000000,1159456000000,65792000000,50260000000,129364000000,130537000000,424000000,1205000000,318285000000,,423648000000,1571402000000,58785000000.0,49899000000,-8525000000.0,,971802000000.0,132995000000,1595000000.0,411946000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,,437326000000,334723000000,137668000000,,2098540000000,518000000.0,,1763817000000,1256675000000,78293000000,64075000000,206833000000,207351000000,7293000000,1238000000,375845000000,,641146000000,1753247000000,64075000000.0,49180000000,,,1055087000000.0,146168000000,7771000000.0,496572000000,2993000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
