date,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyChangeInInventory
2016-09-30,84912757.0,0.0,,411522000.0,40626000,6867000.0,42334000.0,10305000.0,-476000.0,400287000.0,187360000.0,68140000,0.0,99578000,6459000,-5796000,-9489000,,84912757.0,-0.11,225821000,-5977000,,1097000,0.0,-9120000,,427375000.0,61850000.0,874000.0,19462000,-39000,,-74342000.0,42799000.0,119220000,1223000.0,224423000.0,30000.0,212927000.0,,9302000.0,58968000.0,16783000.0,47123000,486343000.0,-4880000,-9120000,-9120000,12971000.0,3693000,12097000.0,-142257000.0,187360000,-107608000,74821000.0,,0.0,-9120000,52455000,0.0,42482000,369000,,18293000.0,61944000,-0.11,,,,,,,,,,
2016-12-31,89137155.0,0.0,,410476000.0,49789000,6437000.0,45057000.0,8989000.0,-1818000.0,392414000.0,84013000.0,187360000,0.0,130383000,8062000,-9305000,-9305000,-18656000.0,89137155.0,-0.1,932000,-8946000,,6715000,-6145000.0,-8867000,64375000.0,422898000.0,66532000.0,922000.0,24472000,2962000,,-83209000.0,45719000.0,-103347000,1818000.0,0.0,0.0,308401000.0,1818000.0,15504000.0,67660000.0,21495000.0,62248000,490558000.0,-2231000,-8867000,-8867000,13550000.0,4440000,12628000.0,-145558000.0,84013000,-110860000,80082000.0,,0.0,-8867000,68135000,0.0,52968000,438000,,20164000.0,77440000,-0.1,,,,,,,,,,
2017-03-31,90242889.0,0.0,-5476000.0,410864000.0,111535000,6722000.0,52310000.0,12113000.0,-381000.0,395690000.0,101268000.0,84013000,0.0,127379000,9207000,-9927000,-14461000,,90242889.0,-0.15,2980000,-3557000,,3999000,,-13598000,,434301000.0,76837000.0,1014000.0,26594000,3375000,,-96807000.0,44811000.0,17255000,1333000.0,0.0,9207000.0,294422000.0,,15504000.0,67037000.0,26498000.0,55138000,501338000.0,442000,-13598000,-13598000,13637000.0,4534000,12623000.0,-97675000.0,101268000,10303000,90474000.0,,0.0,-13598000,72241000,0.0,60108000,863000,,23194000.0,86702000,-0.15,,,,,,,,,,
2017-06-30,94290538.0,-15718000.0,-20367000.0,977444000.0,102074000,18444000.0,57118000.0,16382000.0,4250000.0,932417000.0,199397000.0,101268000,0.0,151655000,11601000,-10554000,-15907000,,94290538.0,-0.15,564009000,-3757000,,-8858000,,-14030000,,994237000.0,84243000.0,1125000.0,32714000,-12322000,,-110837000.0,44235000.0,98129000,1354000.0,560057000.0,11601000.0,733020000.0,,20317000.0,82996000.0,45438000.0,64815000,1077233000.0,-12615000,-14030000,-14030000,15546000.0,5353000,12728000.0,-540537000.0,199397000,-457938000,99789000.0,,0.0,-14030000,86840000,560057000.0,70033000,442000,1693000.0,25771000.0,102747000,-0.15,,,,,,,,,,
2017-09-30,98777975.0,0.0,-23711000.0,987922000.0,237900000,17560000.0,65246000.0,20302000.0,6854000.0,926559000.0,119849000.0,199397000,0.0,171456000,13377000,-6939000,-12676000,,98777975.0,-0.09,3568000,-4826000,,-6235000,0.0,-9380000,,1014926000.0,95410000.0,1218000.0,36350000,-15919000,,-120217000.0,48605000.0,-79548000,1434000.0,0.0,13377000.0,806710000.0,,20317000.0,86482000.0,68065000.0,71429000,1101408000.0,-11061000,-9380000,-9380000,18076000.0,5737000,15317000.0,-310990000.0,119849000,-77916000,113486000.0,,0.0,-9380000,100027000,0.0,76353000,3296000,1541000.0,28730000.0,112703000,-0.09,,,,,,,,,,
2017-12-31,99551791.0,0.0,-1294000.0,1001100000.0,190564000,17210000.0,62576000.0,18598000.0,3435000.0,938039000.0,141677000.0,119849000,0.0,222814000,14978000,-6113000,-6113000,-35002000.0,99551791.0,-0.03,4274000,-12122000,,18995000,0.0,-2987000,85362000.0,1025677000.0,94754000.0,1352000.0,40339000,-785000,,-123204000.0,50360000.0,21828000,795000.0,0.0,14978000.0,796362000.0,5636000.0,20317000.0,87887000.0,69040000.0,101669000,1113564000.0,6873000,-2987000,-2987000,17710000.0,7758000,14970000.0,-180061000.0,141677000,-1619000,112464000.0,,0.0,-2987000,121145000,0.0,86919000,3126000,1388000.0,30694000.0,127258000,-0.03,,,,,,,,,,
2018-03-31,102256644.0,,-26170000.0,1649889000.0,347902000,21088000.0,79053000.0,17551000.0,-3399000.0,1580033000.0,196578000.0,141677000,0.0,214340000,17925000,-20333000,-20333000,,102256644.0,-0.16,653278000,-10852000,,-1875000,,-15902000,,1689477000.0,113576000.0,1480000.0,47716000,-12934000,,-139106000.0,51654000.0,54901000,1530000.0,646984000.0,,1383455000.0,,20317000.0,93059000.0,91893000.0,90498000,1782536000.0,-1875000,-15902000,-15902000,19071000.0,7582000,16355000.0,-933307000.0,196578000,-596257000,132647000.0,,,-15902000,123842000,,96459000,-218000,1236000.0,32993000.0,144175000,-0.16,,,,,,,,,,
2018-06-30,105978076.0,,-27208000.0,1656201000.0,396504000,24656000.0,95729000.0,20041000.0,-7797000.0,1574168000.0,219801000.0,196578000,0.0,244963000,24191000,-30761000,-30761000,,105978076.0,-0.23,9846000,-13608000,,-922000,,-23953000,,1706700000.0,132380000.0,1634000.0,54305000,-11573000,,-163059000.0,54807000.0,23223000,1622000.0,0.0,,1354367000.0,,22894000.0,102357000.0,112491000.0,108008000,1809057000.0,-25382000,-23953000,-23953000,20476000.0,7426000,17333000.0,-364039000.0,219801000,15139000,152856000.0,,,-23953000,136955000,,113411000,6808000,1509000.0,35029000.0,167716000,-0.23,,,,,,,,,,
2018-09-30,106647222.0,,-26606000.0,1672078000.0,415597000,26060000.0,107839000.0,23444000.0,-1696000.0,1578225000.0,243421000.0,219801000,0.0,270064000,26185000,-25172000,-31368000,,106647222.0,-0.22,6133000,-8300000,,2864000,0.0,-23184000,,1736986000.0,146947000.0,1744000.0,61629000,-7572000,,-186243000.0,55754000.0,23620000,2121000.0,0.0,,1334804000.0,,22894000.0,104708000.0,135317000.0,120337000,1841694000.0,-5436000,-23184000,-23184000,22669000.0,6196000,19605000.0,-392207000.0,243421000,15090000,169616000.0,,,-23184000,149727000,,119466000,8184000,1320000.0,36987000.0,181095000,-0.22,,,,,,,,,,
2018-12-31,107734499.0,,-3359000.0,2090768000.0,538261000,26072000.0,61271000.0,3681000.0,-12216000.0,1969670000.0,410683000.0,243421000,0.0,343862000,27419000,-9458000,-9458000,-30175000.0,107734499.0,-0.01,402925000,-8785000,,9257000,-15679000.0,-1514000,91787000.0,2129082000.0,138688000.0,1881000.0,67024000,-24010000,,-187757000.0,61612000.0,167262000,12216000.0,394704000.0,,1558987000.0,,38019000.0,125703000.0,103064000.0,158119000,2254785000.0,472000,-1514000,-1514000,25329000.0,5848000,22316000.0,-758402000.0,410683000,-244605000,164017000.0,,,-1514000,185743000,,128177000,7944000,1132000.0,39180000.0,195201000,-0.01,,,,,,,,,,
2019-03-31,110921276.0,,-28668000.0,2127918000.0,679467000,24156000.0,125025000.0,29701000.0,-2942000.0,1997014000.0,410446000.0,410683000,0.0,320482000,31164000,-35790000,-35790000,,110921276.0,-0.22,12056000,-10992000,,24344000,-5715000.0,-24151000,160961000.0,2173962000.0,173014000.0,2011000.0,76355000,7283000,,-203533000.0,160961000.0,-237000,5243000.0,0.0,,1586568000.0,,43672000.0,228789000.0,147247000.0,140191000,2402751000.0,13352000,-24151000,-24151000,101819000.0,6832000,98863000.0,-700052000.0,410446000,-37292000,274833000.0,,90128000.0,-24151000,180291000,,139726000,-439000,945000.0,42746000.0,216081000,-0.22,,,,,,,,,,
2019-06-30,112013409.0,,-23094000.0,2161184000.0,569852000,25314000.0,142000000.0,36438000.0,3804000.0,2013331000.0,668990000.0,410446000,0.0,361979000,39268000,-32245000,-39620000,,112013409.0,-0.26,15568000,-21380000,,23058000,-6761000.0,-28678000,182444000.0,2211165000.0,193351000.0,2092000.0,85520000,-1147000,,-232211000.0,182444000.0,258544000,,0.0,,1344341000.0,,48375000.0,256133000.0,130975000.0,157214000,2467298000.0,1678000,-28678000,-28678000,112763000.0,7375000,,-322762000.0,668990000,218949000,306114000.0,,,-28678000,204765000,,158865000,-1232000,1798000.0,45707000.0,244385000,-0.26,,,,,,,,,,
2019-09-30,113086997.0,,-58260000.0,2820059000.0,785614000,24759000.0,139330000.0,31184000.0,-2293000.0,2667182000.0,1124529000.0,668990000,0.0,390552000,40032000,-26915000,-35658000,,113086997.0,-0.64,697691000,-16469000,66617000.0,-29675000,0.0,-24446000,188929000.0,2910832000.0,259741000.0,2115000.0,90387000,5714000,48338000.0,-304995000.0,188929000.0,455539000,,688014000.0,,1542653000.0,,48375000.0,278103000.0,179291000.0,173856000,3188935000.0,-46144000,-72784000,-72784000,109135000.0,8743000,,-980288000.0,1124529000,-211143000,368876000.0,,,-72784000,216696000,,161967000,-432000,1425000.0,48368000.0,252354000,-0.64,,,,,,,,,,
