date,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2017-03-31,54605000.0,54919000,19565000.0,627933000.0,-16837000,45599000.0,0.0,173431000,488745000,-1242000.0,0.0,366737000.0,-80641000.0,-19383000,-247000.0,509000,-0.04,31670000,-4645000,366737000.0,-6508000,-14082000,377583000,244283000.0,39280000.0,,25707000,68582000,-795012000.0,91013000.0,-14581000,1343355000.0,554896000.0,99000,-1600000,461554000,43998000,171654000.0,252245000,62545000.0,80339000.0,-0.04,345739000.0,1591113000.0,247758000.0,65919000.0,288123000,266088000.0,499000.0,,408284000.0,62711000.0,-11891000.0,-15090000,-15090000,58103000.0,948777000.0,476000.0,106835000,2965000.0,704494000.0,187513000,13951000.0,-170394000,18395000.0,740990000,-15090000,-181851000.0,9437000,37490000,17536000.0,-92136000,963180000.0,,,,
2017-06-30,9270000.0,-45985000,54229000.0,703744000.0,7663000,53209000.0,0.0,207429000,740990000,-519000.0,0.0,376357000.0,-87721000.0,-7790000,-387000.0,472000,-0.04,39593000,-3099000,376357000.0,-7375000,-12224000,50196000,276883000.0,,,2892000,78126000,-810974000.0,87442000.0,-15490000,1437917000.0,624928000.0,0,0,551505000,46592000,175163000.0,12711000,40836000.0,8220000.0,-0.04,349960000.0,1741714000.0,303797000.0,73778000.0,344076000,317125000.0,,,413042000.0,124099000.0,-18401000.0,-15962000,-15962000,57961000.0,993872000.0,476000.0,122904000,4523000.0,716989000.0,219653000,18457000.0,-85350000,16452000.0,753701000,-15962000,-132204000.0,9125000,39217000,17843000.0,0,1037970000.0,,,,
2017-09-30,11016000.0,-280169000,97406000.0,732909000.0,40660000,94943000.0,0.0,218616000,753701000,-393000.0,0.0,383951000.0,-94597000.0,-18250000,-386000.0,-647000,-0.04,40048000,-5806000,383951000.0,-5742000,-14891000,3342000,295432000.0,,,5015000,82547000,-827072000.0,88666000.0,-16745000,1686877000.0,930679000.0,34000,-25000000,585159000,39727000,183263000.0,-60191000,44522000.0,3512000.0,-0.04,354237000.0,2083852000.0,396975000.0,77802000.0,366543000,591839000.0,,,420264000.0,216335000.0,-19893000.0,-16098000,-16098000,57961000.0,953844000.0,476000.0,130845000,3424000.0,658412000.0,233507000,21204000.0,-104765000,14648000.0,693510000,-16098000,-171429000.0,9085000,33985000,16263000.0,-18298000,1350943000.0,,,,
2017-12-31,86454000.0,-34596000,86111000.0,786333000.0,36666000,131551000.0,0.0,239830000,693510000,-1318000.0,0.0,390030000.0,-101316000.0,-25620000,-419000.0,-185000,-0.04,44525000,-12775000,390030000.0,-6472000,-13009000,23812000,272618000.0,,,-30795000,92633000,-842735000.0,91496000.0,-15848000,1778294000.0,972827000.0,-1518000,-315000,616035000,-2606000,192812000.0,41571000,69538000.0,28367000.0,-0.04,358572000.0,2187270000.0,408976000.0,79173000.0,376205000,620523000.0,,,428110000.0,203667000.0,-16833000.0,-15663000,-15663000,58327000.0,969092000.0,644000.0,143139000,5893000.0,696474000.0,252839000,16777000.0,19898000,14334000.0,735081000,-15663000,-59426000.0,9632000,-9078000,41152000.0,-26384000,1400937000.0,,,,
2018-03-31,16639000.0,-81452000,45450000.0,809980000.0,4104000,136458000.0,0.0,255170000,735081000,-1294000.0,,395948000.0,-109493000.0,-15879000,-665000.0,175000,-0.06,46824000,-10832000,395948000.0,-9667000,-20992000,3038000,352709000.0,,,17557000,105095000,-871307000.0,98170000.0,-23811000,1990383000.0,1131732000.0,-654000,-1055000,668603000,52053000,207663000.0,40995000,52555000.0,10184000.0,-0.06,362965000.0,2379612000.0,389229000.0,72573000.0,413433000,710522000.0,,,437900000.0,201672000.0,,-23986000,-23986000,58327000.0,1091295000.0,139000.0,152767000,3353000.0,738586000.0,276162000,20899000.0,-15493000,14138000.0,776076000,-23986000,-50221000.0,10160000,42386000,13877000.0,-27651000,1569632000.0,,,,
2018-06-30,20816000.0,-110535000,90082000.0,1081629000.0,12008000,149830000.0,0.0,315816000,776076000,-4456000.0,,403301000.0,-118454000.0,-18342000,-710000.0,604000,-0.01,52876000,9681000,403301000.0,-15060000,-2647000,788773000,442454000.0,,3093000.0,-43919000,114800000,-877213000.0,121708000.0,-5302000,2869896000.0,1315910000.0,-34000,-110773000,814938000,18979000,240162000.0,652296000,57231000.0,14977000.0,-0.01,1071437000.0,3554827000.0,684931000.0,86424000.0,499122000,824583000.0,,,1157288000.0,193150000.0,,-5906000,-5906000,255656000.0,1830431000.0,148000.0,181015000,24062000.0,1387977000.0,318463000,22041000.0,-150554000,85514000.0,1428372000,-5906000,-114803000.0,12328000,3919000,17650000.0,-214150000,2473198000.0,,,,
2018-09-30,30230000.0,-387782000,99429000.0,1122144000.0,65904000,215722000.0,0.0,352660000,1428372000,-6345000.0,,474915000.0,-129745000.0,5912000,-71330000.0,1066000,0.05,59055000,5968000,409690000.0,-14030000,-9867000,-101073000,718080000.0,,4329000.0,-41255000,135773000,-857570000.0,130145000.0,20709000,2877368000.0,1863537000.0,125000,-571000,882108000,47628000,259890000.0,-663302000,59092000.0,16688000.0,0.04,897976000.0,3973368000.0,1096000000.0,119910000.0,529448000,1213681000.0,,125971000.0,987687000.0,599571000.0,37800000.0,19643000,19643000,259964000.0,1439818000.0,147000.0,201864000,29285000.0,721738000.0,362527000,25294000.0,-609208000,81130000.0,765070000,19643000,-694036000.0,15835000,33598000,15147000.0,-57324000,2851224000.0,,,,
2018-12-31,164966000.0,825564000,182819000.0,1120501000.0,-142667000,54137000.0,0.0,380054000,765070000,-6053000.0,,413984000.0,-124909000.0,-31148000,-150620000.0,481000,-0.07,59025000,-981000,413984000.0,-24030000,-3108000,-174983000,875008000.0,,4977000.0,109730000,141811000,-885774000.0,291402000.0,-27723000,2111905000.0,1018541000.0,-83000,0,932528000,176420000,291402000.0,-132223000,93286000.0,99153000.0,-0.07,899695000.0,3281023000.0,1169118000.0,116036000.0,552474000,364946000.0,,,1141981000.0,464680000.0,-19439000.0,-28204000,-28204000,261705000.0,1458181000.0,,214750000,31474000.0,583173000.0,383162000,28627000.0,-130593000,77102000.0,632847000,-28204000,-289382000.0,22638000,152390000,74229000.0,-63433000,2160522000.0,,,,
2019-03-31,46781000.0,-1027472000,189315000.0,1121589000.0,211984000,290756000.0,0.0,396754000,632847000,-3424000.0,,419289000.0,-138540000.0,-50245000,-1284000.0,129000,-0.09,61088000,3619000,419289000.0,-18168000,-22042000,-26852000,1011956000.0,,5817000.0,-7083000,153559000,-923925000.0,245662000.0,-38022000,3266522000.0,2183559000.0,-754000,-11248000,959359000,32444000,384202000.0,-63518000,69768000.0,16869000.0,-0.09,909302000.0,4402591000.0,1136069000.0,104101000.0,562605000,1419743000.0,,,1097443000.0,512318000.0,-11299000.0,-38151000,-38151000,267012000.0,1533632000.0,,235311000,36343000.0,521676000.0,418796000,26679000.0,-70387000,79697000.0,569329000,-38151000,-230286000.0,25661000,14276000,31380000.0,-50896000,3281002000.0,,,,
2019-06-30,180360000.0,-120904000,210436000.0,1184472000.0,24531000,290652000.0,0.0,465845000,569329000,-926000.0,,423305000.0,-152792000.0,-29469000,-1284000.0,-476000,-0.02,79466000,451000,423305000.0,-11994000,-843000,-15553000,1057151000.0,,6173000.0,26057000,174201000,-930665000.0,238556000.0,-7216000,3528646000.0,2375594000.0,-1475000,-9124000,1174238000,133392000,238556000.0,93534000,67649000.0,111878000.0,-0.02,919026000.0,4654006000.0,1125360000.0,145981000.0,708393000,1506194000.0,,,1093940000.0,460827000.0,-1230000.0,-6740000,-6740000,270161000.0,1674433000.0,,256929000,38639000.0,617282000.0,466688000,29354000.0,-25368000,84216000.0,662863000,-6740000,-214686000.0,26447000,121398000,71600000.0,-55862000,3469534000.0,,,,
2019-09-30,38902000.0,932782000,368378000.0,1249794000.0,-209055000,118753000.0,0.0,500037000,662863000,-2387000.0,,466099000.0,-166350000.0,-1311000,2568000.0,2606000,0.07,77426000,58815000,427124000.0,-15664000,32094000,-43804000,1218255000.0,,6238000.0,75079000,168771000,-901268000.0,242704000.0,32003000,2758766000.0,1644901000.0,1175000,0,1266474000,238747000,409054000.0,-8993000,64245000.0,12731000.0,0.06,928869000.0,4000504000.0,1241738000.0,139842000.0,766437000,602056000.0,,,1105809000.0,593383000.0,5541000.0,29397000,29397000,265974000.0,1830303000.0,,265447000,39025000.0,612048000.0,467943000,44690000.0,-200923000,72793000.0,653870000,29397000,-553637000.0,26721000,223083000,32685000.0,-61232000,2750710000.0,,,,
