date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyNetIncomeCommonStockholders,quarterlyRepaymentOfDebt,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings
2015-06-30,-80000000,2000000,-3000000,0.0,,0.18,,383000000.0,8000000,212000000.0,74000000.0,,8000000.0,8000000.0,3000000.0,1000000.0,177000000,9922000000.0,590000000,93000000,194000000,-1011000000.0,-217000000,78000000,-81000000.0,10933000000.0,96000000,-63000000,,414000000.0,834000000.0,0,84000000.0,0.18,422000000.0,0.0,,11766000000.0,257000000.0,1068000000.0,12180000000.0,353000000,,-121000000,2563000000.0,77000000,77000000,76000000,38000000.0,23000000,2611000000.0,488000000.0,8000000,8000000,-1000000.0,53000000.0,77000000,-150000000.0,-290000000,422000000.0,343000000.0,0,,50000000.0,3445000000.0,10000000.0,,237000000,144000000,-67000000,-133000000.0,,,,,,
2015-09-30,1000000,-37000000,1000000,0.0,3000000.0,-2.33,,346000000.0,8000000,206000000.0,54000000.0,,5000000.0,5000000.0,1000000.0,0.0,-884000000,10038000000.0,646000000,130000000,-15000000,-1089000000.0,-198000000,-991000000,-1000000.0,11127000000.0,207000000,9000000,0.0,427000000.0,804000000.0,-3000000,100000000.0,-2.33,422000000.0,-1000000.0,,10774000000.0,291000000.0,0.0,11201000000.0,371000000,,9000000,2737000000.0,-991000000,-985000000,84000000,39000000.0,23000000,2786000000.0,432000000.0,5000000,-1098000000,-1000000.0,52000000.0,-985000000,-125000000.0,-195000000,422000000.0,341000000.0,0,,49000000.0,3590000000.0,10000000.0,,275000000,145000000,-12000000,-134000000.0,,,,,,
2015-12-31,2000000,50000000,-1000000,0.0,-3000000.0,,,333000000.0,5000000,248000000.0,58000000.0,,4000000.0,4000000.0,2000000.0,-2000000.0,159000000,10131000000.0,566000000,95000000,-20000000,-1162000000.0,-215000000,50000000,0.0,11293000000.0,235000000,66000000,-2000000.0,381000000.0,615000000.0,-1000000,92000000.0,,,0.0,,10857000000.0,245000000.0,,11238000000.0,326000000,,20000000,3046000000.0,52000000,65000000,85000000,38000000.0,24000000,3092000000.0,236000000.0,4000000,-21000000,0.0,53000000.0,65000000,0.0,-216000000,,344000000.0,0,131000000.0,49000000.0,3707000000.0,8000000.0,,240000000,145000000,53000000,-134000000.0,,,,,,
2016-03-31,0,24000000,8000000,0.0,13000000.0,0.19,,327000000.0,4000000,153000000.0,55000000.0,,38000000.0,38000000.0,2000000.0,1000000.0,191000000,10176000000.0,509000000,103000000,34000000,-1219000000.0,-130000000,87000000,0.0,11395000000.0,117000000,-52000000,,380000000.0,280000000.0,34000000,92000000.0,0.21,422000000.0,-1000000.0,362000000.0,10869000000.0,226000000.0,,11249000000.0,276000000,,-13000000,3074000000.0,86000000,86000000,81000000,40000000.0,23000000,3122000000.0,0.0,38000000,7000000,0.0,45000000.0,86000000,-453000000.0,-117000000,443000000.0,331000000.0,362000000,20000000.0,35000000.0,3402000000.0,8000000.0,,233000000,130000000,-87000000,-134000000.0,,,,,,
2016-06-30,0,-2000000,1000000,0.0,0.0,0.08,,320000000.0,38000000,141000000.0,55000000.0,,6000000.0,6000000.0,3000000.0,0.0,147000000,10165000000.0,529000000,57000000,-113000000,-1291000000.0,-91000000,39000000,0.0,11456000000.0,172000000,41000000,,349000000.0,301000000.0,-32000000,113000000.0,0.08,422000000.0,0.0,0.0,10851000000.0,225000000.0,,11200000000.0,337000000,,81000000,3101000000.0,39000000,39000000,83000000,41000000.0,25000000,3150000000.0,0.0,6000000,7000000,0.0,44000000.0,35000000,-171000000.0,-91000000,423000000.0,331000000.0,0,27000000.0,35000000.0,3451000000.0,8000000.0,,192000000,135000000,3000000,-140000000.0,,,,,,
2016-09-30,1000000,-47000000,2000000,0.0,5000000.0,0.26,,313000000.0,6000000,144000000.0,52000000.0,,23000000.0,23000000.0,4000000.0,2000000.0,231000000,10156000000.0,620000000,147000000,-130000000,-1367000000.0,-68000000,121000000,,11523000000.0,209000000,-11000000,4000000.0,408000000.0,338000000.0,17000000,138000000.0,0.26,422000000.0,-1000000.0,0.0,10833000000.0,278000000.0,,11241000000.0,352000000,,141000000,3113000000.0,119000000,119000000,84000000,49000000.0,26000000,3174000000.0,,23000000,8000000,,42000000.0,110000000,-132000000.0,-62000000,422000000.0,326000000.0,0,21000000.0,38000000.0,3512000000.0,12000000.0,,268000000,121000000,-4000000,-143000000.0,,,,,,
2016-12-31,0,29000000,1000000,0.0,-3000000.0,,,306000000.0,23000000,181000000.0,70000000.0,,6000000.0,6000000.0,4000000.0,-2000000.0,182000000,10143000000.0,614000000,87000000,-126000000,-1424000000.0,-94000000,67000000,,11567000000.0,223000000,54000000,-2000000.0,396000000.0,362000000.0,0,80000000.0,,,-1000000.0,137000000.0,10816000000.0,249000000.0,,11212000000.0,390000000,37000000.0,129000000,2993000000.0,69000000,68000000,90000000,53000000.0,25000000,3056000000.0,0.0,23000000,5000000,,41000000.0,59000000,-1015000000.0,-97000000,,329000000.0,137000000,30000000.0,38000000.0,3418000000.0,10000000.0,31000000.0,224000000,137000000,48000000,-144000000.0,,,,,,
2017-03-31,1000000,10000000,1000000,0.0,4000000.0,0.26,,299000000.0,23000000,128000000.0,52000000.0,,17000000.0,17000000.0,4000000.0,1000000.0,236000000,10126000000.0,666000000,140000000,-92000000,-1496000000.0,-61000000,121000000,,11622000000.0,156000000,-57000000,1000000.0,375000000.0,279000000.0,8000000,122000000.0,0.26,433000000.0,-1000000.0,0.0,10786000000.0,231000000.0,,11161000000.0,396000000,,95000000,3047000000.0,120000000,120000000,88000000,54000000.0,27000000,3111000000.0,,31000000,8000000,,40000000.0,111000000,-900000000.0,-56000000,434000000.0,325000000.0,0,25000000.0,36000000.0,3390000000.0,10000000.0,,270000000,130000000,-55000000,-147000000.0,,,,,,
2017-06-30,0,18000000,-2000000,0.0,1000000.0,0.2,,293000000.0,31000000,140000000.0,54000000.0,,7000000.0,7000000.0,4000000.0,1000000.0,217000000,10128000000.0,626000000,122000000,-150000000,-1571000000.0,-87000000,97000000,,11699000000.0,226000000,32000000,1000000.0,351000000.0,298000000.0,-10000000,117000000.0,0.2,433000000.0,0.0,0.0,10780000000.0,220000000.0,,11131000000.0,368000000,,139000000,3046000000.0,96000000,95000000,89000000,54000000.0,31000000,3111000000.0,,21000000,6000000,,42000000.0,86000000,-130000000.0,-86000000,434000000.0,324000000.0,-1000000,23000000.0,35000000.0,3409000000.0,11000000.0,,258000000,136000000,9000000,-149000000.0,,,,,,
2017-09-30,0,-100000000,2000000,0.0,4000000.0,0.24,,286000000.0,21000000,198000000.0,50000000.0,,8000000.0,8000000.0,4000000.0,0.0,234000000,10174000000.0,705000000,137000000,-75000000,-1650000000.0,-102000000,113000000,,11824000000.0,174000000,-35000000,0.0,446000000.0,831000000.0,1000000,126000000.0,0.24,434000000.0,0.0,0.0,10816000000.0,321000000.0,,11262000000.0,439000000,,72000000,2669000000.0,113000000,113000000,90000000,59000000.0,31000000,2740000000.0,450000000.0,22000000,7000000,,40000000.0,104000000,-124000000.0,-98000000,435000000.0,320000000.0,-1000000,23000000.0,36000000.0,3571000000.0,12000000.0,,266000000,129000000,30000000,-147000000.0,,,,,,
2017-12-31,2000000,44000000,0,0.0,-4000000.0,0.23,,451000000.0,22000000,263000000.0,62000000.0,,5000000.0,5000000.0,3000000.0,-3000000.0,235000000,10355000000.0,806000000,129000000,185000000,-1724000000.0,-166000000,105000000,,12079000000.0,278000000,74000000,-5000000.0,416000000.0,1279000000.0,-3000000,60000000.0,0.23,430434783.0,-1000000.0,,11177000000.0,277000000.0,12000000.0,11593000000.0,544000000,32000000.0,112000000,2595000000.0,108000000,108000000,99000000,59000000.0,31000000,2660000000.0,405000000.0,19000000,7000000,,40000000.0,99000000,-682000000.0,-466000000,430434783.0,324000000.0,0,24000000.0,35000000.0,3939000000.0,6000000.0,34000000.0,262000000,133000000,70000000,-147000000.0,,,,,,
2018-03-31,7000000,23000000,1000000,0.0,7000000.0,0.24,,440000000.0,19000000,209000000.0,58000000.0,,30000000.0,30000000.0,5000000.0,0.0,243000000,10468000000.0,748000000,139000000,35000000,-1805000000.0,-190000000,114000000,,12273000000.0,166000000,-50000000,,413000000.0,1404000000.0,25000000,119000000.0,0.24,434000000.0,,,11274000000.0,253000000.0,12000000.0,11687000000.0,471000000,,-24000000,2594000000.0,114000000,114000000,96000000,64000000.0,33000000,2664000000.0,595000000.0,44000000,8000000,,39000000.0,105000000,0.0,-176000000,435000000.0,317000000.0,-5000000,27000000.0,37000000.0,4068000000.0,6000000.0,,277000000,138000000,-60000000,-150000000.0,,,,,,
2018-06-30,2000000,-35000000,-3000000,0.0,1000000.0,0.2,,429000000.0,44000000,244000000.0,62000000.0,,7000000.0,7000000.0,3000000.0,,227000000,10563000000.0,805000000,126000000,-80000000,-1880000000.0,-185000000,95000000,,12443000000.0,239000000,47000000,,432000000.0,1258000000.0,-23000000,146000000.0,0.2,435000000.0,,,11360000000.0,289000000.0,12000000.0,11792000000.0,540000000,,54000000,2881000000.0,95000000,95000000,96000000,76000000.0,36000000,2963000000.0,826000000.0,21000000,5000000,,41000000.0,86000000,-528000000.0,-182000000,436000000.0,315000000.0,-4000000,26000000.0,41000000.0,4221000000.0,6000000.0,,265000000,139000000,41000000,-145000000.0,,,,,,
2018-09-30,0,-46000000,-3000000,0.0,3000000.0,0.3,,418000000.0,21000000,259000000.0,61000000.0,,8000000.0,8000000.0,4000000.0,0.0,279000000,10670000000.0,928000000,171000000,-59000000,-1963000000.0,-176000000,139000000,,12633000000.0,233000000,-11000000,,481000000.0,1403000000.0,1000000,177000000.0,0.3,435000000.0,0.0,,11454000000.0,333000000.0,12000000.0,11935000000.0,616000000,,57000000,2880000000.0,139000000,138000000,100000000,78000000.0,40000000,2964000000.0,913000000.0,22000000,8000000,,45000000.0,129000000,0.0,-173000000,436000000.0,313000000.0,0,28000000.0,41000000.0,4367000000.0,6000000.0,,312000000,141000000,0,-147000000.0,,,,,,
2018-12-31,1000000,47000000,-5000000,0.0,-4000000.0,0.38,,663000000.0,22000000,288000000.0,68000000.0,,8000000.0,8000000.0,4000000.0,-1000000.0,323000000,10871000000.0,950000000,212000000,337000000,-2028000000.0,-177000000,174000000,,12899000000.0,286000000,2000000,-1000000.0,449000000.0,1615000000.0,0,79000000.0,0.38,434210526.0,0.0,0.0,11995000000.0,290000000.0,98000000.0,12444000000.0,590000000,,109000000,3129000000.0,175000000,174000000,106000000,77000000.0,43000000,3211000000.0,1149000000.0,22000000,5000000,,50000000.0,165000000,-100000000.0,-623000000,434210526.0,317000000.0,0,32000000.0,46000000.0,4826000000.0,5000000.0,38000000.0,360000000,148000000,24000000,-149000000.0,,,,,,
2019-03-31,-10000000,29000000,-1000000,0.0,,0.26,,647000000.0,22000000,211000000.0,54000000.0,,18000000.0,18000000.0,4000000.0,-1000000.0,273000000,10906000000.0,795000000,165000000,-74000000,-2110000000.0,-143000000,122000000,,13016000000.0,215000000,-17000000,-1000000.0,402000000.0,1941000000.0,-3000000,148000000.0,0.26,435000000.0,,,12045000000.0,261000000.0,98000000.0,12447000000.0,483000000,,72000000,2822000000.0,123000000,122000000,105000000,97000000.0,46000000,2923000000.0,1552000000.0,19000000,3000000,,51000000.0,113000000,-250000000.0,-144000000,435000000.0,308000000.0,-23000000,26000000.0,86000000.0,4864000000.0,4000000.0,,312000000,147000000,-55000000,-148000000.0,,,,,,
2019-06-30,1000000,28000000,5000000,0.0,,0.26,-3000000.0,632000000.0,19000000,148000000.0,71000000.0,,9000000.0,9000000.0,5000000.0,0.0,282000000,10905000000.0,735000000,167000000,-113000000,-2197000000.0,-109000000,124000000,,13102000000.0,212000000,-28000000,0.0,376000000.0,1270000000.0,-9000000,144000000.0,0.26,437000000.0,,,12033000000.0,229000000.0,98000000.0,12409000000.0,427000000,,103000000,3473000000.0,124000000,124000000,110000000,103000000.0,48000000,3580000000.0,935000000.0,10000000,5000000,,46000000.0,115000000,-500000000.0,-108000000,437000000.0,308000000.0,0,25000000.0,90000000.0,4850000000.0,4000000.0,,308000000,141000000,-57000000,-148000000.0,,,,,,
2019-09-30,1000000,-41000000,-1000000,0.0,,0.28,-4000000.0,616000000.0,10000000,147000000.0,67000000.0,,12000000.0,12000000.0,4000000.0,0.0,289000000,10908000000.0,699000000,175000000,-160000000,-2263000000.0,-101000000,133000000,,13171000000.0,264000000,17000000,0.0,417000000.0,819000000.0,3000000,177000000.0,0.28,437000000.0,,,12018000000.0,268000000.0,98000000.0,12435000000.0,371000000,,163000000,3968000000.0,133000000,132000000,108000000,103000000.0,48000000,4076000000.0,435000000.0,13000000,6000000,,47000000.0,123000000,-200000000.0,-101000000,437000000.0,309000000.0,-4000000,31000000.0,87000000.0,4895000000.0,5000000.0,,328000000,153000000,2000000,-151000000.0,,,,,,
