date,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyDilutedAverageShares,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
2004-06-30,17768000,54010000,-3516000,-293000.0,,1433000.0,,-0.05,-1900000,935000.0,55600000,-3333000,-2594000,-124934000.0,,11486000,55683000.0,20543000,79268000,-619000.0,24792000.0,0.0,3067000.0,,9933000.0,10265000.0,,35057000,8419000,,11752000,-3516000,69920000.0,,-719000.0,,-3516000,5993000,69701000,-10554000.0,,,,-189000.0,2770000.0,45129000,28804000.0,66179000,388000.0,54110000,183000.0,0,5320000,,-0.05,904000.0,,0.0,,28549000.0,-1148000,9036000.0,125301000,46033000,18780000.0,,12069000.0,69920000.0,,45270000,8740000,,194635000.0,11119000,,,
2004-09-30,40158000,54322000,-2026000,0.0,,1084000.0,,-0.025,-696000,-5202000.0,23343000,-1780000,-16085000,,,13512000,18424000.0,19840000,81520000,-413000.0,,0.0,3517000.0,,9486000.0,,,3503000,9995000,,11775000,-2026000,75228000.0,,0.0,,-2026000,7563000,68729000,-10554000.0,,,,1311000.0,3183000.0,7870000,906000.0,66506000,,54322000,246000.0,0,5356000,,-0.025,2682000.0,,0.0,-509000.0,-24286000.0,-15576000,9225000.0,92072000,10552000,0.0,,12184000.0,75228000.0,,312000,54010000,,68729000.0,10615000,,,
2004-12-31,-1435000,54789000,3247000,0.0,,809000.0,,,3829000,-11629000.0,22645000,3020000,460000,-123712000.0,,14783000,19625000.0,19048000,83691000,-624000.0,,0.0,3874000.0,10407000.0,11891000.0,,,3597000,10909000,,7889000,3247000,,,-35000.0,,3247000,5786000,72262000,-11051000.0,,,,3268000.0,3807000.0,8574000,123000.0,54789000,,54789000,714000.0,0,5262000,,,2642000.0,,0.0,-1400000.0,121000.0,1860000,5957000.0,94907000,11216000,0.0,,,,0.0,467000,54322000,381000.0,-60000.0,2684000,,,
2005-03-31,73000,52953000,-1235000,,,760000.0,,-0.015,-619000,-2921000.0,21358000,-1379000,-6385000,72041000.0,,15148000,21882000.0,15585000,80413000,-1172000.0,,0.0,4599000.0,,11755000.0,,,5773000,10549000,,11928000,-1235000,76694000.0,,0.0,,-1235000,5993000,72422000,-11051000.0,,,,,4979000.0,10831000,1284000.0,62061000,,52953000,,0,5878000,,-0.015,2536000.0,,0.0,-3060000.0,1284000.0,-3325000,0.0,93780000,13367000,3133000.0,,9108000.0,76694000.0,,-1836000,54789000,381000.0,,15585000,,,
2005-06-30,3555000,54566000,-18539000,,,806000.0,,-0.23,-1940000,-1936000.0,20970000,-2746000,-7041000,,,15824000,24624000.0,15067000,72938000,-177000.0,,0.0,4734000.0,,12192000.0,,,5903000,11090000,,13836000,-18539000,80374000.0,,-2388000.0,,-18539000,6494000,70289000,-11051000.0,,,,-15800000.0,5157000.0,13573000,1651000.0,54566000,,54566000,,0,7301000,,-0.23,4748000.0,,-27000.0,-3172000.0,1624000.0,-3869000,0.0,91259000,18321000,9115000.0,,,80374000.0,,1613000,52953000,,70289000.0,15067000,,,
2005-09-30,-2634000,50172000,-1426000,,,983000.0,,-0.015,-555000,-3454000.0,25922000,-1538000,-6528000,,,19516000,26393000.0,19742000,76323000,-2006000.0,,0.0,6599000.0,9558000.0,17607000.0,,,6180000,12917000,,14455000,-1426000,81820000.0,,0.0,2212000.0,-1426000,7276000,71104000,-11051000.0,,,,,7162000.0,15342000,2117000.0,50172000,,50172000,,0,7062000,,-0.015,5361000.0,,0.0,-2634000.0,2090000.0,-3894000,0.0,97026000,20703000,0.0,,,81820000.0,,-4394000,54566000,,71104000.0,7972000,,,
2005-12-31,-2529000,50822000,326000,,,1448000.0,,,1464000,87000.0,28113000,16000,-449000,-144586000.0,,23013000,30509000.0,21718000,79710000,-3147000.0,54000.0,0.0,7249000.0,14210000.0,17620000.0,6341000.0,,6395000,15764000,,15748000,326000,,,0.0,,326000,8209000,72497000,-14378000.0,,,,0.0,10309000.0,16131000,994000.0,50822000,118000.0,50822000,,0,7484000,,,4769000.0,,0.0,-2529000.0,965000.0,2080000,0.0,100610000,20900000,0.0,,,,,650000,50172000,413000.0,-96000.0,7390000,,,
2006-03-31,-7228000,49044000,-104000,-3036000.0,,1006000.0,,-0.001254,465000,-1693000.0,33804000,-541000,-1832000,,,29102000,33593000.0,24697000,84589000,-3549000.0,25000.0,0.0,9293000.0,,21427000.0,9082000.0,,9107000,19809000,,20350000,-104000,82950000.0,2125000.0,0.0,,-104000,12134000,78722000,-14378000.0,,,131000.0,0.0,12926000.0,19215000,3131000.0,49044000,118000.0,49044000,,0,8216000,,-0.001254,6597000.0,27000.0,0.0,-4192000.0,3102000.0,2360000,0.0,112526000,27937000,,,,82950000.0,,-1778000,50822000,,78722000.0,24579000,,,
2006-06-30,-9501000,152250000,6768000,-4529000.0,,1366000.0,,0.08,7889000,3442000.0,44283000,6523000,9931000,,,41577000,37106000.0,34871000,199338000,-4442000.0,,0.0,13576000.0,,23100000.0,,,9412000,28001000,,21478000,6768000,94660000.0,2125000.0,0.0,,6768000,12891000,186668000,-14378000.0,,,611000.0,0.0,17324000.0,22728000,97957000.0,156761000,114000.0,152250000,,0,8587000,,0.07,6760000.0,7379000.0,0.0,-4972000.0,97928000.0,14903000,0.0,230951000,31613000,,,4511000.0,87056000.0,,103206000,49044000,,186668000.0,34757000,,,
2006-09-30,-125637000,44166000,16162000,-183709000.0,,1565000.0,3754000.0,0.175,16819000,-8536000.0,45403000,15254000,8628000,,,53472000,39766000.0,33456000,220903000,-987000.0,,0.0,16356000.0,,29045000.0,,,11947000,37116000,,21862000,16162000,101158000.0,2125000.0,0.0,5878000.0,16162000,14118000,211074000,-14378000.0,,,1088000.0,0.0,19397000.0,25388000,4498000.0,169942000,94000.0,44166000,,0,7744000,,0.16,8061000.0,17250000.0,0.0,-4328000.0,4478000.0,12956000,16870000.0,256477000,35574000,,,125776000.0,92586000.0,,-108084000,152250000,,211074000.0,10614000,,,
2006-12-31,-18369000,38386000,17142000,-48093000.0,,1771000.0,2653000.0,,18347000,-12322000.0,53242000,16576000,7059000,-104618000.0,,60435000,45780000.0,33776000,193726000,-750000.0,,0.0,20119000.0,16400000.0,39984000.0,12479000.0,,19466000,40316000,,23740000,17142000,,2125000.0,-50000000.0,3382000.0,17142000,14914000,247342000,-20146000.0,,6987000.0,822000.0,0.0,20169000.0,25634000,2380000.0,130804000,63000.0,38386000,,67784000,8826000,,,11315000.0,17964000.0,1439000.0,-1722000.0,3788000.0,8781000,4078000.0,300584000,106858000,81446000.0,,92418000.0,,,-5780000,44166000,469000.0,11294000.0,9853000,,,
2007-03-31,-34410000,123529000,-298076000,-157550000.0,,3968000.0,7678000.0,-2.79,10967000,-2329000.0,476877000,6999000,11404000,,,72150000,52953000.0,66728000,424536000,-8203000.0,400006000.0,0.0,25120000.0,37695000.0,53127000.0,10143000.0,,410149000,47030000,,40031000,-298076000,106844000.0,248543000.0,0.0,8951000.0,-298076000,23633000,265960000,-20146000.0,,,4397000.0,-303400000.0,36340000.0,32807000,104171000.0,326821000,67000.0,123529000,,12993000,15956000,,-2.79,23958000.0,-293679000.0,0.0,-3239000.0,104950000.0,14643000,0.0,742837000,318301000,49634000.0,,203292000.0,106844000.0,-250889000.0,85143000,38386000,,265960000.0,20015000,,,
2007-06-30,-69514000,81117000,9264000,-139329000.0,,3937000.0,7785000.0,0.085,16188000,3521000.0,486739000,12251000,17797000,,,84535000,56829000.0,76607000,452186000,-6666000.0,400000000.0,0.0,30141000.0,44755000.0,57441000.0,10132000.0,,410132000,54394000,,42143000,9264000,116122000.0,248778000.0,0.0,9315000.0,9264000,23297000,286835000,-20146000.0,,,5330000.0,0.0,42898000.0,36683000,3679000.0,343262000,42000.0,81117000,,12631000,18184000,,0.08,23296000.0,14594000.0,0.0,-6686000.0,2465000.0,24483000,0.0,773574000,321388000,80674000.0,,262145000.0,107556000.0,-733000.0,-42412000,123529000,,286835000.0,22495000,,,
2007-09-30,-32144000,64107000,14503000,-152209000.0,,3711000.0,8667000.0,0.135,19421000,-21602000.0,488951000,15710000,-102000,,,97510000,59476000.0,79021000,486931000,-2282000.0,400000000.0,0.0,37078000.0,40831000.0,79886000.0,9930000.0,,409930000,60432000,,44722000,14503000,118790000.0,249227000.0,0.0,13172000.0,14503000,24307000,321258000,-20146000.0,,,5185000.0,0.0,45245000.0,39330000,10476000.0,352852000,25000.0,64107000,,12088000,19753000,,0.12,22633000.0,19688000.0,0.0,-5417000.0,10433000.0,5315000,2496000.0,810209000,323278000,125931000.0,,288745000.0,108636000.0,0.0,-17010000,81117000,,321258000.0,22497000,,,
2007-12-31,68382000,174941000,-4048000,-149295000.0,,4208000.0,-10470000.0,,-28560000,33572000.0,576054000,-32768000,2767000,-382977000.0,,112605000,77378000.0,165715000,562755000,-9979000.0,400000000.0,0.0,40097000.0,43311000.0,83119000.0,10339000.0,,410339000,72508000,,105276000,-4048000,,228734000.0,0.0,7541000.0,-4048000,30019000,411678000,-31104000.0,,,-25338000.0,-54536000.0,53980000.0,46274000,10368000.0,386082000,16000.0,174941000,,11753000,20050000,,,57971000.0,-29386000.0,20086000.0,-9086000.0,30444000.0,11853000,90536000.0,987732000,424977000,226769000.0,,211141000.0,,0.0,110834000,64107000,628000.0,1347000.0,24311000,,,
2008-03-31,-8123000,118614000,13428000,-166178000.0,,6488000.0,10857000.0,0.12,25462000,-101520000.0,484663000,18974000,-69718000,,7992000.0,121861000,86139000.0,469524000,464662000,-732000.0,,0.0,46081000.0,42123000.0,91412000.0,,,15139000,75780000,,56806000,13428000,127528000.0,228734000.0,0.0,,13428000,33827000,451089000,-31104000.0,,,9126000.0,0.0,54817000.0,55035000,15988000.0,275302000,400006000.0,118614000,,65595000,20564000,,0.105,55690000.0,22554000.0,0.0,-6963000.0,15979000.0,-62755000,0.0,935752000,471090000,165018000.0,,156688000.0,111668000.0,,-56327000,174941000,,451089000.0,27395000,,,
2008-06-30,-37384000,132968000,15398000,-81273000.0,,6920000.0,16343000.0,0.135,30791000,-9647000.0,500933000,23871000,14363000,,8209000.0,140177000,103229000.0,486048000,506656000,-12639000.0,14885000.0,0.0,50459000.0,,101985000.0,0.0,,14885000,89718000,,65847000,15398000,133396000.0,228734000.0,0.0,,15398000,35616000,491752000,-31104000.0,,,9303000.0,-4069000.0,67972000.0,72125000,14178000.0,303275000,400000000.0,132968000,,64950000,23493000,,0.115,53011000.0,24701000.0,0.0,-22860000.0,14171000.0,37223000,0.0,992685000,486029000,66749000.0,,170307000.0,113574000.0,,14354000,118614000,,491752000.0,86048000,,,
2008-09-30,-164520000,355219000,-7288000,-183400000.0,,6583000.0,38230000.0,-0.06,32779000,-20064000.0,508329000,26196000,11981000,,9563000.0,150260000,113302000.0,491347000,875226000,-4859000.0,460000.0,0.0,54430000.0,51436000.0,124161000.0,16522000.0,,16982000,95830000,,69634000,-7288000,119733000.0,228734000.0,-24666000.0,8749000.0,-7288000,39365000,852993000,-31104000.0,,,11270000.0,-24660000.0,72953000.0,82198000,356935000.0,649647000,400127000.0,355219000,,63501000,27567000,,-0.06,50299000.0,3982000.0,0.0,-15316000.0,356936000.0,27297000,0.0,1361322000,486096000,58862000.0,,294428000.0,119733000.0,,222251000,132968000,,852993000.0,31035000,,,
2008-12-31,-67222000,327024000,28939000,-137856000.0,,8936000.0,-7514000.0,,45012000,42839000.0,528504000,36076000,35563000,-332500000.0,12928000.0,160927000,141611000.0,509558000,864937000,-1330000.0,,0.0,54654000.0,80355000.0,133266000.0,,,18946000,106273000,,70197000,28939000,,228734000.0,0.0,,28939000,39206000,848596000,-52175000.0,,,10730000.0,0.0,73431000.0,89436000,2870000.0,640075000,399999000.0,327024000,,67917000,28338000,,,47755000.0,39669000.0,18501000.0,-50554000.0,-49414000.0,86117000,0.0,1377100000,512163000,121188000.0,,313051000.0,,,-28195000,355219000,1389000.0,2406000.0,29204000,,,
2009-03-31,-39818000,351146000,18811000,-189559000.0,14860000.0,7231000.0,19918000.0,0.15,41739000,-3269000.0,517435000,34508000,38179000,-333698000.0,8775000.0,165757000,,383312000,897167000,3851000.0,,0.0,54022000.0,71930000.0,134629000.0,,55900000.0,134123000,111735000,6503000.0,77227000,18811000,132967000.0,228734000.0,0.0,,18811000,42831000,855135000,,-10000000.0,,10540000.0,0.0,69182000.0,96552000,13051000.0,672590000,274791000.0,351146000,,24395000,32726000,,0.14,46068000.0,29351000.0,0.0,-12569000.0,7813000.0,50748000,0.0,1372570000,475403000,162310000.0,-4693000.0,321444000.0,121746000.0,,24122000,327024000,1407000.0,1872000.0,36591000,,,
