date,quarterlyNetOtherFinancingCharges,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2002-05-31,1478000.0,1356000,,9385000,38341000,11013000.0,-8240000,-4734000,1356000,181958000,55000,90512000,268000.0,6481000.0,82247000.0,0.0,,4026000.0,-16576000,24386000,8613000.0,12962000.0,135106000,3162000,35460000,19917000.0,956000,375127000,21890000,18884000,-12974000,30809000.0,,,2529000.0,,244179000,20539000.0,0.14,,6779000.0,,68205000,,27599000,-4256000.0,198249000,162705000,209158000.0,3213000,-9446000.0,,-9164000.0,6375000,,,18884000,-21569000,,0.15,82247000,736000,3006000.0,164220000,24386000,116002000,,1624000.0,0.0,,,130948000,0.0,-27200000.0,0,,
2002-08-31,-2120000.0,7528000,,7629000,36899000,54000.0,-6297000,13258000,7528000,185107000,-81000,79568000,-5858000.0,,90539000.0,1425000.0,,3993000.0,6360000,26126000,12086000.0,9792000.0,135224000,3148000,18884000,19915000.0,7128000,389003000,28259000,25244000,6961000,32612000.0,10000000.0,,2247000.0,,259637000,23071000.0,,,,,66700000,,29374000,-3796000.0,205061000,164598000,215455000.0,3248000,12714000.0,,22454000.0,6396000,,,25244000,-11565000,,,90539000,7864000,3015000.0,173755000,26126000,114522000,,1670000.0,-14768000.0,,,129366000,0.0,-30348000.0,0,,
2002-11-30,-4369000.0,1593000,,5963000,46063000,2706000.0,-8739000,9089000,1593000,190230000,-755000,104260000,836000.0,6846000.0,98612000.0,864000.0,,4004000.0,511000,23701000,16300000.0,8551000.0,140676000,3626000,25244000,19915000.0,1193000,433945000,28768000,25755000,350000,32566000.0,,,2511000.0,,269982000,23071000.0,0.17,73000.0,6970000.0,,101735000,,28714000,-5090000.0,246332000,169390000,224195000.0,5013000,3013000.0,,-24692000.0,8639000,,,25755000,-13239000,-400000.0,0.17,98612000,9057000,3013000.0,176375000,23701000,147720000,,2429000.0,-4500000.0,,,163963000,3869000.0,-33965000.0,0,,
2003-02-28,-1960000.0,1617000,,-703000,55073000,37000.0,-4092000,1467000,1617000,190929000,-644000,80603000,793000.0,6872000.0,101903000.0,871000.0,,3602000.0,-11752000,24867000,7299000.0,8842000.0,159146000,3728000,25755000,19915000.0,1217000,401720000,17007000,14003000,-2625000,30937000.0,,,2506000.0,,279672000,23071000.0,0.18,-29000.0,6928000.0,,67581000,,29806000,-9028000.0,214868000,188952000,228286000.0,4939000,-4581000.0,,23657000.0,8667000,,,14003000,-8592000,-400000.0,0.18,103035000,10274000,3004000.0,173736000,24867000,111833000,,2410000.0,-4500000.0,,,122048000,0.0,-37357000.0,1132000,,
2003-05-31,-491000.0,-7412000,,7207000,54881000,-180000.0,-7455000,1942000,-7412000,194826000,-901000,70751000,-2106000.0,6872000.0,101400000.0,0.0,,3694000.0,2330000,28604000,9724000.0,8763000.0,148235000,3756000,14003000,19915000.0,-7812000,399839000,16333000,16333000,-5513000,39675000.0,,,2919000.0,,285918000,23071000.0,-1.14,-1114000.0,6872000.0,,67113000,,21277000,-11694000.0,221680000,169512000,235741000.0,-7327000,5602000.0,,9852000.0,-3571000,,,16333000,-5440000,-400000.0,-1.14,102435000,2462000,,165406000,28604000,119245000,,-9518000.0,-1000000.0,,,113921000,0.0,-40915000.0,1035000,,
2003-08-31,-49000.0,-26024000,,14587000,57704000,21983000.0,-1937000,-9974000,-26024000,186027000,-12731000,73668000,660000.0,,99616000.0,0.0,,4080000.0,1536000,42064000,5970000.0,12698000.0,118969000,3847000,16333000,41898000.0,-26678000,391085000,17722000,17722000,-11911000,34512000.0,,-15000.0,2735000.0,,283304000,23071000.0,,430000.0,,,68504000,,15169000,-12642000.0,223506000,134138000,230522000.0,-26895000,3766000.0,,-3388000.0,-23048000,,,17722000,-1952000,-400000.0,,103712000,-24560000,,159419000,30328000,119794000,,-25364000.0,0.0,,,107781000,0.0,-44495000.0,4096000,,
2003-11-30,-18000.0,-6141000,,5897000,57162000,5000000.0,-2014000,-1633000,-6141000,184764000,1105000,74126000,-52000.0,7079000.0,95519000.0,14535000.0,,4185000.0,1147000,25972000,5466000.0,,126137000,3423000,17722000,41890000.0,-6981000,389712000,18869000,18869000,-3647000,39514000.0,,,2696000.0,,281757000,23071000.0,-0.99,-258000.0,7079000.0,,67688000,,21822000,-13473000.0,225480000,147959000,232536000.0,-4150000,1129000.0,,-458000.0,-727000,,,18869000,-2014000,,-0.99,99558000,-31541000,,156585000,25972000,125922000,,-6193000.0,0.0,,,107955000,0.0,-47772000.0,4039000,,
2004-02-29,3793000.0,-3663000,,-6833000,50829000,0.0,-478000,10394000,-3663000,182612000,1270000,60834000,241000.0,7362000.0,88487000.0,237000.0,,4130000.0,1132000,26240000,4696000.0,14407000.0,139167000,3779000,18869000,41890000.0,-4503000,368651000,20001000,20001000,9916000,35938000.0,,,2705000.0,,273488000,23071000.0,-0.61,-216000.0,7362000.0,,64840000,,24772000,-16927000.0,212444000,163939000,230012000.0,-1468000,10451000.0,,13292000.0,2311000,,,20001000,-478000,,-0.61,92892000,-36044000,,150008000,27888000,119552000,,-3422000.0,0.0,,,95163000,0.0,-47400000.0,4405000,,
2004-05-31,-59000.0,-6622000,,-9119000,50169000,0.0,-891000,-5042000,-6622000,177116000,-3774000,59057000,991000.0,7362000.0,85534000.0,731000.0,,3931000.0,-10442000,29472000,4668000.0,15318000.0,122688000,3658000,20001000,41890000.0,-7462000,350773000,9559000,9559000,-5933000,29813000.0,,,2557000.0,,266683000,23071000.0,-1.01,649000.0,7362000.0,,64410000,,23306000,-17051000.0,204769000,145994000,227652000.0,-6166000,-3994000.0,,1777000.0,-2508000,,,9559000,4109000,,-1.01,90566000,-43506000,,142292000,25788000,114203000,,-5631000.0,5000000.0,,,84090000,0.0,-50536000.0,5032000,,
2004-08-31,-92000.0,-13556000,,21066000,46642000,149000.0,-670000,10235000,-13556000,173420000,-4749000,62820000,3064000.0,,107138000.0,747000.0,,4173000.0,31334000,28816000,2196000.0,20468000.0,125789000,3575000,9559000,41890000.0,-14396000,376008000,34410000,34410000,9565000,29915000.0,,,3103000.0,,259142000,23071000.0,,910000.0,,,76421000,,24371000,-16900000.0,244646000,150160000,226933000.0,-4445000,11071000.0,,-3763000.0,-870000,,,34410000,-670000,,,112330000,-57902000,,127879000,27518000,132316000,,-9242000.0,-5000000.0,,,116866000,0.0,-53513000.0,5192000,,
2004-11-30,6350000.0,-1876000,,-12118000,39901000,5000.0,-4896000,-5026000,-1876000,176083000,160000,86637000,705000.0,10311000.0,64458000.0,1908000.0,,4671000.0,-21705000,25187000,1662000.0,14237000.0,129750000,3406000,34410000,2000.0,-2524000,373952000,12705000,12705000,-9922000,29334000.0,,,2926000.0,,254773000,23071000.0,-0.24,283000.0,10311000.0,,72738000,-212000.0,26971000,-15562000.0,193258000,156721000,232895000.0,1784000,-9045000.0,,-23817000.0,5190000,,,12705000,-4896000,,-0.24,69786000,-60426000,,177124000,24820000,123472000,,-665000.0,0.0,,,119179000,0.0,-56812000.0,5328000,,
2005-02-28,-421000.0,-3188000,,35858000,39196000,47793000.0,-982000,12105000,-3188000,176697000,-514000,70112000,316000.0,20014000.0,59894000.0,1339000.0,,4941000.0,44952000,27719000,2168000.0,19516000.0,154173000,2491000,12705000,3000.0,-3188000,404304000,57657000,57657000,11123000,21058000.0,,,2172000.0,,254783000,23071000.0,-0.16,-35000.0,20014000.0,,63723000,,28522000,-14563000.0,176515000,182695000,235703000.0,803000,10117000.0,,16525000.0,3294000,,,57657000,-982000,,-0.16,65288000,-63614000,,224084000,27719000,111227000,,-796000.0,0.0,,,149521000,0.0,-59006000.0,5394000,,
2005-05-31,11671000.0,-13145000,,-21687000,27470000,11000.0,-1183000,-5839000,-13145000,165184000,196000,65460000,3020000.0,24850000.0,37856000.0,1396000.0,,4894000.0,-27388000,35779000,3590000.0,18687000.0,142843000,3114000,57657000,3000.0,-13145000,354200000,30269000,30269000,-7022000,10659000.0,,,1313000.0,,236862000,29733000.0,-0.53,1437000.0,24850000.0,,54663000,,26727000,-14687000.0,134125000,169570000,226050000.0,-9052000,-5695000.0,,4652000.0,-5938000,,,30269000,-1183000,,-0.53,43083000,-76760000,,217358000,35779000,91042000,,-10076000.0,0.0,,,117338000,0.0,-60866000.0,5227000,,
2005-08-31,-1262000.0,-24127000,,12009000,11242000,625000.0,-3694000,-7825000,-4668000,142310000,-16931000,65719000,5099000.0,,23915000.0,2777000.0,,4773000.0,1378000,18446000,2717000.0,17217000.0,90239000,476000,30269000,3000.0,-24127000,319854000,30147000,30147000,-11519000,7065000.0,,,-1026000.0,,205412000,29600000.0,,-7570000.0,,,57423000,,19600000,-11422000.0,119021000,109839000,195525000.0,1154000,8028000.0,,-6722000.0,1630000,,,30147000,-3694000,,,29766000,-121534000,,198273000,7085000,89255000,,1601000.0,0.0,,,114442000,118000.0,-53215000.0,5851000,,
2005-11-30,185000.0,2005000,,11782000,11706000,1521000.0,-16505000,268000,1351000,155624000,876000,81157000,1342000.0,25698000.0,32859000.0,3079000.0,903000.0,5215000.0,-5803000,24368000,2464000.0,16113000.0,142520000,2274000,30147000,3000.0,2005000,345642000,24344000,24344000,-16237000,6797000.0,,,721000.0,,219775000,31279000.0,0.08,639000.0,26005000.0,,69825000,,27454000,-10561000.0,139511000,169974000,211032000.0,3086000,-4118000.0,,-15438000.0,5360000,,,24344000,-18399000,,0.08,38482000,-119529000,,203498000,24368000,101029000,,2701000.0,-1726000.0,,,125867000,1770000.0,-55408000.0,4720000,,
2006-02-28,155000.0,3240000,,18260000,8433000,19157000.0,-3992000,9055000,3347000,158767000,-79000,71225000,2152000.0,26821000.0,32313000.0,3954000.0,,5567000.0,23613000,24948000,2340000.0,15871000.0,162186000,2321000,24344000,3000.0,3240000,357853000,47957000,47957000,5063000,6291000.0,,,829000.0,,219240000,31764000.0,0.12,813000.0,27139000.0,,59137000,,31072000,-14677000.0,128878000,193258000,216203000.0,6124000,1009000.0,,9932000.0,8445000,,,47957000,-2576000,,0.12,38058000,-116289000,,226479000,24948000,90820000,,5708000.0,4526000.0,,,138613000,1243000.0,-57436000.0,5745000,,
2006-05-31,-77000.0,3228000,,-6852000,6210000,154000.0,-6292000,13117000,3125000,161444000,3705000,69102000,1192000.0,28373000.0,26291000.0,6108000.0,951000.0,,576000,26439000,3289000.0,15986000.0,153626000,2380000,47957000,3000.0,3228000,356031000,48533000,48533000,6825000,5417000.0,5502000.0,,708000.0,,218481000,,0.11,1405000.0,29067000.0,,62000000,,31011000,-10698000.0,123316000,184637000,220420000.0,4572000,5326000.0,,2123000.0,6952000,,,48533000,-6881000,,0.11,32114000,-113061000,,230135000,26380000,91202000,31883000.0,4417000.0,-5502000.0,,,137550000,1754000.0,-58976000.0,4872000,,
2006-08-31,180000.0,3385000,,-12489000,5705000,182000.0,-5842000,2209000,361000,162029000,-12801000,77432000,3426000.0,,13252000.0,4228000.0,1101000.0,5780000.0,-8538000,29291000,3599000.0,20959000.0,153165000,2643000,48533000,3000.0,3385000,359043000,39995000,39995000,-3633000,5575000.0,,,933000.0,,219787000,,,-1196000.0,,,65901000,30000.0,33639000,-10374000.0,121752000,186804000,221454000.0,4348000,-345000.0,,-8330000.0,6991000,,3596000.0,39995000,637000,,,19309000,-109676000,,234619000,27629000,102443000,31870000.0,3921000.0,0.0,,,139256000,1594000.0,-59425000.0,4956000,,
2006-11-30,-67000.0,4072000,,-16528000,5230000,134000.0,-5792000,-2594000,4054000,165489000,4231000,93730000,2973000.0,28429000.0,555000.0,3743000.0,961000.0,6249000.0,-24734000,26684000,4888000.0,19474000.0,168590000,2302000,39995000,3000.0,4072000,355474000,15261000,15261000,-8386000,1677000.0,,,355000.0,,222593000,,0.14,-30000.0,29105000.0,,75861000,,33907000,-10321000.0,113280000,202497000,226951000.0,7223000,-9897000.0,,-16298000.0,9525000,,512000.0,15261000,-5731000,,0.14,6276000,-105604000,,239386000,26684000,107004000,31801000.0,7246000.0,0.0,,,132881000,1513000.0,-61462000.0,4760000,,
2007-02-28,416000.0,6544000,,2751000,9443000,53000.0,-1780000,18259000,6516000,160918000,4357000,84108000,3219000.0,28477000.0,53000.0,13820000.0,1307000.0,6720000.0,18180000,29121000,4326000.0,19917000.0,193127000,2456000,15261000,3000.0,6544000,363796000,33441000,33441000,16479000,5062000.0,,,90000.0,,221938000,,0.22,534000.0,29224000.0,,72503000,,38730000,-10108000.0,124240000,231857000,223259000.0,9609000,7623000.0,,9622000.0,12065000,,1134000.0,33441000,-1740000,,0.23,6218000,-108517000,,236628000,28649000,118022000,31702000.0,9962000.0,0.0,,,141858000,1543000.0,-62341000.0,4858000,,
