date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2013-12-31,32185073490.566113,162906455771.28122,102958034710.4925,7257001337.529898,147037241200.54413,664250532.431613,0.0,0.0,44079206490.05164,,6067570377.786231,38011636112.26541,,66265011740.63993,6028930589.794405,117569037326.54938,21810710420.950157,21512551348.27575,12702648429.865065,1433022828.328101,0.0,-1228070747.735493,220166545756.9663,57260089985.68509,298159072.674407,0.0,455609430.036554,,19191649501.479588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,35299700341.41131,176198552500.7727,113608607904.23558,6692421359.654486,163521805264.01392,576503475.491296,0.0,0.0,49913197359.77833,,6589234223.200902,43262806317.05096,,69383121553.5466,6692421359.654486,130792740094.96461,18944622672.285904,18944622672.285904,18866138528.595425,1598237007.211098,0.0,,240212383923.78165,64013831423.00895,,0.0,467932446.030284,,17001765955.845892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,42216889463.183945,191600890548.98257,117403135706.3095,8718090813.402773,178475094215.02188,671753861.344402,0.0,0.0,61071958508.71238,,7709720354.070656,52232363944.76077,,77213711138.40422,7127236741.125513,134414356470.24306,30743194054.14607,30743194054.14607,15524582218.030642,1578288523.957279,0.0,-1590854072.27726,264133180877.35245,72532290328.36987,,0.0,466287874.980502,,25948486597.70798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,45814662669.92341,227211635364.27435,142558478197.0105,7512207449.964788,212265720536.798,801471943.629291,0.0,0.0,69707242339.78749,,8495587059.805447,55262094554.080025,,90792807090.06544,7512207449.964788,157860025223.88477,32895063510.108162,32895063510.108162,18681986941.432762,1798882413.922617,0.0,,313285909670.5838,86074274306.30945,,0.0,555284942.304666,,26373297968.555965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,56273129152.497116,233350660234.2097,152997951225.80472,9672769428.584696,215550875825.83258,914484839.005023,0.0,0.0,62552924600.02786,,9376218926.86268,51923736029.36328,,96270011823.2863,7751480307.997121,158236172709.81125,37433406183.24575,37433406183.24575,11842836536.208778,1756369691.143806,0.0,-1921289120.587575,325937789670.8898,92587129436.6801,0.0,0.0,580382879.814874,,31083689526.6661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,60346143888.73712,250251350745.33914,164275936199.90567,8287027712.46437,240286324360.98325,1342523135.756589,0.0,0.0,76010388161.07758,,9735700144.400518,63608650406.06364,,99288832414.20502,8287027712.46437,165252939286.45062,38956115108.293945,38956115108.293945,8200221522.867496,1736738795.635769,0.0,,355315835999.5155,105064485254.17635,,0.0,592844747.228221,,31187290025.217903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,71057418613.91577,266780449657.94705,182759406814.05658,12447981979.667154,257774216758.04068,1494886798.040991,0.0,0.0,75014809943.9841,,11121918128.960379,60675148501.57448,12365521.590109,104258542332.39716,10108188908.308767,175879731131.84628,40464259508.0813,40464259508.0813,10734290813.932796,2021427899.093997,0.0,-2339793071.358386,382377344354.07623,115596894696.12918,,0.0,620598756.044534,,37270567626.596725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,69667393164.72003,307615542281.36035,216989942233.41135,10035073796.87386,302771680298.13257,1995049771.561879,0.0,0.0,85781738064.72119,,11776497302.171848,68165106821.920654,12007592.594728,105759384590.70767,10035073796.87386,198278962825.42575,37873880779.17546,37873880779.17546,23786186226.06296,1912999048.145031,0.0,,429834689606.05396,122219147324.69359,,0.0,602635074.717613,,33833196317.733376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,333940402393.2928,239681141671.54437,13323747303.159689,336033539625.6753,2745982835.384373,,,96352397954.13094,,12263579181.809805,79869596320.55737,11539733.716791,119564746131.72859,10501745949.66153,224360906792.81744,52384750726.471275,52384750726.471275,25648247254.437733,421508619.673856,,-2822001353.498159,480111170280.9547,146170767887.6619,,,579154250.594194,,41876908187.58472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,403994813000.0,280967250000.0,12099046000.0,398710945000.0,2450890000.0,332596000.0,,117743695000.0,,12837653000.0,103903302000.0,11544000.0,128347871000.0,12099046000.0,266249497000.0,59803272000.0,58992387000.0,31999961000.0,426865000.0,,,557608658000.0,153613845000.0,810885000.0,149054881000.0,655829000.0,,39966130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,461903253000.0,347948215000.0,17418948000.0,475038586000.0,2117461000.0,561007000.0,,127090371000.0,,15242499000.0,110110950000.0,11544000.0,143375807000.0,14006249000.0,305595212000.0,70808602000.0,69246282000.0,22100765000.0,407579000.0,,-3412699000.0,655743327000.0,193840074000.0,1562320000.0,192265229000.0,655829000.0,,53797915000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,505724861000.0,385248472000.0,15218257000.0,537093926000.0,2497513000.0,,,151845454000.0,,17037836000.0,130764517000.0,11544000.0,149219030000.0,15218257000.0,350596301000.0,61916224000.0,61481231000.0,15193682000.0,400537000.0,,,727079389000.0,221354528000.0,434993000.0,,655829000.0,,60005490000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
