date,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicEPS,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
1999-03-31,-26400000.0,,19300000,0.3,,,39000000,67666667.0,-100000.0,20300000,20300000,,,928500000.0,-1300000.0,,976900000,,-14400000,58200000,,2000000.0,,67666667.0,300000,,38900000,20300000,999500000,,,,,,18100000.0,,,12800000,-600000.0,-500000.0,-2200000,,,,,,1014000000,56600000,71000000,,,8100000,,0.3,,83800000,58500000,-100000,,-15800000,,,,-14500000,2600000,,,,,,,-127400000,,,,,
1999-06-30,26500000.0,,-900000,0.3,,,12700000,67333333.0,-200000.0,20200000,20200000,,,917600000.0,,,976000000,,-14500000,11500000,,5800000.0,,67333333.0,58500000,,12500000,20200000,1018200000,,,,,,18600000.0,,,12400000,-12100000.0,-800000.0,-25800000,,,,,,1012300000,57900000,72400000,,,5900000,,0.3,,84800000,70100000,-300000,,4400000,,,,5900000,4600000,,,,,,,-900000,,,,,
1999-09-30,21500000.0,,20700000,0.19,,,28400000,68421053.0,0.0,13000000,13000000,,,906600000.0,-7500000.0,,975100000,,-13800000,49800000,,,,68421053.0,70100000,18400000.0,28400000,13000000,1052000000,,,,,,19700000.0,,,12400000,11600000.0,-100000.0,23000000,,,,,,1032900000,59300000,73100000,,,-20000000,,0.19,,85500000,119900000,700000,0.0,17400000,,,,19100000,5200000,,700000.0,,,,,-800000,,,,,
1999-12-31,5000.0,,-3795000,,,891000.0,23480000,,1000.0,-10965000,-10965000,,30506000.0,894791000.0,7500000.0,,974247000,,143557000,19756000,,,,,119900000,18402000.0,23481000,-10965000,1071199000,139594000.0,,139594000.0,400000000.0,,32500000.0,,,5203000,-25900000.0,30800000.0,14356000,,,,,-2080000.0,1062854000,59345000,-84212000,1182547000.0,,8837000,,,,-79009000,139594000,71000,11000.0,6409000,,,,8345000,-4533000,,-184000.0,,,,,-3858000,-287756000.0,,,,
2000-03-31,13000.0,,-63482000,0.04,,,45536000,67898000.0,,6940000,2733000,,30506000.0,884157000.0,,,923368000,,28311000,-17946000,,,,67912000.0,139594000,18402000.0,45536000,2733000,1024288000,121648000.0,,121648000.0,,,23849000.0,,,10653000,25358000.0,817000.0,26175000,,,,,-2353000.0,1012279000,59100000,30789000,1182547000.0,,365000,,0.04,,41828000,121648000,0,0.0,9142000,,,,12009000,2288000,,,,,,,-63495000,-298390000.0,,,,
2000-06-30,,,1000,0.11,,1656000.0,-6001000,68027000.0,,7512000,7512000,,30506000.0,873632000.0,,,923368000,,28685000,-6000000,,,,68101000.0,121648000,18402000.0,-6001000,7512000,1034266000,115648000.0,,115648000.0,,,23777000.0,,,10544000,-27075000.0,2135000.0,-24940000,,,,,-2024000.0,1014415000,59974000,31289000,1182547000.0,,272000,,0.11,,42145000,115648000,0,0.0,16655000,,,,19851000,2497000,,,,,,,0,-308915000.0,,,,
2000-09-30,0.0,,-42435000,0.13,0.0,,22700000,68038000.0,,8581000,8581000,,30506000.0,863109000.0,,,923368000,,28637000,-19510000,,,,68224000.0,115648000,18402000.0,22700000,8581000,1005951000,96138000.0,,96138000.0,,,23661000.0,,,10542000,25674000.0,5221000.0,2672000,,,,,-1680000.0,1019635000,60879000,32242000,1182547000.0,,294000,,0.13,,43073000,96138000,225000,-42435000.0,-17199000,,,,-13684000,2602000,,,,,,,0,-319438000.0,,,,
2000-12-31,-36975000.0,,-36974000,,8000.0,,23103000,,,-84278000,-84278000,,30506000.0,848545000.0,,,886385000,,-21604000,-8737000,,19846000.0,,,96138000,18402000.0,23103000,-84278000,981145000,87401000.0,,87401000.0,,,24031000.0,,,11864000,-27472000.0,-333000.0,418000,,,,,-1338000.0,1098659000,62369000,83973000,1176143000.0,,94488000,,,,95837000,87401000,5134000,1000.0,-121323000,,,,-117514000,2302000,,-36000.0,,,,,-36983000,-327598000.0,,,,
2001-03-31,-35000000.0,,-54846000,0.16,,,23098000,68222000.0,-95000.0,10579000,10579000,675000.0,30506000.0,838071000.0,,,851385000,,-1799000,-32303000,,0.0,,68872000.0,87401000,18402000.0,23003000,10579000,938689000,55098000.0,,55098000.0,,,21121000.0,,,10498000,-407000.0,1407000.0,1000000,,,,,-2270000.0,1044596000,47624000,49423000,1176143000.0,,410000,,0.15,,60324000,55098000,-555000,-19846000.0,-110745000,,11254000.0,,-105907000,2549000,,-460000.0,,,,,-35000000,-338072000.0,,,,
2001-06-30,-37210000.0,,-52334000,0.12,,,20355000,68409000.0,-74000.0,8105000,8105000,1210000.0,30506000.0,827596000.0,0.0,,850420000,,16084000,-31714000,,0.0,,69307000.0,55098000,18402000.0,20281000,8105000,901133000,23384000.0,,23384000.0,,,23405000.0,,,10089000,11485000.0,-10374000.0,1111000,,,,22282000.0,-431000.0,1011502000,47356000,31272000,1176143000.0,,439000,,0.12,,42218000,23384000,265000,-15124000.0,-117763000,,9315000.0,,-110369000,2593000,,339000.0,,,,,-965000,-348547000.0,,,,
2001-09-30,-2449000.0,,-18001000,0.13,0.0,88412000.0,17871000,68491000.0,-51000.0,9157000,9157000,470000.0,30506000.0,816740000.0,580000.0,,850016000,,16146000,443000,,15148000.0,,69584000.0,23384000,18402000.0,17820000,9157000,962782000,23827000.0,,23827000.0,,,22103000.0,,,9883000,-12591000.0,2487000.0,-1950000,,,,21655000.0,49429000.0,1044412000,47296000,31150000,1175763000.0,,457000,,0.13,,42104000,23827000,573000,-15148000.0,-138899000,,9627000.0,,-81630000,2598000,,-716000.0,,,,,-404000,-359023000.0,,,,
2001-12-31,-2515000.0,,-26277000,,-34000.0,55118000.0,18569000,,-897000.0,24047000,22725000,330000.0,30394000.0,806336000.0,-290000.0,,848368000,,15787000,-5231000,,17910000.0,,,23827000,18402000.0,17672000,22725000,941859000,90800000.0,5450000.0,18596000.0,,,26443000.0,,,9895000,6233000.0,998000.0,-1685000,,,,21027000.0,35174000.0,1032933000,62305000,46518000,1175838000.0,,-14474000,,,,57489000,18596000,2477000,-15148000.0,-134088000,,24087000.0,72204000.0,-91074000,2504000,,-2076000.0,,,,,-233580000,-369502000.0,,,,
2002-03-31,-16864000.0,,-34094000,0.18,,43751000.0,24178000,68698000.0,-76000.0,12701000,12701000,0.0,30394000.0,795420000.0,2114000.0,,831544000,,16292000,-9315000,,0.0,,69844000.0,18596000,18402000.0,24102000,12701000,891632000,53032000.0,,9281000.0,,,21331000.0,,,9839000,525000.0,1058000.0,1583000,,,,20400000.0,33452000.0,985898000,46739000,30447000,1174536000.0,,412000,,0.18,-40000.0,41335000,9281000,601000,-17230000.0,-137793000,,12701000.0,43751000.0,-94266000,2311000,,-873000.0,,,,,-16824000,-379116000.0,,,,
2002-06-30,-54445000.0,,-70852000,0.38,,42727000.0,32285000,68850000.0,-59000.0,10536000,26468000,0.0,30394000.0,780340000.0,-5587000.0,,807663000,,16044000,-5945000,,0.0,,70002000.0,9281000,18402000.0,32226000,26468000,880869000,46063000.0,,3336000.0,,,20481000.0,,,10842000,-4624000.0,12980000.0,8356000,,,,19653000.0,22256000.0,976244000,51246000,35202000,1168406000.0,,-22299000,,0.38,-5000.0,46307000,3336000,32622000,-16407000.0,-127731000,,10536000.0,42727000.0,-95375000,2601000,,338000.0,,,,,-636014000,-388066000.0,,,,
2002-09-30,-5375000.0,,-40999000,0.25,,34098000.0,40224000,69098000.0,-101000.0,17093000,17093000,-2200000.0,30394000.0,769981000.0,0.0,,785924000,,15527000,785000,,0.0,,70047000.0,3336000,18402000.0,40123000,17093000,857243000,38219000.0,30297000.0,4121000.0,,,19990000.0,,,10144000,21063000.0,-7915000.0,13148000,,,,19029000.0,-11387000.0,982868000,49079000,33552000,1168406000.0,,-1204000,,0.24,,44320000,4121000,1560000,-16488000.0,-127126000,,14893000.0,34098000.0,-125625000,2410000,,-28636000.0,,,,,-576000,-398425000.0,,,,
2002-12-31,-623097000.0,,47559000,,94609000.0,16713000.0,19698000,,-72000.0,37433000,9444000,0.0,30394000.0,828802000.0,0.0,,707709000,,17136000,-1666000,,16596000.0,,,4121000,20652000.0,19626000,9444000,895780000,19168000.0,-28620000.0,2455000.0,,,20418000.0,,,10424000,-17482000.0,10327000.0,-7155000,,,,18883000.0,-26909000.0,949407000,49835000,32699000,1237934000.0,,1806000,,,,43836000,2455000,-68923000,0.0,-134279000,,13538000.0,16713000.0,-53627000,2441000,,31650000.0,,,,,518396000,-409132000.0,,,,
2003-03-31,-2872000.0,,-35212000,0.47,35000.0,16551000.0,35846000,78834000.0,-41000.0,37288000,37288000,,30394000.0,818043000.0,,,750442000,,3990000,628000,,0.0,,79296000.0,2455000,20652000.0,35805000,37288000,878094000,13497000.0,,3083000.0,47499000.0,,18307000.0,,,10135000,-536000.0,-12255000.0,-12791000,,17769000.0,,18248000.0,-34304000.0,920860000,50423000,46433000,1237911000.0,,194000,,0.47,,57525000,3083000,-6000,-37742000.0,-118137000,,,10414000.0,-42766000,3140000,,35000.0,,,,,-81333000,-419868000.0,,,,
2003-06-30,-43775000.0,,-94005000,0.2,1241000.0,21770000.0,38170000,78935000.0,3000.0,15662000,16129000,,30394000.0,743141000.0,,,720160000,,18433000,6090000,,0.0,,79575000.0,3083000,20652000.0,38173000,16129000,800602000,23048000.0,,9173000.0,,,19851000.0,,,9434000,10558000.0,-5896000.0,4662000,,19940000.0,,16916000.0,-34803000.0,847806000,50185000,31752000,1153192000.0,,6925000,,0.2,,42273000,9173000,61925000,-21169000.0,-123177000,,,13875000.0,-47204000,3080000,,403000.0,,,,,28998000,-410051000.0,,,,
2003-09-30,0.0,,-52583000,0.41,9571000.0,0.0,33832000,79389000.0,-220000.0,30992000,32212000,0.0,30394000.0,730703000.0,0.0,,679362000,,14099000,922000,,0.0,,80258000.0,9173000,20652000.0,33612000,32212000,774400000,10095000.0,78760000.0,10095000.0,,,14688000.0,,,10507000,1315000.0,791000.0,2106000,,13727000.0,,16309000.0,-31778000.0,798105000,59779000,45680000,1145297000.0,,-12021000,,0.4,,56227000,10095000,19673000,-21336000.0,-112302000,,30992000.0,,-23705000,3136000,,-61129000.0,,,,,13032000,-414594000.0,,,,
2003-12-31,-8575000.0,,-35618000,,11757000.0,0.0,29518000,,0.0,13639000,77124000,0.0,30394000.0,681290000.0,0.0,,640562000,,18524000,72009000,,21614000.0,,,10095000,20652000.0,29518000,77124000,812850000,82104000.0,-81177000.0,82104000.0,,,14654000.0,,,9434000,-851000.0,13089000.0,12238000,,14562000.0,,15308000.0,-19042000.0,756535000,46817000,28293000,1090181000.0,,-70389000,,,,37727000,82104000,78109000,0.0,-56790000,,13639000.0,,56315000,3368000,,81281000.0,,,,,-65250000,-408891000.0,,,,
2004-03-31,51672000.0,,56416000,0.28,14521000.0,7527000.0,39685000,81703000.0,-30000.0,23275000,23275000,,30394000.0,963033000.0,,,782362000,,15674000,-80381000,,0.0,,82760000.0,82104000,21157000.0,39655000,23275000,1007319000,1723000.0,,1723000.0,,,15328000.0,,,10231000,-3133000.0,9115000.0,5982000,,18853000.0,,14718000.0,-24680000.0,893426000,54277000,38603000,1382697000.0,,-825000,,0.28,,49732000,1723000,-176482000,-48838000.0,-60740000,,,,113893000,3731000,,-176452000.0,,,,,-789000,-419664000.0,,,,
2004-06-30,17372000.0,,45598000,0.31,55518000.0,,30840000,83820000.0,24000.0,25654000,25654000,,30394000.0,1021010000.0,,,851675000,,34113000,7157000,,0.0,,84565000.0,1723000,21190000.0,30864000,25654000,1073003000,8880000.0,,8880000.0,,,16992000.0,,,11508000,-48000.0,-6159000.0,-6207000,,21298000.0,,14204000.0,-11364000.0,943375000,59767000,25654000,1452717000.0,,-1135000,,0.3,,38069000,8880000,-69281000,-27292000.0,-62377000,,,,129628000,3653000,,-69412000.0,,,,,-119106000,-431707000.0,,,,
2004-09-30,-3179000.0,,-24795000,0.3,5777000.0,,54030000,84073000.0,-280830000.0,25297000,25297000,,30394000.0,1045729000.0,-1370000.0,,853774000,,34941000,-5075000,,0.0,,84889000.0,8880000,21233000.0,-226800000,25297000,1091345000,3805000.0,153000.0,3805000.0,,,16946000.0,,,13495000,2340000.0,12229000.0,14569000,,27074000.0,,13536000.0,-14556000.0,961172000,61608000,26667000,1490588000.0,,-1675000,,0.3,,40243000,3805000,-34310000,-27393000.0,-64473000,,,,130173000,3563000,,246367000.0,,,,,-122179000,-444859000.0,,,,
2004-12-31,-13287000.0,,-7221000,,6066000.0,,25403000,,-43095000.0,25947000,46674000,,,1071132000.0,65830000.0,,843178000,,-31560000,-440000,,8743000.0,,,3805000,21283000.0,-17692000,46674000,1126935000,3365000.0,3320000.0,3365000.0,,,17551000.0,,,19106000,-8226000.0,-6287000.0,-14513000,,18718000.0,,12887000.0,-9747000.0,966711000,57259000,88819000,1525242000.0,,-22848000,,,,107925000,3365000,-18622000,0.0,-45297000,,,,160224000,5970000,,53000.0,,,,,169713000,-454110000.0,,,,
