date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyEbitda,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentLiabilities,quarterlyOperatingExpense,quarterlyCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure
2003-09-30,2788461714.9,2788461714.9,,,,,,,,,,,0.067558,,,,,,,,,,,,,,,,2788461714.9,,41275088837.0,,0.067558,,,20656856768.05,,,,20656856768.05,,41275088837.0,,,,,,,,,,,,,,,20656856768.05,,,,,,,,,,,,,,,,,,,,
2003-12-31,2024512642.15,2024512642.15,2646806012.1,,,5315987863.65,4248570090.05,,,,,8007338600.9,,9031246418.1,,5783198371.5,1092922753.75,14400404839.2,22407743440.1,,876978932.85,20620871.65,,,1117641309.65,26767787098.05,,73504342858.0,2024512642.15,,,44241463402.9,,,71102545251.45,-6859076414.4,3969927561.05,8347810632.25,757359665.35,-6859076414.4,,,46736555759.95,,,,9306536296.35,,29262879455.1,,,,16750546789.75,43123822093.25,17461250801.7,,18408486393.6,,-27978723158.2,,,,,,,,,,,,,,,,,,
2004-03-31,3520962095.8,3520962095.8,,,,,,,,,,,0.085,,,,,,,,,,,,,,,,3520962095.8,,41124277700.0,,0.085,,,12160320892.9,,,,12160320892.9,,41068184000.0,,,,,,,,,,,,,,,12160320892.9,,,,,,,,,,,,,,,,,,,,
2004-06-30,3520962095.8,3520962095.8,2750125602.25,,,5459026017.5,3969844779.55,,5436385277.25,425861148.6,,13600859721.45,0.17,9018398729.3,,5574928395.65,1344371560.0,5075888401.05,18676748122.5,,876622972.4,20728487.6,109908997.55,,1212939372.45,26819947721.2,,77927482575.25,3520962095.8,,41124277700.0,51934132966.0,0.17,,78699916751.75,4804315412.15,3996740488.9,50230911881.65,1051076705.5,6128231663.5,,41068184000.0,51107534854.05,6723943893.8,,,9476494994.0,1919628481.65,25993349609.25,,232375948.65,1610712758.1,,50721193593.55,17343452727.2,5131683132.05,12160329171.05,,-27978723158.2,,,,,,,,,,,,,,,,,,
2004-09-30,4571931185.35,4571931185.35,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,4571931185.35,,41562989163.0,,0.11,,,15450719954.9,,,,15450719954.9,,41562989163.0,,,,,,,,,,,,,,,15450719954.9,,,,,,,,,,,,,,,,,,,,
2004-12-31,4571922907.2,4571922907.2,3089455248.9,,,4300490646.85,4276492290.0,,,,2975489957.85,14047118231.65,,17178767211.1,,6688505133.65,1147293642.95,14091530506.4,28138648738.05,,876589859.8,24362595.45,,,1327111617.25,37359092274.4,,94076580376.75,4571922907.2,,,58783838514.6,,,91047224496.85,-17385182881.35,3102021480.6,9668630855.5,556929097.55,-17385182881.35,,,56717488102.35,,,,10402364680.75,,35292741862.15,,,,25410667187.05,57456726897.35,26956727593.65,,15450719954.9,,-33590497599.5,,,,,,,,,,,,,,,,,,
2005-03-31,5914514664.95,5914514664.95,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,5914514664.95,,42246511353.0,,0.145,,,16416043304.55,,,,16416043304.55,,40789735099.0,,,,,,,,,,,,,,,16416043304.55,,,,,,,,,,,,,,,,,,,,
2005-06-30,5914514664.95,5914514664.95,3733338034.05,,,9103382217.2,4785457786.45,,5621211532.3,42831148.1,,15052160145.0,0.14,16745025263.7,,6863157542.35,1308411276.4,16034114298.0,31086274443.0,,876639528.7,20397361.6,160678891.5,,2352252878.8,39667487514.5,,104726296179.5,5914514664.95,1332864931.5,42312373800.0,63824627559.65,0.145,,93730007348.85,8411933182.15,3202187095.6,,3721525114.0,9805228608.65,,41054321700.0,65058808665.0,10794831772.25,,,12325966674.4,2382898590.1,40901668619.85,,272640870.25,2571507959.7,64182177414.45,60139509749.35,27341520840.1,8486022624.65,16416043304.55,,-33590497599.5,,,,,,,,,,,,,,,,,,
2005-09-30,6882205127.04,6882205127.04,,,,,,,,,,,0.1682,,,,,,,,,,,,,,,,6882205127.04,,40916770903.0,,0.168313,,,18649342317.33,,,,18649342317.33,,40889230769.0,,,,,,,,,,,,,,,18649342317.33,,,,,,,,,,,,,,,,,,,,
2005-12-31,6885666952.92,6885666952.92,4162930731.5,,,6334153233.5,5279398899.5,,,,3591754827.0,26054920302.5,,16561251285.0,,6830011456.5,1199996599.0,8994516806.5,35049437109.0,,876903202.5,825927123.5,,,2419579509.0,41174583574.5,,114800253238.5,6885666952.92,1300043411.0,,70365218983.0,,,106480285430.5,-14408532826.38,2868554917.5,11380849642.5,806356959.5,-14408532826.38,,,73625669664.0,,,,13620390101.5,,44435034255.5,,,,40595495640.0,66645596063.0,27554193473.0,,18795600902.12,,-39834689367.5,,,,,,,,,,,,,,,,,,
2006-03-31,8133574667.94,8133574667.94,,,,,,,,,,,0.198116,,,,,,,,,,,,,,,,8133574667.94,,41054675375.0,,0.198116,,,24153292504.32,,,,24153292504.32,,41054675375.0,,,,,,,,,,,,,,,24153292504.32,,,,,,,,,,,,,,,,,,,,
2006-06-30,8140753499.12,8140753499.12,4358549118.88,,,12586900877.76,6945264324.46,,6645210701.58,-3289795980.68,,10749648110.74,0.195049,18033264311.48,,7325056669.92,1307865364.96,18462412631.52,29212060742.26,,923843421.16,834630078.48,548720424.34,,2454726151.9,47763518811.8,,147061479221.58,8140753499.12,1463528975.7,43044716400.0,96678455822.74,0.195049,,132209840312.44,12902129883.72,4625117755.28,,9304660606.78,14585685923.16,,41682500600.0,99297960409.78,17529390422.28,,,18046648711.52,4627260538.56,50383023398.84,,400684482.44,3791287222.8,98374124984.08,92760200695.14,29716870100.28,11932048717.38,24174601123.86,,-39449639617.3,,,,,,,,,,,,,,,,,,
2006-09-30,7340477171.6,7340477171.6,,,,,,,,,,,0.168568,,,,,,,,,,,,,,,,7340477171.6,,43546123214.0,,0.169113,,,20348657018.0,,,,20348657018.0,,43405809284.0,,,,,,,,,,,,,,,20348657018.0,,,,,,,,,,,,,,,,,,,,
2006-12-31,7247295294.9,7247295294.9,5408002910.0,,,6875617170.0,5433274607.5,,,,3433247047.5,21604564440.0,,20306826515.0,,7230044735.0,1690045745.0,14351906955.0,35956471395.0,,922873112.5,17801692.5,,,2558351952.5,47414008730.0,,155136705155.0,7247295294.9,1407862017.5,,107285139712.5,,,150508631587.5,-21071665067.5,4142468660.0,18045426755.0,2433303445.0,-21071665067.5,,,107680784862.5,,,,14469134570.0,,47851565442.5,,,,53814103160.0,103318925742.5,32944874160.0,,20080654857.5,,-47189705845.0,,,,,,,,,,,,,,,,,,
2007-03-31,7263327158.4,7263327158.4,,,,,,,,,,,0.169711,,,,,,,,,,,,,,,,7263327158.4,,42798234839.0,,0.169711,,,21073483514.4,,,,21073483514.4,,42798234839.0,,,,,,,,,,,,,,,21073483514.4,,,,,,,,,,,,,,,,,,,,
2007-06-30,7263615946.5,7263615946.5,5160145689.0,,,12845178019.5,6294739959.0,,5003711280.0,-1620701232.0,,24095453482.5,0.169718,22062338410.5,,6633164140.5,2154695037.0,12254355655.5,36349809138.0,,922175290.5,8379057.0,887282829.0,,3477141378.0,51252821208.0,,165979310655.0,7263615946.5,1336535626.5,44727899300.0,116138710312.5,0.169718,,158527013856.0,11248990471.5,4543615891.5,16440318114.0,5041356208.5,13014036547.5,,43328612000.0,114684616972.5,16070613133.5,,,17397172968.0,4821622662.0,49840600342.5,,2268025204.5,2726310960.0,62389028964.0,111325033308.0,33855648240.0,9989926906.5,21074324413.5,,-47201980548.0,,,,,,,,,,,,,,,,,,
2007-09-30,8340649280.0,8340649280.0,,,,,,,,,,,0.189709,,,,,,,,,,,,,,,,8340649280.0,,43965544492.0,,0.189709,,,24215363248.0,,,,24215363248.0,,43965544492.0,,,,,,,,,,,,,,,24215363248.0,,,,,,,,,,,,,,,,,,,,
2007-12-31,6281255010.24,6281255010.24,6747001108.32,,,12066348517.0,7140094768.2,,,,4307396591.52,9701862137.84,,11061819661.12,,6302596566.52,2349255287.36,23390128346.92,33091990484.76,,942603692.72,,,,3855263275.08,45543842683.52,,180051550215.52,6281255010.24,1333111354.28,,124239372965.56,,,173595546969.0,-30773495370.36,5058680239.04,26453908119.24,9926705195.16,-30773495370.36,,,134507707532.0,,,,21432425347.56,,55812177249.96,,,,66064718233.44,119050998336.2,24111417335.96,,18208081435.76,,-54544548632.8,,,,,,,,,,,,,,,,,,
2008-03-31,13762821289.92,13762821289.92,,,,,,,,,,,0.309815,,,,,,,,,,,,,,,,13762821289.92,,44422682513.0,,0.309815,,,34507211018.96,,,,34507211018.96,,44422682513.0,,,,,,,,,,,,,,,34507211018.96,,,,,,,,,,,,,,,,,,,,
2008-06-30,13764321571.92,13764321571.92,7355839431.48,,,20292806964.21,15100556581.58,,7008032234.53,2140740100.64,,8249649427.45,0.304851,10413608666.28,,6052544474.67,2683609995.57,43997682395.56,52247331823.01,,948817484.85,,97024051.61,,3692802724.01,51545876653.87,,202409447190.86,13764321571.92,1263499533.96,44813806000.0,130389295073.51,0.309849,,176619709779.74,15655101171.62,7431077117.23,14021651595.61,1988653717.19,17828884155.66,,44584410000.0,150863570536.99,27502949217.08,,,27723884081.44,11847848045.46,72020152117.35,,8377598053.13,4112700991.88,93787672565.22,125432992815.54,23821992572.43,17877022563.8,34510981451.61,,-51186716964.2,,,,,,,,,,,,,,,,,,
2009-06-30,,,0.0,,,0.0,10825093000.0,,,,,4858391000.0,,16060541000.0,3311399000.0,5938747000.0,3263611000.0,42039149000.0,46897540000.0,,949299000.0,49849000.0,,,0.0,55616663000.0,,220389952000.0,,1194267000.0,,156186904000.0,,,,,19497409000.0,,3216804000.0,,,,164773289000.0,,,,23459698000.0,,64203048000.0,,,,,151681238000.0,32156965000.0,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,8055754000.0,8055754000.0,,16897940000.0,-26503630000.0,,,,270760000.0,-73475000.0,,,,,,,,,,42039149000.0,,,134212000.0,-5844288000.0,,,16897940000.0,,8055754000.0,,,,,,,11436770000.0,,,,15976913000.0,-37557282000.0,,,28288099000.0,-37557282000.0,15415200000.0,,16851329000.0,,,8810940000.0,3306661000.0,,,,11362415000.0,28558859000.0,-5844288000.0,,,,,,,,,,,,,,,,,,,
2009-12-31,9028175000.0,9028175000.0,0.0,17962084000.0,7123090000.0,1361265000.0,6397601000.0,,27173237000.0,304695000.0,138073000.0,29452364000.0,,18570061000.0,4846761000.0,7439620000.0,3145855000.0,22615037000.0,52067401000.0,15415200000.0,949299000.0,122092000.0,147939000.0,10792693000.0,0.0,68332720000.0,-25664701000.0,242268223000.0,9028175000.0,1230127000.0,,171396759000.0,,,246205377000.0,12427383000.0,23065480000.0,22162942000.0,2308035000.0,17803732000.0,29303373000.0,,173935503000.0,8814640000.0,-12263307000.0,22615037000.0,31041950000.0,-3612743000.0,70871464000.0,,-7493443000.0,3703816000.0,108694167000.0,165319871000.0,37290770000.0,12731991000.0,35987877000.0,1424313000.0,-80885506000.0,,,,,,,,,,,,,,,,,,
2010-06-30,,,227894000.0,,,0.0,16564065000.0,,,,,22236544000.0,,13797681000.0,4970358000.0,15208618000.0,3514542000.0,31824103000.0,54060647000.0,,949299000.0,14458305000.0,,,103854000.0,92131327000.0,,283633890000.0,,1293983000.0,,206769600000.0,,,,,27223809000.0,,2725036000.0,,,,191502563000.0,,,,50299226000.0,,76864290000.0,,,,,200401405000.0,41832101000.0,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,12929995000.0,12929995000.0,30801000000.0,21583099000.0,5026915000.0,,,,5454279000.0,-400657000.0,,,,12292000000.0,,,,37119000000.0,37119000000.0,31824103000.0,43078000000.0,,328114000.0,-9471841000.0,6304000000.0,93356000000.0,21583099000.0,288977000000.0,12929995000.0,,,206871000000.0,,,,17969977000.0,,,44987000000.0,26409041000.0,-7084343000.0,,195621000000.0,41654400000.0,-7084343000.0,37119300000.0,50263000000.0,23684423000.0,82106000000.0,,11821176000.0,4525487000.0,,200567000000.0,43093000000.0,17455482000.0,47108679000.0,-9471841000.0,,,,,,,,,,,,,,,,,,,
2010-12-31,15491848000.0,15491848000.0,1885292000.0,23982546000.0,3384143000.0,0.0,10865442000.0,,30966524000.0,1491081000.0,76188000.0,33955797000.0,,11716049000.0,10484816000.0,13122064000.0,4076296000.0,39571023000.0,73526820000.0,37119300000.0,949299000.0,21630674000.0,454323000.0,8605415000.0,1435781000.0,112160296000.0,-16838182000.0,327926243000.0,15491848000.0,3022201000.0,,227273424000.0,,,320505586000.0,19588584000.0,34057481000.0,,2636015000.0,27593009000.0,37422178000.0,,215765947000.0,21822461000.0,-28433413000.0,39571023000.0,69410086000.0,2233877000.0,100652819000.0,2016858000.0,-10076892000.0,5226843000.0,,212330626000.0,42750210000.0,20718691000.0,52788985000.0,7835010000.0,-108174960000.0,,,,,,,,,,,,,,,,,,
2011-06-30,,,3368000000.0,,,0.0,22278000000.0,,,,,0.0,,18667000000.0,22573000000.0,7159000000.0,3916000000.0,23022000000.0,23022000000.0,,949000000.0,21991000000.0,,,9629000000.0,117033000000.0,,362427000000.0,,1143000000.0,,229674000000.0,,,,,37123000000.0,,45162000000.0,,,,245394000000.0,,,,71134000000.0,,132753000000.0,,,,185133000000.0,196329000000.0,45899000000.0,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,,,2664000000.0,,,0.0,10604000000.0,,,,,47943000000.0,,18076000000.0,22997000000.0,5488000000.0,4380000000.0,23678000000.0,71621000000.0,,949000000.0,19919000000.0,,,7744000000.0,121408000000.0,,384264000000.0,,1033000000.0,,252341000000.0,,,349572000000.0,,31110000000.0,,7430000000.0,,,,262856000000.0,,,,70216000000.0,,131923000000.0,,,,261907000000.0,220567000000.0,51192000000.0,,,,-129005000000.0,,,,,,,,,,,,,,,,,,
2012-06-30,,,3504000000.0,,,0.0,18241000000.0,,,,,1544000000.0,,29347000000.0,28338000000.0,5902000000.0,5189000000.0,13801000000.0,15345000000.0,,949000000.0,25643000000.0,,,420000000.0,129996000000.0,,414221000000.0,,949000000.0,,266528000000.0,,,,,19589000000.0,,45601000000.0,,,,284225000000.0,,,,64892000000.0,,147693000000.0,,,,228361000000.0,236764000000.0,65104000000.0,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,,1988000000.0,,,0.0,8262000000.0,,,,,78685000000.0,,29056000000.0,31068000000.0,3403000000.0,5247000000.0,55024000000.0,133709000000.0,,949000000.0,1256000000.0,,,963000000.0,146290000000.0,,456070000000.0,,973000000.0,,285176000000.0,,12183000000.0,414121000000.0,,12014000000.0,308831000000.0,7883000000.0,,,,309780000000.0,,,,82437000000.0,,170894000000.0,,,,243143000000.0,252132000000.0,63853000000.0,,,,-161989000000.0,,,,,,,,,,,,,,,,,,
2013-06-30,,,3103000000.0,,,232000000.0,31895000000.0,,,,,79437000000.0,,84144000000.0,31199000000.0,27922000000.0,8648000000.0,21498000000.0,100935000000.0,,949000000.0,45965000000.0,,,2903000000.0,284958000000.0,,614574000000.0,,17314000000.0,,460332000000.0,,14474000000.0,,,40531000000.0,328667000000.0,12459000000.0,,,,329616000000.0,,,,126328000000.0,,154242000000.0,,,,277709000000.0,408357000000.0,158630000000.0,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,,,2386000000.0,,,220000000.0,17593000000.0,12962000000.0,,,107000000.0,77321000000.0,,82011000000.0,31195000000.0,25362000000.0,9153000000.0,14318000000.0,91639000000.0,,949000000.0,49841000000.0,,,4895000000.0,279853000000.0,,621473000000.0,,4038000000.0,,474921000000.0,,13415000000.0,633288000000.0,,30468000000.0,340671000000.0,10322000000.0,,,,341620000000.0,,,,128948000000.0,,146552000000.0,227000000.0,,,279668000000.0,419102000000.0,150905000000.0,,,,-214186000000.0,,,,,,,,,,,,,,,,,,
2014-06-30,,,2349000000.0,,,292000000.0,35041000000.0,,,,,80732000000.0,,106136000000.0,33711000000.0,23859000000.0,10179000000.0,25559000000.0,106291000000.0,,43081000000.0,27702000000.0,,,5525000000.0,296717000000.0,,663212000000.0,,16786000000.0,,496280000000.0,,15267000000.0,,,49970000000.0,323414000000.0,14928000000.0,,,,366495000000.0,,,,120765000000.0,,166932000000.0,,,,313190000000.0,437914000000.0,175952000000.0,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,,,1746000000.0,,,316000000.0,19343000000.0,13009000000.0,,,164000000.0,76865000000.0,,105383000000.0,30587000000.0,20189000000.0,10608000000.0,14918000000.0,91783000000.0,,43081000000.0,770000000.0,,,5974000000.0,283249000000.0,,662859000000.0,,3482000000.0,,522151000000.0,,8311000000.0,737807000000.0,,31028000000.0,336529000000.0,8114000000.0,,,,379610000000.0,,,,103498000000.0,,140708000000.0,67000000.0,,,319625000000.0,463222000000.0,179751000000.0,,,,-274585000000.0,,,,,,,,,,,,,,,,,,
2015-06-30,,,1654000000.0,,,24000000.0,24767000000.0,,,,,90547000000.0,,123559000000.0,30724000000.0,13801000000.0,10575000000.0,17891000000.0,108438000000.0,,43081000000.0,24889000000.0,,,6768000000.0,288868000000.0,,671839000000.0,,15855000000.0,,520497000000.0,,8302000000.0,,,38502000000.0,339890000000.0,7531000000.0,,,,382971000000.0,,,,93072000000.0,,151342000000.0,,,,334416000000.0,457348000000.0,195796000000.0,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,,,1751000000.0,,,0.0,13173000000.0,13805000000.0,,,273000000.0,89830000000.0,,131060000000.0,32184000000.0,11627000000.0,9263000000.0,11867000000.0,101697000000.0,,43081000000.0,33398000000.0,,,7828000000.0,278321000000.0,,664362000000.0,,2618000000.0,,524151000000.0,,4647000000.0,809282000000.0,,13301000000.0,342960000000.0,6898000000.0,,,,386041000000.0,,,,84380000000.0,,140211000000.0,1188000000.0,,,321370000000.0,454141000000.0,193941000000.0,,,,-355141000000.0,,,,,,,,,,,,,,,,,,
2016-06-30,,,1709000000.0,,,389000000.0,23167000000.0,,,,,71229000000.0,,124927000000.0,32872000000.0,8737000000.0,10010000000.0,28026000000.0,99255000000.0,,43081000000.0,34060000000.0,,,6694000000.0,276826000000.0,,647800000000.0,,16366000000.0,,508837000000.0,,7984000000.0,,,26882000000.0,327893000000.0,6178000000.0,,,,370974000000.0,,,,90811000000.0,,138963000000.0,,,,313492000000.0,432644000000.0,186015000000.0,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,1326000000.0,,,426000000.0,10199000000.0,14748000000.0,,,449000000.0,69734000000.0,,130798000000.0,34261000000.0,5670000000.0,8709000000.0,13735000000.0,83469000000.0,,43081000000.0,19678000000.0,,,7422000000.0,255310000000.0,,637681000000.0,,1896000000.0,,515636000000.0,,6775000000.0,873326000000.0,,10254000000.0,339290000000.0,5977000000.0,,,,382371000000.0,,,,67090000000.0,,122045000000.0,3272000000.0,,,308155000000.0,432465000000.0,188220000000.0,,,,-440861000000.0,,,,,,,,,,,,,,,,,,
