date,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyIncomeTaxPayable
2015-03-31,48384000.0,-1714000,-7123000,1956320000.0,-1942000,-146616000,,435939000,599751000.0,-42956000.0,-0.25,59219000,249334000,640464000.0,-5362000.0,182805000,-69627000,1607405000,292464000,1562025000.0,4194091000.0,3687097000.0,16638000,394295000.0,1949803000.0,-161810000,-28927000.0,0.0,-1734888000.0,-387357000.0,41142000.0,92181000,47559000.0,640464000.0,-35971000,-67735000,,24319000.0,-162442000,-162442000,,0.0,189746000,632000,599751000.0,-33546000,1395113000.0,26077000.0,115429000,702699000.0,239963000.0,415479000.0,143475000,,9125000,439080000,67864000,1510724000,3000.0,-0.25,1607405000.0,3557208000.0,-162442000,5643417000.0,-729793000,891036000,-4159000,99317000.0,24446000,1449326000.0,-6174000,,,,,,
2015-06-30,51614000.0,-9723000,-20959000,1999150000.0,-22364000,-131004000,,502383000,651017000.0,-32834000.0,-0.21,-814755000,266857000,655721000.0,-435000.0,175143000,-55650000,883307000,334760000,1574309000.0,4270427000.0,4231184000.0,18220000,424841000.0,2677263000.0,-156136000,2627000.0,0.0,-1871551000.0,-445513000.0,44264000.0,89979000,50345000.0,655721000.0,-4881000,-92605000,,24437000.0,-136663000,-136663000,21600000.0,0.0,198907000,-19473000,651017000.0,-29388000,1414896000.0,31768000.0,-729657000,1102193000.0,274621000.0,475204000.0,167623000,22274000.0,-695000,465764000,76049000,1607405000,3000.0,-0.21,883307000.0,3560570000.0,-136663000,6230334000.0,-1510704000,786362000,-39785000,156352000.0,-2626000,1959907000.0,-306000,,,,,,
2015-09-30,40100000.0,1926000,-39147000,2014901000.0,86000,-105237000,,569237000,699502000.0,-34296000.0,-0.2,-79126000,266342000,670604000.0,957000.0,165921000,-21825000,876432000,369042000,1587123000.0,4263559000.0,4274163000.0,28019000,427778000.0,2612762000.0,-128528000,-25344000.0,0.0,-2003241000.0,-510330000.0,45672000.0,101668000,55596000.0,670604000.0,-27358000,-106476000,,25239000.0,-131690000,-131690000,0.0,0.0,207937000,3162000,699502000.0,-28431000,1434968000.0,32958000.0,-4816000,1123121000.0,294057000.0,536788000.0,200195000,28813000.0,1948000,474279000,81464000,883307000,3000.0,-0.2,876432000.0,3489194000.0,-131690000,6289064000.0,-855937000,907674000,-61542000,147286000.0,-4808000,2025505000.0,-415000,,,,,,
2015-12-31,134081000.0,85866000,-68684000,2074392000.0,-3905000,-67179000,,710473000,735299000.0,-45566000.0,,-67759000,349631000,,-9897000.0,155055000,24798000,911471000,492510000,1568353000.0,4381792000.0,4368047000.0,14157000,506039000.0,2583877000.0,-86831000,0.0,0.0,-2093477000.0,-578710000.0,50585000.0,99238000,61605000.0,,5212000,-80464000,,24183000.0,-90236000,-90236000,17695000.0,0.0,210058000,3405000,735299000.0,-26170000,1455095000.0,2978000.0,36691000,1122728000.0,283792000.0,638694000.0,217963000,23674000.0,4531000,559689000,87446000,876432000,3000.0,,911471000.0,3495348000.0,-90236000,6442439000.0,-597484000,620086000,-111099000,141015000.0,18774000,2060647000.0,4776000,,,,,,
2016-03-31,90353000.0,-37033000,-21945000,1998682000.0,86000,-59116000,,594521000,746713000.0,-30490000.0,-0.12,-28418000,299438000,691564000.0,-5076000.0,150916000,35811000,1027661000,396116000,1575917000.0,4388909000.0,4477486000.0,24975000,422765000.0,2548749000.0,-77703000,0.0,0.0,-2173208000.0,-649141000.0,51079000.0,162764000,89739000.0,691564000.0,-24079000,-59148000,,24893000.0,-79731000,-79731000,,0.0,155794000,2028000,746713000.0,-24917000,1475513000.0,3847000.0,110267000,1122533000.0,250720000.0,576800000.0,198405000,18878000.0,6306000,455232000,88621000,911471000,3000.0,-0.12,1027661000.0,3576410000.0,-79731000,6476168000.0,-581069000,616875000,65756000,128274000.0,103616000,2087259000.0,-2103000,,,,,,
2016-06-30,91415000.0,-52000,40872000,2059961000.0,-41000,-86376000,,601958000,758837000.0,-44503000.0,-0.15,-284913000,306857000,698326000.0,-595000.0,167695000,13641000,947710000,398992000,1610323000.0,4382039000.0,4556853000.0,17233000,449638000.0,2640448000.0,-104576000,-80142000.0,0.0,-2280425000.0,-720839000.0,62861000.0,214556000,161865000.0,698326000.0,-9604000,-39087000,,24934000.0,-107217000,-107217000,15821000.0,0.0,178511000,2641000,758837000.0,-23823000,1496440000.0,7769000.0,-79961000,1186303000.0,277188000.0,556781000.0,202966000,25302000.0,6734000,485368000,93283000,1027661000,3000.0,-0.15,947710000.0,3588158000.0,-107217000,6616814000.0,-822879000,657790000,20457000,127770000.0,175469000,2234775000.0,-4869000,,,,,,
2016-09-30,104296000.0,10794000,10209000,2113614000.0,13000,-78089000,,615934000,803305000.0,-46309000.0,-0.15,-97105000,291815000,704359000.0,-7116000.0,158527000,29429000,1011957000,390775000,1643016000.0,4478413000.0,4629332000.0,22756000,470598000.0,2652226000.0,-96309000,0.0,0.0,-2383296000.0,-796601000.0,62763000.0,189192000,164844000.0,704359000.0,-27851000,-72317000,,24860000.0,-102871000,-102871000,0.0,0.0,177049000,6562000,803305000.0,-25157000,1517673000.0,8191000.0,64236000,1184401000.0,284140000.0,590108000.0,225159000,32288000.0,6640000,468864000,100878000,947710000,4000.0,-0.15,1011957000.0,3664183000.0,-102871000,6742946000.0,-950281000,932609000,-35022000,111983000.0,116875000,2264533000.0,-3556000,,,,,,
2016-12-31,122236000.0,19179000,53460000,2265430000.0,-4833000,-143627000,,717206000,783901000.0,-69253000.0,,-187572000,352995000,,1846000.0,138095000,-17575000,988598000,411496000,1681409000.0,4652196000.0,4604935000.0,55780000,584021000.0,2785981000.0,-162246000,-4940000.0,0.0,-2550350000.0,-857927000.0,68049000.0,196543000,153619000.0,,-22441000,-48105000,,25281000.0,-167054000,-167054000,8610000.0,0.0,202128000,4808000,783901000.0,-26661000,1538967000.0,7556000.0,-13470000,1185315000.0,380937000.0,650650000.0,305710000,33659000.0,6662000,555123000,119390000,1011957000,4000.0,,988598000.0,3774579000.0,-167054000,6870365000.0,-630884000,494511000,-74160000,95334000.0,148438000,2218169000.0,-4860000,,,,,,
2017-03-31,86176000.0,-36950000,34425000,2202366000.0,-240000,-40278000,,548251000,782421000.0,-61359000.0,-0.09,19020000,239462000,722048000.0,26617000.0,116997000,69836000,1191566000,327912000,1713374000.0,4695332000.0,4690376000.0,9715000,488992000.0,2752111000.0,-58365000,,0.0,-2625225000.0,-930613000.0,66911000.0,203448000,151911000.0,722048000.0,-23652000,-39881000,,25409000.0,-61559000,-61559000,,0.0,128728000,3194000,782421000.0,-27084000,1560330000.0,8353000.0,198816000,1183685000.0,322567000.0,501153000.0,220339000,21877000.0,7322000,368190000,102792000,988598000,4000.0,-0.09,1191566000.0,3943677000.0,-61559000,6892742000.0,-701964000,734248000,153348000,79393000.0,163567000,2197410000.0,-3090000,,,,,,
2017-06-30,107398000.0,23334000,10507000,2234202000.0,-528000,-38359000,,573855000,781272000.0,-46828000.0,-0.16,-82088000,256135000,730069000.0,1598000.0,113396000,16384000,1288323000,360947000,1739624000.0,4840102000.0,4728896000.0,24720000,494578000.0,2791589000.0,-113075000,0.0,0.0,-2741713000.0,-999614000.0,64499000.0,189707000,90244000.0,730069000.0,-15171000,-43336000,,26396000.0,-116488000,-116488000,14019000.0,0.0,143171000,3413000,781272000.0,-28066000,1582468000.0,9247000.0,92448000,1186189000.0,307047000.0,524064000.0,212908000,22700000.0,-48320000,399306000,103063000,1191566000,4000.0,-0.16,1288323000.0,4079912000.0,-116488000,6963098000.0,-876606000,836256000,-20322000,65291000.0,146371000,2122996000.0,-1933000,,,,,,
2017-09-30,103112000.0,-842000,33125000,2246383000.0,-575000,7279000,,589633000,753317000.0,-36756000.0,-0.03,85031000,236223000,736515000.0,-108000.0,100959000,106693000,1586558000,379617000,1765181000.0,5002422000.0,4829406000.0,23931000,481202000.0,2671538000.0,-17531000,0.0,0.0,-2762808000.0,-1080905000.0,62769000.0,239947000,77610000.0,736515000.0,-27020000,-34583000,,26732000.0,-21095000,-21095000,0.0,0.0,136115000,3564000,753317000.0,-25535000,1604932000.0,11858000.0,297958000,1187880000.0,296152000.0,509854000.0,210016000,23094000.0,1922000,372338000,97492000,1288323000,4000.0,-0.03,1586558000.0,4258096000.0,-21095000,7075789000.0,-442370000,562092000,22572000,54560000.0,205364000,2073367000.0,-2026000,,,,,,
2017-12-31,170969000.0,22829000,-110296000,2365259000.0,-5072000,110098000,,731560000,773715000.0,-31579000.0,,-134895000,269487000,,386000.0,102454000,212773000,1638413000,513581000,1781981000.0,5321884000.0,5047218000.0,26862000,583278000.0,2764689000.0,93553000,,0.0,-2671729000.0,-1154373000.0,59973000.0,198107000,78289000.0,,-12530000,-40159000,,26700000.0,91079000,91079000,9901000.0,0.0,133996000,2474000,773715000.0,-22090000,1627460000.0,13240000.0,50682000,1188935000.0,327333000.0,664268000.0,217979000,27824000.0,10155000,403483000,92520000,1586558000,4000.0,,1638413000.0,4403102000.0,91079000,7412477000.0,-667099000,571977000,-152930000,49654000.0,157948000,2090593000.0,-1913000,,,,,,
2018-03-31,137968000.0,-26948000,-8840000,2329005000.0,-670000,74925000,,664871000,801912000.0,-22325000.0,0.08,-258992000,243777000,747697000.0,-1350000.0,73266000,187743000,1630452000,442048000,1800351000.0,5409235000.0,5210436000.0,20815000,528654000.0,2927803000.0,63882000,,,-2598672000.0,-1225437000.0,62782000.0,242673000,92568000.0,765861000.0,-29036000,-93091000,,27015000.0,60997000,60997000,,,123346000,2885000,801912000.0,-24247000,1650064000.0,15535000.0,-45355000,1190932000.0,304115000.0,611840000.0,222823000,29073000.0,-209000,367123000,96846000,1673857000,4000.0,0.08,1601028000.0,4528831000.0,60997000,7539441000.0,-831882000,665568000,61166000,44794000.0,149582000,2130206000.0,-7557000,,,,,,
2018-06-30,161300000.0,10120000,54289000,3290326000.0,-41615000,79624000,,710541000,914795000.0,-56434000.0,0.13,-413531000,262158000,752351000.0,-825000.0,79469000,201831000,2572505000,480356000,2695907000.0,6540504000.0,5570904000.0,19272000,594419000.0,3116474000.0,65867000,-32504000.0,,-2498555000.0,-1272626000.0,64703000.0,321140000,127748000.0,772556000.0,1048908000,-196450000,,29982000.0,100117000,100117000,16337000.0,,138574000,-34250000,914795000.0,-23035000,2560943000.0,17077000.0,956517000,1228993000.0,351061000.0,614944000.0,230185000,67463000.0,-5735000,400732000,105982000,1630452000,4000.0,0.13,2544641000.0,5661115000.0,100117000,8861230000.0,-1158986000,972541000,-14198000,49190000.0,124690000,2320726000.0,-94723000,,,,,,
2018-09-30,116685000.0,-5762000,129149000,3293620000.0,-706081000,91868000,,758111000,904027000.0,-63093000.0,1.02,-1026764000,271835000,756537000.0,0.0,91606000,237541000,1956302000,514467000,1835974000.0,6719760000.0,6452572000.0,27763000,1457646000.0,4027614000.0,87258000,-1068000.0,,-1709376000.0,-1328487000.0,67806000.0,443899000,83948000.0,776002000.0,-30641000,-120372000,884435000.0,38336000.0,789179000,789179000,0.0,,150764000,-701921000,904027000.0,-22222000,1710065000.0,20732000.0,-613506000,1227939000.0,380567000.0,621943000.0,243644000,50739000.0,-2341000,422599000,111947000,2572505000,4000.0,1.04,1928929000.0,5956543000.0,789179000,9746192000.0,-2063444000,1154449000,-11579000,44810000.0,323527000,3026432000.0,-8573000,,,,,,
2018-12-31,145186000.0,21057000,-85276000,3356978000.0,-53354000,206908000,,908836000,885078000.0,-65311000.0,,-356226000,292409000,,-5000000.0,81887000,354533000,1921875000,640491000,1840667000.0,7111036000.0,6805594000.0,22716000,1516311000.0,4314957000.0,206537000,0.0,,-1454073000.0,-1280174000.0,67502000.0,331999000,85705000.0,,-11115000,-74021000,897328000.0,37273000.0,255303000,255303000,12951000.0,,141174000,-48766000,885078000.0,-20847000,1730922000.0,17849000.0,-35342000,1227269000.0,405751000.0,788700000.0,268345000,38949000.0,-111000,433583000,110723000,1956302000,4000.0,,1894444000.0,6209401000.0,255303000,10162572000.0,-1281284000,999136000,-166260000,45025000.0,257978000,3051536000.0,-3383000,,,,,,
2019-03-31,172169000.0,-12879000,39030000,4056412000.0,-110056000,93658000,,786890000,1620405000.0,-56665000.0,0.25,29446000,282975000,764550000.0,,83491000,247237000,2273767000,522879000,2434733000.0,7255785000.0,7088819000.0,34950000,1621679000.0,4212231000.0,96503000,,,-1263269000.0,-1356887000.0,19636000.0,351693000,81338000.0,777689000.0,-29101000,-83026000,910257000.0,37260000.0,190804000,190804000,,123417000.0,146246000,-94301000,1620405000.0,-19719000,1751695000.0,20263000.0,352038000,1228644000.0,358095000.0,684220000.0,264011000,35497000.0,-436000,429221000,113474000,1921875000,4000.0,0.25,2247661000.0,6459892000.0,190804000,11145231000.0,-1635142000,1745658000,103633000,40239000.0,268667000,3889446000.0,-9477000,,,,,,
2019-06-30,206282000.0,8139000,32033000,4176793000.0,-1034135000,75686000,,841381000,1677368000.0,-46944000.0,1.43,-413828000,328488000,768755000.0,11368000.0,94615000,241712000,2210008000,563416000,2443055000.0,7512783000.0,8344814000.0,9734000,1733738000.0,4503427000.0,87779000,-20302000.0,,-143709000.0,-1454313000.0,24781000.0,338973000,79043000.0,785056000.0,3948000,-135795000,923648000.0,38317000.0,1119560000,1119560000,25209000.0,,159242000,-1031781000,1677368000.0,-18214000,1773092000.0,23393000.0,-70907000,1246883000.0,428296000.0,719904000.0,277965000,72946000.0,7523000,487730000,115616000,2273767000,4000.0,1.46,2183111000.0,6686538000.0,1119560000,12521607000.0,-1356779000,1086579000,-36396000,50722000.0,203178000,5008824000.0,-3461000,,,,,,
2019-09-30,150785000.0,-7859000,39764000,3185283000.0,5898000,44145000,,823717000,1657689000.0,-115909000.0,0.05,314920000,319962000,772789000.0,-9500000.0,98623000,203975000,1897448000,542660000,2422656000.0,6624451000.0,8415642000.0,34726000,762627000.0,3946940000.0,47763000,0.0,,-107187000.0,-1483967000.0,23380000.0,335519000,132058000.0,790523000.0,-954207000,-170252000,,36226000.0,36522000,36522000,0.0,,178553000,11241000,1657689000.0,-950694000,1794885000.0,20329000.0,-303768000,1243472000.0,445676000.0,684186000.0,281057000,69442000.0,-504000,498515000,119986000,2210008000,4000.0,0.05,1869444000.0,5816384000.0,36522000,11600925000.0,-999511000,1492950000,26695000,46915000.0,165267000,4976474000.0,-3757000,,,,,,
