date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyInventory,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2014-12-31,5169200000,13874400000,-14867500000.0,51353600000,12605500000,5474700000,2401700000.0,7263600000,510200000.0,66221100000.0,1268900000,3168000000,8774600000.0,20689600000,24641500000,2417800000.0,1256400000.0,89769400000,114410900000,52187200000,24506600000,37800000.0,550100000.0,54982000000,31497600000,3640900000,5348300000.0,2283200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,4865000000,14190900000,-15694600000.0,48762700000,13751600000,5474700000,2329900000.0,9901500000,5986200000.0,64457300000.0,439300000,2690200000,0.0,22952600000,24981100000,,1263800000.0,91661700000,116642800000,53026700000,23286500000,37800000.0,403800000.0,56446500000,30074100000,3458000000,,2324000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,4874700000,13264900000,-16027100000.0,49417500000,11925900000,5474700000,2371800000.0,9893700000,470500000.0,65444600000.0,1339000000,2573100000,0.0,23180600000,23632900000,46364800000.0,1282900000.0,91930400000,115563300000,53450400000,23385300000,72500000.0,1326900000.0,55195200000,30269800000,3513900000,5349000000.0,2291300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,4961200000,12616000000,-16888600000.0,50538200000,7118200000,5474700000,2843900000.0,6605400000,5708500000.0,67426800000.0,5497800000,2608800000,0.0,19602200000,22395600000,,1291100000.0,94625700000,117021300000,54054800000,27638400000,74400000.0,5456200000.0,56110200000,34452600000,3256700000,,2109700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,5067300000,11524500000,-17544200000.0,51226200000,8076100000,5474700000,2860400000.0,6138100000,426300000.0,68770400000.0,3448400000,2647000000,0.0,19547500000,21170900000,49447900000.0,1302800000.0,95572500000,116743400000,53845400000,27296100000,89500000.0,3381100000.0,56286000000,34297900000,3497500000,5146100000.0,2110400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,5371700000,10629400000,-18889400000.0,54024800000,8738000000,5474700000,2934000000.0,7845500000,5665200000.0,72914200000.0,1891400000,2642200000,0.0,21614800000,20665100000,50955500000.0,1317400000.0,100955600000,121620700000,55849700000,26897800000,44500000.0,1771600000.0,58918100000,34234900000,3556900000,,2246400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,5723100000,12871700000,-20311300000.0,58056700000,10758600000,5474700000,,17070200000,440300000.0,78368000000.0,2113100000,2977200000,,31948100000,24365800000,,1331600000.0,106696100000,131061900000,60816000000,21161800000,,,62792900000,28867900000,3734500000,5443300000.0,2578300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,5949600000,13370100000,-21299300000.0,59628800000,11797700000,5474700000,3148600000.0,17566600000,,80928100000.0,1572400000,2684300000,,32882700000,25048200000,,1345800000.0,109861100000,134909300000,63306200000,22614900000,,,63884900000,30423500000,3328900000,,2401600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,6099100000,9142900000,-22093600000.0,60193300000,8500800000,5474700000,,8210700000,401600000.0,82286900000.0,642100000,3078100000,,26150900000,20612200000,,2009200000.0,112080900000,132693100000,62499800000,27609300000,,,62400700000,36348900000,3563500000,5280500000.0,2480700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,6347400000,7908600000,-23255000000.0,62701900000,7212000000,5474700000,3636400000.0,9207500000,,85956900000.0,696600000,2768100000,,24777100000,19668300000,,,115548900000,135217200000,61976600000,27768200000,2139300000.0,,65154000000,37199500000,3461100000,,2415100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
