date,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2015-03-31,432036000.0,60072000.0,1366428000,349857000.0,2847983000,3334000.0,225559000,426287000,65816000,9679000,947071000,,222029000,1862318000,5681000,163542000,69821000,773172000,773172000,0.0,206161000,,4476000.0,-899195000.0,410578000,,1481555000,520784000,1309773000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,430317000.0,87391000.0,1355228000,344246000.0,2774229000,3466000.0,244249000,447443000,42275000,18701000,937556000,,229348000,1795302000,5681000,155053000,52021000,677594000,677594000,0.0,197534000,,4409000.0,,438417000,,1419001000,490113000,438417000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,692328000.0,38434000.0,2093572000,445297000.0,3149411000,3427000.0,324093000,596532000,98434000,19099000,1264659000,,270692000,1842578000,5670000,391077000,103487000,193325000,193325000,9119000.0,250240000,,9740000.0,-1030714000.0,667489000,,1055839000,668127000,1698203000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,728302000.0,39448000.0,2220907000,493772000.0,3284168000,3974000.0,320353000,603626000,155645000,15453000,1352500000,,294404000,1897205000,5670000,388318000,108811000,130788000,130788000,6172000.0,257122000,,946000.0,,759254000,1971094000.0,1063261000,748874000,759254000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,712252000.0,53189000.0,2238768000,515884000.0,3354682000,2731000.0,357843000,634148000,26128000,11055000,1329687000,,313115000,1992190000,5670000,364492000,105093000,127689000,127689000,4747000.0,288262000,,3890000.0,-1056389000.0,799406000,2066122000.0,1115914000,695539000,1855795000.0,15321000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,787401000.0,42374000.0,2449853000,565210000.0,3722976000,0.0,395810000,730525000,79819000,17585000,1533063000,,383363000,2126379000,5670000,408611000,106448000,160390000,160390000,5097000.0,307331000,,3136000.0,,966549000,2171994000.0,1273123000,802538000,966549000.0,19324000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,789946000.0,,2613332000,641337000.0,4002279000,,366074000,719804000,126110000,31962000,1636474000,,400765000,2298446000,5670000,388690000,116410000,168942000,168942000,,357315000,,761000.0,-1296563000.0,1115354000,2276497000.0,1388947000,916670000,2411917000.0,19196000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,775131000.0,,2622721000,610124000.0,4012955000,,206393000,541318000,355951000,36784000,1682766000,,431332000,2263638000,5670000,366566000,96376000,169854000,169854000,,356454000,,,,1159846000,2380530000.0,1390234000,1141448000,1159846000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,758073000.0,,2752703000,608350000.0,4278002000,,474597000,789360000,211084000,45090000,1719525000,,397890000,2487199000,5709000,351635000,107865000,339986000,339986000,,351716000,,,-1346265000.0,1239935000,2488138000.0,1525299000,930165000,2586200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,760464000.0,,2769040000,600355000.0,4305052000,,459579000,839642000,48140000,27899000,1687393000,,419676000,2546518000,5800000,313878000,91736000,232126000,232126000,,369120000,,,,1362759000,2602250000.0,1536012000,847751000,1362759000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
