date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity
1998-01-31,-52800000.0,,300000.0,2200000.0,26000000,4800000.0,70600000,,7600000.0,105500000,298571429.0,105500000,,0,37100000,26600000.0,32900000.0,,67800000,-14800000,72500000,4700000,324600000,977100000,0.145,140600000,39900000.0,,,,41600000,0,,,59500000,41800000,0,-35500000,,,-69300000.0,78100000,12500000,-100000.0,415700000,65600000,57700000,-134100000,5200000.0,14500000,,384100000,288275862.0,836500000,237500000,123400000.0,,-900000.0,31300000.0,555900000.0,38600000,,,0.0,,198900000,,31600000.0,0.14,41800000,133300000,41800000,,-26700000,,94200000,561400000
1998-04-30,-58800000.0,,100000.0,3100000.0,-2000000,2000000.0,69600000,,17700000.0,63200000,220000000.0,63200000,,-50100000,55400000,25400000.0,27900000.0,,-4200000,-6100000,54400000,-33200000,349100000,1073400000,-0.01,152900000,58300000.0,,,,-42400000,0,,,48200000,-2200000,0,-63600000,,,-108800000.0,3000000,10400000,0.0,436600000,-7400000,48300000,136400000,-200000.0,46400000,,397300000,220000000.0,920500000,142000000,128400000.0,,2800000.0,39200000.0,686600000.0,49300000,,,0.0,,92700000,,39300000.0,-0.01,-2200000,100100000,-2200000,,-7000000,,64300000,636800000
1998-07-31,-66100000.0,,,-48800000.0,-25200000,3700000.0,69400000,,470100000.0,138100000,,138100000,,50100000,77500000,30400000.0,371600000.0,,-64300000,-354300000,-5700000,520000000,330700000,1498600000,,518500000,48400000.0,,,,75000000,0,,,44000000,-39100000,0,-439300000,,,-112400000.0,3000000,18400000,,410200000,-15400000,-360000000,-175400000,-38700000.0,0,,374700000,,980100000,117200000,135500000.0,,-1500000.0,35600000.0,778900000.0,-74000000,,,-100000.0,,191200000,,35500000.0,,-39100000,206600000,-39100000,,5400000,,157800000,1088400000
1998-10-31,-71200000.0,,900000.0,3300000.0,-15500000,,73800000,,4400000.0,96300000,351428571.0,96300000,,0,88200000,33700000.0,352200000.0,,-64700000,-13600000,-900000,4400000,312600000,1383100000,-0.14,514200000,63300000.0,,,,-41900000,138100000,,,48500000,-49200000,0,-45400000,,,-82900000.0,-31100000,37000000,100000.0,401300000,-68100000,-14500000,-224600000,900000.0,10300000,,361100000,351428571.0,868900000,112000000,145000000.0,,,39300000.0,692700000.0,21000000,,,0.0,,91000000,,40200000.0,-0.14,-49200000,159100000,-49200000,,-12200000,,88400000,981800000
1999-01-31,-79000000.0,,900000.0,14000000.0,29800000,5900000.0,77500000,,35200000.0,163000000,382553191.0,163000000,,0,84000000,36400000.0,329200000.0,,119700000,-11300000,46000000,35200000,671000000,2344800000,0.25,490700000,54600000.0,,,,66800000,0,,,69800000,89900000,0,-14500000,,,-62200000.0,131000000,25400000,,781000000,105600000,34700000,-134700000,,-58200000,,740800000,359600000.0,1854100000,346000000,156500000.0,,,39300000.0,1443900000.0,63300000,,,0.0,,282700000,,40200000.0,0.235,89900000,177100000,89900000,,4400000,,115300000,1563800000
1999-04-30,-86400000.0,,800000.0,63900000.0,37100000,2300000.0,91200000,,20800000.0,330200000,392432432.0,330200000,,0,106800000,34300000.0,317100000.0,,109700000,-21900000,192000000,20800000,664200000,2469900000,0.195,515100000,97700000.0,,,,167200000,0,,,95400000,72600000,0,-45500000,,,-114000000.0,76900000,31100000,,796500000,45800000,170100000,-62200000,,148000000,,759600000,372307692.0,1954800000,239700000,177600000.0,,3600000.0,36000000.0,1508100000.0,70200000,,,100000.0,,169500000,,36900000.0,0.185,72600000,123700000,72600000,,-7300000,,58300000,1673400000
1999-07-31,-95500000.0,,,497900000.0,189500000,4900000.0,108900000,,66200000.0,1254700000,,518300000,,0,152600000,39100000.0,480900000.0,,452800000,-497400000,-163900000,66200000,718100000,2328200000,,742400000,594400000.0,,736400000.0,,188100000,0,600000.0,79100000.0,63000000,263300000,518300000,285800000,,,180600000.0,-15500000,47800000,,817400000,-63300000,-661300000,201200000,-23900000.0,59700000,,781100000,,1585800000,150000000,204400000.0,,-2600000.0,36300000.0,263200000.0,-63600000,,,0.0,,213600000,,36300000.0,,263300000,276900000,263300000,,8200000,,190000000,1510800000
1999-10-31,-105000000.0,,,-10100000.0,-31800000,7200000.0,128500000,,12800000.0,1241800000,373939394.0,286400000,,0,146200000,41700000.0,536000000.0,,-93500000,-85100000,-59100000,12800000,666500000,2374900000,-0.165,810700000,83600000.0,,955400000.0,,-231900000,518300000,1900000.0,153000000.0,87600000,-61700000,286400000,-185600000,,,-169600000.0,-33800000,49600000,,792700000,-83400000,-144200000,139400000,300000.0,-129800000,,754100000,373939394.0,1564200000,163100000,233500000.0,,-2200000.0,38600000.0,228400000.0,44600000,,,0.0,,118500000,,38600000.0,-0.165,-61700000,201900000,-61700000,,-14500000,,110600000,1582200000
2000-01-31,-120900000.0,,11900000.0,-2800000.0,29600000,9400000.0,149300000,3300000.0,35600000.0,1972300000,419132000.0,377700000,,-26600000,167200000,44000000.0,514200000.0,,86900000,-21400000,103400000,9000000,964900000,3200800000,0.145,830700000,107400000.0,,1594600000.0,,55400000,286400000,2000000.0,418100000.0,121100000,57300000,377700000,-57000000,,,-142800000.0,141300000,58700000,,1139100000,82600000,82000000,208100000,,51300000,,1089300000,391870000.0,2370100000,425500000,270200000.0,,-2200000.0,37900000.0,139300000.0,83100000,,,0.0,,342400000,,49800000.0,0.135,57300000,259800000,57300000,,-200000,,157100000,2061500000
2000-04-30,-92346000.0,,11882000.0,422206000.0,200204000,1890000.0,157223000,53449000.0,22487000.0,1908766000,428724000.0,962107000,,0,143361000,40779000.0,475557000.0,,497289000,34817000,174179000,37982000,912492000,3153227000,0.735,776141000,837442000.0,,946659000.0,,584377000,377700000,2032000.0,81802000.0,93524000,297085000,962107000,372216000,,,-439761000.0,111759000,51246000,,1071860000,60513000,208996000,505147000,,249940000,,1059465000,404684000.0,2377086000,329139000,249569000.0,,7441000.0,513000.0,338263000.0,64805000,,,0.0,,264334000,,12395000.0,0.695,297085000,203821000,297085000,,-5698000,,111796000,2081197000
