date,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlySellingGeneralAndAdministration,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue
2016-09-30,13507000000.0,7195000000.0,1426000000,1272000000.0,4068000000.0,,1207000000.0,0.27,31356000000.0,618000000,323000000,185000000,323000000,1548000000.0,0.0,-6775000000,-1689000000,1369000000,,1214000000.0,,494000000,286000000,6000000,1548000000.0,92000000.0,323000000,1241000000,17164000000.0,12000000,1339000000.0,893000000,-20000000,14192000000.0,-10000000,245000000.0,5279000000,2018000000,0.27,0.0,5088000000.0,,1369000000.0,445000000.0,14294000000.0,39000000.0,107000000,533000000,348000000,2667000000,238000000,-183000000,,15616000000.0,,-49000000.0,24161000000.0,50000000.0,360000000,0.0,801000000,215000000.0,-59000000,-649000000,3719000000.0,271000000,37000000,-17000000,1000000.0,1451000000.0,0.0,1679000000.0,,,,,
2016-12-31,14577000000.0,7370000000.0,1589000000,1459000000.0,4059000000.0,,1207000000.0,0.32,33103000000.0,771000000,390000000,189000000,390000000,1513000000.0,0.0,-4057000000,-1829000000,1590000000,,1216000000.0,,528000000,1142000000,-17000000,1513000000.0,79000000.0,390000000,1392000000,18391000000.0,9000000,1539000000.0,932000000,-27000000,14712000000.0,-1435000000,211000000.0,3815000000,1369000000,0.32,0.0,4975000000.0,,1590000000.0,0.0,15355000000.0,59000000.0,125000000,649000000,460000000,2981000000,1143000000,-152000000,-3018000000.0,16878000000.0,4500000000.0,-50000000.0,25733000000.0,64000000.0,469000000,0.0,923000000,215000000.0,-58000000,221000000,3385000000.0,307000000,79000000,-19000000,51000000.0,1482000000.0,0.0,2069000000.0,,,,,
2017-03-31,15119000000.0,8068000000.0,1604000000,1300000000.0,4060000000.0,,1203000000.0,0.32,33493000000.0,603000000,384000000,183000000,384000000,1581000000.0,0.0,-7109000000,-1058000000,1240000000,,1216000000.0,,503000000,451000000,-1000000,1581000000.0,51000000.0,384000000,1371000000,18867000000.0,-33000000,2325000000.0,900000000,36000000,14626000000.0,618000000,184000000.0,5581000000,1590000000,0.32,0.0,4055000000.0,,1240000000.0,0.0,15905000000.0,2000000.0,145000000,654000000,471000000,2975000000,-54000000,-148000000,,17286000000.0,,-517000000.0,25425000000.0,81000000.0,438000000,0.0,751000000,214000000.0,-308000000,-350000000,2815000000.0,300000000,54000000,53000000,12000000.0,1448000000.0,0.0,2412000000.0,,,,,
2017-06-30,16354000000.0,8255000000.0,1707000000,1407000000.0,4062000000.0,,1202000000.0,0.34,35290000000.0,747000000,411000000,201000000,411000000,1651000000.0,0.0,-4847000000,-1944000000,1271000000,,1215000000.0,,566000000,1063000000,5000000,1651000000.0,60000000.0,411000000,1429000000,20292000000.0,17000000,2511000000.0,999000000,2000000,14998000000.0,-878000000,143000000.0,3955000000,1240000000,0.34,0.0,4091000000.0,,1271000000.0,0.0,17149000000.0,-98000000.0,176000000,631000000,430000000,3136000000,1042000000,-174000000,,18641000000.0,,-89000000.0,27035000000.0,85000000.0,447000000,0.0,921000000,232000000.0,-218000000,31000000,2820000000.0,308000000,36000000,49000000,74000000.0,1479000000.0,0.0,2824000000.0,,,,,
2017-09-30,17476000000.0,8324000000.0,1811000000,1665000000.0,4326000000.0,,1202000000.0,0.32,37761000000.0,841000000,380000000,194000000,380000000,1626000000.0,0.0,-2271000000,-1398000000,2330000000,,1223000000.0,,571000000,899000000,0,1626000000.0,70000000.0,380000000,1428000000,22329000000.0,28000000,2217000000.0,1005000000,-43000000,15432000000.0,-2130000000,226000000.0,3491000000,1271000000,0.31,0.0,4921000000.0,,2330000000.0,0.0,18949000000.0,-142000000.0,193000000,617000000,423000000,3239000000,1439000000,-165000000,,20703000000.0,,-100000000.0,29437000000.0,89000000.0,451000000,-323000000.0,1006000000,240000000.0,-31000000,1059000000,2591000000.0,363000000,71000000,-89000000,14000000.0,1485000000.0,0.0,3204000000.0,,,,,
2017-12-31,18525000000.0,8129000000.0,1672000000,1781000000.0,4339000000.0,,1203000000.0,0.52,40774000000.0,-327000000,620000000,227000000,620000000,1917000000.0,0.0,-5191000000,-958000000,2883000000,1000000000.0,1228000000.0,,643000000,1713000000,58000000,1917000000.0,133000000.0,620000000,2072000000,24780000000.0,-71000000,1961000000.0,1137000000,17000000,15994000000.0,-1010000000,168000000.0,5423000000,2330000000,0.5,0.0,5695000000.0,,2883000000.0,0.0,19999000000.0,-142000000.0,219000000,1162000000,935000000,3744000000,1657000000,-180000000,-3630000000.0,22863000000.0,5158000000.0,-300000000.0,32645000000.0,83000000.0,864000000,0.0,-147000000,267000000.0,-24000000,553000000,2812000000.0,132000000,244000000,-1312000000,44000000.0,1528000000.0,0.0,3823000000.0,,,,,
2018-03-31,19420000000.0,7580000000.0,1931000000,1767000000.0,4338000000.0,,1192000000.0,0.43,42322000000.0,-527000000,511000000,185000000,511000000,1967000000.0,,-5275000000,5000000,8727000000,3000000000.0,1217000000.0,,624000000,530000000,-35000000,1967000000.0,94000000.0,511000000,1754000000,27681000000.0,-139000000,1487000000.0,1067000000,25000000,14641000000.0,1167000000,138000000.0,4291000000,8285000000,0.42,0.0,6306000000.0,,2879000000.0,,20849000000.0,-169000000.0,205000000,872000000,687000000,3685000000,793000000,-178000000,,25714000000.0,,-1825000000.0,34742000000.0,98000000.0,548000000,,-349000000,258000000.0,-1769000000,442000000,3427000000.0,433000000,37000000,91000000,13000000.0,1523000000.0,,4334000000.0,,,,,
2018-06-30,19471000000.0,7493000000.0,2053000000,1836000000.0,4331000000.0,,1187000000.0,0.44,41677000000.0,-170000000,526000000,180000000,526000000,1849000000.0,,-5341000000,558000000,7922000000,2000000000.0,1202000000.0,,681000000,176000000,18000000,1849000000.0,101000000.0,526000000,1804000000,26658000000.0,-79000000,1369000000.0,1116000000,-24000000,15019000000.0,735000000,125000000.0,5378000000,8727000000,0.44,0.0,4965000000.0,,2840000000.0,,20889000000.0,36000000.0,205000000,868000000,688000000,3857000000,-1335000000,-198000000,,24809000000.0,,-500000000.0,34184000000.0,84000000.0,609000000,-16000000.0,28000000,255000000.0,-1295000000,-805000000,2125000000.0,419000000,83000000,-2000000,65000000.0,1567000000.0,,4860000000.0,,,,,
2018-09-30,21363000000.0,9734000000.0,2028000000,1866000000.0,6054000000.0,,1181000000.0,0.37,43724000000.0,4447000000,436000000,188000000,436000000,1969000000.0,,-5025000000,154000000,13769000000,2000000000.0,1199000000.0,22000000.0,680000000,1669000000,22000000,1969000000.0,404000000.0,436000000,1655000000,28609000000.0,15000000,946000000.0,1137000000,-134000000,15115000000.0,1244000000,684000000.0,6278000000,7922000000,0.36,0.0,9587000000.0,-25000000.0,8147000000.0,,22698000000.0,66000000.0,213000000,706000000,518000000,3683000000,1049000000,-223000000,,26640000000.0,,-600000000.0,33990000000.0,76000000.0,533000000,-2120000000.0,4670000000,269000000.0,3699000000,5847000000,1440000000.0,257000000,97000000,-123000000,5000000.0,1646000000.0,,5296000000.0,,,,,
2018-12-31,20375000000.0,10369000000.0,2325000000,2002000000.0,6284000000.0,,1177000000.0,0.5,43332000000.0,910000000,584000000,223000000,584000000,2042000000.0,,-6740000000,123000000,13233000000,1998000000.0,1196000000.0,20000000.0,779000000,-1221000000,21000000,2042000000.0,565000000.0,584000000,1901000000,27946000000.0,76000000,971000000.0,1291000000,74000000,15386000000.0,1121000000,825000000.0,5951000000,13769000000,0.49,0.0,9109000000.0,-14000000.0,7575000000.0,,21843000000.0,78000000.0,230000000,833000000,610000000,4226000000,-1769000000,-224000000,-4183000000.0,25904000000.0,5907000000.0,-595000000.0,32963000000.0,61000000.0,686000000,,1134000000,289000000.0,-13000000,-536000000,1534000000.0,247000000,102000000,-137000000,61000000.0,1724000000.0,,5880000000.0,,,,,
2019-03-31,23147000000.0,11389000000.0,2278000000,2097000000.0,6234000000.0,,1171000000.0,0.57,46280000000.0,809000000,667000000,230000000,667000000,2488000000.0,,-8138000000,-4860000000,10903000000,1999000000.0,1188000000.0,22000000.0,1259000000,2251000000,-3000000,2488000000.0,979000000.0,667000000,1850000000,31123000000.0,126000000,1695000000.0,1259000000,-96000000,15157000000.0,-2532000000,750000000.0,6028000000,13233000000,0.56,0.0,7849000000.0,,4515000000.0,,24464000000.0,-25000000.0,247000000,821000000,591000000,4128000000,1502000000,-218000000,,28635000000.0,,-756000000.0,34891000000.0,75000000.0,717000000,,1027000000,511000000.0,-308000000,-2330000000,3334000000.0,297000000,50000000,74000000,7000000.0,1731000000.0,,6550000000.0,,,,,
2019-06-30,23952000000.0,11956000000.0,2344000000,2022000000.0,6236000000.0,,1175000000.0,0.7,48391000000.0,1035000000,823000000,228000000,823000000,2405000000.0,,-5053000000,-1097000000,11974000000,2499000000.0,1187000000.0,27000000.0,1258000000,429000000,-46000000,2405000000.0,1023000000.0,823000000,1961000000,32252000000.0,240000000,2278000000.0,1258000000,30000000,16139000000.0,-414000000,699000000.0,4509000000,10903000000,0.69,0.0,8415000000.0,0.0,4909000000.0,,25272000000.0,-28000000.0,223000000,931000000,703000000,4305000000,996000000,-139000000,,29847000000.0,,0.0,36435000000.0,54000000.0,943000000,,1174000000,483000000.0,-113000000,1071000000,3506000000.0,270000000,120000000,-39000000,67000000.0,1720000000.0,,7373000000.0,,,,,
2019-09-30,22928000000.0,12475000000.0,2431000000,2038000000.0,6178000000.0,4964000000.0,1175000000.0,0.39,50223000000.0,923000000,462000000,227000000,462000000,7400000000.0,,-6617000000,623000000,14984000000,,1188000000.0,29000000.0,1250000000,-777000000,-2000000,2436000000.0,1196000000.0,462000000,1947000000,33740000000.0,-213000000,2771000000.0,1250000000,-37000000,16483000000.0,543000000,629000000.0,6853000000,11974000000,0.39,0.0,10462000000.0,-2509000000.0,6877000000.0,,24204000000.0,-52000000.0,266000000,924000000,697000000,4378000000,1339000000,-173000000,,26340000000.0,,-350000000.0,37748000000.0,98000000.0,484000000,,1096000000,533000000.0,-232000000,3010000000,3585000000.0,302000000,22000000,-157000000,4000000.0,1701000000.0,,7835000000.0,,,,,
2019-12-31,22962000000.0,12838000000.0,2732000000,2087000000.0,6212000000.0,4965000000.0,1174000000.0,0.43,51333000000.0,1090000000,507000000,227000000,507000000,7485000000.0,,-8073000000,-399000000,15743000000,,1187000000.0,,1430000000,103000000,55000000,2520000000.0,1292000000.0,507000000,2229000000,34404000000.0,55000000,2863000000.0,1430000000,-17000000,16885000000.0,430000000,778000000.0,7488000000,14984000000,0.43,0.0,10761000000.0,-7000000.0,7349000000.0,,24759000000.0,-173000000.0,285000000,1026000000,799000000,4961000000,-149000000,-174000000,,26919000000.0,,-305000000.0,38495000000.0,73000000.0,854000000,,1264000000,,68000000,759000000,3412000000.0,361000000,347000000,-147000000,60000000.0,1693000000.0,,8342000000.0,,,,,
