date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,21489400000,196246000,1620375000,92076000.0,4649560000,12987584000,255589000.0,4991847000,0.0,-7910199000.0,20332592000,14351145000,20658171000.0,270477000,6818844000,12747972000,8338024000.0,5837501000,26748200000,1191066000,47080792000,0.0,5464050000,8236774000,0.0,4478983000,22587919000,4342292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,21419087000,196459000,1616377000,93836000.0,8606899000,14490928000,441622000.0,5160711000,4955686000.0,,22556996000,15664419000,12872100000.0,244690000,8157513000,12872100000,5884029000.0,5837501000,27548323000,1864042000,50105319000,0.0,5416792000,8206490000,0.0,5225242000,23870909000,4289320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,22136239000,357262000,1731018000,76050000.0,7931237000,13186510000,722402000.0,4644298000,4989524000.0,-8709425000.0,22420356000,15976375000,22137021000.0,303116000,8873599000,13427596000,5255273000.0,5850599000,28232185000,1500562000,50652541000,0.0,4969511000,8061012000,0.0,6124666000,24037387000,4339506000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,22284232000,356877000,1998479000,71077000.0,5206881000,12109795000,747809000.0,5779867000,4789448000.0,,21711185000,17268040000,14037048000.0,383843000,9950889000,14037048000,6902914000.0,6569075000,29611728000,2929605000,51322913000,0.0,3768505000,7273532000,0.0,6429808000,24541572000,3468515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,20844913000,357374000,2086247000,62190000.0,6070078000,10265815000,960863000.0,5405620000,6510886000.0,-9903577000.0,19837309000,15302669000,24857589000.0,533385000,7901126000,14954012000,4195737000.0,4527518000,29287118000,2198968000,49124427000,0.0,5542163000,8318030000,0.0,3097976000,23620699000,3314282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,21669052000,357457000,2105467000,62244000.0,10536883000,14591529000,1025178000.0,6594312000,5645986000.0,,23984082000,17285512000,14780534000.0,627619000,9029026000,14780534000,4054646000.0,4531397000,31862786000,2748596000,55846868000,0.0,9524059000,12302357000,0.0,4677753000,29587869000,3323288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,22604273000,357572000,2193901000,70028000.0,5958877000,16649416000,10690539000.0,6342273000,,-11091288000.0,26017706000,22566293000,26226109000.0,739459000,9793487000,15134821000,10690539000.0,4532899000,32121025000,2584937000,58138731000,,6015097000,8465315000,,7957939000,31031608000,3510268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,23561354000,357572000,2181453000,103113000.0,6846712000,18824656000,19190000.0,7202140000,1357584000.0,,29220903000,25153666000,15656163000.0,769604000,11349133000,15656163000,11977944000.0,4533245000,32700442000,3282105000,61921345000,,6129972000,8630007000,,8600881000,33783673000,3840345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,25212364000,357602000,2298075000,206122000.0,7297988000,19117186000,,7021542000,,-12406818000.0,29741378000,25109118000,30464533000.0,856120000,12622549000,18057715000,11819198000.0,4681492000,36715879000,85447000,66457257000,,8192400000,10883860000,,6545827000,35992978000,4281919000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,26693200000,357902000,2157831000,209075000.0,4731344000,19347430000,,7022891000,,,41363107000,34992739000,13562797000.0,255233000,14699475000,13562797000,14616086000.0,4334109000,32395503000,4186726000,73758610000,,4743728000,7090550000,,8983372000,42083289000,3137441000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
