date,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
1986-06-30,,,,,,,,,,64024000.0,,,,,,,,,,,,,0.59,,,,1687900000,,,,,,1687900000,,,,,,,,,,,,1687900000,,64024000.0,,,,,,,80200000,,,,,,,,,,,,,0.59,,,,,,,,,,
1986-09-30,,295500000.0,295500000.0,,,,1847400000.0,,,,,,,,90700000.0,,-1714100000.0,52700000.0,3561500000.0,,,,,,,,-4991400000,1119300000.0,,,,,-4991400000,,,,1210000000.0,,1522800000.0,,,,231300000.0,1623700000.0,1618000000,,,2833700000.0,,3804700000.0,,2281900000.0,,40900000,381800000.0,363100000.0,205900000.0,,333000000.0,,,,,,971000000.0,799100000.0,,461500000.0,,,,,,,,,
1986-12-31,,,,,,,,,,65082000.0,,,,,,,,,,,,,0.21,,,,1497300000,,,,,,1497300000,,,,,,,,,,,,1497300000,,65082000.0,,,,,,,27200000,,,,,,,,,,,,,0.21,,,,,,,,,,
1987-03-31,,,,,,,,,,65082000.0,,,,,,,,,,,,,0.005,,,,1523800000,,,,,,1523800000,,,,,,,,,,,,1523800000,,65082000.0,,,,,,,700000,,,,,,,,,,,,,0.005,,,,,,,,,,
1987-06-30,,,,,,,,,,65082000.0,,,,,,,,,,,,,0.33,,,,1802000000,,,,,,1802000000,,,,,,,,,,,,1802000000,,65082000.0,,,,,,,40000000,,,,,,,,,,,,,0.33,,,,,,,,,,
1987-09-30,,46900000.0,46900000.0,,,,1961300000.0,,,,,,,,23800000.0,,-1982300000.0,74100000.0,3943600000.0,,,,,,,,-4676800000,1250200000.0,,,,,-4676800000,,,,1274000000.0,,1550600000.0,,,,906700000.0,1718600000.0,2047900000,,,2992600000.0,,4058000000.0,,2507400000.0,,65500000,472000000.0,498700000.0,232900000.0,,382300000.0,,,,,,1065400000.0,789900000.0,,430000000.0,,,,,,,,,
1987-12-31,,,,,,,,,,62054000.0,,,,,,,,,,,,,0.355,,,,1934700000,,,,,,1934700000,,,,,,,,,,,,1934700000,,62054000.0,,,,,,,40000000,,,,,,,,,,,,,0.355,,,,,,,,,,
1988-03-31,,,,,,,,,,62054000.0,,,,,,,,,,,,,0.185,,,,1815400000,,,,,,1815400000,,,,,,,,,,,,1815400000,,62054000.0,,,,,,,20600000,,,,,,,,,,,,,0.185,,,,,,,,,,
1988-06-30,,,,,,,,,,62054000.0,,,,,,,,,,,,,0.51,,,,2087500000,,,,,,2087500000,,,,,,,,,,,,2087500000,,62054000.0,,,,,,,56900000,,,,,,,,,,,,,0.51,,,,,,,,,,
1988-09-30,,139800000.0,139800000.0,,,,1940200000.0,,,,,,,,44900000.0,,-2106200000.0,80200000.0,4046400000.0,,,,,,,,-5548900000,1444100000.0,,,,,-5548900000,,,,1489000000.0,,1711500000.0,,,,1078700000.0,1644500000.0,1988400000,,,3133500000.0,,4254500000.0,,2543000000.0,,66300000,522600000.0,475800000.0,128700000.0,,419100000.0,,,,,,1121000000.0,842100000.0,,326600000.0,,,,,,,,,
1988-12-31,,,,,,,,,,55610000.0,,,,,,,,,,,,,1.72,,,,2018900000,,,,,,2018900000,,,,,,,,,,,,2018900000,,55610000.0,,,,,,,95900000,,,,,,,,,,,,,1.72,,,,,,,,,,
1989-03-31,,,,,,,,,,55468000.0,,,,,,,,,,,,,-0.25,,,,1799100000,,,,,,1799100000,,,,,,,,,,,,1799100000,,55468000.0,,,,,,,-13800000,,,,,,,,,,,,,-0.25,,,,,,,,,,
1989-06-30,,,,,,,,,,55497000.0,,,,,,,,,,,,,0.78,,,,2103800000,,,,,,2103800000,,,,,,,,,,,,2103800000,,55497000.0,,,,,,,43500000,,,,,,,,,,,,,0.78,,,,,,,,,,
1989-09-30,,70200000.0,70200000.0,,,,2053100000.0,,,,,,,,161200000.0,,-2293300000.0,62500000.0,4346400000.0,,,,,,,,-5740900000,33900000.0,,1320400000.0,,,-5740900000,,,,1515500000.0,,1777600000.0,,,,1109700000.0,1799700000.0,2140100000,,,3315200000.0,,4455700000.0,,2678100000.0,,-39400000,562500000.0,446600000.0,80800000.0,,528000000.0,,,,,,1140500000.0,1073800000.0,,279300000.0,,,,,,,,,
1989-12-31,317700000.0,56700000.0,56700000.0,,70200000.0,10700000.0,2082400000.0,,,55000000.0,32700000.0,28100000.0,-83900000.0,9300000.0,190000000.0,-100000.0,-2335700000.0,74200000.0,4418100000.0,-1000000.0,,38300000.0,0.4,-13500000.0,84700000.0,,39000000,56600000.0,200000.0,1238100000.0,3400000.0,,106500000,100000.0,,,1484700000.0,-14500000.0,1736400000.0,67500000.0,-2400000.0,250200000.0,1117800000.0,1833500000.0,2042900000,-38800000.0,55000000.0,3318200000.0,800000.0,4468200000.0,22000000.0,2731800000.0,22000000.0,22000000,575200000.0,472000000.0,157900000.0,,516200000.0,21700000.0,1686200000.0,,-31700000.0,,1150000000.0,1069800000.0,0.4,291700000.0,,-107600000.0,356700000.0,0.0,,,,,
1990-03-31,334000000.0,50200000.0,50200000.0,,0.0,-800000.0,2093100000.0,,,45000000.0,100000.0,30100000.0,-104300000.0,61500000.0,227700000.0,100000.0,-2404500000.0,71700000.0,4497600000.0,-700000.0,,,0.02,-6500000.0,30400000.0,,2200000,70100000.0,-52600000.0,1287700000.0,-3300000.0,,69200000,200000.0,,,1585500000.0,-14600000.0,1841000000.0,66900000.0,30300000.0,267000000.0,1104900000.0,1864800000.0,1970900000,33400000.0,45000000.0,3450300000.0,-73900000.0,4596500000.0,900000.0,2755500000.0,900000.0,900000,590700000.0,455800000.0,195400000.0,,613300000.0,28000000.0,1634700000.0,,6100000.0,,1146200000.0,1108700000.0,0.02,300300000.0,,-98300000.0,336200000.0,0.0,,,,,
1990-06-30,330300000.0,47600000.0,47600000.0,,0.0,47200000.0,2200800000.0,,,58479532.0,147200000.0,30700000.0,-112800000.0,102100000.0,216800000.0,100000.0,-2398500000.0,63200000.0,4599300000.0,-3600000.0,,,1.79,-2600000.0,43300000.0,,157500000,93500000.0,-95900000.0,1102700000.0,-6000000.0,,222700000,200000.0,,,1413000000.0,-14500000.0,1731700000.0,65200000.0,-6300000.0,265100000.0,1191000000.0,2002900000.0,2108600000,-12700000.0,55865922.0,3415900000.0,-69500000.0,4645400000.0,100000000.0,2913700000.0,100000000.0,100000000,649700000.0,459000000.0,167400000.0,,598200000.0,20300000.0,1620800000.0,,-25000000.0,,1229500000.0,1234900000.0,1.71,309000000.0,,-148000000.0,487800000.0,0.0,,,,,
1990-09-30,329300000.0,80600000.0,80600000.0,,0.0,24100000.0,2264800000.0,,,,83300000.0,30800000.0,-253700000.0,-68700000.0,169800000.0,-11300000.0,-2431800000.0,69400000.0,4696600000.0,-7500000.0,,,,33000000.0,212700000.0,,78400000,97300000.0,100700000.0,1538400000.0,-16300000.0,,148200000,0.0,,,1805500000.0,-14500000.0,2143500000.0,69800000.0,8100000.0,259500000.0,1236300000.0,2032400000.0,2375500000,-156300000.0,,3837900000.0,-41000000.0,5117900000.0,59200000.0,2974400000.0,59200000.0,59200000,640200000.0,473400000.0,141300000.0,,716500000.0,35600000.0,1967800000.0,,125200000.0,,1280000000.0,1235200000.0,,323800000.0,,-110900000.0,407700000.0,0.0,,,,,
1990-12-31,311700000.0,117100000.0,117100000.0,,80600000.0,-3900000.0,2283700000.0,,,56842105.0,-14700000.0,31800000.0,-104800000.0,-14800000.0,172800000.0,-4200000.0,-2484600000.0,68600000.0,4768300000.0,-3500000.0,,76600000.0,-0.19,36500000.0,153000000.0,,100000,114300000.0,75500000.0,1392300000.0,1900000.0,,67700000,100000.0,,,1679400000.0,-14400000.0,1972000000.0,67600000.0,300000.0,244100000.0,1211600000.0,2071800000.0,2275800000,-83600000.0,56842105.0,3751200000.0,48200000.0,5004100000.0,-10800000.0,3032100000.0,-10800000.0,-10800000,679800000.0,485300000.0,139700000.0,,656200000.0,17100000.0,1964000000.0,,-11300000.0,,1252900000.0,1276700000.0,-0.19,309800000.0,,-101700000.0,311800000.0,0.0,,,,,
1991-03-31,317300000.0,54800000.0,54800000.0,,0.0,10000000.0,2308300000.0,,,55416667.0,36600000.0,32900000.0,-107900000.0,7600000.0,142100000.0,-32100000.0,-2525100000.0,66800000.0,4833400000.0,-700000.0,,26300000.0,0.48,-62300000.0,-8000000.0,,50000000,77500000.0,-85400000.0,1223800000.0,-1300000.0,,118900000,100000.0,,,1443400000.0,-14400000.0,1795900000.0,68900000.0,5800000.0,248400000.0,1198600000.0,2130400000.0,1880400000,-33100000.0,55416667.0,3573800000.0,-115900000.0,4846400000.0,26600000.0,3050500000.0,26600000.0,26600000,675400000.0,494700000.0,188400000.0,,612600000.0,19400000.0,1513100000.0,,47700000.0,,1272600000.0,1330000000.0,0.48,305700000.0,,-61800000.0,367300000.0,0.0,,,,,
1991-06-30,329800000.0,77200000.0,77200000.0,,0.0,26000000.0,2514400000.0,,,58000000.0,92700000.0,31700000.0,-97900000.0,10400000.0,355200000.0,36400000.0,-2573100000.0,64900000.0,5087500000.0,-200000.0,,45600000.0,1.19,22400000.0,111700000.0,,98000000,75600000.0,-17300000.0,1545700000.0,-12200000.0,,166900000,0.0,,,1976500000.0,-14500000.0,2197300000.0,68900000.0,13100000.0,260900000.0,1277100000.0,2109700000.0,2139600000,-45000000.0,56050420.0,4086200000.0,13800000.0,5472700000.0,66700000.0,3275400000.0,66700000.0,66700000,696100000.0,503800000.0,171400000.0,,687600000.0,26400000.0,1711800000.0,,-7600000.0,,1386500000.0,1300100000.0,1.15,305800000.0,,-99800000.0,427800000.0,0.0,,,,,
1991-09-30,338200000.0,70700000.0,70700000.0,,0.0,15700000.0,2564400000.0,,,,78200000.0,28600000.0,-134800000.0,20200000.0,195500000.0,-100000.0,-2601700000.0,64400000.0,5166100000.0,0.0,,157500000.0,,-6500000.0,216500000.0,,89600000,47900000.0,43000000.0,1579500000.0,13600000.0,,162800000,200000.0,,,1822900000.0,-14900000.0,2118600000.0,73200000.0,15700000.0,265000000.0,1325100000.0,2182700000.0,2950600000,-165700000.0,,4005600000.0,81700000.0,5449100000.0,62500000.0,3330500000.0,62500000.0,62500000,701700000.0,534000000.0,182300000.0,,660100000.0,17300000.0,2522800000.0,,-105700000.0,,1443500000.0,1336600000.0,,312100000.0,,-243100000.0,427800000.0,0.0,,,,,
1991-12-31,326600000.0,55200000.0,55200000.0,,70700000.0,10200000.0,2559800000.0,,,60204082.0,39700000.0,31400000.0,-85700000.0,25500000.0,202100000.0,100000.0,-2647300000.0,63900000.0,5207100000.0,,,62700000.0,0.5,-15500000.0,41800000.0,,40800000,58200000.0,-39200000.0,1438100000.0,-3800000.0,,114200000,,,,1698400000.0,-15000000.0,1991200000.0,73400000.0,-10100000.0,253200000.0,1340000000.0,2197900000.0,2342800000,-83000000.0,59000000.0,3896300000.0,-43900000.0,5356300000.0,29500000.0,3365100000.0,29500000.0,29500000,741400000.0,517100000.0,133300000.0,,618200000.0,30300000.0,1975400000.0,,19300000.0,,1460000000.0,1370500000.0,0.49,310300000.0,,-82800000.0,367400000.0,0.0,,,,,
1992-03-31,344300000.0,63100000.0,63100000.0,,0.0,-3900000.0,2584300000.0,,,56875000.0,-13000000.0,33000000.0,-93500000.0,92300000.0,251900000.0,-200000.0,-2702900000.0,74300000.0,5287200000.0,,,111500000.0,-0.16,7900000.0,98200000.0,,-11300000,48300000.0,47400000.0,1510100000.0,-6200000.0,,63700000,,,,1810300000.0,-14900000.0,2084500000.0,75000000.0,900000.0,269300000.0,1330500000.0,2248900000.0,2081200000,-129100000.0,56875000.0,4059200000.0,4700000.0,5503700000.0,-9100000.0,3419200000.0,-9100000.0,-9100000,760600000.0,524500000.0,173100000.0,,706400000.0,31300000.0,1748200000.0,,-92000000.0,,1444500000.0,1427400000.0,-0.16,297000000.0,,-182600000.0,333000000.0,0.0,,,,,
1992-06-30,345100000.0,55100000.0,55100000.0,,0.0,-11200000.0,2638300000.0,,,59622642.0,20400000.0,32700000.0,-129300000.0,-16000000.0,213800000.0,100000.0,-2756300000.0,73600000.0,5394600000.0,,,127500000.0,0.54,-8000000.0,131600000.0,,35600000,35300000.0,24600000.0,1632500000.0,-4600000.0,,111400000,1200000.0,,,1881600000.0,-15000000.0,2155600000.0,75800000.0,9500000.0,269300000.0,1332200000.0,2294300000.0,2467800000,-126500000.0,58518519.0,4175900000.0,2300000.0,5652700000.0,31600000.0,3497100000.0,31600000.0,31600000,785200000.0,530100000.0,201000000.0,,692000000.0,17500000.0,2087100000.0,,-28200000.0,,1476800000.0,1463200000.0,0.53,301000000.0,,-123600000.0,380700000.0,0.0,,,,,
1992-09-30,441500000.0,53300000.0,53300000.0,,0.0,-84900000.0,2747200000.0,,,,-205200000.0,34700000.0,-195900000.0,58900000.0,306200000.0,-100000.0,-2817800000.0,70300000.0,5565000000.0,,,131500000.0,,-1800000.0,126600000.0,,-167500000,51700000.0,92300000.0,1688100000.0,-131800000.0,,-89600000,0.0,,,2046000000.0,-15000000.0,2110400000.0,77900000.0,207100000.0,363600000.0,931000000.0,2536400000.0,2660300000,-126700000.0,,4582400000.0,-69300000.0,5668400000.0,-387700000.0,3558000000.0,-387700000.0,-120300000,740500000.0,1032700000.0,173800000.0,,624400000.0,-3100000.0,2386300000.0,,23000000.0,,1086000000.0,1444700000.0,,59000000.0,,-187400000.0,274000000.0,0.0,,,,,
1992-12-31,322300000.0,61600000.0,61600000.0,,53300000.0,9500000.0,2733700000.0,,,60243902.0,34200000.0,32000000.0,-99100000.0,-49700000.0,123600000.0,0.0,-2825000000.0,67800000.0,5558700000.0,,,94500000.0,0.41,8300000.0,122600000.0,,40200000,54800000.0,22000000.0,1508700000.0,10800000.0,,117100000,100000.0,,,1687100000.0,-15000000.0,1904300000.0,76900000.0,-5600000.0,245400000.0,941000000.0,2664700000.0,2392200000,-106400000.0,60243902.0,4351800000.0,23500000.0,5437500000.0,24700000.0,3533200000.0,24700000.0,24700000,731700000.0,1026800000.0,152400000.0,,644900000.0,26100000.0,2029700000.0,,-1600000.0,,1085700000.0,1592600000.0,0.41,45300000.0,,-64600000.0,362500000.0,0.0,,,,,
1993-03-31,356700000.0,63000000.0,63000000.0,,0.0,1600000.0,2747300000.0,,,60243902.0,2400000.0,32200000.0,-104500000.0,37100000.0,208800000.0,0.0,-2857400000.0,66900000.0,5604700000.0,,,100600000.0,0.01,1400000.0,47300000.0,,2200000,41100000.0,-27400000.0,1533000000.0,-1000000.0,,78400000,100000.0,,,1782900000.0,-15000000.0,1933500000.0,76200000.0,6100000.0,280600000.0,927200000.0,2632500000.0,2228300000,-114200000.0,60243902.0,4415400000.0,-57200000.0,5495100000.0,800000.0,3561600000.0,800000.0,800000,747400000.0,1023300000.0,214700000.0,,619100000.0,32300000.0,1869400000.0,,63300000.0,,1079700000.0,1559300000.0,0.01,49900000.0,,-83000000.0,358900000.0,0.0,,,,,
1993-06-30,345100000.0,51000000.0,51000000.0,293400000.0,0.0,25100000.0,2726200000.0,,,65064935.0,75200000.0,29800000.0,-99300000.0,142800000.0,238200000.0,0.0,-2895800000.0,65900000.0,5622000000.0,,,138500000.0,0.81,-12000000.0,-103400000.0,,91000000,43300000.0,-229100000.0,1451800000.0,-3600000.0,,166600000,293400000.0,,,1733300000.0,-16300000.0,2087000000.0,75600000.0,3400000.0,269500000.0,961200000.0,2471100000.0,2446000000,-134700000.0,61851852.0,4204400000.0,-202700000.0,5612300000.0,50100000.0,3525300000.0,50100000.0,50100000,733200000.0,1026600000.0,172100000.0,,658300000.0,14100000.0,2009900000.0,,-63200000.0,,1407900000.0,1395600000.0,0.77,48900000.0,,-51400000.0,436100000.0,0.0,,,,,
1993-09-30,351200000.0,41000000.0,41000000.0,293200000.0,0.0,22000000.0,2769900000.0,,,,88500000.0,29700000.0,-129400000.0,-86200000.0,158900000.0,0.0,-2935000000.0,64700000.0,5704900000.0,,,106600000.0,,-10000000.0,183100000.0,,106200000,41500000.0,35300000.0,1418500000.0,22700000.0,,182100000,1100000.0,,,1618900000.0,-19600000.0,1973000000.0,75900000.0,-6400000.0,275300000.0,1009300000.0,2478100000.0,2487400000,-96100000.0,,4097000000.0,53700000.0,5551800000.0,66500000.0,3578800000.0,66500000.0,66500000,744200000.0,1034700000.0,201300000.0,,552400000.0,12000000.0,2030000000.0,,-100000.0,,1454800000.0,1399500000.0,,43900000.0,,-106900000.0,457400000.0,0.0,,,,,
1993-12-31,340800000.0,63100000.0,63100000.0,293200000.0,41000000.0,26500000.0,2762600000.0,,,70361446.0,84900000.0,29300000.0,-73900000.0,-65200000.0,126700000.0,0.0,-2994700000.0,,5757300000.0,,,67900000.0,0.9,22100000.0,163500000.0,,113600000,38200000.0,-14000000.0,1314600000.0,6800000.0,,189000000,2500000.0,,,1479500000.0,-19700000.0,1894000000.0,75400000.0,25300000.0,265400000.0,1048000000.0,2495200000.0,2365700000,-73300000.0,64888889.0,3974700000.0,89600000.0,5470000000.0,58400000.0,3576000000.0,58400000.0,58400000,813400000.0,1067600000.0,166600000.0,,561100000.0,500000.0,1911300000.0,,-4800000.0,,1495300000.0,1383600000.0,0.83,44000000.0,,-76200000.0,454400000.0,0.0,,,,,
1994-03-31,349600000.0,65000000.0,65000000.0,293200000.0,0.0,10500000.0,2777800000.0,,,71521739.0,43400000.0,29000000.0,-79100000.0,-69100000.0,71100000.0,0.0,-2985900000.0,55400000.0,5763700000.0,,,62400000.0,0.47,1900000.0,135600000.0,,51300000,23000000.0,28200000.0,1367300000.0,3000000.0,,125900000,13800000.0,,,1461400000.0,-19800000.0,1910800000.0,74600000.0,3700000.0,275000000.0,1061100000.0,2505400000.0,2007500000,-62500000.0,70000000.0,3966800000.0,56500000.0,5495200000.0,32900000.0,3584400000.0,32900000.0,32900000,751200000.0,1094000000.0,176400000.0,,594300000.0,21000000.0,1606600000.0,,-38000000.0,,1528400000.0,1377400000.0,0.46,34000000.0,,-64600000.0,400900000.0,0.0,,,,,
1994-06-30,366000000.0,46000000.0,46000000.0,293000000.0,0.0,13000000.0,2772000000.0,,,69841270.0,57000000.0,29000000.0,-94000000.0,72300000.0,159000000.0,0.0,-3020000000.0,,5792000000.0,,,105700000.0,0.65,-19000000.0,-100000.0,,72000000,23000000.0,-118200000.0,1542000000.0,3200000.0,,148000000,700000.0,,,1724000000.0,-19500000.0,2201000000.0,76000000.0,8000000.0,290000000.0,1046000000.0,2528000000.0,2476000000,-101200000.0,67692308.0,4252000000.0,-94100000.0,5810000000.0,44000000.0,3609000000.0,44000000.0,44000000,837000000.0,1114000000.0,183000000.0,,696000000.0,14000000.0,2038000000.0,,-14200000.0,,1558000000.0,1381000000.0,0.63,33000000.0,,-91200000.0,438000000.0,0.0,,,,,
1994-09-30,353000000.0,40000000.0,40000000.0,293000000.0,0.0,26000000.0,2816000000.0,,,,87000000.0,31000000.0,-129000000.0,-37000000.0,133000000.0,0.0,-3082000000.0,80000000.0,5898000000.0,,,99000000.0,,-6000000.0,155000000.0,,82000000,35000000.0,29000000.0,1520000000.0,-11000000.0,,164000000,0.0,,,1688000000.0,-20000000.0,2171000000.0,82000000.0,2000000.0,271000000.0,1126000000.0,2532000000.0,2608000000,-98000000.0,,4220000000.0,26000000.0,5815000000.0,61000000.0,3644000000.0,61000000.0,61000000,748000000.0,1111000000.0,207000000.0,,601000000.0,36000000.0,2173000000.0,,54000000.0,,1595000000.0,1391000000.0,,30000000.0,,-124000000.0,435000000.0,0.0,,,,,
1994-12-31,371000000.0,56000000.0,56000000.0,293000000.0,40000000.0,15000000.0,2842000000.0,,,62000000.0,50000000.0,32000000.0,-102000000.0,92000000.0,199000000.0,0.0,-3109000000.0,81000000.0,5951000000.0,,,62000000.0,0.5,16000000.0,77000000.0,,71000000,44000000.0,-41000000.0,1510000000.0,11000000.0,,150000000,,,,1753000000.0,-21000000.0,2259000000.0,79000000.0,,292000000.0,1140000000.0,2579000000.0,2534000000,-63000000.0,62000000.0,4332000000.0,-25000000.0,5951000000.0,31000000.0,3692000000.0,35000000.0,35000000,769000000.0,1106000000.0,167000000.0,,698000000.0,11000000.0,2092000000.0,,-53000000.0,,1619000000.0,1439000000.0,0.5,34000000.0,,-153000000.0,442000000.0,0.0,,,,,
