date,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyTaxProvision,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyIncomeTaxPayable
1999-09-30,,,38700000.0,263500000,2500000,2500000,2900000.0,-1000000.0,,13723327.0,,-43500000.0,,4800000,-100000.0,,,,6400000.0,,50800000.0,5900000,,,,,,579100000.0,,,-400000.0,0.36,,13877678.0,,,,-6200000.0,500000.0,1900000,,,17600000,,,-37100000.0,620100000,4900000,,,356600000,,5800000,5800000,0.36,2500000.0,,-57600000.0,,-14100000.0,,,332600000,,,,,,,,,,,,,,
1999-12-31,,,38700000.0,262600000,3400000,3400000,2500000.0,-2500000.0,,,,-39100000.0,,5100000,-36900000.0,,-1300000.0,,14700000.0,,11300000.0,5000000,,,,,,598800000.0,,,1000000.0,,,,,,,-6900000.0,-9000000.0,2100000,,,18100000,,,-24400000.0,643100000,4200000,,,380500000,,5100000,5100000,,3400000.0,,-25000000.0,,14100000.0,,,350500000,,,,,,,,,,,,,,
2000-03-31,,,38726000.0,262914000,1968000,1968000,3446000.0,-1098000.0,,13780276.0,,-16780000.0,,5551000,0.0,,,,1798000.0,,13504000.0,5737000,,,,,,610472000.0,,,-1478000.0,0.35,,13912400.0,,,,-6837000.0,-3939000.0,2093000,,,18411000,,,-14982000.0,661275000,4821000,,,398361000,,5737000,5737000,0.35,1968000.0,,-16780000.0,,0.0,,,369874000,,,,,,,,,,,,,,
2000-06-30,,,38732000.0,279543000,733000,733000,1968000.0,-534000.0,,14272509.0,,-37870000.0,,5968000,17836000.0,,,,4679000.0,,31956000.0,6341000,,,,,,643098000.0,,,-1235000.0,0.38,,14450365.0,,,,-6848000.0,-1662000.0,2104000,,,18942000,,,-33191000.0,699626000,5425000,,,420083000,,6341000,6341000,0.38,733000.0,,-37870000.0,,0.0,,,391658000,,,,,,,,,,,,,,
2000-09-30,,,38743000.0,324092000,775000,775000,733000.0,-1132000.0,,14518005.0,,-46461000.0,,7066000,0.0,,6703000.0,,15397000.0,,41157000.0,6531000,,,,,,693769000.0,,,42000.0,0.38,,14782077.0,,,,-7107000.0,8866000.0,2391000,,,21409000,,,-31064000.0,765934000,5615000,,,441842000,,6531000,6531000,0.39,775000.0,,-56512000.0,,-10051000.0,,,411613000,,,,,,,,,,,,,,
2000-12-31,,,38743000.0,319152000,2776000,2776000,775000.0,35738000.0,,,,-17825000.0,3885000.0,7206000,0.0,,1541000.0,,11057000.0,,12262000.0,7400000,,,,,,705745000.0,,,2001000.0,,,,,,,-7596000.0,-1434000.0,2398000,,,22357000,,,-6768000.0,780984000,6482000,,,461832000,,7400000,7400000,,2776000.0,,-21318000.0,,-3493000.0,,,427371000,,,,,,,,,,,,,,
2001-03-31,,,38745000.0,314076000,5796000,5796000,2776000.0,-1271000.0,,15471100.0,,-32733000.0,2614000.0,7361000,0.0,,-6362000.0,,17467000.0,,22226000.0,7306000,,,2566000.0,,,732577000.0,,,3020000.0,0.41,,15704458.0,,,6958000.0,-7606000.0,637000.0,2874000,,,23634000,,,-15266000.0,820110000,6390000,,,506034000,,7306000,7306000,0.41,5796000.0,,-36673000.0,,-3940000.0,,,457764000,,,,,,,,,,,,,,
2001-06-30,,,38750000.0,335862000,3666000,3666000,5796000.0,-651000.0,,16011654.0,,-50066000.0,,6883000,0.0,,-2748000.0,,1849000.0,,51822000.0,7324000,,,-14102000.0,,,776114000.0,,,-2130000.0,0.39,,16253036.0,,,7685000.0,-8352000.0,942000.0,2819000,,,23516000,,,-48217000.0,879561000,6408000,,,543699000,,7324000,7324000,0.4,3666000.0,,-55801000.0,,-5735000.0,,,274000000,,,,,,,,,,,,,,
2001-09-30,,,38751000.0,328866000,2720000,2720000,3666000.0,-1317000.0,,16135399.0,,-60717000.0,,7278000,0.0,,-9150000.0,,13603000.0,,43395000.0,7451000,,,-2578000.0,,,829780000.0,,,-946000.0,0.4,,16413591.0,,,8412000.0,-8392000.0,318000.0,2885000,,,25452000,2773000.0,,-47114000.0,928788000,6535000,,,599922000,,7451000,7451000,0.41,2720000.0,,-57944000.0,,0.0,,,552697000,,,,,,,,,,,,,,
2001-12-31,,,38751000.0,332638000,2376000,2376000,2720000.0,-8803000.0,,,,86126000.0,,7604000,0.0,,-7931000.0,,27421000.0,,13996000.0,8196000,,,9826000.0,,,861876000.0,,,-344000.0,,,,,,8455000.0,-8413000.0,944000.0,3116000,,,26062000,,,113547000.0,962146000,7278000,,,629508000,,8196000,8196000,,2376000.0,,-41761000.0,,-127887000.0,,,573161000,,,,,,,,,,,,,,
2002-03-31,,,96256000.0,406652000,5012000,5012000,2376000.0,-56719000.0,,16409258.0,,-21097000.0,273000000.0,6720000,0.0,,-6549000.0,,11234000.0,,16745000.0,9603000,,,-8168000.0,,,876024000.0,,,2636000.0,0.46,,16720857.0,,,8847000.0,-8440000.0,952000.0,3473000,,,28207000,,,-9863000.0,977986000,7698000,,,571334000,,9603000,9603000,0.47,5012000.0,,-25343000.0,,-4246000.0,,,246272000,,,,,,,,,,,,,,
2002-06-30,,,96257000.0,407173000,2942000,2942000,5012000.0,53942000.0,,16747201.0,,-69134000.0,,6874000,6000000.0,,-7185000.0,,15726000.0,,55990000.0,10220000,,,-4731000.0,,,938066000.0,,,-2070000.0,0.47,,17117830.0,,,9260000.0,-10543000.0,977000.0,3308000,,,29116000,,,-53408000.0,1041754000,7995000,,,634581000,,10220000,10220000,0.48,2942000.0,,-73786000.0,,-4652000.0,,,584121000,,,,,,,,,,,,,,
2002-09-30,,,96278000.0,486619000,3593000,3593000,2942000.0,-73642000.0,,18329443.0,,-35951000.0,,6082000,-6000000.0,,-11700000.0,,11636000.0,,28099000.0,11757000,,,-9884000.0,,,966569000.0,,,651000.0,0.46,,18556300.0,,,8956000.0,-10708000.0,1809000.0,3203000,,,31982000,-3133000.0,,-24315000.0,1079325000,8530000,,,592706000,,11757000,10755000,0.47,3593000.0,,-39084000.0,,0.0,,,541976000,,,,,,,,,,,,,,
2002-12-31,,,96278000.0,485853000,3790000,3790000,3593000.0,62992000.0,,,,-87287000.0,,5308000,0.0,,-10256000.0,,28454000.0,,61370000.0,8830000,,,5363000.0,,,1044808000.0,,,197000.0,,,,,,9027000.0,-11709000.0,4610000.0,3452000,,,30383000,,,-58833000.0,1159243000,7229000,,,673390000,,8830000,9454000,,3790000.0,,-89627000.0,,-2340000.0,,,614878000,,,,,,,,,,,,,,
2003-03-31,,,96278000.0,487692000,3674000,3674000,3790000.0,-1757000.0,,18895821.0,,-59704000.0,,6871000,0.0,,-9437000.0,,17636000.0,,37247000.0,11946000,,,-5748000.0,,,1092599000.0,,,-116000.0,0.63,,19136372.0,,,9825000.0,-11716000.0,955000.0,3549000,,,33742000,,,-42068000.0,1211291000,9924000,,,723599000,,11946000,12149000,0.64,3674000.0,,-54999000.0,,4705000.0,,,666405000,,,,,,,,,,,,,,
2003-06-30,,,96279000.0,489473000,3998000,3998000,3674000.0,-1175000.0,,18952445.0,,-23446000.0,,6512000,0.0,,-9465000.0,,22300000.0,,4294000.0,11895000,,,4526000.0,,,1107752000.0,,,324000.0,0.65,,19190472.0,,,10190000.0,-12297000.0,-4510000.0,3544000,,,33546000,,,-1146000.0,1231751000,10324000,,,742278000,,11895000,12549000,0.66,3998000.0,,-26270000.0,,-2824000.0,,,681812000,,,,,,,,,,,,,,
2003-09-30,,,96280000.0,501362000,3225000,3225000,3998000.0,-5915000.0,,19023162.0,,-23051000.0,,6532000,1000.0,,-10231000.0,,15473000.0,,-19444000.0,12406000,,,-13601000.0,,,1086081000.0,,,-773000.0,1.0,,19276932.0,,,10273000.0,-12358000.0,5529000.0,3568000,,,34250000,,,-7578000.0,1211145000,19369000,,,709783000,,12406000,21594000,1.02,3225000.0,,3198000.0,,31597000.0,,,655316000,,,,,,,,,,,,,,
2003-12-31,,,96281000.0,507135000,4985000,4985000,3225000.0,2722000.0,,,,-69119000.0,,6501000,-1000.0,,-7706000.0,,19438000.0,,44061000.0,12257000,,,-5165000.0,,,1135676000.0,,,1760000.0,,,,8635000.0,,10456000.0,-12954000.0,760000.0,3550000,,,32604000,,,-49681000.0,1272577000,11127000,,,765442000,,12257000,13351000,,4985000.0,,-61739000.0,,2032000.0,,,709007000,,,,,,,,,,,,,,
2004-03-31,,,96282000.0,511724000,4356000,4356000,4985000.0,-28078000.0,,19206954.0,,-24471000.0,,6709000,0.0,,-8995000.0,,19516000.0,,243000.0,13714000,,,-5507000.0,,,1148340000.0,,,-629000.0,0.78,,19584003.0,10120000.0,,10508000.0,-13401000.0,802000.0,3636000,,,36066000,-1371000.0,,-4955000.0,1294820000,13115000,,,783096000,,13714000,15340000,0.8,4356000.0,,-20388000.0,,5454000.0,,,718898000,,,,,,,,,,,,,,
2004-06-30,,,187332000.0,604646000,3030000,3030000,4356000.0,-43908000.0,,19284631.0,,-81494000.0,,6926000,124209000.0,,-1444000.0,,15429000.0,,66759000.0,13887000,,,-9875000.0,,,1230383000.0,,,-1326000.0,0.5,,19608854.0,7826000.0,,10640000.0,-13852000.0,777000.0,3814000,,,36597000,-2020000.0,,-66065000.0,1379744000,9727000,,,775098000,,13887000,13887000,0.5,3030000.0,,-83514000.0,,0.0,,,684486000,,,,,,,,,,,,,,
2004-09-30,,,187333000.0,614110000,5330000,5330000,3030000.0,63346000.0,,19352670.0,,-118270000.0,,6626000,-124209000.0,,6473000.0,,21565000.0,,99597000.0,15464000,,,-5328000.0,,,1348967000.0,,,2300000.0,0.58,,19668360.0,6735000.0,,11113000.0,-14170000.0,316000.0,3662000,,,39884000,-592000.0,,-96705000.0,1523679000,11370000,,,909569000,,15464000,15464000,0.59,5330000.0,,-118862000.0,,0.0,,,847046000,,,,,,,,,,,,,,
2004-12-31,,,187334000.0,620473000,3158000,3158000,5330000.0,-1736000.0,,,,-226724000.0,,8409000,85421000.0,,6037000.0,,11242000.0,,214510000.0,15504000,,,-17312000.0,,,1680102000.0,,,-2172000.0,,,,5267000.0,,12475000.0,-17007000.0,575000.0,3993000,,,42067000,,,-215482000.0,1872284000,13388000,,,1251811000,,15504000,15504000,,3158000.0,,-227924000.0,,-5183000.0,,,1186946000,,,,,,,,,,,,,,
2005-03-31,,,187349000.0,711941000,3770000,3770000,3158000.0,-13051000.0,,19468620.0,,-123957000.0,,11321000,0.0,,9274000.0,,31658000.0,,93801000.0,14989000,,,1291000.0,,,1803558000.0,,,612000.0,0.55,,19789798.0,2322000.0,,14386000.0,-16957000.0,992000.0,4445000,,,44768000,-890000.0,,-92299000.0,2004211000,10967000,,,1292270000,,14989000,14989000,0.56,3770000.0,,-124847000.0,,0.0,,,1217917000,,,,,,,,,,,,,,
2005-06-30,,,187350000.0,716311000,2390000,2390000,3770000.0,-12042000.0,,20936265.0,,-81773000.0,,11248000,0.0,,8607000.0,,17522000.0,,62382000.0,16236000,,,-15071000.0,,,1882018000.0,,,-1380000.0,0.58,,21275364.0,93000.0,,14728000.0,-17991000.0,1592000.0,4765000,,,46969000,489000.0,,-64251000.0,2091696000,12250000,,,1375385000,,16236000,16273000,0.59,2390000.0,,-81284000.0,,0.0,,,1301934000,,,,,,,,,,,,,,
2005-09-30,,,187362000.0,820623000,4551000,4551000,2390000.0,-1987000.0,,21091183.0,,-79991000.0,,13160000,0.0,,28904000.0,,39178000.0,,42852000.0,16166000,,,5640000.0,,,1975381000.0,,,2161000.0,0.56,,21486731.0,,,15275000.0,-18503000.0,2308000.0,5993000,,,50592000,-1060000.0,,-40813000.0,2196799000,11969000,,,1356044000,,15932000,15991000,0.57,4551000.0,,-79869000.0,,1182000.0,,,1271698000,,,,,,,,,,,,,,
2005-12-31,,,187362000.0,829800000,3911000,3911000,4551000.0,-448935000.0,,,,-148503000.0,,13387000,0.0,,35033000.0,,32320000.0,,113940000.0,16557000,,,952000.0,,,2118156000.0,,,-640000.0,,,,,,16604000.0,-19619000.0,395000.0,5914000,,,52689000,,,-116183000.0,2362450000,12157000,,,1512535000,,16180000,16180000,,3911000.0,,-146900000.0,,142000.0,,,1406666000,,,,,,,,,,,,,,
2006-03-31,,,187364000.0,832990000,3430000,3430000,3911000.0,-135909000.0,,22322290.0,,-153509000.0,,14865000,-392000.0,,36506000.0,,34198000.0,2242000.0,119781000.0,16557000,,,-191000.0,,,2256099000.0,,,-481000.0,0.56,,22759795.0,,,16147000.0,-19910000.0,1487000.0,6452000,,,53726000,-3193000.0,,-119311000.0,2511125000,12733000,,,1657937000,,16187000,16755000,0.57,3430000.0,,-154460000.0,,0.0,,,1544430000,,,,,,,,,,,,,,
2006-06-30,,,187402000.0,1137237000,3647000,3647000,3430000.0,-351819000.0,,22856380.0,,-62322000.0,,16317000,-392000.0,,40096000.0,,15543000.0,,43704000.0,17399000,,,-20264000.0,,,2310088000.0,,,217000.0,0.57,,23250681.0,,,17072000.0,-19972000.0,4025000.0,6269000,,,54167000,5534000.0,,-46779000.0,2576639000,13139000,,,1419226000,,17029000,17162000,0.57,3647000.0,,-59030000.0,,0.0,,,1305103000,,,,,,,,,,,,,,
2006-09-30,,,187428000.0,1353135000,7821000,7821000,3647000.0,-565143000.0,,26323345.0,,-433398000.0,,19041000,-394000.0,,25619000.0,,29909000.0,,403441000.0,19673000,,,-9312000.0,,,3009614000.0,,,4174000.0,0.56,,26714050.0,,,20988000.0,-22639000.0,1820000.0,6653000,,,66167000,-10244000.0,,-403489000.0,3305842000,14942000,,,1895318000,,18964000,18964000,0.57,7821000.0,,-429176000.0,,0.0,,,1721348000,72096000.0,,,,,,,,,,,,,
2006-12-31,,,187428000.0,1351652000,2948000,2948000,7821000.0,-672045000.0,,,,-329049000.0,,21148000,-750000.0,,24595000.0,,48740000.0,6128000.0,274311000.0,20628000,,,4062000.0,,,3322582000.0,,,-4873000.0,,,,,,23473000.0,-25058000.0,3496000.0,6697000,,,71390000,-5003000.0,,-280309000.0,3617477000,16512000,,,2208348000,,19790000,20535000,,2948000.0,,-327924000.0,,0.0,,,2024866000,74824000.0,,,,,,,,,,,,,
2007-03-31,,,129929000.0,1291661000,9012000,9012000,2948000.0,-382102000.0,,28899303.0,,-87315000.0,,20556000,86000.0,,19295000.0,,31913000.0,6228000.0,60040000.0,21406000,,,-14301000.0,,,3394872000.0,,,6064000.0,0.52,,29299733.0,,,24530000.0,-26644000.0,3808000.0,8082000,,,77083000,-4802000.0,,-55402000.0,3721731000,15108000,,,2371600000,,20499000,21784000,0.52,9012000.0,,-85889000.0,,0.0,,,2176594000,73760000.0,,,,,,,,,,,,,
2007-06-30,,,129930000.0,1312190000,7017000,7017000,9012000.0,-194407000.0,,29045354.0,,-123692000.0,,19870000,-943000.0,,36159000.0,,49480000.0,4468000.0,72047000.0,22619000,,,3286000.0,,,3507609000.0,,,-1995000.0,0.73,,29362514.0,,,24100000.0,-24523000.0,3458000.0,7921000,,,76032000,-4298000.0,,-74212000.0,3846886000,21334000,,,2476267000,,21717000,24048000,0.73,7017000.0,,-123522000.0,,0.0,,,2274269000,77698000.0,,,,,,,,,,,,,
2007-09-30,,,129950000.0,1490708000,33743000,33743000,7017000.0,-422759000.0,,29258184.0,,-445831000.0,,23947000,381000.0,,26341000.0,,57154000.0,4910000.0,390739000.0,22240000,,,9355000.0,,,3952271000.0,,,3763000.0,0.68,,29507316.0,,,25676000.0,-25181000.0,3640000.0,8343000,,,80185000,-3209000.0,,-388677000.0,4307003000,20186000,,,2756576000,,21331000,22900000,0.69,10780000.0,,-444130000.0,,0.0,,,2502832000,79290000.0,,,,,,,,,,,,,
2007-12-31,,,129954000.0,1503820000,8030000,8030000,10780000.0,-148903000.0,,,,-293180000.0,,24013000,14835000.0,,8093000.0,,46835000.0,4045000.0,243859000.0,22631000,,,2877000.0,,,4290217000.0,,,-2750000.0,,,,,,20966000.0,-26286000.0,4269000.0,8114000,,,83978000,-4309000.0,,-246345000.0,4642094000,22277000,,,3062768000,,21680000,24992000,,8030000.0,,-293444000.0,,0.0,,,2787904000,84322000.0,,,,,,,,,,,,,
2008-03-31,,,349955000.0,1691714000,7654000,7654000,8030000.0,-481869000.0,,31546591.0,,-48558000.0,,22245000,-1600000.0,,-32692000.0,,25218000.0,3794000.0,22312000.0,22940000,,,-23354000.0,,,4326193000.0,,,-376000.0,1.09,,31801945.0,,,25630000.0,-27716000.0,3534000.0,8787000,,,87714000,-3142000.0,,-23340000.0,4685045000,34760000,,,2918474000,,21989000,37688000,1.1,7654000.0,,-47906000.0,,0.0,,,2625852000,74134000.0,,,,,,,,,,,,,
2008-06-30,,,379956000.0,1750958000,7072000,7072000,7654000.0,28869000.0,,31615359.0,,-128518000.0,,17732000,-1017000.0,,-4631000.0,,56208000.0,4427000.0,69525000.0,29280000,,,3312000.0,,,4436104000.0,,,-582000.0,0.67,,31887477.0,,,26783000.0,-27707000.0,568000.0,8452000,,,92322000,-2224000.0,,-72310000.0,4803608000,21303000,,,2977862000,,28332000,28421000,0.67,7072000.0,,-126315000.0,,0.0,,,2693333000,75131000.0,,,,,,,,,,,,,
2008-09-30,,,379956000.0,1740708000,15391000,15391000,7072000.0,-192643000.0,,31694711.0,,-155721000.0,,19948000,-597000.0,,-16528000.0,,86989000.0,2973000.0,77541000.0,29548000,,,31743000.0,,,4564460000.0,,,8319000.0,0.67,,31959890.0,,,27245000.0,-33745000.0,1205000.0,8588000,,,95332000,-3463000.0,,-68732000.0,4933140000,21510000,,,3117312000,,28619000,28600000,0.68,15391000.0,,-156211000.0,,0.0,,,2804551000,72509000.0,,,,,,,,,,,,,
2008-12-31,,,379957000.0,1670196000,71161000,71161000,15391000.0,-273834000.0,,,-428690000.0,-215965000.0,,18866000,3038000.0,,-87209000.0,5151160000.0,64294000.0,2117000.0,128592000.0,29286000,,,-2356000.0,,,4722470000.0,,,55770000.0,,,,,,29085000.0,-36911000.0,-13781000.0,123512000,,,106509000,-4177000.0,,-151671000.0,5131096000,21071000,,,3460900000,,28315000,28160000,,71161000.0,,-137116000.0,,0.0,386811000.0,,2966963000,61861000.0,,,,,,,,,,,,,
2009-03-31,,,380028000.0,1962854000,125281000,125281000,71161000.0,-317190000.0,,32478671.0,-452539000.0,-132788000.0,,20199000,-1052000.0,,-79868000.0,5244097000.0,68121000.0,246000.0,109434000.0,39010000,254630000.0,,-3029000.0,,,4791558000.0,,3022000.0,54120000.0,1.01,,32498107.0,,,31446000.0,-34066000.0,-1509000.0,42102000,,,112558000,-2822000.0,,-64667000.0,5235181000,32768000,,,3231423000,,39010000,40374000,1.01,125281000.0,,-123435000.0,,0.0,331715000.0,,2829120000,64788000.0,,,,,,,,,,,,,
