date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1996-03-31,,,133200000.0,523400000.0,1151000000.0,29000000.0,2918700000.0,-20500000.0,190400000.0,,-3713500000.0,128431373.0,130000000.0,130000000.0,73500000.0,338100000.0,,,249400000.0,-8200000.0,-36200000.0,-193800000.0,,300800000.0,-121100000.0,-58300000.0,10631000000.0,193100000,,1028200000,0.51,59300000.0,6917500000.0,200000.0,10600000.0,105300000.0,,100900000.0,298300000,-1500000.0,1016600000.0,,128431373.0,242500000.0,,973400000.0,,984200000.0,65500000.0,9523900000.0,10497300000.0,,,,716500000.0,,2332300000.0,100000.0,7478700000.0,,73900000.0,73900000,0.51,130000000.0,-78800000.0,3701100000.0,2323300000.0,,10000000.0,201600000.0,451400000.0,-64500000.0,311700000.0,396500000.0,,,
1996-06-30,,,46400000.0,566200000.0,1126000000.0,130000000.0,2853800000.0,-13500000.0,182400000.0,,-3792600000.0,128888889.0,275800000.0,275800000.0,78100000.0,439800000.0,,,321100000.0,16600000.0,25300000.0,-187700000.0,,203100000.0,4900000.0,-48700000.0,10639000000.0,106000000,,871900000,0.09,26500000.0,6846400000.0,100000.0,0.0,103700000.0,,145900000.0,209800000,0.0,972300000.0,,128888889.0,154400000.0,,1065500000.0,,1146400000.0,11600000.0,9477900000.0,10543400000.0,6270100000.0,,,672200000.0,,2360400000.0,-200000.0,7589700000.0,,19900000.0,19900000,0.09,275800000.0,-62200000.0,3686300000.0,2289200000.0,,14800000.0,210600000.0,396700000.0,-64300000.0,199700000.0,385400000.0,,,
1996-09-30,,,24200000.0,566600000.0,1126000000.0,275800000.0,2826800000.0,-29400000.0,158500000.0,,-3874600000.0,110000000.0,238900000.0,238900000.0,71100000.0,315200000.0,,,289700000.0,19000000.0,500000.0,-181700000.0,,164800000.0,-116000000.0,-56200000.0,10663400000.0,80800000,,955500000,0.01,14500000.0,6788800000.0,100000.0,0.0,102600000.0,,-36900000.0,183200000,0.0,941300000.0,,110000000.0,108600000.0,,1019900000.0,,963100000.0,1100000.0,9374600000.0,10394500000.0,6333700000.0,,,647400000.0,,2322200000.0,100000.0,7467800000.0,,9700000.0,9700000,0.01,238900000.0,-85600000.0,3688500000.0,2254700000.0,,11200000.0,203000000.0,419500000.0,-40700000.0,308100000.0,358100000.0,,,
1996-12-31,,,-98200000.0,656300000.0,1092500000.0,238900000.0,2689300000.0,-27300000.0,184300000.0,,-3979800000.0,,194200000.0,194200000.0,70400000.0,377500000.0,,,507100000.0,18300000.0,129300000.0,-176100000.0,,146800000.0,-90000000.0,-74200000.0,10712000000.0,-40000000,,936500000,,-30300000.0,6732200000.0,100000.0,0.0,157800000.0,,-44700000.0,117900000,-35000000.0,832500000.0,,,72600000.0,,1066900000.0,,1204600000.0,-76400000.0,9674800000.0,10741700000.0,6579400000.0,,,616300000.0,,2832400000.0,0.0,7952500000.0,,-67900000.0,-67900000,,194200000.0,-101500000.0,3613700000.0,2212500000.0,,19000000.0,211400000.0,477000000.0,-40600000.0,320200000.0,319900000.0,,,
1997-03-31,,,51700000.0,523000000.0,1091000000.0,194200000.0,2676800000.0,-47400000.0,215400000.0,,-4061600000.0,125000000.0,261400000.0,261400000.0,71100000.0,587900000.0,,,328000000.0,27900000.0,-110600000.0,-167900000.0,,47200000.0,126000000.0,-58500000.0,10734500000.0,111900000,,975400000,0.14,26300000.0,6672900000.0,587900000.0,,103500000.0,,67200000.0,215200000,,817900000.0,,125000000.0,-11300000.0,,1107200000.0,,1228900000.0,17500000.0,9562300000.0,10669500000.0,,,,634900000.0,,2622400000.0,0.0,7892800000.0,,25400000.0,25400000,0.14,261400000.0,-105900000.0,3574100000.0,2191300000.0,,9700000.0,219000000.0,411400000.0,-40000000.0,340500000.0,313000000.0,,,
1997-06-30,,,-77400000.0,639400000.0,1069400000.0,261400000.0,2595400000.0,-38500000.0,235200000.0,,-4146200000.0,128800000.0,137600000.0,137600000.0,71700000.0,466500000.0,,,359400000.0,-12300000.0,71700000.0,-162800000.0,,105300000.0,-130700000.0,-60000000.0,10756500000.0,-13000000,,903300000,-0.5,-20900000.0,6610300000.0,466500000.0,,101300000.0,,-123800000.0,88600000,,753500000.0,,128800000.0,45300000.0,,957900000.0,,1155200000.0,-64400000.0,9496400000.0,10454300000.0,6440200000.0,,,626400000.0,,2638000000.0,-21700000.0,7759000000.0,,-56500000.0,-56500000,-0.5,137600000.0,-98500000.0,3591500000.0,2160900000.0,,6900000.0,223400000.0,361700000.0,-7900000.0,276900000.0,329300000.0,,,
1997-09-30,,,-58100000.0,629500000.0,1065900000.0,137600000.0,2543200000.0,-25600000.0,213800000.0,,-4243300000.0,129250000.0,213100000.0,213100000.0,73400000.0,465200000.0,,,322200000.0,-20000000.0,9100000.0,-157500000.0,,136700000.0,26300000.0,-61900000.0,10780500000.0,15300000,,977100000,-0.4,-13600000.0,6537200000.0,100000.0,200000.0,172100000.0,,75500000.0,187500000,0.0,701700000.0,,129250000.0,74800000.0,,1005900000.0,,1179900000.0,-51700000.0,9606100000.0,10612000000.0,6627900000.0,,,644800000.0,,2822900000.0,200000.0,7968900000.0,,-44500000.0,-44500000,-0.4,213100000.0,-87500000.0,3653600000.0,2119900000.0,,-1000000.0,213600000.0,365400000.0,-7300000.0,332300000.0,392400000.0,,,
1997-12-31,,,-24300000.0,561600000.0,1066200000.0,213100000.0,2509200000.0,22200000.0,399700000.0,,-4330600000.0,,143400000.0,143400000.0,69500000.0,502100000.0,,,402900000.0,26800000.0,58000000.0,-154100000.0,,88000000.0,-120100000.0,-59900000.0,10793800000.0,78700000,,979000000,,5500000.0,6463200000.0,100000.0,2800000.0,104600000.0,,-69700000.0,183100000,0.0,664700000.0,,,28100000.0,,970700000.0,,1220400000.0,-37100000.0,9443700000.0,10414400000.0,6426100000.0,,,640300000.0,,2941700000.0,-100000.0,7805200000.0,,-29800000.0,-29800000,,143400000.0,-37700000.0,3645700000.0,2113200000.0,,-33200000.0,212700000.0,214900000.0,-7200000.0,338700000.0,315300000.0,,,
1998-03-31,,,3200000.0,548000000.0,1042600000.0,143400000.0,2516400000.0,-33500000.0,295000000.0,,-4429200000.0,127857143.0,268700000.0,268700000.0,71100000.0,639200000.0,,,315200000.0,-10200000.0,109600000.0,-150600000.0,,298400000.0,-82200000.0,-57500000.0,10782300000.0,57400000,,958900000,-0.14,13800000.0,6353100000.0,100000.0,200000.0,140400000.0,,125300000.0,197700000,-23700000.0,689600000.0,,127857143.0,240900000.0,,959600000.0,,1255900000.0,-17900000.0,9312100000.0,10271700000.0,,,,605400000.0,,2750700000.0,0.0,7655300000.0,,-10600000.0,-10600000,-0.14,268700000.0,-91000000.0,3462200000.0,2133300000.0,,15200000.0,208700000.0,187200000.0,-7300000.0,353500000.0,301400000.0,,,
1998-06-30,,,23300000.0,474800000.0,1017800000.0,268700000.0,2500800000.0,3600000.0,276800000.0,,-4520000000.0,126000000.0,131100000.0,131100000.0,71300000.0,436500000.0,,,272600000.0,17900000.0,-43500000.0,-147200000.0,,104100000.0,-207600000.0,-37600000.0,10810100000.0,93900000,,874800000,0.05,10200000.0,6290100000.0,100000.0,200000.0,106600000.0,,-137600000.0,200700000,-25000000.0,695800000.0,,126000000.0,66500000.0,,784400000.0,,985000000.0,6300000.0,9174000000.0,9958400000.0,6219600000.0,,,568700000.0,,2695900000.0,-100000.0,7357600000.0,,13100000.0,13100000,0.05,131100000.0,-34000000.0,3364600000.0,2096000000.0,,-200000.0,210700000.0,165800000.0,-6800000.0,306100000.0,275800000.0,,,
