date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyChangeInInventory
2016-01-31,0,-56008000,859414000.0,49482000.0,123500000.0,501691000,0.0,132000.0,1009039000.0,424541000.0,0.0,4868000.0,-3770000.0,424541000,-164751000,,,-261415000.0,197532000,10275000.0,-79323000,347121000.0,581000,677425000.0,-42000,1500000.0,-121000,184618000,263649000,-0.61,319570000.0,181665000.0,35406000,145777000.0,123318000.0,,1536839000.0,50173000,-79323000,130020000.0,6024000,-79323000,77277000.0,-0.61,179659000.0,-73007000,88375000,220024000,130020000.0,10888000,-26836000,-35500000.0,497766000.0,1217269000.0,-78437000,170495000.0,0.0,77009000,66117000,-79031000,-77150000,0.0,584498000.0,61253000,88779000,8436000.0,276000.0,102382000.0,134995000.0,-665595000.0,886000,,,,,,
2016-04-30,0,83058000,833050000.0,46504000.0,133120000.0,424541000,,133000.0,1022491000.0,428245000.0,0.0,4885000.0,-1233000.0,428245000,-13376000,,,-142787000.0,177224000,14866000.0,-100896000,354888000.0,99000,650814000.0,-1125000,1500000.0,-21039000,146452000,244595000,-0.77,332167000.0,98607000.0,39500000,105363000.0,124642000.0,,1483864000.0,31980000,-100896000,131494000.0,6461000,-100896000,89789000.0,-0.77,185678000.0,-91682000,91370000,185952000,131494000.0,-19375000,-3709000,-38793000.0,465136000.0,1151697000.0,-99671000,183448000.0,,35689000,67371000,-98143000,3704000,0.0,594246000.0,39694000,90936000,,-506000.0,95889000.0,144655000.0,-766491000.0,1225000,,,,,,
2016-07-31,-3500000,-32655000,829141000.0,43410000.0,157155000.0,428245000,,134000.0,1020609000.0,409949000.0,0.0,5429000.0,-1774000.0,409949000,-30627000,,,-173741000.0,184540000,13833000.0,-86597000,367834000.0,166000,688450000.0,-1063000,5000000.0,-24756000,168137000,251764000,-0.65,338838000.0,131262000.0,44616000,125186000.0,124642000.0,,1517591000.0,7808000,-86597000,133041000.0,8174000,-86597000,90476000.0,-0.65,190001000.0,-75453000,88863000,212753000,133041000.0,-5634000,-10541000,-43872000.0,498449000.0,1178753000.0,-85487000,195825000.0,0.0,18349000,67224000,-83627000,-18296000,0.0,610660000.0,8247000,88717000,15183000.0,-192000.0,99525000.0,151953000.0,-853088000.0,1110000,,,,,,
2016-10-31,0,-41227000,814171000.0,40423000.0,156000000.0,409949000,,136000.0,1026999000.0,365593000.0,0.0,6395000.0,-3010000.0,365593000,-64224000,,,-207255000.0,201409000,15845000.0,-93491000,385519000.0,1265000,760793000.0,-348000,5000000.0,-27009000,196115000,287068000,-0.69,345733000.0,172489000.0,48674000,162233000.0,124642000.0,,1574964000.0,32303000,-93491000,134677000.0,8279000,-93491000,93010000.0,-0.69,206646000.0,-82674000,105014000,244789000,134677000.0,-25257000,-12969000,-49155000.0,554147000.0,1229231000.0,-92124000,208978000.0,0.0,45272000,85659000,-90953000,-44356000,0.0,661406000.0,24743000,105663000,0.0,78000.0,113636000.0,159823000.0,-946579000.0,1367000,,,,,,
2017-01-31,0,-65792000,805161000.0,37713000.0,158900000.0,365593000,,137000.0,1083442000.0,421346000.0,0.0,7503000.0,-3013000.0,421346000,-19234000,,,-160004000.0,243710000,24423000.0,-74205000,478707000.0,1190000,913385000.0,-486000,5000000.0,-40221000,248198000,319306000,-0.54,358173000.0,238281000.0,58263000,181163000.0,124642000.0,,1718546000.0,84394000,-74205000,136230000.0,9199000,-74205000,99260000.0,-0.54,246012000.0,-61909000,92794000,306461000,136230000.0,-27596000,-18130000,-50014000.0,667373000.0,1360373000.0,-72400000,216409000.0,0.0,102524000,75596000,-71108000,55753000,0.0,662096000.0,62989000,8625000,12229000.0,294000.0,146752000.0,166395000.0,-1020784000.0,1805000,,,,,,
2017-04-30,0,67021000,763734000.0,35022000.0,163065000.0,421346000,-317000.0,138000.0,1087232000.0,466427000.0,0.0,8239000.0,-3589000.0,466427000,34987000,,,-122473000.0,210444000,25210000.0,-99931000,469072000.0,714000,894852000.0,-608000,5000000.0,-32462000,184285000,281742000,-0.73,355230000.0,171260000.0,58163000,161211000.0,124642000.0,,1658586000.0,35753000,-99931000,137785000.0,9103000,-99931000,99610000.0,-0.73,256330000.0,-88354000,90055000,242448000,137785000.0,-31292000,-5605000,-56427000.0,638522000.0,1303356000.0,-98593000,221783000.0,,41358000,71298000,-97457000,45081000,0.0,620805000.0,41813000,90272000,,101000.0,156720000.0,165356000.0,-1120715000.0,1338000,,,,,,
2017-07-31,0,-36822000,767962000.0,34577000.0,175200000.0,466427000,-485000.0,140000.0,1083547000.0,419810000.0,0.0,8984000.0,-1349000.0,419810000,-63155000,,,-218224000.0,230423000,22901000.0,-83500000,482196000.0,1249000,936192000.0,-874000,5000000.0,-26647000,220088000,302197000,-0.6,363113000.0,208082000.0,59876000,177845000.0,138681000.0,,1704154000.0,20280000,-83500000,139063000.0,10813000,-83500000,100163000.0,-0.6,267167000.0,-71296000,92367000,279964000,139063000.0,-7364000,-2908000,-63113000.0,669025000.0,1341041000.0,-83147000,225067000.0,-17223000.0,23188000,71774000,-82109000,-46617000,0.0,663737000.0,4350000,92492000,,-967000.0,167004000.0,161954000.0,-1204215000.0,353000,,,,,,
2017-10-31,0,-56415000,771705000.0,52434000.0,175745000.0,419810000,-497000.0,141000.0,1058389000.0,393314000.0,0.0,12409000.0,-2074000.0,393314000,-49007000,,,-177207000.0,241221000,28284000.0,-50602000,516401000.0,2956000,1004075000.0,-289000,5000000.0,-29542000,264486000,315301000,-0.36,408349000.0,264497000.0,64167000,190413000.0,161382000.0,,1775780000.0,46869000,-50602000,140413000.0,10123000,-50602000,99140000.0,-0.36,284852000.0,-40692000,84111000,328653000,140413000.0,-29538000,-5418000,-69608000.0,719223000.0,1367431000.0,-50834000,230857000.0,-42127000.0,52287000,74080000,-50815000,-26496000,0.0,665075000.0,15626000,-5191000,,-1811000.0,185712000.0,161249000.0,-1254817000.0,-232000,,,,,,
2018-01-31,-375000,-126095000,1131321000.0,48142000.0,173475000.0,393314000,-509000.0,143000.0,1165150000.0,545947000.0,0.0,11040000.0,156000.0,545947000,38670000,,,-127858000.0,267163000,41711000.0,33167000,489913000.0,-1510000,1008124000.0,-1829000,5375000.0,-49179000,385448000,351125000,0.23,455410000.0,396413000.0,74203000,84631000.0,161382000.0,,2139445000.0,139499000,33167000,142074000.0,10902000,33167000,98383000.0,0.23,277175000.0,45225000,91930000,459651000,147047000.0,-33225000,-6572000,-76265000.0,730949000.0,1684035000.0,33065000,237145000.0,0.0,146071000,83962000,34323000,152633000,0.0,619203000.0,-1513000,13844000,,-2145000.0,178792000.0,160880000.0,-955871000.0,-102000,,,,,,
2018-04-30,-4375000,195576000,1118540000.0,87537000.0,174125000.0,545947000,-589000.0,144000.0,950147000.0,481826000.0,,9898000.0,-1538000.0,481826000,-139591000,,,-22875000.0,268778000,46009000.0,-118499000,472313000.0,-1078000,931742000.0,-135000,9750000.0,-779000,233669000,355135000,-0.83,749605000.0,207913000.0,77970000,76105000.0,413881000.0,,2050282000.0,74191000,-118499000,143548000.0,11416000,-118499000,97194000.0,-0.83,273270000.0,-110050000,94621000,311639000,143548000.0,-255000,-2296000,-82706000.0,658472000.0,1300677000.0,-120487000,238380000.0,-284170000.0,76487000,86357000,-121466000,-64121000,,468321000.0,73576000,15788000,,-239000.0,176076000.0,155674000.0,-1074966000.0,-1988000,,,,,,
2018-07-31,0,-39214000,1146836000.0,105865000.0,173051000.0,481826000,-629000.0,146000.0,891583000.0,419681000.0,,14470000.0,-2730000.0,419681000,-119007000,,,-175756000.0,301674000,70004000.0,-103499000,494610000.0,4068000,1004681000.0,-336000,9750000.0,0,304555000,408413000,-0.71,888851000.0,247827000.0,83748000,99251000.0,503388000.0,,2151517000.0,27962000,-103499000,145030000.0,12751000,-103499000,96359000.0,-0.71,263335000.0,-91107000,105043000,388303000,145030000.0,23813000,-5562000,-88787000.0,741346000.0,1262666000.0,-102688000,245196000.0,-110740000.0,33524000,106739000,-103858000,-62145000,,471902000.0,2387000,17089000,,114000.0,166976000.0,156409000.0,-1178465000.0,811000,,,,,,
2018-10-31,-744000,-55489000,1421867000.0,98738000.0,177950000.0,419681000,-644000.0,148000.0,2671498000.0,1868116000.0,,18669000.0,-4583000.0,1868116000,-441746000,,12270000.0,-611633000.0,324042000,107228000.0,-55705000,504587000.0,3781000,2717807000.0,-186000,113747000.0,-274275000,391758000,441764000,-0.38,1031606000.0,303316000.0,89225000,104715000.0,503388000.0,1614945000.0,4139674000.0,51756000,-55705000,146391000.0,13779000,-55705000,95474000.0,-0.38,1908411000.0,-27842000,107681000,480983000,146391000.0,1831647000,-7319000,-95234000.0,809396000.0,3108068000.0,-53891000,251736000.0,0.0,59075000,117722000,-50006000,1448435000,,803382000.0,-36269000,31206000,,-302000.0,197992000.0,156502000.0,-1234170000.0,1814000,,,,,,
2019-01-31,-375000,-166342000,1520457000.0,91622000.0,229012000.0,1868116000,-1589000.0,149000.0,2757385000.0,1876165000.0,,20418000.0,-2506000.0,1876165000,-78934000,,25562000.0,-299588000.0,373044000,193140000.0,2126000,673018000.0,2469000,2979786000.0,-856000,110588000.0,-62590000,528352000,504195000,0.01,1121780000.0,469658000.0,93733000,125641000.0,503388000.0,1634474000.0,4500243000.0,119385000,2126000,147697000.0,14484000,2126000,95245000.0,0.01,1934648000.0,53921000,134585000,622085000,153325000.0,-41780000,-7983000,-101797000.0,1045138000.0,3378463000.0,13875000,260073000.0,0.0,127368000,131151000,24157000,8049000,,881220000.0,-64035000,41803000,,1296000.0,204929000.0,158276000.0,-1232044000.0,11749000,,,,,,
