date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyResearchAndDevelopment
2011-09-30,,207113000,0.0,,372106000.0,11389872000.0,83148000,-247535000,,1229979000,,,0,-0.9375,-652367000,2958938000,-469000.0,259005000,34432000.0,-30901000,,-5000.0,,-170119000.0,123965000,-632107000,,9588749000.0,1763718000.0,141397000,8700881000.0,,-843124000,2688991000.0,5124676000.0,10426000.0,,162805000.0,-425564000,,35596000.0,298236000.0,,-660040000,298370000,-425564000,-0.9375,453934933.0,,12801803000.0,856669000.0,-206543000,,6385639000.0,-43353000.0,,900885000.0,1022866000,,,453934933.0,2958938000.0,3002291000,2685183000.0,20978621000.0,15853945000.0,0.0,-361670000,2958938000.0,1864724000.0,-1312228000,,,-425564000,175857000,,
2011-12-31,,284275000,0.0,,490350000.0,11983530000.0,281043000,609397000,,1336360000,17013076000.0,,-797194000,,-404751000,3273938000,,435375000,121210000.0,254109000,,-12710000.0,,,3232000,205279000,,9673549000.0,,159128000,8898964000.0,,-938744000,3084566000.0,5372151000.0,0.0,-3941594000.0,1847090000.0,208090000,,56224000.0,101697000.0,,384852000,394659000,208090000,,,,13071482000.0,722401000.0,-2811000,,,286272000.0,,1059528000.0,1052085000,,,,3273938000.0,2958938000,3445569000.0,21657079000.0,16284928000.0,-39000.0,779511000,3273938000.0,,-63994000,,,208090000,154332000,,
2012-03-31,,184984000,,,404851000.0,12411268000.0,71266000,120450000,,1037576000,17277582000.0,,-119255000,0.16138,-355461000,3572011000,925000.0,234130000,-103670000.0,149708000,,-83240000.0,,79012000.0,113718000,71354000,,9745881000.0,1843534000.0,147909000,9118741000.0,,-310077000,3292527000.0,5645613000.0,153347000.0,-4040071000.0,0.0,71830000,,608339000.0,0.0,,-274880000,154848000,71830000,0.18616,397951000.0,,13237511000.0,822929000.0,-476000,,6707457000.0,298073000.0,,822325000.0,852592000,,,470670000.0,3572011000.0,3273938000,3445569000.0,22157149000.0,16511536000.0,0.0,-120032000,3572011000.0,2600593000.0,0,,38674000.0,71830000,162864000,,
2012-06-30,,271137000,,,563491000.0,12681441000.0,119852000,-592550000,,1323418000,13810223000.0,,-125671000,-0.53486,-817141000,2757958000,934000.0,302081000,22373000.0,10637000,,-1000.0,,-176977000.0,151285000,-413950000,,10901005000.0,,158879000,10421579000.0,,-876708000,2259862000.0,6396703000.0,0.0,,34536000.0,-264263000,,52876000.0,126123000.0,,-685679000,105570000,-264263000,-0.53486,755144548.0,,13810223000.0,809651000.0,-149687000,,8277649000.0,-814053000.0,,904523000.0,1052281000,,,755144548.0,2757958000.0,3572011000,4874341000.0,23582446000.0,17185743000.0,0.0,-580109000,2757958000.0,1473725000.0,0,,-5791000.0,-264263000,182229000,,
2012-09-30,,290466000,,,658797000.0,12944880000.0,135375000,-293271000,,1360862000,18746727000.0,,-132947000,-0.0279,-896945000,3791498000,68000.0,331386000,4285000.0,168970000,,-1000.0,,-192209000.0,155091000,-30431000,,11058928000.0,1680896000.0,159070000,10897260000.0,,-502593000,2047620000.0,6060053000.0,0.0,-4244739000.0,37724000.0,-23677000,,53832000.0,141504000.0,,-772997000,129002000,-23677000,-0.0279,848637993.0,,14501988000.0,812989000.0,-6754000,,8752964000.0,1033540000.0,,1008981000.0,1070396000,,,848637993.0,3791498000.0,2757958000,6240709000.0,24003808000.0,17943755000.0,0.0,-643995000,3791498000.0,1167788000.0,1456141000,,,-23677000,196011000,,
2012-12-31,2258350000.0,409429000,,,1015935000.0,14351359000.0,178832000,912929000,,1470436000,19443593000.0,9264000.0,-57226000,,-644719000,4337608000,11015000.0,120216000,35640000.0,347950000,,0.0,,,230597000,62043000,11547000.0,11002078000.0,1684903000.0,185917000,11495499000.0,34057000.0,-254110000,2855860000.0,6686959000.0,0.0,-4295771000.0,289277000.0,33984000,0.0,2698821000.0,24558000.0,,-545611000,280470000,33984000,,,,15147822000.0,683750000.0,28059000,0.0,9240386000.0,546110000.0,,1102676000.0,1061007000,129816000.0,178682000.0,,4337608000.0,3791498000,0.0,25353437000.0,18666478000.0,0.0,-265141000,4337608000.0,1594655000.0,-14528000,,,33984000,186166000,,
2013-03-31,2221633000.0,284233000,-38718000.0,11885000.0,983453000.0,14708243000.0,142135000,-129109000,1696789000.0,1174093000,19889340000.0,11599000.0,-112292000,0.03624,-395126000,4330943000,,424122000,-149630000.0,201933000,-189007000.0,0.0,,51106000.0,142098000,62108000,13728000.0,11007801000.0,1900300000.0,141395000,12135627000.0,34057000.0,-318883000,2572616000.0,6649465000.0,46021000.0,-4418145000.0,291897000.0,41948000,,2762436000.0,20619000.0,437830000.0,-282834000,-35542000,41948000,0.03624,1085357000.0,58962000.0,15471195000.0,840494000.0,20160000,,9883868000.0,-6665000.0,3872000.0,864284000.0,889860000,105828000.0,175058000.0,1085357000.0,4330943000.0,4337608000,0.0,25716044000.0,19066579000.0,,-318376000,4330943000.0,1365793000.0,-597000,176893000.0,,41948000,185121000,238816000.0,
2013-06-30,2123951000.0,350902000,0.0,-108736000.0,1354798000.0,15786056000.0,302626000,70253000,1588052000.0,1334175000,20525589000.0,3032000.0,201141000,-0.17772,-325927000,4458557000,,683365000,-90984000.0,204298000,260492000.0,-99977000.0,,-187344000.0,48276000,-360340000,7325000.0,10660603000.0,1794049000.0,150644000,13373569000.0,34057000.0,-2238327000,2412487000.0,6816294000.0,0.0,-4548358000.0,293721000.0,-247528000,,2799159000.0,25886000.0,186109000.0,-527068000,195599000,-247528000,-0.17772,1392797659.0,,15977231000.0,930751000.0,-112812000,,11228389000.0,127614000.0,7211000.0,941226000.0,983273000,115219000.0,187074000.0,1392797659.0,4458557000.0,4330943000,0.0,26446659000.0,19630365000.0,,-331469000,4458557000.0,842949000.0,-7592000,831287000.0,,-247528000,212418000,-80440000.0,
2013-09-30,2126341000.0,406861000,0.0,32263000.0,1156392000.0,15655059000.0,252351000,-573274000,,1520068000,20942313000.0,3615000.0,-477021000,0.14041,-550745000,3605219000,4875000.0,577454000,-45454000.0,224019000,-263407000.0,0.0,,-134752000.0,154510000,78836000,13414000.0,10702169000.0,1829133000.0,155769000,13487467000.0,34057000.0,-149867000,2167592000.0,6245181000.0,-2000.0,-4670322000.0,296542000.0,43153000,,2865864000.0,27757000.0,-40071000.0,-388094000,-266451000,43153000,0.14041,1084736000.0,,16271991000.0,980827000.0,35683000,,11303010000.0,-853338000.0,10529000.0,1218522000.0,1113207000,126100000.0,183410000.0,1084736000.0,3605219000.0,4458557000,0.0,26357228000.0,20112047000.0,,-654545000,3605219000.0,776819000.0,-11755000,248366000.0,,43153000,250252000,-280598000.0,
2013-12-31,1951429000.0,456314000,-12098000.0,-4851000.0,1061415000.0,16462104000.0,338009000,-148982000,,1660289000,21358525000.0,1474000.0,-185739000,,-652420000,3689640000,17226000.0,406709000,43708000.0,133415000,-135265000.0,0.0,,2187427000.0,118305000,-60578000,7434000.0,10687239000.0,1634210000.0,205966000,14180714000.0,34057000.0,-142012000,2281390000.0,6471714000.0,0.0,-4806818000.0,255138000.0,-58032000,0.0,3027303000.0,16852000.0,513220000.0,-466681000,147129000,-58032000,,,-234085000.0,16551707000.0,905256000.0,-2546000,0.0,12018417000.0,84421000.0,,1474141000.0,1203975000,125650000.0,190533000.0,,3689640000.0,3605219000,0.0,27149343000.0,20677629000.0,,-319552000,3689640000.0,1002383000.0,-7977000,178088000.0,0.0,-58032000,289199000,-174669000.0,
2014-03-31,1882503000.0,389743000,,68275000.0,788089000.0,16137713000.0,264619000,-472859000,,1399616000,21636897000.0,19140000.0,-146890000,0.17359,-343274000,3397216000,5500000.0,734716000,-217184000.0,234227000,-387190000.0,,,212200000.0,125124000,292109000,12365000.0,10903538000.0,1913434000.0,152655000,14064416000.0,34057000.0,-125780000,2073297000.0,6249968000.0,0.0,-4957744000.0,258928000.0,201045000,,3076390000.0,18030000.0,138252000.0,-196384000,-44367000,201045000,0.17359,1085998000.0,173939000.0,16679153000.0,1128428000.0,91064000,8514000.0,11827595000.0,-292424000.0,14543000.0,1178974000.0,1009873000,98359000.0,195797000.0,1089418000.0,3397216000.0,3689640000,0.0,27041251000.0,20791283000.0,,-240751000,3397216000.0,1089455000.0,-193000,185122000.0,,201045000,257485000,155119000.0,
2014-06-30,1763655000.0,380628000,,3205000.0,865564000.0,15932818000.0,217487000,39166000,,1708974000,21734647000.0,14343000.0,7219000,0.08361,-260066000,3114040000,6009000.0,755767000,-138585000.0,253722000,7085000.0,-122178000.0,,316222000.0,163141000,148793000,15754000.0,10881850000.0,1914957000.0,167436000,13564580000.0,34057000.0,-761147000,2368238000.0,6118906000.0,0.0,-5099205000.0,262906000.0,97160000,,3103854000.0,17891000.0,-214392000.0,-267285000,175453000,97160000,0.08384,1158874046.0,,16635442000.0,1260677000.0,51633000,0.0,11322203000.0,-283176000.0,19708000.0,1168002000.0,1328346000,127505000.0,188177000.0,1162061954.0,3114040000.0,3397216000,0.0,26814668000.0,20695762000.0,,-91832000,3114040000.0,1286977000.0,-4439000,303573000.0,,97160000,303401000,24969000.0,
2014-09-30,1761863000.0,497816000,,-86466000.0,989529000.0,17153818000.0,332099000,351043000,,1979478000,21959812000.0,1289000.0,554000,-0.3127,-391487000,3322552000,3462000.0,677285000,5743000.0,288188000,27471000.0,-2000.0,,-28992000.0,165717000,-506060000,10179000.0,10517699000.0,1810031000.0,163975000,14462659000.0,79492000.0,-292862000,2691159000.0,6288137000.0,0.0,-5285233000.0,267054000.0,-362359000,24223000.0,3600354000.0,11924000.0,-117992000.0,-348047000,640826000,-362359000,-0.3127,1158807163.0,,16674579000.0,1252186000.0,-143701000,0.0,12276121000.0,208512000.0,9882000.0,1161155000.0,1481662000,140616000.0,202452000.0,1158807163.0,3322552000.0,3114040000,0.0,27671517000.0,21383380000.0,-43994000.0,292779000,3322552000.0,1484924000.0,-1285000,900691000.0,0.0,-362359000,282654000,231775000.0,
2014-12-31,1634382000.0,640748000,,-104931000.0,962096000.0,17804324000.0,402428000,125109000,,2176531000,22153715000.0,774000.0,-250941000,,-400790000,3686115000,14666000.0,362269000,169471000.0,253478000,-46709000.0,0.0,,1852294000.0,238320000,-298785000,7822000.0,10315132000.0,1479235000.0,204731000,14736679000.0,79492000.0,-1551163000,3067645000.0,6609424000.0,0.0,-5472462000.0,277463000.0,-197352000,0.0,3718920000.0,27152000.0,7345000.0,-149849000,690748000,-197352000,,,-405324000.0,16681253000.0,1077081000.0,-101433000,0.0,12579136000.0,363563000.0,,1273555000.0,1535781000,141489000.0,212578000.0,,3686115000.0,3322552000,0.0,28119456000.0,21510032000.0,0.0,540899000,3686115000.0,1870689000.0,8898000,288462000.0,0.0,-197352000,372592000,-106466000.0,
2015-03-31,1644503000.0,758887000,,-407617000.0,794840000.0,19059303000.0,571990000,-291261000,1071618000.0,2147378000,22140975000.0,,-234686000,-0.65721,-269212000,3867968000,7511000.0,-513532000,-136059000.0,295016000,-251979000.0,8514000.0,,-848005000.0,186897000,-1167714000,14032000.0,9555401000.0,1295959000.0,176417000,15697778000.0,45445000.0,-310588000,3361525000.0,7115668000.0,183516000.0,-5592320000.0,281447000.0,-762459000,,3800704000.0,177379000.0,-49221000.0,-34526000,277644000,-762459000,-0.65721,1087798000.0,-1506457000.0,16548655000.0,1200399000.0,-405255000,8514000.0,13855750000.0,181853000.0,,1358834000.0,1388491000,107768000.0,254323000.0,1091182000.0,3867968000.0,3686115000,0.0,28614704000.0,21499036000.0,,243118000,3867968000.0,2212816000.0,-3283000,298715000.0,,-762459000,355467000,96359000.0,
2015-06-30,1495957000.0,834586000,,218421000.0,1042489000.0,18100516000.0,610232000,-125435000,1290037000.0,2382394000,22387844000.0,,1403000,0.39115,-511259000,2895024000,12792000.0,1035685000,-41495000.0,310430000,144604000.0,-149966000.0,,-381809000.0,224354000,677848000,39194000.0,9860170000.0,1484709000.0,209609000,15097977000.0,45445000.0,-3983071000,3002539000.0,6302605000.0,107909000.0,-5790581000.0,284943000.0,455637000,,3955557000.0,104402000.0,-1068656000.0,-512662000,725746000,455637000,0.39252,1160799450.0,,16597263000.0,1234444000.0,222211000,0.0,13058562000.0,-972944000.0,,1370931000.0,1547808000,140866000.0,241625000.0,1164865141.0,2895024000.0,3867968000,0.0,27960686000.0,21658081000.0,,213084000,2895024000.0,1619987000.0,-9123000,11053000.0,,455637000,346784000,-428509000.0,
2015-09-30,1497384000.0,1329962000,,-553597000.0,1037495000.0,19333674000.0,1115378000,-486011000,736437000.0,2985494000,22410855000.0,,14423000,-0.82631,-316895000,2379242000,5466000.0,1545372000,-29198000.0,307952000,188495000.0,0.0,,-1335130000.0,214584000,-1509096000,24156000.0,8896507000.0,933468000.0,220927000,15869531000.0,45445000.0,-1203716000,3464143000.0,6489675000.0,176785000.0,-5977653000.0,288668000.0,-959182000,,4073381000.0,457815000.0,-710743000.0,-331318000,481381000,-959182000,-0.82631,1160801636.0,,16433202000.0,1259105000.0,-549914000,0.0,14144463000.0,-515782000.0,,1962655000.0,1655532000,158001000.0,291320000.0,1160801636.0,2379242000.0,2895024000,0.0,28230181000.0,21740506000.0,0.0,150063000,2379242000.0,1721607000.0,-47117000,2694458000.0,,-959182000,360010000,-378401000.0,
2015-12-31,500245000.0,1116680000,,290574000.0,1066174000.0,19067904000.0,781866000,-31713000,,2709095000,22528212000.0,,-1027127000,,-1262768000,1477246000,,1276580000,-68811000.0,234562000,11115000.0,-119970000.0,,706137000.0,334814000,640441000,32058000.0,9192081000.0,1037889000.0,245663000,15557330000.0,45445000.0,-374978000,3510574000.0,6589019000.0,0.0,-6181978000.0,263141000.0,340650000,0.0,4192161000.0,281317000.0,-680391000.0,-345871000,900122000,340650000,,,151094000.0,16346234000.0,1315996000.0,299791000,0.0,13598806000.0,-901996000.0,970850000.0,1885960000.0,1592415000,164782000.0,284180000.0,,1477246000.0,2379242000,0.0,28259985000.0,21670966000.0,-934186000.0,1598667000,2448096000.0,1904327000.0,-216935000,278923000.0,,340650000,357216000,-114330000.0,
2016-03-31,467246000.0,1114766000,,421295000.0,745781000.0,18449167000.0,914661000,-118239000,1459015000.0,2708332000,22651620000.0,,-215307000,0.96441,-493719000,1698089000,-1869000.0,2255222000,-84568000.0,226722000,15257000.0,,,1137290000.0,200105000,1635220000,16295000.0,10314733000.0,1661842000.0,192870000,14803942000.0,45445000.0,-672537000,3645225000.0,7097463000.0,409508000.0,-6373966000.0,268241000.0,1124658000,5151000.0,4259347000.0,248387000.0,-42114000.0,-139573000,821350000,1124658000,0.96776,1089598000.0,993481000.0,16277654000.0,1398133000.0,510562000,8514000.0,12473916000.0,220843000.0,1146481000.0,1761955000.0,1593566000,120877000.0,268074000.0,1093272000.0,1698089000.0,1477246000,0.0,28763900000.0,21666437000.0,-138839000.0,681777000,2844570000.0,2378977000.0,-33598000,267013000.0,,1124658000,352989000,-161922000.0,
2016-06-30,210478000.0,822902000,,354127000.0,726757000.0,17412797000.0,603643000,390715000,1813311000.0,2503478000,22784960000.0,,2427000,0.875376,-504811000,1319504000,1420000.0,2008269000,17032000.0,291000000,-62918000.0,-299926000.0,,2056729000.0,219259000,1375233000,14565000.0,10964376000.0,2019705000.0,206078000,14253750000.0,45445000.0,-2124747000,3159047000.0,6735890000.0,589854000.0,-6568132000.0,942630000.0,954333000,3927000.0,4329400000.0,356459000.0,-395531000.0,-353570000,536510000,954333000,0.875376,1090197787.0,-1224000.0,16216828000.0,1368679000.0,420900000,0.0,10978346000.0,-378585000.0,1291326000.0,1566048000.0,1680576000,157364000.0,241561000.0,1090197787.0,1319504000.0,1698089000,0.0,28377173000.0,21641283000.0,-153668000.0,182940000,2610830000.0,1798830000.0,-24345000,288711000.0,,954333000,344325000,199164000.0,
2016-09-30,152521000.0,619243000,,19830000.0,730743000.0,18802481000.0,321480000,239503000,1833360000.0,2172760000,22931694000.0,,-644295000,0.04535,-1182798000,2068607000,,718188000,-107385000.0,265635000,28396000.0,0.0,,2170624000.0,297763000,85274000,18805000.0,11007165000.0,2070197000.0,206655000,15660890000.0,45445000.0,-302552000,3141591000.0,8204881000.0,532847000.0,-6750750000.0,892286000.0,52824000,3831000.0,4416844000.0,509591000.0,1419532000.0,-401914000,570025000,52824000,0.04543,1162755888.0,-96000.0,16180944000.0,1461418000.0,32450000,0.0,12554278000.0,749103000.0,2117091000.0,1495474000.0,1553517000,176588000.0,158093000.0,1164807056.0,2068607000.0,1319504000,0.0,29809646000.0,21604765000.0,-809617000.0,841139000,4185698000.0,1623031000.0,77181000,300245000.0,,52824000,332669000,242552000.0,
