date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue
1998-09-30,,,,0,,1210939032,,,,-1033968156.0,,0.338286,,523296950.0,198000392,,198000392,9998040.0,,,298960988,-1051401,177024113,-67988003,165989382,,52015945.0,,,-65347.0,,-183943378,,523296950.0,,,,0.338286,,,,,1332925170,452983075,,,165980527,-35994.0,,0,,46984251,,452991930,244984643,,,-286916265.0,287002548,,,47986029,,,0,0,1663922107,107012684,,-1152948135,-290956062,,,,,,
1998-12-31,2408165902.0,602106079.0,10355578526.0,12447703340,1276051425.0,1234493964,,,700949674.0,-34007495.0,,,3629175011.0,,258185885,,258026303,-59032215.0,239033529.0,520059435.0,306996576,-662895676,251188782,-69048834,183078484,306996576.0,81991856.0,306996576.0,200981976.0,744.0,5702306351.0,765894958,8208476000.0,,681051748.0,,270043284.0,,,-83984754.0,,442018218.0,298960988,639033936,1270043284.0,,183078484,368960576.0,,6745396989,,56970424,,639033936,314996727,1466050778.0,,312944640.0,455955452,5099295820.0,,-5944774,,3095161186.0,2092124814,2073131339,1873527900,928049549,-1629110408.0,-296185846,-162154591,,,,,,
1999-03-31,,,,0,,1196952633,,,,-11990725.0,,-0.102159,,518777300.0,-52997681,,-52997681,66248.0,,,294998344,-89963564,-52997681,-70023186,157005631,,52997681.0,,,-1.0,,-34978470,,518777300.0,,,,-0.102159,,,,,306989069,142961246,,,157005631,-63000994.0,,0,,-13978138,,142961246,-66975819,,,-24047699.0,-14044385,,,18019212,,,0,0,1339913879,105001656,,-23981451,-139980126,,,,,,
1999-06-30,,,,0,,1145155792,,,,70966657.0,,0.157705,,555110434.0,101520420,,101520420,-59998636.0,,,365991682,-226051981,87543465,-70973610,153964574,,35453740.0,,,1.0,,69954947,,555110434.0,,,,0.157705,,,,,294998344,369809777,,,149382969,-85018369.0,,0,,23385832,,374391382,124906252,,,-49927892.0,220426808,,,43002128,,,0,0,1514965569,239990503,,56980701,-170035556,,,,,,
1999-09-30,,,,0,,1256985144,,,,-45959713.0,,0.360293,,557978798.0,207986916,,207986916,11994003.0,,,320021807,-151955015,201035846,-71010837,182010577,,50020444.0,,,1.0,,-93992423,,557978798.0,,,,0.360293,,,,,365991682,480986779,,,182022625,-31958830.0,,0,,53018945,,480986779,261005861,,,73975592.0,298964154,,,32000331,,,0,0,1737971923,281967089,,-181970219,-375959512,,,,,,
1999-12-31,1909103477.0,745973595.0,10358401880.0,12558512477,1243035875.0,618249770,,,688947259.0,21959934.0,,,3085090205.0,,305024320,,181985680,-29026822.0,231976222.0,487039469.0,329024677,-91025776,202975185,-42986492,202049286,329024677.0,46034072.0,329024677.0,455035598.0,-1.0,5562175987.0,367027282,7341328541.0,,1914011198.0,,396073823.0,,,-109974425.0,,442040506.0,320021807,502148118,1276076588.0,,202049286,17954277.0,,6996336490,,42983134,,502148118,224968814,1103062141.0,,-151033388.0,300098832,5225202184.0,,-122053260,100033413.0,2565148268.0,2200110597,2477085781,1120397888,490065705,-1462086127.0,-366063247,-123038423,,,,,,
2000-03-31,,,,0,,1066970136,,,,-210980068.0,,-0.045578,,481212166.0,-14966549,,-34967929,20001379.0,,,118008138,-865990758,-21932547,-66970136,190978688,,46968756.0,,,1.0,,-763087109,,481212166.0,,,,-0.045578,,,,,328988206,196013518,,,190978688,-67935720.0,,0,,-6965998,,196013518,-41933927,,,-27105317.0,5034830,,,-4965860,-24967239.0,,0,0,1262983654,135940410,,520035865,-899027519,,,,,,
2000-06-30,,,,0,,1183986486,,,,213007095.0,,0.186056,,558899660.0,111013514,,81013514,25000000.0,,,331013514,-285968701,103986486,-67016350,189021312,,62027027.0,,,-1.0,,-313872351,,558899660.0,,,,0.186056,,,,,118008138,310945946,,,173986486,-30104820.0,,0,,18986486,,325980772,100000000,,,-36948738.0,136959460,,,29965860,-87059788.0,,0,0,1494932432,201019049,,307937108,-514891400,,,,,,
2000-09-30,,,,0,,1282187770,,,,23257423.0,,1.194592,,566361822.0,678022490,,174995010,-3326901.0,,,353982301,529828911,670703307,-66958354,212188436,,45911238.0,,,0.0,,1408318831,,566361822.0,,,,1.194592,,,,,331013514,449797059,,,192960277,-50339259.0,,0,,33269013,,469025218,208264023,,,63388674.0,256836782,,,70149378,-27037448.0,,0,0,1731984829,400281874,,-903160943,1008036957,,,,,,
2000-12-31,2320976130.0,798106414.0,13170422723.0,15698093079,1522202960.0,1381415940,,,1310174690.0,-17283383.0,,,4915322043.0,,476996196,,377840252,-24624571.0,232030937.0,1284171223.0,336711562,-758053477,470284631,-69757920,249923846,336711562.0,48993602.0,336711562.0,540738765.0,-666756.0,7880384051.0,179375393,10829443926.0,,962128284.0,,436724897.0,,,-160021336.0,,442058941.0,353982301,642133171,1626216829.0,,249923846,-78317094.0,,7817709028,,-59914480,,642133171,317925772,1378850513.0,,-1376.0,392209325,5942792372.0,,-165825468,-191646286.0,3007734364.0,2527670356,2965062008,2023549111,358238064,-1628883851.0,369227175,-178862671,,,,,,
2001-03-31,2154773232.0,811290835.0,13389787504.0,15471614336,1214716143.0,1252775135,,,1322549952.0,-135109420.0,,0.30043,4815096733.0,568318435.0,173802728,,157944814,258166825.0,246114811.0,1337773549.0,201712655,-303203298,166825246,-69774818,228988265,201712655.0,46305106.0,201712655.0,678084364.0,0.0,7640342531.0,36156042,10662226451.0,568773816.0,1362511893.0,,419283223.0,0.30043,,-244211862.0,,420551855.0,336822074,244211862,1335870599.0,,228988265,-101490643.0,,7831271805,,69140501,,244211862,227085315,1365049160.0,,-23469712.0,15223597,6000000000.0,,48208056,-10783381.0,2914684428.0,2081826832,2825245798,1496986997,178877260,-1549635268.0,-5708849,-142721218,,,,,,
2001-06-30,2634014145.0,762112499.0,13430497720.0,15672549408,1286932382.0,1234053804,,,1223478089.0,101399327.0,,0.211125,5210522837.0,569367385.0,122942693,,115671888,9914733.0,251834226.0,1353030603.0,302729857,-328034722,116993853,-69031448,223784555,302729857.0,50234649.0,302729857.0,573071584.0,-660983.0,7803556084.0,87447633,10643796682.0,569737696.0,1386740697.0,,400555224.0,0.211125,,-255800119.0,,438231212.0,201712655,401216207,1257849164.0,,224072972,-87550273.0,,7868993324,,21151431,,401216207,136823319,1399960341.0,,,177143235,6007667394.0,,13924273,-84398059.0,3014739903.0,2242051689,2593033247,1635270011,265963774,-1614779562.0,163683599,-178516141,,,,,,
2001-09-30,3867942462.0,6970407.0,15652366770.0,18378429757,1551866168.0,1432101895,,,1197642736.0,244723337.0,,0.37166,6426715671.0,570437598.0,217983651,,153982637,-25346936.0,275014258.0,1361130473.0,548127495,-2157558634,211013244,-70305958,270882208,548127495.0,69704075.0,548127495.0,1352259046.0,-5042077.0,10318737723.0,214777923,12869273177.0,570821396.0,1283188644.0,,13307141.0,0.37166,,-205943857.0,,420125467.0,302729857,544959128,1745770230.0,,254103035,-91676402.0,787022369.0,8059692035,,41822445,,561738301,195805082,1499904949.0,,,290856093,6108611622.0,,29116641,-93653235.0,3047969077.0,2726062987,3892022052,1977061023,368795618,-1548064128.0,2030099517,-154017695,,,,,,
2001-12-31,3651000000.0,0.0,15639000000.0,18402000000,1662000000.0,1499412648,,,1262000000.0,-16013244.0,,,6352000000.0,,261457195,7903000000.0,256270452,-20696914.0,256000000.0,1439000000.0,532000000,-226203346,254734744,-69887776,300344972,532000000.0,89977568.0,532000000.0,1093000000.0,-13296940.0,10182000000.0,600618402,4921000000.0,,1263000000.0,,0.0,,,-231000000.0,,2198000000.0,548127495,628912363,1855000000.0,,246405171,-78282682.0,882000000.0,8220000000,,36195932,,682852164,292466384,1552000000.0,,,382507192,6253000000.0,,-16248970,266834675.0,3384000000.0,2763000000,3830000000,2128325011,809363348,-1832000000.0,-597074267,-208744946,,,,,,
2002-03-31,3699000000.0,0.0,15446000000.0,17966000000,1355000000.0,1434000000,,,1207000000.0,45000000.0,,-0.055072,6316000000.0,572873114.0,-31000000,7897000000.0,-31000000,-9000000.0,266000000.0,1410000000.0,577000000,-178000000,-34000000,-70000000,197000000,577000000.0,72000000.0,577000000.0,1176000000.0,0.0,9972000000.0,52000000,4750000000.0,572873114.0,1260000000.0,,0.0,-0.055072,,-286000000.0,,2238000000.0,532000000,228000000,1552000000.0,,185000000,-56000000.0,928000000.0,7994000000,,-7000000,,240000000,-38000000,1539000000.0,,,43000000,6042000000.0,,-20000000,-4000000.0,3371000000.0,2520000000,3656000000,1662000000,163000000,-1832000000.0,62000000,-111000000,,,,,,
2002-06-30,3736000000.0,0.0,15462000000.0,17813000000,1261000000.0,1386000000,,,1129000000.0,-127000000.0,,0.154202,6292000000.0,576381871.0,96000000,,96000000,-20000000.0,288000000.0,1427000000.0,450000000,-226000000,91000000,-70000000,212000000,450000000.0,74000000.0,450000000.0,650000000.0,436000000.0,9344000000.0,198000000,12752000000.0,576959116.0,1162000000.0,,0.0,0.154202,,-153000000.0,,2716000000.0,577000000,423000000,1513000000.0,,201000000,-42000000.0,889000000.0,8469000000,,32000000,,434000000,128000000,1548000000.0,,,222000000,5906000000.0,,25000000,-42000000.0,3380000000.0,2351000000,3052000000,1809000000,336000000,-1832000000.0,-245000000,-138000000,,,,,,
2002-09-30,3688000000.0,0.0,15519000000.0,18006000000,1415000000.0,1458000000,,,1168000000.0,21000000.0,,0.429563,6301000000.0,588469303.0,262000000,,262000000,-12000000.0,284000000.0,1445000000.0,471000000,-284000000,256000000,-85000000,239000000,471000000.0,73000000.0,471000000.0,700000000.0,0.0,9358000000.0,240000000,12791000000.0,588724093.0,1228000000.0,,0.0,0.429563,,-161000000.0,,442000000.0,450000000,637000000,1537000000.0,,226000000,-35000000.0,820000000.0,8648000000,,64000000,,650000000,326000000,1500000000.0,-1000000.0,,411000000,6048000000.0,,47000000,-96000000.0,3332000000.0,2487000000,3057000000,2095000000,347000000,-1832000000.0,-42000000,-107000000,,,,,,
2002-12-31,3487000000.0,0.0,15523000000.0,18542000000,1534000000.0,1418000000,,,1131000000.0,238000000.0,,,6386000000.0,,288000000,,279000000,-100000000.0,287000000.0,1768000000.0,709000000,-222000000,283000000,-80000000,228000000,709000000.0,72000000.0,709000000.0,634000000.0,0.0,9588000000.0,678000000,12789000000.0,,1186000000.0,,0.0,,,-64000000.0,,2803000000.0,471000000,772000000,1641000000.0,,218000000,-33000000.0,927000000.0,8954000000,,103000000,,782000000,382000000,1548000000.0,0.0,,554000000,6215000000.0,,49000000,211000000.0,3544000000.0,3019000000,3202000000,2190000000,845000000,-1996000000.0,-389000000,-167000000,,,,,,
2003-03-31,3607000000.0,308000000.0,15315000000.0,17849000000,1219000000.0,1404000000,,,1037000000.0,-159000000.0,,0.110144,6390000000.0,591771125.0,47000000,,47000000,52000000.0,315000000.0,1746000000.0,550000000,137000000,42000000,-354000000,220000000,550000000.0,65000000.0,550000000.0,547000000.0,1000000.0,9450000000.0,78000000,12771000000.0,591808525.0,1039000000.0,,0.0,0.110144,,-23000000.0,,2580000000.0,709000000,265000000,1217000000.0,,208000000,-31000000.0,988000000.0,8399000000,,-3000000,,277000000,44000000,1505000000.0,,,57000000,5842000000.0,,-10000000,-56000000.0,3501000000.0,2534000000,3060000000,1669000000,165000000,-1996000000.0,-461000000,-87000000,,,,,,
2003-06-30,3757000000.0,71000000.0,15534000000.0,18236000000,1201000000.0,1342000000,,,1047000000.0,48000000.0,,0.187245,6538000000.0,593391985.0,116000000,,108000000,-5000000.0,342000000.0,1734000000.0,598000000,-261000000,114000000,-78000000,220000000,598000000.0,63000000.0,598000000.0,939000000.0,0.0,9690000000.0,192000000,12695000000.0,593751756.0,1335000000.0,,58000000.0,0.187245,,84000000.0,,2624000000.0,550000000,427000000,1233000000.0,,208000000,-18000000.0,909000000.0,8546000000,,43000000,,439000000,151000000,1504000000.0,,,219000000,5838000000.0,,24000000,-77000000.0,3500000000.0,2702000000,3152000000,1769000000,327000000,-1996000000.0,-19000000,-135000000,,,,,,
2003-09-30,3633000000.0,68000000.0,15638000000.0,18512000000,1362000000.0,1414000000,,,1050000000.0,58000000.0,,0.517678,6507000000.0,594463924.0,307000000,,296000000,20000000.0,328000000.0,1824000000.0,656000000,-226000000,306000000,-117000000,242000000,656000000.0,64000000.0,656000000.0,1007000000.0,-4000000.0,9753000000.0,306000000,12707000000.0,594791235.0,1433000000.0,,55000000.0,0.517678,,101000000.0,0.0,2631000000.0,598000000,677000000,1317000000.0,,235000000,-17000000.0,854000000.0,8759000000,,102000000,,684000000,398000000,1498000000.0,,,442000000,6027000000.0,,86000000,-151000000.0,3494000000.0,2874000000,3246000000,2091000000,453000000,-1996000000.0,-176000000,-147000000,,,,,,
2003-12-31,3684000000.0,61000000.0,15636000000.0,18680000000,1521000000.0,1446000000,,,1013000000.0,27000000.0,,,6335000000.0,,397000000,,403000000,-6000000.0,310000000.0,1638000000.0,683000000,-111000000,396000000,-120000000,229000000,683000000.0,70000000.0,683000000.0,571000000.0,0.0,9480000000.0,501000000,12622000000.0,,1475000000.0,,36000000.0,,,259000000.0,0.0,2639000000.0,656000000,710000000,1542000000.0,,222000000,-32000000.0,971000000.0,9200000000,,19000000,,717000000,422000000,1539000000.0,0.0,,488000000,6302000000.0,,-78000000,191000000.0,3856000000.0,3044000000,3145000000,2156000000,709000000,-2317000000.0,-572000000,-208000000,,,,,,
2004-03-31,3685000000.0,15000000.0,15612000000.0,18211000000,1200000000.0,1407000000,,,1041000000.0,-134000000.0,,0.055072,6328000000.0,594707779.0,37000000,,42000000,-1000000.0,325000000.0,1602000000.0,549000000,-224000000,36000000,-119000000,220000000,549000000.0,61000000.0,549000000.0,491000000.0,0.0,9076000000.0,172000000,12790000000.0,595168122.0,1289000000.0,,4000000.0,0.055072,,276000000.0,,2649000000.0,683000000,311000000,1210000000.0,,213000000,-14000000.0,1032000000.0,9135000000,,-6000000,,318000000,36000000,1533000000.0,1000000.0,,98000000,6210000000.0,,-22000000,4000000.0,3850000000.0,2599000000,2748000000,1718000000,290000000,-2317000000.0,-200000000,-118000000,,,,,,
2004-06-30,4075000000.0,51000000.0,15987000000.0,18767000000,1227000000.0,1398000000,,,1069000000.0,60000000.0,,0.319418,6754000000.0,594886357.0,192000000,,180000000,29000000.0,336000000.0,1610000000.0,609000000,-589000000,191000000,-123000000,216000000,609000000.0,52000000.0,609000000.0,481000000.0,0.0,9549000000.0,191000000,12992000000.0,595433453.0,1404000000.0,,33000000.0,0.319418,,269000000.0,,2673000000.0,549000000,468000000,1277000000.0,,211000000,-14000000.0,986000000.0,9218000000,,54000000,,473000000,234000000,1591000000.0,,,257000000,6276000000.0,,35000000,-141000000.0,3908000000.0,2780000000,2795000000,1866000000,344000000,-2317000000.0,305000000,-153000000,,,,,,
2004-09-30,4106000000.0,54000000.0,16190000000.0,18791000000,1389000000.0,1488000000,,,1057000000.0,-235000000.0,,0.57275,6765000000.0,595017047.0,344000000,,328000000,-1000000.0,324000000.0,1602000000.0,374000000,-326000000,344000000,-122000000,252000000,374000000.0,63000000.0,374000000.0,230000000.0,1000000.0,9327000000.0,370000000,13093000000.0,595656492.0,1518000000.0,,30000000.0,0.57275,,285000000.0,,2683000000.0,609000000,735000000,1407000000.0,,243000000,-12000000.0,871000000.0,9464000000,,100000000,,744000000,428000000,1579000000.0,,,492000000,6496000000.0,,-9000000,-68000000.0,3896000000.0,2601000000,2562000000,2223000000,531000000,-2317000000.0,-440000000,-161000000,,,,,,
2004-12-31,4013000000.0,0.0,16751000000.0,19643000000,1648000000.0,1590000000,,,1015000000.0,31000000.0,,,6598000000.0,,438000000,,314000000,-3000000.0,312000000.0,1570000000.0,405000000,-324000000,437000000,-123000000,251000000,405000000.0,69000000.0,405000000.0,302000000.0,-42000000.0,9681000000.0,456000000,13840000000.0,,1287000000.0,,0.0,,,458000000.0,,2696000000.0,374000000,737000000,1738000000.0,,242000000,-20000000.0,1043000000.0,9962000000,,119000000,,746000000,433000000,1624000000.0,,,495000000,6808000000.0,,-7000000,48000000.0,4333000000.0,2892000000,3083000000,2327000000,643000000,-2709000000.0,-294000000,-187000000,,,,,,
2005-03-31,3979000000.0,0.0,16615000000.0,19179000000,1362000000.0,1511000000,,,980000000.0,-78000000.0,,0.132173,6522000000.0,594867623.0,73000000,,69000000,2000000.0,329000000.0,1563000000.0,327000000,-293000000,72000000,-123000000,226000000,327000000.0,54000000.0,327000000.0,415000000.0,4000000.0,9328000000.0,149000000,13763000000.0,595935260.0,1263000000.0,,0.0,0.132173,,387000000.0,,2709000000.0,405000000,339000000,1266000000.0,,226000000,-110000000.0,1125000000.0,9851000000,,-8000000,,339000000,61000000,1589000000.0,,,113000000,6755000000.0,,-7000000,-73000000.0,4298000000.0,2564000000,2806000000,1850000000,263000000,-2709000000.0,-45000000,-114000000,,,,,,
2005-06-30,3920000000.0,0.0,16472000000.0,19053000000,1370000000.0,1551000000,,,846000000.0,-9000000.0,,0.506664,6334000000.0,595326498.0,302000000,,302000000,1000000.0,340000000.0,1568000000.0,318000000,-180000000,301000000,-129000000,230000000,318000000.0,56000000.0,318000000.0,390000000.0,5000000.0,9148000000.0,252000000,13658000000.0,595910714.0,1228000000.0,,0.0,0.506664,,303000000.0,,2717000000.0,327000000,507000000,1375000000.0,,230000000,96000000.0,1049000000.0,9905000000,,-80000000,,507000000,222000000,1586000000.0,,,277000000,6885000000.0,,10000000,-63000000.0,4295000000.0,2581000000,2814000000,2058000000,397000000,-2709000000.0,-224000000,-145000000,,,,,,
2005-09-30,3979000000.0,0.0,16400000000.0,19255000000,1545000000.0,1630000000,,,822000000.0,133000000.0,,0.517678,6374000000.0,594133462.0,309000000,,302000000,-17000000.0,330000000.0,1573000000.0,451000000,-298000000,308000000,-129000000,239000000,451000000.0,59000000.0,451000000.0,449000000.0,-15000000.0,9267000000.0,402000000,13604000000.0,595311145.0,1241000000.0,,0.0,0.517678,,273000000.0,-84000000.0,2728000000.0,318000000,761000000,1491000000.0,,239000000,-11000000.0,953000000.0,9988000000,,144000000,,761000000,446000000,1555000000.0,,,522000000,6987000000.0,,23000000,-75000000.0,4264000000.0,2855000000,2893000000,2391000000,540000000,-2709000000.0,-107000000,-138000000,,,,,,
