date,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2013-12-31,261286000,12531303000,174621000,2230363000,275823000,2604634000,11663000.0,870155000,0.0,-1593374000.0,,9707503000,11300877000.0,7382747000,5046924000,374271000.0,5797674000,644465000.0,20581752000,25628676000,4481535000,0.0,4767666000,2418883000,123066000.0,12150413000,588281000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,261558000,12580081000,166609000,2171326000,310061000,2550468000,13347000.0,820126000,2782307000.0,,4434623000.0,10403827000,10403827000.0,7708784000,5106537000,379142000.0,6119353000,607956000.0,21620360000,26726897000,5106847000,0.0,5425905000,2444993000,0.0,13134689000,658488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,263266000,13253951000,608608000,1451652000,440603000,1796566000,23827000.0,1028183000,600433000.0,-1900618000.0,,11476033000,13376651000.0,7389383000,4375971000,344914000.0,5890298000,743444000.0,22974268000,27350239000,5068827000,0.0,5516378000,2482814000,0.0,12905761000,565951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,264291000,13674178000,598196000,1625299000,447762000,1895294000,23855000.0,1056066000,866082000.0,,5628744000.0,12209348000,12209348000.0,7417006000,4541995000,269995000.0,6002263000,774625000.0,24099786000,28641781000,5878579000,0.0,6332386000,2193523000,0.0,13749392000,584265000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,266506000,13478084000,560257000,2138388000,437165000,2376326000,25763000.0,941764000,705113000.0,-2209263000.0,5756013000.0,12556744000,14766007000.0,8148320000,4657265000,237938000.0,5732259000,734598000.0,24213259000,28870524000,5585183000,0.0,6022348000,3183174000,0.0,14170668000,558421000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,266506000,13462255000,530165000,2507256000,419789000,2717959000,26229000.0,996480000,0.0,,6309198000.0,12956837000,12956837000.0,7790018000,4747914000,210703000.0,5586372000,645957000.0,24543919000,29291833000,6422688000,0.0,6842477000,2671320000,0.0,14632495000,501509000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,271160000,13499351000,505499000,1351072000,408526000,1578629000,26602000.0,1045416000,0.0,-2455607000.0,6696799000.0,13242743000,15698350000.0,7770249000,3542051000,227557000.0,5349340000,653540000.0,24485059000,28027110000,5184152000,0.0,5592678000,2652660000,0.0,13362927000,492838000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,271160000,14080746000,510939000,1510386000,422309000,1683999000,26628000.0,1023199000,0.0,,7293676000.0,14165004000,14165004000.0,9615611000,3698918000,173613000.0,5515621000,714030000.0,26093427000,29792345000,4404924000,0.0,4862190000,3973919000,0.0,14477801000,523485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,276869000,15845033000,523472000,1605300000,454100000,1726090000,27450000.0,1197993000,,-3148383000.0,,15672778000,18821161000.0,9922155000,4162637000,120790000.0,5824172000,710349000.0,28612173000,32774810000,5071862000,,5654839000,3756975000,,15576994000,636619000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,276869000,15936288000,516532000,1681825000,493443000,1744934000,29979000.0,1047406000,3065119000.0,,,16326704000,16326704000.0,11486873000,4256813000,63109000.0,5747384000,678217000.0,29494439000,33751252000,4360412000,,4853855000,5086298000,,16340728000,619897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,281003000,16229197000,492669000,1611487000,495900000,1667712000,25629000.0,1248393000,,-3444313000.0,,16552550000,19996863000.0,9006339000,4484618000,56225000.0,5522253000,871480000.0,29529988000,34014606000,6720751000,,7238951000,2808223000,,16245290000,575250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,281003000,16573459000,482872000,1959517000,504523000,2002848000,,1169886000,,,,17390259000,17390259000.0,10269024000,4656813000,43331000.0,5518483000,852358000.0,30750788000,35407601000,6418607000,,6989195000,3918727000,,17258219000,586015000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
