date,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyGainsLossesNotAffectingRetainedEarnings
1986-07-31,,,,,75400000,,,,,,,,,,,,,,75400000,,75400000,,,,,,,,,,,,3100000,,,,0.07,,45736000.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,45736000.0,,,,,,,,,,,
1986-10-31,,,,,70400000,,,,,,,,,,,,,,70400000,,70400000,,,,,,,,,,,,2200000,,,,0.05,,45740000.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,45740000.0,,,,,,,,,,,
1987-01-31,,,,,68200000,,,,,,,,,,,,,,68200000,,68200000,,,,,,,,,,,,1900000,,,,0.04,,45740000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,45740000.0,,,,,,,,,,,
1987-04-30,,,,,-200500000,,,,,61500000.0,,,,26200000.0,,,43200000.0,13700000.0,69900000,92100000.0,-200500000,,700000.0,600000.0,42700000.0,,,,47800000.0,,,,1500000,,56900000.0,,,,,,-20400000.0,27300000.0,71700000.0,,4500000.0,13700000.0,27300000.0,,,700000.0,,,,3500000.0,,,,,,,118400000.0,,,13000000.0,,,,75200000.0,,,,,,,,,
1987-07-31,,,,,86400000,,,,,,,,,,,,,,86400000,,86400000,,,,,,,,,,,,3200000,,,,0.07,,47148000.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,47148000.0,,,,,,,,,,,
1987-10-31,,,,,85100000,,,,,,,,,,,,,,85100000,,85100000,,,,,,,,,,,,3100000,,,,0.07,,47148000.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,47148000.0,,,,,,,,,,,
1988-01-31,,,,,79400000,,,,,,,,,,,,,,79400000,,79400000,,,,,,,,,,,,2400000,,,,0.06,,47148000.0,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,47148000.0,,,,,,,,,,,
1988-04-30,,,,,-236100000,,,,,74500000.0,,,,36700000.0,,,38700000.0,23900000.0,85500000,119600000.0,-236100000,,2700000.0,400000.0,42900000.0,,,,50600000.0,,,,1900000,,62400000.0,,,,,,-26000000.0,15200000.0,93600000.0,,7300000.0,18700000.0,15200000.0,,,5500000.0,,,,4600000.0,,,,,,,136900000.0,,,18400000.0,,,,98200000.0,,,,,,,,,
1988-07-31,,,,,106700000,,,,,,,,,,,,,,106700000,,106700000,,,,,,,,,,,,3300000,,,,0.08,,47148000.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,47148000.0,,,,,,,,,,,
1988-10-31,,,,,106800000,,,,,,,,,,,,,,106800000,,106800000,,,,,,,,,,,,3200000,,,,0.07,,45796000.0,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,45796000.0,,,,,,,,,,,
1989-01-31,,,,,99900000,,,,,,,,,,,,,,99900000,,99900000,,,,,,,,,,,,1700000,,,,0.04,,47148000.0,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,47148000.0,,,,,,,,,,,
1989-04-30,,,,,-304100000,,,,,90400000.0,,,,43800000.0,,,31100000.0,29000000.0,105800000,159900000.0,-304100000,,2600000.0,400000.0,52400000.0,,,,61400000.0,,,,-1200000,,71100000.0,,,,,,-33700000.0,7000000.0,126200000.0,,8600000.0,19100000.0,7000000.0,,,8600000.0,,,,4200000.0,,,,,,,161500000.0,,,20400000.0,,,,130400000.0,,,,,,,,,
1989-07-31,2400000.0,-100000.0,-300000.0,,5700000,,0.0,-9800000.0,2400000.0,95300000.0,3900000.0,500000.0,,46100000.0,-700000.0,,29900000.0,29000000.0,133700000,170600000.0,3300000,400000.0,7900000.0,500000.0,56800000.0,,107500000.0,,66300000.0,,26200000.0,,2400000,2400000.0,73500000.0,20500000.0,0.06,100000.0,40000000.0,,-35900000.0,1000000.0,134700000.0,1300000.0,9000000.0,18800000.0,1000000.0,1400000.0,22900000.0,6000000.0,,900000.0,100000.0,4200000.0,800000.0,,9100000.0,3800000.0,-9800000.0,,168800000.0,100000.0,0.06,3800000.0,200000.0,40000000.0,,138900000.0,,,19200000.0,900000.0,,,,,
1989-10-31,3400000.0,-100000.0,-1500000.0,,7500000,,0.0,-7900000.0,2400000.0,98400000.0,1500000.0,400000.0,,49500000.0,-200000.0,,29200000.0,27400000.0,127800000,180300000.0,5000000,0.0,6700000.0,500000.0,61000000.0,,99500000.0,,71000000.0,,28300000.0,,3400000,3400000.0,76900000.0,20800000.0,0.08,-100000.0,42500000.0,,-38200000.0,1200000.0,142100000.0,1300000.0,9500000.0,18800000.0,1200000.0,2000000.0,23300000.0,4000000.0,,900000.0,-100000.0,4000000.0,400000.0,,7600000.0,5400000.0,-7800000.0,,175300000.0,200000.0,0.07,6000000.0,1500000.0,48571429.0,,146100000.0,,,17400000.0,0.0,,,,,
1990-01-31,2000000.0,0.0,-200000.0,,5800000,,0.0,-8500000.0,2800000.0,102300000.0,-2000000.0,500000.0,,51500000.0,-5100000.0,,29400000.0,27100000.0,120400000,188000000.0,3000000,-2100000.0,6200000.0,500000.0,64800000.0,,93400000.0,,75200000.0,,27000000.0,,2000000,2000000.0,78900000.0,21200000.0,0.05,-100000.0,40000000.0,,-40200000.0,300000.0,147800000.0,1100000.0,9900000.0,20900000.0,300000.0,1200000.0,24000000.0,4600000.0,,1000000.0,0.0,4000000.0,4300000.0,,3300000.0,3200000.0,-8400000.0,,181200000.0,-900000.0,0.05,5300000.0,200000.0,40000000.0,,151800000.0,,,17200000.0,0.0,,,,,
1990-04-30,600000.0,300000.0,-700000.0,,4100000,,0.0,-6100000.0,3000000.0,105900000.0,600000.0,1300000.0,,52100000.0,-200000.0,,30500000.0,29900000.0,118800000,193600000.0,1100000,800000.0,7100000.0,400000.0,64500000.0,,93800000.0,,76000000.0,,25000000.0,,600000,600000.0,79500000.0,20900000.0,,100000.0,,,-42600000.0,1300000.0,151000000.0,1100000.0,11100000.0,20000000.0,1300000.0,400000.0,23900000.0,6700000.0,,1200000.0,100000.0,3900000.0,1400000.0,,5800000.0,1000000.0,-6000000.0,,185400000.0,1000000.0,,3700000.0,500000.0,,,154900000.0,,,19500000.0,0.0,,,,,
1990-07-31,2400000.0,,-600000.0,,6700000,,0.0,-5700000.0,2900000.0,106600000.0,3600000.0,700000.0,,54500000.0,3900000.0,,30700000.0,30100000.0,141500000,199200000.0,3800000,400000.0,7200000.0,600000.0,64200000.0,,111500000.0,,76500000.0,,30000000.0,,2400000,2400000.0,81900000.0,23300000.0,0.06,100000.0,40000000.0,,-45300000.0,1900000.0,153900000.0,1300000.0,11700000.0,19600000.0,1900000.0,1400000.0,26200000.0,3600000.0,,1200000.0,0.0,3900000.0,-3400000.0,,9600000.0,3800000.0,-5700000.0,,188500000.0,500000.0,0.06,5000000.0,500000.0,40000000.0,,157800000.0,,,21500000.0,1300000.0,,,,,
1990-10-31,3100000.0,,-3800000.0,,7800000,,0.0,-9000000.0,3100000.0,110700000.0,6000000.0,600000.0,,57300000.0,6900000.0,,32000000.0,33900000.0,157200000,204500000.0,4700000,600000.0,7400000.0,600000.0,63800000.0,,126600000.0,,76800000.0,,30600000.0,,3100000,3100000.0,81900000.0,22900000.0,0.07,-400000.0,44285714.0,,-47600000.0,3100000.0,156900000.0,1300000.0,12400000.0,19100000.0,3100000.0,1800000.0,25900000.0,1600000.0,,1100000.0,0.0,3700000.0,-2400000.0,,12800000.0,4900000.0,-5900000.0,,192600000.0,1300000.0,0.07,5800000.0,1100000.0,44285714.0,,160600000.0,,,26500000.0,0.0,,,,,
1991-01-31,2500000.0,,-500000.0,,7200000,,0.0,-5400000.0,3000000.0,110900000.0,-3300000.0,700000.0,,59600000.0,-2500000.0,,32000000.0,33700000.0,144900000,209800000.0,4100000,-1800000.0,20800000.0,600000.0,63600000.0,,114500000.0,,77200000.0,,30400000.0,,2500000,2500000.0,84100000.0,23200000.0,0.06,-200000.0,41666667.0,,-50400000.0,2300000.0,159400000.0,1100000.0,13000000.0,6800000.0,2300000.0,1500000.0,26300000.0,3600000.0,,1200000.0,0.0,3600000.0,1500000.0,,3000000.0,4000000.0,-5500000.0,,195000000.0,-800000.0,0.06,6400000.0,800000.0,41666667.0,,163000000.0,,,23700000.0,0.0,,,,,
1991-04-30,1000000.0,0.0,2700000.0,,4800000,,0.0,-2300000.0,3200000.0,112900000.0,1300000.0,200000.0,,60300000.0,100000.0,,31600000.0,35800000.0,136700000,215000000.0,1600000,600000.0,6600000.0,600000.0,63800000.0,,110500000.0,,77100000.0,,26200000.0,,1000000,1000000.0,84800000.0,21400000.0,,400000.0,,,-52300000.0,2800000.0,162700000.0,1100000.0,12700000.0,20300000.0,2800000.0,600000.0,24600000.0,5000000.0,,1200000.0,-3700000.0,3400000.0,-3000000.0,,5700000.0,1600000.0,-5600000.0,,197700000.0,500000.0,,6700000.0,200000.0,,,166100000.0,,,24100000.0,0.0,,,,,
1991-07-31,3600000.0,-200000.0,-800000.0,-300000.0,8900000,,0.0,-6500000.0,3300000.0,113600000.0,3000000.0,600000.0,,63600000.0,3600000.0,,32200000.0,36200000.0,164900000,221400000.0,5600000,-200000.0,6800000.0,600000.0,63500000.0,,130900000.0,,77400000.0,,34000000.0,,3600000,3600000.0,88100000.0,25100000.0,0.08,100000.0,45000000.0,,-55100000.0,2700000.0,166300000.0,1300000.0,13300000.0,20500000.0,2700000.0,2200000.0,28400000.0,1800000.0,,1200000.0,100000.0,3200000.0,-3900000.0,,10300000.0,5800000.0,-6700000.0,,201700000.0,-100000.0,0.08,7300000.0,900000.0,45000000.0,,169500000.0,,,27100000.0,2800000.0,,,,,
1991-10-31,3900000.0,100000.0,-700000.0,-300000.0,9600000,,0.0,-10500000.0,3400000.0,112300000.0,-500000.0,500000.0,,67200000.0,-2800000.0,,28200000.0,34800000.0,156000000,231000000.0,6200000,1400000.0,6700000.0,600000.0,63100000.0,,123200000.0,,77500000.0,,32800000.0,,3900000,3900000.0,92000000.0,23200000.0,0.09,-100000.0,43333333.0,,-58000000.0,400000.0,173000000.0,1300000.0,13800000.0,19000000.0,400000.0,2400000.0,26600000.0,3000000.0,,1200000.0,200000.0,3100000.0,800000.0,,7400000.0,6300000.0,-10200000.0,,204300000.0,-2300000.0,0.09,6700000.0,500000.0,43333333.0,,176100000.0,,,25100000.0,0.0,,,,,
1992-01-31,2700000.0,0.0,-200000.0,,7900000,,0.0,-8500000.0,3400000.0,115400000.0,-4200000.0,600000.0,,69500000.0,-5800000.0,,29300000.0,38200000.0,141300000,237200000.0,4400000,-1700000.0,6200000.0,600000.0,62200000.0,,110900000.0,,77200000.0,,30400000.0,,2700000,2700000.0,94400000.0,22500000.0,0.06,-600000.0,45000000.0,,-59800000.0,400000.0,177400000.0,1200000.0,14400000.0,20700000.0,400000.0,1600000.0,26000000.0,9200000.0,,1200000.0,200000.0,3100000.0,6000000.0,,2500000.0,4300000.0,-8300000.0,,209800000.0,0.0,0.06,7500000.0,600000.0,45000000.0,,180500000.0,,,21500000.0,0.0,,,,,
1992-04-30,1300000.0,200000.0,-1900000.0,,5800000,,0.0,-10400000.0,3600000.0,123600000.0,7800000.0,500000.0,,70500000.0,3800000.0,,33000000.0,46600000.0,144500000,246400000.0,2200000,-1100000.0,7700000.0,700000.0,61400000.0,,115300000.0,,77000000.0,,29200000.0,,1300000,1300000.0,95900000.0,23400000.0,,600000.0,,,-62800000.0,1500000.0,183600000.0,1200000.0,14900000.0,21900000.0,1500000.0,800000.0,27000000.0,9000000.0,,1200000.0,-800000.0,2900000.0,-1800000.0,,13400000.0,2100000.0,-9600000.0,,219500000.0,1100000.0,,8300000.0,500000.0,,,186500000.0,,,29300000.0,0.0,,,,,
1992-07-31,4100000.0,,-1900000.0,-300000.0,10400000,,0.0,-15100000.0,3800000.0,135400000.0,6900000.0,600000.0,,74300000.0,-400000.0,,36400000.0,53100000.0,177300000,262100000.0,6600000,-900000.0,7400000.0,700000.0,66100000.0,,140600000.0,,82300000.0,,36700000.0,,4100000,4100000.0,99600000.0,26300000.0,0.1,0.0,41000000.0,,-66300000.0,4400000.0,195800000.0,1300000.0,15500000.0,22800000.0,4400000.0,2500000.0,30100000.0,7600000.0,,1200000.0,0.0,2800000.0,2700000.0,,15400000.0,6600000.0,-15800000.0,,235000000.0,2900000.0,0.09,9100000.0,2600000.0,45555556.0,,198600000.0,,,36400000.0,1500000.0,,,,,
1992-10-31,4400000.0,,-2300000.0,,11000000,,0.0,-15500000.0,3900000.0,140400000.0,0.0,500000.0,,78400000.0,-3800000.0,,36700000.0,58000000.0,175900000,274700000.0,7100000,-400000.0,8900000.0,800000.0,65600000.0,,138900000.0,,82400000.0,,37000000.0,,4400000,4400000.0,103800000.0,26000000.0,0.1,-700000.0,44000000.0,,-69900000.0,2300000.0,204800000.0,1300000.0,16000000.0,23200000.0,2300000.0,2700000.0,29900000.0,12100000.0,,1300000.0,300000.0,2700000.0,4300000.0,,9000000.0,7100000.0,-12800000.0,,244200000.0,-2100000.0,0.1,9700000.0,300000.0,44000000.0,,207500000.0,,,36200000.0,0.0,,,,,
1993-01-31,3100000.0,,-300000.0,,9200000,,0.0,-10800000.0,4000000.0,143000000.0,-5400000.0,600000.0,,81200000.0,-9400000.0,,34600000.0,57000000.0,158300000,285100000.0,5200000,-700000.0,8000000.0,800000.0,68600000.0,,124100000.0,,86000000.0,,34200000.0,,3100000,3100000.0,106600000.0,25000000.0,0.07,-300000.0,44285714.0,,-72700000.0,1200000.0,212400000.0,1100000.0,16600000.0,23900000.0,1200000.0,1900000.0,29000000.0,16700000.0,,1200000.0,-100000.0,2600000.0,7500000.0,,2200000.0,5000000.0,-11600000.0,,249600000.0,-1100000.0,0.07,8400000.0,1400000.0,44285714.0,,215000000.0,,,31900000.0,0.0,,,,,
1993-04-30,1600000.0,,-54200000.0,,7300000,,0.0,-30800000.0,4200000.0,172800000.0,-3000000.0,1000000.0,,82500000.0,-5500000.0,,46500000.0,55500000.0,162200000,293600000.0,3100000,-1800000.0,16600000.0,700000.0,99000000.0,,129800000.0,,117300000.0,,32400000.0,,1600000,1600000.0,108000000.0,25100000.0,,1100000.0,,,-76200000.0,2100000.0,217400000.0,1200000.0,17600000.0,25700000.0,2100000.0,1000000.0,29300000.0,15600000.0,,1500000.0,0.0,16900000.0,28000000.0,,3700000.0,2600000.0,-9200000.0,,280800000.0,900000.0,,8500000.0,31500000.0,,,234300000.0,,,31400000.0,0.0,,,,,
1993-07-31,4800000.0,-100000.0,-5200000.0,-300000.0,12400000,,0.0,-16700000.0,4300000.0,184500000.0,3100000.0,700000.0,,87000000.0,-4200000.0,,47400000.0,67500000.0,193700000,309200000.0,8100000,-1900000.0,14300000.0,900000.0,97900000.0,,153500000.0,,117000000.0,,40200000.0,,4800000,4800000.0,112400000.0,27800000.0,0.11,100000.0,43636364.0,,-79000000.0,2900000.0,230200000.0,1400000.0,18200000.0,27600000.0,2900000.0,3000000.0,32100000.0,21800000.0,,1600000.0,-100000.0,19300000.0,4700000.0,,12800000.0,7800000.0,-17000000.0,,296900000.0,800000.0,0.1,9900000.0,5400000.0,48000000.0,,249500000.0,,,35800000.0,2100000.0,,,,,
1993-10-31,5400000.0,300000.0,-2000000.0,,13400000,,0.0,-17200000.0,4500000.0,186600000.0,7800000.0,600000.0,,91900000.0,-500000.0,,40000000.0,69400000.0,187000000,328100000.0,8900000,5400000.0,11500000.0,1000000.0,97300000.0,,145900000.0,,117200000.0,,41100000.0,,5400000,5400000.0,117600000.0,27700000.0,0.12,-500000.0,45000000.0,,-83100000.0,3700000.0,245000000.0,1300000.0,18900000.0,22200000.0,3700000.0,3400000.0,32200000.0,21300000.0,,1500000.0,400000.0,19200000.0,-700000.0,,18800000.0,8800000.0,-19300000.0,,304200000.0,800000.0,0.11,9600000.0,4600000.0,49090909.0,,264200000.0,,,38500000.0,0.0,,,,,
1994-01-31,4000000.0,700000.0,0.0,,11800000,,0.0,-9800000.0,4800000.0,188900000.0,-3200000.0,700000.0,,95600000.0,-8100000.0,,41400000.0,69000000.0,172600000,345100000.0,7000000,600000.0,13400000.0,1000000.0,99400000.0,,132600000.0,,119900000.0,,40000000.0,,4000000,4000000.0,121400000.0,28200000.0,0.09,-300000.0,44444444.0,,-87500000.0,4100000.0,257600000.0,1200000.0,19500000.0,21600000.0,4100000.0,2600000.0,33000000.0,25300000.0,,1600000.0,0.0,11300000.0,3200000.0,,6800000.0,6600000.0,-14900000.0,,310300000.0,400000.0,0.09,9400000.0,5400000.0,44444444.0,,268900000.0,,,34300000.0,0.0,,,,,
1994-04-30,2400000.0,900000.0,0.0,,9400000,,0.0,-8800000.0,5000000.0,159800000.0,5900000.0,100000.0,,97500000.0,2600000.0,,41400000.0,75500000.0,177900000,356300000.0,4400000,-2100000.0,11600000.0,900000.0,61400000.0,,142100000.0,,84300000.0,,35800000.0,,2400000,2400000.0,158400000.0,26400000.0,,800000.0,,,-91900000.0,3200000.0,264400000.0,1200000.0,22000000.0,23800000.0,3200000.0,1500000.0,31400000.0,23400000.0,,1700000.0,-1200000.0,12400000.0,-6400000.0,,14300000.0,3900000.0,-11700000.0,,318200000.0,-1000000.0,,14700000.0,2100000.0,,,276800000.0,,,37400000.0,0.0,,,,,
1994-07-31,6400000.0,400000.0,-1000000.0,-500000.0,15900000,,0.0,-8100000.0,5300000.0,164600000.0,7500000.0,500000.0,,103400000.0,3200000.0,,41600000.0,81400000.0,221300000,372600000.0,10600000,-900000.0,4200000.0,1000000.0,59700000.0,,175400000.0,,83200000.0,,45900000.0,,6400000,6400000.0,164300000.0,30000000.0,0.13,100000.0,49230769.0,,-96700000.0,10000000.0,275900000.0,1400000.0,22500000.0,24700000.0,10000000.0,4100000.0,35300000.0,20500000.0,,1500000.0,0.0,11400000.0,-5100000.0,,20100000.0,10500000.0,-16900000.0,,328900000.0,6900000.0,0.13,16500000.0,9700000.0,49230769.0,,287300000.0,,,44400000.0,3200000.0,,,,,
1994-10-31,7500000.0,200000.0,-1000000.0,-500000.0,17900000,,0.0,-15000000.0,5500000.0,166700000.0,-4300000.0,500000.0,,110500000.0,-7700000.0,,41900000.0,85000000.0,223800000,389200000.0,12400000,-1100000.0,4500000.0,1000000.0,57700000.0,,174500000.0,,81700000.0,,49300000.0,,7500000,7500000.0,171400000.0,31400000.0,0.15,0.0,50000000.0,,-101600000.0,8400000.0,287600000.0,1400000.0,23000000.0,25700000.0,8400000.0,4800000.0,36900000.0,26900000.0,,1400000.0,-100000.0,8600000.0,3800000.0,,9500000.0,12300000.0,-17200000.0,,338100000.0,-1700000.0,0.15,18000000.0,3200000.0,50000000.0,,296200000.0,,,40100000.0,0.0,,,,,
1995-01-31,5700000.0,0.0,0.0,-600000.0,15100000,,0.0,-7100000.0,5700000.0,161200000.0,-7800000.0,500000.0,,115700000.0,-2800000.0,,40400000.0,74400000.0,199400000,495200000.0,9400000,-1800000.0,4400000.0,1100000.0,62200000.0,,153500000.0,,86800000.0,,45900000.0,,5700000,5700000.0,176700000.0,30800000.0,0.11,12700000.0,51818182.0,,-206400000.0,5300000.0,288800000.0,1300000.0,23500000.0,27600000.0,5300000.0,3600000.0,36500000.0,22600000.0,,1300000.0,200000.0,8700000.0,-100000.0,0.0,4100000.0,9300000.0,-6900000.0,,337900000.0,-3000000.0,0.11,19100000.0,,51818182.0,,297500000.0,,,32700000.0,0.0,,,,,
1995-04-30,3200000.0,400000.0,,-500000.0,11200000,,0.0,-10400000.0,5700000.0,165500000.0,6000000.0,500000.0,,118300000.0,4200000.0,,43200000.0,77000000.0,204400000,406200000.0,5500000,200000.0,7300000.0,1200000.0,60000000.0,,162500000.0,,88500000.0,,41900000.0,,3200000,3200000.0,179700000.0,30700000.0,,-14800000.0,,,-111700000.0,5500000.0,294500000.0,1300000.0,27300000.0,27300000.0,5500000.0,2000000.0,36400000.0,19800000.0,,1500000.0,0.0,7500000.0,-5200000.0,400000.0,15800000.0,5200000.0,-11600000.0,,345200000.0,100000.0,,17300000.0,,,,302000000.0,,,39900000.0,0.0,,,,,
