date,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
1990-06-30,619600000.0,,33200000.0,,,6100000.0,251600000.0,694100000.0,13400000.0,8700000,,8700000.0,107300000.0,96666667.0,358900000.0,0.0,5600000.0,-9000000.0,20200000.0,,6100000.0,0.09,147100000.0,426500000.0,,,8700000.0,,100000.0,4600000.0,27500000.0,13100000.0,-3300000.0,6000000.0,,267600000.0,96666667.0,,4000000.0,0.0,1600000.0,,44500000.0,44500000.0,7800000.0,,13100000.0,,60700000,-13300000.0,27800000,-16800000.0,-221700000.0,13900000.0,694200000.0,,,67600000.0,74500000.0,0.09,19400000.0,,-6500000.0,14400000,34300000.0,0.0,2300000.0,1200000.0,,92300000.0,5200000.0,472500000.0,,,,,
1990-09-30,629100000.0,,34200000.0,,,300000.0,246100000.0,699300000.0,12100000.0,7500000,,7500000.0,107700000.0,107142857.0,353800000.0,0.0,2000000.0,-20200000.0,18600000.0,,5900000.0,0.07,147200000.0,426200000.0,,,7500000.0,,0.0,4100000.0,28600000.0,12800000.0,-3200000.0,-4800000.0,,273100000.0,107142857.0,,0.0,0.0,1400000.0,,36700000.0,36700000.0,9800000.0,,13700000.0,,62800000,-21100000.0,28600000,-9200000.0,-221700000.0,11900000.0,703600000.0,,,72400000.0,70200000.0,0.07,21400000.0,,-7800000.0,15800000,40100000.0,-1100000.0,800000.0,2900000.0,,96500000.0,4400000.0,481900000.0,,,,,
1990-12-31,640500000.0,,34800000.0,,,-1200000.0,230700000.0,706400000.0,13800000.0,8200000,,8200000.0,27700000.0,,342200000.0,0.0,1600000.0,-26500000.0,37500000.0,,5700000.0,,149500000.0,425400000.0,83800000.0,,8100000.0,,200000.0,4000000.0,30000000.0,13800000.0,-3300000.0,-4900000.0,,281000000.0,,,,0.0,500000.0,,32600000.0,32600000.0,1300000.0,,13800000.0,,64800000,-21600000.0,30000000,2100000.0,-243900000.0,12100000.0,734900000.0,,,83200000.0,65900000.0,,20400000.0,,-4100000.0,16200000,31900000.0,3200000.0,1700000.0,-6000000.0,,101500000.0,3900000.0,491000000.0,,,,,
1991-03-31,651800000.0,,36400000.0,,,5400000.0,228600000.0,706800000.0,13200000.0,6900000,,6900000.0,111900000.0,98571429.0,340500000.0,0.0,1200000.0,-24600000.0,34500000.0,,5700000.0,0.07,46200000.0,420500000.0,,,6900000.0,,0.0,4500000.0,28400000.0,13200000.0,-3300000.0,-7200000.0,,286300000.0,98571429.0,109200000.0,,32600000.0,500000.0,,23900000.0,23900000.0,900000.0,,10200000.0,,64800000,-17400000.0,28400000,-6900000.0,-246000000.0,10700000.0,742400000.0,,,80000000.0,55000000.0,0.07,22800000.0,-4900000.0,-8700000.0,15200000,35300000.0,-100000.0,1300000.0,2000000.0,800000.0,105000000.0,3800000.0,496400000.0,,,,,
1991-06-30,663200000.0,,37400000.0,,,-5900000.0,238100000.0,726500000.0,14100000.0,8400000,,8400000.0,112600000.0,105000000.0,350700000.0,0.0,1300000.0,-24100000.0,38500000.0,,5800000.0,0.08,50100000.0,432600000.0,,,8400000.0,,27300000.0,4700000.0,31700000.0,14200000.0,-3400000.0,-3900000.0,,293900000.0,105000000.0,110800000.0,,0.0,500000.0,,26200000.0,26200000.0,1100000.0,,12900000.0,,69100000,-20200000.0,31700000,12200000.0,-254400000.0,13000000.0,756700000.0,,,81900000.0,63300000.0,0.08,14300000.0,-12700000.0,2300000.0,17500000,30500000.0,200000.0,1000000.0,-8400000.0,100000.0,110000000.0,4600000.0,502300000.0,,,,,
1991-09-30,683000000.0,,38200000.0,,,6400000.0,261300000.0,766800000.0,14300000.0,10000000,,10000000.0,112100000.0,111111111.0,373400000.0,0.0,900000.0,-39300000.0,34600000.0,,5600000.0,0.09,51100000.0,459100000.0,,,10000000.0,,600000.0,4200000.0,34200000.0,14300000.0,-3300000.0,-14800000.0,,307700000.0,111111111.0,116400000.0,,0.0,500000.0,,34800000.0,34800000.0,2000000.0,,17000000.0,,72400000,-24500000.0,34200000,16800000.0,-253400000.0,15200000.0,768900000.0,,,85700000.0,83800000.0,0.09,30900000.0,-18800000.0,8600000.0,19900000,34100000.0,,2300000.0,6800000.0,-100000.0,116700000.0,5200000.0,515500000.0,,,,,
1991-12-31,703200000.0,,36500000.0,,,-7700000.0,254800000.0,764500000.0,15700000.0,12200000,,12200000.0,26700000.0,,368500000.0,0.0,1500000.0,-36200000.0,28100000.0,,5400000.0,,53900000.0,444500000.0,87000000.0,,12100000.0,,1400000.0,3800000.0,38300000.0,15700000.0,-3400000.0,-2600000.0,,320000000.0,,114300000.0,,0.0,500000.0,,11600000.0,11600000.0,1500000.0,,18400000.0,,74800000,-33600000.0,38300000,-12700000.0,-16100000.0,18700000.0,551100000.0,,,76000000.0,61300000.0,,25900000.0,,-23200000.0,22600000,29500000.0,,1800000.0,-1600000.0,-1100000.0,125500000.0,6500000.0,535000000.0,,,,,
1992-03-31,745900000.0,,37500000.0,,,18100000.0,338500000.0,866700000.0,15100000.0,11500000,,11500000.0,113300000.0,104545455.0,451800000.0,0.0,1500000.0,-35300000.0,15200000.0,,5800000.0,0.11,63100000.0,525500000.0,,,11500000.0,,100000.0,4200000.0,37800000.0,15100000.0,-3500000.0,-14800000.0,,341200000.0,104545455.0,134100000.0,,11600000.0,500000.0,,78200000.0,78200000.0,1000000.0,,20500000.0,,75300000,-20500000.0,37800000,63300000.0,-271100000.0,18400000.0,819800000.0,,,73700000.0,120800000.0,0.11,38600000.0,-62200000.0,66600000.0,22700000,38000000.0,,4300000.0,13200000.0,-1200000.0,133400000.0,6900000.0,548700000.0,,,,,
1992-06-30,919800000.0,,43500000.0,,,-2300000.0,400100000.0,1000900000.0,18100000.0,12900000,,12900000.0,129500000.0,107500000.0,529600000.0,0.0,1600000.0,-154600000.0,46700000.0,,7300000.0,0.12,70600000.0,647600000.0,,,12900000.0,,-100000.0,4900000.0,44700000.0,18100000.0,-3500000.0,-118000000.0,,353300000.0,107500000.0,221500000.0,,0.0,500000.0,,34300000.0,34300000.0,2700000.0,,28300000.0,,88200000,-36600000.0,44700000,76400000.0,-302300000.0,20900000.0,930000000.0,,,118000000.0,81100000.0,0.12,34300000.0,-8600000.0,-43900000.0,26600000,43000000.0,,1600000.0,4500000.0,-1200000.0,142800000.0,8000000.0,627700000.0,,,,,
1992-09-30,939400000.0,,45400000.0,,,3700000.0,404700000.0,1023100000.0,18100000.0,15400000,,15400000.0,128400000.0,110000000.0,533100000.0,0.0,2400000.0,-35400000.0,41500000.0,,7200000.0,0.14,71300000.0,655900000.0,,,15400000.0,,0.0,4500000.0,47300000.0,18100000.0,-3600000.0,6300000.0,,367200000.0,110000000.0,219600000.0,,0.0,500000.0,,34500000.0,34500000.0,3400000.0,,33100000.0,,92700000,-35500000.0,47300000,-3600000.0,-324100000.0,24500000.0,972600000.0,,,122800000.0,83700000.0,0.14,39200000.0,,200000.0,29200000,48200000.0,,1600000.0,7600000.0,-1900000.0,154700000.0,9100000.0,648500000.0,,,,,
1992-12-31,980400000.0,,50100000.0,,,-13300000.0,391900000.0,1040500000.0,19500000.0,20200000,,4500000.0,103300000.0,,534300000.0,0.0,4600000.0,-45900000.0,42100000.0,,6900000.0,,86800000.0,655000000.0,39100000.0,,5000000.0,,-1000000.0,4500000.0,50600000.0,19500000.0,-3500000.0,-19600000.0,,385500000.0,,217700000.0,,0.0,500000.0,,9800000.0,9800000.0,3300000.0,,34600000.0,,100700000,-47500000.0,50600000,-13100000.0,-328500000.0,28900000.0,1004400000.0,,,120700000.0,60100000.0,,34200000.0,,-24800000.0,31100000,44000000.0,,1300000.0,-2200000.0,2900000.0,155700000.0,8700000.0,675900000.0,,,,,
1993-03-31,1000700000.0,,49000000.0,,,12500000.0,392700000.0,1069200000.0,19700000.0,15700000,,15700000.0,143300000.0,108571429.0,536000000.0,0.0,3100000.0,-36900000.0,54400000.0,-6800000.0,6900000.0,0.14,97100000.0,669700000.0,,,15200000.0,,400000.0,4800000.0,47800000.0,19700000.0,-3800000.0,-300000.0,,399500000.0,108571429.0,216100000.0,,9800000.0,500000.0,,26100000.0,26100000.0,2700000.0,,27900000.0,,96800000,-29800000.0,47800000,11000000.0,-332700000.0,24300000.0,1020200000.0,,,133700000.0,68500000.0,0.14,42300000.0,,16300000.0,28100000,51400000.0,100000.0,1000000.0,10300000.0,-1200000.0,167600000.0,8600000.0,687500000.0,,,,,
1993-06-30,1156400000.0,,54700000.0,,,-19100000.0,438600000.0,1226300000.0,21300000.0,16500000,,16500000.0,146700000.0,117857143.0,585300000.0,0.0,2200000.0,-103500000.0,74500000.0,-300000.0,7500000.0,0.14,109300000.0,744200000.0,,,16500000.0,,700000.0,5600000.0,52600000.0,21300000.0,-4000000.0,-51300000.0,,482100000.0,117857143.0,295100000.0,,0.0,500000.0,,17200000.0,17200000.0,2600000.0,,36800000.0,,107300000,-51900000.0,52600000,61600000.0,-332700000.0,26100000.0,1084700000.0,,,158900000.0,69900000.0,0.14,32800000.0,,-8900000.0,31300000,47600000.0,,900000.0,-1600000.0,-1700000.0,180200000.0,9600000.0,752000000.0,,,,,
1993-09-30,1203700000.0,,56600000.0,,,-10300000.0,462500000.0,1300200000.0,22700000.0,17600000,,17600000.0,148600000.0,117333333.0,611100000.0,0.0,3700000.0,-66300000.0,80500000.0,,7800000.0,0.15,113600000.0,802100000.0,,,17600000.0,,400000.0,5800000.0,56200000.0,22700000.0,-4000000.0,-9600000.0,,498100000.0,117333333.0,296000000.0,,0.0,500000.0,,32000000.0,32000000.0,3800000.0,,53700000.0,,112800000,-63800000.0,56200000,27700000.0,-339600000.0,29400000.0,1133700000.0,,,191000000.0,96500000.0,0.15,53500000.0,,14800000.0,33500000,56800000.0,,800000.0,10900000.0,-1600000.0,193800000.0,11800000.0,794100000.0,,,,,
1993-12-31,1246900000.0,,62100000.0,,,-20500000.0,460900000.0,1319400000.0,22500000.0,19100000,,19100000.0,105400000.0,,626400000.0,0.0,2700000.0,-59800000.0,83400000.0,,7900000.0,,121900000.0,805600000.0,60100000.0,,19600000.0,,1100000.0,4400000.0,54200000.0,22500000.0,-3900000.0,-1100000.0,,513800000.0,,297200000.0,,0.0,500000.0,,9800000.0,9800000.0,2100000.0,,49500000.0,,116300000,-58700000.0,54200000,-600000.0,-342700000.0,26400000.0,1170500000.0,,,179200000.0,72500000.0,,38200000.0,,-22200000.0,31700000,46300000.0,2800000.0,800000.0,-14900000.0,11400000.0,208900000.0,7300000.0,827800000.0,,,,,
1994-03-31,1443600000.0,,60700000.0,,,-16800000.0,640000000.0,1518600000.0,24400000.0,19200000,,19200000.0,173300000.0,128000000.0,813300000.0,0.0,2800000.0,-109100000.0,34500000.0,,8500000.0,0.16,132200000.0,939200000.0,,,19200000.0,,-100000.0,4800000.0,60300000.0,24400000.0,-4300000.0,-59500000.0,,579400000.0,120000000.0,440200000.0,,9800000.0,2300000.0,,8400000.0,8400000.0,2500000.0,,37400000.0,,121000000,-49600000.0,60300000,74900000.0,-342700000.0,30100000.0,1213900000.0,,,125900000.0,75000000.0,0.15,32800000.0,,-1400000.0,35900000,54000000.0,100000.0,900000.0,-9500000.0,1500000.0,223900000.0,10900000.0,871200000.0,,,,,
1994-06-30,1490400000.0,,66400000.0,,,16900000.0,603000000.0,1579700000.0,25100000.0,21500000,,21500000.0,172600000.0,126470588.0,775600000.0,0.0,3400000.0,-66800000.0,106800000.0,,10800000.0,0.18,162100000.0,986600000.0,,,21500000.0,,400000.0,4700000.0,66500000.0,24800000.0,-4300000.0,-26000000.0,,593100000.0,119444444.0,437700000.0,,0.0,2300000.0,,24700000.0,24700000.0,1300000.0,,44500000.0,,132900000,-40800000.0,66800000,25400000.0,-342700000.0,34300000.0,1233300000.0,,,211000000.0,89300000.0,0.17,57700000.0,,16300000.0,41700000,59700000.0,4800000.0,800000.0,14600000.0,-4600000.0,241100000.0,12800000.0,890600000.0,,,,,
1994-09-30,1524600000.0,,70000000.0,,,6100000.0,638000000.0,1611100000.0,27600000.0,24600000,,24600000.0,174600000.0,129473684.0,812600000.0,0.0,5500000.0,-57100000.0,59900000.0,,11500000.0,0.21,166600000.0,995900000.0,,,24600000.0,,900000.0,5600000.0,71500000.0,25700000.0,-4300000.0,-100000.0,,615200000.0,117142857.0,434600000.0,,0.0,2300000.0,,17000000.0,17000000.0,1600000.0,,50200000.0,,141500000,-57000000.0,73400000,-13600000.0,-342700000.0,39800000.0,1266100000.0,,,183300000.0,86500000.0,0.19,63100000.0,,-7700000.0,45800000,73200000.0,3800000.0,900000.0,14400000.0,-2500000.0,261400000.0,15200000.0,923400000.0,,,,,
1994-12-31,1562100000.0,,72300000.0,,,-7200000.0,518600000.0,1643300000.0,26500000.0,34900000,,34900000.0,187800000.0,,706400000.0,0.0,23100000.0,-47300000.0,170700000.0,,11800000.0,,173600000.0,993100000.0,,,34900000.0,,1100000.0,7100000.0,72500000.0,26500000.0,-4300000.0,6100000.0,,650200000.0,,441400000.0,,0.0,2300000.0,,7200000.0,7200000.0,2900000.0,,52300000.0,,144800000,-53400000.0,72500000,-8900000.0,-367100000.0,57300000.0,1314200000.0,,,286700000.0,81200000.0,,46200000.0,,-9800000.0,46000000,63700000.0,-300000.0,2200000.0,-7700000.0,13000000.0,292000000.0,22400000.0,947100000.0,,,,,
1995-03-31,1613700000.0,,66900000.0,,,14200000.0,427000000.0,1692200000.0,28000000.0,27000000,,27000000.0,192000000.0,128571429.0,619000000.0,0.0,11500000.0,-48200000.0,154100000.0,,11400000.0,0.21,181500000.0,903200000.0,,,27000000.0,,100000.0,6400000.0,75500000.0,28000000.0,-4800000.0,5300000.0,,789000000.0,128571429.0,447300000.0,,7200000.0,2300000.0,,10600000.0,10600000.0,2900000.0,,59400000.0,,142400000,-53500000.0,75500000,-16100000.0,-394400000.0,45700000.0,1379300000.0,,,284200000.0,78500000.0,0.21,67700000.0,,3400000.0,47500000,70700000.0,-5400000.0,2400000.0,28000000.0,700000.0,314200000.0,18700000.0,984900000.0,,,,,
1995-06-30,1637300000.0,,72000000.0,,,-11500000.0,394000000.0,1718700000.0,28900000.0,26200000,,26200000.0,196000000.0,131000000.0,590000000.0,0.0,5500000.0,-50500000.0,202800000.0,,10500000.0,0.2,188800000.0,906200000.0,,,26200000.0,,0.0,6000000.0,77700000.0,28900000.0,-4800000.0,-5600000.0,,812500000.0,131000000.0,444300000.0,,0.0,2300000.0,,6200000.0,6200000.0,3400000.0,,58300000.0,,149700000,-44900000.0,77700000,12800000.0,-412000000.0,42000000.0,1416200000.0,,,316200000.0,81400000.0,0.2,33400000.0,,-4400000.0,48800000,55100000.0,300000.0,1100000.0,-20000000.0,1400000.0,335600000.0,15800000.0,1004200000.0,,,,,
1995-09-30,1720600000.0,,72500000.0,,,23100000.0,570000000.0,1814600000.0,31600000.0,31900000,,31900000.0,203100000.0,132916667.0,773100000.0,0.0,9100000.0,-61300000.0,58300000.0,,10900000.0,0.24,197000000.0,956100000.0,,,31900000.0,,100000.0,6000000.0,86600000.0,31600000.0,-4900000.0,-16100000.0,,858500000.0,132916667.0,498500000.0,,0.0,,,10000000.0,10000000.0,4900000.0,,56600000.0,,159100000,-45200000.0,86600000,-3200000.0,-432100000.0,50800000.0,1457200000.0,,,183000000.0,94000000.0,0.24,68300000.0,,3900000.0,55000000,68100000.0,6000000.0,1400000.0,3100000.0,2400000.0,362600000.0,18900000.0,1025100000.0,,,,,
1995-12-31,1767100000.0,,116900000.0,,,-6700000.0,622900000.0,1862400000.0,25300000.0,29800000,,29800000.0,211100000.0,,834000000.0,0.0,5700000.0,-67800000.0,29500000.0,,10800000.0,,225600000.0,973900000.0,,,29800000.0,,-1400000.0,6600000.0,76600000.0,25300000.0,-4900000.0,-14800000.0,,888500000.0,,493700000.0,,0.0,2300000.0,,8500000.0,8500000.0,5000000.0,,55300000.0,,193500000,-53000000.0,76600000,20000000.0,-39200000.0,44700000.0,1087000000.0,,,139900000.0,95300000.0,,46300000.0,,-1500000.0,51300000,55100000.0,0.0,1600000.0,-15700000.0,5100000.0,387400000.0,14900000.0,1047800000.0,,,,,
1996-03-31,1768500000.0,,89600000.0,,,28600000.0,613700000.0,1884800000.0,30700000.0,29700000,,29700000.0,216400000.0,135000000.0,830100000.0,0.0,5800000.0,-44300000.0,19500000.0,,11600000.0,0.22,217500000.0,964700000.0,,,29700000.0,,-100000.0,6200000.0,86200000.0,30700000.0,-5300000.0,-3100000.0,,920100000.0,135000000.0,490800000.0,,8500000.0,2100000.0,,12100000.0,12100000.0,5200000.0,,46000000.0,,175800000,-41200000.0,86200000,-22000000.0,-472800000.0,47200000.0,1533000000.0,,,134600000.0,116300000.0,0.22,69800000.0,,3500000.0,55500000,69100000.0,2600000.0,5800000.0,7200000.0,1600000.0,411700000.0,17500000.0,1060200000.0,,,,,
