date,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
1996-09-30,413800000,,-1900000.0,-12400000,0.31,,,,-103800000,,,,,,,-94200000,82100000,18709677.0,,2800000,23100000,35500000,,-1200000,500000,12500000,684500000.0,,,-21700000.0,,,,,684500000.0,40600000,,,,134200000.0,-81700000,,,,,698200000,,257700000.0,0.31,,1000000,5800000,5100000,,,88400000,3700000.0,-94200000,,,,5800000,3300000.0,5800000,,,277300000,18709677.0,-6300000.0,,,,,,,,
1996-12-31,412277000,,-600000.0,93137000,,,920000.0,920000.0,-1201000,,,,5450000.0,,217000.0,-91023000,7419000,,,-5004000,24693000,-68444000,-52554000.0,3801000,-57000,11223000,750347000.0,,,-23663000.0,,,,,697793000.0,-63055000,,,,251000.0,-79800000,,,,,711909000,,273688000.0,,,1195000,7356000,5389000,,,-100000,3400000.0,-18599000,,,,2762000,-800000.0,7026000,,,292630000,,-8752000.0,,,,,,,,
1997-03-31,460700000,,-3800000.0,-13600000,0.33,,,,-45500000,,,,,900000.0,,-38900000,31300000,20303030.0,,-11400000,26300000,39900000,,5700000,200000,7800000,731100000.0,,,-25400000.0,,,,,731100000.0,45600000,,,,49400000.0,-31100000,,,,,749200000,,264700000.0,0.33,,1400000,7800000,5700000,,,-200000,3300000.0,-38900000,,,,6700000,-1900000.0,7800000,,,282400000,20303030.0,-8900000.0,,,,,,,,
1997-06-30,576100000,,800000.0,-15900000,0.33,,,,-114600000,,,,,,,-124900000,105200000,21818182.0,,11200000,29800000,45700000,,-5600000,700000,20500000,862600000.0,,,-27400000.0,,,,,862600000.0,52100000,,,,114500000.0,-104400000,,,,,880700000,,278000000.0,0.33,,1500000,8500000,6400000,,,-100000,3800000.0,-124900000,,,,7200000,4800000.0,8500000,,,301400000,21818182.0,-9600000.0,,,,,,,,
1997-09-30,672400000,,-15700000.0,-17100000,0.36,,,,-126000000,,,,,,,-137700000,132800000,22777778.0,,-22200000,32700000,49800000,,11400000,2000000,6800000,1012400000.0,,,-29600000.0,,,,,1012400000.0,56800000,,,,98500000.0,-130900000,,,,,1047700000,,336600000.0,0.36,,1700000,10600000,7000000,,,-100000,3200000.0,-137700000,,,,8200000,4600000.0,10600000,,,366000000,22777778.0,-11400000.0,,,,,,,,
1997-12-31,792695000,,11400000.0,133223000,,,3188000.0,3188000.0,-94901000,,,,7727000.0,,344000.0,-848771000,245288000,,,15777000,37234000,-95989000,-79031000.0,-5977000,-632000,29750000,1373515000.0,,,-31169000.0,,,,,1294484000.0,-88080000,,,,117515000.0,-819021000,,,,,1317650000,,487484000.0,,,1708000,12041000,7909000,,,3869000,3700000.0,-275670000,,,,9361000,-1800000.0,12041000,,,515822000,,-12895000.0,,,,,,,,
1998-03-31,793900000,,-7000000.0,-24000000,0.34,,,,-149400000,,,,,3200000.0,,-122600000,95500000,26470588.0,,7600000,45400000,69400000,,-3700000,-300000,26800000,1417700000.0,,,-33200000.0,,,,,1417700000.0,79300000,,,,400000.0,-95800000,,,,,1447500000,,605200000.0,0.34,,2000000,13000000,9900000,,,2700000,6200000.0,-122600000,,,,9000000,10800000.0,13000000,,,644500000,26470588.0,-14900000.0,,,,,,,,
1998-06-30,2253000000,,14100000.0,-39600000,0.34,,,,-91900000,,,,,,,-165500000,116500000,26470588.0,,28000000,71100000,110700000,,-14500000,12200000,46300000,3656000000.0,,,-59300000.0,,,,,3656000000.0,125300000,,,,54800000.0,-119200000,,,,12600000.0,3765200000,,957100000.0,0.35,,1800000,18200000,14600000,374000000.0,,-4700000,11200000.0,-150600000,,,,13700000,-100000.0,18200000,,,1479900000,26470588.0,-16100000.0,,,,,,,,
1998-09-30,2249000000,28400000.0,-7600000.0,-67000000,0.37,,,,-312000000,,,,,,,-244300000,162100000,64054054.0,,-16600000,119900000,186900000,,8700000,-5600000,47800000,3820300000.0,,,-68000000.0,,,,,3820300000.0,211100000,,,,4100000.0,-196500000,,,,11900000.0,3958600000,,1533900000.0,0.37,,2600000,31500000,24200000,,,-4600000,18400000.0,-215500000,,,,23700000,-700000.0,31500000,,,1677300000,64054054.0,-40200000.0,,,,,,,,
1998-12-31,2339453000,-61779000.0,-1900000.0,343891000,,,16386000.0,16386000.0,544825000,,,,48948000.0,9500000.0,822000.0,-185938000,59602000,,,21762000,116084000,-227807000,-143135000.0,-14691000,-598000,70329000,4033994000.0,,,-80339000.0,,,,,3890859000.0,-196283000,,,,101471000.0,-115609000,,,,19400000.0,4030204000,,1484371000.0,,,2174000,31734000,31524000,329000000.0,,-155700000,18303000.0,-130529000,,,8890000.0,22160000,13000000.0,31734000,17211000.0,,1658538000,,-43194000.0,,,,,,,,
1999-03-31,2324500000,4900000.0,-2500000.0,-70500000,0.15,,,,-800000,,,,,8900000.0,,-127600000,81300000,66000000.0,,17400000,126100000,196600000,,-14100000,9700000,51100000,3981800000.0,,,-103200000.0,,,,,3981800000.0,224600000,,,,7400000.0,-76500000,,,,12500000.0,4134000000,,1279500000.0,0.15,,2400000,19800000,28000000,323000000.0,,-1000000,16300000.0,-122700000,,-11400000.0,,9900000,11200000.0,19800000,,,1777900000,66000000.0,-43300000.0,,,,,,,,
1999-06-30,2335100000,105600000.0,5300000.0,-69800000,0.37,,,,-233700000,,,,,,,-137500000,-33900000,65675676.0,,-200000,125600000,195400000,,500000,-4000000,61900000,3989600000.0,,,-112300000.0,,,,,3989600000.0,222800000,,,,18000000.0,-75600000,,,,24200000.0,4134800000,,1278700000.0,0.37,,2400000,34200000,27400000,316500000.0,,-1800000,18600000.0,-31900000,,100000.0,,24300000,-5400000.0,34200000,,,1768200000,65675676.0,-42700000.0,,,,,,,,
1999-09-30,2346000000,33800000.0,-6400000.0,-74300000,0.52,,,,-193900000,,,,,14600000.0,700000.0,-121000000,43800000,65769231.0,,-15600000,140900000,215200000,,-19200000,-5500000,37700000,4046500000.0,,,-110800000.0,,,,,4046500000.0,243700000,,,,10100000.0,-83300000,,,,15100000.0,4216000000,,1426800000.0,0.52,,2300000,44100000,28500000,247000000.0,,-2400000,19600000.0,-87200000,,6900000.0,9000000.0,34200000,-1400000.0,44100000,,,1833600000,65769231.0,-42500000.0,,,,,,,,
1999-12-31,2370285000,-148276000.0,3000000.0,527616000,,,16422000.0,16422000.0,420812000,,,,18908000.0,9000000.0,841000.0,-130161000,-77916000,,,20000000,112044000,-415572000,-206962000.0,-24733000,-1469000,99366000,4248285000.0,,,-69507000.0,,,,,4041323000.0,-385749000,,,,17775000.0,-30795000,,,,28100000.0,4154662000,,1415047000.0,,,2402000,74276000,29823000,178600000.0,,23955000,20099000.0,-22819000,,,7621000.0,64297000,7000000.0,74276000,10702000.0,,1749000000,,-47258000.0,,,,,,,,
2000-03-31,2375792000,-1729000.0,-3518000.0,76934000,0.55,,17544000.0,17544000.0,-877000,,,,17145000.0,7621000.0,843000.0,-72392000,-15056000,66476786.0,,-18850000,135088000,58154000,-245012000.0,1318000,455000,60307000,4308615000.0,,,-69222000.0,,,,,4063603000.0,88821000,,,,3974000.0,-12085000,,,,14467000.0,4180116000,,1414170000.0,0.56,,2947000,37227000,30667000,205000000.0,,26400000,20067000.0,-44796000,,,8076000.0,37227000,-5907000.0,47172000,10771000.0,,1768822000,67685455.0,-44553000.0,,,,,,,,
2000-06-30,2396906000,-27520000.0,-3254000.0,80955000,0.6,,40747000.0,40747000.0,-942000,,,,19899000.0,8076000.0,847000.0,-114112000,37903000,66740984.0,,-3102000,139958000,59003000,-276160000.0,-8148000,-6404000,71198000,4402919000.0,,,-65725000.0,,,,,4126759000.0,90794000,,,,12263000.0,-42914000,,,,26908000.0,4269597000,,1408117000.0,0.61,,3285000,40712000,31791000,,,73055000,20363000.0,-115505000,,,1672000.0,40712000,1703000.0,50657000,10770000.0,,1833617000,67853333.0,-46473000.0,,,,,,,,
2000-09-30,2419218000,5660000.0,-18301000.0,82506000,0.71,,44521000.0,44521000.0,-2254000,,,,20643000.0,1672000.0,850000.0,-112984000,2295000,67430556.0,,-15622000,146351000,63845000,-306758000.0,-6257000,8690000,67778000,4473717000.0,,,-54551000.0,,,,,4166959000.0,95008000,,,,9276000.0,-45206000,,,,16739000.0,4330237000,,1543431000.0,0.72,,3359000,48550000,31163000,146000000.0,,-107567000,21385000.0,-61383000,,,10362000.0,48550000,10490000.0,58494000,8450000.0,,1855725000,68380282.0,-47160000.0,,,,,,,,
2000-12-31,2442493000,49021000.0,5158000.0,84850000,,,73967000.0,73967000.0,-3784000,,,,19997000.0,10362000.0,855000.0,-132920000,12237000,,,29130000,151998000,67148000,-316045000.0,-20282000,46872000,95535000,4516004000.0,,,-47845000.0,,,,,4199959000.0,99554000,,,,10690000.0,-37385000,,,,32829000.0,4397225000,,1729924000.0,,,3422000,84115000,32406000,,,-4949000,21794000.0,-60900000,,,57234000.0,44336000,9407000.0,54281000,12215000.0,,1905231000,,-47323000.0,,,,,,,,
2001-03-31,2444278000,12477000.0,-3705000.0,87532000,0.61,,65345000.0,65345000.0,-60273000,,,-8093000.0,23418000.0,57234000.0,859000.0,-101919000,3115000,67183871.0,,-30440000,155757000,68225000,-346554000.0,10585000,417000,64067000,4599545000.0,,,-49444000.0,,,,,4252991000.0,99788000,,,,9037000.0,-37852000,,,,20659000.0,4444777000,,1772144000.0,0.62,,3805000,41654000,31563000,,,51169000,23124000.0,-66765000,,4901000.0,57651000.0,41654000,-11515000.0,51599000,12257000.0,,1951106000,68285246.0,-47987000.0,,,,,,,,
2001-06-30,2344301000,5369000.0,-2902000.0,89647000,0.57,,22673000.0,22673000.0,-143855000,,,-6516000.0,29747000.0,57651000.0,818000.0,-115825000,-40619000,67467241.0,,49730000,162359000,72712000,-378623000.0,-24642000,-43482000,107593000,4715278000.0,,,-52554000.0,,,,,4336655000.0,105701000,,,,123672000.0,-8232000,,,,33081000.0,4491444000,,1771841000.0,0.58,,3743000,39131000,32989000,,,127580000,25313000.0,-110456000,,,14169000.0,39131000,27767000.0,48518000,13043000.0,,2098027000,68650877.0,-53508000.0,,,,,,,,
2001-09-30,2400078000,-62501000.0,2804000.0,91162000,1.14,,279600000.0,279600000.0,174247000,,,-11963000.0,36816000.0,14169000.0,825000.0,-125827000,159278000,68300862.0,,-35176000,163269000,72107000,-410789000.0,-21777000,187224000,63694000,4727624000.0,,,-16700000.0,,,0.0,,4316835000.0,105115000,,,,24573000.0,-62133000,,,,21858000.0,4729468000,,2079463000.0,1.16,,3421000,79229000,33008000,,,-109034000,26701000.0,-35748000,,,201393000.0,79229000,-20392000.0,86668000,13131000.0,,2280684000,69499123.0,-50903000.0,,,,,,,,
2001-12-31,2314555000,31323000.0,-16583000.0,91049000,,,122951000.0,122951000.0,-1192000,,,-8483000.0,43656000.0,201393000.0,783000.0,-141033000,-155354000,,,-15036000,160272000,69223000,-447026000.0,-10919000,-128407000,73369000,4837869000.0,,,-3497000.0,,,3949000.0,,4390843000.0,105348000,,,,-106370000.0,-67664000,,,,38841000.0,4664289000,,2082769000.0,,,4255000,26131000,36125000,,,-925000,28065000.0,-46422000,,,72986000.0,56486000,9065000.0,62212000,15066000.0,,2294541000,,-50816000.0,,,,,,,,
2002-03-31,2311451000,41965000.0,2679000.0,93087000,0.51,,12882000.0,12882000.0,-23844000,,,-7063000.0,45440000.0,72986000.0,786000.0,-123274000,-51531000,68634615.0,,-29018000,160104000,67017000,-480971000.0,15399000,-69847000,62993000,4961143000.0,,,-16096000.0,,,,,4480172000.0,101940000,,,,5091000.0,-60281000,,,,21425000.0,4639430000,,2058925000.0,0.52,,3694000,35690000,34923000,,,16229000,27543000.0,-81309000,,,3139000.0,35690000,-17188000.0,40721000,14669000.0,,2256180000,69980392.0,-49007000.0,,,,,,,,
2002-06-30,2307713000,208385000.0,-3041000.0,95477000,0.46,,22102000.0,22102000.0,-216505000,,,-10157000.0,43767000.0,3139000.0,790000.0,-95264000,173196000,68755319.0,,30096000,160785000,65308000,-516046000.0,-15085000,6353000,89717000,5218763000.0,,,-31172000.0,,,,,4702717000.0,101684000,,,,14095000.0,-5547000,,,,38704000.0,4871197000,,2093800000.0,0.47,,3483000,32315000,36376000,179700000.0,,213519000,28550000.0,-256560000,,,9492000.0,32315000,18089000.0,37346000,14834000.0,,2487813000,70250000.0,-53320000.0,,,,,,,,
2002-09-30,2223921000,358199000.0,8485000.0,101062000,0.35,,14169000.0,14169000.0,213504000,,,-13895000.0,38859000.0,9492000.0,767000.0,-724417000,29184000,68569444.0,,-222000,160358000,59296000,-545525000.0,220000,-6211000,67442000,5304074000.0,,,-55517000.0,,263613000.0,-144082000.0,,4758549000.0,97052000,,,,72344000.0,-656975000,,,,22759000.0,4919810000,,2142948000.0,0.36,,3042000,27616000,37756000,,,-217571000,31817000.0,-102837000,,,3285000.0,24685000,-8596000.0,28711000,14821000.0,,2621708000,70528571.0,-52755000.0,,,,,,,,
2002-12-31,2194540000,57298000.0,10417000.0,224747000,,,23596000.0,23596000.0,-1953000,,,-12640000.0,29768000.0,3285000.0,755000.0,-135377000,-78260000,,,42198000,161347000,-63400000,-584022000.0,-61584000,10072000,87957000,5369453000.0,,,-51850000.0,,0.0,22280000.0,,4785431000.0,-23881000,,,,-69234000.0,-47420000,,,,42954000.0,4950835000,,2471163000.0,,,4112000,17193000,39519000,,,31431000,33479000.0,375000,,,13357000.0,63033000,10682000.0,66842000,14591000.0,,2678852000,,-52368000.0,,,,,,,,
2003-03-31,2151524000,91794000.0,3062000.0,100051000,0.49,,57752000.0,57752000.0,-50884000,,,-11891000.0,29294000.0,12934000.0,747000.0,-183387000,25056000,67400000.0,,-17084000,153956000,53905000,-596883000.0,-5381000,34919000,55034000,5403515000.0,,,-70987000.0,,,-121570000.0,,4806632000.0,93038000,,,,5846000.0,-128353000,,,,28608000.0,5004230000,,2381394000.0,0.5,,3631000,20368000,39133000,,,144133000,34369000.0,-45171000,,,47853000.0,33700000,-11604000.0,37388000,14169000.0,,2776264000,68775510.0,-51610000.0,,,,,,,,
2003-06-30,2101757000,84236000.0,5195000.0,100495000,1.08,,51661000.0,51661000.0,-2451000,,,-12149000.0,27521000.0,47853000.0,715000.0,-215370000,-126321000,67310909.0,,22124000,154712000,54217000,-631226000.0,-62079000,-26385000,74647000,5388080000.0,,,-44225000.0,,,-82031000.0,,4756854000.0,93329000,,,,4775000.0,-140723000,,,,41826000.0,4934775000,,2401548000.0,1.1,,3623000,20594000,39112000,,,-18353000,34476000.0,25289000,,,21467000.0,74042000,5867000.0,76468000,13713000.0,,2794580000,68557407.0,-49686000.0,,,,,,,,
2003-09-30,2250895000,-157612000.0,-21393000.0,102725000,0.79,,27453000.0,27453000.0,48697000,,,-9905000.0,30079000.0,21467000.0,747000.0,-165502000,-28635000,69015000.0,,-49812000,153573000,50848000,-656060000.0,-11960000,-14679000,34859000,5436971000.0,,,-38817000.0,,,0.0,,4780911000.0,90093000,,,,132840000.0,-130643000,,,,27006000.0,4965864000,,2288083000.0,0.8,,3382000,41534000,39245000,,,-160714000,33432000.0,-20903000,,,6771000.0,55212000,-3513000.0,57387000,19967000.0,,2683953000,69888608.0,-49458000.0,,,,,,,,
2003-12-31,2311334000,339306000.0,6111000.0,236155000,,,19021000.0,19021000.0,-1421000,,,-8212000.0,26912000.0,6771000.0,749000.0,-162648000,-149565000,,,21530000,155233000,-80922000,-694585000.0,-87028000,430000,75275000,5430974000.0,,,2024000.0,,,0.0,,4736389000.0,-40432000,,,,3473000.0,-87373000,,,,38910000.0,4909582000,,2337817000.0,,,3098000,21388000,40490000,,,-122085000,33085000.0,74720000,,,7196000.0,98108000,4654000.0,100283000,19735000.0,,2573496000,,-51662000.0,,,,,,,,
2004-03-31,2300374000,50941000.0,1015000.0,105074000,0.32,,13641000.0,13641000.0,-139790000,,,-8584000.0,25646000.0,7165000.0,755000.0,-105948000,-2529000,70006061.0,,-21226000,156879000,51805000,-735751000.0,5908000,-6819000,50717000,5501093000.0,,,-25529000.0,,,0.0,,4765342000.0,92563000,,,,12955000.0,-55231000,,,,26109000.0,4943735000,,2120070000.0,0.33,,3971000,19546000,40758000,,,176137000,32286000.0,-55007000,,,346000.0,23102000,-11628000.0,25277000,25002000.0,,2619610000,72193750.0,-51831000.0,,,,,,,,
2004-06-30,2301129000,148185000.0,4313000.0,107265000,0.46,,14769000.0,14769000.0,94038000,,,-7277000.0,26547000.0,346000.0,759000.0,-296511000,24380000,71432609.0,,35786000,162258000,54993000,-775893000.0,-27064000,2155000,85192000,5622079000.0,,,-43015000.0,,,0.0,,4846186000.0,96429000,,,,15643000.0,-211319000,,,,37040000.0,5004903000,,2311236000.0,0.46,,4071000,22051000,41436000,,,-75899000,32482000.0,-107417000,,,2501000.0,32859000,13580000.0,35034000,25379000.0,,2680105000,71432609.0,-52202000.0,,,,,,,,
2004-09-30,2304686000,167747000.0,-3565000.0,111712000,0.6,,46793000.0,46793000.0,-1853000,,,-7753000.0,26776000.0,2501000.0,762000.0,-232045000,41501000,71985000.0,,-12608000,167573000,55861000,-816193000.0,-16834000,31076000,59715000,5714261000.0,,,-50311000.0,,,0.0,,4898068000.0,99653000,,,,9176000.0,-172330000,,,,29418000.0,5099962000,,2334707000.0,0.6,,3729000,22153000,43792000,,,69843000,33240000.0,-70140000,,,33577000.0,43191000,-2739000.0,45366000,25211000.0,,2772300000,71985000.0,-52430000.0,,,,,,,,
2004-12-31,2385291000,272229000.0,-12291000.0,106735000,,,14657000.0,14657000.0,-1983000,,,-7096000.0,23005000.0,33577000.0,766000.0,-347692000,-92823000,,,20908000,161413000,54678000,-819319000.0,-96536000,-31888000,80054000,5697144000.0,,,10769000.0,,-74392000.0,0.0,,4877825000.0,96291000,,,,16257000.0,-267638000,,,,37254000.0,5068281000,,2442291000.0,,,6303000,22236000,41613000,,,-176643000,33308000.0,-19119000,,,1582000.0,111894000,22745000.0,114069000,41379000.0,,2661465000,,-52632000.0,,,,,,,,
2005-03-31,2412664000,129110000.0,-3116000.0,111548000,0.92,,17112000.0,17112000.0,-88176000,172626000.0,,-5796000.0,21399000.0,1552000.0,769000.0,-274411000,-93207000,72510753.0,,-6020000,168711000,57163000,-861581000.0,-39452000,1945000,67827000,5732487000.0,,,26088000.0,,,,,4870906000.0,100852000,,,,6333000.0,-206584000,,,,27707000.0,5065269000,,2407396000.0,0.93,,7159000,31111000,43689000,,,-394000,32153000.0,27325000,,,3497000.0,67435000,106000.0,69610000,42318000.0,,2631937000,73298913.0,-52954000.0,,,,,,,,
