date,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyInventory,quarterlyResearchAndDevelopment,quarterlyChangeInInventory
2007-05-31,921475000,6667486000,0.0,345400000,-181531000,2192252000,79482000,,767849000,-197534000.0,80278000.0,284410000.0,895511000,688367000,5543684000,,2009327000,-18933000,364367000,8039689000,7455449000,859179215.0,0.57,434796000,769424000,1878062000,3933842000,787963000,2993035000,3957770000,,3093634000,1609842000,0.0,-12602000,528389000.0,,345400000,3226000,345400000,15313000,3378044000,3093634000,1769310000,921475000,709385000,,,,235968000,748185000,2959939000,607421151.0,18000,-82007000,25006000,146912000.0,6841000,,3831000,977518000,-686004000,-1559948000.0,324357000,133695000,985886000.0,123643000.0,,2308133000.0,10049016000,-835182000,668812000,863646000,0.54,,,
2007-08-31,945082000,6962616000,0.0,316794000,-234479000,2362703000,115571000,,764810000,-154989000.0,104303000.0,231278000.0,637721000,649239000,5573351000,,2775984000,-15800000,167791000,7971178000,7943644000,,,407998000,946705000,2063332000,3979030000,981028000,3187076000,3699334000,,3314396000,1594321000,0.0,-1408000,643728000.0,,316794000,2565000,316794000,31758000,3545674000,3314396000,1785286000,945082000,684290000,,,,253043000,808069000,3093634000,,18000,-139320000,23795000,58500000.0,6211000,,-3631000,777041000,-348449000,-1556146000.0,934329000,220762000,942310000.0,216598000.0,,2364215000.0,10747162000,-401018000,733636000,985071000,,,,
2007-11-30,970355000,6011177000,-333685000.0,381285000,-37403000,2386871000,125168000,,859890000,-19132000.0,80340000.0,149424000.0,-120251000,734722000,6101957000,,3168421000,-32697000,-695732000,7579079000,8098659000,839271348.0,0.62,418092000,2058555000,1963415000,4396880000,2087482000,3201209000,4198528000,,2472373000,1705077000,0.0,6385000,690331000.0,,381285000,2066000,381285000,26861000,2621797000,2472373000,1614886000,970355000,773489000,,,,267931000,834686000,3314396000,611842254.0,18000,-88780000,6404000,149038000.0,5398000,,30670000,-31471000,-791346000,-1626919000.0,1011877000,-842023000,195869000.0,119989000.0,,2461605000.0,10747500000,-619174000,729964000,946989000,0.6,,,
2008-02-29,1009182000,6034340000,0.0,406557000,-139403000,2753206000,111045000,,754913000,-519000.0,110715000.0,73706000.0,645456000,643868000,6057623000,,3307846000,12099000,-40236000,7600468000,8121215000,827974896.0,0.67,430269000,2046095000,2090141000,4404573000,2086875000,3080416000,4147364000,,2584139000,1653050000,0.0,-10716000,781237000.0,,406557000,2691000,406557000,38089000,2657845000,2584139000,1732338000,1009182000,649578000,,,,115782000,840071000,2472373000,608472725.0,17000,-78538000,6443000,53130000.0,7684000,,-16663000,723994000,-512173000,-1686886000.0,1082605000,111766000,207253000.0,82232000.0,,2526957000.0,10908314000,-549243000,836399000,963228000,0.64,,,
2008-05-31,1056172000,6546083000,0.0,469089000,-21344000,2982973000,118251000,,984760000,359000.0,109545000.0,28225000.0,1013729000,866509000,6593201000,,3303855000,-1043000,241274000,8613550000,8729263000,816421753.0,0.77,414822000,2142090000,2464314000,4670520000,2183180000,3415064000,4458368000,,3326423000,1922681000,0.0,-7994000,816650000.0,,469089000,2490000,469089000,38600000,3354648000,3326423000,1851931000,1056172000,877821000,,,,270250000,819054000,2584139000,606513399.0,18000,-66316000,4232000,160818000.0,4450000,,-8179000,1080045000,-333643000,-1556146000.0,1083142000,742284000,215016000.0,85073000.0,,2375200000.0,11917405000,-483973000,932358000,1008382000,0.74,,,
2008-08-31,1115422000,6847878000,0.0,434820000,-125844000,3120515000,136957000,,926312000,-8402000.0,99637000.0,20282000.0,943946000,789355000,6561045000,,3239397000,-68311000,309706000,9159128000,9205850000,,,594832000,2324006000,2540506000,4656268000,2357972000,3706176000,4515395000,,3602760000,1904777000,0.0,-6284000,839957000.0,,434820000,1708000,434820000,32258000,3623042000,3602760000,1810661000,1115422000,806874000,,,,256611000,800164000,3326423000,,18000,-86734000,6570000,77981000.0,5172000,,4592000,1030680000,-524355000,-1625685000.0,985333000,276337000,249986000.0,22247000.0,,2425849000.0,12398525000,-608844000,825705000,1017227000,,,,
2008-11-30,1069931000,6024243000,-378446000.0,479866000,-59773000,3179837000,119563000,,937440000,-196000.0,90228000.0,13117000.0,396256000,817877000,6470608000,,3101443000,-21112000,-317125000,7830612000,8326635000,796948530.0,0.77,463178000,2270120000,2072207000,4582800000,2302392000,3324398000,4144507000,,2782961000,1887808000,0.0,-28152000,786847000.0,,479866000,1198000,479866000,31074000,2796078000,2782961000,1529917000,1069931000,808521000,,,,215288000,734597000,3602760000,622243687.0,18000,-71876000,1249000,131597000.0,3400000,,8881000,468132000,-927920000,-1544214000.0,934370000,-819799000,216055000.0,10656000.0,,2278811000.0,10932055000,-689952000,490903000,904095000,0.74,,,
2009-02-28,957867000,5460618000,0.0,411436000,-53231000,3593007000,135069000,,799527000,-922000.0,121968000.0,13450000.0,578024000,664458000,5657563000,,3030411000,-14785000,-155487000,7526948000,7650299000,786369122.0,0.66,475552000,2155078000,2385906000,4035238000,2189681000,2850741000,3626058000,,2978000000,1622325000,0.0,26563000,771899000.0,,411436000,529000,411436000,34074000,2991450000,2978000000,1550207000,957867000,698962000,,,,196554000,708643000,2782961000,620461500.0,17000,-52613000,1021000,80690000.0,3214000,,-17600000,630637000,-299949000,-1544214000.0,901363000,195039000,295564000.0,921000.0,,2252857000.0,10557359000,-356819000,491617000,716466000,0.63,,,
2009-05-31,935411000,5908436000,0.0,443969000,-36588000,3958429000,116377000,,867433000,-559000.0,-132956000.0,9459000.0,970974000,735216000,5537348000,553480000.0,3202838000,37251000,166120000,8624826000,8220117000,782814822.0,0.71,485251000,177886000,2949421000,3866721000,2311681000,2845902000,3744511000,,4002459000,1670627000,0.0,7191000,803748000.0,9168000.0,536529000,673000,443969000,1085536000,4011918000,4002459000,1690867000,935411000,747771000,,,,211242000,717422000,2978000000,623649189.0,17000,-43645000,983000,129336000.0,3285000,,-4837000,1014619000,-159031000,-1717931000.0,374846000,1024459000,0.0,8598000.0,335590000.0,2435353000.0,11827664000,-283485000,-170040000,746568000,0.68,,,
2009-08-31,984767000,6151381000,0.0,254692000,-95582000,3998501000,127582000,109988000.0,554286000,-105000.0,3690000.0,7904000.0,971493000,675587000,5505449000,536065000.0,3265220000,-64333000,307910000,8990514000,8781950000,,,599501000,241280000,2886593000,3845095000,2630569000,3194617000,3361785000,28242000.0,4541662000,1660354000,0.0,-256805000,825152000.0,29011000.0,305976000,361000,254692000,1174530000,4549566000,4541662000,1725179000,984767000,422482000,-24099000.0,-1106000.0,,116506000,701144000,4002459000,,17000,-75321000,594000,63087000.0,4222000,859958000.0,-658000,1046814000,-463403000,-1639873000.0,338412000,539203000,0.0,2547000.0,261058000.0,2341017000.0,12255734000,-525128000,-227178000,717379000,,,,
