date,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2007-08-31,70835000,31343000,132366000,230736000.0,149236000,217368722.0,801001000,636000,212286000,9580000,,,,99000,-3528000,3062000.0,-9152000,-60629000.0,594000,196381000,-9746000.0,119243000.0,5034000,,66825000.0,22998000,-79920000,0.098409,29472000,15650000.0,8730000,20652000,-22719000,36590000,58614000,16870000.0,,350856000,353023000,458719000,7118000,8247000.0,66479000,86007000,885013000,,183356000,19470000,21731000,270113100.0,1238036000,21731000,21731000,436863000,37681000,95761000,46536000,142009000,83049000,80756000,534257000.0,87000,2762000,0.10122,48326000,,,100307000,-93027000,,132366000,,,,,,
2007-11-30,76290000,36415000,148484000,239395000.0,159002000,,840908000,636000,132366000,11295000,,,,412000,-4717000,3062000.0,-12786000,-68693000.0,336000,206359000,-13085000.0,127449000.0,21389000,,21650000.0,52977000,16118000,,35207000,15255000.0,-6101000,37550000,18297000,44066000,58756000,10518000.0,,392395000,402247000,483804000,8859000,6835000.0,68606000,90285000,921560000,-15300000.0,197515000,48260000,25085000,,1323807000,25085000,25085000,482680000,29787000,91863000,50022000,175542000,86018000,97133000,564582000.0,2124000,1329000,,60461000,37000.0,,111497000,-23526000,,148484000,,,,,,
2008-02-29,78684000,32014000,139133000,283163000.0,139133000,220406058.0,862943000,638000,148484000,10599000,,,,136000,-3073000,,-19564000,-68693000.0,384000,205588000,-16849000.0,127094000.0,17250000,,10500000.0,32480000,-9351000,0.095597,30933000,8049000.0,2422000,32446000,-11150000,39756000,58401000,,,400241000,406252000,506657000,8823000,11138000.0,71886000,85101000,942255000,,198777000,29407000,21431000,272599163.0,1348507000,21431000,21431000,485342000,27039000,93020000,57757000,192993000,89160000,76583000,585246000.0,-2624000,2025000,0.098409,58062000,,,109617000,-23263000,,139133000,,,,,,
2008-05-31,81197000,32670000,105371000,288346000.0,105371000,221295208.0,893431000,638000,139133000,10425000,,,,843000,-2278000,28485000.0,8259000,-68693000.0,70000,223292000,-1815000.0,126702000.0,15679000,,0.0,62493000,-33762000,0.104032,32816000,7902000.0,-347000,26092000,21856000,42499000,58009000,,,431827000,357120000,529915000,9683000,8818000.0,72923000,96176000,1064566000,,207193000,60215000,23258000,273274917.0,1421686000,23258000,23258000,528003000,27510000,167066000,60513000,169801000,93180000,81002000,616199000.0,-30000,2453000,0.104032,68666000,,,114013000,-104980000,,105371000,,,,,,
2008-08-31,79523000,24482000,87479000,263963000.0,87479000,220125087.0,855283000,640000,105371000,4585000,,,,363000,-6804000,17234000.0,-47171000,-68693000.0,1055000,213056000,-38222000.0,124542000.0,-16363000,,0.0,43127000,-17892000,0.092785,36570000,2541000.0,7000,19708000,2022000,46245000,55849000,,,383235000,309158000,550939000,9675000,6899000.0,73036000,96926000,1026565000,,207434000,36323000,21024000,272151032.0,1335723000,21024000,21024000,480161000,25464000,160555000,51354000,146992000,91341000,79789000,597105000.0,-2927000,-8122000,0.095597,71462000,,,116093000,-9871000,,87479000,,,,,,
2008-11-30,86295000,45025000,31040000,288145000.0,31040000,,801055000,641000,87479000,12903000,,,,1140000,-5730000,96020000.0,54967000,-81806000.0,2443000,285902000,-27476000.0,141384000.0,-127180000,,0.0,51149000,-56439000,,45281000,3994000.0,2751000,35084000,-1526000,56510000,59578000,,,545926000,317817000,584219000,11229000,8486000.0,77678000,89199000,1118363000,,230626000,45419000,33280000,,1436180000,33280000,33280000,635125000,23450000,67806000,50161000,207815000,99050000,122683000,705077000.0,721000,4116000,,65749000,,,131576000,-146835000,,31040000,,,,,,
2009-02-28,95317000,37151000,79900000,329555000.0,79900000,223407829.0,826185000,641000,31040000,9007000,-51265000.0,0.0,-12994000.0,749000,-5521000,6226000.0,15178000,,2217000,278372000,-5774000.0,,-145531000,10011000.0,373000.0,38615000,48860000,0.120902,37191000,0.0,-683000,31273000,-15893000,49524000,60880000,,16470000.0,468976000,384963000,611323000,11624000,1040000.0,86456000,189105000,1101146000,,235411000,33094000,27104000,226516297.0,1486109000,27104000,28144000,658081000,15661000,3499000,16901000,222309000,102903000,91911000,748878000.0,4083000,355000,0.120902,57347000,108000000.0,0.0,132508000,-1065000,-4145000.0,79900000,,,,,,
2009-05-31,95150000,41956000,172349000,333668000.0,172349000,224115592.0,921594000,646000,79900000,8898000,-12001000.0,0.0,42835000.0,512000,-3607000,7137000.0,4312000,,4014000,281058000,-1720000.0,,-97034000,2946000.0,560000.0,77664000,92449000,0.140584,42198000,0.0,6532000,23020000,18977000,54104000,63815000,,14971000.0,462507000,445766000,643277000,11636000,-6128000.0,81909000,203777000,1142112000,,235276000,74057000,31954000,227014221.0,1587878000,31954000,33058000,666284000,13242000,3482000,15956000,187409000,97928000,95736000,783133000.0,-111000,61000,0.143395,68102000,108000000.0,0.0,137348000,-3158000,-10738000.0,172349000,,,,,,
2009-08-31,91521000,46019000,118471000,309750000.0,118471000,224634856.0,971955000,647000,172349000,11313000,-50000000.0,-62985000.0,20952000.0,416000,-8744000,77274000.0,-36438000,,3565000,294761000,-2028000.0,,-92342000,4200000.0,19000.0,56420000,-53878000,0.15183,46216000,0.0,5531000,20002000,-3519000,59206000,68910000,,12821000.0,498397000,365545000,677983000,12771000,3582000.0,79369000,101854000,1206661000,,239485000,47676000,34706000,227707758.0,1572206000,34706000,34706000,600251000,11714000,3082000,15885000,167190000,101748000,87171000,828375000.0,312000,0,0.154642,76497000,0.0,0.0,137737000,-74864000,-3313000.0,118471000,,,,,,
2009-11-30,96215000,53561000,124201000,319163000.0,124201000,,1013678000,648000,118471000,12362000,-70031000.0,-62394000.0,-31317000.0,540000,-15167000,92577000.0,17355000,-98751000.0,3276000,309795000,-958000.0,173549000.0,-103831000,1720000.0,1927000.0,61995000,5730000,,53476000,0.0,6892000,26470000,-7418000,67216000,74798000,,12850000.0,549177000,413234000,719182000,13115000,3004000.0,86152000,112733000,1262354000,,257128000,46828000,41199000,,1675588000,41199000,41199000,661910000,15150000,2019000,14284000,203500000,107437000,109247000,875742000.0,683000,319000,,68334000,141000.0,0.0,149691000,-74951000,4916000.0,124201000,,,,,,
2010-02-28,98791000,36477000,149442000,377099000.0,149442000,225982807.0,1017107000,658000,124201000,9528000,-3224000.0,-18500000.0,-36425000.0,365000,-7172000,109019000.0,3285000,,4471000,296727000,-18151000.0,,-130399000,0.0,,55412000,25241000,0.11809,36738000,0.0,7901000,29059000,-8824000,50672000,76143000,,19302000.0,596720000,476027000,746005000,13830000,851000.0,85846000,111496000,1249296000,-819000.0,240735000,48240000,26823000,229148181.0,1725323000,26823000,26949000,708216000,17013000,4341000,19718000,236535000,105206000,81543000,872085000.0,-986000,0,0.11809,65129000,117000.0,,135529000,-27477000,3696000.0,149442000,,,,,,
2010-05-31,104293000,49130000,202822000,371688000.0,202822000,227554824.0,1050884000,661000,149442000,10652000,-40054000.0,-65067000.0,57586000.0,295000,-9167000,123804000.0,10873000,,203000,302978000,-4310000.0,,-147079000,0.0,,123744000,53380000,0.1687,49249000,0.0,992000,26061000,51715000,63694000,81737000,,17640000.0,607518000,473273000,784483000,14269000,853000.0,90253000,118263000,1303392000,-491000.0,266480000,114577000,38478000,229646105.0,1776665000,38478000,38478000,725781000,16811000,3900000,19775000,178390000,112938000,85965000,914777000.0,43000,82000,0.1687,71809000,153000.0,,153542000,-74682000,-1704000.0,202822000,,,,,,
2010-08-31,102062000,44877000,257151000,351740000.0,257151000,228056305.0,1109359000,661000,202822000,10314000,8000.0,0.0,-6570000.0,413000,-6848000,143888000.0,17729000,,350000,297446000,-3024000.0,,-133197000,1896000.0,,42159000,54329000,0.149019,54206000,0.0,-8546000,29147000,-11543000,59696000,84293000,,12782000.0,618404000,533278000,819042000,14406000,851000.0,86203000,118323000,1312808000,1239000.0,272059000,35311000,34559000,230183152.0,1846086000,34559000,34563000,736727000,17034000,4101000,19751000,189455000,115791000,91733000,926968000.0,54000,-9104000,0.15183,71125000,95000.0,,156268000,-5555000,229000.0,257151000,,,,,,
2010-11-30,116671000,54878000,200735000,392132000.0,200735000,,1176081000,662000,257151000,13499000,-30000.0,-250947000.0,-52477000.0,963000,-8649000,19054000.0,149715000,-112041000.0,0,384568000,-957000.0,205234000.0,-124632000,4350000.0,,44873000,-56416000,,55572000,0.0,-3818000,35854000,-27335000,72810000,93193000,,16750000.0,578268000,552734000,860497000,16969000,852000.0,94519000,401353000,1602968000,-353000.0,296186000,36224000,41455000,,2155702000,41455000,41379000,979621000,17512000,4377000,20466000,256552000,123943000,126878000,1120830000.0,703000,0,,73586000,275095000.0,,172243000,-259246000,796000.0,200735000,,,,,,
2011-02-28,123210000,38825000,251677000,479705000.0,251677000,229347351.0,1237973000,671000,200735000,8116000,-315832000.0,0.0,-30683000.0,1662000,-17941000,17115000.0,-14209000,,1623000,377005000,-21504000.0,,-101216000,0.0,,79268000,50942000,0.132149,43608000,0.0,7868000,41220000,5707000,58688000,102229000,,22098000.0,634608000,655218000,891213000,18201000,2603000.0,104504000,409758000,1627121000,-145000.0,295002000,61327000,30716000,232654989.0,2282339000,30716000,30709000,1044366000,18923000,7880000,28837000,288155000,128184000,96568000,1140007000.0,-547000,-3306000,0.13496,72282000,281303000.0,,166818000,-18633000,4327000.0,251677000,,,,,,
2011-05-31,129223000,49131000,147114000,492051000.0,147114000,231008283.0,1301525000,672000,251677000,10401000,-18769000.0,-202745000.0,62849000.0,2145000,-17575000,17120000.0,-3412000,,463000,453146000,-746000.0,,-95905000,0.0,,121713000,-104563000,0.165889,52915000,0.0,-4887000,40430000,45756000,71990000,117676000,,19291000.0,656512000,508827000,929935000,20714000,2604000.0,108401000,420806000,1870016000,-3025000.0,325117000,104138000,38722000,233124460.0,2378843000,38722000,38730000,1077318000,16680000,8169000,28563000,244239000,142979000,106911000,1291025000.0,-1770000,-1945000,0.1687,87344000,277553000.0,,182138000,-225115000,-3326000.0,147114000,,,,,,
2011-08-31,143444000,47080000,202872000,473803000.0,202872000,231257245.0,1353757000,674000,147114000,7505000,-18767000.0,-497247000.0,3571000.0,2967000,-12842000,287078000.0,511221000,,770000,592943000,-5782000.0,,-100694000,0.0,,52261000,55758000,0.1687,51780000,0.0,5917000,30541000,-41000000,73543000,125496000,,22424000.0,904221000,570855000,969527000,23496000,111632000.0,120145000,722104000,2409227000,321000.0,340466000,39419000,39592000,233586818.0,2980082000,39592000,39575000,1626325000,20758000,7147000,30762000,248864000,145242000,72938000,1683641000.0,1114000,-1896000,0.171512,136372000,523803000.0,,195224000,-508654000,-8839000.0,202872000,,,,,,
2011-11-30,195434000,21800000,234685000,487172000.0,234685000,231758725.0,1384729000,675000,202872000,-1256000,-91407000.0,-30066000.0,-70874000.0,4572000,-8967000,144563000.0,-10783000,-109706000.0,810000,514949000,-4217000.0,238124000.0,-49202000,0.0,,88808000,31813000,0.095597,28615000,0.0,-10581000,32428000,-11083000,52000000,128418000,,22381000.0,816857000,698078000,930619000,25628000,63224000.0,171301000,871451000,2374959000,2681000.0,370656000,79841000,22728000,235443363.0,3073037000,22728000,23056000,1688308000,19985000,9280000,23801000,326009000,146607000,95178000,1722312000.0,-4484000,-2451000,0.098409,123895000,658911000.0,,224049000,-40836000,3536000.0,234685000,,,,,,
2012-02-29,152741000,30338000,296586000,571983000.0,296586000,233010649.0,1428705000,676000,234685000,6863000,-20447000.0,,-30220000.0,4894000,-13556000,142945000.0,46051000,,9934000,499129000,-28436000.0,,-40415000,0.0,,32983000,61901000,0.098409,43412000,0.0,8566000,33916000,14538000,61533000,135384000,,33920000.0,879579000,807176000,954094000,26301000,23475000.0,127176000,884993000,2386101000,-2207000.0,342743000,19427000,23475000,236339626.0,3193277000,23475000,23475000,1764572000,20183000,8941000,27931000,354259000,146590000,99067000,1731135000.0,-242000,-8352000,0.10122,122882000,725811000.0,,196153000,-16005000,4290000.0,296586000,,,,,,
2012-05-31,157268000,55852000,268215000,544390000.0,268215000,234294581.0,1479548000,676000,296586000,11661000,-24622000.0,,74298000.0,4886000,-21818000,170196000.0,-25057000,,367000,524332000,-878000.0,,-59237000,,,145191000,-28371000,0.18557,64620000,0.0,-15732000,38648000,59457000,89730000,146236000,,26474000.0,882468000,707938000,998285000,28992000,44191000.0,128842000,836603000,2490681000,685000.0,387159000,123373000,44191000,236670390.0,3198619000,44191000,44191000,1719071000,19014000,8982000,31195000,289055000,165271000,82911000,1801317000.0,-1609000,-4129000,0.188382,126958000,673865000.0,,221888000,-142137000,1312000.0,268215000,,,,,,
2012-08-31,172532000,51458000,298433000,516188000.0,298433000,234707147.0,1568639000,676000,268215000,7384000,-431330000.0,-186873000.0,2099000.0,5057000,-18025000,170208000.0,162629000,,2140000,578597000,-6044000.0,,-44071000,,,68082000,30218000,0.18557,59331000,0.0,84000,36795000,-35814000,87905000,157995000,,30538000.0,854570000,734092000,1042367000,31390000,44082000.0,140520000,1024963000,2714080000,,385609000,50057000,44082000,237609332.0,3448172000,44082000,44074000,1879533000,22548000,8783000,27924000,289548000,153746000,86239000,1959663000.0,451000,-3071000,0.188382,148234000,837503000.0,,231863000,-202925000,2204000.0,298433000,,,,,,
2012-11-30,194551000,50065000,345008000,515318000.0,345008000,234643128.0,1584358000,676000,298433000,3656000,-16681000.0,0.0,-81587000.0,5736000,-15033000,170102000.0,-4212000,-147283000.0,-66000,554552000,-57465000.0,310296000.0,-46693000,,,68117000,46575000,0.194006,60900000,0.0,-9369000,52079000,-48690000,87361000,163013000,,30611000.0,876937000,863883000,1088787000,31560000,-180087000.0,162422000,1087916000,2685328000,,414358000,53084000,46420000,238775897.0,3549211000,46420000,46409000,1964853000,27732000,8540000,24145000,372117000,158907000,88941000,1959223000.0,3108000,-5424000,0.196817,139235000,890922000.0,,255451000,-14193000,14577000.0,345008000,,,,,,
2013-02-28,179367000,30624000,318697000,628411000.0,318697000,233988714.0,1538907000,676000,345008000,5953000,-53786000.0,-38448000.0,-33696000.0,6120000,-19367000,169511000.0,-79341000,,11345000,540646000,-81900000.0,,-80665000,,,131686000,-26311000,0.104032,43083000,0.0,-15534000,53167000,68717000,69223000,173867000,,39762000.0,978457000,876072000,1113458000,32479000,-10933000.0,144469000,1050585000,2691877000,,382525000,112319000,24671000,237228776.0,3567949000,24671000,24671000,2029042000,27602000,8075000,29979000,412974000,160075000,92592000,1969289000.0,-846000,-6683000,0.104032,118980000,882723000.0,,222450000,-59437000,-6485000.0,318697000,,,,,,
2013-05-31,179239000,55723000,267131000,599635000.0,267131000,234337260.0,1612860000,676000,318697000,12840000,-43215000.0,-117057000.0,70749000.0,6164000,-23069000,169481000.0,-43938000,,457000,562731000,-1465000.0,,-79220000,,,129480000,-51566000,0.182759,66480000,0.0,-10928000,51767000,33000000,94764000,187474000,,30799000.0,946042000,757150000,1156348000,32877000,-943000.0,145851000,1014039000,2815791000,,418143000,106411000,42890000,236232928.0,3572941000,42890000,42883000,1960081000,29157000,7070000,34238000,350088000,172424000,99558000,2058516000.0,-1471000,-4896000,0.182759,122712000,839538000.0,,245719000,-140693000,-3945000.0,267131000,,,,,,
2013-08-31,224820000,23586000,270995000,561137000.0,270995000,237047390.0,1802373000,676000,267131000,116000,-31647000.0,-1325783000.0,6609000.0,16072000,-22975000,394248000.0,1277713000,,-16757000,1188415000,-4147000.0,,-78610000,,,83203000,3864000,0.098409,57189000,0.0,-11294000,56194000,-16443000,82089000,233294000,,44233000.0,1178209000,828214000,1179710000,42431000,-725000.0,181586000,2341786000,4494154000,,480288000,60228000,23362000,239451651.0,5322368000,23362000,23470000,3519995000,41879000,25142000,42424000,395584000,198279000,110117000,3047303000.0,-3273000,-17763000,0.098409,362634000,1913124000.0,,282009000,-1349306000,-4012000.0,270995000,,,,,,
2013-11-30,273931000,44960000,258367000,560010000.0,258367000,239725509.0,1906963000,679000,270995000,4150000,-140261000.0,-5746000.0,-68089000.0,16226000,-25323000,395527000.0,-147984000,-207408000.0,1929000,1144464000,-9652000.0,452974000.0,-56961000,9961000.0,,151786000,-12628000,0.1687,68338000,0.0,3444000,57001000,6657000,112136000,245566000,,47657000.0,1246435000,880840000,1220520000,50950000,-698000.0,220702000,2206215000,4478773000,,559675000,126463000,40810000,243328345.0,5359613000,40810000,40810000,3452650000,38692000,23562000,43065000,459263000,217406000,134476000,3065181000.0,6937000,-7544000,0.171512,361267000,1779065000.0,,342269000,-22461000,4373000.0,258367000,,,,,,
2014-02-28,251764000,40660000,205055000,708941000.0,205055000,241169489.0,1940815000,690000,258367000,8238000,-174568000.0,0.0,-69021000.0,15245000,-25324000,210320000.0,-179168000,,9412000,1107623000,-44012000.0,,-59224000,0.0,,153861000,-53312000,0.132149,59769000,0.0,32939000,57420000,2300000,105542000,255139000,,43964000.0,1178175000,911573000,1252942000,49637000,-825000.0,200552000,2240930000,4448347000,,524458000,128537000,32422000,244313523.0,5359920000,32422000,32422000,3419105000,43214000,21748000,59792000,524010000,212925000,143063000,3063837000.0,-1304000,-4115000,0.13496,348812000,1819704000.0,,311533000,-24314000,-982000.0,205055000,,,,,,
