date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1986-12-31,959000000.0,2363000000.0,,,,3363000000.0,,2180000000.0,,6288000000.0,0.0,2925000000.0,,,3139000000.0,,,432000000.0,,,-148000000,,,,,1211000000.0,-4000000.0,963000000.0,,,,,,,,,,,,,3149000000.0,,,,-3852000000.0,300000000.0,124000000.0,124000000.0,,619000000.0,,60000000.0,,,,,,,,1775000000,,,-5297000000,6285000000.0,,,1561000000.0,2433000000.0,,,-5297000000,,,,,,
1987-03-31,,,790656000.0,,,,,,,,,,,,,,,,,,-84000000,,-0.11,,,,,,,,,,,,,,,,,,,,790656000.0,,,,,,,,,,,,,,,,,1647000000,,,1647000000,,,,,,,-0.11,1647000000,,,,,,
1987-06-30,,,790656000.0,,,,,,,,,,,,,,,,,,118000000,,0.15,,,,,,,,,,,,,,,,,,,,790656000.0,,,,,,,,,,,,,,,,,2042000000,,,2042000000,,,,,,,0.15,2042000000,,,,,,
1987-09-30,,,811320000.0,,,,,,,,,,,,,,,,,,146000000,,0.185,,,,,,,,,,,,,,,,,,,,811320000.0,,,,,,,,,,,,,,,,,2250000000,,,2250000000,,,,,,,0.185,2250000000,,,,,,
1987-12-31,909000000.0,2656000000.0,,,,3813000000.0,,2392000000.0,,6866000000.0,0.0,3053000000.0,,,3301000000.0,,,542000000.0,,,139000000,,,,,1323000000.0,9000000.0,900000000.0,,,,,,,,,,,,,3565000000.0,,,,-3785000000.0,354000000.0,103000000.0,103000000.0,,584000000.0,,47000000.0,,,,,,,,2241000000,,,-5457000000,6249000000.0,,,1808000000.0,2464000000.0,,,-5457000000,,,,,,
1988-03-31,,,811232000.0,,,,,,,,,,,,,,,,,,118000000,,0.145,,,,,,,,,,,,,,,,,,,,811232000.0,,,,,,,,,,,,,,,,,2382000000,,,2382000000,,,,,,,0.145,2382000000,,,,,,
1988-06-30,,,811384000.0,,,,,,,,,,,,,,,,,,145000000,,0.18,,,,,,,,,,,,,,,,,,,,811384000.0,,,,,,,,,,,,,,,,,2602000000,,,2602000000,,,,,,,0.18,2602000000,,,,,,
1988-09-30,,,811304000.0,,,,,,,,,,,,,,,,,,190000000,,0.235,,,,,,,,,,,,,,,,,,,,811304000.0,,,,,,,,,,,,,,,,,2789000000,,,2789000000,,,,,,,0.235,2789000000,,,,,,
1988-12-31,2138000000.0,3184000000.0,,,,5317000000.0,,3435000000.0,,9686000000.0,0.0,4369000000.0,,,5573000000.0,,,1389000000.0,,,163000000,,,,,1986000000.0,185000000.0,1953000000.0,,,,,,,,,,,,,4113000000.0,,,,-3583000000.0,588000000.0,74000000.0,74000000.0,,1307000000.0,,71000000.0,,,,,,,,2662000000,,,-6773000000,6492000000.0,,,2128000000.0,2909000000.0,,,-6773000000,,,,,,
1989-03-31,,,811312000.0,,,,,,,,,,,,,,,,,,141000000,,0.175,,,,,,,,,,,,,,,,,,,,811312000.0,,,,,,,,,,,,,,,,,2680000000,,,2680000000,,,,,,,0.175,2680000000,,,,,,
1989-06-30,2536000000.0,3405000000.0,805714286.0,,,5700000000.0,387000000.0,3573000000.0,141000000.0,10439000000.0,0.0,4739000000.0,,,6109000000.0,,,1495000000.0,767000000.0,,141000000,141000000.0,0.175,,40000000.0,2077000000.0,326000000.0,2210000000.0,,503000000.0,,,,2274000000.0,,,,,207000000.0,,4330000000.0,,805714286.0,,-596000000.0,614000000.0,85000000.0,85000000.0,,1438000000.0,97000000.0,198000000.0,,,1411000000.0,,,,,3041000000,,,264000000,3642000000.0,66000000.0,,724000000.0,3046000000.0,,0.175,380000000,,,,,,
1989-09-30,2501000000.0,3514000000.0,800000000.0,73000000.0,,5644000000.0,404000000.0,3641000000.0,108000000.0,10550000000.0,0.0,4906000000.0,,118000000.0,6142000000.0,,,1515000000.0,686000000.0,0.0,108000000,108000000.0,0.135,-26000000.0,44000000.0,2105000000.0,323000000.0,2178000000.0,,521000000.0,0.0,-350000000.0,,1957000000.0,-30000000.0,,0.0,,115000000.0,,4408000000.0,-79000000.0,800000000.0,,-596000000.0,671000000.0,95000000.0,95000000.0,,1561000000.0,94000000.0,197000000.0,,175000000.0,1426000000.0,,48000000.0,,,2643000000,352000000.0,-279000000.0,165000000,3790000000.0,7000000.0,10000000.0,654000000.0,3194000000.0,-49000000.0,0.135,283000000,-3000000.0,,,,,
1989-12-31,2548000000.0,3560000000.0,,-80000000.0,,5708000000.0,417000000.0,3904000000.0,107000000.0,10926000000.0,0.0,5218000000.0,,121000000.0,6452000000.0,,,1566000000.0,691000000.0,0.0,107000000,107000000.0,,-15000000.0,68000000.0,2120000000.0,260000000.0,2288000000.0,,538000000.0,0.0,-514000000.0,,2071000000.0,-30000000.0,,0.0,,131000000.0,,4474000000.0,-89000000.0,,,-633000000.0,627000000.0,148000000.0,148000000.0,,1706000000.0,90000000.0,147000000.0,,94000000.0,1550000000.0,,211000000.0,,,2762000000,356000000.0,-436000000.0,153000000,4138000000.0,24000000.0,53000000.0,648000000.0,3505000000.0,34000000.0,,274000000,-2000000.0,,,,,
1990-03-31,2510000000.0,3628000000.0,792000000.0,-86000000.0,,5827000000.0,394000000.0,4061000000.0,99000000.0,11136000000.0,0.0,5309000000.0,,136000000.0,6571000000.0,,,1619000000.0,711000000.0,0.0,99000000,99000000.0,0.125,48000000.0,60000000.0,2072000000.0,261000000.0,2249000000.0,,530000000.0,0.0,-252000000.0,,2226000000.0,-30000000.0,,148000000.0,,146000000.0,,4565000000.0,-81000000.0,792000000.0,,-633000000.0,636000000.0,91000000.0,91000000.0,,1530000000.0,95000000.0,142000000.0,,-168000000.0,1500000000.0,,121000000.0,,,2937000000,90000000.0,-176000000.0,181000000,4181000000.0,47000000.0,-57000000.0,1031000000.0,3548000000.0,23000000.0,0.125,317000000,-1000000.0,,,,,
1990-06-30,2581000000.0,3640000000.0,766666667.0,-92000000.0,,5881000000.0,406000000.0,4249000000.0,46000000.0,11349000000.0,0.0,5468000000.0,,131000000.0,6830000000.0,,,1658000000.0,676000000.0,0.0,46000000,46000000.0,0.06,50000000.0,29000000.0,2022000000.0,258000000.0,2323000000.0,,540000000.0,0.0,-410000000.0,,2271000000.0,-31000000.0,,0.0,,55000000.0,,4519000000.0,-149000000.0,766666667.0,,-633000000.0,648000000.0,82000000.0,82000000.0,,2114000000.0,110000000.0,140000000.0,,5000000.0,1452000000.0,,229000000.0,,,2947000000,173000000.0,-265000000.0,136000000,4303000000.0,9000000.0,-9000000.0,683000000.0,3670000000.0,-4000000.0,0.06,270000000,-8000000.0,,,,,
1990-09-30,2774000000.0,3698000000.0,771428571.0,161000000.0,,5844000000.0,411000000.0,4140000000.0,54000000.0,11475000000.0,0.0,5631000000.0,,138000000.0,6914000000.0,,,1731000000.0,690000000.0,0.0,54000000,54000000.0,0.07,46000000.0,31000000.0,1976000000.0,256000000.0,2518000000.0,,546000000.0,0.0,-279000000.0,,2105000000.0,-30000000.0,,0.0,,74000000.0,,4561000000.0,-60000000.0,771428571.0,,-633000000.0,646000000.0,109000000.0,109000000.0,,1905000000.0,101000000.0,138000000.0,,200000000.0,1607000000.0,,-80000000.0,1000000.0,,2795000000,388000000.0,-227000000.0,144000000,4395000000.0,20000000.0,27000000.0,628000000.0,3762000000.0,-9000000.0,0.07,282000000,-23000000.0,,,,,
1990-12-31,3152000000.0,3648000000.0,,-202000000.0,,5901000000.0,465000000.0,4259000000.0,11000000.0,11951000000.0,0.0,6050000000.0,,128000000.0,7411000000.0,,,1888000000.0,674000000.0,0.0,11000000,11000000.0,,-129000000.0,32000000.0,2105000000.0,262000000.0,2890000000.0,,593000000.0,0.0,-515000000.0,,2083000000.0,-31000000.0,,0.0,,13000000.0,,4540000000.0,-154000000.0,,,-661000000.0,721000000.0,110000000.0,110000000.0,,1831000000.0,100000000.0,176000000.0,,258000000.0,1685000000.0,,353000000.0,0.0,,2757000000,169000000.0,-371000000.0,81000000,4647000000.0,2000000.0,1000000.0,743000000.0,3986000000.0,-228000000.0,,209000000,0.0,,,,,
1991-03-31,3458000000.0,3616000000.0,800000000.0,-173000000.0,,5941000000.0,385000000.0,4099000000.0,-32000000.0,12070000000.0,0.0,6129000000.0,,152000000.0,7557000000.0,,,1996000000.0,615000000.0,0.0,-32000000,-32000000.0,-0.04,-28000000.0,-11000000.0,2133000000.0,262000000.0,3196000000.0,,537000000.0,0.0,-206000000.0,,2060000000.0,-30000000.0,,110000000.0,,-47000000.0,,4513000000.0,-76000000.0,800000000.0,,-661000000.0,719000000.0,85000000.0,85000000.0,,1766000000.0,114000000.0,174000000.0,,-198000000.0,1621000000.0,,221000000.0,,,2675000000,-39000000.0,-134000000.0,78000000,4620000000.0,-15000000.0,-25000000.0,712000000.0,3959000000.0,39000000.0,-0.04,230000000,,,,,,
1991-06-30,3791000000.0,3539000000.0,850000000.0,-90000000.0,,6006000000.0,387000000.0,4022000000.0,-17000000.0,12242000000.0,0.0,6236000000.0,,148000000.0,7813000000.0,,,2058000000.0,603000000.0,0.0,-17000000,-17000000.0,-0.02,17000000.0,18000000.0,2133000000.0,269000000.0,3522000000.0,,535000000.0,0.0,-301000000.0,,2088000000.0,-30000000.0,,0.0,,-28000000.0,,4429000000.0,-127000000.0,850000000.0,,-661000000.0,744000000.0,100000000.0,100000000.0,,1693000000.0,114000000.0,171000000.0,,-28000000.0,1595000000.0,,219000000.0,,,2691000000,101000000.0,-191000000.0,68000000,4668000000.0,-11000000.0,15000000.0,734000000.0,4007000000.0,-2000000.0,-0.02,216000000,,,,,,
1991-09-30,3833000000.0,3502000000.0,740000000.0,32000000.0,,5920000000.0,404000000.0,4050000000.0,-37000000.0,12278000000.0,0.0,6358000000.0,,150000000.0,7883000000.0,,,2194000000.0,582000000.0,0.0,-37000000,-37000000.0,-0.05,27000000.0,36000000.0,2106000000.0,263000000.0,3570000000.0,,554000000.0,0.0,-249000000.0,,1776000000.0,-30000000.0,,0.0,,-58000000.0,,4395000000.0,-87000000.0,740000000.0,,-661000000.0,763000000.0,100000000.0,100000000.0,,1717000000.0,122000000.0,169000000.0,,128000000.0,1650000000.0,,38000000.0,,,2358000000,206000000.0,-174000000.0,28000000,4656000000.0,-21000000.0,0.0,683000000.0,3995000000.0,-35000000.0,-0.05,178000000,,,,,,
1991-12-31,4139000000.0,3138000000.0,,98000000.0,,5570000000.0,735000000.0,3859000000.0,-318000000.0,12042000000.0,0.0,6472000000.0,,152000000.0,7998000000.0,,,2303000000.0,533000000.0,-14000000.0,-318000000,-318000000.0,,,50000000.0,1921000000.0,247000000.0,3892000000.0,,887000000.0,0.0,-288000000.0,,1925000000.0,-31000000.0,,0.0,,-423000000.0,,4044000000.0,20000000.0,,,-774000000.0,872000000.0,104000000.0,104000000.0,,1355000000.0,119000000.0,120000000.0,,541000000.0,1662000000.0,,-81000000.0,,,2458000000,373000000.0,-275000000.0,-354000000,4823000000.0,-105000000.0,4000000.0,842000000.0,4049000000.0,,,-202000000,,,,,,
1992-03-31,4118000000.0,3006000000.0,800000000.0,157000000.0,,5388000000.0,385000000.0,3871000000.0,-132000000.0,11918000000.0,0.0,6530000000.0,,166000000.0,7989000000.0,,,2389000000.0,481000000.0,0.0,-132000000,-132000000.0,-0.165,87000000.0,4000000.0,1843000000.0,253000000.0,3865000000.0,,551000000.0,0.0,-233000000.0,,1702000000.0,-15000000.0,,104000000.0,,-189000000.0,,3929000000.0,-121000000.0,800000000.0,,-774000000.0,899000000.0,97000000.0,97000000.0,,1356000000.0,123000000.0,122000000.0,,252000000.0,1697000000.0,,-42000000.0,,,2183000000,280000000.0,-123000000.0,-70000000,4793000000.0,-57000000.0,-7000000.0,818000000.0,4019000000.0,-6000000.0,-0.165,96000000,,,,,,
1992-06-30,4284000000.0,2923000000.0,815384615.0,-130000000.0,,5565000000.0,416000000.0,3971000000.0,-53000000.0,12082000000.0,0.0,6517000000.0,,166000000.0,8255000000.0,,,2434000000.0,563000000.0,1000000.0,-53000000,-53000000.0,-0.065,88000000.0,34000000.0,1755000000.0,245000000.0,4039000000.0,,532000000.0,0.0,-189000000.0,,2037000000.0,-15000000.0,,0.0,,-64000000.0,,3827000000.0,-128000000.0,815384615.0,,-774000000.0,912000000.0,75000000.0,75000000.0,,1378000000.0,129000000.0,119000000.0,,-117000000.0,1758000000.0,,192000000.0,,,2600000000,-41000000.0,-89000000.0,31000000,4738000000.0,-11000000.0,-22000000.0,835000000.0,3964000000.0,-37000000.0,-0.065,197000000,,,,,,
1992-09-30,4509000000.0,2946000000.0,766666667.0,-1382000000.0,,5754000000.0,406000000.0,3938000000.0,23000000.0,12315000000.0,0.0,6561000000.0,,165000000.0,8447000000.0,,,2528000000.0,723000000.0,0.0,23000000,23000000.0,0.03,-54000000.0,9000000.0,1760000000.0,247000000.0,4262000000.0,,571000000.0,0.0,-239000000.0,,1954000000.0,-15000000.0,,0.0,,42000000.0,,3868000000.0,223000000.0,766666667.0,,-774000000.0,860000000.0,123000000.0,123000000.0,,1296000000.0,119000000.0,116000000.0,,-42000000.0,1852000000.0,,129000000.0,0.0,,2677000000,152000000.0,-1534000000.0,152000000,4691000000.0,19000000.0,48000000.0,790000000.0,3917000000.0,6000000.0,0.03,317000000,,,,,,
1992-12-31,8133000000.0,643000000.0,,1218000000.0,,5537000000.0,512000000.0,4227000000.0,-2273000000.0,13935000000.0,3995000000.0,8398000000.0,,157000000.0,12360000000.0,,,4087000000.0,587000000.0,0.0,-56000000,-2273000000.0,,67000000.0,87000000.0,1675000000.0,19000000.0,4119000000.0,,669000000.0,0.0,-262000000.0,,2147000000.0,-15000000.0,,0.0,,-121000000.0,,1575000000.0,-455000000.0,,,-3888000000.0,795000000.0,119000000.0,119000000.0,,1553000000.0,126000000.0,357000000.0,,31000000.0,1772000000.0,,151000000.0,0.0,,2734000000,112000000.0,1106000000.0,-82000000,7842000000.0,-65000000.0,-4000000.0,902000000.0,3954000000.0,52000000.0,,75000000,,,,,,
1993-03-31,8053000000.0,677000000.0,755555556.0,19000000.0,,5839000000.0,396000000.0,4516000000.0,34000000.0,14167000000.0,3995000000.0,8328000000.0,,166000000.0,12569000000.0,,,4092000000.0,691000000.0,0.0,34000000,34000000.0,0.045,25000000.0,26000000.0,1654000000.0,23000000.0,4035000000.0,,562000000.0,0.0,-183000000.0,,2006000000.0,-15000000.0,,119000000.0,,44000000.0,,1598000000.0,-103000000.0,755555556.0,,-3888000000.0,800000000.0,86000000.0,86000000.0,,1677000000.0,111000000.0,361000000.0,,-86000000.0,1899000000.0,,41000000.0,1000000.0,,2697000000,108000000.0,-89000000.0,129000000,7763000000.0,10000000.0,-33000000.0,940000000.0,3875000000.0,-6000000.0,0.045,295000000,,,,,,
1993-06-30,8256000000.0,714000000.0,788235294.0,62000000.0,,5857000000.0,427000000.0,4430000000.0,67000000.0,14359000000.0,3995000000.0,8502000000.0,,168000000.0,12686000000.0,,,4306000000.0,775000000.0,0.0,67000000,67000000.0,0.085,87000000.0,23000000.0,1566000000.0,24000000.0,4237000000.0,,595000000.0,0.0,-347000000.0,,2130000000.0,-15000000.0,,0.0,,89000000.0,,1673000000.0,-220000000.0,788235294.0,,-3888000000.0,710000000.0,77000000.0,77000000.0,,1552000000.0,114000000.0,361000000.0,,14000000.0,1883000000.0,,131000000.0,14000000.0,,2905000000,204000000.0,-142000000.0,180000000,7723000000.0,22000000.0,-9000000.0,995000000.0,3835000000.0,-45000000.0,0.085,348000000,,,,,,
1993-09-30,7876000000.0,1202000000.0,807476636.0,177000000.0,,6272000000.0,425000000.0,4806000000.0,432000000.0,14825000000.0,3986000000.0,8553000000.0,,169000000.0,12682000000.0,,,4427000000.0,790000000.0,0.0,432000000,432000000.0,0.535,51000000.0,292000000.0,1515000000.0,23000000.0,3867000000.0,,594000000.0,0.0,-242000000.0,,2055000000.0,-15000000.0,,0.0,,378000000.0,,2143000000.0,-134000000.0,807476636.0,,-789000000.0,832000000.0,86000000.0,86000000.0,,1871000000.0,110000000.0,359000000.0,,-208000000.0,1956000000.0,,-52000000.0,12000000.0,,2845000000,332000000.0,-155000000.0,196000000,4556000000.0,-54000000.0,9000000.0,979000000.0,3767000000.0,-61000000.0,0.535,365000000,,,,,,
1993-12-31,7937000000.0,1234000000.0,,515000000.0,,6071000000.0,494000000.0,4671000000.0,119000000.0,14807000000.0,4018000000.0,8736000000.0,,165000000.0,12608000000.0,,,4556000000.0,952000000.0,-165000000.0,148000000,119000000.0,,-9000000.0,24000000.0,1525000000.0,24000000.0,3895000000.0,,659000000.0,0.0,-608000000.0,,2216000000.0,-16000000.0,,0.0,,212000000.0,,2199000000.0,-291000000.0,,,-4138000000.0,838000000.0,83000000.0,83000000.0,,1533000000.0,105000000.0,353000000.0,,518000000.0,2055000000.0,,-181000000.0,,,3168000000,761000000.0,-246000000.0,293000000,7965000000.0,64000000.0,-3000000.0,1083000000.0,3827000000.0,83000000.0,,458000000,,,,,,
1994-03-31,7757000000.0,1411000000.0,800000000.0,31000000.0,,6670000000.0,432000000.0,5087000000.0,192000000.0,15197000000.0,3762000000.0,8527000000.0,,169000000.0,12844000000.0,,,4406000000.0,972000000.0,0.0,192000000,192000000.0,0.24,-153000000.0,-3000000.0,1678000000.0,24000000.0,3971000000.0,,601000000.0,0.0,-301000000.0,,2314000000.0,-15000000.0,,83000000.0,,271000000.0,,2353000000.0,-193000000.0,800000000.0,,-4138000000.0,807000000.0,64000000.0,64000000.0,,1060000000.0,97000000.0,352000000.0,,-279000000.0,2311000000.0,,134000000.0,10000000.0,,3286000000,152000000.0,-121000000.0,371000000,7907000000.0,79000000.0,-19000000.0,1716000000.0,3769000000.0,70000000.0,0.24,540000000,-47000000.0,,,,,
1994-06-30,7723000000.0,1621000000.0,813559322.0,411000000.0,,6691000000.0,460000000.0,5150000000.0,240000000.0,15445000000.0,3751000000.0,8754000000.0,,170000000.0,12873000000.0,,,4683000000.0,1045000000.0,0.0,240000000,240000000.0,0.295,6000000.0,26000000.0,1672000000.0,26000000.0,3946000000.0,,630000000.0,0.0,-273000000.0,,2560000000.0,-15000000.0,,0.0,,340000000.0,,2572000000.0,-183000000.0,813559322.0,,-4138000000.0,805000000.0,173000000.0,173000000.0,,1593000000.0,101000000.0,353000000.0,,137000000.0,2347000000.0,,-165000000.0,3000000.0,,3605000000,541000000.0,-130000000.0,415000000,7856000000.0,100000000.0,109000000.0,1210000000.0,3718000000.0,-6000000.0,0.295,585000000,-30000000.0,,,,,
1994-09-30,7659000000.0,1763000000.0,812000000.0,601000000.0,,7057000000.0,378000000.0,5455000000.0,244000000.0,15913000000.0,0.0,8856000000.0,,170000000.0,13114000000.0,,441000000.0,333000000.0,835000000.0,0.0,237000000,244000000.0,0.2975,-59000000.0,27000000.0,1731000000.0,28000000.0,3892000000.0,,447000000.0,333000000.0,-365000000.0,4176000000.0,2674000000.0,-31000000.0,973000000.0,0.0,867000000.0,312000000.0,,2799000000.0,-511000000.0,820800000.0,,-4138000000.0,0.0,333000000.0,333000000.0,,1788000000.0,103000000.0,353000000.0,,53000000.0,2504000000.0,169000000.0,46000000.0,-1000000.0,69000000.0,3509000000,478000000.0,-162000000.0,388000000,,75000000.0,160000000.0,0.0,3697000000.0,11000000.0,0.3,585000000,-39000000.0,,,,,
1994-12-31,7841000000.0,1961000000.0,,20000000.0,,7409000000.0,740000000.0,5498000000.0,279000000.0,16250000000.0,3548000000.0,8841000000.0,,174000000.0,13339000000.0,,,4828000000.0,1664000000.0,0.0,302000000,279000000.0,,-109000000.0,41000000.0,1835000000.0,23000000.0,4270000000.0,,1194000000.0,0.0,-573000000.0,,2264000000.0,-30000000.0,,333000000.0,,402000000.0,,2911000000.0,-19000000.0,,,-4454000000.0,865000000.0,419000000.0,419000000.0,,1633000000.0,109000000.0,237000000.0,,42000000.0,2624000000.0,,77000000.0,0.0,,3928000000,586000000.0,-566000000.0,470000000,8230000000.0,100000000.0,86000000.0,1241000000.0,3776000000.0,91000000.0,,610000000,-124000000.0,,,,,
