date,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2002-09-30,11185934.0,1447055,,500967,-2.0,460025,-2620040,4833254.0,2523.0,,-141723,6280309,1601.0,7846654,-813565,7386629,-813565,-813565,-0.06524,108249.0,91204,,,-441899.0,,95009.0,1566345,,,4725005.0,-263194.0,246125,-270953,,2523.0,551071,,,246125,246125,,,0,997278,7385999,,,,,1823.0,11185934.0,170946,-165274,1008001.0,630,,254524.0,,-312669,,7385999.0,,-748896,216202,439054,-548548.0,1008001.0,40604.0,,263941.0,,-546583.0,,-0.06524,,,
2002-12-31,,123402,,-481687,,989736,-7455781,1769691.0,,,535487,1893092,15821.0,6022044,792156,5032307,792156,792156,,,463376,,,-1698651.0,,39036.0,4128952,,,1769691.0,,487324,-1709135,,,-514320,,,487324,487324,-428141.0,,0,246125,5029138,,,,,,,-10484,1163879,,3169,,578959.0,,545971,,5457279.0,,715,-4651,123402,511388.0,0.0,,,584920.0,,527209.0,,,,,
2003-03-31,,215275,,115992,1.0,1340198,-7571470,3795143.0,,,-2667901,4010418,2282.0,17317072,-116340,15976874,-116340,-116340,0.00882,45204.0,36410,,,0.0,,88656.0,13306654,,,3749939.0,,1215132,-2444911,,,118274,,,1215132,1215132,-458625.0,,0,487281,15973706,,,,,,,-2444911,3395753,,3168,,120815.0,,-222990,,16432331.0,,727851,-108933,209687,-118274.0,5588.0,,,1294535.0,,-115992.0,,0.00882,,,
2003-06-30,,222552,,317072,,1098508,-7887871,3750010.0,,,-662152,3972562,2431.0,17397315,-316256,16298807,-316256,-316256,0.01223,,40605,,,0.0,,70748.0,13424753,,,3750010.0,,987155,-369311,,,319503,,,987155,987155,-447385.0,,0,1215132,16295637,,,,,,,-369311,313348,,3170,,-120814.0,,-292841,,16743022.0,,-227986,20987,222552,-319503.0,0.0,,,434125.0,,-317072.0,,0.01223,,,
2003-09-30,,10560,,348467,,7981785,-8407934,1874891.0,,,-1127665,1885451,2294.0,24788522,-520545,16806737,-520545,-520545,0.01484,,84708,,,0.0,,33869.0,22903071,,,1874891.0,,7863208,-511047,,,350763,,,7863208,7863208,-449887.0,,0,987155,16803568,,,,,,,-511047,8124565,,3169,,0.0,,-616618,,17253455.0,,6876082,-219204,10560,-350763.0,0.0,,,9999576.0,,-348468.0,,0.01484,,,
2003-12-31,,2734681,,457513,-681340.0,9066972,-9389125,,,,-2217610,2734681,53301.0,28422921,-980757,19355949,-980757,-980757,,,37777,,,0.0,,47620.0,25688240,,,,,8981575,-1616686,,,510813,,,8981575,8981575,-487824.0,,0,7863208,18671433,,,,,,,-1616686,3335948,2198612.0,684516,,-1.0,,-600924,,19159257.0,,1118339,603883,536069,-510813.0,2198612.0,707683.0,,3012331.0,,-457512.0,,,,,
2004-03-31,51370028.0,2330549,,411175,1.0,7988856,-9846532,,,,-2382389,2330549,8811.0,28607849,-457407,20618993,-457407,-457407,-0.01314,,349733,,,0.0,,76245.0,26277300,,,,,7562878,-1271854,,,419986,,,7562878,7562878,-496636.0,,0,8981575,19934477,,,,,64902.0,51370028.0,-1271854,963692,2173000.0,684516,,0.0,,-1110535,,20431113.0,,-1418697,-719103,157549,-419986.0,2173000.0,790458.0,,963692.0,,-411175.0,,-0.01314,,,
2004-06-30,60797746.0,1778439,,968928,,16623596,-8456622,,,,-4892919,1778439,11466.0,36983124,-1077073,20359528,-1077073,-1077073,-0.01492,,314458,,,0.0,,63394.0,35204685,,,,,16245744,-4432588,,,982602,,,16245744,16245744,-392484.0,,0,7562878,19846513,,,,,48290.0,60797746.0,-4432588,15826058,1601589.0,513015,,0.0,,-460331,,20238997.0,,10933140,180342,176850,-982602.0,1601589.0,1112970.0,,15826058.0,,-968928.0,,-0.01492,,,
2004-09-30,63696700.0,2053695,,369647,,17239840,-9273854,,,,-5566447,2053695,14573.0,43758655,-317849,26518815,-317849,-317849,-0.0079,,79372,,,-659982.0,,171029.0,41704960,,,,,16147493,-6100566,,,383022,,,16147493,16147493,-422042.0,,0,16245744,25308491,,,,,51002.0,63696700.0,-5440584,5730680,1792999.0,196975,1013349.0,0.0,,-125863,,25730533.0,,-495749,142726,260695,-383022.0,1.0,1178694.0,,5730680.0,,-368449.0,,-0.0079,,,
2004-12-31,,943319,,1637073,681347.0,29972864,-13161349,50001.0,,,-15783017,993319,55418.0,75879034,-1950648,45906170,-1950648,-1950648,,,0,,,-1006913.0,,112117.0,74885715,,,,,13127463,-31911504,,,1692492,,,13127463,28127463,-271561.0,,0,16147493,45906171,,,,,524965.0,,-15904591,26917124,,-1,,-2362792.0,,121574,,46177732.0,,-4872806,713345,943319,-1692492.0,0.0,1877036.0,,29279916.0,15000000.0,-1637074.0,,,,,
2005-03-31,77095196.0,2523759,,896850,-2354497.0,58894509,-14299828,31013485.0,,,-14049340,33537244,100747.0,118228118,-1138479,59333609,-1138479,-1138479,-0.01,93000.0,2252750,,,-513548.0,,303894.0,84690874,,,30920485.0,,53983367,3563102,,,957597,,,53983367,53983367,-444120.0,,0,13127463,58173748,,,,,368302.0,77095196.0,-10923350,40418792,,1159861,,-1615861.0,15000000.0,-3125990,,58617868.0,,40855904,18769,2523759,-957597.0,0.0,11860061.0,,960613.0,,-856850.0,,-0.01,,,
2005-06-30,77095196.0,2526818,,2204908,2354498.0,46618432,-16626379,31124475.0,,,-13261491,33651293,116912.0,117226231,-2326551,70607799,-2326551,-2326551,0.03674,210000.0,0,,,513548.0,,3892141.0,83574938,,,30914475.0,,35746347,-16817691,546092.0,,2260821,,,35746347,35746347,-662424.0,,0,53983367,69409115,,,,,303816.0,77095196.0,-14932124,-734948,,1198684,,-99822.0,0.0,1670633,,70071539.0,,-15882006,-17851,2526818,-2260821.0,0.0,12938061.0,,132615.0,,-2143909.0,,0.03674,,,
2005-09-30,77274625.0,3245179,,530675,-1092161.0,32198566,-18578740,33428052.0,440913.0,,-21488955,36673230,197930.0,118809156,-1952361,86610591,-1952361,-1952361,-0.0293,373001.0,1204493,,,-2557488.0,,5191451.0,82135926,,-2319897.0,33055051.0,,16728592,-16707544,3506498.0,440913.0,914430,,,16728593,16728593,-1116140.0,,0,35746347,85286985,,,,,701254.0,77274625.0,-16549171,274560,,1323606,,26211.0,0.0,-4939784,,86403125.0,,-21372768,-2883705,3245179,-473517.0,0.0,13203061.0,,248348.0,,-275587.0,,-0.0293,,,
2005-12-31,,9513463,,3062804,1092159.0,22490497,-23602496,39041795.0,2285478.0,,-21822031,48555258,617155.0,126200469,-4029166,103709972,-4029166,-4029166,,2100000.0,966400,,,2584674.0,,3861990.0,77645211,,-5930587.0,33325939.0,,4518590,-12957272,9989355.0,2285478.0,5238676,,,4518590,4518590,-2141967.0,,0,16728592,102526615,,,,,758758.0,,-15541946,8124345,3000000.0,1183357,,1689472.0,0.0,-6280085,,104668582.0,,-12210003,-4687444,5323015,-2953198.0,4190448.0,10248025.0,,318042.0,,-2336043.0,,,,,
2006-03-31,86164386.0,11696000,,855000,662999.0,35398000,-23030000,39602001.0,12490000.0,,-3882000,51298000,2071000.0,139918000,573000,104520000,573000,573000,0.01003,2144001.0,723000,,,-622000.0,,4309000.0,88620000,,-1992000.0,33731000.0,-592000.0,11935000,-4979000,13463000.0,12490000.0,10167000,,300000.0,11935000,11935000,-5557000.0,,0,4519000,103477000,,300000.0,873000.0,,923000.0,79735914.0,-4357000,13057000,6000000.0,1043000,,0.0,,475000,,109034000.0,,7416000,-3066999,4506000,2323000.0,7190000.0,9978000.0,300000.0,10246000.0,,4394000.0,,0.01003,,,
2006-06-30,83289000.0,7324000,,2029000,1959001.0,39512000,-29308000,9798000.0,14700000.0,,-7630000,17122000,2191000.0,148577000,-287000,109065000,-287000,-287000,-0.00342,2190000.0,3203000,6945000.0,,-512000.0,,4653000.0,131455000,,-3528000.0,1134000.0,-1773000.0,13489000,-9223000,18091000.0,7755000.0,5566000,,160000.0,13489000,13489000,-8614000.0,,0,11935000,107965000,,-140000.0,-427000.0,,966000.0,83289000.0,-8711000,8559000,3000000.0,1100000,,1143000.0,,1081000,,116579000.0,,1554000,-5518001,3124000,2189000.0,4200000.0,306000.0,-140000.0,7519000.0,,4380000.0,,-0.00342,,,
2006-09-30,96483000.0,8974000,,1112000,-619000.0,41501000,-28473000,11205000.0,12165000.0,,-8447000,20179000,1664000.0,153692000,835000,112190999,835000,835000,0.00807,2235000.0,0,6255000.0,,2667000.0,,686000.0,133513000,,-6508000.0,1126000.0,130000.0,9419000,-2922000,25404000.0,5910000.0,4275999,,840000.0,9419000,9419000,-11102000.0,,0,13489000,111091000,,680000.0,1515000.0,,352000.0,93403000.0,-5589000,1710000,3000000.0,1099999,,-5000.0,,-2858000,,122193000.0,,-4070000,-6626000,4474000,1634001.0,4500000.0,297000.0,680000.0,725000.0,,3298001.0,,0.00807,,,
2006-12-31,,10460984,,1776886,1284836.0,42187312,-27616963,11358915.0,15300335.0,,-2780291,21819899,2195727.0,157210919,-5133220,115023607,856135,-5133220,,2989956.0,1314275,8777818.0,,-1533858.0,,6367929.0,135391021,,-3986250.0,1091939.0,-7764.0,4877672,-5026399,29549318.0,6522517.0,5075937,,1000086.0,4877672,4877672,-13489570.0,,0,9419000,113850116,,285418.0,1140695.0,,353073.0,,-3418715,-153195,3000258.0,1173491,,2871.0,,638424,,127339686.0,,-4541171,-3581171,5761010,1446580.0,-1.0,297021.0,160086.0,370846.0,,3642852.0,,,,,
2007-03-31,96523000.0,10383281,,2289282,583593.0,45546306,-26428200,13931668.0,16958030.0,,455255,24314950,2454908.0,161512314,1188866,115966008,1188866,1188866,0.00997,3122614.0,2258932,,,0.0,,7166146.0,137197364,,-902706.0,1102151.0,-307839.0,5271419,-2961325,30849809.0,16958030.0,14399931,,3700139.0,5271419,5271419,-16344953.0,,0,4877732,115966008,,834200.0,2023066.0,,291363.0,93726000.0,-2961325,-63302,3000347.0,0,,45092.0,,3416580,,132310961.0,,392820,-1522719,5683316,2558099.0,4699965.0,293097.0,699792.0,161290.0,,5013007.0,,0.00997,,,
2007-06-30,96347000.0,12853379,,2130623,1394574.0,51182947,-24539808,15487484.0,20797101.0,,-503251,28340862,2973287.0,169207604,1887822,118024657,1887822,1887822,0.02002,3317335.0,942028,12118389.0,,107284.0,,623000.0,140866742,,-741375.0,1212121.0,338792.0,7811971,-4616315,31290232.0,8678712.0,5737813,,4699793.0,7811971,8915867,-19018445.0,,0,5271419,118024657,,1136834.0,3024657.0,,306795.0,93881000.0,-4723599,2938326,5000000.0,0,,-861.0,,4220348,,137043102.0,,2541492,-3091435,6053077,2940899.0,1.0,292678.0,999813.0,585934.0,1103896.0,5914737.0,,0.02002,,,
2007-09-30,96954815.0,15080499,,1437915,927850.0,51831354,-24423425,16001207.0,15589656.0,,22840,31081707,2356067.0,173056953,116724,121225599,116724,116724,0.001231,4036023.0,-1,10189173.0,,0.0,,6199437.0,141975247,,-3114422.0,1307104.0,-300865.0,8938418,-3936749,34673979.0,5400483.0,4338901,,4850070.0,8938418,10038237,-21644194.0,,0,7811971,121225599,,291809.0,408533.0,,393439.0,94812318.0,-3984426,1055344,7000402.0,0,,43.0,47677.0,4007266,,142869793.0,,1125861,604293,5910646,1061582.0,-1006.0,292815.0,150868.0,271090.0,1099819.0,3417649.0,,0.001204,,,
2007-12-31,,10540731,,2402901,1044241.0,49734166,-27008358,24151646.0,20683055.0,,5950038,34692377,3215637.0,175829222,-259556,126095056,-259556,-259556,,4906857.0,1520492,13754457.0,,1007.0,,3039976.0,141136844,,-306445.0,1296949.0,177032.0,7756520,-3180002,36221931.0,6928598.0,5899906,,11444970.0,7756520,8951767,-26370960.0,,0,8938418,126095056,,1176703.0,917148.0,,335005.0,,-3264695,-7215032,,0,,32.0,83686.0,9214733,,152466016.0,,-1181309,4202188,7906555,1028692.0,561877.0,293022.0,1044502.0,676379.0,1195247.0,4244329.0,,,,,
2008-03-31,96731000.0,15993001,,2014193,1274423.0,60585205,-21303587,22283465.0,31030427.0,,9530475,38276465,4610674.0,187447264,5704287,126862059,5704287,5704287,0.06,4737048.0,1542725,,,0.0,,4724409.0,149170798,,954603.0,,-128317.0,18169534,-5219209,35040342.0,31030427.0,21607855,,11625352.0,18169534,19277729,-30719355.0,,0,7757364,126862059,,3449985.0,9154272.0,,187615.0,94739000.0,-5270730,831146,,0,,0.0,51521.0,14801205,,157581414.0,,10413143,3423739,7764168,9422572.0,4838146.0,292602.0,-200253.0,1359969.0,1108195.0,14033246.0,,0.06,,,
2008-06-30,97412000.0,10160165,,2405424,2049739.0,55204874,-15113491,16762307.0,32336641.0,,8054275,26922472,4811553.0,185264813,6191412,130059939,6191412,6191412,0.07,4090596.0,701582,14395205.0,,-51521.0,,483443.0,158342341,,-163604.0,,-481478.0,18392454,-7175406,34478727.0,17941436.0,7766532,,11882677.0,18393436,19541122,-34805935.0,,0,18169534,130059939,,3449936.0,9641348.0,,124791.0,95221000.0,-7144520,-7801766,,0,,0.0,,15198795,,164865874.0,,222604,2544621,7048246,10174904.0,3111919.0,,-389312.0,345838.0,1147686.0,15019161.0,,0.06,,,
2008-09-30,97183000.0,14712071,,2183185,364895.0,69221231,-6766557,15755754.0,37207140.0,,15011775,30467825,5437331.0,198821043,8345702,129599812,8345702,8345702,0.09,4175670.0,871771,16738375.0,,59182.0,,2597464.0,168353217,,3151697.0,,-38515.0,34548614,-4258274,30529826.0,20468765.0,9004227,,10859558.0,34548614,35222170,-39442931.0,,0,18392454,129599812,,3199624.0,11546266.0,,354.0,95714000.0,-4296821,1106834,,0,,0.0,,19308596,,169042743.0,,16156174,5458601,7929544,11464538.0,6782527.0,-404885.0,-310388.0,1104902.0,673556.0,16902772.0,,0.09,,,
2008-12-31,,13383298,,2477068,-1443958.0,76395981,2371932,16177730.0,32400936.0,,7704084,29561028,5863552.0,209267831,9139351,132871850,9139351,9139351,,4857519.0,635809,13487164.0,,-822.0,,4850107.0,179706803,,3449002.0,,-309010.0,43778620,-8327345,26666118.0,18913772.0,10117591,,11320211.0,43778620,44243947,-44716686.0,,0,34548614,132871850,,-458661.0,8679749.0,,-37745.0,,-8326638,1526774,,0,,0.0,115.0,16030722,,177588536.0,,9230151,-593490,10919124,8796181.0,2132268.0,-692637.0,3079989.0,1527127.0,465327.0,14659733.0,,,,,
2009-03-31,102960000.0,11694000,,2962000,-292000.0,147777000,11169000,16145000.0,35521000.0,,11490000,27839000,5095000.0,281814000,8797000,134037000,8797000,8797000,0.09,4576000.0,0,14139000.0,,0.0,,3331000.0,253975000,,2503000.0,,-537000.0,119003000,-5078000,23133000.0,21382000.0,9639000,,11070000.0,119003000,119862000,-48538000.0,0.0,0,43779000,134037000,,2670000.0,11467000.0,,0.0,101569000.0,-5194000,63618000,,0,,0.0,116000.0,16684000,1850000.0,182575000.0,,75224000,1627000,9588000,11743000.0,256000.0,-140000.0,0.0,63618000.0,859000.0,16562000.0,1300000.0,0.09,,,
2009-06-30,110439000.0,9535000,,3761000,1376000.0,166671000,24139000,17056000.0,41978000.0,,15735000,26591000,5694000.0,300990000,12969000,134319000,12969000,12969000,0.12,4613000.0,0,14732000.0,,0.0,,609000.0,274399000,,1034000.0,,1377000.0,133791000,-11708000,22049000.0,27246000.0,10135000,,11844000.0,133791000,140809000,-53788000.0,0.0,0,119003000,134319000,,5952000.0,18921000.0,,0.0,107604000.0,-5698000,5063000,,0,,0.0,990000.0,21433000,603000.0,188107000.0,,14788000,-790000,8541000,17111000.0,391000.0,0.0,42000.0,5063000.0,7018000.0,24615000.0,2250000.0,0.12,,,
2009-09-30,110229000.0,10676000,,2556000,-828000.0,183533000,38253000,17869000.0,41283000.0,-8773000.0,14232000,28545000,5368000.0,321128000,14115000,137595000,14115000,14115000,0.13,4577000.0,0,13582000.0,,0.0,,677000.0,292583000,,-170000.0,,1170000.0,140918000,-18358000,21891000.0,27701000.0,9717000,,12659000.0,140918000,157913000,,0.0,0,133791000,137595000,,5274000.0,19389000.0,,0.0,108560000.0,-8479000,2774000,,0,,0.0,,22711000,2261000.0,,,7127000,1465000,8065000,17984000.0,350000.0,97000.0,1013000.0,2774000.0,16995000.0,24757000.0,1200000.0,0.13,,,
2009-12-31,,13537000,,3005000,-1220000.0,210335000,58334000,26545000.0,52649000.0,-14309000.0,17572000,40082000,6626000.0,360282000,20081000,149947000,20081000,20081000,,5933000.0,0,15751000.0,,0.0,,2369000.0,320200000,,1757000.0,,2675000.0,160682000,-24458000,20026000.0,36898000.0,11293000,,20354000.0,160682000,186882000,-65862000.0,0.0,0,140918000,149947000,,8387000.0,28468000.0,,0.0,,-17207000,6533000,,0,,0.0,,34779000,1988000.0,215809000.0,,19764000,4764000,11179000,25605000.0,370000.0,0.0,6218000.0,6533000.0,26200000.0,35094000.0,1100000.0,,,,
2010-03-31,116044000.0,20284000,,3724000,1171000.0,191887000,68910000,44432000.0,46651000.0,,-26580000,64716000,5682000.0,450369000,14005000,258482000,14005000,14005000,0.12,6040000.0,0,13299000.0,,0.0,,3996000.0,385653000,,-1629000.0,,-1298000.0,150090000,-37760000,21660000.0,33352000.0,11447000,,38113000.0,150090000,164236000,-69382000.0,,0,160682000,258482000,,6874000.0,20879000.0,,,113925000.0,-50114000,2747000,,0,,0.0,12054000.0,23534000,5121000.0,327864000.0,,-10592000,1574000,11312000,21905000.0,422000.0,,-425000.0,2747000.0,14146000.0,27587000.0,1500000.0,0.12,,,
2010-06-30,116732000.0,20210000,,7719000,-290000.0,207100000,80979000,42352000.0,47494000.0,,5577000,62562000,5182000.0,475245000,12078000,268145000,12078000,12078000,0.11,6078000.0,0,13540000.0,,0.0,,4195000.0,412683000,,-605000.0,,203000.0,145599000,-30643000,22362000.0,33954000.0,14888000,,36028000.0,145599000,175662000,-74242000.0,,0,150090000,268145000,,7501000.0,19579000.0,,,114965000.0,-15314000,6211000,,0,,-3438000.0,-12054000.0,20891000,7248000.0,342387000.0,,-4491000,-618000,12550000,19066000.0,412000.0,,-800000.0,9649000.0,30063000.0,24248000.0,5312000.0,0.1,,,
