date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1997-06-30,11100000,22800000,6300000,149200000,6300000,90600000.0,,1963100000,0.035,,700000.0,,,532300000,,-100000,795100000,,83900000,83900000,3900000,,0,,,10600000.0,193846154.0,,53500000,1508300000,6300000,,144600000,1502300000,119000000,1300000,,111100000.0,,134200000,1200000.0,13700000.0,874300000,,0.0325,,-6000000,-100000,24900000,,-4600000,0,80100000,30300000,101100000,964900000,-400000.0,1383300000,180000000.0,76200000,543400000,,65500000,,10300000,-230100000,4000000,2064200000,21000000,-4600000,-121900000,-45600000.0,,,,,
1997-09-30,10800000,-23900000,16100000,-78900000,16100000,93600000.0,,2111600000,,,2300000.0,,,589800000,,0,1017800000,,60000000,60000000,3800000,,0,,,10600000.0,,,52800000,1730700000,16100000,,-82100000,1745000000,120300000,-1800000,,115000000.0,,-91800000,-11000000.0,13600000.0,1036500000,,,,14300000,7800000,40800000,,4500000,0,70700000,-222300000,107700000,1130100000,,1624700000,,66900000,600600000,,67500000,,26400000,-213900000,10300000,2219300000,37000000,-3200000,50500000,-47500000.0,,,,,
1997-12-31,10500000,-2900000,14500000,-193300000,14500000,93800000.0,,2148600000,0.0775,,500000.0,,,781000000,,200000,1034100000,,57100000,57100000,3900000,,60000000,,,12700000.0,193333333.0,,49200000,1750500000,14500000,,-195900000,1780100000,115400000,0,,116200000.0,,-215600000,1000000.0,13300000.0,865200000,,0.075,,29600000,0,40200000,,-1300000,0,69700000,-16300000,106000000,959000000,-100000.0,1664700000,187096774.0,65800000,791500000,,66200000,,23800000,-199400000,9300000,2254600000,36300000,-2600000,191700000,-50000000.0,,,,,
1998-03-31,10700000,-9000000,16200000,146800000,16200000,92700000.0,,2078900000,0.085,,1500000.0,,,630500000,,0,959300000,,48200000,48200000,4100000,,0,,,12000000.0,190588235.0,,52900000,1583200000,16200000,,144200000,1631200000,118300000,-4200000,,118400000.0,,120100000,1000000.0,43000000.0,849300000,,0.085,,48000000,0,42700000,,-2500000,0,74800000,74800000,113400000,942000000,200000.0,1512900000,190588235.0,70700000,641200000,,65400000,,26600000,-183200000,10400000,2192300000,38600000,-2600000,-153200000,-53000000.0,,,,,
1998-06-30,10900000,3400000,16500000,87700000,16500000,113000000.0,,1994800000,0.0875,,2900000.0,,,541600000,,0,876100000,,51600000,51600000,4300000,,0,,,9600000.0,194117647.0,,64600000,1507200000,16500000,,85000000,1576000000,128900000,4200000,,120400000.0,,63700000,3000000.0,70400000.0,841700000,,0.085,,68800000,100000,40900000,,-2600000,0,63100000,83200000,99700000,954700000,0.0,1447100000,188571429.0,59000000,552500000,,64300000,,27000000,-166800000,10500000,2094500000,36600000,-2700000,-81800000,-56100000.0,,,,,
1998-09-30,8000000,-3100000,3300000,84700000,3300000,142000000.0,,2023600000,,,1800000.0,,,453800000,,-26900000,870200000,,48500000,48500000,4300000,,0,,,7800000.0,,,73200000,1477000000,3300000,,82200000,1552300000,134000000,-100000,,118500000.0,,60100000,14200000.0,41400000.0,873200000,,,,75300000,-100000,44400000,,-1700000,0,63700000,5900000,103800000,1015200000,-200000.0,1418300000,,59400000,461800000,,60800000,,5400000,-163400000,2100000,2127400000,40100000,-2500000,-86100000,-57700000.0,,,,,
1998-12-31,8700000,-4100000,17800000,-187600000,17800000,151200000.0,,2067600000,0.0925,,3200000.0,,,640300000,,-100000,1066600000,,44400000,44400000,4200000,,48500000,,,8100000.0,192432432.0,,79300000,1708700000,17800000,,-193800000,1806900000,139200000,0,,118700000.0,,-214300000,4000000.0,34700000.0,908500000,,0.0925,,98200000,100000,41100000,,-6100000,0,65200000,-196300000,102100000,1059700000,100000.0,1667700000,192432432.0,61000000,649000000,,59900000,,28700000,-145600000,10900000,2169700000,36900000,-6200000,189700000,-58800000.0,,,,,
1999-03-31,8600000,74800000,20400000,195500000,20400000,151100000.0,,2064300000,0.105,,4300000.0,,,518600000,,100000,942200000,,119100000,119100000,4200000,,0,,,9500000.0,199024390.0,,77900000,1595600000,20400000,,192000000,1719500000,137700000,0,,121400000.0,,164000000,5400000.0,40200000.0,917300000,,0.1025,,123900000,-100000,46500000,,-3500000,0,69300000,124400000,111600000,1068400000,-200000.0,1581800000,194285714.0,65100000,527200000,,59800000,,32900000,-125200000,12500000,2175900000,42300000,-3500000,-117300000,-61600000.0,,,,,
1999-06-30,8700000,-73100000,20000000,-126300000,20000000,135900000.0,,2157300000,0.1025,,800000.0,,,575200000,,100000,1205600000,,46100000,46100000,4400000,,0,,,6400000.0,195121951.0,,59300000,1769700000,20000000,,-127100000,1914900000,119000000,-600000,,123800000.0,,-157400000,5900000.0,58300000.0,1049900000,,0.1025,,145200000,-3500000,43000000,,-3700000,0,65400000,-263500000,104000000,1185800000,,1795900000,195121951.0,61200000,583900000,,59700000,,32300000,-105200000,12300000,2261300000,38600000,-800000,56900000,-64100000.0,,,,,
1999-09-30,8300000,13400000,9300000,121400000,12700000,151700000.0,,3043000000,,,700000.0,,,558700000,,-18400000,1243200000,,59500000,59500000,7100000,600000.0,0,,,15600000.0,,,76200000,1894300000,9300000,,116100000,2060600000,140600000,-100000,,134800000.0,,94700000,-4000000.0,4800000.0,1175600000,-200000.0,,,166300000,100000,63100000,,-3500000,59500000,101500000,46300000,157500000,1327300000,,1920000000,,94400000,567000000,,64400000,,25400000,-94600000,12700000,3200500000,56000000,-5300000,-104500000,-70400000.0,,,,,
1999-12-31,8300000,-2600000,21600000,-160800000,21600000,159500000.0,,2719200000,0.105,,400000.0,,,720400000,,-100000,1442900000,,56900000,56900000,4200000,600000.0,59500000,,,10900000.0,205714286.0,,74000000,2155300000,21600000,,-164700000,2344500000,138600000,-200000,,133200000.0,,-192500000,5200000.0,5200000.0,1267100000,-100000.0,0.105,,189200000,100000,50000000,,-3800000,56900000,74400000,-199700000,120200000,1426600000,-100000.0,2205900000,205714286.0,70200000,728700000,,64600000,,34800000,-73000000,13200000,2839400000,45800000,-3900000,162000000,-68600000.0,,,,,
2000-03-31,8980000,-7657000,24299000,245687000,24299000,154697000.0,,2710183000,0.1175,,104000.0,,,469398000,,0,1272795000,,49240000,49240000,4583000,580000.0,56900000,,,11922000.0,204845880.0,,69226000,1887904000,24299000,,241902000,2101696000,132626000,85000,,134223000.0,,209082000,5738000.0,4550000.0,1254829000,,0.1175,,213792000,86000,55697000,,-2443000,49240000,80906000,170058000,132020000,1409526000,,1969070000,204845880.0,76323000,478378000,,63400000,,39192000,-48734000,14893000,2842203000,51114000,-3785000,-250901000,-70823000.0,,,,,
2000-06-30,8628000,-13080000,25120000,-72782000,25120000,166601000.0,,2801860000,0.1225,595397000.0,4295000.0,,,532879000,,1123000,1629073000,,36160000,36160000,4126000,584000.0,49240000,,,8383000.0,208342756.0,,71702000,2157637000,25120000,,-77457000,2402780000,136586000,-59000,,139071000.0,,-112237000,4918000.0,5564000.0,1449529000,,0.12,,245143000,-3406000,51902000,,-8079000,36160000,82070000,-356278000,129846000,1616130000,,2266194000,206333252.0,77944000,541507000,,64884000,,40516000,-23614000,15396000,2931706000,47776000,-4675000,67781000,-74187000.0,,,,,
2000-09-30,11587000,84658000,27996000,204475000,27996000,167336000.0,,2892884000,,,7125000.0,,,413217000,,0,1570504000,,120818000,120818000,4511000,588000.0,36160000,,,10654000.0,,,72986000,2176273000,27996000,,200216000,2458567000,137948000,-68000,,140766000.0,,159637000,9968000.0,5336000.0,1584133000,,,,282294000,-254000,60320000,,-7167000,120818000,83037000,58569000,138846000,1751469000,,2320619000,,78526000,424804000,,64962000,,45155000,4382000,17159000,3031730000,55809000,-4259000,-112650000,-75804000.0,,,,,
2000-12-31,11626000,41542000,26191000,-234129000,26191000,172737000.0,,3169130000,0.125,,9840000.0,,,693152000,,-774000,1917605000,,162360000,162360000,4526000,592000.0,120818000,,,10876000.0,218312000.0,,81207000,2632984000,26191000,,-239572000,2955757000,148008000,-8935000,,144413000.0,,-272308000,3130000.0,4854000.0,1755469000,,0.1225,,322773000,0,58420000,,-5178000,162360000,84171000,-347101000,138065000,1928206000,,2807749000,209416000.0,79645000,704778000,,66801000,,42244000,30573000,16053000,3307195000,53894000,-5443000,280849000,-77612000.0,,,,,
2001-03-31,178715000,-36092000,31516000,173706000,31516000,0.0,62990000.0,3329829000,0.15,676654000.0,7669000.0,,,302432000,,-1801000,1820202000,,126268000,126268000,5298000,594000.0,162360000,,,11793000.0,237396000.0,,87791000,2418973000,31516000,,166904000,2784410000,156945000,-415000,,149803000.0,,128746000,4235000.0,0.0,1756364000,,0.1425,,365437000,-3282000,69724000,,2954000,126268000,86743000,90717000,151169000,1937826000,,2627465000,210804000.0,82462000,481147000,,69154000,,50832000,62089000,19316000,3480998000,64426000,-6802000,-212752000,-80649000.0,,,,,
2001-06-30,10250000,-31970000,31506000,-193372000,31506000,0.0,76867000.0,3373990000,0.15,677180000.0,4084000.0,,,640934000,,-2909000,1955385000,,94298000,94298000,4786000,596000.0,126268000,,,7361000.0,238312000.0,,85806000,2485019000,31506000,,-199266000,2887944000,156815000,-83000,,153550000.0,,-241775000,4808000.0,0.0,1639876000,,0.1425,,402925000,-6512000,65882000,,-12365000,94298000,83843000,-135183000,144939000,1833835000,,2731129000,211648000.0,79638000,651184000,,71009000,,50826000,93595000,19320000,3518929000,61096000,-5894000,173767000,-82541000.0,,,,,
2001-09-30,48317000,203328000,35889000,213791000,35889000,16655000.0,361599000.0,5617654000,,2142663000.0,9242000.0,,,1597295000,,-15775000,5056257000,,297626000,297626000,10104000,1035000.0,94298000,,,15647000.0,,,0,7452681000,35889000,2466848000.0,208567000,10291245000,2778743000,-28704000,,378196000.0,,130434000,12161000.0,0.0,4991884000,-336000.0,,,2838564000,3152000,103173000,,132079000,297626000,173508000,-334574000,266577000,5532453000,,7512502000,,167015000,1920228000,,289569000,,58931000,128178000,23042000,5884231000,93069000,-5224000,-142542000,-88627000.0,,,,,
2001-12-31,43926000,-40937000,67883000,-412699000,67883000,0.0,408141000.0,10597347000,0.1625,2106068000.0,9509000.0,,,1974357000,,-9228000,5778905000,-2595000.0,256689000,256689000,16246000,1039000.0,297626000,,,30975000.0,444728000.0,15000000.0,0,8015267000,67883000,2476857000.0,-422768000,10933320000,2774570000,-6821000,,379193000.0,,-532500000,17795000.0,0.0,5122086000,258000.0,0.1575,,2918053000,-8240000,175040000,,-18256000,256689000,312639000,-722648000,471433000,5722200000,,8158750000,414944000.0,297592000,2293067000,,279957000,,118591000,193466000,47078000,11068780000,158794000,-10069000,390018000,-99236000.0,,,,,
2002-03-31,43260000,207126000,91874000,644003000,91874000,50440000.0,402945000.0,10429774000,0.22,2061331000.0,31025000.0,,,1508889000,,-4387000,5295924000,-2607000.0,463815000,463815000,15904000,1049000.0,256689000,,,32734000.0,446816000.0,30000000.0,0,7550493000,91874000,2464430000.0,633073000,10600219000,2761318000,-147000,,393655000.0,,531032000,-11758000.0,0.0,5076767000,-370000.0,0.21,,3049726000,-5639000,211419000,,-15104000,463815000,318978000,483110000,514493000,5723392000,,7838901000,417616000.0,304576000,1827101000,,277475000,,158394000,282733000,62891000,10944267000,195515000,-10930000,-421773000,-116180000.0,,,,,
2002-06-30,30678000,-100409000,90224000,-103226000,90224000,58491000.0,416712000.0,11110898000,0.215,2131273000.0,34551000.0,,,1493511000,,-7957000,5174024000,-2640000.0,363406000,363406000,16167000,1059000.0,463815000,,,27308000.0,451564000.0,45000000.0,0,7242623000,90224000,2454820000.0,-122866000,10432694000,2745198000,-5849000,,407454000.0,,-223937000,-1989000.0,0.0,4764316000,-562000.0,0.205,,3190071000,-2087000,207057000,,-23245000,363406000,319039000,121900000,509929000,5443314000,,7687496000,421496000.0,304299000,1799309000,,279785000,,155625000,370315000,61771000,11620827000,190890000,-19640000,26062000,-127669000.0,,,,,
2002-09-30,40663000,299934000,94960000,407848000,94960000,0.0,465790000.0,11072301000,,2222156000.0,26424000.0,,,1756494000,,-8319000,5437878000,-2658000.0,663340000,663340000,18261000,1066000.0,363406000,,,49717000.0,,60819000.0,0,7896674000,94960000,2568397000.0,384328000,11213012000,2863375000,14529000,,422500000.0,,226357000,41805000.0,0.0,5367837000,-5943000.0,,,3316338000,11836000,215734000,,-146209000,663340000,331146000,-244557000,528619000,6099517000,,8349637000,,314184000,1797157000,,282578000,,139437000,462619000,55366000,11600920000,197473000,-23520000,38295000,-139922000.0,,,,,
2002-12-31,42034000,-296564000,92739000,-666349000,92739000,0.0,531776000.0,11913108000,0.2175,2328398000.0,9823000.0,,,1991706000,,1198000,6381477000,-2674000.0,366776000,366776000,19045000,1070000.0,663340000,,,34385000.0,453608000.0,210998000.0,9351000,8539148000,92739000,2572244000.0,-682836000,11959172000,2863401000,-4525000,,432645000.0,,-805606000,18417000.0,0.0,5542195000,-5944000.0,0.21,,3420024000,0,206900000,,-17839000,366776000,333570000,-943599000,521425000,6505408000,,9095771000,427160000.0,317682000,2033740000,,281806000,,153287000,552684000,60548000,12434533000,187855000,-16487000,387624000,-150839000.0,,,,,
2003-03-31,42571000,-140820000,116414000,51078000,116414000,0.0,522144000.0,11581352000,0.265,2163665000.0,2843000.0,,,2000790000,,-9738000,6898825000,-2758000.0,225956000,225956000,18743000,1103000.0,366776000,,,38399000.0,463024000.0,60948000.0,0,8631685000,116414000,2705247000.0,32403000,12323639000,3018982000,-387000,,452468000.0,,-102090000,-349000.0,0.0,5782858000,-5944000.0,0.2575,,3691954000,0,255295000,,-49954000,225956000,344637000,-508777000,581189000,6588324000,,9304657000,437752000.0,323563000,2043361000,,286365000,,192420000,666340000,76006000,12162541000,236552000,-18675000,-141944000,-166103000.0,,,,,
2003-06-30,45258000,-1133000,112546000,-177133000,112546000,0.0,495644000.0,11860292000,0.255,2500776000.0,22245000.0,,,2238790000,,-5862000,6729477000,-2765000.0,224823000,224823000,18241000,1118000.0,225956000,,,37234000.0,467096000.0,60907000.0,0,8722592000,112546000,2808472000.0,-192861000,12609772000,3139535000,-1384000,,483553000.0,0.0,-373129000,47903000.0,0.0,5588138000,-5943000.0,0.2475,,3887180000,0,246447000,,-76458000,224823000,332173000,178348000,560379000,6438544000,,9470237000,441328000.0,315833000,2284048000,,309906000,,185110000,776121000,72564000,12420671000,228206000,-15728000,252458000,-173647000.0,,,,,
2003-09-30,55982000,575213000,119530000,1147219000,119530000,47796000.0,436089000.0,12055417000,,2295437000.0,7653000.0,,,1722724000,,-457000,5733837000,-2798000.0,800036000,800036000,24414000,1120000.0,224823000,,,34726000.0,,61430000.0,0,8034808000,119530000,2827701000.0,1107555000,12040125000,3181607000,-2594000,,538657000.0,,923219000,61186000.0,0.0,5393769000,-14217000.0,,,4005317000,0,254907000,,-57558000,800036000,353673000,995640000,584166000,6256102000,,8858518000,,333360000,1778706000,,353170000,,195310000,892853000,75780000,12639583000,230493000,-39664000,-514448000,-185487000.0,,,,,
2003-12-31,62257000,-516811000,108474000,-454398000,108474000,0.0,505421000.0,12827939000,0.2425,2623384000.0,,,,1703403000,,-2587000,5658862000,-2802000.0,283225000,283225000,19609000,1122000.0,800036000,,,31507000.0,472116000.0,66392000.0,0,7689114000,108474000,2824798000.0,-505914000,11809978000,3213617000,6577000,,590481000.0,,-599103000,14759000.0,0.0,5024801000,-14216000.0,0.235,,4120864000,0,230085000,,-51639000,283225000,316698000,74975000,527174000,5923454000,6420000.0,8596361000,446836000.0,299880000,1765660000,,388819000,,176382000,998525000,67908000,13355113000,210476000,-51516000,-10774000,-201662000.0,,,,,
2004-03-31,64422000,380539000,142152000,476416000,142152000,0.0,495034000.0,12781125000,0.3175,2848634000.0,,,,1398548000,,3663000,5606439000,-2805000.0,663764000,663764000,21363000,1123000.0,283225000,,,30871000.0,471784000.0,356126000.0,0,8164103000,142152000,2864981000.0,442597000,12427058000,3278818000,-6438000,,622341000.0,,297699000,26806000.0,0.0,5499671000,-14049000.0,0.3075,,4262955000,0,279711000,,-79406000,663764000,324100000,53927000,582448000,6701133000,,9148240000,447388000.0,305482000,1462970000,,413837000,,231140000,1137872000,88988000,13363573000,258348000,-33819000,-16471000,-208504000.0,,,,,
2004-06-30,61817000,239407000,125775000,639354000,125775000,0.0,488843000.0,12495865000,0.28,2391514000.0,6036000.0,,,1379722000,,-18683000,5597240000,,903171000,903171000,22916000,1124000.0,663764000,,,26845000.0,472624000.0,76350000.0,0,7849113000,125775000,2890514000.0,580758000,12242551000,3333457000,778000,,659717000.0,-8097000.0,447558000,19047000.0,0.0,5458916000,-14049000.0,0.2725,,4393438000,0,272956000,,-80846000,903171000,325689000,9199000,575729000,6407574000,,8909094000,447824000.0,305883000,1441539000,,442943000,,204512000,1260838000,78737000,13071594000,250040000,-58596000,-319101000,-216774000.0,,,,,
2004-09-30,53939000,-31828000,91989000,163709000,91989000,0.0,513730000.0,12894843000,,2260973000.0,573000.0,,,1157111000,,251000,5135830000,,871343000,871343000,23200000,1125000.0,903171000,,,23482000.0,,281360000.0,0,7314958000,91989000,2893350000.0,118362000,11654003000,3358614000,-2307000,,709911000.0,-137275000.0,59077000,-11728000.0,0.0,4947037000,-13577000.0,,,4339045000,15602000,194770000,,-30331000,871343000,322261000,778200000,493831000,6103908000,,8295389000,,301737000,1211050000,,465264000,,148339000,1350046000,56350000,13388674000,171570000,-45347000,-165206000,-244647000.0,,,,,
