date,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGrossProfit,quarterlyInventory,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1999-11-30,,418300000,55000000,4400000,244900000,92700000,,,,-0.015,266000000,489000000,-2200000,337600000,-3100000,684300000,-26200000,-3100000,-3100000,3000000,6500000.0,,48282000.0,431800000,346700000,7000000,-5000000,-100000.0,,5800000.0,0,5600000.0,57200000,280200000,80600000.0,59400000,-5000000,,,7000000,227200000,-0.015,-1900000,7000000,35700000,-11700000,158200000,2800000.0,,38800000,900000,-9200000,-24500000.0,,,-14500000,,251700000.0,,-15300000,61800000,-300000.0,-28700000,,346700000.0,24900000.0,2200000,,48282000.0,,,,,,,,
2000-02-29,,425670000,61400000,4041000,196123000,134383000,,,,,249825000,504284000,465000,330506000,-1682000,675495000,45212000,-1682000,-1682000,2844000,7249000.0,,,438378000,344989000,9981000,11596000,-34749000.0,,-3409000.0,100000,5877000.0,65906000,283592000,121257000.0,65441000,-2697000,,,9981000,211856000,,-1015000,9981000,7000000,29405000,93161000,3262000.0,,37969000,-44000,-24401000,-27713000.0,,,15807000,,239569000.0,,9588000,75959000,-175000.0,3002000,,344989000.0,27003000.0,4506000,,,,,,,,,,
2000-05-31,,469904000,59444000,4576000,120570000,238437000,,,,0.065,249182000,625741000,26018000,359007000,13944000,719086000,-13096000,13944000,13944000,3125000,7183000.0,,51038000.0,535703000,360079000,11370000,-3933000,0.0,,-29883000.0,0,6121000.0,90038000,313475000,225133000.0,64020000,22490000,,,11370000,212083000,0.07,8546000,11370000,9981000,-3933000,2624000,3528000.0,,37099000,0,14485000,-31419000.0,,,-9163000,,243502000.0,,-28460000,93015000,777000.0,1389000,1146000.0,360079000.0,24931000.0,30594000,,53836000.0,,,,,,,,
2000-08-31,,408245000,61348000,4570000,190442000,76979000,,,,0.075,235548000,673561000,29201000,267421000,16271000,643793000,66381000,16271000,16271000,3019000,7097000.0,,51100000.0,578442000,376372000,6890000,8091000,-1325000.0,,26672000.0,0,6121000.0,95119000,287603000,63761000.0,65918000,26243000,,,6890000,198794000,0.08,9972000,6890000,11370000,-2620000,82402000,2958000.0,,36754000,22000,-81572000,-34793000.0,,,69001000,,233587000.0,,44935000,76987000,3052000.0,-4480000,,376372000.0,31053000.0,33771000,,53912000.0,,,,,,,,
2000-11-30,,440355000,56809000,4904000,227802000,57189000,,,,0.035,228638000,561693000,14870000,284991000,7568000,668993000,-12856000,7568000,7568000,2813000,6934000.0,,51140000.0,485110000,384002000,7509000,1873000,0.0,,-34550000.0,0,7519000.0,76583000,322153000,42736000.0,61713000,12206000,,,7509000,192766000,0.04,4638000,7509000,6890000,-1599000,114469000,2664000.0,,35872000,-1039000,10003000,-34793000.0,,,-11257000,,227559000.0,,-26767000,79989000,2906000.0,619000,,384002000.0,33344000.0,19774000,,54040000.0,,,,,,,,
2001-02-28,,492907000,66566000,4066000,225937000,93513000,,,,,218046000,639996000,15503000,319450000,7781000,710953000,-33457000,7781000,7781000,0,6836000.0,16154000.0,,553861000,391503000,8802000,-2684000,0.0,134662000.0,-24984000.0,18116000,3620000.0,86135000,347137000,83057000.0,70632000,12543000,,,8802000,192158000,,4762000,8802000,7509000,-2682000,109138000,2960000.0,,25888000,0,34752000,-41866000.0,,,-30775000,,234024000.0,,-53432000,82483000,2023000.0,1293000,,391503000.0,0.0,19569000,,,,,,,,,,
2001-05-31,,578697000,58550000,4693000,271112000,103357000,,,,0.125,216705000,796820000,45410000,374469000,26572000,795402000,-22437000,26572000,26572000,0,6854000.0,19565000.0,53288000.0,688167000,420933000,10515000,-3347000,0.0,164676000.0,-55838000.0,4693000,3573000.0,108653000,402975000,92930000.0,63243000,42859000,,,10515000,191515000,0.13,16287000,10515000,8802000,-3347000,123602000,2551000.0,,25190000,-187000,24150000,-41866000.0,,,-19090000,,233381000.0,,-51636000,108455000,1281000.0,1713000,,420933000.0,0.0,50103000,,53288000.0,,,,,,,,
2001-08-31,,574042000,62262000,4612000,234118000,11324000,,,,0.125,120411000,851363000,46264000,245442000,27391000,694453000,43576000,27391000,27391000,0,6971000.0,24450000.0,54782000.0,742837000,449011000,24557000,90961000,0.0,160624000.0,16072000.0,0,3527000.0,108526000,386903000,826000.0,62262000,44178000,,,24557000,96630000,0.135,16787000,24557000,10515000,-5383000,89141000,2086000.0,,23781000,687000,-125878000,-41866000.0,,,48959000,,138496000.0,,15141000,99176000,1815000.0,14042000,,449011000.0,0.0,50876000,,54782000.0,,,,,,,,
2001-11-30,,531281000,61215000,3934000,181539000,12345000,,,,0.085,130601000,774324000,29811000,193884000,18443000,661882000,29922000,18443000,18443000,0,7806000.0,24360000.0,72584000.0,683298000,467998000,10014000,-14181000,0.0,168198000.0,35893000.0,0,3713000.0,91026000,351010000,826000.0,61215000,29747000,,,10014000,107535000,0.09,11304000,10014000,24557000,-14181000,44121000,64000.0,,23066000,555000,-44465000,-41866000.0,,,44103000,,149401000.0,,23052000,93219000,-1326000.0,-14543000,,467998000.0,0.0,33745000,,76632000.0,,,,,,,,
2002-02-28,,577703000,70262000,3101000,223392000,11351000,,,,,142519000,779158000,29929000,234743000,18396000,720222000,-49837000,18396000,18396000,0,8416000.0,25775000.0,,678967000,485479000,3286000,-15885000,0.0,173268000.0,-48074000.0,0,2935000.0,100191000,399084000,,70262000,29672000,,,3286000,120976000,,11276000,3286000,10014000,-18506000,88448000,257000.0,,21543000,-3013000,40488000,-50087000.0,,,-31331000,,171063000.0,,-54320000,87160000,1392000.0,-6728000,,485479000.0,0.0,33030000,,,,,,,,,,
2002-05-31,,663319000,68550000,4156000,201172000,111630000,,,,0.135,166899000,1001564000,49353000,312802000,29238000,830218000,-19391000,29238000,29238000,0,9186000.0,22694000.0,73924000.0,883661000,517416000,61445000,-28527000,0.0,54907000.0,-18377000.0,0,2444000.0,117903000,417461000,100000000.0,68550000,48327000,,,61445000,145572000,0.14,19089000,61445000,3286000,-28533000,65085000,1026000.0,,21327000,907000,77544000,-50087000.0,,,9142000,,195659000.0,,-23676000,91479000,-586000.0,58159000,,517416000.0,0.0,53509000,,77652000.0,,,,,,,,
2002-08-31,,650994000,70836000,4291000,159643000,112127000,,,,0.15,174928000,1076083000,53377000,271770000,31714000,825922000,72461000,31714000,31714000,0,10286000.0,33206000.0,205976000.0,951870000,554152000,74690000,-11529000,0.0,80774000.0,56615000.0,0,1841000.0,124213000,360846000,100000000.0,70836000,52420000,,,74690000,152946000,0.155,20706000,74690000,61445000,-11529000,6032000,957000.0,,21982000,-163000,-59216000,-50087000.0,,,83990000,,203033000.0,,47427000,97388000,500000.0,13245000,,554152000.0,0.0,57668000,,209084000.0,,,,,,,,
2002-11-30,,654933000,101810000,3548000,167161000,114044000,,11149000.0,,0.07,166453000,936819000,5130000,281205000,14717000,821386000,-51647000,14717000,14717000,0,10800000.0,30920000.0,206094000.0,829879000,540181000,31654000,6664000,0.0,59559000.0,-40750000.0,19220000,3244000.0,106940000,401596000,100000000.0,101810000,24325000,,51550000.0,31654000,142840000,0.07,9608000,31654000,74690000,-31256000,5311000,299000.0,,23613000,-28400000,-29309000,-50087000.0,,,-20391000,,192927000.0,,-40019000,108003000,1313000.0,-43036000,-188000.0,,0.0,8678000,,209032000.0,,,,,,,,
2003-02-28,0.0,708745000,99573000,2955000,248103000,114945000,,30282000.0,,,208872000,946640000,10772000,363048000,19133000,917617000,-51488000,19133000,19133000,0,10904000.0,44682000.0,,836295000,554569000,34615000,-47019000,0.0,56449000.0,-64854000.0,9731000,4041000.0,110345000,466450000,100000000.0,99573000,31625000,,51542000.0,34615000,187158000,,12492000,34615000,31654000,-50714000,56051000,547000.0,,21714000,0,50754000,-61112000.0,,,-774000,,248270000.0,,-30427000,117587000,7653000.0,2961000,14000.0,,0.0,13727000,,,,,,,,,,
2003-05-31,,710267000,115553000,4095000,247565000,111984000,,65542000.0,,0.17,241385000,1172835000,32218000,359549000,35260000,951652000,37731000,35260000,35260000,0,11984000.0,63261000.0,206312000.0,1025064000,592103000,32029000,-34901000,0.0,73940000.0,36064000.0,25748000,,147771000,430386000,100000000.0,115553000,57334000,,51646000.0,32029000,218069000,0.17,22074000,32029000,34615000,-34901000,14532000,754000.0,,20218000,1202000,-40317000,-61112000.0,,,72632000,,279181000.0,,40251000,139824000,-6974000.0,-2586000,,,0.0,36313000,,209524000.0,,,,,,,,
2003-08-31,,705424000,121174000,4343000,215698000,112921000,,105153000.0,,0.185,260212000,1236457000,41931000,328619000,39610000,965636000,-2426000,39610000,39610000,0,12921000.0,68067000.0,206968000.0,1073352000,637017000,45328000,-22851000,0.0,71008000.0,20909000.0,22677000,,163105000,409477000,100000000.0,121174000,64407000,,51812000.0,45328000,236606000,0.19,24797000,45328000,32029000,-47761000,3353000,383000.0,,20398000,1994000,-9185000,-61112000.0,,,45335000,,297718000.0,,2512000,115366000,-1146000.0,13299000,,,0.0,46274000,,211728000.0,,,,,,,,
2003-11-30,,729888000,114282000,3909000,222182000,113319000,,124205000.0,,0.09,263418000,1071534000,11960000,335501000,19053000,993306000,-41468000,19053000,19053000,0,13319000.0,59339000.0,207294000.0,945292000,657805000,54962000,-6953000,0.0,60853000.0,-40267000.0,18856000,,126242000,449744000,100000000.0,114282000,30980000,,51864000.0,54962000,239553000,0.09,11927000,54962000,45328000,-54539000,6267000,,,20360000,0,3516000,-61112000.0,,,13071000,,300665000.0,,-8755000,127899000,-532000.0,9634000,602000.0,,0.0,15869000,,211910000.0,,,,,,,,
2004-02-29,,773481000,117825000,3956000,242398000,113866000,,146732000.0,,,263536000,1116865000,15945000,356264000,22527000,1037017000,-26711000,22527000,22527000,0,13866000.0,59724000.0,,983095000,680753000,61643000,-9140000,0.0,72358000.0,-16317000.0,20470000,,133770000,466061000,100000000.0,117825000,36630000,,51889000.0,61643000,244064000,,14103000,61643000,54962000,-44137000,4446000,0.0,,19287000,0,-1605000,-69233000.0,,,17426000,,313297000.0,,-15537000,145517000,7354000.0,6681000,216000.0,,0.0,19901000,,,,,,,,,,
2004-05-31,,836493000,130688000,4313000,288664000,115089000,,182062000.0,,0.165,286764000,1324990000,36542000,403753000,35330000,1123257000,-43831000,35330000,35330000,0,14713000.0,72117000.0,207728000.0,1157760000,719504000,61676000,-27665000,0.0,92624000.0,-57605000.0,21816000,376000.0,167230000,523666000,100000000.0,130688000,57918000,,51986000.0,61676000,267509000,0.17,22588000,61676000,61643000,-46455000,28182000,493000.0,,19255000,0,25074000,-69233000.0,,,2624000,,336742000.0,,-36764000,156408000,-193000.0,33000,1338000.0,,0.0,40855000,,211548000.0,,,,,,,,
2004-08-31,,766575000,134737000,4582000,232062000,115179000,,211921000.0,,0.14,331119000,1323507000,28463000,347241000,29859000,1097694000,-7069000,29859000,29859000,0,15179000.0,62367000.0,208004000.0,1160307000,750453000,56607000,-47300000,0.0,69795000.0,31655000.0,20744000,,163200000,492011000,100000000.0,134737000,48949000,,52030000.0,56607000,310268000,0.145,19090000,56607000,61676000,-72169000,4644000,324000.0,,19216000,0,-22869000,-69233000.0,,,65100000,,379501000.0,,31092000,131495000,-412000.0,-5069000,669000.0,,0.0,33045000,,211024000.0,,,,,,,,
2004-11-30,,737547000,137170000,4518000,228245000,127578000,,229966000.0,,0.085,387512000,1215711000,8276000,355823000,18045000,1125059000,-41836000,18045000,18045000,0,15638000.0,57869000.0,208140000.0,1070265000,769236000,25762000,-48719000,0.0,63694000.0,-11671000.0,21131000,,145446000,503682000,111940000.0,137170000,29582000,,52065000.0,25762000,368203000,0.085,11537000,25762000,56607000,-57717000,6331000,,,18642000,0,1993000,-69233000.0,,,15881000,,437436000.0,,-4397000,133015000,-1558000.0,-30845000,306000.0,,0.0,12794000,,211470000.0,,,,,,,,
2005-02-28,,864956000,143993000,6840000,329331000,162706000,,259660000.0,,,428057000,1396054000,30327000,492037000,29694000,1293013000,-92608000,29694000,29694000,0,29260000.0,66843000.0,,1221734000,800976000,29099000,-17397000,0.0,76167000.0,-72885000.0,19609000,5027000.0,174320000,576567000,128419000.0,143993000,48074000,,52152000.0,29099000,406301000,,18380000,29099000,25762000,-53739000,65527000,1989000.0,,21756000,0,59603000,-88164000.0,,,-38869000,,494465000.0,,-75706000,170646000,979000.0,3337000,1246000.0,,0.0,37167000,,,,,,,,,,
2005-05-31,,881674000,159235000,5946000,434776000,62955000,,299478000.0,,0.185,460823000,1578360000,38524000,497731000,39818000,1342497000,9826000,39818000,39818000,0,30325000.0,90443000.0,208774000.0,1380601000,844766000,33518000,-38351000,0.0,79970000.0,-6722000.0,27071000,4315000.0,197759000,583289000,28315000.0,159235000,64536000,,52245000.0,33518000,439091000,0.19,24718000,33518000,29099000,-55056000,141779000,1194000.0,,21732000,0,-22112000,-88164000.0,,,64882000,,527255000.0,,21531000,177952000,-2425000.0,4419000,1740000.0,,0.0,44470000,,212370000.0,,,,,,,,
2005-08-31,,869647000,165274000,6292000,374307000,68167000,,340900000.0,,0.195,461622000,1633853000,43310000,442474000,41422000,1331269000,-6183000,41422000,41422000,0,28776000.0,96262000.0,209056000.0,1425269000,888795000,53800000,1284000,0.0,62037000.0,-1959000.0,23824000,4112000.0,208584000,585248000,35279000.0,165274000,66950000,,52323000.0,53800000,434835000,0.2,25528000,53800000,33518000,-60184000,106152000,375000.0,,26787000,0,-35003000,-88164000.0,,,54001000,,522999000.0,,8381000,148341000,-1253000.0,20282000,1524000.0,,0.0,49602000,,212434000.0,,,,,,,,
2005-11-30,,868797000,161727000,7008000,334499000,114358000,,367312000.0,,0.125,498343000,1423980000,15446000,448857000,26412000,1367140000,-8444000,26412000,26412000,0,29322000.0,96837000.0,209454000.0,1246807000,918283000,34977000,-38206000,0.0,55616000.0,-21118000.0,27971000,,177173000,606366000,85036000.0,161727000,43249000,,52421000.0,34977000,465990000,0.125,16837000,34977000,53800000,-38250000,44749000,430000.0,,26484000,0,-10423000,-88164000.0,,,29806000,,554154000.0,,10295000,173341000,-13961000.0,-18823000,1223000.0,,0.0,22454000,,212884000.0,,,,,,,,
2006-02-28,,941738000,165752000,7500000,363315000,166194000,,407715000.0,,,547509000,1623774000,41446000,529509000,40403000,1489247000,-67337000,40403000,40403000,0,31407000.0,90914000.0,,1416576000,959738000,21759000,-40820000,0.0,76621000.0,-63334000.0,25461000,,207198000,669700000,134787000.0,165752000,65248000,,52477000.0,21759000,499298000,,24845000,21759000,34977000,-40943000,60225000,2094000.0,,44000000,0,65971000,-104247000.0,,,-26394000,,603545000.0,,-79958000,188614000,5648000.0,-1243000,1548000.0,,0.0,48946000,,,,,,,,,,
2006-05-31,,1027004000,186966000,8075000,395094000,167471000,6686000.0,430326000.0,,0.265,589128000,1885139000,61289000,562565000,56776000,1616132000,22946000,56776000,56776000,0,32937000.0,130083000.0,210530000.0,1636884000,1053567000,26043000,-25080000,0.0,70400000.0,-69005000.0,32394000,,248255000,738705000,134534000.0,186966000,92003000,,52998000.0,26043000,516305000,0.27,35227000,26043000,21759000,-25139000,31889000,1947000.0,,44218000,3555000,-18721000,-104247000.0,,,48085000,,620552000.0,,-4680000,224301000,-18770000.0,4284000,6313000.0,,0.0,69364000,,214112000.0,,,,,,,,
2006-08-31,,1030745000,200049000,8652000,436512000,68505000,12950000.0,484590000.0,,0.25,605973000,1929542000,53316000,505017000,54264000,1636718000,9488000,54264000,54264000,0,34229000.0,132196000.0,211832000.0,1676177000,1131701000,23781000,-25770000,0.0,66690000.0,4341000.0,36512000,,253365000,734364000,34276000.0,200049000,87793000,,53304000.0,23781000,533335000,0.255,33529000,23781000,26043000,-29178000,105317000,2335000.0,,43856000,4057000,-15158000,-104247000.0,,,38666000,,637582000.0,,-37121000,190168000,-167000.0,-2262000,7615000.0,,0.0,61968000,,215302000.0,,,,,,,,
2006-11-30,,1045954000,187318000,8450000,436660000,69102000,5912000.0,530009000.0,,0.21,658714000,1768147000,41291000,505762000,45419000,1704668000,-9588000,45419000,45419000,0,35090000.0,116898000.0,213022000.0,1539538000,1198906000,12352000,-60397000,0.0,53092000.0,-26452000.0,31974000,,228609000,760816000,34012000.0,187318000,73504000,,53615000.0,12352000,585109000,0.215,28085000,12352000,23781000,-60402000,87406000,167000.0,,47817000,2808000,-1846000,-104247000.0,,,50814000,,689356000.0,,-13454000,222205000,4314000.0,-11429000,13521000.0,,0.0,49741000,,217766000.0,,,,,,,,
2007-02-28,,1150516000,201835000,9374000,512022000,126176000,11169000.0,572147000.0,,,735057000,1882828000,38998000,638198000,42138000,1885573000,-77806000,42138000,42138000,0,92432000.0,92262000.0,,1641995000,1247375000,19455000,-75944000,0.0,71413000.0,-75300000.0,31745000,,240833000,836116000,33744000.0,201835000,70049000,,108014000.0,19455000,651850000,,27911000,19455000,12352000,-77041000,151733000,924000.0,,43033000,11791000,83812000,-137372000.0,,,-765000,,789222000.0,,-63729000,254895000,454000.0,7103000,7962000.0,-20332000.0,0.0,48372000,,,,,,,,,,
2007-05-31,,1188327000,213814000,10835000,502942000,145839000,9332000.0,638298000.0,-4000000.0,0.3,788823000,2147134000,70407000,648781000,65355000,1977150000,14516000,65355000,65355000,0,112370000.0,108304000.0,215293000.0,1862913000,1328369000,22029000,-60879000,0.0,68367000.0,-27395000.0,37068000,,284221000,863511000,33469000.0,213814000,105837000,,108652000.0,22029000,702431000,0.3,40482000,22029000,19455000,-60883000,134944000,2016000.0,,42698000,1393000,-11946000,-137372000.0,,4000000.0,75399000,,839803000.0,,-3683000,249327000,-6486000.0,2574000,3725000.0,-19950000.0,0.0,81242000,,220130000.0,,,,,,,,
