date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2003-03-31,498400000,0.0,2059700000,1457200000,552100000,204500000.0,138800000.0,-0.21,390200000,8900000.0,,912400000,-19300000,-19300000,,71800000,23800000.0,-19300000,-22400000,90900000.0,50300000.0,289700000,2800000.0,,,127200000,18500000.0,50300000,50300000,12500000.0,0.0,308600000,1477800000,-40800000.0,475900000.0,-34100000.0,16100000,,,,41400000.0,-0.21,1200000.0,93400000,,-156300000.0,299400000,109600000,2400000.0,572700000,-610900000.0,,-12300000,672700000,,2300000,,,90900000.0,-16200000,-600000.0,,-31600000,,-35900000.0,565400000,602500000,645500000,1283600000,-6200000.0,-34600000.0,41500000.0,,,,,
2003-06-30,796400000,0.0,2248500000,1479600000,559400000,297800000.0,126200000.0,-0.07,397000000,12900000.0,,1210200000,-6000000,-6000000,,70300000,16800000.0,-6000000,4500000,91100000.0,63200000.0,285700000,-65900000.0,,,57900000,18400000.0,63200000,63200000,17300000.0,-14000000.0,336200000,1663700000,-147100000.0,475500000.0,8100000.0,26000000,,,,50300000.0,-0.07,1200000.0,91500000,,574100000.0,269400000,80700000,-56200000.0,575300000,-610900000.0,,-3900000,667900000,,29200000,,,91100000.0,10800000,,,-9900000,,-106600000.0,453500000,768900000,650900000,1278800000,-9900000.0,-137200000.0,214400000.0,,,,,
2003-09-30,785200000,0.0,2144800000,1456100000,539800000,315200000.0,131000000.0,-0.47,386900000,-12800000.0,,1212800000,-43200000,-43200000,,67300000,40700000.0,-43200000,-1600000,91100000.0,50400000.0,259100000,49300000.0,,,1700000,18200000.0,50400000,50400000,19200000.0,-3300000.0,327900000,1602500000,-1400000.0,474500000.0,27300000.0,22800000,,,,63200000.0,-0.47,1200000.0,90500000,,-147900000.0,257000000,83600000,53700000.0,532100000,-610900000.0,,27700000,653700000,,25100000,,,91100000.0,6900000,-49800000.0,,-15500000,,9500000.0,389700000,688700000,630300000,1264600000,-8800000.0,7400000.0,-65500000.0,,,,,
2003-12-31,757100000,52300000.0,1900900000,1295100000,13400000,263500000.0,111100000.0,,378400000,-1700000.0,,1161400000,-26800000,-182600000,,34400000,25900000.0,-182600000,-2400000,,48700000.0,196900000,900000.0,,,27400000,-3700000.0,48700000,48700000,17600000.0,-300000.0,454800000,1525600000,-15400000.0,354200000.0,23000000.0,69800000,,,,50400000.0,,1200000.0,24400000,,-130900000.0,173400000,29900000,4000000.0,366800000,-472300000.0,,800000,486100000,,-9200000,,,,-5500000,-232400000.0,,-26000000,,19000000.0,364200000,605800000,37800000,958400000,-3800000.0,-11600000.0,-1400000.0,,,,,
2004-03-31,759800000,57400000.0,1995900000,1294500000,448600000,326700000.0,123900000.0,0.04,379200000,11100000.0,,1166600000,-1600000,4000000,,60200000,27600000.0,4000000,6500000,91400000.0,59800000.0,214400000,-8700000.0,,,27800000,11600000.0,59800000,59800000,18400000.0,0.0,463200000,1617500000,16400000.0,357300000.0,-17900000.0,73000000,,,,48700000.0,0.04,1200000.0,87000000,,-130700000.0,241800000,62400000,0.0,370100000,-472300000.0,,4900000,474000000,,36200000,,,91400000.0,24600000,-228400000.0,,3300000,,5600000.0,450900000,701400000,535600000,946300000,-3600000.0,20000000.0,300000.0,,,,,
2004-06-30,753700000,65800000.0,1975000000,1233200000,465400000,373600000.0,107400000.0,0.24,385200000,-33700000.0,,1162100000,19200000,21500000,,52400000,23200000.0,21500000,8900000,91800000.0,52700000.0,210000000,34200000.0,,,27200000,11000000.0,52700000,52700000,18300000.0,0.0,450800000,1588400000,-69400000.0,342100000.0,-2000000.0,78400000,,,,59800000.0,0.24,1200000.0,92400000,,-143300000.0,225900000,45700000,13600000.0,379100000,-472300000.0,,400000,440300000,,57700000,,,91500000.0,46700000,-206900000.0,,19600000,,-56000000.0,426300000,741800000,557800000,912600000,-5700000.0,-63700000.0,-3900000.0,,,,,
2004-09-30,673000000,24900000.0,1902900000,1163600000,469100000,345600000.0,124700000.0,0.13,381200000,88600000.0,,1078400000,11800000,11600000,,56200000,24200000.0,11600000,14300000,91800000.0,114700000.0,201700000,94300000.0,,,48400000,9100000.0,114700000,114700000,18100000.0,-300000.0,391200000,1498000000,49400000.0,341200000.0,-5800000.0,50300000,,,,52700000.0,0.13,1200000.0,83100000,,-137000000.0,221600000,45300000,-13600000.0,397100000,-472300000.0,,2200000,431200000,,46900000,,,91500000.0,37800000,-195300000.0,,1400000,300000.0,-9300000.0,419600000,739300000,552200000,903500000,-3700000.0,53100000.0,-59200000.0,,,,,
2004-12-31,640500000,26300000.0,1771800000,1155100000,460200000,309700000.0,102400000.0,,338700000,-76100000.0,,993600000,-10800000,-13600000,,27800000,14400000.0,-13600000,2400000,,38600000.0,196000000,-7900000.0,,,51600000,19200000.0,38600000,38600000,17300000.0,-400000.0,382800000,1384600000,-46800000.0,331100000.0,26800000.0,52300000,,,,114700000.0,,1200000.0,55700000,,-142700000.0,210700000,39500000,8300000.0,380400000,-510600000.0,,6100000,441200000,,35400000,,,,16200000,-208900000.0,,-4700000,-800000.0,-37900000.0,391000000,616700000,515900000,951800000,-10400000.0,-36400000.0,-31300000.0,,,,,
2005-03-31,638700000,26900000.0,1803100000,1159000000,504600000,309200000.0,96200000.0,0.15,335100000,-7400000.0,,988400000,19100000,13400000,,59200000,14600000.0,13400000,25000000,92200000.0,31200000.0,227400000,-9700000.0,,,52300000,12500000.0,31200000,31200000,16300000.0,0.0,396200000,1408200000,-5400000.0,331500000.0,-31900000.0,56400000,,,,38600000.0,0.15,1200000.0,72100000,,-147700000.0,244400000,33200000,0.0,389500000,-510600000.0,,2500000,431300000,,51400000,200000.0,,91800000.0,38900000,-195500000.0,,21600000,,-3400000.0,419800000,644100000,576700000,941900000,-8900000.0,3500000.0,1100000.0,,,,,
2005-06-30,640700000,27000000.0,1776100000,1155700000,512900000,314100000.0,83100000.0,0.34,325100000,3500000.0,,975800000,22600000,31300000,,47700000,10000000.0,31300000,31600000,92100000.0,34700000.0,201500000,-2100000.0,,,50800000,12400000.0,34700000,34700000,17000000.0,0.0,409500000,1356800000,-2200000.0,331900000.0,25800000.0,50200000,,,,31200000.0,0.339848,1200000.0,70500000,,-154600000.0,220100000,28000000,0.0,413900000,-510600000.0,,2400000,414300000,,54900000,100000.0,,91800000.0,42500000,-164200000.0,,25000000,,-21200000.0,381000000,620400000,583400000,924900000,-8600000.0,6400000.0,-1300000.0,,,,,
2005-09-30,638800000,29000000.0,1758900000,1110600000,511700000,336900000.0,93100000.0,-0.21,322900000,12600000.0,,971600000,-21800000,-19500000,,42900000,9900000.0,-19500000,-14800000,91900000.0,47300000.0,194400000,1100000.0,,,36200000,13400000.0,47300000,47300000,17000000.0,0.0,370900000,1354600000,19700000.0,334100000.0,3700000.0,49500000,,,,34700000.0,-0.212187,1200000.0,67300000,,-150800000.0,224700000,68700000,0.0,398600000,-510600000.0,,1500000,405600000,,12000000,100000.0,,91900000.0,-1400000,-183700000.0,,-20300000,100000.0,-10300000.0,383000000,648300000,579000000,916200000,-5900000.0,25600000.0,-15200000.0,,,,,
2005-12-31,638700000,11200000.0,1716000000,1102500000,624300000,320500000.0,82400000.0,,322200000,-14500000.0,,960900000,42300000,21700000,,41300000,,21700000,25400000,,32800000.0,191800000,-13500000.0,,,7800000,12400000.0,32800000,32800000,16900000.0,0.0,340600000,1294900000,19500000.0,325900000.0,11700000.0,48300000,,,,47300000.0,,1200000.0,87200000,,-152800000.0,232600000,26700000,0.0,415700000,-685500000.0,,200000,436000000,,72900000,100000.0,,,60500000,-162000000.0,,42500000,1000000.0,400000.0,334000000,613500000,711500000,1121500000,-8700000.0,28200000.0,-28300000.0,,,,,
2006-03-31,638100000,0.0,1800300000,1125400000,583700000,380900000.0,96200000.0,0.51,324000000,4700000.0,,962100000,48900000,46800000,315300000.0,47300000,,46800000,37400000,92500000.0,37500000.0,217000000,14600000.0,,,7500000,14300000.0,37500000,37500000,16600000.0,0.0,374000000,1328200000,-15700000.0,10000000.0,-7900000.0,19300000,,,,32800000.0,0.505946,1200000.0,90900000,,-152600000.0,262400000,23000000,0.0,466500000,-685500000.0,,1700000,426100000,,82200000,2000000.0,,92100000.0,67900000,-115200000.0,,50600000,200000.0,-39800000.0,366100000,674900000,674600000,1111600000,-4900000.0,-10800000.0,1700000.0,,,,,
2006-06-30,603700000,0.0,1835900000,1115000000,592700000,379900000.0,84900000.0,0.46,324900000,37500000.0,,928600000,42400000,42400000,315300000.0,49900000,,42400000,31300000,93000000.0,75000000.0,228200000,-2800000.0,,,23900000,14300000.0,75000000,75000000,16800000.0,0.0,367100000,1314700000,49400000.0,9600000.0,-8500000.0,18200000,,,,37500000.0,0.46,,93700000,,515300000.0,277300000,30200000,-17300000.0,515300000,-685500000.0,,2400000,423000000,,77800000,800000.0,,92400000.0,63500000,,,44800000,300000.0,-7100000.0,386100000,720900000,686400000,1108500000,-7600000.0,57000000.0,-18300000.0,,,,,
2006-09-30,605600000,0.0,1855700000,1088700000,588400000,368000000.0,105900000.0,0.21,324000000,34300000.0,,929600000,19600000,19600000,287000000.0,51600000,,19600000,24200000,93000000.0,109300000.0,249300000,-13800000.0,,,23600000,14200000.0,109300000,109300000,16200000.0,0.0,368000000,1336500000,35000000.0,9600000.0,-20000000.0,20400000,,,,75000000.0,0.21,1200000.0,77800000,,-143500000.0,277400000,41700000,0.0,513100000,-685500000.0,,1500000,424100000,,50300000,0.0,,92500000.0,36100000,-81500000.0,,21100000,0.0,9900000.0,406900000,767000000,666200000,1109600000,-13800000.0,48800000.0,-600000.0,,,,,
2006-12-31,567700000,0.0,1773600000,1104300000,518000000,316400000.0,93100000.0,,284100000,-43100000.0,,851800000,15000000,14400000,287000000.0,50500000,,14400000,6900000,,66200000.0,240800000,-14800000.0,,,27700000,14300000.0,66200000,66200000,16900000.0,0.0,340500000,1193600000,1900000.0,9400000.0,-3200000.0,27800000,,,,109300000.0,,1200000.0,77200000,,-99100000.0,221000000,54200000,-1500000.0,574500000,-715500000.0,,-11600000,442400000,,37300000,300000.0,-800000.0,,23000000,-67100000.0,,3400000,-14100000.0,-14200000.0,341800000,669300000,595200000,1157900000,-14800000.0,16700000.0,-46200000.0,,,,,
2007-03-31,568000000,0.0,1843300000,1109600000,562700000,377100000.0,99300000.0,0.08,281800000,900000.0,,849800000,7400000,7400000,287000000.0,61000000,,7400000,5600000,93000000.0,67100000.0,246600000,-3500000.0,,,27900000,14100000.0,67100000,67100000,15300000.0,0.0,357100000,1244000000,-3700000.0,8900000.0,-4900000.0,24700000,,,,66200000.0,0.07957,1200000.0,95100000,,-95100000.0,267000000,68600000,0.0,593600000,-715500000.0,,3800000,437300000,,40600000,300000.0,,92600000.0,26500000,-52500000.0,,11200000,1100000.0,-12500000.0,394200000,733700000,657800000,1152800000,-7500000.0,3800000.0,-300000.0,,,,,
2007-06-30,457500000,0.0,1762600000,1107900000,594100000,305400000.0,84400000.0,-0.06,270900000,-23100000.0,,728400000,-5400000,-5400000,287000000.0,66200000,,-5400000,-8700000,92800000.0,44000000.0,261900000,-12900000.0,,,36200000,14500000.0,44000000,44000000,16000000.0,-5300000.0,344500000,1155400000,83600000.0,11700000.0,-12100000.0,25200000,,,,67100000.0,-0.06,1200000.0,94700000,,-85100000.0,306400000,82300000,0.0,601400000,-715500000.0,,-4400000,439200000,,26900000,400000.0,,92800000.0,12400000,-57900000.0,,-9800000,,72000000.0,427000000,654700000,688800000,1154700000,-12900000.0,96500000.0,-108200000.0,,,,,
2007-09-30,307500000,0.0,1640800000,899700000,623000000,382400000.0,108800000.0,0.02,278900000,12200000.0,,586400000,2300000,2300000,287000000.0,63000000,,2300000,2400000,93300000.0,56200000.0,257700000,233200000.0,,,28000000,14100000.0,56200000,56200000,11900000.0,-7500000.0,82100000,1022200000,-72000000.0,7200000.0,8000000.0,26600000,,,,44000000.0,0.02,1200000.0,41800000,,-71500000.0,299000000,65400000,249500000.0,618600000,-715500000.0,,-45500000,451200000,,-9500000,200000.0,34800000.0,92800000.0,-23600000,-55600000.0,,-43200000,,-57400000.0,435800000,741100000,664800000,1166700000,-16300000.0,-55700000.0,-167000000.0,,,,,
2007-12-31,308000000,0.0,1583000000,899200000,556500000,340800000.0,94400000.0,,251700000,23200000.0,,559700000,7100000,7100000,288800000.0,52600000,,7100000,9000000,,79400000.0,223400000,-1500000.0,,,28700000,14700000.0,79400000,79400000,8200000.0,0.0,84100000,933300000,15900000.0,6700000.0,35700000.0,19800000,0.0,,,56200000.0,,1200000.0,74800000,,-48600000.0,250500000,56200000,0.0,649400000,-766000000.0,,2300000,449700000,,33300000,300000.0,-40000000.0,,18600000,-48500000.0,,9400000,-4900000.0,27500000.0,373600000,683800000,631300000,1215700000,-6700000.0,22600000.0,-400000.0,,,,,
2008-03-31,309100000,0.0,1731500000,1031400000,617400000,324600000.0,95700000.0,0.07,244900000,-20200000.0,,554000000,6500000,6500000,333100000.0,68500000,,6500000,6100000,93300000.0,59200000.0,273500000,-158400000.0,,,112300000,15800000.0,59200000,59200000,9200000.0,0.0,91300000,1069200000,48700000.0,72100000.0,-28500000.0,22300000,,,,79400000.0,0.07,,96300000,,662300000.0,307200000,76200000,0.0,662300000,-786000000.0,,3200000,468900000,,35900000,,-6600000.0,92900000.0,20100000,,,9700000,-600000.0,49200000.0,515200000,700100000,713700000,1254900000,-8400000.0,57100000.0,81200000.0,,,,,
2008-06-30,388400000,0.0,1839200000,1035600000,659600000,423200000.0,99700000.0,0.09,232600000,600000.0,,621000000,8800000,8800000,333000000.0,75000000,,8800000,9800000,93800000.0,59800000.0,277400000,-11500000.0,,,102700000,15900000.0,59800000,59800000,10700000.0,0.0,96200000,1163300000,-68900000.0,71300000.0,-4800000.0,22800000,,,,59200000.0,0.09,,88500000,,675900000.0,339900000,64500000,0.0,675900000,-799100000.0,,4700000,467500000,,39900000,,-4500000.0,93000000.0,24000000,,,13500000,1000000.0,-67200000.0,542300000,803600000,748100000,1266600000,-11500000.0,-57400000.0,67800000.0,,,,,
2008-09-30,388000000,0.0,1759700000,1015600000,669900000,392400000.0,112700000.0,-0.06,241600000,-22800000.0,,629600000,-5600000,-5600000,332800000.0,69700000,,-5600000,5800000,92900000.0,37000000.0,273100000,-11000000.0,,,80200000,20100000.0,37000000,37000000,10500000.0,-6900000.0,92900000,1113200000,7600000.0,70400000.0,-1500000.0,19700000,,,,59800000.0,-0.06,,65200000,,646500000.0,290700000,63900000,-1100000.0,646500000,-802600000.0,,-2800000,444500000,,21400000,,18000000.0,92900000.0,1300000,,,-8400000,-5500000.0,-900000.0,483600000,744100000,735100000,1247100000,-9700000.0,17300000.0,-26900000.0,,,,,
2008-12-31,408300000,0.0,1277700000,752600000,483800000,262100000.0,118200000.0,,83400000,7300000.0,20500000.0,797600000,-282600000,-282600000,163900000.0,69500000,,-282600000,-165100000,,44300000.0,197800000,-12600000.0,,0.0,26000000,16200000.0,44300000,44300000,10200000.0,9100000.0,66600000,1101800000,42600000.0,69100000.0,68400000.0,19900000,,,,37000000.0,,1200000.0,58000000,,-245100000.0,160000000,93900000,-42500000.0,175900000,-799300000.0,,96700000,432000000,,-159700000,,2700000.0,,-35900000,-321400000.0,,-185900000,94500000.0,22600000.0,304200000,525100000,541800000,1231300000,-12900000.0,55500000.0,-34100000.0,,,,,
2009-03-31,388800000,0.0,1286400000,736300000,404200000,253200000.0,101800000.0,-0.1,83000000,78200000.0,32300000.0,760000000,-9300000,-9300000,159000000.0,70200000,,-9300000,-24900000,92200000.0,122500000.0,158300000,-6700000.0,,,60800000,20000000.0,122500000,122500000,8800000.0,0.0,64600000,1104900000,63700000.0,68200000.0,35800000.0,15900000,,1800000.0,,44300000.0,-0.1,,59200000,25700000.0,,182300000,70200000,0.0,181500000,-810700000.0,,-8800000,409900000,600000.0,10700000,,2200000.0,92200000.0,-11000000,,,-18100000,-600000.0,64400000.0,344900000,550100000,463400000,1220600000,-6700000.0,70400000.0,15200000.0,,,,,
2009-06-30,388900000,0.0,1362800000,726200000,410200000,285600000.0,97100000.0,0.04,91000000,59800000.0,29500000.0,773900000,3500000,3500000,159000000.0,77100000,3400000.0,3500000,-700000,93500000.0,182300000.0,149500000,-5500000.0,,,61800000,14000000.0,182300000,182300000,8800000.0,0.0,61400000,1167700000,58700000.0,67500000.0,11200000.0,18600000,,-25400000.0,,122500000.0,0.04,,86300000,49000000.0,,234900000,87200000,0.0,195100000,-826100000.0,,6300000,408800000,800000.0,32600000,,700000.0,92400000.0,-900000,,,9800000,9400000.0,33100000.0,393800000,636600000,496500000,1234900000,-5500000.0,64200000.0,-100000.0,,,,,
