date,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInInventory
2004-03-31,75409000,541082000,,9070000,-50462000,-21730984000,67663000,37258000,-61215000.0,,,251183000.0,30405000,32793000,229113000,,-537000.0,1374241000,-22637000,0.04,827397000,790436000.0,676542000,0,107209000.0,135460000.0,1497114000,,135460000,17582000.0,91482000,406684000,137631000,0.04,,-72145000,-14768000,9070000,9070000,,657867000,,268408000.0,,107226000,244362000.0,746830000.0,15637000.0,505451000,6567000.0,248000.0,406684000,,,-14709000,17834000.0,16707000,,0.0,47502000,15131000,121960000,-284985000.0,12897000,0.0,,2201638000,-4008000.0,,97607000,248162000.0,393787000,255092000.0,,,,
2004-06-30,85442000,613810000,,21945000,-185815000,-21709039000,75411000,40519000,-33871000.0,,,247513000.0,34892000,77729000,256045000,,,1632190000,15844000,0.09,796897000,789642000.0,769476000,0,147946000.0,129134000.0,1627674000,,155666000,19228000.0,102235000,326272000,153810000,0.09,,-176909000,4328000,21945000,21945000,,573785000,26532000.0,290793000.0,,118918000,249357000.0,1017367000.0,39220000.0,504657000,17275000.0,254000.0,326272000,,,-20674000,8854000.0,15253000,,0.0,98403000,8707000,110166000,-284985000.0,-80412000,0.0,,2429087000,-9380000.0,,45639000,253068000.0,406684000,303789000.0,,,,
2004-09-30,122704000,647323000,,40398000,-154870000,-21668641000,86106000,45931000,-174239000.0,,,374260000.0,40175000,62855000,325311000,,,1599745000,10882000,0.16,857764000,784207000.0,803073000,0,183418000.0,131808000.0,1621399000,,155750000,12540000.0,121945000,231447000,203366000,0.16,,238886000,-7153000,40398000,40398000,,605707000,23942000.0,299867000.0,,163191000,254146000.0,992437000.0,33022000.0,499222000,-7376000.0,254000.0,231447000,,,-21622000,13666000.0,17697000,,0.0,84477000,-22244000,108086000,-284985000.0,-94825000,0.0,,2457509000,-9956000.0,,48461000,259728000.0,326272000,334916000.0,,,,
2004-12-31,134847000,699595000,,114812000,106284000,-21553829000,95545000,44509000,-813878000.0,,,406784000.0,51036000,99429000,355986000,,,1586751000,53913000,,1006123000,853337000.0,864600000,0,198317000.0,133686000.0,1691997000,,165005000,11696000.0,129097000,330641000,226889000,,,80138000,64739000,114812000,114812000,,737425000,31319000.0,305874000.0,,175853000,,969265000.0,125926000.0,512621000,11114000.0,253000.0,330641000,,,-35527000,22922000.0,17689000,,0.0,134956000,-56066000,104865000,-340716000.0,191388000,0.0,,2592874000,-7538000.0,-78322000.0,875551000,,231447000,382025000.0,,,,
2005-03-31,171755000,749844000,,49175000,-27248000,-21504654000,104061000,44524000,-78795000.0,,,431335000.0,59537000,56806000,400991000,,-2038000.0,1543696000,-20552000,0.19,1162212000,869952000.0,912630000,0,257735000.0,135912000.0,1755445000,,162786000,10046000.0,124842000,389377000,276149000,0.19,,16702000,17152000,49175000,49175000,,820712000,26874000.0,335729000.0,,216612000,253989000.0,944455000.0,75561000.0,508744000,26386000.0,255000.0,389377000,,,-17054000,14414000.0,22017000,,0.0,73860000,13864000,90497000,-361208000.0,58736000,0.0,,2705908000,-10328000.0,,51899000,262338000.0,330641000,404069000.0,,,,
2005-06-30,190361000,846927000,,41295000,-56819000,-21463359000,114560000,48441000,-125270000.0,,,431960000.0,66119000,111300000,444830000,,-5077000.0,1830376000,32620000,0.15,1288287000,906653000.0,1008797000,21310000,279985000.0,138536000.0,2071220000,,161870000,367019000.0,136555000,449579000,308275000,0.16,,-28975000,1192000,41295000,41295000,,881539000,23334000.0,357974000.0,,242156000,263538000.0,1217310000.0,74988000.0,522885000,33693000.0,264000.0,449579000,,,-28766000,21649000.0,26974000,,-550000.0,140066000,-21378000,90181000,-383768000.0,60202000,0.0,,3118663000,-14619000.0,,126192000,272888000.0,389377000,121934000.0,,,,
2005-09-30,166700000,854194000,,44574000,-70444000,-21418785000,115295000,50205000,-52902000.0,,,438236000.0,65090000,98144000,414766000,,,1852267000,31959000,0.17,1126871000,912059000.0,1016169000,0,271210000.0,141033000.0,1923474000,,161975000,8354000.0,129281000,309944000,285485000,0.17,,13581000,12082000,44574000,44574000,,748180000,20942000.0,369689000.0,,220395000,260288000.0,1231422000.0,75951000.0,528291000,31377000.0,257000.0,309944000,,,-27435000,21186000.0,27460000,,-550000.0,125579000,-194008000,92554000,-383768000.0,-139635000,0.0,,2979138000,-20991000.0,-214644000.0,53045000,266201000.0,449579000,476151000.0,,,,
2005-12-31,146324000,938133000,,271417000,268442000,-21147368000,88495000,54089000,-19902000.0,,,378006000.0,34406000,102204000,348907000,,,1944624000,38986000,,1228275000,976582000.0,1099739000,5295000,271883000.0,4995000.0,2031675000,,161606000,7440000.0,121547000,476826000,227360000,,,-15397000,-16368000,3534000,271417000,138051000.0,854832000,18560000.0,368413000.0,,192954000,,1297212000.0,16733000.0,553036000,13199000.0,246000.0,476826000,,,-67244000,24068000.0,18888000,,-550000.0,169448000,-267991000,94376000,-423546000.0,166882000,6822000.0,,3172899000,-26464000.0,-291509000.0,98699000,,309944000,555458000.0,,,,
2006-03-31,148880000,956735000,,19771000,-97784000,-21127597000,80273000,52444000,-38353000.0,16000.0,,328183000.0,27829000,66908000,373604000,,-3298000.0,2080338000,18069000,0.08,1129497000,980551000.0,1138384000,4766000,265511000.0,152637000.0,2029817000,,181649000,7248000.0,138912000,431250000,234692000,0.08,1188009000.0,47786000,14488000,18993000,19771000,,759433000,29012000.0,401339000.0,,206863000,245603000.0,267045000.0,43620000.0,557005000,24627000.0,245000.0,431250000,,,-26813000,29926000.0,28033000,,4522000.0,93721000,-40552000,68279000,-423546000.0,-44328000,6248000.0,,3209835000,-11448000.0,-75000000.0,86054000,248905000.0,475578000,541900000.0,,,,
2006-06-30,152417000,1271307000,,376787000,-263558000,-20915239000,85564000,57313000,-497710000.0,29266000.0,,256538000.0,28251000,67829000,390690000,,-292490000.0,2518458000,-11946000,1.52,1340167000,1054564000.0,1450042000,77311000,297036000.0,153041000.0,2361737000,,178735000,630330000.0,147149000,426425000,243541000,1.54,1343866000.0,-2851000,3282000,376696000,376787000,,682963000,25694000.0,417580000.0,,215290000,244744000.0,328945000.0,35724000.0,583328000,-340972000.0,243000.0,426425000,174000000.0,1826000.0,-76756000,9498000.0,31041000,,-9336000.0,144585000,114162000,262319000,-471236000.0,-3949000,4034000.0,,3858625000,-9706000.0,-60000000.0,570088000,247252000.0,431250000,43388000.0,,,,
2006-09-30,164258000,1338411000,,15274000,-116450000,-20899965000,85934000,59324000,-506000.0,17059000.0,,220564000.0,26610000,57321000,399513000,,-3349000.0,2637112000,2583000,0.06,1346096000,1088910000.0,1525470000,67999000,326844000.0,161365000.0,2410296000,,187059000,666504000.0,144480000,439250000,255033000,0.06,1441923000.0,2976000,26000,15107000,15274000,,659814000,25694000.0,436874000.0,,228423000,243536000.0,325859000.0,29530000.0,591626000,14423000.0,244000.0,439250000,199000000.0,2477000.0,-35475000,13244000.0,33188000,,1765000.0,92796000,37647000,71101000,-497284000.0,13864000,4997000.0,,3983208000,-8379000.0,0.0,37589000,245657000.0,426425000,29061000.0,,,,
2006-12-31,166351000,1359277000,,-29532000,-84604000,-20929497000,89457000,62448000,-5000000.0,6475000.0,,198656000.0,27009000,101110000,412228000,,71943000.0,2641889000,31590000,,1332364000,1130803000.0,1549677000,65157000,329848000.0,165551000.0,2376860000,,190400000,669197000.0,150076000,501184000,262152000,,1449493000.0,1418000,1560000,-29510000,-29532000,,699840000,24849000.0,454947000.0,,235143000,,333430000.0,31332000.0,605292000,60842000.0,244000.0,501184000,199000000.0,3535000.0,-42567000,-1128000.0,36834000,,-1756000.0,143677000,-522000,74651000,-525511000.0,57537000,600000.0,,3974253000,-8398000.0,0.0,22519000,,439250000,34085000.0,,,,
2007-03-31,130539000,833921000,,61753000,194686000,-20829745000,74884000,59963000,-135882000.0,42581000.0,,147929000.0,14921000,28852000,373049000,,5123000.0,2526989000,-49736000,0.25,1098433000,1106857000.0,1077255000,30761000,219562000.0,230362000.0,2499017000,,243334000,15361000.0,150640000,542245000,222409000,0.25,1262351000.0,1138000,54823000,60413000,61753000,,670953000,12972000.0,485058000.0,,207488000,243852000.0,276766000.0,70515000.0,581346000,8762000.0,244000.0,523024000,,,-15125000,,45162000,,7000.0,43977000,-198993000,196992000,-525511000.0,40461000,30685000.0,,3625422000,-5134000.0,,191912000,248357000.0,501784000,301711000.0,,,,
2007-06-30,141032000,872593000,,-4717000,24681000,-20834462000,65483000,57057000,0.0,-5009000.0,,94308000.0,8426000,78669000,363217000,,-16592000.0,2498598000,40011000,-0.02,1191271000,1106651000.0,1121038000,116946000,205996000.0,235492000.0,2521147000,,248445000,317153000.0,147836000,676288000,215381000,-0.02,1261944000.0,851000,-10499000,-5682000,-4717000,,750825000,12953000.0,505118000.0,,206955000,243846000.0,242003000.0,4096000.0,581140000,11608000.0,244000.0,656517000,,354000.0,-32386000,,36254000,,82000.0,111055000,82000,195461000,-525511000.0,134043000,33798000.0,,3689869000,-6987000.0,,56216000,243846000.0,542245000,15499000.0,,,,
