date,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyAccountsPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangesInAccountReceivables,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyCapitalStock,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2010-09-30,-6564000,62880000,107255000,129979000,40982000,,99285000.0,594289000.0,134000,16193000,-62000.0,-50952000.0,7566000.0,1049411000.0,0,503240000.0,-11960000,130360000.0,0.34,5284000.0,62880000,117005000,763639000.0,401879000.0,187188667.0,170349000,62137000,987267000.0,16661000.0,178687236.0,-1161000.0,,155867000.0,-6636000,,56631000,68000,132000.0,3266000,94113000.0,8484000,62144000.0,62880000,107255000.0,128325000.0,112605000.0,106827000,78668000.0,428000,68773000,-2400000,-11450000,-61963000,0,113718000,-67496000,285772000.0,392978000.0,,287354000,2217000.0,5706000,-585000,,2000000.0,105302000,5350000.0,0.35,83571000.0,227934000.0,42422000,,,,,,
2010-12-31,-214201000,65893000,54974000,131590000,45240000,,111995000.0,610650000.0,98000,17736000,-192000.0,-55803000.0,7066000.0,1217090000.0,1500000,632668000.0,16095000,126564000.0,,3500000.0,65893000,116475000,976655000.0,401826000.0,,176683000,77790000,1331532000.0,26697000.0,,65230000.0,-225092000.0,,-16435000,,63520000,386000,135000.0,42592000,200229000.0,9269000,-114442000.0,65893000,54974000.0,437717000.0,60627000.0,107255000,90213000.0,-52281000,94225000,12187000,23296000,67793000,-199172000,113163000,-290299000,240435000.0,720882000.0,318501000.0,293158000,0.0,5308000,11483000,,163007000.0,104585000,5653000.0,,93409000.0,293827000.0,38692000,,,,,,
2011-03-31,-13454000,65876000,101238000,139429000,49256000,,88458000.0,903052000.0,1154000,19760000,-960000.0,-54837000.0,7705000.0,1286431000.0,0,632668000.0,-37475000,163888000.0,0.37,8163000.0,65876000,124556000,974733000.0,700520000.0,176964192.0,188313000,131933000,1395522000.0,26196000.0,169030227.0,-15946000.0,,247064000.0,-13648000,,69016000,362000,136000.0,-256000,191774000.0,9615000,-109091000.0,65876000,101238000.0,129997000.0,106841000.0,54974000,89605000.0,46264000,145581000,-158000,52419000,-86201000,0,119297000,-73578000,311698000.0,492470000.0,,312869000,,3818000,697000,,0.0,110054000,5603000.0,0.39,100774000.0,359703000.0,44178000,,,,,,
2011-06-30,-159132000,65577000,51970000,143675000,55909000,,,1040929000.0,550000,19732000,-378000.0,-53508000.0,29155000.0,1408089000.0,-3500000,712561000.0,20496000,145632000.0,0.38,0.0,65577000,131185000,1112612000.0,854499000.0,174634046.0,196095000,26983000,1552529000.0,28326000.0,166960806.0,-329054000.0,,,-14523000,,75641000,3489000,137000.0,1292000,241330000.0,14895000,-144440000.0,65577000,51970000.0,170663000.0,57321000.0,101238000,80232000.0,-49268000,41506000,1818000,-49500000,68123000,-141281000,120454000,-140443000,295477000.0,511600000.0,,327280000,,8513000,2960000,,214989000.0,109048000,5351000.0,0.39,107645000.0,425280000.0,43471000,,,,,,
2011-09-30,-13820000,70987000,52846000,151017000,51475000,,146358000.0,1032805000.0,18000,19595000,-84000.0,-53656000.0,28268000.0,1379933000.0,0,712561000.0,-7466000,152803000.0,0.41,4663000.0,70987000,137619000,1108169000.0,853580000.0,171169658.0,202479000,122913000,1538806000.0,27699000.0,164195325.0,-75000000.0,,,-13754000,,71070000,-86000,137000.0,-108000,232533000.0,14593000,-158873000.0,70987000,52846000.0,165670000.0,57674000.0,51970000,79806000.0,876000,136667000,-3743000,40255000,-121416000,0,131409000,-126101000,271764000.0,506001000.0,,340098000,,4957000,196046000,,0.0,116829000,4828000.0,0.43,110328000.0,496267000.0,45842000,,,,,,
2011-12-31,-17723000,80318000,191603000,158776000,52829000,,,1289946000.0,8000,19532000,-127000.0,-78287000.0,41248000.0,1541106000.0,300000,709944000.0,-1481000,153339000.0,,4012000.0,80318000,140375000,1087452000.0,1100332000.0,,211218000,34063000,1639596000.0,21193000.0,,-135000000.0,-241859000.0,176842000.0,-17904000,,72361000,285000,137000.0,41164000,226424000.0,14754000,-98490000.0,80318000,191603000.0,5554000.0,196669000.0,52846000,61866000.0,138757000,51967000,23404000,-32695000,104714000,0,138857000,-41654000,453654000.0,349650000.0,361270000.0,351593000,,5368000,80276000,,250000.0,124490000,5066000.0,,119411000.0,576585000.0,44172000,,,,,,
2012-03-31,-367112000,74601000,114930000,159627000,53979000,,,1334745000.0,898000,20231000,-791000.0,-77403000.0,39536000.0,1892043000.0,0,933298000.0,-34479000,194540000.0,0.44,250000.0,74601000,133330000,1472203000.0,1099285000.0,171350820.0,213171000,172171000,1902301000.0,38382000.0,164836992.0,,,,-17442000,39868000.0,74210000,330000,137000.0,-2124000,375742000.0,16385000,-10258000.0,74601000,114930000.0,130478000.0,119898000.0,191603000,80043000.0,-76673000,189613000,-349000,87180000,100673000,-349777000,138961000,-36792000,419840000.0,567556000.0,,346501000,,4446000,2941000,,288942000.0,123011000,4968000.0,0.45,124781000.0,651186000.0,48410000,,,,,,
2012-06-30,-19925000,73331000,97198000,163805000,62473000,,,1194402000.0,305000,25277000,-337000.0,-77354000.0,46460000.0,1853343000.0,-250000,934762000.0,20827000,173607000.0,0.43,0.0,73331000,147074000,1455848000.0,1054395000.0,171901349.0,226152000,-21268000,1806661000.0,23800000.0,165946009.0,,,253880000.0,-19090000,41880000.0,87750000,-30000,137000.0,30307000,363555000.0,17377000,46682000.0,73331000,97198000.0,201783000.0,101980000.0,114930000,62506000.0,-17732000,-2178000,-186000,-82125000,4658000,-553000,138402000,-69513000,397495000.0,612259000.0,,373226000,,9207000,3227000,,253880000.0,121151000,4782000.0,0.44,133731000.0,724517000.0,47820000,,,,,,
2012-09-30,-451667000,82911000,97770000,182905000,58707000,,176464000.0,1493128000.0,275000,28156000,-2189000.0,-76853000.0,33613000.0,2303433000.0,0,1220384000.0,10626000,175520000.0,0.48,0.0,82911000,156749000,1942096000.0,1301683000.0,171660543.0,242114000,114370000,2161385000.0,46890000.0,165978080.0,-347224000.0,,,-19192000,80755000.0,86863000,-638000,137000.0,18099000,530023000.0,18133000,142048000.0,82911000,97770000.0,265794000.0,102665000.0,97198000,82799000.0,572000,133562000,9000,35367000,318673000,-430561000,155251000,-21768000,361337000.0,668257000.0,,398863000,3287000.0,5650000,3528000,,219800000.0,136616000,4895000.0,0.5,144799000.0,807428000.0,53705000,,,,,,
2012-12-31,-44879000,98299000,89819000,189578000,56200000,,,1519395000.0,454000,30535000,-717000.0,-89160000.0,9832000.0,2360336000.0,0,1247459000.0,-3399000,165174000.0,,107933000.0,98299000,170021000,1969777000.0,1264409000.0,,245709000,128583000,2104745000.0,47299000.0,,0.0,-275981000.0,200705000.0,-18649000,133761000.0,86735000,466000,137000.0,3936000,520935000.0,20613000,255591000.0,98299000,89819000.0,190000000.0,94702000.0,97770000,65271000.0,-7951000,147232000,63787000,-50526000,-110449000,-27422000,158974000,-34202000,390559000.0,585350000.0,430065000.0,415730000,,18504000,-7094000,,79715000.0,138430000,4883000.0,,154084000.0,905727000.0,40131000,,,,,,
2013-03-31,-27608000,80511000,267358000,179701000,59028000,,,1513401000.0,3765000,32421000,-3747000.0,-88927000.0,31629000.0,2516347000.0,439000,1248261000.0,-12785000,190917000.0,0.47,1734000.0,80511000,164449000,1963804000.0,1264589000.0,172760641.0,238874000,163192000,2163823000.0,44686000.0,168078589.0,-10000000.0,,314448000.0,-28065000,134499000.0,91449000,-145000,137000.0,33971000,503728000.0,20090000,352524000.0,80511000,267358000.0,180000000.0,272499000.0,89819000,74484000.0,177539000,191257000,622000,104092000,14296000,0,147425000,-22130000,552543000.0,650422000.0,,403323000,,8141000,681000,,314448000.0,127190000,5141000.0,0.48,167129000.0,986238000.0,46679000,,,,,,
2013-06-30,-35390000,84205000,172587000,185638000,61152000,,,1488710000.0,2061000,34007000,-1220000.0,-88338000.0,34695000.0,2439351000.0,0,1249271000.0,4033000,186549000.0,0.49,1734000.0,84205000,174663000,1945742000.0,1264769000.0,172467688.0,246657000,19994000,2073846000.0,24011000.0,168147069.0,-45000000.0,,287571000.0,-35440000,135257000.0,95159000,133000,137000.0,25852000,486532000.0,19704000,365505000.0,84205000,172587000.0,135000000.0,176841000.0,267358000,52138000.0,-94771000,55434000,385000,-46487000,-114540000,-983000,151498000,-113465000,493609000.0,585136000.0,,421320000,,10171000,715000,,0.0,131927000,4254000.0,0.5,185928000.0,1070443000.0,47722000,,,,,,
2013-09-30,-44359000,96441000,180203000,202915000,59330000,,,1490232000.0,-1000,33097000,-36000.0,-86592000.0,28709000.0,2429872000.0,0,1250888000.0,18227000,167767000.0,0.56,1734000.0,96441000,176580000,1968542000.0,1264949000.0,172154553.0,262017000,95351000,1946870000.0,27399000.0,168044100.0,-100000000.0,,244160000.0,-44410000,143432000.0,92427000,228000,137000.0,16516000,471139000.0,18692000,483002000.0,96441000,180203000.0,35000000.0,184717000.0,172587000,45174000.0,7616000,139761000,4881000,11788000,-88061000,0,169590000,-25375000,461330000.0,456638000.0,,438597000,,9607000,1100000,,0.0,151126000,4514000.0,0.57,219116000.0,1166884000.0,54685000,,,,,,
2013-12-31,-38269000,87223000,165801000,181200000,49472000,,,1525683000.0,1659000,35053000,-867000.0,-43488000.0,6714000.0,2504451000.0,-1000000,1181681000.0,-7369000,143059000.0,,107290000.0,81157000,106831000,2029606000.0,1265129000.0,,225632000,82407000,1956862000.0,105979000.0,,-35000000.0,-309199000.0,226581000.0,-38061000,198604000.0,79878000,393000,137000.0,26232000,447618000.0,17650000,547589000.0,87223000,165801000.0,4448000.0,169712000.0,180203000,23824000.0,-14402000,120468000,38252000,-22005000,-96167000,0,145754000,-116441000,474845000.0,431179000.0,542572000.0,332463000,,8098000,665000,,90423000.0,128497000,3911000.0,,233373000.0,1254107000.0,47340000,,,,,,
2014-03-31,109865000,115558000,427376000,183951000,57134000,,156893000.0,1524838000.0,16000,35099000,-5006000.0,-42822000.0,35478000.0,2640004000.0,0,1184374000.0,-7078000,173451000.0,0.68,2437000.0,84441000,169673000,1960800000.0,1265309000.0,170421489.0,239970000,196684000,2040478000.0,24926000.0,166981982.0,0.0,,343827000.0,-36144000,194305000.0,91127000,9000,137000.0,-1268000,434968000.0,17439000,599526000.0,115558000,427376000.0,4317000.0,431294000.0,165801000,44425000.0,261575000,232828000,-3640000,141209000,-81625000,-4001000,148843000,-88161000,679204000.0,515640000.0,,409643000,,8884000,661000,,0.0,131413000,3918000.0,0.69,251731000.0,1369665000.0,46972000,,,,,,
2014-06-30,-39381000,88099000,419448000,194210000,57074000,,,1390249000.0,265000,34944000,-26000.0,-42377000.0,32546000.0,2675277000.0,0,1184374000.0,-5108000,177973000.0,0.52,2437000.0,88099000,172470000,1970714000.0,1130489000.0,169503664.0,251084000,14387000,1998992000.0,24059000.0,166343630.0,0.0,,309175000.0,-39620000,194523000.0,92018000,200000,137000.0,4033000,420747000.0,17459000,676285000.0,88099000,419448000.0,135000000.0,423285000.0,427376000,43917000.0,-7928000,54007000,121000,-74100000,-22807000,0,159066000,-33959000,704563000.0,608743000.0,,423554000,,9876000,661000,,0.0,141807000,3837000.0,0.53,272875000.0,1457764000.0,53708000,,,,,,
2014-09-30,-31009000,99015000,432490000,211343000,56164000,,,1390376000.0,100000,36138000,-51000.0,-42861000.0,14383000.0,2677700000.0,-5000000,1184374000.0,-11344000,188711000.0,0.58,2437000.0,99015000,180873000,1972048000.0,1130668000.0,169522448.0,267792000,64572000,1951716000.0,27255000.0,166187540.0,0.0,,254160000.0,-27228000,194871000.0,92302000,-285000,137000.0,7839000,406560000.0,17498000,725984000.0,99015000,432490000.0,135000000.0,436220000.0,419448000,43288000.0,13042000,91800000,171000,-43170000,-47202000,0,175490000,-60973000,705652000.0,561340000.0,,448665000,,9176000,667000,,0.0,157707000,3730000.0,0.6,281347000.0,1556779000.0,58692000,,,,,,
2014-12-31,-75005000,97370000,39359000,214583000,56934000,,87432000.0,1363017000.0,132000,37302000,-120000.0,-80514000.0,13292000.0,2345330000.0,5000000,1207146000.0,-30985000,203339000.0,,93294000.0,99310000,193582000,1960847000.0,1095848000.0,,271282000,66991000,2134287000.0,26363000.0,,0.0,-377562000.0,252592000.0,-43826000,202540000.0,94235000,234000,137000.0,4154000,406476000.0,17588000,211043000.0,97370000,39359000.0,330000000.0,43160000.0,432490000,21002000.0,-393131000,110817000,27839000,-55374000,-427444000,-31191000,177047000,-595391000,384483000.0,771270000.0,679835000.0,464864000,,7668000,649000,,0.0,159693000,3801000.0,,302273000.0,1654149000.0,60383000,,,,,,
2015-03-31,-25225000,98686000,152847000,216337000,58306000,,,1363007000.0,49000,38583000,-109000.0,-80058000.0,23350000.0,2404499000.0,-101000,1207144000.0,-6094000,226637000.0,0.61,1894000.0,98686000,184216000,1950506000.0,1096029000.0,161481213.0,275181000,246230000,2072777000.0,24475000.0,158087919.0,-130000000.0,,359527000.0,-24760000,203383000.0,96889000,-538000,137000.0,-10393000,392335000.0,18262000,331722000.0,98686000,152847000.0,200000000.0,156702000.0,39359000,43095000.0,113488000,270990000,506000,123829000,-132057000,-405000,178292000,0,453993000.0,709770000.0,,459397000,,8045000,1195000,,0.0,159492000,3855000.0,0.62,303829000.0,1752835000.0,60806000,,,,,,
2015-06-30,-2840033000,163320000,145491000,296128000,91292000,,,2821288000.0,85368000,57440000,-21000.0,-83873000.0,85962000.0,5775663000.0,101000,3057642000.0,44075000,267379000.0,0.97,1894000.0,163320000,195196000,5165676000.0,2290241000.0,167586100.0,302454000,49179000,4531341000.0,39350000.0,164141804.0,-90000000.0,,436001000.0,-35332000,463561000.0,148732000,84966000,137000.0,-9160000,1655565000.0,37662000,1244322000.0,163320000,145491000.0,1020000000.0,149216000.0,152847000,47985000.0,-7356000,84511000,-7896000,-63450000,2735421000,-2890048000,153722000,0,609987000.0,1710053000.0,,497650000,,18971000,9439000,,0.0,201026000,3725000.0,0.99,386093000.0,1916155000.0,37706000,,,,,,
2015-09-30,-29944000,131814000,168825000,278836000,79310000,,,2764703000.0,15754000,52044000,-25000.0,-179417000.0,83200000.0,5619097000.0,15602000,3119485000.0,1670000,266000000.0,0.77,1894000.0,131814000,210167000,5001335000.0,2290552000.0,172171337.0,340234000,118870000,4305461000.0,43414000.0,168739437.0,-90000000.0,,366924000.0,-45673000,401422000.0,131354000,17912000,137000.0,6691000,1415566000.0,33003000,1313636000.0,131814000,168825000.0,900000000.0,172455000.0,145491000,54501000.0,23334000,164543000,8888000,-13701000,-100129000,0,208880000,0,617762000.0,1540758000.0,,550401000,,9030000,1136000,0.0,0.0,193789000,3630000.0,0.78,391625000.0,2047969000.0,61975000,,,,,,
2015-12-31,-111115000,113757000,138348000,262935000,83782000,,,2764659000.0,6000,67417000,-111000.0,-242052000.0,14262000.0,5615927000.0,-15501000,3134826000.0,-54260000,283509000.0,,245664000.0,113757000,213695000,5011358000.0,2290862000.0,,346867000,43270000,4243916000.0,48697000.0,,-30000000.0,-478296000.0,356951000.0,-60373000,396430000.0,151199000,-150000,137000.0,20686000,1376745000.0,32389000,1372011000.0,113757000,138348000.0,870000000.0,141924000.0,168825000,27005000.0,-30477000,103643000,-5548000,-61014000,-22222000,-51191000,195668000,-20456000,604569000.0,1479257000.0,896464000.0,560562000,,8572000,1129000,0.0,0.0,163129000,3576000.0,,418168000.0,2161726000.0,49372000,,,,,,
2016-03-31,-31290000,92639000,131818000,261322000,71037000,,179671000.0,2751803000.0,96000,68649000,-3000.0,-316777000.0,52307000.0,5459147000.0,-620000,2703914000.0,-34016000,297312000.0,0.54,1831000.0,109730000,173277000,4872364000.0,2269715000.0,171480884.0,319424000,273116000,4168682000.0,598803000.0,168453750.0,-165000000.0,,486551000.0,-30763000,342166000.0,126795000,44000,137000.0,-1169000,1191470000.0,32032000,1290465000.0,92639000,131818000.0,705000000.0,135290000.0,138348000,53302000.0,-6530000,303879000,17807000,113208000,-277805000,0,192629000,-116363000,586783000.0,1416879000.0,,492701000,7918000.0,9833000,1128000,,31765000.0,160641000,3472000.0,0.55,341989000.0,2254365000.0,50911000,,,,,,
2016-06-30,681871000,261736000,196402000,245188000,75557000,,163413000.0,2660033000.0,187000,53263000,-22000.0,-457143000.0,19199000.0,4725063000.0,0,2629941000.0,55195000,241326000.0,1.53,1831000.0,106736000,178466000,4228146000.0,2271059000.0,171218782.0,319830000,43138000,3275199000.0,119778000.0,168296318.0,-705000000.0,,431171000.0,-31468000,314705000.0,128751000,846000,137000.0,1273000,1104262000.0,31435000,1449864000.0,261736000,196402000.0,2256000.0,199774000.0,131818000,57730000.0,64584000,74606000,-11684000,29256000,-692128000,-6200000,191079000,0,496917000.0,615166000.0,,498296000,16495000.0,14849000,1344000,,0.0,160490000,3372000.0,1.56,334631000.0,2516101000.0,53754000,,,,,,
