date,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock
1993-06-30,-27000000.0,3100000.0,59100000,2100000,-28600000.0,49100000.0,-7100000.0,0.0,,72100000.0,100000.0,,-0.03375,105600000.0,44200000.0,46000000.0,,-17200000.0,210370370.0,,5800000,-2000000.0,,,64100000.0,10000000.0,,-400000.0,,,47000000.0,900000.0,,26200000.0,210370370.0,43300000.0,-100000.0,-7100000,,53100000.0,26100000.0,800000.0,-1600000.0,2100000.0,1900000.0,,-12300000.0,2700000.0,-7100000.0,,100000.0,3700000.0,-22100000.0,-0.03375,,-2200000.0,-29100000.0,,-3200000.0,22100000.0,-10300000.0,,35300000.0,-3800000.0,,,4800000.0,136200000.0,30600000.0,22400000.0,22400000.0,400000.0,3700000.0,,9900000.0,51500000.0,
1993-09-30,-19400000.0,-3400000.0,58000000,3700000,3100000.0,49100000.0,2400000.0,0.0,,75700000.0,,,0.01125,116100000.0,43900000.0,49700000.0,,-14700000.0,213333333.0,,7500000,200000.0,,,70600000.0,8900000.0,,500000.0,,,45400000.0,-300000.0,,26000000.0,213333333.0,42900000.0,0.0,2400000,,50500000.0,26000000.0,700000.0,-3200000.0,4200000.0,3900000.0,,-300000.0,3000000.0,2400000.0,,-100000.0,3900000.0,-22100000.0,0.01125,,2900000.0,9700000.0,,1100000.0,21800000.0,3500000.0,,32900000.0,-300000.0,,,4500000.0,146300000.0,30200000.0,32100000.0,32100000.0,25200000.0,3800000.0,,16100000.0,0.0,
1993-12-31,-7800000.0,13700000.0,67100000,-12900000,-16300000.0,56900000.0,-9200000.0,0.0,,83700000.0,,,-0.03875,114500000.0,45200000.0,57700000.0,,-37400000.0,237419355.0,,-8100000,-2300000.0,,,69700000.0,10200000.0,,-900000.0,,,69800000.0,2200000.0,,26000000.0,237419355.0,65700000.0,0.0,-9200000,,71500000.0,26000000.0,600000.0,1100000.0,13700000.0,2900000.0,,-400000.0,2600000.0,-9200000.0,,0.0,3000000.0,-22100000.0,-0.03875,,-13800000.0,-27400000.0,,-4100000.0,23100000.0,-13300000.0,,45100000.0,-12700000.0,,,12800000.0,153400000.0,38900000.0,7600000.0,7600000.0,-8700000.0,4800000.0,,12000000.0,0.0,
1994-03-31,-17900000.0,-8700000.0,69900000,10900000,6200000.0,69200000.0,7200000.0,0.0,,78400000.0,0.0,,,120000000.0,45600000.0,52700000.0,,-30200000.0,,,23900000,2900000.0,,,80100000.0,700000.0,,900000.0,,,58300000.0,200000.0,,25600000.0,,45300000.0,100000.0,7200000,,53000000.0,25700000.0,400000.0,-6600000.0,-3500000.0,-4200000.0,,-400000.0,2400000.0,7200000.0,,-100000.0,3800000.0,-22100000.0,,,14400000.0,16300000.0,,3200000.0,23500000.0,10400000.0,,36400000.0,7800000.0,,,11200000.0,158500000.0,38500000.0,23900000.0,23900000.0,29800000.0,13000000.0,,15900000.0,0.0,
1994-06-30,-22300000.0,-500000.0,83100000,11000000,-15400000.0,70800000.0,1000000.0,0.0,,115500000.0,1000000.0,,0.00375,144300000.0,68000000.0,89600000.0,,-90800000.0,266666667.0,,15500000,200000.0,,,67800000.0,12300000.0,,-1300000.0,,,59800000.0,2500000.0,,25800000.0,266666667.0,40400000.0,100000.0,1000000,,71800000.0,25900000.0,800000.0,-2600000.0,3100000.0,2800000.0,,-9600000.0,5500000.0,1000000.0,,-100000.0,3800000.0,-43200000.0,0.00375,,6200000.0,-7300000.0,,400000.0,24800000.0,1400000.0,14900000.0,71900000.0,3600000.0,,,10400000.0,183300000.0,39000000.0,25600000.0,25600000.0,10800000.0,4500000.0,,16900000.0,32900000.0,
1994-09-30,-17700000.0,-17200000.0,79100000,10900000,-8600000.0,70500000.0,8000000.0,0.0,,106600000.0,,,0.0275,145400000.0,68400000.0,80900000.0,,-82900000.0,290909091.0,,18500000,2900000.0,,,78500000.0,8600000.0,,-3400000.0,,,59600000.0,500000.0,,25600000.0,290909091.0,39000000.0,100000.0,8000000,,72500000.0,25700000.0,700000.0,-3300000.0,1900000.0,1700000.0,600000.0,600000.0,5000000.0,8000000.0,,100000.0,4500000.0,-43200000.0,0.0275,,300000.0,-6300000.0,,3000000.0,25200000.0,11000000.0,14600000.0,62600000.0,-3000000.0,,,10000000.0,185100000.0,39700000.0,19300000.0,19300000.0,15800000.0,7600000.0,,17600000.0,0.0,
1994-12-31,-40400000.0,10400000.0,84100000,11800000,-28700000.0,74600000.0,9100000.0,0.0,,102900000.0,,,0.03125,156100000.0,70200000.0,77300000.0,,-73900000.0,291200000.0,,17200000,2200000.0,,,93100000.0,9500000.0,,-2000000.0,,,62800000.0,-600000.0,,25500000.0,291200000.0,57400000.0,100000.0,9100000,,83300000.0,25600000.0,600000.0,-3300000.0,6100000.0,5800000.0,600000.0,1000000.0,5600000.0,9100000.0,,-100000.0,4700000.0,-44900000.0,0.03125,,25800000.0,3400000.0,,3000000.0,25300000.0,12100000.0,,62400000.0,22500000.0,,,9900000.0,196000000.0,39900000.0,22700000.0,22700000.0,17000000.0,4100000.0,,14300000.0,0.0,
1995-03-31,-36400000.0,-300000.0,88600000,12800000,-24000000.0,77500000.0,10400000.0,22800000.0,,110000000.0,,,,179600000.0,77900000.0,84600000.0,,-63500000.0,,,16400000,2800000.0,,,111300000.0,11100000.0,,6700000.0,,,64700000.0,1500000.0,,25400000.0,,-1700000.0,0.0,10400000,,98600000.0,25400000.0,500000.0,-12700000.0,8700000.0,8600000.0,600000.0,1700000.0,4200000.0,10400000.0,,100000.0,4500000.0,-49000000.0,,,17800000.0,100000.0,,3500000.0,28900000.0,13900000.0,,66200000.0,5100000.0,,,8300000.0,221300000.0,41700000.0,22800000.0,22800000.0,18400000.0,3600000.0,,17900000.0,0.0,
1995-06-30,-31000000.0,-7800000.0,90100000,13400000,-13300000.0,80000000.0,11700000.0,0.0,,86000000.0,-100000.0,,0.03625,180600000.0,80700000.0,70600000.0,,-51800000.0,322758621.0,,18200000,1800000.0,,,138800000.0,10100000.0,,0.0,,,66600000.0,900000.0,,15300000.0,334285714.0,43200000.0,100000.0,11700000,,102300000.0,15400000.0,500000.0,-7500000.0,6400000.0,6200000.0,400000.0,1700000.0,3300000.0,11700000.0,,0.0,4800000.0,-49000000.0,0.035,,10400000.0,2700000.0,,2900000.0,31700000.0,14600000.0,18600000.0,53900000.0,2900000.0,,,7700000.0,224800000.0,44200000.0,25500000.0,25500000.0,25200000.0,4800000.0,,16200000.0,22800000.0,
1995-09-30,-20000000.0,-10700000.0,102800000,14600000,-8000000.0,91700000.0,12900000.0,0.0,,100300000.0,-100000.0,,0.03875,209600000.0,95000000.0,84900000.0,,-38900000.0,332903226.0,,19500000,2400000.0,,,160000000.0,11100000.0,,-1100000.0,,,77100000.0,-4600000.0,,15400000.0,344000000.0,52800000.0,0.0,12900000,,99200000.0,15400000.0,400000.0,-10000000.0,8300000.0,8400000.0,300000.0,1800000.0,7800000.0,12900000.0,,0.0,5200000.0,-56800000.0,0.0375,,9400000.0,10000000.0,,3200000.0,38200000.0,16100000.0,19400000.0,64800000.0,-600000.0,,,7300000.0,260300000.0,50700000.0,35400000.0,35400000.0,23100000.0,4900000.0,,19700000.0,0.0,
