date,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentAssets,quarterlyRepaymentOfDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyInventory,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2017-03-31,8787000.0,21396000,177061000.0,41005000.0,280976000.0,-3935000,,4542000.0,835000,-6401000,116239000.0,-12618000,4542000.0,-6401000,,4389000,19000.0,-0.07,70294000,1985000,3667000,66914000.0,,4699000.0,,31306000,-6401000,50608000,41206000,18106000.0,92830000.0,,-1139000,1947000,16637000.0,214062000.0,6943000.0,19345000.0,70294000.0,-77000.0,3261000.0,77329000,94000.0,70294000.0,0.0,8278000,-5013000,0.0,92830000.0,647000,2763000.0,36778000.0,,-9855000,-933000,-4770000,-9402000,62602000,62372000.0,-0.07,-5754000,36778000.0,-188000.0,103915000.0,,0.0,-377729000.0,19302000,-7035000,,-46000,,,,,,
2017-06-30,8750000.0,17042000,178800000.0,27861000.0,268157000.0,7584000,,4974000.0,15321000,-6025000,116239000.0,-18982000,4974000.0,-6025000,,4704000,18000.0,-0.06,66086000,-7549000,-68000,46101000.0,,4297000.0,,24599000,-6025000,44498000,39275000,12457000.0,95047000.0,,-2452000,42000,7571000.0,222056000.0,0.0,17970000.0,66086000.0,76000.0,809000.0,70294000,96000.0,66086000.0,0.0,9099000,-5223000,0.0,95047000.0,716000,7002000.0,40294000.0,,-11980000,8178000,-7737000,-5223000,56317000,41127000.0,-0.06,-5309000,40294000.0,188000.0,89357000.0,,0.0,-383754000.0,19899000,-4208000,,-635000,,,,,,
2017-09-30,9843000.0,22356000,199348000.0,41940000.0,440152000.0,5868000,,5243000.0,13291000,-11516000,116239000.0,-3241000,5243000.0,-11516000,,5208000,19000.0,-0.11,122227000,-105341000,197000,71198000.0,,4419000.0,,31504000,-11516000,51380000,40284000,21906000.0,103041000.0,17013000.0,1300000,-1203000,23955000.0,368954000.0,0.0,16599000.0,122227000.0,19000.0,2109000.0,66086000,108000.0,203141000.0,14499000.0,10091000,-5888000,-112417000.0,103041000.0,598000,151432000.0,45078000.0,,148191000,8023000,-7423000,-11096000,62640000,65955000.0,-0.11,-10918000,45078000.0,0.0,240804000.0,,0.0,-395270000.0,19876000,56141000,80914000.0,117000,,,,,,
2017-12-31,10855000.0,19381000,217988000.0,31074000.0,446930000.0,15489000,,4305000.0,21701000,3659000,125272000.0,-2213000,4305000.0,3659000,,5036000,18000.0,0.03,126457000,-25329000,483000,55868000.0,,3765000.0,,28242000,3659000,51091000,54126000,13440000.0,121557000.0,20305000.0,4940000,-961000,7845000.0,391062000.0,0.0,21153000.0,126457000.0,-282000.0,7049000.0,122227000,110000.0,208199000.0,11644000.0,10891000,3035000,-15830000.0,121557000.0,-159000,10071000.0,47493000.0,-40430000.0,7858000,2109000,-6212000,3035000,73507000,51563000.0,0.03,3500000,47493000.0,-14931000.0,228942000.0,,0.0,-391611000.0,22849000,4230000,81742000.0,-62000,,,,,,
2018-03-31,8055000.0,20224000,208635000.0,26418000.0,423478000.0,1670000,,4443000.0,6553000,-2617000,125525000.0,-35640000,4443000.0,-2617000,,5217000,20000.0,-0.02,107334000,4236000,344000,53467000.0,,4383000.0,,33592000,-2617000,59125000,56725000,18625000.0,110904000.0,10628000.0,-3068000,2783000,6898000.0,370011000.0,,19902000.0,106827000.0,138000.0,3981000.0,126963000,113000.0,189091000.0,21630000.0,11642000,2817000,-12511000.0,110904000.0,541000,5222000.0,48197000.0,,-30418000,-7648000,-4883000,-2400000,76949000,49024000.0,-0.02,-2076000,48197000.0,0.0,214843000.0,,,-394305000.0,25533000,-19629000,82264000.0,-41000,,,,,,
2018-06-30,8096000.0,17784000,230162000.0,29460000.0,720571000.0,11758000,276578000.0,283345000.0,16962000,-3909000,135842000.0,-4674000,6767000.0,-3909000,,5448000,3664000.0,-0.03,385409000,-23415000,879000,331852000.0,,4256000.0,,30916000,-3909000,57134000,56438000,13710000.0,112738000.0,15957000.0,1356000,-174000,7742000.0,388719000.0,,22591000.0,384926000.0,-661000.0,5337000.0,107334000,114000.0,465864000.0,50350000.0,12043000,4752000,-54123000.0,112738000.0,428000,12828000.0,51516000.0,,284528000,118000,-5204000,-696000,74222000,48507000.0,-0.03,-3481000,51516000.0,-14438000.0,490409000.0,,,-398214000.0,26218000,278075000,80938000.0,3577000,,,,,,
2018-09-30,8620000.0,19918000,250004000.0,46999000.0,752292000.0,13191000,280132000.0,287148000.0,21152000,-13709000,149762000.0,-5355000,7016000.0,-13709000,,5966000,3772000.0,-0.12,379721000,-26915000,1192000,363711000.0,,4523000.0,0.0,35690000,-13709000,64735000,54319000,25281000.0,114184000.0,14961000.0,-1289000,-200000,26651000.0,388581000.0,,27813000.0,379020000.0,-965000.0,4283000.0,385409000,115000.0,459918000.0,47900000.0,13818000,-4450000,-46642000.0,114184000.0,713000,5413000.0,52945000.0,,75000,11575000,-7961000,-10416000,74237000,76563000.0,-0.12,-12996000,52945000.0,-20212000.0,502288000.0,0.0,,-411924000.0,29045000,-5688000,80898000.0,3473000,0.0,,,,,
2018-12-31,12733000.0,22070000,266013000.0,34077000.0,760938000.0,17271000,283668000.0,290632000.0,30446000,5347000,149524000.0,-3420000,6964000.0,5347000,,6174000,3769000.0,0.04,375945000,-36455000,983000,350304000.0,,14618000.0,0.0,32230000,5347000,65725000,73606000,17418000.0,125610000.0,16052000.0,3894000,-3947000,9510000.0,410634000.0,,25915000.0,374664000.0,-1019000.0,8177000.0,379721000,116000.0,468009000.0,20300000.0,14527000,7881000,-43580000.0,115123000.0,-252000,5653000.0,59904000.0,-55174000.0,2233000,792000,-13175000,7881000,95676000,59672000.0,0.05,5095000,59904000.0,0.0,494925000.0,-8000.0,,-406576000.0,33495000,-3776000,93345000.0,3550000,0.0,,,,,
2019-03-31,8870000.0,23335000,290335000.0,35706000.0,1309215000.0,3881000,789380000.0,808115000.0,17941000,-4318000,149481000.0,-76044000,3311000.0,-4318000,,6785000,4232000.0,-0.04,915541000,13173000,1545000,881078000.0,,15412000.0,-85050000.0,42387000,-4318000,75079000,74074000,26276000.0,116730000.0,12533000.0,-1836000,4024000,9691000.0,428137000.0,,24097000.0,914500000.0,-900000.0,6341000.0,375945000,118000.0,984580000.0,48805000.0,15038000,5780000,-21572000.0,116730000.0,626000,6982000.0,88812000.0,,508482000,-4574000,-14060000,-1005000,97409000,72963000.0,-0.04,-3692000,88812000.0,,1018880000.0,,4640000.0,-411005000.0,32692000,539596000,70080000.0,5010000,-20000000.0,,,,,
2019-06-30,5948000.0,20518000,567784000.0,37425000.0,1415683000.0,20474000,874126000.0,891961000.0,29905000,-2029000,149466000.0,-6207000,3592000.0,-2029000,,7149000,,-0.02,556979000,-477922000,5206000,956112000.0,,15544000.0,-12150000.0,34417000,-2029000,66482000,73344000,18821000.0,118790000.0,288682000.0,-3581000,2920000,14608000.0,459571000.0,,22374000.0,555792000.0,-618000.0,3131000.0,915541000,119000.0,815191000.0,37300000.0,15452000,14011000,-505791000.0,118790000.0,583000,10226000.0,91718000.0,,89455000,-4774000,-9431000,6862000,93862000,64151000.0,-0.02,-1446000,91718000.0,,847899000.0,,4774000.0,-413034000.0,32065000,-358562000,259399000.0,14068000,0.0,,,,,
2019-09-30,13678000.0,22164000,619623000.0,52199000.0,1463692000.0,30700000,887215000.0,906345000.0,38729000,-11477000,149068000.0,-8825000,3815000.0,-11477000,,7435000,,-0.1,451763000,-145635000,7723000,995180000.0,,15836000.0,0.0,40574000,-11477000,77016000,71987000,27457000.0,120085000.0,340118000.0,1434000,-7794000,24888000.0,468512000.0,,20622000.0,450457000.0,-1758000.0,4197000.0,556979000,121000.0,795849000.0,157900000.0,16865000,2406000,-295506000.0,114770000.0,623000,10515000.0,93979000.0,,1690000,11104000,-8029000,-5029000,94151000,88835000.0,-0.1,-10854000,93979000.0,0.0,844069000.0,20000.0,,-424511000.0,36442000,-105216000,345392000.0,13950000,0.0,,,,,
