date,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments
1999-12-31,,,-4500000.0,57800000,39800000,,700000.0,288100000,133600000,0.088333,371900000.0,13700000,,67644000.0,-3500000.0,100000.0,,,21300000,9400000,-7400000,-2600000,250900000.0,181700000,10000000,244800000,230400000,18500000,0,,,106400000,17200000,,-246700000.0,46700000,67926000.0,100000.0,22200000,-2600000,600000.0,,9200000,-7600000,6000000,6000000,4000000,,107400000,125200000,0.088333,-800000,,135000000,3500000.0,26100000,-1100000,93800000,,,10400000,100000.0,1600000,6000000,532900000,9400000,,9400000,45100000,,2800000,302500000,155100000,7600000.0,,,
2000-03-31,,,3637000.0,64377000,38536000,,-1772000.0,288655000,149085000,0.08,370273000.0,11089000,,67446000.0,-1861000.0,,,,18388000,13544000,-5822000,-2633000,253772000.0,177538000,8812000,243774000,231593000,20148000,0,,,111117000,16958000,,-245478000.0,47538000,67560000.0,106000.0,22568000,-7100000,203000.0,,17512000,-6670000,5372000,5372000,3440000,,108455000,124795000,0.08,634000,,130000000,0.0,27447000,4195000,110549000,,,9400000,106000.0,10842000,5372000,532429000,13544000,,13544000,46740000,,3076000,300836000,153473000,7299000.0,,,
2000-06-30,,1289000.0,9389000.0,76948000,45263000,,-3614000.0,258332000,155496000,0.388333,368556000.0,17168000,,67512000.0,1449000.0,,,0.0,25283000,14399000,35083000,-2614000,277431000.0,124282000,39796000,266257000,225866000,19980000,0,,,134050000,16657000,,-245241000.0,47282000,67650000.0,108000.0,23651000,-53332000,620000.0,,19679000,-7017000,26165000,26165000,13631000,,104042000,123315000,0.386667,25256000,,77000000,9212000.0,28095000,855000,110233000,,,13544000,106000.0,12662000,26165000,524589000,14399000,,14399000,47890000,,2842000,298723000,151757000,8115000.0,,,
2000-09-30,,-2835000.0,-8477000.0,81342000,44177000,,-2263000.0,258099000,159212000,,370409000.0,17958000,,,166000.0,,,0.0,25363000,9315000,-6125000,-2625000,284431000.0,124642000,15531000,275624000,234293000,18814000,41452000,,,133457000,16835000,,-247951000.0,50142000,,193000.0,26854000,-7760000,988000.0,,8819000,-6129000,9432000,9432000,6099000,,102990000,122458000,,-474000,,74500000,8331000.0,26219000,-5084000,115035000,,,14399000,106000.0,2690000,9432000,533723000,9315000,,9315000,43784000,,2170000,299430000,150118000,7405000.0,,,
2000-12-31,,471000.0,-11292000.0,66289000,43898000,,-3750000.0,248737000,150730000,0.16,369156000.0,20398000,,67890000.0,-6639000.0,-1002000.0,,,28612000,8724000,-10426000,-2631000,292782000.0,130007000,17942000,282650000,229539000,15286000,0,,,118730000,16492000,,-248060000.0,50507000,68826000.0,74000.0,28089000,2518000,162000.0,,7606000,-6005000,10908000,10908000,7034000,,109553000,121096000,0.158333,-556000,,79500000,8991000.0,23500000,-591000,106832000,,,9315000,106000.0,1601000,10908000,531387000,8724000,,8724000,43450000,,2179000,301848000,152663000,8214000.0,,,
2001-03-31,,-346000.0,-11286000.0,68830000,48283000,,-2904000.0,251345000,170176000,0.186667,371684000.0,22862000,,67896000.0,-3264000.0,,,,31276000,9206000,-7195000,-2631000,302897000.0,125802000,20841000,293611000,246876000,17007000,0,,,125543000,16903000,,-252831000.0,51302000,69144000.0,-74000.0,28085000,-2703000,148000.0,,10480000,-7351000,12672000,12672000,8169000,,113438000,118853000,0.183333,26000,,74500000,7843000.0,25421000,482000,121893000,,,8724000,106000.0,3129000,12672000,544956000,9206000,,9206000,48870000,,2336000,298080000,151142000,8414000.0,,,
2001-06-30,,124000.0,4019000.0,82485000,52847000,,-5556000.0,273335000,182508000,0.201667,380242000.0,22835000,,67914000.0,-4142000.0,,,,32577000,6712000,-32883000,-2631000,314120000.0,136030000,22381000,302371000,255342000,20270000,0,,,137305000,0,,-253892000.0,51530000,69618000.0,0.0,10605000,4225000,315000.0,,26139000,-7549000,13728000,13728000,8653000,,118279000,126350000,0.196667,1051000,,84500000,9883000.0,30012000,-2494000,129661000,112689000.0,,9206000,106000.0,18590000,13728000,575706000,6712000,,6712000,44937000,,1652000,320364000,166081000,8041000.0,,,
2001-09-30,,1054000.0,18716000.0,91180000,19369000,,-2251000.0,265766000,175377000,,386755000.0,27177000,,,-11081000.0,,,,35240000,10542000,-11195000,-2633000,327276000.0,128042000,24791000,318862000,261468000,14874000,0,,,137724000,0,,-256179000.0,51042000,,303000.0,11571000,-27258000,-244000.0,,42765000,-9983000,15760000,15760000,9031000,,131160000,130576000,,-1251000,,77000000,18483000.0,-7808000,3830000,156008000,102008000.0,,6712000,106000.0,32782000,15760000,584628000,10542000,,10542000,28061000,,1387000,323160000,164835000,8063000.0,,,
2001-12-31,,1321000.0,-18547000.0,73230000,39285000,,-3956000.0,246102000,180653000,0.165,382774000.0,23589000,,67938000.0,-3077000.0,-282000.0,,,31386000,12974000,-5515000,-2632000,335948000.0,134348000,22127000,325897000,252531000,14928000,0,,,111754000,0,,-254818000.0,53459000,69324000.0,0.0,13307000,3081000,68000.0,,3997000,-5580000,13719000,11230000,8408000,,133216000,127956000,0.161667,-196000,,80889000,10014000.0,15696000,2432000,141368000,90258000.0,,10542000,106000.0,-1583000,11230000,571999000,12974000,,12974000,28510000,,1379000,319468000,160147000,7797000.0,,,
2002-03-31,,-58000.0,3727000.0,79036000,38570000,,-4336000.0,258017000,174864000,0.2,379668000.0,22004000,,67944000.0,-647000.0,,,,29866000,13042000,-30891000,-2844000,346854000.0,144811000,20277000,336301000,256647000,15800000,-25777000,,,113206000,0,,-252989000.0,54089000,69546000.0,0.0,11888000,5812000,164000.0,,25374000,-5157000,13623000,13623000,6654000,,137680000,126679000,0.196667,-642000,,90722000,6794000.0,16566000,68000,136294000,88693000.0,,12974000,106000.0,20217000,13623000,594318000,13042000,,13042000,27376000,,1330000,337671000,182137000,7862000.0,,,
2002-06-30,,1741000.0,507000.0,76456000,38246000,,-62000.0,241805000,171888000,0.215,389448000.0,23794000,,67962000.0,3721000.0,,,0.0,31723000,10141000,-5363000,-2620000,358922000.0,129425000,23566000,352800000,257973000,13684000,0,,,112380000,0,,-262448000.0,52490000,69708000.0,0.0,11177000,-19676000,157000.0,,24744000,-5562000,14611000,14611000,8955000,,136949000,127000000,0.21,867000,,76935000,8223000.0,14452000,-2901000,133642000,93621000.0,,13042000,106000.0,19182000,14611000,594605000,10141000,,10141000,27701000,,1214000,336632000,183259000,7929000.0,,,
2002-09-30,,-1761000.0,17430000.0,74995000,24760000,,1405000.0,227494000,152586000,,390616000.0,8961000,,,9031000.0,,,0.0,17461000,29828000,-6442000,-2635000,359556000.0,131120000,4710000,354901000,248686000,14353000,0,,,96374000,0,,-266994000.0,52928000,,0.0,10175000,-13731000,0.0,,37279000,-6599000,3217000,3217000,1493000,,127112000,123622000,,-3223000,,78192000,3194000.0,15799000,19687000,127826000,76406000.0,,10141000,106000.0,30680000,3217000,582395000,29828000,,29828000,18185000,,1186000,333709000,182027000,8500000.0,,,
2002-12-31,,1827000.0,-3748000.0,61115000,26559000,,2644000.0,213084000,144825000,0.091667,390683000.0,10745000,,67836000.0,2155000.0,-23000.0,,-6679000.0,18485000,28096000,-2780000,-2635000,363344000.0,131586000,10104000,353434000,237136000,14797000,0,,,81498000,0,,-270371000.0,53219000,68742000.0,0.0,10648000,-11192000,185000.0,,12005000,-2865000,6265000,6265000,3839000,,125811000,120312000,0.091667,444000,,78367000,3759000.0,15814000,-1732000,118266000,69442000.0,,29828000,106000.0,9140000,6265000,566518000,28096000,,28096000,16624000,,1194000,329382000,181634000,7740000.0,,,
2003-03-31,,2196000.0,435000.0,61901000,24045000,,7263000.0,209818000,146159000,0.066667,393718000.0,7727000,,66906000.0,1140000.0,5000.0,,-2824000.0,15639000,30852000,-4003000,-2675000,365343000.0,131499000,7418000,357350000,243776000,15289000,0,,,78319000,0,,-276156000.0,53277000,67620000.0,0.0,10610000,-8275000,122000.0,,14985000,-4016000,4511000,4511000,2907000,,124944000,117562000,0.066667,259000,,78222000,2350000.0,16318000,2756000,122114000,74335000.0,,28096000,106000.0,10969000,4511000,567168000,30852000,,30852000,14068000,,951000,323392000,180734000,7912000.0,,,
2003-06-30,,253000.0,5890000.0,65387000,20294000,,11089000.0,255108000,141637000,-0.001667,403269000.0,2293000,,66672000.0,1749000.0,,,0.0,10627000,26015000,-54620000,-2696000,362262000.0,170587000,-408000,358455000,248525000,16958000,-49472000,,,84521000,0,,-282558000.0,57006000,66672000.0,0.0,10566000,34168000,390000.0,,14344000,-5268000,-165000,-165000,-243000,,131408000,120711000,-0.001667,-1487000,,113581000,2213000.0,18001000,-4837000,121343000,77793000.0,,30852000,106000.0,9076000,-165000,613563000,26015000,,26015000,16921000,,1349000,365038000,221545000,8334000.0,,,
2003-09-30,,4264000.0,-1337000.0,26703000,23543000,,14002000.0,255195000,154061000,,405834000.0,3768000,,,8681000.0,,,0.0,12200000,24058000,-14298000,-2701000,361382000.0,147185000,2825000,360804000,259272000,17994000,0,,,108010000,5157000,,-281690000.0,57215000,,0.0,7243000,-6376000,346000.0,,19441000,-6653000,1735000,1735000,1090000,,126289000,124144000,,-45000,,89970000,0.0,19775000,-1957000,130518000,87807000.0,45533000.0,26015000,106000.0,12788000,1735000,615999000,24058000,,24058000,35774000,,1141000,356727000,218911000,8432000.0,,,
2003-12-31,,1050000.0,8489000.0,28347000,31656000,,16936000.0,257182000,158973000,0.11,408950000.0,12870000,,67584000.0,-4382000.0,,,,21182000,41683000,-4034000,-2701000,366117000.0,148732000,12021000,368623000,274079000,17176000,0,,,108450000,6006000,,-285494000.0,58989000,68736000.0,0.0,6460000,-4107000,179000.0,,25446000,-4118000,7393000,7393000,4628000,,132178000,123456000,0.108333,-178000,,89743000,5138000.0,18786000,17625000,127317000,79850000.0,40560000.0,24058000,106000.0,21328000,7393000,625805000,41683000,,41683000,34405000,,1244000,351726000,218303000,8312000.0,,,
2004-03-31,,-753000.0,10252000.0,36654000,33719000,,17295000.0,247332000,172951000,0.135,410309000.0,15072000,,67656000.0,-3929000.0,,,,23774000,36969000,-4814000,-2707000,372818000.0,150395000,14589000,376693000,275825000,16827000,389000,,,96937000,3392000,,-289735000.0,60331000,69342000.0,0.0,6669000,-26940000,1019000.0,,27394000,-5243000,9105000,9105000,5484000,,136442000,120574000,0.131667,755000,,90064000,7313000.0,18647000,-4714000,139232000,84100000.0,43722000.0,41683000,106000.0,22151000,9105000,624025000,36969000,,36969000,9248000,,1451000,348200000,217507000,8702000.0,,,
2004-06-30,,-147000.0,-16537000.0,36824000,34549000,,16506000.0,246503000,180496000,0.121667,413616000.0,14533000,,67794000.0,-5265000.0,,,,22442000,27861000,-6835000,-2712000,378668000.0,151064000,13218000,381211000,281768000,18303000,389000,,,95439000,3582000,,-294837000.0,62569000,69648000.0,0.0,6214000,-7035000,1027000.0,,5187000,-4654000,8213000,8213000,5005000,,141636000,118779000,0.118333,-78000,,88495000,6380000.0,20016000,-9108000,145947000,92553000.0,46822000.0,36969000,106000.0,533000,8213000,627714000,27861000,,27861000,5413000,,1372000,345946000,218779000,7909000.0,,,
2004-09-30,,-2138000.0,18437000.0,35207000,67639000,,16499000.0,268433000,197385000,,399462000.0,7179000,,,2984000.0,,,0.0,15017000,48895000,-4589000,-2712000,381458000.0,157161000,9464000,385861000,308796000,18641000,-389000,,,111272000,5064000,,-282152000.0,68709000,,0.0,6617000,-1813000,650000.0,,27188000,-4683000,6671000,6671000,2793000,,138708000,117310000,,3376000,,88452000,3703000.0,60460000,21034000,129746000,99277000.0,65573000.0,27861000,106000.0,22505000,6671000,654294000,48895000,,48895000,6789000,,1265000,345498000,217253000,7838000.0,,,
2004-12-31,,1532000.0,-10623000.0,32024000,46052000,,19825000.0,269366000,189325000,0.176667,399218000.0,14974000,,67974000.0,-7784000.0,,,,23265000,54959000,-4331000,-2718000,390735000.0,148871000,19040000,400638000,323684000,18697000,0,,,120495000,5554000,,-282152000.0,71603000,69828000.0,0.0,11583000,-1268000,1568000.0,10605000.0,11283000,-4360000,11995000,11995000,7045000,,148776000,117066000,0.171667,4800000,,77268000,6849000.0,31078000,6064000,143273000,97238000.0,62705000.0,48895000,106000.0,6923000,11995000,670004000,54959000,,54959000,18917000,,1369000,346320000,217130000,8291000.0,,,
2005-03-31,,-1246000.0,-2982000.0,38451000,53099000,,18678000.0,269081000,210619000,0.19,409125000.0,20070000,,68340000.0,-5533000.0,,,,28501000,65024000,-4502000,-2849000,400865000.0,148759000,20290000,411886000,341131000,19559000,0,,,120322000,4280000,,-295142000.0,73051000,70218000.0,0.0,10431000,-2306000,1585000.0,11690000.0,16995000,-5326000,12979000,12979000,7311000,,153372000,113983000,0.185,1343000,,75708000,880000.0,33029000,10065000,157520000,99613000.0,62331000.0,54959000,106000.0,11669000,12979000,680967000,65024000,,65024000,18660000,,1525000,339836000,214641000,8431000.0,,,
2005-06-30,,3036000.0,-4930000.0,34421000,51385000,,17470000.0,258082000,210252000,0.288333,407017000.0,17377000,,68538000.0,-3401000.0,,,,24941000,74671000,-4246000,-2852000,417759000.0,143350000,25488000,427559000,352411000,19427000,0,,,114732000,4455000,,-295672000.0,68064000,70380000.0,0.0,10196000,-2394000,2480000.0,12811000.0,17335000,-6639000,19746000,19746000,5742000,1301000.0,155423000,111345000,0.28,9094000,,73985000,0.0,34008000,9647000,158867000,94812000.0,59585000.0,65024000,106000.0,10696000,19746000,685641000,74671000,,74671000,20726000,,1461000,333230000,211689000,7564000.0,,,
2005-09-30,,-695000.0,5403000.0,37015000,53510000,,16306000.0,272997000,217530000,,406788000.0,14684000,,,5596000.0,,,,21936000,84597000,-9830000,-3442000,425568000.0,144490000,14290000,432469000,369573000,22175000,0,,,128507000,4207000,,-292001000.0,71548000,,0.0,9197000,-4535000,1041000.0,14890000.0,23819000,-10290000,11251000,11251000,3039000,,149336000,114787000,,421000,,72942000,0.0,38826000,9926000,164020000,107403000.0,68647000.0,74671000,106000.0,13529000,11251000,705466000,84597000,,84597000,22845000,,1459000,335893000,209599000,7252000.0,,,
2005-12-31,,193000.0,-20008000.0,31025000,53695000,,15547000.0,237002000,195634000,0.181667,407336000.0,18973000,,68694000.0,-2509000.0,,,-1835000.0,26203000,71551000,-4749000,-3432000,434563000.0,132798000,19119000,441877000,345991000,21057000,0,,,104204000,4631000,,-293884000.0,71681000,70344000.0,1170000.0,9486000,-7880000,782000.0,11910000.0,-448000,-5082000,12427000,12427000,6692000,,151296000,113452000,0.176667,800000,,61117000,0.0,34722000,-13046000,141939000,99293000.0,43449000.0,84597000,106000.0,-5530000,12427000,678879000,71551000,,71551000,29730000,,1297000,332888000,207485000,7230000.0,,,
2006-03-31,,-1127000.0,-769000.0,36197000,56890000,,16032000.0,242414000,208917000,0.165,411779000.0,16806000,,69016000.0,-5058000.0,,,-72000.0,24328000,76653000,-7676000,-3453000,442576000.0,130636000,17177000,454606000,365399000,25257000,0,,130883000.0,111778000,3645000,,-296265000.0,70448000,70738000.0,1254000.0,9122000,-3834000,2342000.0,13069000.0,16461000,-7900000,11466000,11466000,5711000,,156663000,115514000,0.16,1078000,,60188000,0.0,40084000,5102000,152027000,103206000.0,48692000.0,71551000,106000.0,8561000,11466000,697020000,76653000,,76653000,26889000,,1305000,331621000,75033000,7522000.0,,,
2006-06-30,,-12430000.0,3510000.0,36705000,62964000,,18079000.0,237964000,217053000,0.42,418692000.0,21220000,,68820000.0,8000.0,-632000.0,,-13463000.0,28808000,66938000,-6541000,-3758000,467736000.0,128997000,21579000,469282000,363879000,23234000,0,,131748000.0,108967000,5230000,,-301626000.0,69595000,70508000.0,123000.0,8657000,-30475000,163000.0,16793000.0,27052000,-6679000,28918000,28918000,-7339000,,157623000,117066000,0.41,904000,,59402000,0.0,41744000,-9715000,154089000,109930000.0,57672000.0,76653000,106000.0,20373000,28918000,707246000,66938000,,66938000,14590000,,1299000,343367000,73427000,7588000.0,,,
