date,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1999-03-31,105714286.0,10300000,200000.0,90900000,45500000,,25400000.0,148600000.0,,185200000,345600000,17400000.0,-3200000.0,0.0,,15700000,,155600000,,0.035,386900000,191300000,,35200000,154300000,465800000,,0.0,,29800000,14800000.0,,10600000,0.0,,225700000,3700000,3700000,-400000,35500000.0,-4100000.0,-30900000.0,29900000,-56800000.0,2500000.0,178200000,59500000,2300000,105714286.0,,6000000,91800000,139700000,,,1400000.0,,31400000.0,11400000.0,145000000.0,266700000,3700000,732500000,,,5400000.0,12800000,0.035,3900000,12800000,3900000.0,,,,,,
1999-06-30,80000000.0,3700000,-800000.0,74500000,37200000,,34800000.0,147400000.0,,159100000,290800000,9700000.0,25200000.0,0.0,,9100000,,155200000,,-0.005,393300000,162600000,,33500000,128200000,420700000,,0.0,,28100000,17700000.0,,10100000,200000.0,,189500000,-400000,-400000,-1100000,39300000.0,-3400000.0,-31700000.0,29100000,-57400000.0,2500000.0,150000000,53400000,-200000,80000000.0,,-600000,90000000,121900000,,,32700000.0,,35900000.0,0.0,144300000.0,263400000,-400000,684100000,,,5400000.0,45600000,-0.005,3100000,45600000,300000.0,,,,,,
1999-09-30,126666667.0,800000,-1000000.0,89800000,34900000,,11300000.0,172500000.0,,168200000,349800000,-5200000.0,-68400000.0,15600000.0,,5700000,,157400000,,-0.015,391900000,209600000,,34100000,140200000,437200000,,-100000.0,,29200000,16200000.0,,12500000,0.0,,232600000,-1900000,-1900000,200000,9900000.0,-69500000.0,27800000.0,31100000,-64200000.0,2500000.0,194600000,50400000,-700000,126666667.0,,-2600000,108300000,133300000,,0.0,-30500000.0,600000.0,-59600000.0,0.0,165100000.0,304500000,-1900000,741700000,-12800000.0,,4900000.0,15600000,-0.015,4000000,15600000,,,,,,,
1999-12-31,,8300000,9500000.0,101000000,44600000,,-20300000.0,181600000.0,,198300000,387200000,-27900000.0,-3700000.0,12400000.0,,15800000,,159500000,,,395100000,211000000,,36300000,176200000,478400000,,100000.0,,28800000,15800000.0,,8900000,-800000.0,,254100000,2500000,2500000,-100000,-200000.0,-5400000.0,700000.0,20300000,-72500000.0,6100000.0,196000000,75200000,1600000,,,4100000,109100000,153700000,,100000.0,-3200000.0,600000.0,-5600000.0,15600000.0,174500000.0,303900000,2500000,782300000,-11500000.0,,7500000.0,12400000,,4100000,12400000,,,,,,,
2000-03-31,127114000.0,9231000,-2031000.0,122088000,49338000,,-25637000.0,184959000.0,,229386000,419581000,4168000.0,-7608000.0,13822000.0,,16150000,,162419000,,0.025,550568000,238383000,,40107000,181198000,524159000,,0.0,,33188000,13157000.0,,8114000,0.0,,254155000,2942000,2942000,-184000,-17614000.0,-5281000.0,26642000.0,20824000,-70193000.0,2844000.0,227425000,59110000,1803000,128606000.0,,4745000,114766000,180048000,,2224000.0,1419000.0,663000.0,-22895000.0,12403000.0,310400000.0,445990000,2942000,970149000,-15237000.0,,6919000.0,13822000,0.025,4590000,13822000,,,,,,,
2000-06-30,159732000.0,13629000,-2297000.0,134669000,68766000,,8824000.0,251707000.0,,270305000,419569000,-17662000.0,-4763000.0,24092000.0,,24211000,,186902000,,-0.06,739469000,197561000,,55137000,222008000,672594000,,0.0,,44555000,42782000.0,,11364000,37000.0,,364690000,-9464000,-9464000,-21276000,23062000.0,-5512000.0,-43484000.0,24122000,-95025000.0,3037000.0,183160000,87169000,-2181000,162806000.0,,-11645000,156682000,201539000,,920000.0,-25418000.0,799000.0,17550000.0,13822000.0,305640000.0,486444000,-9464000,1159038000,-22073000.0,,10582000.0,24092000,-0.06,4788000,24092000,170000.0,,,,,,
2000-09-30,160222000.0,22239000,-3848000.0,159131000,72597000,,4883000.0,286983000.0,,286325000,452222000,-8303000.0,-46238000.0,25047000.0,,30551000,,198810000,,0.075,762825000,218563000,,50358000,233659000,703307000,,0.0,,42046000,44307000.0,,10516000,0.0,,386335000,11908000,11908000,667000,17504000.0,-6198000.0,30057000.0,26944000,-110884000.0,3039000.0,205008000,74439000,7299000,163454000.0,,19207000,176099000,213728000,,8290000.0,955000.0,803000.0,11306000.0,24092000.0,308697000.0,511740000,11908000,1215047000,-17927000.0,,8312000.0,25047000,0.075,4672000,25047000,89000.0,,,,,,
2000-12-31,,30881000,2320000.0,165801000,94184000,,-30207000.0,285160000.0,,329399000,511688000,-5422000.0,-5933000.0,42459000.0,,40102000,,205034000,,,767206000,248906000,,63303000,262782000,743103000,,0.0,,54082000,29747000.0,,10399000,-699000.0,,375734000,6208000,6208000,-14222000,3661000.0,-7570000.0,19544000.0,32805000,-111514000.0,16030000.0,222477000,96981000,6038000,,,12246000,173646000,235215000,,2813000.0,17412000.0,805000.0,-3909000.0,25047000.0,329340000.0,535791000,6208000,1278894000,-21858000.0,,9221000.0,42459000,,4927000,42459000,,,,,,,
2001-03-31,161232000.0,36229000,,190349000,91173000,,-59867000.0,288499000.0,,360272000,611524000,-40869000.0,-31561000.0,64168000.0,,45698000,,226512000,,0.13,782770000,323497000,,54944000,288027000,841105000,,0.0,,54944000,0.0,,7155000,0.0,,417567000,21478000,21478000,3211000,-29861000.0,-6881000.0,84140000.0,14418000,-111514000.0,15294000.0,301048000,89482000,13162000,163954000.0,328502000.0,34640000,176985000,269099000,8196000.0,5726000.0,21709000.0,808000.0,-36742000.0,42459000.0,341149000.0,553189000,21478000,1394294000,-33498000.0,,9469000.0,64168000,0.135,5327000,64168000,,,,,,,
2001-06-30,161718000.0,46791000,,206532000,103494000,,-110318000.0,296435000.0,,434628000,717181000,-57767000.0,-14088000.0,39696000.0,,56394000,,251811000,,0.155,807699000,387623000,,56703000,329558000,956747000,,0.0,,56703000,0.0,,8456000,0.0,,480107000,25299000,25299000,-472000,-74926000.0,-7677000.0,63596000.0,11256000,-111514000.0,15271000.0,363896000,24450000,15506000,164176000.0,405492000.0,40805000,184921000,331134000,98576000.0,760000.0,-24472000.0,809000.0,-82603000.0,64168000.0,351298000.0,568133000,25299000,1524880000,-34626000.0,,9603000.0,39696000,0.155,6233000,39696000,,,,,,,
2001-09-30,161774000.0,56902000,32000.0,219848000,119905000,,-75891000.0,287168000.0,,486812000,741756000,-26202000.0,-6296000.0,22192000.0,,66712000,,280749000,,0.18,844393000,408258000,,63003000,333498000,1020029000,,0.0,,63003000,0.0,,7113000,0.0,,509501000,28938000,28938000,-2753000,-36559000.0,-7650000.0,25835000.0,20146000,-111514000.0,15297000.0,385848000,35880000,18431000,162874000.0,460583000.0,47369000,175654000,366907000,77770000.0,3876000.0,-17504000.0,809000.0,-44209000.0,39696000.0,349541000.0,566120000,28938000,1586149000,-29460000.0,,9810000.0,22192000,0.18,6963000,22192000,,,,,,,
2001-12-31,,49355000,7854000.0,161277000,113262000,,58325000.0,289386000.0,,465743000,604156000,52932000.0,-6003000.0,43220000.0,,59346000,,309097000,,,867540000,326847000,,63907000,277309000,908566000,,0.0,,63907000,0.0,,6467000,0.0,,455934000,28348000,28348000,1908000,105970000.0,-5150000.0,-77880000.0,25422000,-120435000.0,20380000.0,300000000,105819000,16855000,,382153000.0,45203000,168951000,352481000,,-1076000.0,21028000.0,809000.0,100820000.0,22192000.0,352094000.0,563130000,28348000,1471696000,-34873000.0,,9991000.0,43220000,,6407000,43220000,10213000.0,,,,,,
2002-03-31,161840000.0,37716000,353000.0,143227000,93045000,,-39900000.0,296769000.0,,388986000,573471000,8998000.0,-18123000.0,28521000.0,,44049000,,330282000,,0.13,886916000,330714000,,55329000,242757000,892777000,362065000.0,1718000.0,,55329000,0.0,,8317000,0.0,,450540000,21185000,21185000,1212000,-12203000.0,-4409000.0,15594000.0,12903000,-120435000.0,22397000.0,300000000,12140000,11917000,163170000.0,382418000.0,33102000,176334000,295941000,62260000.0,641000.0,-14699000.0,810000.0,-16612000.0,43220000.0,,567610000,21185000,1460387000,-37323000.0,,6333000.0,28521000,0.13,6063000,28521000,25130000.0,,,,,,
2002-06-30,161960000.0,32237000,13000.0,127048000,87404000,,3129000.0,288741000.0,,372390000,529315000,-10082000.0,-694000.0,34550000.0,,38605000,,347243000,,0.105,907526000,329009000,,55167000,200306000,867591000,,-1718000.0,,55167000,0.0,,6263000,0.0,,460622000,16961000,16961000,143000,26557000.0,-4526000.0,-20436000.0,21643000,-120435000.0,22746000.0,300000000,11873000,9540000,163970000.0,342009000.0,26501000,168306000,284986000,58154000.0,291000.0,6029000.0,810000.0,22031000.0,28521000.0,362011000.0,569250000,16961000,1436841000,-33966000.0,,6368000.0,34550000,0.105,6112000,34550000,3231000.0,,,,,,
2002-09-30,161984000.0,31902000,72000.0,130136000,88533000,,-642000.0,285913000.0,,366929000,536094000,6594000.0,-5159000.0,52286000.0,,37933000,,364999000,,0.11,921152000,330959000,,56631000,205135000,890633000,,0.0,,56631000,0.0,,8181000,0.0,,454028000,17756000,17756000,2066000,24585000.0,-5524000.0,-1855000.0,22654000,-120435000.0,22778000.0,300000000,10689000,9987000,163044000.0,354208000.0,27743000,165478000,278396000,64092000.0,57000.0,17736000.0,810000.0,19061000.0,34550000.0,361315000.0,566613000,17756000,1457246000,-38152000.0,,6031000.0,52286000,0.11,6349000,52286000,218000.0,,,,,,
2002-12-31,,32468000,11008000.0,168548000,92882000,,32529000.0,368311000.0,,393641000,1025694000,19679000.0,-201347000.0,118338000.0,,38784000,,382166000,,,933364000,679478000,,60414000,346216000,1115068000,,0.0,,60414000,53805000.0,,30229000,1363000.0,,470088000,17168000,17168000,-638000,65102000.0,-10346000.0,201675000.0,26734000,-159891000.0,54612000.0,594637000,71271000,7951000,,428116000.0,25119000,208420000,300759000,106397000.0,1354000.0,66052000.0,810000.0,54756000.0,52286000.0,581576000.0,853594000,17168000,1968662000,-44461000.0,,6316000.0,118338000,,8755000,118338000,,,,,,,
2003-03-31,167408000.0,43428000,1681000.0,213827000,120445000,,-42463000.0,400342000.0,,500576000,1061925000,-36241000.0,-52744000.0,65361000.0,,52100000,,401332000,,0.115,1011167000,692747000,,77017000,369178000,1149130000,,0.0,,77017000,68039000.0,,34208000,0.0,,517689000,19166000,19166000,-2369000,-10974000.0,-7831000.0,10282000.0,32456000,-159891000.0,55496000.0,603043000,51983000,10822000,168952000.0,439975000.0,31914000,240451000,380131000,103368000.0,376000.0,-52977000.0,842000.0,-18805000.0,118338000.0,628524000.0,935492000,19166000,2084622000,-52760000.0,,8672000.0,65361000,0.115,10254000,65361000,,,,,,,
2003-06-30,168880000.0,40961000,0.0,210957000,109117000,,-41871000.0,396355000.0,,475398000,1050582000,12533000.0,-6088000.0,62153000.0,,49923000,,421692000,,0.12,1050996000,678240000,,68156000,372342000,1166994000,,0.0,,68156000,51983000.0,,31198000,0.0,,505156000,20360000,20360000,-1180000,-7880000.0,-7810000.0,10992000.0,38167000,-159891000.0,53777000.0,593265000,31320000,9518000,169980000.0,481007000.0,30990000,236464000,366281000,116265000.0,7559000.0,-3208000.0,849000.0,-15690000.0,65361000.0,638490000.0,947225000,20360000,2114219000,-44151000.0,,8962000.0,62153000,0.12,9308000,62153000,13800000.0,,,,,,
2003-09-30,169964000.0,43841000,3444000.0,222223000,119781000,,-11048000.0,390264000.0,,498600000,1065734000,-16995000.0,-9569000.0,74295000.0,,53040000,,444406000,,0.135,1075632000,655802000,,75940000,409932000,1211188000,,0.0,,75940000,97104000.0,,32101000,0.0,,526725000,22714000,22714000,-697000,25794000.0,-6319000.0,-6215000.0,35660000,-159891000.0,52575000.0,571126000,52754000,10693000,170396000.0,444668000.0,33407000,230373000,378819000,120715000.0,994000.0,12142000.0,851000.0,19475000.0,62153000.0,650190000.0,943821000,22714000,2155009000,-43574000.0,,9199000.0,74295000,0.135,9497000,74295000,14240000.0,,,,,,
2003-12-31,,30758000,1715000.0,228576000,114834000,,-7351000.0,449646000.0,,530346000,1136559000,-10599000.0,-34094000.0,74217000.0,,43107000,,458987000,,,1090429000,684344000,,84076000,452215000,1246400000,,0.0,,84076000,107625000.0,,37996000,0.0,,546690000,14581000,14581000,-1480000,24070000.0,-10418000.0,10151000.0,24958000,-197281000.0,52368000.0,593980000,75683000,2652000,,460910000.0,-81622000,252365000,415512000,133046000.0,780000.0,-78000.0,851000.0,13652000.0,74295000.0,666622000.0,996336000,14581000,2242736000,-44374000.0,,12349000.0,74217000,,9869000,74217000,14910000.0,,,,,,
2004-03-31,170792000.0,25752000,-2030000.0,236203000,103548000,,-11351000.0,455683000.0,,496205000,1110968000,-63226000.0,-4360000.0,67691000.0,,35574000,,469951000,,0.065,1111507000,678127000,,77796000,432841000,1247390000,,2002000.0,,77796000,0.0,,36638000,0.0,,609916000,10964000,10964000,-1327000,11402000.0,-6362000.0,-12806000.0,19913000,-197281000.0,55859000.0,585630000,69682000,4570000,171870000.0,432534000.0,15758000,258402000,392657000,126956000.0,10454000.0,-6526000.0,858000.0,5040000.0,74217000.0,661972000.0,991057000,10964000,2238447000,-47009000.0,,9822000.0,67691000,0.065,9296000,67691000,,,,,,,
2004-06-30,171590000.0,38283000,7415000.0,211102000,117590000,,-31323000.0,438503000.0,,533555000,1105800000,-11823000.0,-5060000.0,62678000.0,,49164000,,491338000,,0.125,1134014000,679038000,,79307000,426762000,1266248000,,-2002000.0,,79307000,0.0,,40469000,0.0,,621739000,21387000,21387000,1045000,7429000.0,-7765000.0,-5205000.0,27767000,-197281000.0,59269000.0,579300000,70293000,8833000,172778000.0,442487000.0,30458000,241222000,415965000,145367000.0,1126000.0,-5013000.0,858000.0,-336000.0,67691000.0,670243000.0,989776000,21387000,2256024000,-47015000.0,,10881000.0,62678000,0.125,9573000,62678000,,,,,,,
2004-09-30,171770000.0,49128000,-3912000.0,237213000,131963000,,24618000.0,439910000.0,,618892000,1149771000,30460000.0,2319000.0,73365000.0,,61220000,,519167000,,0.16,1181231000,498892000,,82835000,650879000,1315495000,,16375000.0,,82835000,156410000.0,,39856000,0.0,,591279000,27829000,27829000,-1219000,60871000.0,-9349000.0,-52750000.0,19402000,-197281000.0,109036000.0,350000000,77803000,10668000,173424000.0,459377000.0,39193000,242629000,486929000,160863000.0,2504000.0,10687000.0,859000.0,51522000.0,62678000.0,695468000.0,1032413000,27829000,2347908000,-29472000.0,,12092000.0,73365000,0.16,9829000,73365000,175000000.0,,,,,,
2004-12-31,,55437000,-8173000.0,407700000,143299000,,38456000.0,506400000.0,,669448000,1284500000,-53811000.0,1101000.0,142700000.0,,66642000,,569200000,,,1296400000,484300000,,87862000,800200000,1537400000,,-19175000.0,,87862000,0.0,,31500000,0.0,,657500000,50020000,50020000,-699000,86498000.0,-15524000.0,-24539000.0,21100000,-251300000.0,102800000.0,350000000,59900000,-4871000,,480100000.0,46091000,255100000,526149000,182600000.0,516000.0,69352000.0,900000.0,70974000.0,73365000.0,730000000.0,1061300000,50020000,2598700000,33400000.0,,11205000.0,142700000,,9702000,142700000,150000000.0,,,,,,
2005-03-31,210600000.0,65900000,,511700000,161800000,,-109700000.0,1184100000.0,,814900000,2287100000,-22100000.0,152100000.0,295100000.0,,82200000,,604800000,,0.165,3932600000,1298000000,,95900000,989100000,2546200000,,162100000.0,,95900000,0.0,,84600000,0.0,,1052000000,35600000,35600000,-700000,-42500000.0,-10000000.0,44400000.0,56600000,-251300000.0,375100000.0,838300000,33600000,19500000,213200000.0,877800000.0,55500000,932800000,653100000,281800000.0,36500000.0,152400000.0,1700000.0,-52500000.0,142700000.0,2616900000.0,3690700000,35600000,6236900000,18300000.0,,16300000.0,295100000,0.17,10700000,295100000,162000000.0,,,,,,
2005-06-30,344600000.0,102100000,,525900000,255200000,,-69600000.0,1183200000.0,,1215700000,2386300000,-34800000.0,-24300000.0,322400000.0,,137100000,,666000000,,0.175,3978400000,1280000000,,153100000,1106300000,2740400000,,4200000.0,,137800000,0.0,,73400000,0.0,,1070200000,61200000,61200000,-14200000,21800000.0,-28500000.0,31200000.0,20600000,-251300000.0,371200000.0,835400000,0,28300000,348400000.0,892500000.0,90600000,931900000,960500000,426100000.0,40000000.0,27300000.0,1700000.0,-6700000.0,295100000.0,2629600000.0,3642700000,61200000,6383100000,-39100000.0,,35000000.0,322400000,0.175,14100000,322400000,154300000.0,,,,,,
2005-09-30,347400000.0,145000000,,483800000,258700000,,-165700000.0,1091400000.0,,1236500000,2219200000,-40000000.0,-41900000.0,162200000.0,,179800000,,754500000,,0.25,4126700000,1317600000,,113700000,901600000,2708400000,,-12600000.0,,106100000,0.0,,87900000,0.0,,1110900000,88500000,88500000,-6500000,-3200000.0,-29300000.0,-114800000.0,22400000,-251300000.0,388700000.0,841000000,0,42400000,351800000.0,989100000.0,132500000,840100000,977800000,413200000.0,30900000.0,-160200000.0,1700000.0,-32500000.0,322400000.0,2737400000.0,3659600000,88500000,6368000000,-25400000.0,,34800000.0,162200000,0.255,14600000,162200000,4600000.0,,,,,,
