date,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable
2010-06-30,44858165.96,,396876861.7,704426896.96,1756249022.53,442807133.09,3414406820.88,-647560274.05,561564330.87,2632048641.88,419307118.3,1556327143.71,7764365740.95,782358179.0,2226667133.2,,45930271.39,-196797245.76,16353296.98,,261619763.87,,779218179.0,,1500000.0,22466179.8,-103536363.0,-22928314.2,4926373.63,0.0,,0.0,-635138511.15,45000000.0,28469237.0,323731619.76,331120682.46,12915706.02,,,-178091624.04,,390837881.3,59717198.84,561564330.87,,,2066327273.0,1934340646.57,3058060000.0,8296353756.8,9067323530.52,-265336252.38,323731619.76,11293990663.72,,,,1756249022.53,1756249022.53,,,,,,,,,,,,,,,,,
2010-09-30,89852723.14,,374374774.89,676071760.65,2008397355.79,420529768.19,3836837122.13,-353535185.71,692216918.75,2697745268.17,377999592.42,1854874712.04,8062913309.28,1139091853.96,2588927218.36,,46154993.3,-15078206.6,15384645.98,3058889020.0,255541992.46,0.0976,1136036361.0,,1415492.96,24083676.53,-18454546.0,-16515453.6,2623468.98,0.0,3058889020.0,0.0,-341059323.96,45000000.0,19516533.12,298547568.33,302230480.24,59178589.0,,,252148333.26,,358483059.3,56252579.06,692216918.75,,,2041963636.0,1756249022.53,3058060000.0,8512255788.36,9419672226.85,-51846188.35,298547568.33,12008599445.21,3995791.85,,0.0976,2008397355.79,2008397355.79,,,,,,,,,,,,,,,,,
2010-12-31,295796004.93,,265652041.47,800873651.83,1283719345.93,335966003.4,3473695546.14,-657558519.22,482627782.72,2076495453.54,310795740.61,1776363928.54,8319634533.13,1397200092.6,1789331231.26,,70313961.93,-96195106.8,16638130.1,,464907648.43,,1377419456.1,16809650.58,1330985.92,39913208.51,-2184790909.0,-63221655.8,2623468.98,-726001.52,,0.0,-593800645.42,1275000000.0,45486184.86,228761398.6,224264768.08,11907202.89,151894000.0,-1139818000.0,-724678009.86,,265309555.75,41044787.67,482627782.72,,,22811780.04,2008397355.79,3058060000.0,9359047702.38,10108361156.04,-8320108.73,228761398.6,11897692387.3,-711815.0,,,1283719345.93,1283719345.93,,,,,,,,,,,,,,,,,
2011-03-31,89310157.09,,392487453.72,596418095.0,2598828351.55,441882169.84,5205568470.94,-709606280.6,484399606.84,2677549652.73,398816004.94,2048165704.35,8589774523.82,2528018818.21,3409574892.64,,49394716.12,-21273234.75,18914840.95,3057387804.0,154535925.16,0.0889,2508707799.67,16255525.58,1415492.96,28781504.63,-1304545455.0,-273616921.8,2623468.98,-240000.0,3057387804.0,0.0,-445270229.54,75000000.0,30097664.9,271801775.81,275429094.03,84789381.77,,,1315109005.62,,368718340.04,93289246.01,484399606.84,,,2018181818.0,1283719345.93,3058060000.0,9501411553.94,10484157138.49,-308184597.14,271801775.81,13893732031.13,9149841.29,,0.0889,2598828351.55,2598828351.55,,,,,,,,,,,,,,,,,
2011-06-30,512855628.46,,414381715.87,939506928.32,1993628924.14,477181305.93,5816318735.29,-640981187.06,579520518.86,3245448984.45,428111815.9,2077850908.78,8613323906.25,2570869750.84,2894476956.07,,62799590.06,-315590813.4,261473694.05,,462325622.39,,2553689239.34,14209525.58,1330985.92,29566787.46,-2272727.0,-248183615.3,2988655.86,17480000.0,,0.0,-400040171.0,125000000.0,26524451.2,295736424.45,302290672.39,38539925.73,,,-605199427.41,,401587364.7,99296692.31,579520518.86,,,2052811780.04,2598828351.55,3058060000.0,10395807064.8,11665586791.78,-203826085.68,295736424.45,14560063747.85,6796258.69,,,1993628924.14,1993628924.14,,,,,,,,,,,,,,,,,
2011-09-30,102160022.22,,371069522.77,766680705.99,1947137552.56,431777520.62,5750000719.34,-710417221.91,577518901.87,2875335208.78,379640224.44,2445924070.58,8975172883.05,2874665510.56,3147975054.83,,60707997.85,36057424.24,409931771.56,3057086061.0,334903185.37,0.1204,2858078999.06,13615525.58,1330985.92,34386564.11,-17545455.0,-82444747.31,2988655.86,0.0,3057086061.0,0.0,-628278957.61,125000000.0,28476803.91,368073161.8,371717318.13,55512469.1,,,-46491371.58,,351163420.53,-20553897.6,577518901.87,,0.0,2039811780.04,1993628924.14,3058060000.0,10374362409.45,11711261995.2,-291800291.24,368073161.8,14859237050.03,285000.0,,0.1204,1947137552.56,1947137552.56,,,,,,,,,,,,,,,,,
2011-12-31,1276924100.25,,477730648.73,1504420417.68,1788939592.66,579762786.48,7280294027.16,-732215829.39,541656284.06,4148677194.17,491899476.81,2344525062.05,9345158983.83,3131616832.99,2589691700.65,,102032137.75,-14542209.15,77812834.96,,924657631.2,,3120743992.92,7986361.19,1246478.88,48298169.3,-86363636.0,-90375442.79,2988655.86,0.0,,0.0,-641867532.6,60000000.0,48349354.57,368551908.16,369604365.56,26950432.28,132193000.0,-1180590000.0,-158197959.9,,443550122.24,73945756.68,541656284.06,,0.0,2039811780.04,1947137552.56,3058060000.0,11742253313.78,14197876897.76,-250970830.37,368551908.16,16787568598.41,0.0,,,1788939592.66,1788939592.66,,,,,,,,,,,,,,,,,
2012-03-31,797011999.59,,412983244.7,844429727.39,1320136851.81,475239776.04,6496697832.9,-289691887.5,540223460.68,3168248937.27,423148147.18,2669801495.97,9670018928.88,3328448895.63,2367614536.61,,62256531.34,-102878250.01,63484705.16,3057109341.0,369189951.35,0.1064,3317670930.56,7891486.19,1246478.88,40531402.93,-2033285455.0,277018353.33,3054615.73,12056678.78,3057109341.0,0.0,-574966592.83,920000000.0,27949896.71,325276433.92,333197385.73,97980226.8,,,-468802740.85,,395198250.47,62000864.74,540223460.68,,12118000.0,704151780.04,1788939592.66,3058060000.0,11743776923.9,13983462936.32,-379782812.59,325276433.92,16351077472.93,8250000.0,,0.1064,1320136851.81,1320136851.81,,,,,,,,,,,,,,,,,
2012-06-30,1253581877.84,,412343766.33,1001667670.17,2485459770.49,480593458.49,9095623465.03,-1161284960.88,543065890.13,3425431980.38,440931280.39,2716234200.28,9716312803.56,5670191484.65,3357524630.16,,68249692.16,-239412994.24,92014163.86,,521074211.68,,5633747896.81,33557108.96,1246478.88,39286666.78,-360532727.0,-129866111.1,3404676.75,-9871026.55,,0.0,-1041902842.04,740000000.0,46335687.17,321658104.31,334164967.79,73716211.33,,,1165322918.68,,394595593.22,60430625.43,543065890.13,,0.0,717151780.04,1320136851.81,3058060000.0,13250672272.85,15638357477.69,-610313356.05,321658104.31,18995882107.85,10423996.26,,,2485459770.49,2485459770.49,,,,,,,,,,,,,,,,,
2012-09-30,1670285540.14,,399072710.16,1017542531.64,1848610917.85,468478361.1,9257811232.2,-711423524.32,584912039.02,3264707173.14,410012482.38,3018223925.33,10015803595.36,5993104059.06,2882518043.77,,69405650.94,-82991729.77,89137425.4,3056576164.0,549064170.54,0.0988,5957229721.22,32987858.96,1246478.88,40903290.28,-685885455.0,-62961203.34,3404676.75,-1481642.42,3056576164.0,0.0,-648562426.98,740000000.0,44197133.01,301989725.05,307611044.17,195484003.27,,,-636848852.64,,365815349.37,58204305.2,584912039.02,,0.0,35811780.04,2485459770.49,3058060000.0,14297779684.68,16580364225.42,-70569087.52,301989725.05,19462882269.19,0.0,,0.0988,1848610917.85,1848610917.85,,,,,,,,,,,,,,,,,
2012-12-31,1182455448.28,,383253517.97,1346311915.71,1898326997.8,480532032.4,8891959003.53,-523144516.69,573555386.15,2769188703.37,420262890.8,2696991118.33,10253224695.52,6122770300.16,2338680619.47,,97278514.43,-108332627.97,113607210.77,,865779883.31,,6085866085.22,34102243.1,1161971.84,56135472.98,-521363636.0,-35486911.64,3404676.75,-5860000.0,,0.0,-495408902.19,730000000.0,136044656.06,232006744.78,235937306.04,42865689.54,,-1227462000.0,49716079.95,,284218234.74,48280928.7,573555386.15,,0.0,35811780.04,1848610917.85,3058060000.0,14638274091.24,16999702852.09,16306852.23,232006744.78,19338383471.56,416700.0,,,1898326997.8,1898326997.8,,,,,,,,,,,,,,,,,
2013-03-31,652954678.17,,412068702.98,909823720.69,2122701877.56,474850475.25,9830234446.44,-1771245248.32,566035818.89,2101471976.28,419808203.74,2953437760.3,10512031441.11,7728762470.16,3484448818.65,,62781772.27,-92494177.94,70730539.65,3056574994.0,434973245.44,0.0839,7691320630.22,34639868.1,1161971.84,39393909.61,-557545455.0,-715602585.0,3404676.75,-6645599.53,3056574994.0,0.0,-1026058068.37,390000000.0,110121764.16,256446641.97,261488581.8,172223121.12,,,224374879.76,,309686439.58,48197857.78,566035818.89,,,315837780.04,1898326997.8,3058060000.0,14998387167.68,17056059552.62,-476778707.82,256446641.97,20540508371.27,0.0,-30000000.0,0.0839,2122701877.56,2122701877.56,,,,,,,,,,,,,,,,,
2013-06-30,1226473678.93,,378266070.88,1792806763.31,2398208364.03,463402129.12,10928500610.36,434343807.96,563961138.16,2574175095.76,405011233.9,2876907276.82,10471601028.45,8354325514.6,4298071211.05,,85136058.24,-371765851.53,520368292.45,,1329404634.19,,8331047903.22,20475639.54,1161971.84,47659007.14,-402272727.0,937694539.36,34566892.51,2720137.55,,0.0,-738506339.1,27790000.0,118647223.74,219851363.29,232135839.15,1024444731.95,,,275506486.47,,286364010.16,54228171.01,563961138.16,30688000.0,,663837780.04,2122701877.56,3058060000.0,15481237847.75,17597769873.88,-1154272801.92,219851363.29,21895841084.93,,-45923484.75,,2398208364.03,2398208364.03,,,,,,,,,,,,,,,,,
2013-09-30,1159247125.1,,491997150.8,1999638094.85,2349689259.52,578263418.8,11305208191.16,-421543880.57,587231105.6,2620554631.56,499049570.35,3184816757.64,10778306959.5,8684653559.6,4600898343.79,2599215.84,86266268.0,-112901226.32,529356811.33,3079094808.0,1421374676.05,0.1,8661502448.22,20349139.54,1161971.84,42599746.36,-325361455.0,225909025.81,35040949.68,6937400.0,3079094808.0,0.0,-650718551.66,270000000.0,107614438.15,307909480.82,325777655.95,1196007009.42,,,-48519104.51,,391435132.2,65657476.25,587231105.6,,10800000.0,370811780.04,2398208364.03,3058060000.0,16099409570.39,18006401792.07,-451368494.28,307909480.82,22607300135.86,266954215.52,-474057.17,0.1,2349689259.52,2349689259.52,,,,,,,,,,,,,,,,,
2013-12-31,1550912941.61,13969000.0,394440283.74,2432593833.82,1791962680.71,540776210.28,12438881508.76,-615959488.04,582041282.14,3726727921.72,448470280.69,3052745461.43,11004499555.42,8712153587.04,5294422928.96,,146335926.54,-102287957.9,398482517.93,,1891817623.54,,8600956998.22,19424356.82,5585156.0,74899588.82,-241363636.0,65912036.36,870024098.38,122920502.0,,0.0,-445599330.31,590000000.0,135553891.22,226071953.17,251774381.42,1134990430.54,,-1259226000.0,-557726578.81,0.0,312916389.47,61142008.05,582041282.14,,262965300.0,613993594.04,2349689259.52,3058060000.0,17351039690.9,18675095734.34,-795180984.92,226071953.17,23969518663.3,-224552063.71,-11811770.38,,1930425410.63,1930425410.63,,,,,,,,,,,,,,,,,
2014-03-31,1197464536.67,,441695478.15,1531793446.07,2706271728.75,527766990.96,13346674004.98,-688483469.11,575125912.62,3533627013.86,448521315.41,3315954004.71,11264067548.2,9813046991.12,6280416478.81,,86071512.81,-165230245.59,276141370.81,3057009794.0,1004026455.11,0.0861,9639411543.22,18863215.9,5585156.0,48723709.09,-454545455.0,183397075.26,599850098.38,-135767.65,3057009794.0,0.0,-869798495.37,1186110000.0,110001619.56,263208543.28,277525485.48,1285935626.77,,,914309048.04,-2236000.0,338519695.85,60994210.37,575125912.62,,,313993594.04,1791962680.71,3058060000.0,17612612198.89,18868880999.73,-499204509.98,263208543.28,25149297478.54,,,0.0861,2844734458.67,2844734458.67,,,,,,,,,,,,,,,,,
2014-06-30,1544113984.89,31498000.0,472194935.5,2564346250.58,3199963968.8,581460805.66,14834883712.83,-433609519.95,575516822.31,5597146712.31,501853539.27,3361600750.96,11312502660.51,9237737000.52,7242141855.32,,109265870.16,-408185293.72,777557144.55,,1982885444.92,,9051411543.22,16273225.3,22505156.0,53865794.26,-200272730.0,8867405.05,555390000.58,-304555.07,,0.0,-457283988.08,1181110000.0,122169550.22,290291546.25,329313890.41,1289307840.14,,,493692240.05,0.0,379683989.05,50370098.64,575516822.31,,,2013720864.04,2706271728.75,3058060000.0,18155135801.22,19465875742.04,-227574220.6,290291546.25,26708017597.36,,,,3334190578.55,3334190578.55,,,,,,,,,,,,,,,,,
2014-09-30,1406058337.88,,494609190.77,1734051155.94,3882432621.37,589102920.74,15380532873.82,-524754306.84,610858812.17,4953591373.31,504715962.54,3659921227.79,11615975692.95,10426941500.51,7556797790.83,,94493729.97,-180646135.06,193668392.99,3059697198.0,1144948235.2,0.0975,10244411543.22,16985416.49,17997464.8,45394733.73,-706110000.0,97214547.44,505381188.28,-399191.46,3059697198.0,0.0,-623031018.42,500000000.0,118183950.89,298320476.84,320593352.73,1474128176.92,,,682468652.57,0.0,386532011.65,65938658.92,610858812.17,,,2013720864.04,3199963968.8,3058060000.0,18612684086.85,20024560567.14,253347267.51,298320476.84,27581358357.97,1027689.9,,0.0975,4016732609.2,4016732609.2,,,,,,,,,,,,,,,,,
2014-12-31,2165517260.68,66441653.44,280594205.23,2470164976.21,3617552170.38,432720342.32,16431740933.74,-565167235.18,577301783.48,5336485548.14,337275713.99,3371459122.83,11766023545.87,11095255385.6,7404869465.27,,152126137.09,-162301406.05,561975068.07,,2037444633.89,,10866205957.22,13420698.94,66441653.44,80275709.17,-743666666.87,9355483.21,528618713.67,-9806735.14,,0.0,-580780868.75,120000000.0,154660297.6,117393515.09,131941885.46,1350943245.28,,-1315176000.0,-264880450.99,0.0,182615416.39,50673530.93,577301783.48,,,1881463261.41,3882432621.37,3058060000.0,19870168708.69,21394269274.64,-196908693.77,117393515.09,28799138739.91,12068087.76,,,3752077040.68,3752077040.68,,,,,,,,,,,,,,,,,
2015-03-31,1432898191.63,46165783.88,454794173.59,1456435450.49,3179705545.38,555272635.35,16380503531.46,-1157715538.19,564858974.88,5635988487.94,462966653.41,3658241360.76,12053745273.22,10744515043.52,7061116559.35,,100478461.76,-214881061.56,245084037.96,3057379935.0,901162815.14,0.0938,10536205957.22,12956226.42,46165783.88,58095183.03,-254545457.0,60658933.85,504200203.71,0.0,3057379935.0,0.0,-1219017292.34,120000000.0,111564352.67,286782237.93,291408848.56,1372030332.08,,,-437846625.0,,351402300.74,59993452.18,564858974.88,,,2896917804.41,3617552170.38,3058060000.0,20384920952.24,21982010400.56,-949721860.59,286782237.93,29043126959.91,62780.3,,0.0938,3294035226.6,3294035226.6,,,,,,,,,,,,,,,,,
2015-06-30,1709576221.59,60007561.05,453879138.5,1540039063.74,2613180300.27,549133735.79,17052593942.65,-901226858.69,561155634.83,4127042281.98,470665192.2,3682988997.06,12087852096.41,12925551660.67,6620495840.33,,95254597.29,-430414342.39,300269165.27,,990905327.95,,12703961580.88,16942518.74,60007561.05,51306394.01,-508560163.94,-17991430.26,509233770.25,119879379.99,,0.0,-606402668.72,120000000.0,118477984.7,269392436.3,277245137.67,1411428860.63,,,-566525245.11,,352187207.5,74942069.83,561155634.83,,,1139070661.77,3179705545.38,3058060000.0,20807427329.15,23214666155.13,-369619310.14,269392436.3,29835161995.46,23163140.29,,,2748150271.68,2748150271.68,,,,,,,,,,,,,,,,,
2015-09-30,1628182269.56,59731691.49,435398860.72,1821378984.93,2250781328.9,543806884.59,17790131098.26,-1018201889.53,577283977.91,4788938102.66,444852100.99,3950112979.04,12337131014.32,13001192995.6,6557669084.61,,108408023.87,-233260726.71,214448179.07,3056338467.0,1277572100.34,0.0874,12788961580.88,12359723.23,59731691.49,54698655.04,-24500000.0,132734287.67,464233770.25,0.0,3056338467.0,0.0,-1043842146.4,300000000.0,117133945.04,267123981.98,275123076.63,1703401274.01,,,-362398971.37,0.0,327718155.95,52595079.32,577283977.91,,0.0,1474070661.77,2613180300.27,3058060000.0,21661697497.86,24274640481.08,-723211311.74,267123981.98,30832309565.69,342000.0,-107392500.0,0.0874,2385949151.48,2385949151.48,,,,,,,,,,,,,,,,,
2015-12-31,2576439894.85,75516016.97,434765413.37,4789847363.04,3067607224.12,619519422.27,20243554094.92,-1112121060.42,620447733.28,5260379473.25,456600458.08,3695749056.6,12519262090.48,14983174621.67,7179844844.66,,184754008.9,-204748898.19,369724526.57,,4170327940.77,,14754894299.0,12624305.7,75516016.97,85727167.41,-1233977963.9,-104643138.92,352830959.45,-14895011.0,,107392500.0,-1007287660.77,370000000.0,133672172.07,172381766.96,240329735.56,1692841500.68,,-1378907000.0,816825895.22,0.0,322928286.01,82598550.45,620447733.28,,0.0,825844210.68,2250781328.9,3058060000.0,23484686284.42,26360354524.8,-243549449.47,172381766.96,33540199369.46,1579.94,-150000000.0,,3202799158.55,3202799158.55,,,,,,,,,,,,,,,,,
2016-03-31,1619036258.95,75240147.41,529243388.99,1644335353.36,2579969965.24,629836250.27,19563281770.61,-918042564.35,612207006.53,4281900295.39,536021823.86,4036596061.25,12855838784.37,15281381475.22,6643444332.62,,100592861.28,-207279849.0,238833161.92,3056923809.0,1014499103.09,0.1115,15054894299.0,11107028.81,75240147.41,55973922.64,-30000000.0,34404722.03,359903996.31,-70560.0,3056923809.0,107392500.0,-952447286.38,370000000.0,106744681.45,340847004.65,351556617.97,1712037233.41,,,-487637258.88,,429277142.41,77720524.44,612207006.53,,,815844210.68,3067607224.12,3058060000.0,23767835213.05,26566088869.01,-604691571.91,340847004.65,33209533201.63,,,0.1115,2659494034.71,2659494034.71,,,,,,,,,,,,,,,,,
