date,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyInventory,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetOtherFinancingCharges,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation
2010-09-30,16022370000.0,2703854000.0,26048330000.0,46778360000.0,11711033333.0,,,1016707000.0,15005010000.0,42915519.0,1109380000.0,-970714248.0,9772116000.0,,,0.06,39470381000.0,48227705000.0,-413428415.0,1033613000.0,1687147000.0,,3866887000.0,1651799000.0,18560542000.0,7307979000.0,7003000.0,-1579902818.0,57875000.0,192304000.0,3031470000.0,702662000.0,913537000.0,,0.06,4241707000.0,-988305800.0,0.0,,883939000.0,14112994000.0,12301156000.0,149674000.0,9999685.0,16022370000.0,16822628000.0,11711033333.0,-480994363.0,20931000.0,4105724000.0,9923307000.0,21459173000.0,-73918985.0,69686878000.0,256110736.0,10253110479.0,48329127.0,11840000000.0,9944238000.0,702662000.0,,1915344000.0,75767000.0,73463325.0,,,,,,,,,,,,,
2010-12-31,17066190339.0,4004983872.0,24884284730.0,49724920866.0,,,,705417830.0,21810165368.0,-36354000.0,918042553.0,-2823916000.0,13708200000.0,,,,42662354757.0,50124201190.0,-225729000.0,859487303.0,3299566042.0,,4452692144.0,3200530514.0,19244184462.0,7062566109.0,12899169.0,-1657919000.0,48878918.0,676926566.0,2801644450.0,724710557.0,447523954.0,,,4203724080.0,-2669164000.0,493290549.0,,875354197.0,11124351401.0,17805181496.0,-15866894.0,225549000.0,17066190339.0,17733284340.0,,3936084000.0,17512139.0,4381495120.0,14526051204.0,23441468684.0,-278713000.0,73565669874.0,314855185.0,9772116000.0,166300000.0,11840000000.0,14543563343.0,724710557.0,,5761415441.0,58555250.0,41470000.0,,,,,,,,,,,,,
2011-03-31,17593398000.0,3576029000.0,30421686000.0,58053191000.0,11818987500.0,,,1552291000.0,20115865000.0,923000.0,1641513000.0,-1380991000.0,8873264000.0,,,0.08,50580877000.0,59525663000.0,-78273000.0,1520579000.0,2023738000.0,,5398211000.0,1910994000.0,20189980000.0,7472314000.0,14232000.0,-1674507000.0,54265000.0,213780000.0,3208926000.0,945519000.0,991761000.0,,0.08,4205039000.0,-1116263000.0,376717000.0,,1283880000.0,22869962000.0,16539836000.0,236699000.0,431980000.0,17593398000.0,17663539000.0,11818987500.0,-4834936000.0,16373000.0,4401547000.0,9530101000.0,24093019000.0,-269589000.0,83618682000.0,-8180478000.0,13708200000.0,431980000.0,11840000000.0,9546474000.0,945519000.0,,8539577000.0,120934000.0,923000.0,,,,,,,,,,,,,
2011-06-30,18823231892.0,3799682600.0,32460328889.0,66990223061.0,,,,1554269904.0,20011459607.0,278859287.0,1811176637.0,-2156255545.0,12115204746.0,,,,59423977304.0,66990801915.0,-776963184.0,1562777314.0,2245412696.0,,5998492097.0,2161091912.0,20797528693.0,7566245757.0,14190894.0,-4014011911.0,65126101.0,1382955722.0,3292872182.0,1099027509.0,505303735.0,,,4217231366.0,-1155024098.0,112220821.0,,1335379426.0,26625874394.0,16211777007.0,227397888.0,-313119839.0,18823231892.0,19103433147.0,,3231273892.0,15168749.0,4475796700.0,13037102185.0,25927265146.0,-1332819170.0,92918067061.0,-1788373921.0,8873264000.0,-334563439.0,11840000000.0,13052270934.0,1099027509.0,,16256827556.0,248399323.0,274864793.0,,,,,,,,,,,,,
2011-09-30,19634698000.0,3421064000.0,37969625000.0,74575545000.0,11886307692.0,,,1284602000.0,18537412000.0,259.0,1436793000.0,-418658455.0,7528976000.0,,,0.065,66849219000.0,74666884000.0,9750184.0,1207610000.0,2136462000.0,,6771102000.0,2044741000.0,21474814000.0,7726326000.0,9311000.0,654789911.0,49979000.0,216284000.0,3444567000.0,772610000.0,4398982000.0,,0.065,4230535000.0,-452370902.0,232643000.0,,1053082000.0,35093282000.0,15116348000.0,154528000.0,-161.0,19634698000.0,21481765000.0,11886307692.0,-4575561892.0,7387000.0,5031282000.0,8494834000.0,27368975000.0,-18376830.0,102035859000.0,-5741992079.0,12115204746.0,1193439.0,11840000000.0,8502221000.0,772610000.0,,13832369000.0,229183000.0,15607207.0,,,,,,,,,,,,,
2011-12-31,21374793907.0,4608549625.0,27855542972.0,64698473468.0,,,,945455690.0,22046069825.0,-259.0,1540022923.0,-3587217812.0,21975876458.0,,,,59184931882.0,63607344475.0,-558845607.0,1151161550.0,3663093935.0,,7610160450.0,3542208522.0,22561630362.0,5513541586.0,26787794.0,-23862136166.0,53972290.0,676671179.0,3161656327.0,1046996539.0,2821512297.0,,,2325097465.0,-3473069461.0,156133665.0,,1070899677.0,13689416110.0,17437520200.0,80261873.0,170290253.0,21374793907.0,17841990859.0,,14436233604.0,47635471.0,4855067038.0,23730328408.0,29179046302.0,-16405645747.0,92786390777.0,16455450354.0,7528976000.0,143596653.0,11840000000.0,23777963879.0,1046996539.0,,15889168551.0,388861373.0,16220257989.0,,,,,,,,,,,,,
2012-03-31,21585001000.0,3723374000.0,29096289000.0,60368958000.0,11905100000.0,,,1490952000.0,19203301000.0,12018000.0,1591125000.0,-1782450000.0,21664283000.0,,,0.09,56415714000.0,68794889000.0,-248320000.0,1480710000.0,2232422000.0,,8681619000.0,2148402000.0,32358023000.0,3953244000.0,22586000.0,-3090662000.0,52339000.0,1024764000.0,3544487000.0,1071459000.0,10492758000.0,,0.09,386171000.0,-941041000.0,158023000.0,,1262172000.0,20884326000.0,15479927000.0,218538000.0,8720831000.0,21585001000.0,17223092000.0,11905100000.0,-311593000.0,21450000.0,4900602000.0,22962270000.0,29680257000.0,-1156747000.0,98475146000.0,-6707151000.0,21975876000.0,8722653000.0,13803000000.0,22983720000.0,1071459000.0,,8589073000.0,110415000.0,312018000.0,,,,,,,,,,,,,
2012-06-30,21869514009.0,4476050615.0,34985179489.0,65991215897.0,,,,1529478086.0,23250342217.0,17338378.0,1689336065.0,-5831929.0,12148119476.0,,,,62042941561.0,71441357599.0,-192673898.0,1316028848.0,2946572529.0,,7044245024.0,2843161718.0,30638352550.0,3948274336.0,22272460.0,-6641557789.0,53541113.0,435524670.0,3456113680.0,847165574.0,9787032126.0,,,469888196.0,-766189925.0,501466875.0,,1053911932.0,35221155564.0,18774291602.0,262116916.0,408236382.0,21869514009.0,17926408805.0,,-9516163982.0,8070679.0,4870083551.0,12810409127.0,31274612649.0,-405312315.0,102715970248.0,-6127433994.0,21664283000.0,350839662.0,13803000000.0,12818479806.0,847165574.0,,5394864753.0,373307217.0,1117162084.0,,,,,,,,,,,,,
2012-09-30,22268663000.0,3539280000.0,42285777000.0,67788982000.0,13340157143.0,,,960880000.0,21069282000.0,-378.0,1302715000.0,-1845774071.0,10022630000.0,,,0.07,62934280000.0,73413409000.0,-2328500102.0,1190026000.0,2578400000.0,,7978056000.0,2497618000.0,31499391000.0,4854702000.0,19297000.0,-5680840211.0,53821000.0,419112000.0,3954912000.0,933811000.0,6320007000.0,,0.07,880493000.0,-1641644075.0,338878000.0,,1048285000.0,34518860000.0,17530002000.0,141741000.0,15812618.0,22268663000.0,20515837000.0,13340157143.0,-2125489018.0,7459000.0,5051378000.0,10158463000.0,32076168000.0,-496787685.0,105489577000.0,3350187994.0,12148119476.0,15812338.0,13803000000.0,10165922000.0,933811000.0,,5036600000.0,112689000.0,264407916.0,,,,,,,,,,,,,
2012-12-31,22970563008.0,4773224446.0,39662959914.0,65707440196.0,,,,1303365680.0,26933317248.0,-9063813.0,1969406057.0,-611566534.0,14452265455.0,,,,61538413818.0,72261391488.0,-684876014.0,1605905070.0,3469858766.0,,8865673294.0,3280414729.0,32755426981.0,4169026378.0,45427123.0,-12191804769.0,97146528.0,1287042515.0,3386163342.0,1157022361.0,2986215727.0,,,727376170.0,-523172110.0,327710050.0,,1487846488.0,26618775611.0,22160092802.0,118058582.0,174650011.0,22970563008.0,18770235736.0,,4429634997.0,9589248.0,5010982228.0,15044694129.0,32955909339.0,279167637.0,105217300827.0,8007041724.0,10022630000.0,155044291.0,13803000000.0,15054283377.0,1157022361.0,,6487248157.0,363500987.0,-384415237.0,,,,,,,,,,,,,
2013-03-31,23190749000.0,3153927000.0,36599134000.0,63996805000.0,13528283333.0,,,976503000.0,19795533000.0,0.0,1212441000.0,-1342563000.0,12723807000.0,,,0.06,59560032000.0,70749711000.0,-231846000.0,1069989000.0,2177424000.0,,9677370000.0,2100105000.0,33719897000.0,4436773000.0,46518000.0,-3751302000.0,97147000.0,751779000.0,3664168000.0,811697000.0,5805963000.0,,0.06,715784000.0,-1073348000.0,356822000.0,,885863000.0,27114517000.0,16641606000.0,184126000.0,,23190749000.0,19614343000.0,13528283333.0,-2133005000.0,9511000.0,5054906000.0,12823350000.0,33795592000.0,-270900000.0,104545303000.0,-3097577000.0,14856812000.0,-2000000.0,13803000000.0,12832861000.0,811697000.0,,4986757000.0,142452000.0,,,,,,,,,,,,,,
2013-06-30,23641591583.0,3255800247.0,35624671393.0,65131359321.0,,,,956636419.0,17133052834.0,514302374.0,1080199756.0,-596684256.0,12223536570.0,,,,57267272977.0,71659420191.0,-39323075.0,947998198.0,2299163828.0,,9084809179.0,2212215676.0,32982837660.0,7864086344.0,50202577.0,-5771451721.0,105774306.0,1325618844.0,4057331994.0,649708885.0,1132068549.0,,,3754140401.0,-700940687.0,415791221.0,,787886950.0,26180297483.0,13877252587.0,160111248.0,,23641591583.0,21914231920.0,,-95723885.0,14247114.0,5090060897.0,13668846754.0,34161360979.0,-699611794.0,105820781170.0,-1927175432.0,12723807000.0,833850144.0,13803000000.0,13683093868.0,649708885.0,,7999983605.0,132201558.0,,,,,,,,,,,,,,
2013-09-30,24265793000.0,4047793000.0,39199490000.0,75039498000.0,13111450000.0,,,1449029000.0,19591634000.0,3862162.0,1706364000.0,-2049479744.0,11975921000.0,,,0.08,66372142000.0,80501735000.0,-1586884925.0,1538156000.0,2598764000.0,,10257124000.0,2539516000.0,34295513000.0,8667356000.0,85576000.0,-9054403279.0,105774000.0,897866000.0,4823218000.0,1048916000.0,5938905000.0,,0.08,3748502000.0,-1239050313.0,382379000.0,,1343446000.0,31331170000.0,15543841000.0,194710000.0,98631856.0,24265793000.0,26382724000.0,13111450000.0,-919335115.0,13350000.0,5196125000.0,12851459000.0,35877700000.0,-962779206.0,116379435000.0,-3396206568.0,12223536570.0,93835856.0,13803000000.0,12864809000.0,1048916000.0,,7274706000.0,168208000.0,139346903.0,,,,,,,,,,,,,
2013-12-31,25200595443.0,6959877331.0,45373084218.0,74974781287.0,,,,1862453864.0,41366079540.0,-3862162.0,2490894830.0,-3256576964.0,14008703847.0,,,,67000199488.0,82952781299.0,70876884.0,2377327865.0,5097423467.0,,11485391120.0,4781390524.0,36559903015.0,7974581799.0,61209741.0,-14752725660.0,61385944.0,2025596039.0,4344861524.0,1629649574.0,1446725798.0,,,3568510534.0,-1566815580.0,1051964833.0,,2056956989.0,34120810020.0,34406202209.0,320370876.0,1750664684.0,25200595443.0,17721118643.0,,2704502392.0,10988653.0,5262467556.0,16400136633.0,38176631121.0,-1983496611.0,121129412420.0,9252655056.0,11975921000.0,751710684.0,13803000000.0,16411125286.0,1629649574.0,,7075731283.0,113566965.0,220608306.0,,,,,,,,,,,,,
2014-03-31,25370504000.0,3368700000.0,46390201000.0,81280952000.0,12869483333.0,,,1344075000.0,18449858000.0,28056000.0,1398075000.0,-1857384000.0,17055578000.0,,,0.06,72846874000.0,89344177000.0,-154160000.0,1246598000.0,2024625000.0,,12257560000.0,1967245000.0,37328741000.0,8434078000.0,100938000.0,-4796479000.0,67242000.0,2023177000.0,4701244000.0,772169000.0,5161045000.0,,0.06,3631896000.0,-1137224000.0,888343000.0,,1005227000.0,29674242000.0,15081158000.0,241371000.0,19600000.0,25370504000.0,25748621000.0,12869483333.0,3046874000.0,8903000.0,5406961000.0,19289865000.0,39093301000.0,-753365000.0,128437478000.0,1134606000.0,14008704000.0,17600000.0,13803000000.0,19298768000.0,772169000.0,,5801576000.0,151477000.0,28056000.0,,,,,,,,,,,,,
2014-06-30,26028726252.0,6390979633.0,49884801769.0,95049671068.0,,,,2233650347.0,31966218076.0,-1253238648.0,2130064536.0,-3109568477.0,14601974061.0,,,,86078590101.0,101898482929.0,-195720476.0,1985594196.0,4157329286.0,,12305031900.0,3945192678.0,37291149647.0,8971080967.0,71316373.0,-5184740277.0,61435793.0,3863251167.0,4705093218.0,1289741780.0,1799086804.0,,,4066262313.0,-1098360788.0,1224200964.0,,1612376743.0,38404706097.0,25575238443.0,373217453.0,60600000.0,26028726252.0,27646712236.0,,-2453603786.0,9312501.0,5417873061.0,19136521729.0,40407903946.0,-1543567033.0,142306386875.0,-8120228197.0,17055578000.0,213386982.0,13803000000.0,19145834230.0,1289741780.0,,16791344804.0,144470340.0,710799571.0,,,,,,,,,,,,,
2014-09-30,27545073481.0,7961327182.0,56108307518.0,101013853232.0,13655726964.0,,,3001376197.0,34473931594.0,0.0,3052027777.0,-2376105185.0,13561293504.0,,,0.14,88397779755.0,105731698624.0,-12739397.0,2977179640.0,4959950985.0,,14216833675.0,4799396631.0,39345260692.0,12616073477.0,126581065.0,-15598749926.0,617125587.0,2562993551.0,6551253796.0,1911801775.0,2051036745.0,,0.14,5642941029.0,-610224733.0,1705014837.0,,2458455163.0,42255712627.0,26512604412.0,518724477.0,123236997.0,27545073481.0,30326816439.0,13655726964.0,-1040680557.0,10543750.0,5780207842.0,16874447922.0,45180340163.0,-1746777107.0,150912038787.0,5021590367.0,14601974061.0,126222413.0,13803000000.0,16884991672.0,1911801775.0,,11690486839.0,74848137.0,1823874090.0,,,,,,,,,,,,,
2014-12-31,28827564089.0,7373158145.0,50654727924.0,99043281165.0,,1742674671.0,,1377126640.0,34834261098.0,249764807.0,2030775578.0,-2339956134.0,15274118279.0,,,,85452990838.0,103660426473.0,-1675331626.0,1642090091.0,5996031505.0,,15357677966.0,5773663949.0,40510531065.0,13590290327.0,116811447.0,-16507189247.0,763868192.0,7762156032.0,2212390099.0,1341254945.0,2342554338.0,,,7282442556.0,-2265066783.0,1484282094.0,,1555523431.0,33541848023.0,27461102953.0,86566660.0,175763003.0,28827564089.0,30663145801.0,,1643703238.0,5815.0,5956220952.0,18312008625.0,46904583333.0,-3474394884.0,150565009806.0,10580107583.0,13561293504.0,-210354659.0,13803000000.0,18312014440.0,1341254945.0,,2731829700.0,388685487.0,1068029618.0,,,,,,,,,,,,,
2015-03-31,29375893394.0,5085331342.0,49396564441.0,104066635291.0,13881724814.0,1876216006.0,,1634198456.0,23387586166.0,1995289197.0,1812012934.0,4738610946.0,19155217707.0,,,0.07,88912676596.0,111855901174.0,-219823156.0,1755512713.0,3451132886.0,,16329398705.0,3377742580.0,41433743227.0,15153958695.0,108775448.0,-2138749786.0,691601339.0,4312286525.0,3637355324.0,971720737.0,2554064971.0,,0.07,7329171356.0,-373368689.0,1620804941.0,,1355429804.0,32473293243.0,18302254824.0,400082909.0,15000000.0,29375893394.0,38975891725.0,13881724814.0,3881099428.0,5199.0,6098946295.0,22193108052.0,46521101582.0,-127984661.0,158377002756.0,-3799375385.0,15274118279.0,15000000.0,13803000000.0,22193113251.0,971720737.0,,5492968353.0,56500221.0,3244675099.0,,,,,,,,,,,,,
