date,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1986-09-30,1102100000,,,1102100000,,,,,,,0.66,,,,,1102100000,,,,,,,,,80303030.0,,,,,,,,,,,,,,,,0.66,,53000000,53000000,,,,,,,,,,,,,,,,,,,,80303030.0,,53000000,,,,,,,,,,,
1986-12-31,1197600000,,,1197600000,,,,,,,1.51,,,,,1197600000,,,,,,,,,83112583.0,,,,,,,,,,,,,,,,1.51,,125500000,125500000,,,,,,,,,,,,,,,,,,,,83112583.0,,125500000,,,,,,,,,,,
1987-03-31,1452900000,,,1452900000,,,,,,,0.27,,,,,1452900000,,,,,,,,,97777778.0,,,,,,,,,,,,,,,,0.27,,26400000,26400000,,,,,,,,,,,,,,,,,,,,97777778.0,,26400000,,,,,,,,,,,
1987-06-30,-3347400000,,,1566200000,,,,,,3404500000.0,,6093300000.0,1179600000.0,,1181100000.0,-3347400000,1307600000.0,,,1937900000.0,,,,,,,,,1018400000.0,,,,,131300000.0,,,47200000.0,,,,,42300000.0,58800000,58800000,117100000.0,-2419400000.0,,590900000.0,,1133900000.0,,,,,3673900000.0,,,,,371800000.0,4162800000.0,5342400000.0,379900000.0,,,58800000,,,,,,,379900000.0,,,,
1987-09-30,1603400000,,,1603400000,,,,,,,0.61,,,,,1603400000,,,,,,,,,96885246.0,,,,,,,,,,,,,,,,0.61,,59100000,59100000,,,,,,,,,,,,,,,,,,,,96885246.0,,59100000,,,,,,,,,,,
1987-12-31,1664200000,,,1664200000,,,,,,,0.91,,,,,1664200000,,,,,,,,,97032967.0,,,,,,,,,,,,,,,,0.91,,88300000,88300000,,,,,,,,,,,,,,,,,,,,97032967.0,,88300000,,,,,,,,,,,
1988-03-31,1679400000,,,1679400000,,,,,,,0.58,,,,,1679400000,,,,,,,,,96724138.0,,,,,,,,,,,,,,,,0.58,,56100000,56100000,,,,,,,,,,,,,,,,,,,,96724138.0,,56100000,,,,,,,,,,,
1988-06-30,-4449900000,,,1968400000,,,,,,3539600000.0,,6295000000.0,1651200000.0,,1391900000.0,-4449900000,1556000000.0,,,2208800000.0,,,,,,,,,729500000.0,,,,,131500000.0,,,36400000.0,,,,,52400000.0,103300000,103300000,204700000.0,-2728800000.0,,539900000.0,,1355500000.0,,,,,3566200000.0,,,,,326300000.0,4097200000.0,5748400000.0,822800000.0,,,103300000,,,,,,,822800000.0,,,,
1988-09-30,1881600000,,,1881600000,,,,,,,1.02,,,,,1881600000,,,,,,,,,98039216.0,,,,,,,,,,,,,,,,1.02,,100000000,100000000,,,,,,,,,,,,,,,,,,,,98039216.0,,100000000,,,,,,,,,,,
1988-12-31,1858100000,,,1858100000,,,,,,,0.87,,,,,1858100000,,,,,,,,,97931034.0,,,,,,,,,,,,,,,,0.87,,85200000,85200000,,,,,,,,,,,,,,,,,,,,97931034.0,,85200000,,,,,,,,,,,
1989-03-31,2038100000,,,2038100000,,,,,,,0.87,,,,,2038100000,,,,,,,,,97701149.0,,,,,,,,,,,,,,,,0.87,,85000000,85000000,,,,,,,,,,,,,,,,,,,,97701149.0,,85000000,,,,,,,,,,,
1989-06-30,-5099500000,,,2311700000,,,,,,3864300000.0,,7461900000.0,1474800000.0,,1762900000.0,-5099500000,1957800000.0,,,2619700000.0,,,,,,,,,703000000.0,,,,,135900000.0,,,16900000.0,,,,,57000000.0,190800000,190800000,213400000.0,-2984000000.0,,519100000.0,,1746000000.0,,,,,4477900000.0,,,,,317900000.0,5009200000.0,6484000000.0,529700000.0,,,190800000,,,,,,,529700000.0,,,,
1989-09-30,190600000,,19200000.0,2173400000,-54800000.0,19100000.0,,-425300000.0,923200000.0,3844000000.0,1.27,7794200000.0,1383400000.0,-14600000.0,1737100000.0,302400000,2043500000.0,,208000000.0,2814600000.0,,,,1250200000.0,99448819.0,,,732600000.0,702100000.0,,,620800000.0,,129300000.0,5400000.0,97100000.0,24000000.0,-350000000.0,111700000.0,20700000.0,1.19,62500000.0,133100000,133100000,252500000.0,-3087200000.0,,538100000.0,-92200000.0,767300000.0,235900000.0,,72800000.0,205900000.0,4707000000.0,,,-114100000.0,-2000000.0,315700000.0,5275200000.0,6658600000.0,437400000.0,106134454.0,,126300000,111800000.0,,-83500000.0,945800000.0,,529700000.0,437400000.0,,,,
1989-12-31,70600000,,-37500000.0,2048600000,-69500000.0,13800000.0,,-503000000.0,772800000.0,3651700000.0,0.57,8122900000.0,886400000.0,-54500000.0,1540100000.0,184100000,2090900000.0,,211900000.0,2901900000.0,,,,1275800000.0,104561404.0,,,702200000.0,692400000.0,,,588700000.0,,143900000.0,1600000.0,13700000.0,58800000.0,-338600000.0,68200000.0,29300000.0,0.54,64100000.0,64200000,64200000,420300000.0,-3189600000.0,,552000000.0,-364900000.0,573000000.0,124500000.0,,33900000.0,98100000.0,4933300000.0,,,-214100000.0,148200000.0,313600000.0,5667200000.0,6553600000.0,72500000.0,110370370.0,,59600000,113500000.0,,-181400000.0,908300000.0,,,72500000.0,,,,
1990-03-31,48100000,,-19700000.0,2120400000,-1300000.0,-38200000.0,,-441000000.0,769600000.0,4312100000.0,0.24,8397300000.0,1045200000.0,-15000000.0,1797200000.0,162600000,2102700000.0,,214700000.0,2720100000.0,,,,1350800000.0,99166667.0,-313100000.0,,721500000.0,1146400000.0,,,607000000.0,,150300000.0,8400000.0,305600000.0,122500000.0,-395300000.0,320600000.0,8000000.0,0.24,66100000.0,31300000,31300000,523000000.0,-3244800000.0,,513700000.0,-29600000.0,786100000.0,105800000.0,,16300000.0,47600000.0,5152500000.0,,,-289500000.0,-179900000.0,311500000.0,5987000000.0,7032200000.0,42900000.0,99166667.0,,23800000,114500000.0,,,888600000.0,,,42900000.0,,,,
1990-06-30,110300000,,52300000.0,2239900000,141800000.0,700000.0,,-604800000.0,891500000.0,4608800000.0,,8746200000.0,1018000000.0,-29500000.0,1832600000.0,229700000,2157900000.0,,225500000.0,2618200000.0,,,,1348400000.0,,264900000.0,,781200000.0,1315200000.0,,,661800000.0,,155100000.0,11300000.0,292700000.0,105400000.0,-605600000.0,322200000.0,17200000.0,,68300000.0,74100000,74100000,500700000.0,-3347300000.0,,506000000.0,25500000.0,786300000.0,337600000.0,,42100000.0,116200000.0,5398900000.0,,,-268000000.0,59700000.0,309400000.0,6209000000.0,7227000000.0,68500000.0,,,72300000,119400000.0,,,940900000.0,,,68500000.0,,,,
1990-09-30,-73600000,,125900000.0,2217500000,116300000.0,-43500000.0,,-458300000.0,1352000000.0,4940300000.0,-0.64,8935800000.0,1011300000.0,-13600000.0,2131100000.0,39700000,2088000000.0,,226600000.0,2298100000.0,,,,865500000.0,87968750.0,100000.0,,1425600000.0,1307800000.0,,,1312300000.0,,151200000.0,18400000.0,265800000.0,261800000.0,-460400000.0,279400000.0,14200000.0,-0.64,81800000.0,-51600000,-51600000,448900000.0,-3464800000.0,,438300000.0,-35900000.0,802500000.0,156700000.0,,-26200000.0,-77800000.0,5471000000.0,,,-303700000.0,-19700000.0,307200000.0,6227100000.0,7238400000.0,32500000.0,87968750.0,,-56300000,113300000.0,,,1066800000.0,,68500000.0,32500000.0,,,,
1990-12-31,-311900000,,-72900000.0,2129700000,75900000.0,-126200000.0,,-420100000.0,1072600000.0,5245800000.0,-2.51,9254800000.0,882200000.0,-27700000.0,2345900000.0,-199200000,1862900000.0,,225400000.0,2080900000.0,,,,1057100000.0,84661355.0,,,1384500000.0,1493900000.0,,,1271800000.0,,181000000.0,20300000.0,588600000.0,596500000.0,-420900000.0,616300000.0,4800000.0,-2.51,86100000.0,-207800000,-207800000,470000000.0,-3585400000.0,,311500000.0,26500000.0,755500000.0,-142000000.0,,-119700000.0,-327500000.0,5669400000.0,,,-562900000.0,189800000.0,305100000.0,6444500000.0,7326700000.0,59100000.0,84661355.0,,-212500000,112700000.0,,,993900000.0,,,59100000.0,,,,
1991-03-31,-115100000,,77100000.0,2299300000,-45400000.0,-85300000.0,,-714900000.0,1352500000.0,5763500000.0,-1.05,9489500000.0,1149400000.0,-12700000.0,2633900000.0,800000,1761400000.0,,231900000.0,2020200000.0,,,,946800000.0,84476190.0,,,1467600000.0,1717300000.0,,,1351700000.0,,198800000.0,31300000.0,824000000.0,677100000.0,-673900000.0,836700000.0,14800000.0,-1.05,67400000.0,-84100000,-84100000,539700000.0,-3697900000.0,,245800000.0,-12200000.0,885700000.0,-121400000.0,,-47400000.0,-131500000.0,5791600000.0,,,-795300000.0,-280400000.0,303000000.0,6634300000.0,7783700000.0,46800000.0,84476190.0,,-88700000,115900000.0,,,1071100000.0,,,46800000.0,,,,
1991-06-30,50600000,,-14000000.0,2524100000,119100000.0,138400000.0,,-578400000.0,1579300000.0,5904600000.0,,9459800000.0,1892300000.0,-29800000.0,2155500000.0,174600000,1761100000.0,,248100000.0,2506100000.0,,,,944800000.0,,5100000.0,,1528700000.0,2058600000.0,,,1404700000.0,,285700000.0,27400000.0,864800000.0,79000000.0,-589400000.0,894600000.0,13500000.0,,70300000.0,19200000,19200000,576800000.0,-3819100000.0,,378200000.0,716800000.0,1378200000.0,430500000.0,,17500000.0,36700000.0,5640700000.0,,,-158900000.0,3600000.0,300900000.0,6518400000.0,8410700000.0,763700000.0,,,14500000,124000000.0,,,698300000.0,,,763700000.0,,,,
1991-09-30,26700000,,47500000.0,2573000000,300000.0,-31300000.0,,-646800000.0,1625700000.0,5948800000.0,0.09,9646400000.0,1620700000.0,-14800000.0,2139600000.0,152200000,1754700000.0,,251100000.0,2522200000.0,,,,947300000.0,94444444.0,-193200000.0,,1599000000.0,2048400000.0,,,1473500000.0,,275500000.0,29200000.0,202700000.0,31500000.0,-459800000.0,217500000.0,24900000.0,0.09,82300000.0,13100000,13100000,846200000.0,-3941000000.0,,353700000.0,-319100000.0,1126200000.0,125000000.0,,9300000.0,22400000.0,5705400000.0,,,-334800000.0,-45300000.0,298700000.0,6850300000.0,8471000000.0,444600000.0,94444444.0,,8500000,125500000.0,,,981900000.0,,763700000.0,444600000.0,,,,
1991-12-31,-236800000,,102100000.0,2623200000,103300000.0,-67000000.0,,-1119100000.0,1481400000.0,6755100000.0,-1.95,10527900000.0,1215600000.0,-29800000.0,2524500000.0,-99100000,1547600000.0,,275300000.0,2327500000.0,,,,1141800000.0,98564103.0,-362600000.0,,1718200000.0,2494000000.0,,,1580500000.0,,339200000.0,29700000.0,777300000.0,394600000.0,-757100000.0,807100000.0,-27000000.0,-1.95,91400000.0,-187600000,-187600000,1092000000.0,-4049500000.0,,288200000.0,-334200000.0,1045300000.0,7600000.0,,-105800000.0,-293400000.0,6478400000.0,,,-749500000.0,111000000.0,296600000.0,7867000000.0,9082600000.0,110400000.0,98564103.0,,-192200000,137700000.0,,,1084600000.0,,,110400000.0,,,,
1992-03-31,-199300000,,78500000.0,2814600000,-47300000.0,43300000.0,,-605600000.0,1658900000.0,7567600000.0,-1.58,11050300000.0,1472500000.0,-14900000.0,3204100000.0,-50400000,1376500000.0,,297900000.0,2159500000.0,,,,1155700000.0,98860759.0,-1900000.0,,1858200000.0,2537600000.0,,,1709300000.0,,410200000.0,44400000.0,538900000.0,802800000.0,-604400000.0,553800000.0,8400000.0,-1.58,82800000.0,-151600000,-151600000,1098300000.0,-4188500000.0,,326600000.0,-56100000.0,1238200000.0,10600000.0,,-83600000.0,-235200000.0,6861800000.0,,,-593800000.0,-290900000.0,294500000.0,8254600000.0,9727100000.0,54300000.0,98860759.0,,-156200000,148900000.0,,,1163100000.0,,,54300000.0,,,,
1992-06-30,-265500000,,29600000.0,2826000000,-68100000.0,-68100000.0,,-667600000.0,1605000000.0,8196500000.0,,11401600000.0,1698400000.0,-29900000.0,3542800000.0,-101000000,1176800000.0,,329000000.0,1965100000.0,,,,1221000000.0,,-43100000.0,,1870500000.0,2832600000.0,,,1706000000.0,,468800000.0,48200000.0,657400000.0,822500000.0,-659700000.0,687300000.0,33700000.0,,88500000.0,-180100000,-180100000,1069600000.0,-4308300000.0,,244900000.0,-3900000.0,1763600000.0,6300000.0,,-99900000.0,-280000000.0,7093300000.0,,,-653400000.0,-195700000.0,300300000.0,8463200000.0,10161600000.0,50400000.0,,,-184800000,164500000.0,,,956700000.0,,,50400000.0,,,,
1992-09-30,-162500000,,-39900000.0,3064000000,-47000000.0,-48000000.0,,-265300000.0,1789200000.0,7177300000.0,-1.32,11489800000.0,1693300000.0,-28300000.0,3007800000.0,12800000,1030400000.0,,350700000.0,2929100000.0,,,,1274800000.0,99621212.0,,,1951700000.0,2321200000.0,,,1776400000.0,,484500000.0,38300000.0,255500000.0,374300000.0,-290300000.0,283800000.0,36600000.0,-1.32,95200000.0,-106700000,-106700000,1057000000.0,-4431800000.0,,177600000.0,-21000000.0,1418700000.0,-11200000.0,,-57600000.0,-164300000.0,7058000000.0,,,-301500000.0,1500000.0,298100000.0,8413100000.0,10106400000.0,29400000.0,99621212.0,,-131500000,175300000.0,,,1214800000.0,,50400000.0,29400000.0,,,,
1992-12-31,-194900000,,32600000.0,2874500000,200500000.0,-57100000.0,,-510000000.0,1661000000.0,7373600000.0,-1.52,11827200000.0,1499300000.0,-50000000.0,3066000000.0,-19800000,864400000.0,,350000000.0,2782300000.0,,,,1213500000.0,99407895.0,,,1855900000.0,2490700000.0,,,1680800000.0,,305300000.0,37900000.0,570900000.0,652300000.0,-548800000.0,620900000.0,38700000.0,-1.52,89700000.0,-126300000,-126300000,1076000000.0,-4542500000.0,,127600000.0,281200000.0,1166300000.0,220300000.0,,-67800000.0,-194100000.0,7284700000.0,,,-328500000.0,424400000.0,295900000.0,8656600000.0,10155900000.0,310600000.0,99407895.0,,-151100000,175100000.0,,,1247400000.0,,,310600000.0,,,,
1993-03-31,-178600000,,187100000.0,2926600000,55700000.0,-55300000.0,,-232400000.0,1818000000.0,7496700000.0,-1.59,11897300000.0,1581000000.0,-22600000.0,2704900000.0,53900000,701400000.0,,465200000.0,2631600000.0,,,,1108600000.0,99811321.0,,,1996600000.0,2989100000.0,,,1764100000.0,,364800000.0,49000000.0,21700000.0,33400000.0,-249100000.0,44300000.0,21200000.0,-1.59,88100000.0,-133900000,-133900000,1068200000.0,-4712000000.0,,70300000.0,-131900000.0,1237000000.0,78800000.0,,-72400000.0,-206300000.0,7185300000.0,,,-170300000.0,-170600000.0,293800000.0,8547300000.0,10128300000.0,178700000.0,99811321.0,,-158700000,232500000.0,,,1434500000.0,,,178700000.0,,,,
1993-06-30,43000000,,65500000.0,3131500000,220700000.0,-51200000.0,,-319100000.0,1866900000.0,9875600000.0,,11971400000.0,2821900000.0,-37600000.0,2972800000.0,135400000,35900000.0,,184700000.0,1995400000.0,,,,1264600000.0,,100000.0,,1823900000.0,3716700000.0,,,1731500000.0,,526000000.0,51700000.0,931800000.0,47200000.0,-324900000.0,969400000.0,-77900000.0,,90600000.0,-47700000,-634800000,1616800000.0,-4830700000.0,,,1001700000.0,1723600000.0,389000000.0,,-38800000.0,-86500000.0,7140700000.0,,,64100000.0,-56400000.0,291600000.0,9049100000.0,11871000000.0,1180400000.0,,,-670900000,92400000.0,,,1202000000.0,,,1180400000.0,,,,
1993-09-30,121500000,,121500000.0,3219800000,85000000.0,11300000.0,,-372000000.0,2013900000.0,9679600000.0,0.33,12058000000.0,2736500000.0,-22600000.0,3037300000.0,272300000,66300000.0,,301400000.0,2049800000.0,,,,1205900000.0,99393939.0,100000.0,,1892400000.0,3465000000.0,,,1741600000.0,,497700000.0,68200000.0,26800000.0,69800000.0,-374800000.0,49400000.0,25400000.0,0.33,84300000.0,60400000,60400000,1610000000.0,-4964500000.0,,,-24200000.0,1481600000.0,321000000.0,,18500000.0,78900000.0,7093500000.0,,,-53800000.0,26500000.0,289400000.0,8992900000.0,11729400000.0,1156100000.0,99393939.0,,32800000,150800000.0,,,1485900000.0,,1180400000.0,1156100000.0,,,,
1993-12-31,1125700000,,-228000000.0,3016900000,-166500000.0,-99800000.0,,-465600000.0,1906700000.0,9711800000.0,-1.68,12092000000.0,2573900000.0,-37600000.0,2859300000.0,1297700000,-102600000.0,,344400000.0,1888500000.0,,,,1110200000.0,100357143.0,0.0,,781000000.0,3343900000.0,,5337500000.0,1118400000.0,,258300000.0,66900000.0,429700000.0,209700000.0,-556100000.0,467300000.0,-90300000.0,-1.68,80500000.0,-141000000,-141000000,1467800000.0,-5094200000.0,,,-59800000.0,1359000000.0,-23800000.0,,-83600000.0,-224600000.0,6997800000.0,,,-579900000.0,37200000.0,560800000.0,9026400000.0,11600300000.0,1096400000.0,100357143.0,,-168600000,157000000.0,,,1275800000.0,163400000.0,,1096400000.0,,,,
1994-03-31,1117700000,,233700000.0,2943000000,495300000.0,-4600000.0,1413500000.0,-71600000.0,1886400000.0,9921500000.0,-1.05,12078500000.0,2763000000.0,-22600000.0,3029300000.0,1272000000,-209300000.0,,306600000.0,1785700000.0,,,,1056600000.0,100380952.0,-300000.0,,768700000.0,3350700000.0,,5371300000.0,1111600000.0,,253700000.0,67500000.0,-186600000.0,46400000.0,-74300000.0,-164000000.0,-400000.0,-1.05,71000000.0,-77900000,-77900000,1523300000.0,-5200200000.0,,,317200000.0,1466900000.0,575300000.0,,-45600000.0,-123500000.0,6878300000.0,,,501000000.0,150300000.0,542600000.0,8944200000.0,11707200000.0,1413500000.0,100380952.0,,-105400000,154300000.0,,,1509500000.0,163400000.0,1096400000.0,1413500000.0,,,,
1994-06-30,-3462300000,,,3179400000,-278800000.0,-148900000.0,1302000000.0,-600800000.0,6187900000.0,10429000000.0,,11733000000.0,3223000000.0,-37200000.0,3536000000.0,-3246400000,-490000000.0,,-315400000.0,1467000000.0,196000000.0,6893000000.0,886000000.0,-3008500000.0,,103200000.0,283000000.0,9650200000.0,3142000000.0,,1483000000.0,2519200000.0,,67000000.0,101500000.0,38100000.0,227000000.0,-199800000.0,395300000.0,-400800000.0,,,-250400000,-250400000,1008000000.0,-5130000000.0,219000000.0,,-111200000.0,3102000000.0,451500000.0,,-139900000.0,-390300000.0,6603000000.0,,408000000.0,251700000.0,,,8673000000.0,11896000000.0,1710000000.0,,,-277700000,215900000.0,,,,163000000.0,1413500000.0,1302000000.0,,,,
1994-09-30,2478000000,,42000000.0,3157000000,-40000000.0,35000000.0,782000000.0,-516000000.0,2261000000.0,10153000000.0,1.63,11924000000.0,3197000000.0,-22000000.0,3309000000.0,2628000000,-332000000.0,,310000000.0,1787000000.0,,,,896000000.0,50603888.0,,,-217000000.0,3135000000.0,,5183000000.0,197000000.0,,210000000.0,69000000.0,-237000000.0,37000000.0,-86000000.0,-215000000.0,14000000.0,1.22,75000000.0,72000000,186000000,1741000000.0,-5398000000.0,,,-520000000.0,1558000000.0,233000000.0,,49000000.0,121000000.0,6526000000.0,,906000000.0,147000000.0,3000000.0,476000000.0,8743000000.0,11940000000.0,1688000000.0,50603888.0,,164000000,150000000.0,,-498000000.0,1696000000.0,163000000.0,1302000000.0,782000000.0,,,,
1994-12-31,2247000000,,-160000000.0,2919000000,-173000000.0,-46000000.0,469000000.0,-125000000.0,2037000000.0,9648000000.0,-0.4,11921000000.0,2760000000.0,-38000000.0,2945000000.0,2387000000,-374000000.0,,315000000.0,1736000000.0,,,,882000000.0,100000000.0,,,-210000000.0,2974000000.0,,5022000000.0,177000000.0,,178000000.0,66000000.0,-192000000.0,57000000.0,-125000000.0,-154000000.0,-1000000.0,-0.4,79000000.0,-18000000,-18000000,1721000000.0,-5483000000.0,,,-313000000.0,1345000000.0,4000000.0,,-4000000.0,-22000000.0,6438000000.0,,911000000.0,-121000000.0,221000000.0,465000000.0,8624000000.0,11384000000.0,1380000000.0,100000000.0,,-40000000,140000000.0,,-13000000.0,1536000000.0,164000000.0,782000000.0,469000000.0,,,,
