date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOperatingExpense
1989-06-30,5644000000.0,,,,,,,0.29,,5026000000.0,47000000.0,3659000000.0,3659000000.0,,,325000000,,,170000000,5072000000,-3859000000.0,,,,6753000000.0,,269000000.0,,8631000000.0,6798000000.0,,672413793.0,,,,,74000000.0,2939000000.0,3974000000.0,,,,1723000000.0,,4747000000.0,,4266000000.0,0.29,,12897000000.0,,249000000.0,195000000.0,195000000,,,500000000.0,35000000.0,,4000000.0,2000000.0,,,1327000000.0,,,7253000000.0,195000000.0,,101000000.0,3342000000.0,325000000.0,,672413793.0,216000000.0,,155000000.0
1989-09-30,5822000000.0,,-1000000.0,-105000000.0,,,,0.35,,4918000000.0,47000000.0,3114000000.0,3114000000.0,,0.0,408000000,,-384000000.0,262000000,6356000000,-3967000000.0,-40000000.0,,-120000000.0,6563000000.0,,340000000.0,,8363000000.0,7155000000.0,,691428571.0,-29000000.0,-545000000.0,-474000000.0,,98000000.0,3188000000.0,4146000000.0,7000000.0,,,1641000000.0,,5948000000.0,,4541000000.0,0.35,,12904000000.0,-504000000.0,273000000.0,242000000.0,242000000,,146000000.0,519000000.0,31000000.0,,4000000.0,2000000.0,-385000000.0,0.0,1353000000.0,,0.0,7082000000.0,242000000.0,,80000000.0,3447000000.0,408000000.0,,691428571.0,215000000.0,-70000000.0,146000000.0
1989-12-31,6131000000.0,,13000000.0,-1495000000.0,,,,,,4932000000.0,46000000.0,1863000000.0,1863000000.0,,0.0,211000000,,-464000000.0,28000000,4847000000,-4109000000.0,-63000000.0,,-737000000.0,6673000000.0,-1000000.0,99000000.0,,8660000000.0,7590000000.0,,,-223000000.0,-1251000000.0,-763000000.0,,22000000.0,3481000000.0,4452000000.0,4000000.0,,,1736000000.0,,4636000000.0,,4618000000.0,,,13278000000.0,-1201000000.0,275000000.0,77000000.0,77000000,,183000000.0,474000000.0,25000000.0,,5000000.0,0.0,-451000000.0,0.0,1137000000.0,,0.0,7147000000.0,77000000.0,,71000000.0,4942000000.0,211000000.0,,,174000000.0,-69000000.0,183000000.0
1990-03-31,6373000000.0,,2000000.0,830000000.0,,,,0.44,,4934000000.0,40000000.0,2899000000.0,2899000000.0,,1863000000.0,524000000,,-371000000.0,372000000,6435000000,-4217000000.0,-49000000.0,,1454000000.0,6935000000.0,-1000000.0,426000000.0,,8921000000.0,7927000000.0,,686363636.0,1000000.0,1036000000.0,1007000000.0,,124000000.0,3710000000.0,4685000000.0,10000000.0,,,1996000000.0,,5911000000.0,,4870000000.0,0.44,,13791000000.0,1083000000.0,286000000.0,302000000.0,302000000,,152000000.0,483000000.0,22000000.0,,5000000.0,1000000.0,-369000000.0,0.0,1160000000.0,,0.0,7418000000.0,302000000.0,,55000000.0,4112000000.0,524000000.0,,686363636.0,175000000.0,-69000000.0,152000000.0
1990-06-30,6679000000.0,,0.0,676000000.0,,,,0.56,,4950000000.0,44000000.0,3613000000.0,3613000000.0,,0.0,580000000,,-384000000.0,389000000,6969000000,-4315000000.0,-82000000.0,,1012000000.0,6781000000.0,-2000000.0,540000000.0,,8895000000.0,8228000000.0,,691071429.0,-57000000.0,714000000.0,569000000.0,,153000000.0,3913000000.0,4402000000.0,8000000.0,,,1828000000.0,,6389000000.0,,4999000000.0,0.56,,13894000000.0,628000000.0,287000000.0,387000000.0,387000000,,191000000.0,434000000.0,19000000.0,,3000000.0,1000000.0,-216000000.0,0.0,1086000000.0,,0.0,7215000000.0,387000000.0,,152000000.0,3436000000.0,580000000.0,,691071429.0,128000000.0,-87000000.0,191000000.0
1990-09-30,6828000000.0,,-16000000.0,549000000.0,,,,0.55,,4974000000.0,46000000.0,3854000000.0,3854000000.0,,0.0,532000000,,-356000000.0,389000000,7176000000,-4450000000.0,-225000000.0,,838000000.0,6738000000.0,-147000000.0,543000000.0,,8608000000.0,8603000000.0,,687272727.0,-41000000.0,241000000.0,361000000.0,,165000000.0,4153000000.0,4694000000.0,4000000.0,,,1760000000.0,,6644000000.0,,5400000000.0,0.55,,14008000000.0,482000000.0,310000000.0,378000000.0,378000000,,143000000.0,442000000.0,16000000.0,,4000000.0,2000000.0,-372000000.0,0.0,1247000000.0,,0.0,7180000000.0,378000000.0,,156000000.0,2881000000.0,532000000.0,,687272727.0,116000000.0,-86000000.0,143000000.0
1990-12-31,6973000000.0,,1000000.0,-470000000.0,,,,,,5566000000.0,68000000.0,3326000000.0,3326000000.0,,0.0,572000000,,-475000000.0,380000000,7015000000,-4543000000.0,-86000000.0,,32000000.0,7132000000.0,-6000000.0,463000000.0,,8770000000.0,8991000000.0,,,-10000000.0,-528000000.0,-467000000.0,,145000000.0,4448000000.0,4840000000.0,5000000.0,,,1562000000.0,,6443000000.0,,5821000000.0,,,14591000000.0,-443000000.0,311000000.0,318000000.0,318000000,,192000000.0,486000000.0,14000000.0,,4000000.0,2000000.0,-474000000.0,0.0,1373000000.0,,0.0,7618000000.0,318000000.0,,85000000.0,3332000000.0,572000000.0,,,161000000.0,-86000000.0,192000000.0
1991-03-31,7289000000.0,,5000000.0,-624000000.0,,,,0.45,,5347000000.0,121000000.0,3111000000.0,3111000000.0,,3326000000.0,536000000,,-350000000.0,370000000,6091000000,-4683000000.0,-80000000.0,,210000000.0,7291000000.0,,434000000.0,,9007000000.0,9326000000.0,,686666667.0,-39000000.0,-215000000.0,-224000000.0,,125000000.0,4643000000.0,5149000000.0,7000000.0,,,1939000000.0,,5555000000.0,,6066000000.0,0.45,,15073000000.0,-140000000.0,309000000.0,309000000.0,309000000,,166000000.0,493000000.0,12000000.0,,5000000.0,3000000.0,-345000000.0,0.0,1423000000.0,,0.0,7784000000.0,309000000.0,,67000000.0,3956000000.0,536000000.0,,686666667.0,172000000.0,-86000000.0,166000000.0
1991-06-30,7574000000.0,,-2000000.0,69000000.0,,,,0.66,,5596000000.0,133000000.0,3065000000.0,3065000000.0,,0.0,788000000,,-416000000.0,576000000,7813000000,-4808000000.0,-84000000.0,,456000000.0,7157000000.0,,632000000.0,,8916000000.0,9666000000.0,,687878788.0,-9000000.0,-46000000.0,-196000000.0,,178000000.0,4858000000.0,5431000000.0,3000000.0,,,1556000000.0,,7025000000.0,,6283000000.0,0.66,,15199000000.0,40000000.0,308000000.0,454000000.0,454000000,,212000000.0,468000000.0,7000000.0,,5000000.0,4000000.0,-418000000.0,0.0,1425000000.0,,0.0,7625000000.0,454000000.0,,60000000.0,3887000000.0,788000000.0,,687878788.0,153000000.0,-86000000.0,212000000.0
1991-09-30,7942000000.0,,-8000000.0,-208000000.0,,,,0.59,,5656000000.0,35000000.0,3465000000.0,3465000000.0,,0.0,726000000,,-481000000.0,510000000,7657000000,-4961000000.0,521000000.0,,368000000.0,7116000000.0,,569000000.0,,9538000000.0,10105000000.0,,679661017.0,35000000.0,400000000.0,-281000000.0,,168000000.0,5144000000.0,5832000000.0,7000000.0,,,1455000000.0,,6931000000.0,,6580000000.0,0.59,,16118000000.0,-113000000.0,948000000.0,401000000.0,401000000,,216000000.0,1060000000.0,3000000.0,,5000000.0,3000000.0,-489000000.0,0.0,1436000000.0,,0.0,8176000000.0,401000000.0,,62000000.0,4095000000.0,726000000.0,,679661017.0,109000000.0,-86000000.0,216000000.0
1991-12-31,8093000000.0,,2000000.0,818000000.0,,,,,,5466000000.0,529000000.0,2938000000.0,2938000000.0,,0.0,730000000,,-603000000.0,498000000,7753000000,-5070000000.0,189000000.0,,400000000.0,6276000000.0,-87000000.0,569000000.0,,8829000000.0,10600000000.0,,,122000000.0,611000000.0,-354000000.0,,166000000.0,5530000000.0,6064000000.0,6000000.0,,,806000000.0,,7023000000.0,,6955000000.0,,,15784000000.0,-203000000.0,1313000000.0,403000000.0,403000000,,232000000.0,1415000000.0,0.0,,4000000.0,3000000.0,22000000.0,0.0,1425000000.0,,0.0,7691000000.0,403000000.0,,74000000.0,3277000000.0,730000000.0,,,102000000.0,-85000000.0,232000000.0
1992-03-31,8544000000.0,,-3000000.0,-150000000.0,,,,0.65,,5723000000.0,804000000.0,3215000000.0,3215000000.0,,2938000000.0,799000000,,-627000000.0,583000000,7967000000,-5180000000.0,-77000000.0,,1248000000.0,6715000000.0,,639000000.0,,9385000000.0,11040000000.0,,678461538.0,9000000.0,277000000.0,582000000.0,,198000000.0,5860000000.0,6505000000.0,10000000.0,,,989000000.0,,7168000000.0,,7326000000.0,0.65,,16711000000.0,621000000.0,1306000000.0,441000000.0,441000000,,216000000.0,1452000000.0,0.0,-264000000.0,3000000.0,4000000.0,-894000000.0,0.0,1466000000.0,,0.0,8167000000.0,441000000.0,,60000000.0,3355000000.0,799000000.0,,678461538.0,146000000.0,-85000000.0,216000000.0
1992-06-30,8720000000.0,,-1000000.0,293000000.0,,,,0.67,,5907000000.0,719000000.0,3658000000.0,3658000000.0,,0.0,830000000,,-555000000.0,605000000,7823000000,-5328000000.0,-191000000.0,,1022000000.0,6807000000.0,,663000000.0,,9220000000.0,11533000000.0,,676119403.0,-55000000.0,443000000.0,411000000.0,,210000000.0,6205000000.0,6787000000.0,3000000.0,,,898000000.0,,6993000000.0,,7802000000.0,0.67,,17022000000.0,467000000.0,1307000000.0,453000000.0,453000000,,225000000.0,1495000000.0,0.0,118000000.0,2000000.0,4000000.0,-388000000.0,0.0,1597000000.0,,0.0,8302000000.0,453000000.0,,62000000.0,3061000000.0,830000000.0,,676119403.0,188000000.0,-86000000.0,225000000.0
1992-09-30,9087000000.0,,-4000000.0,-620000000.0,,,,0.54,,6117000000.0,942000000.0,3714000000.0,3714000000.0,,0.0,711000000,,-545000000.0,469000000,6897000000,-5452000000.0,347000000.0,,434000000.0,7156000000.0,0.0,529000000.0,,9977000000.0,11989000000.0,,674074074.0,-8000000.0,56000000.0,-163000000.0,,165000000.0,6537000000.0,7152000000.0,2000000.0,,,1022000000.0,,6186000000.0,,8215000000.0,0.54,,18192000000.0,-111000000.0,1721000000.0,364000000.0,364000000,,242000000.0,1949000000.0,0.0,-176000000.0,17000000.0,2000000.0,-725000000.0,0.0,1678000000.0,,0.0,9105000000.0,364000000.0,,62000000.0,3682000000.0,711000000.0,,674074074.0,228000000.0,-84000000.0,242000000.0
1992-12-31,8056000000.0,,-1151000000.0,339000000.0,,,,,,5248000000.0,1247000000.0,2711000000.0,2711000000.0,,0.0,661000000,,-433000000.0,383000000,7497000000,-5569000000.0,-11000000.0,,658000000.0,6140000000.0,0.0,425000000.0,,8087000000.0,12293000000.0,,,28000000.0,-1003000000.0,56000000.0,,129000000.0,6724000000.0,6276000000.0,20000000.0,,,871000000.0,,6836000000.0,,10060000000.0,,,18147000000.0,225000000.0,1772000000.0,-706000000.0,296000000,,278000000.0,3951000000.0,2179000000.0,-66000000.0,21000000.0,4000000.0,-1650000000.0,0.0,3336000000.0,,0.0,10091000000.0,-706000000.0,,46000000.0,2701000000.0,661000000.0,,,,-85000000.0,278000000.0
1993-03-31,8385000000.0,,-363000000.0,-325000000.0,410000000.0,,,0.48,,5591000000.0,902000000.0,3106000000.0,3106000000.0,,2711000000.0,683000000,,-409000000.0,430000000,6644000000,-5705000000.0,-82000000.0,,839000000.0,6626000000.0,,476000000.0,,8508000000.0,12609000000.0,,677083333.0,-45000000.0,395000000.0,306000000.0,,151000000.0,6904000000.0,6601000000.0,4000000.0,,,1014000000.0,,5961000000.0,,10488000000.0,0.48,,18996000000.0,430000000.0,1771000000.0,325000000.0,325000000,,253000000.0,3985000000.0,2214000000.0,,21000000.0,5000000.0,-362000000.0,0.0,3584000000.0,,0.0,10611000000.0,325000000.0,,51000000.0,3026000000.0,683000000.0,,677083333.0,,-85000000.0,253000000.0
1993-06-30,8645000000.0,,-782000000.0,614000000.0,-69000000.0,,,0.63,,5711000000.0,1030000000.0,3057000000.0,3057000000.0,,0.0,812000000,,-363000000.0,581000000,7985000000,-5913000000.0,390000000.0,,775000000.0,6714000000.0,,625000000.0,,8187000000.0,12959000000.0,,676190476.0,7000000.0,-49000000.0,111000000.0,,199000000.0,7046000000.0,6857000000.0,3000000.0,,,983000000.0,,7173000000.0,,11676000000.0,0.63,,19863000000.0,412000000.0,2243000000.0,426000000.0,426000000,,231000000.0,4504000000.0,2261000000.0,,20000000.0,3000000.0,-1214000000.0,0.0,4630000000.0,,0.0,11218000000.0,426000000.0,,47000000.0,2412000000.0,812000000.0,,676190476.0,,-85000000.0,231000000.0
1993-09-30,8842000000.0,,-141000000.0,-879000000.0,-220000000.0,,,0.28,,5832000000.0,1494000000.0,2298000000.0,2298000000.0,,0.0,496000000,,-259000000.0,246000000,5153000000,-6039000000.0,168000000.0,,-307000000.0,6760000000.0,,273000000.0,,8699000000.0,13111000000.0,,675000000.0,-174000000.0,-759000000.0,-572000000.0,,84000000.0,7072000000.0,7046000000.0,9000000.0,,,911000000.0,,4657000000.0,,11692000000.0,0.28,,20391000000.0,-566000000.0,2491000000.0,189000000.0,189000000,,250000000.0,4789000000.0,2298000000.0,,17000000.0,9000000.0,-620000000.0,0.0,4620000000.0,,0.0,11549000000.0,189000000.0,,36000000.0,3291000000.0,496000000.0,,675000000.0,,-85000000.0,250000000.0
1993-12-31,8983000000.0,,360000000.0,-143000000.0,16000000.0,,,,,5854000000.0,1784000000.0,2342000000.0,2342000000.0,,0.0,725000000,,-286000000.0,434000000,5656000000,-6144000000.0,44000000.0,,-90000000.0,6531000000.0,,447000000.0,,9175000000.0,13232000000.0,,,-324000000.0,44000000.0,-360000000.0,,143000000.0,7088000000.0,7180000000.0,7000000.0,,,660000000.0,,4931000000.0,,11275000000.0,,,20450000000.0,-376000000.0,2613000000.0,304000000.0,304000000,,291000000.0,4936000000.0,2323000000.0,,17000000.0,22000000.0,90000000.0,0.0,4187000000.0,,0.0,11467000000.0,304000000.0,,35000000.0,3434000000.0,725000000.0,,,,-85000000.0,291000000.0
1994-03-31,9285000000.0,,43000000.0,191000000.0,,,1746000000.0,0.43,,6011000000.0,249000000.0,3840000000.0,2905000000.0,,2342000000.0,659000000,,-178000000.0,433000000,6345000000,-6275000000.0,-78000000.0,,945000000.0,6956000000.0,,430000000.0,,9757000000.0,13331000000.0,,680600000.0,,563000000.0,427000000.0,,138000000.0,7056000000.0,7472000000.0,10000000.0,935000000.0,,924000000.0,,5912000000.0,,11444000000.0,0.43,1477000000.0,21201000000.0,767000000.0,2606000000.0,292000000.0,292000000,,226000000.0,4960000000.0,2354000000.0,-169000000.0,21000000.0,28000000.0,-304000000.0,2905000000.0,4365000000.0,,0.0,11916000000.0,292000000.0,,0.0,3243000000.0,433000000.0,,680600000.0,,-85000000.0,
