date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1989-09-30,2600000.0,17400000.0,26600000.0,142500000.0,,,,24500000.0,5400000.0,0.0,0.015,4600000.0,,4700000.0,,4700000,21200000.0,4700000.0,2000000.0,200000.0,53400000.0,0.0,-1500000.0,313333333.0,9800000.0,,,9800000.0,4500000.0,1600000.0,,36400000.0,800000.0,6200000.0,3800000.0,0.0,1800000.0,7100000.0,,,,0.015,,0.0,,30200000.0,,9900000.0,22800000.0,106100000.0,0.0,,-20600000.0,2900000.0,22000000.0,,500000.0,,9000000,313333333.0,,,1500000.0,,7600000.0,97600000.0,,54700000,42600000.0,115900000.0,31800000.0,7400000,-800000.0,-1500000.0,7700000.0,,
1989-12-31,2700000.0,20500000.0,27200000.0,152300000.0,,,,27400000.0,9500000.0,0.0,,4800000.0,,4800000.0,,4800000,23600000.0,4800000.0,2100000.0,100000.0,51500000.0,0.0,-2000000.0,,19300000.0,,,19300000.0,3400000.0,1600000.0,,40300000.0,800000.0,10900000.0,3500000.0,-400000.0,2400000.0,6900000.0,,,,,,0.0,,33100000.0,,11600000.0,25200000.0,112000000.0,0.0,,-25300000.0,3000000.0,22900000.0,,500000.0,2900000.0,9500000,,,,3400000.0,,7800000.0,102500000.0,,60500000,48200000.0,125100000.0,35500000.0,7900000,-1200000.0,-2000000.0,12900000.0,,
1990-03-31,2600000.0,20200000.0,28300000.0,161700000.0,,,,29500000.0,5100000.0,0.0,0.02,4700000.0,,6300000.0,,6300000,26500000.0,6300000.0,2100000.0,100000.0,51300000.0,0.0,-2700000.0,315000000.0,24300000.0,,,24300000.0,3800000.0,1600000.0,,42900000.0,800000.0,4100000.0,3400000.0,100000.0,200000.0,6800000.0,,,,0.02,,19300000.0,,38100000.0,,14200000.0,28100000.0,118800000.0,0.0,,-25300000.0,3900000.0,24100000.0,,400000.0,-3400000.0,11600000,315000000.0,,,2300000.0,,10200000.0,108800000.0,,67600000,49400000.0,133400000.0,38200000.0,10000000,900000.0,-2700000.0,6800000.0,,
1990-06-30,2800000.0,21300000.0,30700000.0,167200000.0,,,,30400000.0,-3200000.0,-100000.0,0.015,4800000.0,,5500000.0,,5500000,27200000.0,5500000.0,2100000.0,400000.0,54500000.0,0.0,-4800000.0,366666667.0,21200000.0,,,21200000.0,2000000.0,1700000.0,,42500000.0,700000.0,-1700000.0,4600000.0,0.0,-2600000.0,6600000.0,,,,0.015,,0.0,,37400000.0,,14400000.0,28900000.0,124700000.0,0.0,,-25300000.0,3400000.0,25400000.0,,0.0,4500000.0,10200000,366666667.0,,,-8600000.0,,8900000.0,114400000.0,,67800000,50700000.0,136500000.0,37700000.0,8500000,-1700000.0,-4800000.0,3100000.0,,
1990-09-30,2300000.0,33400000.0,33000000.0,194300000.0,,,,30600000.0,26000000.0,100000.0,0.015,4500000.0,,5700000.0,,5700000,27300000.0,5700000.0,2100000.0,1100000.0,55700000.0,0.0,-1700000.0,380000000.0,47100000.0,,,47100000.0,1700000.0,1800000.0,,53500000.0,5400000.0,28100000.0,,-1400000.0,-1000000.0,7000000.0,,,,0.015,,0.0,,37000000.0,,13900000.0,29000000.0,140800000.0,0.0,,-25300000.0,3500000.0,27600000.0,,100000.0,8800000.0,9800000,380000000.0,,,13500000.0,,9200000.0,129900000.0,,67600000,52900000.0,161300000.0,49000000.0,8000000,-2000000.0,-1700000.0,29800000.0,,
1990-12-31,1900000.0,34100000.0,33900000.0,209500000.0,,,,35500000.0,-8500000.0,0.0,,3900000.0,,6100000.0,,6100000,31100000.0,6100000.0,2000000.0,800000.0,60100000.0,0.0,-19300000.0,,38700000.0,,,38700000.0,2700000.0,2000000.0,,61600000.0,900000.0,4700000.0,4300000.0,1200000.0,-4100000.0,26100000.0,,,,,,0.0,,42100000.0,,20900000.0,33100000.0,147900000.0,-15400000.0,,-28700000.0,3800000.0,28700000.0,,400000.0,7400000.0,11000000,,,,-5400000.0,,9900000.0,136100000.0,,77600000,57400000.0,175600000.0,57700000.0,9000000,2200000.0,-3900000.0,8600000.0,,
1991-03-31,1900000.0,33400000.0,34300000.0,218400000.0,,,,37300000.0,-1300000.0,0.0,0.025,3900000.0,,7800000.0,,7800000,34200000.0,7800000.0,2000000.0,400000.0,67200000.0,0.0,-3700000.0,312000000.0,53800000.0,,,53800000.0,4400000.0,2000000.0,-1100000.0,64100000.0,5000000.0,-1700000.0,,-400000.0,-7800000.0,10900000.0,,,,0.025,,55100000.0,,48400000.0,,22400000.0,36200000.0,154300000.0,0.0,,-28700000.0,4800000.0,29300000.0,,300000.0,-500000.0,14200000,312000000.0,,,-8400000.0,,12600000.0,143800000.0,,85700000,58000000.0,184100000.0,60200000.0,12200000,1500000.0,-2600000.0,900000.0,,
1991-06-30,1900000.0,30900000.0,37400000.0,222300000.0,,,,40400000.0,700000.0,0.0,0.02,3900000.0,,7400000.0,,7400000,34300000.0,7400000.0,2000000.0,200000.0,72800000.0,0.0,-1500000.0,370000000.0,38100000.0,,,38100000.0,4900000.0,2200000.0,-9000000.0,61000000.0,1000000.0,-4000000.0,3900000.0,0.0,-5900000.0,24000000.0,,,,0.02,,0.0,,48200000.0,,21300000.0,36400000.0,161300000.0,0.0,,-28700000.0,4500000.0,32500000.0,,200000.0,1100000.0,14000000,370000000.0,,,-9300000.0,,11900000.0,151200000.0,,88600000,61200000.0,184900000.0,57100000.0,11800000,700000.0,-5400000.0,1400000.0,,
1991-09-30,1400000.0,42200000.0,40000000.0,242300000.0,,,,41000000.0,4600000.0,0.0,0.02,3400000.0,,7500000.0,,7500000,35200000.0,7500000.0,2000000.0,600000.0,80300000.0,0.0,-12900000.0,375000000.0,42700000.0,,,42700000.0,6100000.0,2600000.0,-16000000.0,73300000.0,6400000.0,12600000.0,,-100000.0,-7100000.0,32500000.0,7300000.0,,,0.02,,0.0,,48900000.0,,21600000.0,37400000.0,169000000.0,0.0,,-28700000.0,4600000.0,33600000.0,,300000.0,-2000000.0,14100000,375000000.0,,,8700000.0,,12100000.0,158700000.0,,89900000,62300000.0,202300000.0,69900000.0,11500000,1000000.0,-4200000.0,16800000.0,,
1991-12-31,1400000.0,52100000.0,41600000.0,270300000.0,,,,42500000.0,10200000.0,-100000.0,,2000000.0,,10400000.0,,10400000,37000000.0,10400000.0,700000.0,700000.0,78200000.0,0.0,-10200000.0,,52900000.0,,,52900000.0,7200000.0,5000000.0,14400000.0,90400000.0,1300000.0,14100000.0,4200000.0,300000.0,2700000.0,44300000.0,,,,,,0.0,,58100000.0,,29100000.0,42000000.0,179900000.0,0.0,,-37700000.0,6400000.0,36100000.0,,500000.0,9500000.0,21100000,,,,-1700000.0,,16800000.0,166700000.0,,100600000,73800000.0,228700000.0,88400000.0,16100000,1900000.0,-4400000.0,18500000.0,,
1992-03-31,1400000.0,42900000.0,45300000.0,267400000.0,,,,49700000.0,-8000000.0,-100000.0,0.03,2000000.0,,11000000.0,,11000000,43200000.0,11000000.0,700000.0,400000.0,81000000.0,0.0,1500000.0,366666667.0,45000000.0,-2400000.0,,45000000.0,4700000.0,2300000.0,,76600000.0,5400000.0,-9500000.0,,-1700000.0,-3400000.0,37500000.0,7100000.0,,,0.03,,53100000.0,,62900000.0,,27000000.0,45500000.0,190800000.0,0.0,,-37700000.0,6800000.0,39900000.0,,1300000.0,100000.0,19700000,366666667.0,,,-17300000.0,,17800000.0,177800000.0,,112600000,77600000.0,222100000.0,74600000.0,17400000,-5400000.0,-5600000.0,-3900000.0,,
1992-06-30,1400000.0,46400000.0,49800000.0,282900000.0,,,,49700000.0,-3100000.0,0.0,0.03,2000000.0,,11100000.0,,11100000,45500000.0,11100000.0,600000.0,1000000.0,83600000.0,0.0,-13200000.0,370000000.0,41800000.0,0.0,,41800000.0,1600000.0,2800000.0,,79500000.0,5500000.0,6500000.0,,-300000.0,-1900000.0,42900000.0,-6600000.0,,,0.03,,0.0,,67400000.0,,29500000.0,50600000.0,203400000.0,0.0,,-37700000.0,6800000.0,44300000.0,,100000.0,,21900000,370000000.0,,,-700000.0,,17900000.0,188800000.0,,117100000,82000000.0,233100000.0,77500000.0,16800000,-3300000.0,-6600000.0,13100000.0,,
1992-09-30,800000.0,53800000.0,56300000.0,300100000.0,,,,52200000.0,-5600000.0,-100000.0,0.03,1500000.0,,11000000.0,,11000000,45700000.0,11000000.0,800000.0,1000000.0,88800000.0,0.0,-14600000.0,366666667.0,36200000.0,0.0,,36200000.0,600000.0,2800000.0,,84100000.0,5200000.0,1200000.0,,-100000.0,-4800000.0,48700000.0,,,,0.03,,0.0,,65200000.0,,28200000.0,48500000.0,216000000.0,-5500000.0,,-37700000.0,6800000.0,51100000.0,,200000.0,,19500000,366666667.0,,,-3600000.0,,17800000.0,199800000.0,,117400000,88800000.0,243800000.0,82600000.0,16700000,-1400000.0,-9100000.0,10300000.0,,
1992-12-31,1400000.0,61900000.0,70700000.0,340300000.0,,,,56400000.0,6900000.0,5200000.0,,6600000.0,,14600000.0,,14600000,47300000.0,14600000.0,,700000.0,79400000.0,0.0,-35600000.0,,43100000.0,0.0,,43100000.0,1200000.0,3500000.0,,108000000.0,1700000.0,20900000.0,9400000.0,1700000.0,10800000.0,70200000.0,,,,,,0.0,,73600000.0,,38300000.0,50800000.0,232300000.0,-3700000.0,,-47900000.0,8900000.0,59600000.0,,8200000.0,0.0,26300000,,,,16900000.0,,23500000.0,211600000.0,,130000000,107500000.0,269600000.0,101400000.0,22800000,9700000.0,-10300000.0,31200000.0,,
1993-03-31,1400000.0,60900000.0,73500000.0,351300000.0,,,,57800000.0,-13500000.0,4800000.0,0.04,6200000.0,,14500000.0,,14500000,51400000.0,14500000.0,,900000.0,86700000.0,0.0,100000.0,362500000.0,29600000.0,-2900000.0,,29600000.0,1600000.0,3700000.0,,103700000.0,11100000.0,-17300000.0,,-400000.0,-7300000.0,65800000.0,5900000.0,,,0.04,,43100000.0,,77400000.0,,35000000.0,55100000.0,247600000.0,0.0,,-47900000.0,8900000.0,62400000.0,,900000.0,,26000000,362500000.0,,,-29700000.0,,23400000.0,226000000.0,,135200000,110300000.0,277800000.0,97500000.0,22300000,-2000000.0,-5800000.0,-11500000.0,,
1993-06-30,2200000.0,67100000.0,77000000.0,367600000.0,,,,61000000.0,7000000.0,5100000.0,0.04,7300000.0,,14000000.0,,14000000,53400000.0,14000000.0,,800000.0,88000000.0,0.0,-14400000.0,350000000.0,36600000.0,0.0,,36600000.0,2700000.0,4000000.0,,107400000.0,12000000.0,16400000.0,,-900000.0,-1700000.0,73600000.0,,,,0.04,,0.0,,79000000.0,,30300000.0,57200000.0,260200000.0,0.0,,-47900000.0,8600000.0,65000000.0,,200000.0,,25800000,350000000.0,,,5300000.0,,22600000.0,240000000.0,,140000000,112900000.0,290600000.0,100100000.0,21800000,-200000.0,-5500000.0,21900000.0,,
1993-09-30,32900000.0,72700000.0,111900000.0,419000000.0,,,,60100000.0,7800000.0,5100000.0,0.04,38000000.0,,14000000.0,,14000000,51700000.0,14000000.0,,1200000.0,85100000.0,0.0,-50900000.0,350000000.0,44400000.0,0.0,,44400000.0,3100000.0,3600000.0,-46500000.0,144100000.0,45300000.0,23000000.0,,-400000.0,2700000.0,88000000.0,,,,0.04,,0.0,,76800000.0,,30300000.0,55500000.0,274900000.0,0.0,,-47900000.0,8600000.0,66600000.0,,0.0,-2100000.0,25100000,350000000.0,,,12000000.0,,22600000.0,254000000.0,,136900000,114500000.0,307100000.0,106100000.0,21300000,31700000.0,-4400000.0,27400000.0,,
1993-12-31,31300000.0,85000000.0,110300000.0,454200000.0,,,,61600000.0,5300000.0,4600000.0,,35900000.0,,17800000.0,,17800000,52200000.0,17800000.0,,1200000.0,76600000.0,0.0,-43900000.0,,49700000.0,0.0,,49700000.0,1700000.0,4900000.0,-4800000.0,165800000.0,34800000.0,9200000.0,7800000.0,1500000.0,8600000.0,129700000.0,,,,,,0.0,,83600000.0,,43200000.0,57100000.0,288400000.0,0.0,,-57600000.0,9900000.0,67700000.0,,300000.0,8100000.0,31400000,,,,19500000.0,,27700000.0,268400000.0,,145200000,125300000.0,343900000.0,129900000.0,26500000,400000.0,-39100000.0,48300000.0,,
1994-03-31,34000000.0,89500000.0,121200000.0,468300000.0,,,,63200000.0,-6200000.0,3300000.0,0.045,37300000.0,,17300000.0,,17300000,46600000.0,17300000.0,,2600000.0,81200000.0,0.0,1700000.0,384444444.0,43500000.0,-3400000.0,,43500000.0,900000.0,4300000.0,,160400000.0,48700000.0,-17000000.0,,-200000.0,-4400000.0,117300000.0,13200000.0,,,0.045,,49700000.0,,85600000.0,,32700000.0,60100000.0,307900000.0,0.0,,-57600000.0,10600000.0,72500000.0,,900000.0,-1900000.0,29800000,384444444.0,,9200000.0,-25200000.0,,27900000.0,285700000.0,,148800000,130100000.0,347100000.0,123100000.0,25500000,-2600000.0,-11500000.0,-5500000.0,,
1994-06-30,35400000.0,90600000.0,133800000.0,489600000.0,,,,66200000.0,17400000.0,8200000.0,0.045,43600000.0,,17000000.0,,17000000,48600000.0,17000000.0,,2200000.0,80300000.0,0.0,-1400000.0,377777778.0,60900000.0,0.0,,60900000.0,1500000.0,4300000.0,,166600000.0,58300000.0,16600000.0,,-1700000.0,2100000.0,115200000.0,5500000.0,,,0.045,,0.0,,88000000.0,,30900000.0,62700000.0,323000000.0,0.0,,-57600000.0,10400000.0,75500000.0,,200000.0,-4000000.0,29600000,377777778.0,,9800000.0,6100000.0,,27400000.0,302700000.0,,154200000,133100000.0,355800000.0,123000000.0,25300000,-4800000.0,-6900000.0,23500000.0,,
1994-09-30,99300000.0,113800000.0,220000000.0,731600000.0,,,,73100000.0,44300000.0,35800000.0,0.045,135100000.0,,16700000.0,,16700000,57100000.0,16700000.0,,500000.0,145900000.0,0.0,-37500000.0,371111111.0,105200000.0,0.0,,105200000.0,8600000.0,5500000.0,,291500000.0,29000000.0,2200000.0,17000000.0,1900000.0,3200000.0,120800000.0,5400000.0,,0.0,0.045,,0.0,,101200000.0,,34000000.0,72000000.0,341800000.0,-700000.0,,-57600000.0,11900000.0,174000000.0,,400000.0,10200000.0,34700000,371111111.0,,10200000.0,12000000.0,,28600000.0,319400000.0,,174300000,231600000.0,511600000.0,156400000.0,29200000,36900000.0,-42200000.0,44400000.0,,
1994-12-31,95300000.0,123200000.0,227500000.0,768000000.0,,,,77700000.0,11600000.0,35200000.0,,130500000.0,,21300000.0,,21300000,69100000.0,21300000.0,,1900000.0,115800000.0,0.0,-16900000.0,,116800000.0,0.0,,116800000.0,5600000.0,6800000.0,,309700000.0,29500000.0,66700000.0,17300000.0,-1300000.0,4900000.0,153300000.0,-6400000.0,,0.0,,,0.0,,126900000.0,,50400000.0,86300000.0,358300000.0,-41900000.0,,-90500000.0,17900000.0,180700000.0,,300000.0,5100000.0,47400000,,,10400000.0,3300000.0,,39200000.0,336900000.0,,204600000,271200000.0,540500000.0,179200000.0,40600000,-7400000.0,31400000.0,35300000.0,,
1995-03-31,119100000.0,114100000.0,244900000.0,802300000.0,,,,81000000.0,-54300000.0,27500000.0,0.055,146600000.0,,20800000.0,,20800000,73500000.0,20800000.0,,800000.0,128600000.0,0.0,-65600000.0,378181818.0,62300000.0,-3900000.0,,62300000.0,4200000.0,6600000.0,,308500000.0,51000000.0,-60800000.0,,800000.0,-6500000.0,202900000.0,,,,0.055,,116600000.0,,133000000.0,,43600000.0,90900000.0,377300000.0,0.0,,-90500000.0,18000000.0,193900000.0,,1300000.0,1900000.0,48700000,378181818.0,,10800000.0,-24500000.0,,38800000.0,357700000.0,,214000000,284400000.0,557400000.0,161900000.0,42100000,6200000.0,-65600000.0,4800000.0,,
1995-06-30,121900000.0,115700000.0,253300000.0,842200000.0,,,,91400000.0,3500000.0,28000000.0,0.055,149900000.0,,20400000.0,,20400000,80500000.0,20400000.0,,1600000.0,130300000.0,0.0,-17000000.0,370909091.0,66000000.0,0.0,,66000000.0,2600000.0,6200000.0,,316500000.0,51500000.0,59000000.0,,200000.0,800000.0,207500000.0,,,,0.055,,0.0,,137100000.0,,48300000.0,98400000.0,399600000.0,-54500000.0,,-90500000.0,16900000.0,201800000.0,,400000.0,6000000.0,44900000,370909091.0,,11700000.0,-11100000.0,,37300000.0,378100000.0,,228500000,292300000.0,588900000.0,166600000.0,38700000,-1300000.0,37500000.0,21500000.0,,
