date,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares
2015-09-30,0.0,4422000.0,5230000.0,-28091000.0,,5353000.0,-398000.0,40285000,-3892000,824000.0,,6455000,4795000,23050000,3118000,580000,,7271000.0,60532000.0,160453000.0,-1042000,4397000,,8365000,9176000.0,4237000,28731000.0,800000,7355000.0,31306000.0,7355000.0,139000.0,15620000,833000.0,7355000,,-41962000,1314000,7250000,91267000,,15493000,30300000,125879000.0,32513000.0,79584000.0,,595000.0,99921000.0,-1123000.0,-6590000,-224000.0,-6573000,0.0,50284000.0,18385000.0,10409000.0,-41564000.0,60967000,-2109000,11848000.0,22226000.0,1314000,5875000,-8000000,46295000.0,1605000.0,34133000.0,,,,,,,,,
2015-12-31,0.0,4476000.0,3665000.0,-28491000.0,,2709000.0,-511000.0,-10013000,-4063000,,1387000.0,3507000,6256000,25278000,-2881000,375000,,12443000.0,59554000.0,162234000.0,-11298000,5745000,,7505000,10610000.0,7355000,31694000.0,865000,4474000.0,27806000.0,4474000.0,139000.0,11877000,1189000.0,4474000,0.0,876000,-19000,4374000,94840000,,17773000,29652000,128915000.0,32967000.0,85041000.0,,468000.0,102680000.0,-1123000.0,-10191000,-1366000.0,-10148000,0.0,61776000.0,18379000.0,12245000.0,0.0,65188000,1566000,11338000.0,20931000.0,-19000,3132000,-11826000,43874000.0,1612000.0,31460000.0,,,,,,,,,
2016-03-31,0.0,4755000.0,181000.0,-28934000.0,,2501000.0,-665000.0,-26194000,-5876000,854000.0,,16729000,25502000,24169000,-1525000,988000,,12597000.0,68059000.0,159440000.0,5060000,24837000,,6789000,7893000.0,4474000,23207000.0,753000,2949000.0,10306000.0,2949000.0,139000.0,24271000,618000.0,2949000,-168000.0,-833000,4173000,17577000,110546000,,17380000,41746000,115759000.0,33689000.0,63312000.0,,841000.0,91381000.0,-1493000.0,-73000,1314000.0,-9302000,0.0,53968000.0,18379000.0,11885000.0,0.0,68800000,3484000,18053000.0,19732000.0,4173000,15741000,-18825000,52447000.0,1723000.0,30334000.0,,,,,,,,,
2016-06-30,0.0,5035000.0,1827000.0,-29403000.0,0.0,9421000.0,-784000.0,-12770000,-4279000,0.0,,15474000,18112000,22443000,4313000,4736000,,4237000.0,85734000.0,168062000.0,11737000,17328000,-28000.0,6244000,,2949000,22257000.0,619000,7262000.0,5306000.0,7262000.0,141000.0,22337000,1823000.0,7262000,-245000.0,-1029000,2341000,15899000,76187000,,16199000,38342000,115232000.0,34438000.0,49565000.0,,715000.0,82328000.0,-2164000.0,9849000,1491000.0,-5371000,0.0,42677000.0,18379000.0,14368000.0,0.0,37845000,-1647000,23601000.0,18441000.0,2341000,10738000,-6327000,65667000.0,17539000.0,25149000.0,,,,,,,,,
2016-09-30,-426000.0,4866000.0,3725000.0,-29942000.0,0.0,8136000.0,-314000.0,23929000,-16185000,,,7930000,18029000,26304000,9645000,1129000,,28749000.0,177986000.0,337731000.0,3353000,17715000,-33000.0,19710000,29009000.0,7262000,37562000.0,844000,16907000.0,62714000.0,16907000.0,168000.0,28484000,1586000.0,16907000,-149000.0,-32313000,183000,8960000,158094000,,18009000,35264000,227014000.0,34808000.0,160769000.0,,-148000.0,159745000.0,-2355000.0,-8731000,-681000.0,-2863000,0.0,82580000.0,79556000.0,31744000.0,-31850000.0,122830000,-1269000,22930000.0,6542000.0,183000,6801000,-19449000,66245000.0,7611000.0,53482000.0,,,,,,,,,
2016-12-31,1035000.0,4706000.0,3752000.0,-30561000.0,0.0,8658000.0,-495000.0,-1928000,-8647000,938000.0,-1134000.0,27711000,6150000,39227000,2053000,3574000,0.0,17983000.0,178185000.0,376168000.0,-32238000,5655000,11000.0,15783000,27544000.0,16907000,52309000.0,7039000,18960000.0,73370000.0,18960000.0,168000.0,50533000,1215000.0,18960000,-540000.0,-2169000,7747000,33098000,168676000,,29776000,72325000,252432000.0,35267000.0,184056000.0,,1974000.0,197983000.0,-2355000.0,-15525000,4711000.0,-2536000,0.0,115115000.0,79147000.0,36619000.0,0.0,96351000,-26000,30303000.0,5000000.0,7747000,24137000,-22051000,68376000.0,12484000.0,50451000.0,,,,,,,,,
2017-03-31,0.0,4389000.0,430000.0,-31066000.0,0.0,8690000.0,-112000.0,-8797000,-3681000,139000.0,,13792000,24380000,33609000,5971000,2406000,,16056000.0,174134000.0,365817000.0,3381000,24268000,-7000.0,8167000,27313000.0,18960000,40315000.0,3445000,24931000.0,30421000.0,24931000.0,173000.0,26469000,1367000.0,24931000,0.0,-9612000,2086000,17038000,194345000,,24377000,50647000,228782000.0,35455000.0,130031000.0,,-87000.0,191683000.0,-2355000.0,-15282000,4625000.0,-4235000,0.0,110767000.0,79407000.0,40022000.0,-9500000.0,143698000,3322000,38603000.0,0.0,2269000,11386000,-46993000,98751000.0,5416000.0,50848000.0,,,,,,,,,
2017-06-30,0.0,3993000.0,3442000.0,-31599000.0,0.0,9123000.0,-259000.0,46741000,-17484000,0.0,,5080000,23026000,29002000,-10886000,409000,,13827000.0,176388000.0,408713000.0,14691000,22767000,-17000.0,10244000,28098000.0,24931000,49341000.0,2717000,13126000.0,7500000.0,13126000.0,348000.0,18041000,1538000.0,14045000,0.0,-80653000,88000,7797000,151436000,,19346000,36799000,286030000.0,35592000.0,97960000.0,,90000.0,232325000.0,-2399000.0,2972000,2132000.0,-7277000,0.0,99573000.0,80947000.0,21749000.0,-71041000.0,114637000,-3012000,36455000.0,91500000.0,1079000,4671000,-46796000,188070000.0,5316000.0,112964000.0,,,,,,,,,
2017-09-30,0.0,8623000.0,5688000.0,-32390000.0,0.0,11814000.0,-1067000.0,-13502000,-4242000,0.0,-70045000.0,15393000,16418000,37075000,-2796000,2451000,,9931000.0,238260000.0,439456000.0,-16000,15351000,-22000.0,12173000,47229000.0,14045000,53866000.0,2863000,11249000.0,20776000.0,11249000.0,41592000.0,30429000,1118000.0,11249000,0.0,-5712000,1415000,18088000,215536000,,25566000,55163000,310176000.0,41013000.0,123543000.0,-603000.0,678000.0,201196000.0,-3557000.0,-1164000,1164000.0,-18604000,0.0,115720000.0,120154000.0,32833000.0,65400000.0,160373000,-2246000,36104000.0,88600000.0,2347000,12942000,-25875000,186633000.0,46191000.0,65742000.0,,,,,,,,,
2017-12-31,22267000.0,8275000.0,4470000.0,-33169000.0,0.0,18449000.0,-266000.0,19862000,-10355000,,-16655000.0,79799000,88000,43628000,18170000,32263000,,8336000.0,209211000.0,505949000.0,-50417000,-178000,-11000.0,12082000,34839000.0,11249000,77510000.0,2374000,29419000.0,20943000.0,29419000.0,348000.0,94255000,1035000.0,29419000,,-1780000,12226000,59752000,234776000,,31722000,103380000,344646000.0,41444000.0,151027000.0,-123000.0,27903000.0,296738000.0,-3314000.0,-33303000,11008000.0,-19652000,0.0,158814000.0,120154000.0,33679000.0,15141000.0,131396000,1218000,36248000.0,124801000.0,13158000,47536000,-33275000,193619000.0,798000.0,68155000.0,,,,,,,,,
2018-03-31,,7699000.0,400000.0,-34319000.0,,18150000.0,-754000.0,16981000,-6185000,,-15041000.0,-48298000,-9540000,43066000,-8354000,-6467000,,17874000.0,212073000.0,493905000.0,9737000,-10294000,-43000.0,11632000,35074000.0,29419000,61687000.0,2245000,21065000.0,11332000.0,21065000.0,348000.0,-33034000,1131000.0,21065000,,-15795000,-14353000,-46254000,286688000,-9091000.0,30047000,-3188000,382943000.0,42018000.0,142392000.0,,-6549000.0,281832000.0,-3313000.0,-29377000,-5726000.0,16489000,,152454000.0,120154000.0,41512000.0,,289876000,4070000,20285000.0,112400000.0,-12326000,-41831000,-105811000,240551000.0,,64313000.0,,,,,,,,,
2018-06-30,,7190000.0,1860000.0,-35294000.0,,16675000.0,-409000.0,-23108000,-20845000,,-7796000.0,27178000,45950000,40641000,14637000,3251000,,6341000.0,203984000.0,460849000.0,16210000,45541000,-33000.0,13007000,31600000.0,21065000,61766000.0,2316000,35702000.0,13921000.0,35702000.0,351000.0,42501000,1555000.0,35702000,,-8205000,5473000,28941000,232251000,-13298000.0,27780000,69582000,350072000.0,42484000.0,116866000.0,,3153000.0,256865000.0,-4451000.0,27406000,-2678000.0,-9245000,,135438000.0,120343000.0,32330000.0,,162669000,-1377000,24475000.0,112000000.0,7500000,23927000,-60812000,233206000.0,1000.0,56655000.0,,,,,,,,,
2018-09-30,,5383000.0,4077000.0,-36237000.0,,11075000.0,-8710000.0,1344000,-4200000,,8547000.0,22645000,5443000,39612000,7094000,3818000,,4105000.0,195322000.0,481277000.0,-5308000,-3267000,-15000.0,13899000,31713000.0,35702000,58332000.0,2178000,42796000.0,10535000.0,42796000.0,91109000.0,38740000,1021000.0,42796000,,307000,3582000,25454000,258475000,9541000.0,25695000,65066000,269554000.0,41620000.0,120998000.0,,2647000.0,285955000.0,-4456000.0,-15304000,2885000.0,-6474000,,137990000.0,120343000.0,45518000.0,,193409000,-2218000,117355000.0,122000000.0,5609000,18827000,-121000000,148556000.0,,65034000.0,,,,,,,,,
2018-12-31,,4366000.0,3878000.0,-37045000.0,,11130000.0,,-15780000,-18959000,,-3262000.0,-13840000,17910000,40770000,6842000,1475000,,51258000.0,196758000.0,488738000.0,-17088000,26354000,2000.0,12898000,26429000.0,42796000,72095000.0,435000,41002000.0,6936000.0,41002000.0,91109000.0,-507000,2172000.0,49638000,,4712000,-3997000,-11795000,228514000,20991000.0,27909000,28975000,307686000.0,41411000.0,141951000.0,0.0,-1579000.0,291980000.0,-4577000.0,-1493000,1307000.0,8962000,,153424000.0,120343000.0,10004000.0,,199539000,199000,136564000.0,139500000.0,-1969000,-15315000,-128849000,165735000.0,212000.0,54094000.0,,,,,,,,,
2019-03-31,,3871000.0,235000.0,-37791000.0,,14253000.0,-6123000.0,-38361000,-3734000,,0.0,3786000,30049000,41631000,-14435000,1041000,,58253000.0,193193000.0,448863000.0,16056000,23926000,-12000.0,12159000,27319000.0,49638000,56962000.0,2223000,32436000.0,5900000.0,32436000.0,91109000.0,18168000,1172000.0,35203000,,-6123000,-1245000,5820000,242706000,-11340000.0,29476000,47451000,272355000.0,41662000.0,130109000.0,,59000.0,255670000.0,-4591000.0,-2501000,62000.0,131000,,133518000.0,120343000.0,7336000.0,,195255000,3643000,134917000.0,110500000.0,782000,2745000,-94536000,142246000.0,545000.0,76468000.0,,,,,,,,,
2019-06-30,,3575000.0,2020000.0,-19698000.0,,10163000.0,-250000.0,-27353000,-3761000,,0.0,-30070000,20980000,47559000,-6623000,-4586000,,53692000.0,194594000.0,397084000.0,23791000,20730000,-38000.0,10321000,23810000.0,35203000,51460000.0,1268000,27579000.0,,27579000.0,91003000.0,-18481000,1260000.0,28580000,,-250000,-9142000,-28569000,177749000,-19040000.0,37247000,18990000,254730000.0,23273000.0,139556000.0,,-4586000.0,202490000.0,-4633000.0,14657000,-7053000.0,-19916000,,107562000.0,120343000.0,23165000.0,,158759000,-1785000,124230000.0,94000000.0,-7115000,-25484000,-71500000,115174000.0,260000.0,41941000.0,,,,,,,,,
2019-09-30,,3255000.0,3580000.0,-20228000.0,,9696000.0,-117000.0,-10937000,-31918000,,0.0,44243000,26056000,37125000,15002000,6567000,,38288000.0,186561000.0,398402000.0,1300000,25939000,-57000.0,9485000,20715000.0,28580000,46059000.0,1282000,42580000.0,,42580000.0,91000000.0,55021000,1621000.0,43582000,,-117000,13508000,46095000,207087000,545000.0,27629000,83220000,229626000.0,23483000.0,108102000.0,,4561000.0,211841000.0,-4634000.0,-5736000,3849000.0,-12414000,,103091000.0,120343000.0,23755000.0,0.0,123867000,-1560000,146531000.0,119504000.0,15534000,37676000,-81000000,121524000.0,190000.0,45333000.0,,,,,,,,,
