date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2014-12-31,7469624000,7452448000,389477000,,-1691431000.0,3100322000,100310000,0.0,587269000,6731632000,7438135000.0,,4791753000.0,735808000,11141228000,17176000.0,31221072000,34329607000,15360373000,10615574000.0,32249500000,66579107000,46581445000,0.0,14231608000,0.0,19830096000,577664000.0,160289000,13896215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,9790436000,9762905000,394495000,,,3118286000,100310000,261017000.0,1111503000,6700492000,6894602000.0,,3118286000.0,751450000,11623758000,27531000.0,33934632000,35098126000,17867578000,11744406000.0,37860387000,72958513000,51802210000,0.0,16718548000,0.0,20992492000,577664000.0,66911000,12127907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,8051004000,8015187000,367242000,,-1878070000.0,3041806000,101408000,0.0,808197000,6230227000,0.0,,4919876000.0,738610000,13869867000,35817000.0,30743970000,32407304000,18073587000,13506581000.0,37657231000,70064535000,48817557000,0.0,16965016000,291000.0,21146716000,577664000.0,108835000,20591878000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,14131700000,14095883000,346627000,,,2936282000,112203000,0.0,1281981000,5758499000,0.0,,2936282000.0,721591000,13526173000,35817000.0,34700908000,36823662000,19553508000,17856731000.0,42362694000,79186356000,54254416000,0.0,18482901000,0.0,24829805000,577664000.0,77558000,19722263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,11521693000,11484652000,348891000,,-2063304000.0,2808858000,112203000,0.0,1455620000,5409530000,29000144000.0,,4872162000.0,699088000,19403741000,37041000.0,39716114000,40143720000,20788013000,20039938000.0,46030725000,86174445000,60504127000,0.0,19737895000,430000.0,25447958000,577664000.0,131365000,24129401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,11249424000,11210638000,402438000,,,3685055000,112203000,0.0,5189057000,5629996000,28817594000.0,,3685055000.0,730078000,17464000000,38786000.0,45381001000,45982889000,23690317000,21725474000.0,51587665000,97570554000,69071318000,0.0,22555901000,0.0,28217191000,577664000.0,168126000,30911401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,17676545000,17593203000,446655000,,-2409111000.0,4210112000,126229000,,6478947000,5748968000,,,6619223000.0,809431000,18718385000,83342000.0,51998281000,55477637000,28057081000,24036238000.0,63040636000,118518273000,80055362000,,26798496000,,38087629000,577664000.0,214039000,33115504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,19091473000,19045090000,434124000,,,4198729000,126229000,,3634634000,5568080000,,,4198729000.0,796821000,20004705000,46383000.0,51408379000,62597127000,40631207000,,68959571000,131556698000,92039586000,,39398092000,1638771000.0,38994134000,577664000.0,1953629000,26070110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,17970029000,17924218000,427087000,,-2600786000.0,4516838000,126229000,,2795832000,4463335000,,,7117624000.0,740010000,20594523000,45811000.0,53629989000,60262668000,39413852000,26520870000.0,75859423000,136122091000,93043841000,,38244913000,2349510000.0,42332836000,577664000.0,2629714000,25321390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,21095725000,21035490000,430311000,,,4687477000,126229000,,6941033000,4370332000,,,4687477000.0,796440000,21120970000,60235000.0,60283769000,67257423000,40848807000,28775288000.0,79345619000,146603042000,101132576000,,39548641000,,44605323000,577664000.0,2473938000,25755890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
