date,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
1987-12-31,,,,,,,,,816200000,,,,,,,,,,,,,,,,,,,,816200000,816200000,,,,,73800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,808900000,,,,,,,,,,,,,,,,,,,,808900000,808900000,,,,,79500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,863000000,,,,,,,,,,,,,,,,,,,,863000000,863000000,,,,,88300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,1107800000,,,,,,,,,,,,,,,,,,,,1107800000,1107800000,,,,,180300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,,,869800000,,,,,,,,,,,,,,,,,,,,869800000,869800000,,,,,47200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,,,,,805900000,,,,,,,,,,,,,,,,,,,,805900000,805900000,,,,,85200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,950400000,,,,,,,,,,,,,,,,,,,,950400000,950400000,,,,,56700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,1141700000,,,,,,,,,,,,,,,,,,,,1141700000,1141700000,,,,141200000.0,141200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141200000.0,,,,,,,,,,,
1989-12-31,,,,,,,,,891800000,,,,,,,,,,,,,,,,,,,,891800000,891800000,,,,130400000.0,130400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130400000.0,,,,,,,,,,,
1990-03-31,,,,,,,,,817900000,,,,,,,,,,,,,,,,,,,,817900000,817900000,,,,-8900000.0,-8900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8900000.0,,,,,,,,,,,
1990-06-30,,,,,,,,,1074100000,,,,,,,,,,,,,,,,,,,,1074100000,1074100000,,,,77500000.0,77500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77500000.0,,,,,,,,,,,
1990-09-30,,,,,,,,,1279200000,,,,,,,,,,,,,,,,,,,,1279200000,1279200000,,,,209200000.0,209200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209200000.0,,,,,,,,,,,
1990-12-31,,,,,,,,,1007400000,,,,,,,,,,,,,,,,,,,,1007400000,1007400000,,,,61600000.0,61600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61600000.0,,,,,,,,,,,
1991-03-31,,,,,,,,,918200000,,,,,,,,,,,,,,,,,,,,918200000,918200000,,,,51800000.0,51800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51800000.0,,,,,,,,,,,
1991-06-30,,,,,,,,,1059600000,,,,,,,,,,,,,,,,,,,,1059600000,1059600000,,,,87400000.0,87400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87400000.0,,,,,,,,,,,
1991-09-30,,,,,,,,,1370600000,,,,,,,,,,,,,,,,,,,,1370600000,1370600000,,,,223800000.0,223800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223800000.0,,,,,,,,,,,
1991-12-31,,,,,,,,,1095300000,,,,,,,,,,,,,,,,,,,,1095300000,1095300000,,,,54300000.0,54300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54300000.0,,,,,,,,,,,
1992-03-31,,,,,,,,,975300000,,,,,,,,,,,,,,,,,,,,975300000,975300000,,,,-33900000.0,-33900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33900000.0,,,,,,,,,,,
1992-06-30,,,,,,,,,1097600000,,,,,,,,,,,,,,,,,,,,1097600000,1097600000,,,,74900000.0,74900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900000.0,,,,,,,,,,,
1992-09-30,,,,,,,,,1392200000,,,,,,,,,,,,,,,,,,,,1392200000,1392200000,,,,230900000.0,230900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230900000.0,,,,,,,,,,,
1992-12-31,,,,,,,,,1131300000,,,,,,,,,,,,,,,,,,,,1131300000,1131300000,,,,162700000.0,68500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162700000.0,,,,,,,,,,,
1993-03-31,,,,,,,,,992200000,,,,,,,,,,,,,,,,,,,,992200000,992200000,,,,27100000.0,27100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27100000.0,,,,,,,,,,,
1993-06-30,,,,,,,,,1068200000,,,,,,,,,,,,,,,,,,,,1068200000,1068200000,,,,100200000.0,100200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100200000.0,,,,,,,,,,,
1993-09-30,,,,,,,,,1416700000,,,,,,,,,,,,,,,,,,,,1416700000,1416700000,,,,260400000.0,260400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260400000.0,,,,,,,,,,,
1993-12-31,,,,,,,,,972600000,,,,,,,,,,,,,,,,,,,,972600000,972600000,,,,28300000.0,28300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28300000.0,,,,,,,,,,,
1994-03-31,,,12636000000.0,183400000.0,6000000.0,20300000.0,-155400000.0,-332500000.0,270500000,-108500000.0,3729800000.0,19100000.0,-8300000.0,3100000.0,,566400000.0,1458500000.0,60700000.0,,315900000.0,,,124200000.0,22300000.0,1125200000.0,9201500000.0,,-100200000.0,150700000,882100000,-3434500000.0,97700000.0,15000000.0,30200000.0,38400000,6597200000.0,4200000.0,,100000.0,315700000.0,314700000.0,,29700000.0,,-400000.0,221900000.0,,2418700000.0,4226500000.0,-98000000.0,415700000.0,,,2937200000.0,19100000.0,19100000.0,14900000.0,,855100000.0,11899200000.0,92700000.0,,697300000.0,3700000.0,8485300000.0,30200000.0,12215100000.0,-85200000.0,,,,,,,,,
1994-06-30,,,12749900000.0,205700000.0,20700000.0,18900000.0,72000000.0,-327900000.0,426400000,-148600000.0,3728700000.0,8100000.0,-24500000.0,-4200000.0,,727300000.0,1388100000.0,212100000.0,,303700000.0,,,184000000.0,78300000.0,1164800000.0,9227200000.0,,-124100000.0,300800000,1066700000,-3522700000.0,-271500000.0,409100000.0,133800000.0,133800000,6654100000.0,-11000000.0,,717100000.0,339400000.0,360700000.0,,33300000.0,,3700000.0,226200000.0,,2434300000.0,4225600000.0,-98100000.0,426500000.0,,,2891800000.0,8100000.0,8100000.0,19100000.0,,717100000.0,11891800000.0,92400000.0,,693800000.0,5500000.0,8466800000.0,133800000.0,12195500000.0,285000000.0,,,,,,,,,
1994-09-30,,0.0,12883600000.0,173900000.0,38000000.0,17700000.0,36100000.0,-296000000.0,592700000,-168700000.0,3918600000.0,7900000.0,20100000.0,3800000.0,,902400000.0,1184000000.0,367600000.0,,315900000.0,,,113400000.0,131600000.0,1303100000.0,9266300000.0,,-188800000.0,463900000,1215900000,-3617300000.0,-362300000.0,530800000.0,236000000.0,236000000,6726600000.0,-200000.0,,462000000.0,313500000.0,443000000.0,,48100000.0,,-300000.0,222400000.0,,2501200000.0,4224900000.0,-80100000.0,438500000.0,,,2911400000.0,7900000.0,7900000.0,8100000.0,,462000000.0,11932900000.0,91800000.0,,692400000.0,-6400000.0,8330200000.0,236000000.0,12248800000.0,342000000.0,,,,,,,,,
1994-12-31,,0.0,13017500000.0,332900000.0,-2000000.0,17900000.0,-5800000.0,-289600000.0,227700000,-136000000.0,3842500000.0,10400000.0,-46500000.0,7700000.0,,535900000.0,1204100000.0,2800000.0,,317800000.0,,,126400000.0,-7900000.0,1221200000.0,9328500000.0,,-89500000.0,96500000,837200000,-3689000000.0,-103600000.0,242200000.0,10700000.0,10700000,6832800000.0,2600000.0,,200000.0,301300000.0,277200000.0,,36400000.0,,-700000.0,214700000.0,,2494300000.0,4222900000.0,-92600000.0,439400000.0,,,2910900000.0,10400000.0,10400000.0,7900000.0,,488600000.0,11976300000.0,92000000.0,,692100000.0,2000000.0,8451600000.0,10700000.0,12294100000.0,152700000.0,,,,,,,,,
1995-03-31,,,12658100000.0,88000000.0,6300000.0,7400000.0,-166400000.0,-284000000.0,234100000,-113900000.0,3871400000.0,17200000.0,-46300000.0,-8900000.0,,497000000.0,1444300000.0,34200000.0,,311200000.0,,,140600000.0,10400000.0,1242900000.0,9048000000.0,,-67600000.0,123300000,746200000,-3610100000.0,79300000.0,41300000.0,114400000.0,23800000,5803700000.0,6700000.0,,100000.0,249200000.0,464100000.0,,31400000.0,,-10600000.0,213600000.0,,2093300000.0,3623400000.0,-92700000.0,373700000.0,,,2912500000.0,17200000.0,17200000.0,10400000.0,,793600000.0,11214900000.0,74200000.0,,1253500000.0,-38900000.0,7654700000.0,114400000.0,11526100000.0,-26300000.0,,,,,,,,,
1995-06-30,,,12746600000.0,159200000.0,33300000.0,11800000.0,86400000.0,-278200000.0,413900000,-143100000.0,3846100000.0,37600000.0,-65200000.0,-900000.0,,688900000.0,1471800000.0,199000000.0,,340200000.0,,,179900000.0,65700000.0,1283300000.0,9049400000.0,,-77900000.0,294300000,978200000,-3697200000.0,-139200000.0,302800000.0,133300000.0,133300000,5806300000.0,20400000.0,,877600000.0,289300000.0,336500000.0,,55700000.0,,-17400000.0,214500000.0,,2113100000.0,3563700000.0,-92900000.0,394600000.0,,,2841000000.0,37600000.0,37600000.0,17200000.0,,877600000.0,11185800000.0,73700000.0,,1207200000.0,1400000.0,7679900000.0,133300000.0,11526000000.0,224900000.0,,,,,,,,,
1995-09-30,,0.0,12677300000.0,231200000.0,14300000.0,22300000.0,20200000.0,-272400000.0,569500000,523900000.0,4613700000.0,64500000.0,597300000.0,21000000.0,,852500000.0,873100000.0,353700000.0,,446400000.0,,,76100000.0,117800000.0,2044200000.0,8870000000.0,,-73400000.0,434300000,1171800000,-3807300000.0,-798500000.0,301600000.0,854000000.0,235900000,6087400000.0,27000000.0,,294900000.0,319300000.0,248500000.0,,91300000.0,,1600000.0,193400000.0,,2434000000.0,3557900000.0,-93000000.0,418200000.0,,,2841900000.0,64500000.0,64500000.0,37600000.0,,294900000.0,11524800000.0,78000000.0,,1691300000.0,3500000.0,7357500000.0,854000000.0,11971200000.0,228200000.0,,,,,,,,,
1995-12-31,,0.0,12781300000.0,136000000.0,24500000.0,19000000.0,-15700000.0,1796900000.0,194100000,-142000000.0,4526000000.0,11800000.0,-21300000.0,-4200000.0,,579200000.0,1015600000.0,10000000.0,,337400000.0,,,159000000.0,5600000.0,2326700000.0,8864800000.0,,-120700000.0,53100000,834000000,-3916500000.0,-104600000.0,193700000.0,3800000.0,4400000,5885800000.0,-52800000.0,,385800000.0,254800000.0,395300000.0,,49900000.0,,26800000.0,197700000.0,,2459400000.0,3338400000.0,-93100000.0,526100000.0,,,402400000.0,11800000.0,11800000.0,64500000.0,,385800000.0,11482200000.0,75200000.0,,1687100000.0,3300000.0,7293600000.0,3800000.0,11819600000.0,73000000.0,,,,,,,,,
1996-03-31,,,12850000000.0,146100000.0,-8800000.0,8300000.0,-73100000.0,-265900000.0,179500000,-86300000.0,4424600000.0,6300000.0,-7300000.0,800000.0,,548700000.0,1268500000.0,-26600000.0,,291700000.0,,,195600000.0,-9900000.0,1843700000.0,8829700000.0,,-79000000.0,42600000,824500000,-4020300000.0,1000000.0,79900000.0,-16700000.0,-16700000,5633500000.0,-5400000.0,,752200000.0,275800000.0,271700000.0,,41100000.0,,8000000.0,196900000.0,,2446800000.0,3062700000.0,-93200000.0,506100000.0,,,2846700000.0,6300000.0,6300000.0,11800000.0,,752200000.0,11422100000.0,73000000.0,,1674100000.0,3100000.0,7289200000.0,-16700000.0,11713800000.0,900000.0,,,,,,,,,
1996-06-30,,,12923100000.0,166700000.0,-4700000.0,23500000.0,53100000.0,-262500000.0,423200000,-527900000.0,4403000000.0,5200000.0,-15300000.0,-2500000.0,,739000000.0,1863400000.0,215800000.0,,332800000.0,,,86800000.0,70500000.0,1896200000.0,8800000000.0,,-512600000.0,286300000,1113800000,-4123100000.0,330900000.0,195700000.0,145300000.0,145300000,5526000000.0,-1200000.0,,1251600000.0,374800000.0,347000000.0,,43000000.0,,9900000.0,199400000.0,,2436600000.0,3062300000.0,-92900000.0,452700000.0,,,2796400000.0,5200000.0,5200000.0,6300000.0,,1251600000.0,11842000000.0,78300000.0,,2095900000.0,3000000.0,7771800000.0,145300000.0,12174800000.0,-316900000.0,,,,,,,,,
1996-09-30,,-178700000.0,12998800000.0,120900000.0,8400000.0,17600000.0,140500000.0,-258700000.0,575000000,-97200000.0,4378900000.0,7700000.0,-15400000.0,10800000.0,,854500000.0,1834200000.0,370200000.0,,303400000.0,,,149400000.0,130200000.0,2046200000.0,8761200000.0,,-81800000.0,434800000,1245800000,-4237600000.0,-403300000.0,503100000.0,240000000.0,240000000,5545100000.0,2500000.0,,-100000.0,391300000.0,501000000.0,,44000000.0,,19000000.0,188700000.0,,2439900000.0,3061700000.0,-93400000.0,419700000.0,,,2797300000.0,7700000.0,7700000.0,5200000.0,,1117300000.0,11832400000.0,79700000.0,,2095200000.0,3100000.0,7756900000.0,240000000.0,12135800000.0,421300000.0,,,,,,,,,
1996-12-31,,-375300000.0,13015500000.0,157700000.0,59200000.0,19200000.0,-92700000.0,-255100000.0,301800000,-121500000.0,3963200000.0,8000000.0,18000000.0,12500000.0,,606000000.0,2244100000.0,45700000.0,,343900000.0,,,145500000.0,9400000.0,1997500000.0,8756400000.0,,-139500000.0,131900000,911300000,-4259100000.0,-13800000.0,135600000.0,36300000.0,36300000,5706900000.0,300000.0,,-100000.0,305300000.0,401600000.0,,46600000.0,,-9900000.0,192200000.0,,2638700000.0,3025700000.0,-81600000.0,474100000.0,,,2582000000.0,8000000.0,8000000.0,7700000.0,,1592400000.0,11944000000.0,79000000.0,,2293800000.0,3000000.0,8324700000.0,36300000.0,12287900000.0,-3900000.0,,,,,,,,,
1997-03-31,,-127900000.0,13064900000.0,102100000.0,6100000.0,9500000.0,-153100000.0,-243800000.0,293900000,-65200000.0,3823900000.0,15400000.0,-1900000.0,9100000.0,,557800000.0,1974100000.0,80100000.0,,325400000.0,,,138800000.0,20500000.0,1969500000.0,8702400000.0,,-63300000.0,156300000,878100000,-4362500000.0,33800000.0,38700000.0,59600000.0,59600000,6053200000.0,7400000.0,,1502700000.0,320300000.0,276800000.0,,34400000.0,,9400000.0,184500000.0,,2642100000.0,3367400000.0,-87600000.0,401500000.0,,,2459500000.0,15400000.0,15400000.0,8000000.0,,1502700000.0,11894700000.0,83700000.0,,2297500000.0,1300000.0,8396200000.0,59600000.0,12220100000.0,-24600000.0,,,,,,,,,
1997-06-30,,-25700000.0,13117100000.0,135100000.0,-22900000.0,26400000.0,120400000.0,-238500000.0,387300000,-220000000.0,3863500000.0,9000000.0,-3100000.0,27000000.0,,738700000.0,1904000000.0,172000000.0,,297400000.0,,,154300000.0,50600000.0,2003200000.0,8635600000.0,,-241900000.0,247200000,1064400000,-4481500000.0,-164100000.0,377700000.0,121400000.0,121400000,6164600000.0,-6400000.0,,1342900000.0,325700000.0,333500000.0,,39100000.0,,9700000.0,166600000.0,,2614300000.0,3461500000.0,-87600000.0,491500000.0,,,2460000000.0,9000000.0,9000000.0,15400000.0,,1342900000.0,11998800000.0,86100000.0,,2443000000.0,700000.0,8432700000.0,121400000.0,12296200000.0,135800000.0,,,,,,,,,
1997-09-30,0.0,0.0,15949900000.0,592700000.0,40800000.0,62700000.0,137600000.0,-230000000.0,653700000,-1518400000.0,5017200000.0,53400000.0,-5500000.0,-14800000.0,,1164300000.0,3368900000.0,370200000.0,,1061600000.0,,,162100000.0,126200000.0,2141300000.0,11326600000.0,,-1512900000.0,462800000,2158600000,-4623300000.0,1032800000.0,530100000.0,244000000.0,244000000,9273700000.0,44400000.0,,100000.0,994300000.0,729900000.0,,548700000.0,,21300000.0,277700000.0,,3111800000.0,5749700000.0,-105800000.0,701500000.0,,,3107000000.0,53400000.0,53400000.0,9000000.0,,1953700000.0,16952200000.0,117600000.0,,2535400000.0,1114100000.0,12996600000.0,243900000.0,18013800000.0,-982800000.0,,,,,,,,,
1997-12-31,0.0,-251700000.0,16039200000.0,879600000.0,11500000.0,42200000.0,-266100000.0,-236300000.0,344800000,-177900000.0,4896500000.0,51700000.0,-9800000.0,33900000.0,,894300000.0,3992900000.0,5300000.0,,1518000000.0,,,322900000.0,9200000.0,2013100000.0,11269000000.0,,-168100000.0,133300000,2772300000,-4770200000.0,11900000.0,164300000.0,-3900000.0,-3900000,9176100000.0,-1700000.0,,2376100000.0,1878000000.0,626500000.0,,973300000.0,,5800000.0,244900000.0,,3141900000.0,5580200000.0,127400000.0,761000000.0,,,3121800000.0,51700000.0,51700000.0,53400000.0,,2376100000.0,16896600000.0,136100000.0,,2528900000.0,-96700000.0,13518100000.0,-4000000.0,18414600000.0,-3800000.0,,,,,,,,,
1998-03-31,,,16147300000.0,725500000.0,-54800000.0,315500000.0,119700000.0,-231100000.0,274100000,-122600000.0,4773600000.0,139100000.0,-9200000.0,31400000.0,,938100000.0,3800800000.0,-27700000.0,,1514400000.0,,,212600000.0,3600000.0,1875200000.0,11240200000.0,,-113400000.0,91800000,2636800000,-4907100000.0,-214100000.0,424100000.0,-31300000.0,-31300000,9433400000.0,87400000.0,,2446400000.0,1698700000.0,515300000.0,,708600000.0,,16500000.0,214800000.0,,3082000000.0,5890300000.0,-106400000.0,846300000.0,,,3131800000.0,139100000.0,139100000.0,51700000.0,,2446400000.0,16837500000.0,137800000.0,,2524400000.0,-295900000.0,13578300000.0,-31400000.0,18351900000.0,310700000.0,,,,,,,,,
1998-06-30,,,16508200000.0,799000000.0,-66700000.0,48500000.0,24300000.0,-239600000.0,447100000,-329300000.0,4716000000.0,89600000.0,-186400000.0,-49700000.0,,1200700000.0,3702700000.0,89100000.0,,1265000000.0,,,175900000.0,44900000.0,1815400000.0,11393000000.0,,-385600000.0,205500000,2738700000,-5115200000.0,-110300000.0,390000000.0,44200000.0,44200000,9647900000.0,-49600000.0,,2179500000.0,1538000000.0,613200000.0,,743600000.0,,16600000.0,267600000.0,,2987700000.0,6128000000.0,-104000000.0,995200000.0,,,3142400000.0,89600000.0,89600000.0,139100000.0,,2179500000.0,17140700000.0,133700000.0,,3318700000.0,268200000.0,13689700000.0,44200000.0,18405700000.0,4400000.0,,,,,,,,,
1998-09-30,,,16733600000.0,1424500000.0,-34300000.0,148500000.0,-118200000.0,-242400000.0,739400000,-350700000.0,4856600000.0,56300000.0,112900000.0,-111100000.0,,1364400000.0,4791900000.0,351500000.0,,2214400000.0,,,266600000.0,104100000.0,1956000000.0,11392400000.0,,-188500000.0,465700000,3468800000,-5341200000.0,-42500000.0,360000000.0,247400000.0,247400000,9567200000.0,-33200000.0,,2530200000.0,2104400000.0,726200000.0,,1470400000.0,,13000000.0,379800000.0,,2970700000.0,5949100000.0,-106600000.0,898700000.0,,,3145200000.0,56300000.0,56300000.0,89600000.0,,2530200000.0,17335400000.0,128700000.0,,2771100000.0,-69600000.0,14693200000.0,247300000.0,19549800000.0,171500000.0,,,,,,,,,
1998-12-31,,,17030500000.0,808000000.0,-268100000.0,343500000.0,116000000.0,-267400000.0,-277500000,-427200000.0,4321800000.0,29700000.0,-111200000.0,7600000.0,,985500000.0,4070900000.0,-584400000.0,,1669200000.0,,,-794800000.0,-182900000.0,1445100000.0,11531100000.0,,-348400000.0,-462000000,2644200000,-5499400000.0,149300000.0,251300000.0,-401500000.0,-401500000,10416700000.0,-26600000.0,,-100000.0,1658700000.0,941700000.0,,736700000.0,,18000000.0,383800000.0,,2692900000.0,7143000000.0,-109300000.0,1447500000.0,,,3146500000.0,29700000.0,29700000.0,56300000.0,,2210200000.0,17469300000.0,142900000.0,,2788600000.0,84200000.0,14816700000.0,-401600000.0,19138500000.0,-97100000.0,,,,,,,,,
