date,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyIncomeTaxPayable
2016-06-30,0.0,,38850000,-0.18,-762000.0,-3980000,,46494464.0,,186710000,5588000.0,-74000,38427000,193215000.0,-3392000,-0.18,-8337000,-167298000.0,0.0,3976000,-5951000,,-4567000,-8419000,,8842000,3994000.0,,7213000,201781000.0,7571000.0,50078000.0,-3577000.0,953000,49110000,5229000,0.0,,245836000.0,5242000.0,16916000.0,2543000.0,1541000,9000.0,10260000,2543000.0,0,46494464.0,,,-8337000,-8337000,188251000.0,17587000.0,188251000.0,,47269000,2377000,-8337000,188251000,47000.0,26820000.0,-4641000,,662000,-182000,44055000.0,52621000.0,3768000.0,,,,,,,,
2016-09-30,0.0,,41609000,-0.14,-832000.0,-15732000,,46903628.0,,188251000,4756000.0,0,39734000,192685000.0,2194000,-0.14,-6758000,-174056000.0,,4073000,-4261000,,-7550000,-6795000,,8670000,7818000.0,,-25778000,185924000.0,11819000.0,38030000.0,-4001000.0,2155000,51960000,-25929000,0.0,,234573000.0,20974000.0,16453000.0,3858000.0,-31324000,,10351000,3858000.0,0,46903628.0,,,-6758000,-6758000,156927000.0,3030000.0,156927000.0,,48404000,2534000,-6758000,156927000,47000.0,29428000.0,-7550000,,-33479000,-13000,48649000.0,41888000.0,3079000.0,,,,,,,,
2016-12-31,0.0,,46491000,-0.05,-1027000.0,13114000,,47075167.0,,156927000,3729000.0,0,40367000,195237000.0,3045000,-0.05,-2209000,-176265000.0,0.0,4230000,-2209000,,-8360000,-2372000,,8496000,15596000.0,,14921000,184698000.0,15596000.0,41069000.0,-4096000.0,531000,57350000,19632000,0.0,,244320000.0,7860000.0,17712000.0,8014000.0,11803000,0.0,10859000,8014000.0,0,47075167.0,,,-2209000,-2209000,168730000.0,3137000.0,168730000.0,,48863000,2690000,-2209000,168730000,47000.0,31867000.0,-8360000,,11272000,-4000,59622000.0,49083000.0,3007000.0,,,,,,,,
2017-03-31,0.0,,53904000,-0.07,7100000.0,-20812000,,47237341.0,,168730000,10829000.0,0,48334000,195744000.0,1236000,-0.07,-3439000,-179852000.0,0.0,3895000,209000,,-14293000,-3635000,,9205000,29659000.0,,-15703000,180712000.0,29659000.0,50839000.0,,51000,64829000,-11599000,0.0,,260680000.0,28672000.0,19468000.0,305000.0,-25841000,0.0,10925000,14097000.0,0,47237341.0,,,-3439000,-3439000,142889000.0,11719000.0,142889000.0,,57539000,3648000,-3439000,142889000,47000.0,34263000.0,-14293000,,-25892000,-467000,79968000.0,64936000.0,3103000.0,,,,,,,,
2017-06-30,0.0,,51537000,-0.25,-6506000.0,5246000,,47668397.0,,142889000,4323000.0,0,51172000,191051000.0,325000,-0.25,-11754000,-191606000.0,0.0,5495000,-7970000,,-11964000,-10775000,,11140000,34390000.0,,4907000,170459000.0,34390000.0,51920000.0,,5066000,64995000,3462000,0.0,,261973000.0,23426000.0,22324000.0,300000.0,-4467000,1000.0,13458000,19002000.0,-1031000,47668397.0,,,-11754000,-11754000,37435000.0,7365000.0,37435000.0,,62312000,3783000,-11754000,138422000,48000.0,37402000.0,-11964000,,-8502000,2676000,91514000.0,70922000.0,2770000.0,,,,,,,,
2017-09-30,0.0,-3617000.0,55519000,-0.3,,-18349000,,48961914.0,,138422000,32496000.0,-102677000,58538000,369512000.0,-590000,-0.3,-15713000,-206345000.0,-974000.0,6147000,-9790000,,-11050000,-15754000,,12735000,45025000.0,,-15177000,257716000.0,45025000.0,73950000.0,,190124000,70250000,-17942000,9795000.0,,476350000.0,42332000.0,15031000.0,2160000.0,64012000,36000.0,14731000,32888000.0,59000,48961914.0,,67600000.0,-14739000,-14739000,202434000.0,16628000.0,202434000.0,9602000.0,71273000,5887000,-14739000,202434000,52000.0,84795000.0,-108152000,,-28992000,-3519000,218634000.0,106838000.0,0.0,,,,,,,,
2017-12-31,0.0,5326000.0,68416000,0.01,,28281000,,52330067.0,,202434000,22629000.0,-8573000,55544000,387832000.0,-104000,0.01,186000,-205836000.0,-323000.0,6393000,236000,-454000.0,-13832000,26000,,12846000,49055000.0,0.0,21081000,248053000.0,49055000.0,58000000.0,-7098000.0,1511000,86678000,34185000,9330000.0,,482062000.0,14174000.0,19017000.0,70000.0,20936000,50000.0,18262000,36230000.0,106000,56593108.0,0.0,71988000.0,509000,509000,223370000.0,7024000.0,223370000.0,10087000.0,68390000,6306000,509000,223370000,53000.0,90761000.0,-14965000,,20353000,1000,234009000.0,94230000.0,0.0,,,,,,,,
2018-03-31,,9958000.0,72748000,-0.28,,-26109000,,52687299.0,,223370000,,-21805000,74927000,385833000.0,395000,-0.28,-16099000,-220707000.0,-1228000.0,7122000,-8697000,,-23661000,-16019000,,13840000,50669000.0,,-18458000,237475000.0,50669000.0,82107000.0,,1118000,92288000,-18832000,15928000.0,,504108000.0,40290000.0,30955000.0,70000.0,-41260000,27000.0,19540000,36168000.0,-395000,52687299.0,,75296000.0,-14871000,-14871000,182110000.0,21625000.0,182110000.0,9113000.0,88767000,7375000,-14871000,182110000,53000.0,114696000.0,-23661000,,-42493000,-1002000,266633000.0,118275000.0,,,,,,,,,
2018-06-30,,-4220000.0,74119000,-0.33,,-9823000,,54981192.0,,182110000,32055000.0,-18334000,80856000,693447000.0,826000,-0.33,-21912000,-239054000.0,-3565000.0,9009000,-14477000,,-21502000,-21972000,,15235000,50264000.0,,560000,553952000.0,50264000.0,96969000.0,,331130000,97423000,-1370000,17096000.0,,825464000.0,50031000.0,16956000.0,24613000.0,306724000,27000.0,23304000,35048000.0,-825000,54981192.0,,64873000.0,-18347000,-18347000,488834000.0,30862000.0,488834000.0,6935000.0,96091000,7408000,-18347000,488834000,57000.0,126062000.0,-21602000,,-22872000,-2405000,271512000.0,132017000.0,,,,,,,,,
2018-09-30,,-7001000.0,84026000,-0.17,,389000,,57663361.0,,488834000,34513000.0,-175000,79522000,692129000.0,272000,-0.17,-10358000,-248998000.0,-414000.0,7933000,-1732000,0.0,-14577000,-11857000,25000000.0,16361000,51527000.0,,-13922000,531755000.0,51527000.0,84311000.0,,-1426000,106963000,-5841000,10708000.0,,811491000.0,49651000.0,,24550000.0,-46608000,27000.0,22937000,35051000.0,-273000,57663361.0,,62955000.0,-9944000,-9944000,442226000.0,18953000.0,467226000.0,7001000.0,95883000,8599000,-9944000,442226000,58000.0,130692000.0,-39752000,,-20418000,-4943000,279736000.0,119362000.0,,,,,,,,,
2018-12-31,,-8514000.0,90383000,0.08,-6072000.0,17046000,,57924666.0,,442226000,27647000.0,0,68699000,705009000.0,219000,0.08,5172000,-244166000.0,340000.0,7346000,5199000,39000.0,-17446000,3308000,25000000.0,18376000,52299000.0,0.0,1123000,521680000.0,52299000.0,68480000.0,-14801000.0,2215000,115095000,22923000,9487000.0,,807354000.0,32636000.0,,23416000.0,7546000,27000.0,24712000,33865000.0,-229000,60666682.0,0.0,61852000.0,4832000,4832000,449772000.0,8345000.0,474772000.0,6949000.0,87075000,9403000,4832000,449772000,58000.0,136605000.0,-17446000,0.0,5477000,-1000,285674000.0,102345000.0,34918000.0,,,,,,,,
2019-03-31,,-8886000.0,95359000,-0.37,17536000.0,-37522000,25000000.0,58138692.0,,449772000,48502000.0,200000,99984000,694595000.0,3007000,-0.37,-22495000,-265720000.0,-941000.0,9584000,-12742000,,-16734000,-24419000,0.0,19794000,87168000.0,,-33263000,522128000.0,87168000.0,102233000.0,,645000,122234000,-32528000,8104000.0,,864410000.0,70262000.0,,637000.0,-26166000,55000.0,26875000,67582000.0,-370000,58138692.0,,61498000.0,-21554000,-21554000,423606000.0,24531000.0,423606000.0,6086000.0,119778000,9698000,-21554000,423606000,58000.0,144957000.0,5966000,-2500000.0,-49262000,-1283000,342282000.0,169815000.0,48659000.0,,,,,,,,
2019-06-30,,-6643000.0,98160000,-0.46,545000.0,11974000,0.0,60516662.0,,423606000,66468000.0,-96000,118157000,861049000.0,3169000,-0.46,-46663000,-293692000.0,-18691000.0,9967000,-29586000,,-23835000,-46040000,0.0,26043000,93927000.0,,-16231000,348198000.0,93927000.0,159146000.0,,239667000,135461000,-15421000,10329000.0,245451000.0,1331747000.0,71578000.0,,737000.0,-190122000,2424000.0,37301000,311552000.0,-13000,60516662.0,,488747000.0,-27972000,-27972000,218723000.0,54600000.0,218723000.0,6440000.0,144200000,14653000,-27972000,233484000,63000.0,339269000.0,-414246000,-2500000.0,-39256000,-4511000,983549000.0,470698000.0,61606000.0,,,,,,,,
2019-09-30,,-12499000.0,105111000,-2.23,-5369000.0,-14195000,0.0,63358890.0,,233484000,59607000.0,150000,135561000,733058000.0,-18087000,-2.23,-140398000,-434804000.0,714000.0,16535000,-112459000,0.0,-21691000,-64582000,0.0,34132000,96496000.0,-189000.0,11493000,294866000.0,96496000.0,164963000.0,,2442000,153798000,-37712000,12362000.0,245856000.0,1213570000.0,48417000.0,,812000.0,-62654000,5651000.0,48687000,315549000.0,-71089000,63358890.0,,414027000.0,-141112000,-141112000,154091000.0,58634000.0,154091000.0,6172000.0,169693000,22288000,-141112000,170830000,63000.0,336373000.0,-26730000,-5000000.0,-59403000,-15000,918704000.0,480512000.0,71808000.0,,,,,,,,
