date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2003-12-31,28890743500.0,,,,,-266084575450.0,7408944250.0,11523184800.0,,,,28874187200.0,,,,,433419099550.0,20960275800.0,,,2640729850.0,,531738687100.0,4735101800.0,445563145600.0,,,11233449550.0,13874179400.0,,64180496950.0,175827906000.0,91208656700.0,,77905669650,-126299734550,-126299734550,,,169519955700.0,,15496696800,,,,,,,86175541500.0,114031516250.0,699503675000.0,,,89577861150.0,,,,,356614423850.0,3261591100.0,,41961942350.0,,,,,2003312300.0,15496696800,15496696800,0.0,55488439450.0,,,,,,
2004-03-31,,,,,,,,,,,,,,13.000007,,,,,,,,,,,,,1742231279.0,,,,,,,,89776536750,89776536750,89776536750,,,,,22649018400,,13.000007,,,,,,,,,,,,,,1742231279.0,,,,,,,,,,22649018400,22649018400,,,,,,,,
2004-06-30,28609286400.0,,,,695364600.0,-287367699100.0,7938745850.0,11415568850.0,,,496689000.0,34942071150.0,,13.000007,,,434387643100.0,18725175300.0,32028162350.0,9014905350.0,802980550.0,,567169169100.0,4900664800.0,447227053750.0,,1758240000.0,17806300650.0,18609281200.0,,71978514250.0,175827906000.0,91208656700.0,,89776536750,44461943650,32127500150,,,173021613150.0,,22649018400,,13.000007,55372545350.0,,,,119942115350.0,119312975950.0,721755342200.0,,,120918937050.0,,34403991400.0,,1758240000.0,387955499750.0,3874174200.0,,40049689700.0,23245045200.0,,,6390731800.0,2243378650.0,22649018400,22649018400,-16556300.0,53708637200.0,,,,,,
2004-09-30,,,,,,,,,,,,,,16.500009,,,,,,,,,,,,,1746939595.0,,,,,,,,104544756350,104544756350,104544756350,,,,,28824518300,,16.500009,,,,,,,,,,,,,,1746939595.0,,,,,,,,,,28824518300,28824518300,,,,,,,,
2004-12-31,27276504250.0,,,,,-303518369750.0,21680474850.0,14337755800.0,,,,45769891350.0,,,,,468518455550.0,22119216800.0,,,1399007350.0,,609925813850.0,2988412150.0,493187342550.0,,,11307952900.0,12706960250.0,,70695401000.0,175827906000.0,105761644400.0,,104536478200,-137508349650,-137508349650,,,175322938850.0,,28816240150,,,,,,,116738471300.0,120091122050.0,772036825300.0,,,143625902500.0,,,,,425215452900.0,2665564300.0,,38460284900.0,,,,,2433776100.0,28816240150,28816240150,-16556300.0,55231816800.0,,,,,,
2005-03-31,,,,,,,,,,,,,,17.500009,,,,,,,,,,,,,1760643330.0,,,,,,,,126241787500,126241787500,126241787500,,,,,30811274300,,17.500009,,,,,,,,,,,,,,1760643330.0,,,,,,,,,,30811274300,30811274300,,,,,,,,
2005-06-30,28302994850.0,,,,596026800.0,-328899177650.0,22069547900.0,15968551350.0,,,778146100.0,52210292050.0,,17.500009,,,471457198800.0,19495043250.0,85463620600.0,11622522600.0,1498345150.0,,655712261500.0,2889074350.0,496415821050.0,,1758241760.0,69859307850.0,71357653000.0,,86225210400.0,175827906000.0,106308002300.0,,126241787500,55662280600,42764922900,,,186051421250.0,,30811274300,,17.500009,67400697300.0,,,,159296440450.0,134023248500.0,800356376450.0,,,178543139200.0,,58841090200.0,,1758241760.0,460679047500.0,4884108500.0,,35355978650.0,24635774400.0,,,6895698950.0,0.0,30811274300,30811274300,438741950.0,52028172750.0,,,,,,
2005-09-30,,,,,,,,,,,,,,20.491346,,,,,,,,,,,,,1792836552.0,,,,,,,,153424130400,153424130400,153424130400,,,,,36737634600,,20.491346,,,,,,,,,,,,,,1792836552.0,,,,,,,,,,36737634600,36737634600,,,,,,,,
2005-12-31,28701292500.0,,,,,-357825593500.0,33287040500.0,20765042000.0,,,,62755315500.0,,,,,564063151000.0,25391157500.0,,,1695435000.0,,778309620500.0,5013643500.0,602363835000.0,,,80928764000.0,82624199000.0,,13757244000.0,179078303500.0,132599164000.0,,152159026110,-208007882390,-208007882390,,,234470587000.0,,36432105840,,,,,,,175945785500.0,153888983500.0,921888744500.0,,,203872022000.0,86039289500.0,,,,515549489500.0,4634189000.0,,44581867000.0,,,,,15234694500.0,36432105840,36432105840,13216319500.0,80581603500.0,,,,,,
2006-03-31,,,,,,,,,,,,,,22.485388,,,,,,,,,,,,,1790210000.0,,,,,,,,163168441680,163168441680,163168441680,,,,,40310882220,,22.485388,,,,,,,,,,,,,,1790210000.0,,,,,,,,,,40310882220,40310882220,,,,,,,,
2006-06-30,34012686840.0,,,,927473360.0,-385884885980.0,34788246460.0,23122870320.0,,,1023418880.0,80842096060.0,,22.505621,,,579031213200.0,119604086140.0,57975080460.0,15343287740.0,3885793560.0,,843425084480.0,5085112560.0,618904572220.0,,1790210000.0,92651390480.0,96537184040.0,,16086865520.0,179066322160.0,130845702900.0,,163307270500,72390894840,57431389180,,,251161384980.0,,40353086620,,22.505621,102541774500.0,,,,224520512260.0,176579734100.0,964916099180.0,,,252272753920.0,6876095600.0,60765496000.0,,1790210000.0,562184778980.0,10530020820.0,,35811665340.0,45110385320.0,,,18053748680.0,15647115220.0,40353086620,40353086620,-7995460.0,74581650880.0,,,,,,
2006-09-30,,,,,,,,,,,,,,17.226446,,,,,,,,,,,,,1790210000.0,,,,,,,,181606310800,181606310800,181606310800,,,,,30838956500,,17.226446,,,,,,,,,,,,,,1790210000.0,,,,,,,,,,30838956500,30838956500,,,,,,,,
2006-12-31,35696955000.0,,,,,-411154377500.0,57873045000.0,19548332500.0,,,,75893067500.0,,,,,644096892500.0,23891540000.0,,,3009835000.0,,870489507500.0,6612280000.0,708582217500.0,,,48469260000.0,51479095000.0,,22449002500.0,178679712500.0,143286860000.0,,178791202000,-311266078000,-311266078000,,,254081537500.0,,30261973600,,,,,,,161907290000.0,179537437500.0,1055251270000.0,,,263586690000.0,97499940000.0,,,,585553262500.0,8468085000.0,,35564397500.0,,,,,19431370000.0,30261973600,30261973600,6432937500.0,74544100000.0,,,,,,
2007-03-31,,,,,,,,,,,,,,22.960887,,,,,,,,,,,,,1790210000.0,,,,,,,,196031112000,196031112000,196031112000,,,,,43082064000,,22.960887,,,,,,,,,,,,,,1790210000.0,,,,,,,,,,43082064000,43082064000,,,,,,,,
2007-06-30,27684343500.0,,,,1026472500.0,-437110008000.0,58067929500.0,18210382500.0,,,1391440500.0,84185952000.0,,22.96181,,,655946341500.0,22628016000.0,55079754000.0,11990719500.0,3398764500.0,,940469311500.0,6691080000.0,720705351000.0,,1790210000.0,71655384000.0,75054148500.0,,26984821500.0,178720267500.0,143006628000.0,,196033437000,70058649000,54471474000,,,267506337000.0,,40846002000,,22.96181,107376627000.0,,,,219763960500.0,186673528500.0,1093056349500.0,,,317697040500.0,109376347500.0,88656810000.0,,1790210000.0,639423936000.0,16370335500.0,,42594807000.0,52905153000.0,,,23122243500.0,20027619000.0,40846002000,40846002000,0.0,80832808500.0,,,,,,
2007-09-30,,-39552085000.0,,-38791726000.0,,,,,,2949752500.0,,,55534323000.0,17.791756,-22966468000.0,,,,,,,,,,,15982238000.0,1790210000.0,,,1004309000.0,,,,71655384000.0,220817168000,237224818000,220817168000,-1190463500.0,,,-39829079500.0,31850504000,48768000000.0,17.791756,,,-38799674000.0,-6581536000.0,,,,,6513696500.0,,,,-143405500.0,1790210000.0,,,,,,6105176500.0,,,,31850504000,31850504000,,,,,,,,
2007-12-31,30937013800.0,-77021326960.0,64934770520.0,66280255960.0,,-467196391400.0,57585945640.0,20205851280.0,,-4806742640.0,,88471823880.0,38568596440.0,,16724175440.0,,762935250120.0,126713917680.0,,,18043547600.0,,1060200870560.0,8488502960.0,829009698720.0,-38452730520.0,,65497347280.0,83540894880.0,6724011800.0,40448227960.0,183036084480.0,164598062560.0,48768000000.0,222154406360,-394025800520,-413073435200,-18601970000.0,,283802358000.0,-87645507440.0,32077170880,65497347280.0,,,,1927533440.0,6606509960.0,231191171840.0,198106464520.0,1230131641520.0,,-16654689320.0,332454190800.0,7305080.0,,-741000280.0,,733451947240.0,18423411760.0,,40725821000.0,,-9947076920.0,,,24764221200.0,32077170880,32077170880,182627000.0,85695893480.0,,,,,,
2008-03-31,,,,,,,,,,,,,,14.638285,,,,,,,,,,,,,1830209778.0,,,,,,,,274594084080,274594084080,274594084080,,,,,26791035200,,14.638285,,,,,,,,,,,,,,1830209778.0,,,,,,,,,,26791035200,26791035200,,,,,,,,
2008-06-30,39240137880.0,,,,815789030.0,-466939816810.0,61794305180.0,18153019760.0,,,2892966140.0,98511666900.0,,14.641699,,,782705014380.0,22245675650.0,40336997080.0,9926575760.0,10927459780.0,,1123272940610.0,8699464530.0,853198784090.0,,1830209778.0,58812219230.0,69739679010.0,,172748468630.0,182928693080.0,216780510140.0,,274626122200,60231280820,38863092530,,,314613495410.0,,26797641330,,14.641699,121017846610.0,,,,270074156520.0,234234282160.0,1249644831190.0,,,357164777000.0,,153608275590.0,,1830209778.0,756873980220.0,27709405540.0,,35270878650.0,82154754080.0,,,29190165460.0,26955314840.0,26797641330,26797641330,0.0,80379213250.0,,,,,,
2008-09-30,36439000000.0,-50048851710.0,,-3611732960.0,509000000.0,,0.0,18695000000.0,60489000000.0,-6444102190.0,1807000000.0,110878000000.0,64723406790.0,22.0,10052708900.0,,810882000000.0,0.0,56220000000.0,11110000000.0,13661000000.0,,1187802000000.0,9362000000.0,880733000000.0,14674555080.0,1812954545.0,68897000000.0,82558000000.0,-7193981460.0,195416000000.0,183021000000.0,,58812219230.0,304136000000,78237623420,54721000000,-431483530.0,,334518000000.0,-50985977340.0,39885000000,68897000000.0,22.0,144055000000.0,2609000000.0,-3076421180.0,-6103640110.0,307069000000.0,253129000000.0,,,-8203590320.0,397224000000.0,,160081000000.0,6433314540.0,1812954545.0,797108000000.0,27489000000.0,,35145000000.0,89334000000.0,-15946833770.0,,31161000000.0,27549000000.0,39885000000,45110000000,0.0,81389000000.0,,,,,,
2008-12-31,92761000000.0,-93065000000.0,-8691000000.0,31968000000.0,819000000.0,-555623000000.0,0.0,12460000000.0,59619000000.0,7434000000.0,-1768000000.0,90670000000.0,24663000000.0,,-39111000000.0,,898909000000.0,0.0,24897000000.0,4210000000.0,10425000000.0,,1194174000000.0,10677000000.0,969701000000.0,-68402000000.0,,32944000000.0,43369000000.0,10662000000.0,29431000000.0,183021000000.0,-2717000000.0,68897000000.0,217488000000,56074000000,26815000000,621000000.0,,347048000000.0,-95655000000.0,20931000000,32944000000.0,,109969000000.0,1262000000.0,-24591000000.0,-11268000000.0,224473000000.0,264337000000.0,1454532000000.0,,-22241000000.0,378600000000.0,6458000000.0,107519000000.0,-4107000000.0,,790838000000.0,16756000000.0,,32827000000.0,83154000000.0,16686000000.0,,31957000000.0,37424000000.0,33151000000,8467000000,0.0,82711000000.0,-27884000000.0,,,,,
2009-03-31,96246000000.0,-38499000000.0,,23524000000.0,1278000000.0,,0.0,14628000000.0,58597000000.0,-161000000.0,-708000000.0,82071000000.0,60978000000.0,10.0,46706000000.0,,901153000000.0,0.0,24615000000.0,5757000000.0,10421000000.0,,1230625000000.0,10462000000.0,970420000000.0,22479000000.0,1885800000.0,79650000000.0,90071000000.0,122000000.0,156633000000.0,183021000000.0,,32944000000.0,181582000000,46786000000,26333000000,-19000000.0,,367929000000.0,-37916000000.0,18858000000,79650000000.0,10.0,104165000000.0,0.0,,251000000.0,260205000000.0,262583000000.0,,,21066000000.0,397556000000.0,,77417000000.0,391000000.0,1885800000.0,808335000000.0,15510000000.0,,52998000000.0,77832000000.0,8599000000.0,,27170000000.0,37720000000.0,18858000000,18956000000,0.0,105346000000.0,-33121000000.0,,,,,
2009-06-30,102320000000.0,-51661000000.0,,-3719000000.0,1273000000.0,,0.0,17338000000.0,66848000000.0,-620000000.0,-130000000.0,87600000000.0,69097000000.0,,9376000000.0,,928401000000.0,0.0,39239000000.0,6053000000.0,7163000000.0,,1290589000000.0,11091000000.0,1006550000000.0,17436000000.0,,89232000000.0,96395000000.0,2000000.0,178303000000.0,183021000000.0,,79650000000.0,233695000000,62478000000,39667000000,-7210000000.0,,422003000000.0,-55226000000.0,33186000000,89232000000.0,,130195000000.0,0.0,,-3749000000.0,284039000000.0,294079000000.0,,,17784000000.0,401607000000.0,,103500000000.0,3607000000.0,,813624000000.0,21136000000.0,,72099000000.0,90528000000.0,-5589000000.0,,30431000000.0,38487000000.0,33186000000,31545000000,0.0,127924000000.0,-20788000000.0,,,,,
2009-09-30,175498000000.0,-64471000000.0,,74907000000.0,1046000000.0,,29212000000.0,18130000000.0,46745000000.0,1692000000.0,365000000.0,101921000000.0,59706000000.0,17.0,62512000000.0,0.0,968266000000.0,0.0,43575000000.0,11283000000.0,7371000000.0,,1424451000000.0,11315000000.0,1055792000000.0,-4765000000.0,1814529412.0,151744000000.0,159115000000.0,61000000.0,217384000000.0,183021000000.0,229268000000.0,89232000000.0,267742000000,69395000000,43910000000,-8694000000.0,,543255000000.0,-72901000000.0,30847000000,151744000000.0,17.0,142309000000.0,0.0,0.0,37454000000.0,368659000000.0,412976000000.0,,,-7386000000.0,410263000000.0,,125433000000.0,-532000000.0,1814529412.0,822552000000.0,23424000000.0,,72181000000.0,98399000000.0,-14321000000.0,,30191000000.0,1345000000.0,30847000000,32292000000,0.0,130279000000.0,-29634000000.0,,,,,
2009-12-31,148851000000.0,-106436000000.0,,-41635000000.0,1675000000.0,-633570000000.0,31566000000.0,21449000000.0,30566000000.0,386000000.0,201000000.0,114781000000.0,72191000000.0,,-64819000000.0,-16274000000.0,1075467000000.0,0.0,32603000000.0,10380000000.0,29000000.0,,1450288000000.0,18017000000.0,1155905000000.0,-34245000000.0,,86925000000.0,86954000000.0,-21000000.0,62840000000.0,183021000000.0,,151744000000.0,336256000000,58904000000,33468000000,14436000000.0,,542587000000.0,-95410000000.0,22039000000,86925000000.0,,150134000000.0,9721000000.0,-25150000000.0,-23583000000.0,294383000000.0,388553000000.0,1709037000000.0,,6369000000.0,424067000000.0,6584000000.0,186122000000.0,9783000000.0,,847223000000.0,28785000000.0,,85471000000.0,116666000000.0,-8733000000.0,21193000000.0,43608000000.0,2367000000.0,22039000000,22223000000,0.0,154034000000.0,-37616000000.0,,,,,
2010-03-31,177570000000.0,-59148000000.0,,34364000000.0,1770000000.0,,31991000000.0,20473000000.0,31928000000.0,-106000000.0,1263000000.0,123452000000.0,74510000000.0,18.0,50599000000.0,,1085430000000.0,0.0,44571000000.0,9152000000.0,31000000.0,,1536951000000.0,21120000000.0,1170772000000.0,15362000000.0,1805111111.0,137524000000.0,137555000000.0,25000000.0,214497000000.0,183021000000.0,241954000000.0,86925000000.0,318795000000,73787000000,44676000000,-129000000.0,,591550000000.0,-58450000000.0,32492000000,137524000000.0,18.0,155516000000.0,12206000000.0,0.0,14530000000.0,366179000000.0,429280000000.0,,,7621000000.0,456604000000.0,,163279000000.0,-6000000.0,1805111111.0,881579000000.0,36909000000.0,,93394000000.0,110840000000.0,-8578000000.0,,33621000000.0,2954000000.0,32492000000,35419000000,0.0,162270000000.0,-42578000000.0,,,,,
2010-06-30,140765000000.0,-43685000000.0,,-26187000000.0,1748000000.0,-690656000000.0,35132000000.0,18455000000.0,31196000000.0,-2885000000.0,975000000.0,121066000000.0,72989000000.0,,-10257000000.0,,1100847000000.0,0.0,44077000000.0,9058000000.0,3028000000.0,,1564461000000.0,20967000000.0,1188384000000.0,29304000000.0,,127267000000.0,130295000000.0,109000000.0,76973000000.0,183021000000.0,,137524000000.0,366002000000,74231000000,44259000000,-9821000000.0,,607985000000.0,-56817000000.0,32838000000,127267000000.0,,166752000000.0,10365000000.0,-25592000000.0,-4715000000.0,376077000000.0,408497000000.0,1791503000000.0,,9082000000.0,465750000000.0,28293000000.0,199250000000.0,-2027000000.0,,891318000000.0,41461000000.0,,130509000000.0,122493000000.0,2393000000.0,18680000000.0,38196000000.0,3189000000.0,32838000000,35019000000,0.0,199488000000.0,-61371000000.0,,,,,
2010-09-30,77457000000.0,-59451000000.0,,-46629000000.0,1370000000.0,,36067000000.0,20041000000.0,62085000000.0,2934000000.0,2514000000.0,113956000000.0,96348000000.0,19.0,-22628000000.0,-61000000.0,1132696000000.0,0.0,46310000000.0,8694000000.0,3051000000.0,,1582784000000.0,21639000000.0,1252722000000.0,36897000000.0,1826315789.0,104639000000.0,107690000000.0,6000000.0,279575000000.0,183021000000.0,244771000000.0,127267000000.0,363302000000,74468000000,44738000000,-17916000000.0,,614324000000.0,-72587000000.0,34700000000,104639000000.0,19.0,160182000000.0,10955000000.0,1793000000.0,30390000000.0,330062000000.0,394550000000.0,,,31213000000.0,471767000000.0,,203120000000.0,-2958000000.0,1826315789.0,899559000000.0,36125000000.0,,148077000000.0,115444000000.0,7184000000.0,,37896000000.0,3506000000.0,34700000000,37616000000,0.0,219774000000.0,-103431000000.0,,,,,
