date,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyEbitda,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments
2015-09-30,69956000,0.0,115203000.0,23905000.0,246173000,22041000,,117713000.0,-22552000,2768409000.0,2431182000.0,-3563000,,39106000.0,2418000,13827000.0,635821000.0,4758000.0,65821000,515755000.0,-820000,1380000.0,38644000,390632000,635821000.0,0.0,-5474000,-7263000,4643170000.0,-11453000,5534512000.0,77522000.0,3041100000.0,89009000.0,4128273000.0,-2949000.0,-0.03,0.0,129139000.0,635821000,-102665000,9331000,141250000,-27605000,22154000,1219186000.0,11572000,4091000,891342000.0,272691000.0,370000.0,77522000.0,-14809000,-39861000.0,1673000,119096000,-0.03,2556000.0,0.0,163291000,75429000,3981751000.0,4864000,76273000.0,1657000,-75430000.0,-146522000.0,278882000,,,,,,,,,
2015-12-31,19004000,0.0,2031937000.0,31408000.0,-8205000,25296000,,103811000.0,-62626000,3069562000.0,2550175000.0,-64032000,55874000.0,26630000.0,-156027000,15460000.0,626595000.0,-86289000.0,143639000,1246164000.0,-57750000,1388000.0,52920000,635821000,626595000.0,1600000.0,-2643563000,50880000,7273856000.0,315904000,8228223000.0,,5287954000.0,133812000.0,5990254000.0,22900000.0,,17606000.0,150721000.0,626595000,-1693192000,-717000,80358000,-36628000,50643000,1184743000.0,50391000,-172110000,954367000.0,2218392000.0,,,-366750000,-104593000.0,-16083000,-10361000,,3095000.0,0.0,105654000,-63281000,5802380000.0,47966000,70492000.0,-16266000,-2662567000.0,-187874000.0,1665983000,,,,,,,,,
2016-03-31,35274000,451262000.0,1575383000.0,29921000.0,-1502000,37042000,,111312000.0,338000,3052502000.0,2531470000.0,-481000,55874000.0,26692000.0,-33505000,18081000.0,603461000.0,0.0,81627000,1237190000.0,-481000,1391000.0,59007000,626595000,603461000.0,0.0,3563000,-14495000,7252468000.0,23073000,8199553000.0,87833000.0,5291180000.0,741437000.0,5415312000.0,6186000.0,-0.01,55725000.0,165257000.0,603461000,-30137000,7366000,116875000,5638000,22620000,1359806000.0,17487000,-33408000,947085000.0,2238678000.0,-4064000.0,87833000.0,-29712000,-105074000.0,97000,94255000,-0.01,1023000.0,0.0,153917000,35248000,5208372000.0,-6127000,64913000.0,62000,-31711000.0,-206940000.0,-6639000,,,,,,,,,
2016-06-30,49095000,431688000.0,1424132000.0,41198000.0,-62963000,40421000,,117469000.0,-4318000,3189658000.0,2650473000.0,-20907000,55874000.0,28539000.0,-44937000,18178000.0,562445000.0,0.0,84322000,1219242000.0,-20907000,1392000.0,61031000,603461000,562445000.0,0.0,43434000,-16757000,7141809000.0,-8309000,8104745000.0,90809000.0,5249358000.0,701872000.0,5414110000.0,4182000.0,-0.23,61579000.0,159065000.0,562445000,-73516000,-2667000,146880000,-67855000,23291000,1342110000.0,13598000,-43059000,962936000.0,2059700000.0,0.0,90809000.0,-34213000,-125981000.0,1878000,123589000,-0.23,1423000.0,0.0,187301000,62558000,5156083000.0,-25346000,62855000.0,1847000,-5661000.0,-258027000.0,-38542000,,,,,,,,,
2016-09-30,60547000,426389000.0,1374327000.0,38495000.0,-21342000,39969000,,119161000.0,-4461000,3177191000.0,2637939000.0,-26171000,55874000.0,29644000.0,-27711000,18702000.0,540147000.0,0.0,87441000,1199816000.0,-26171000,1393000.0,57988000,562445000,540147000.0,0.0,56221000,750000,7060763000.0,-23422000,7994979000.0,90860000.0,5154086000.0,693081000.0,5409561000.0,10596000.0,-0.29,70905000.0,147961000.0,540147000,205000,5336000,138149000,4531000,29453000,1329754000.0,11401000,-26571000,934216000.0,1976895000.0,0.0,90860000.0,-58672000,-152152000.0,1140000,108696000,-0.29,1411000.0,0.0,178118000,50708000,5103557000.0,7119000,60199000.0,1105000,-4326000.0,-306004000.0,-82094000,,,,,,,,,
2016-12-31,46893000,21798000.0,2212968000.0,31470000.0,26717000,22553000,,89461000.0,-88781000,2592633000.0,1737946000.0,-82288000,0.0,27723000.0,-135354000,18179000.0,565333000.0,0.0,94636000,1142112000.0,-82288000,1402000.0,65339000,540147000,565333000.0,0.0,42722000,33614000,6812849000.0,-6156000,7705865000.0,,4987866000.0,669688000.0,5358007000.0,22912000.0,,61523000.0,125596000.0,565333000,39743000,-11191000,112667000,43914000,29297000,1252957000.0,7908000,-137975000,893016000.0,2395233000.0,0.0,,-136445000,-234440000.0,-2621000,83370000,,2202000.0,0.0,135220000,18031000,4993251000.0,26460000,55793000.0,-2639000,-4171000.0,-364756000.0,-59919000,,,,,,,,,
2017-03-31,35228000,23850000.0,2202661000.0,31711000.0,125829000,39936000,,101740000.0,-947000,2665256000.0,1813749000.0,-33995000,,28362000.0,-56273000,18250000.0,676768000.0,,99131000,1125307000.0,-33995000,1407000.0,60987000,565333000,676768000.0,,33152000,-10982000,6760260000.0,-3018000,7757111000.0,92072000.0,5074302000.0,686006000.0,5358743000.0,32370000.0,-0.37,42040000.0,147434000.0,676768000,30654000,19858000,111199000,32730000,38144000,1239800000.0,10457000,-57191000,996851000.0,2409046000.0,0.0,92072000.0,-16870000,-266209000.0,-918000,73055000,-0.37,2509000.0,,151135000,12068000,4942231000.0,18392000,51921000.0,639000,-2076000.0,-416512000.0,59947000,,,,,,,,,
2017-06-30,20059000,0.0,1747956000.0,32736000.0,-2898000,35632000,,117110000.0,39118000,2552215000.0,2099941000.0,5238000,,31416000.0,-680000,18121000.0,691846000.0,,107759000,1109707000.0,5238000,1407000.0,63222000,676768000,691846000.0,,17067000,-19454000,6124190000.0,-6915000,7163835000.0,92257000.0,4488459000.0,115305000.0,5364966000.0,42133000.0,0.06,0.0,154944000.0,862910000,163701000,-8416000,134735000,166693000,44537000,1259511000.0,17933000,-2111000,1039645000.0,1936244000.0,0.0,92745000.0,-179743000,-258784000.0,-1431000,90198000,0.06,2691000.0,,170367000,26976000,4893596000.0,-32698000,49981000.0,3054000,-2992000.0,-471370000.0,-186658000,,,,,,,,,
2017-09-30,37078000,0.0,716728000.0,33261000.0,-248829000,43058000,,104841000.0,8093000,3324259000.0,2864666000.0,-28862000,,32889000.0,-34820000,17992000.0,462846000.0,,85686000,1096416000.0,-28862000,1410000.0,61830000,862910000,462846000.0,,34674000,11576000,6114923000.0,-13068000,6871243000.0,92352000.0,4220030000.0,159619000.0,5380516000.0,57334000.0,-0.31,0.0,145276000.0,615009000,5029000,-12200000,110372000,-175802000,23856000,1248617000.0,15266000,-37453000,756320000.0,895771000.0,0.0,92352000.0,-277868000,-285330000.0,-2633000,86516000,-0.31,1849000.0,,153430000,24686000,4854303000.0,-6203000,44669000.0,1473000,-2404000.0,-526213000.0,-290936000,,,,,,,,,
2017-12-31,-25168000,0.0,403488000.0,37923000.0,-390146000,49708000,,89680000.0,-82357000,3502800000.0,3195312000.0,-113299000,,18636000.0,-141091000,17859000.0,128087000.0,,107409000,1077786000.0,-113299000,1486000.0,60681000,615009000,128087000.0,,-26088000,15921000,6045485000.0,-82001000,6387021000.0,,4016653000.0,165774000.0,5380399000.0,48018000.0,,0.0,88538000.0,224787000,6888000,-41978000,85831000,7808000,46728000,1510369000.0,245000,-159189000,341536000.0,513853000.0,,,-1801982000,-398629000.0,-18098000,39103000,,9729000.0,,135539000,-21578000,4801925000.0,-14339000,38074000.0,-28516000,-920000.0,-578474000.0,-371866000,,,,,,,,,
2018-03-31,52089000,,413249000.0,38155000.0,28868000,37323000,,70346000.0,-20665000,3453567000.0,3181122000.0,83233000,,16839000.0,-76367000,1807000.0,157833000.0,-28008000.0,93348000,1057557000.0,83233000,1486000.0,65590000,224787000,157833000.0,,49369000,-6410000,5930286000.0,2979000,6258781000.0,148139000.0,3979431000.0,152921000.0,4719808000.0,30360000.0,0.56,,107439000.0,253397000,1364000,18527000,90224000,4084000,27758000,1576008000.0,14944000,-77343000,328495000.0,525864000.0,,148166000.0,-51556000,-290818000.0,-976000,62466000,0.56,0.0,,127547000,-3124000,4719808000.0,30637000,13134000.0,-882000,-2720000.0,-626766000.0,-24585000,,,,,,,,,
2018-06-30,23396000,,458177000.0,151949000.0,265860000,49805000,,161017000.0,-8487000,6127876000.0,5502939000.0,-21337000,114780000.0,202767000.0,-27612000,1735000.0,339209000.0,-28008000.0,93882000,2033854000.0,-21337000,2096000.0,69994000,253397000,339209000.0,,15783000,21000,9088285000.0,-5245000,9700825000.0,161568000.0,6814127000.0,304725000.0,7318186000.0,37400000.0,-0.13,,217134000.0,516085000,-841280000,-26275000,130083000,1922000,23888000,2200388000.0,8296000,-23178000,612540000.0,686251000.0,,161568000.0,-209695000,-301167000.0,4434000,106195000,-0.13,73000.0,,179888000,36201000,6634926000.0,-16861000,12780000.0,3888000,-7613000.0,-683260000.0,1083744000,,,,,,,,,
2018-09-30,75542000,,454351000.0,155278000.0,-5770000,59027000,,178094000.0,722000,6088712000.0,5499731000.0,-33590000,113701000.0,204157000.0,-19051000,1720000.0,349563000.0,-39611000.0,128359000,2000893000.0,-33590000,2096000.0,103593000,516085000,349563000.0,,70555000,-12368000,8947940000.0,-11466000,9575977000.0,209142000.0,6762889000.0,277510000.0,7318990000.0,44436000.0,-0.16,,207185000.0,509995000,-34960000,-5254000,187015000,24647000,24766000,2132675000.0,13315000,-13038000,628037000.0,674177000.0,-54620000.0,209142000.0,-207964000,-334757000.0,6013000,162249000,-0.16,88000.0,0.0,246042000,58656000,6555836000.0,-18862000,12444000.0,1882000,-4987000.0,-763154000.0,-46352000,,,,,,,,,
2018-12-31,102174000,38244000.0,464332000.0,172546000.0,-112254000,74752000,,145161000.0,12159000,5907150000.0,5297513000.0,-15489000,120553000.0,178849000.0,-30351000,1626000.0,248524000.0,-39607000.0,130209000,1996404000.0,-15489000,2096000.0,102660000,509995000,248524000.0,,95049000,31326000,8829169000.0,-9267000,9330354000.0,209142000.0,6595432000.0,242186000.0,6470026000.0,40238000.0,-0.07,,177089000.0,392809000,15878000,-5974000,138341000,27213000,27549000,2067454000.0,11901000,-52058000,501185000.0,688282000.0,-4210000.0,209142000.0,-241302000,-359603000.0,-21707000,110792000,-0.07,96000.0,0.0,213093000,8132000,6470026000.0,30012000,12090000.0,-19779000,-7125000.0,-833844000.0,-230306000,,,,,,,,,
2019-03-31,84999000,35595000.0,429094000.0,92910000.0,21402000,60751000,,152342000.0,16793000,6137683000.0,5277976000.0,-8627000,114867000.0,169030000.0,-36057000,,286400000.0,-41987000.0,135295000,1932795000.0,-8627000,2096000.0,106969000,392809000,286400000.0,,77631000,-9058000,8904434000.0,-1738000,9451829000.0,209142000.0,6800545000.0,133097000.0,6629437000.0,32313000.0,-0.04,,191913000.0,409834000,-3803000,-1888000,164581000,3565000,28326000,2001043000.0,11695000,-40208000,547395000.0,662862000.0,,209142000.0,-66069000,-368230000.0,-4151000,136255000,-0.04,160000.0,,225332000,29286000,6629437000.0,3757000,,-4318000,-7368000.0,-917164000.0,-59794000,,,,,,,,,
2019-06-30,91488000,33693000.0,496189000.0,97973000.0,-94459000,71575000,,164476000.0,4662000,5986708000.0,5105373000.0,-3595000,150785000.0,160235000.0,-16827000,,204148000.0,-41992000.0,128570000,1890615000.0,-3595000,2096000.0,100354000,409834000,204148000.0,,88234000,-12347000,8805207000.0,-14301000,9277094000.0,209142000.0,6708927000.0,117794000.0,7563827000.0,15262000.0,-0.02,,184104000.0,317519000,10245000,2613000,183791000,31754000,28216000,1938449000.0,9737000,-11158000,471887000.0,722219000.0,,209142000.0,-352308000,-371825000.0,5669000,155575000,-0.02,43000.0,,255366000,55221000,6564873000.0,-2591000,,3136000,-3254000.0,-998954000.0,-196192000,,,,,,,,,
2019-09-30,91716000,38729000.0,635929000.0,110651000.0,33893000,75037000,,176883000.0,-12736000,6592051000.0,5624514000.0,-54837000,145616000.0,152948000.0,-62313000,,239297000.0,-41990000.0,137443000,1957146000.0,-54837000,2097000.0,114282000,317519000,239297000.0,,67575000,-10793000,9276861000.0,-11575000,9929191000.0,209155000.0,7461757000.0,109854000.0,6967149000.0,8744000.0,-0.26,,186170000.0,344231000,-737325000,4513000,178771000,343000,23161000,1837176000.0,12638000,-60801000,652330000.0,869706000.0,-713527000.0,209155000.0,-201077000,-426662000.0,1512000,155610000,-0.26,265000.0,0.0,253808000,41328000,6967149000.0,5541000,,1321000,-24141000.0,-1080363000.0,679502000,,,,,,,,,
