date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,205589783000,28180710000,192617047000,156623024000,23497062000.0,239520000.0,,56686205000,9959655000.0,46139263000,2587976000,239520000,105993980000.0,48966759000,14929436000,44638652000.0,108089123000,0,-2820022000.0,20677040000,,1940004000,268032209000,29247000.0,75415162000,18760590000,18760590000,26875334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,219534894000,29777426000,214641059000,171214510000,20767798000.0,239520000.0,,63246758000,10995062000.0,45199186000,2881678000,239520000,122926142000.0,48320384000,19368736000,41847032000.0,125303202000,0,,20767798000,1650000.0,2116865000,288559735000,25384000.0,73918676000,17164167000,17164167000,28838017000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,272615921000,32135960000,272016098000,201594927000,25439942000.0,239520000.0,90274000.0,65290710000,15328211000.0,66965757000,3815717000,239520000,135107046000.0,71020994000,22778038000,52727068000.0,137085483000,0,-3367931000.0,22072011000,1188096000.0,2116865000,361956327000,31265000.0,89940229000,36240752000,37428848000,53478430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,331733605000,35743120000,333739565000,246837945000,22539309000.0,238299000.0,,68600111000,18244951000.0,79143468000,5481995000,238299000,167077323000.0,84895660000,17757524000,46252789000.0,169476443000,6211000000,,22539309000,1210110000.0,2094776000,424208638000,113078000.0,90469073000,30800244000,32010354000,46955450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,509956431000,39967106000,484835507000,405314008000,27640392000.0,237445000.0,207844000.0,70128365000,13673129000.0,97476674000,6928304000,237445000,228227240000.0,104642423000,38720202000,52342374000.0,218586979000,7043440000,-4226905000.0,23413487000,7321236000.0,2032379000,591571601000,31523000.0,106736094000,84646899000,91968135000,76074204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,700363989000,48444141000,665912815000,571203025000,24317144000.0,235986000.0,,78401734000,16805150000.0,115161397000,13710540000,235986000,9932187000.0,129160964000,40628191000,60529896000.0,298418634000,6642542000,,24317144000,8517270000.0,2008689000,794667680000,301385000.0,128754865000,110113104000,118630374000,98706501000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,933057329000,63267092000,867915450000,769536810000,28680102000.0,,273006000.0,93670572000,28943547000.0,146483554000,16447649000,233440000,15737782000.0,163520519000,68281473000,98840493000.0,365173323000,1805104000,-4626523000.0,24053579000,24830435000.0,2003572000,1049669258000,118507000.0,181753808000,137083948000,161914383000,165314939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,1260596000000,69375000000,1156414000000,1048667000000,25510000000.0,,,104944000000,19059000000.0,185817000000,25639000000,44000000,14141000000.0,211929000000,108104000000,,518832000000,794000000,,25510000000,4293000000.0,2040000000,1403043000000,561000000.0,246629000000,196427000000,200720000000,214571000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,1456286000000,85202000000,1399750000000,1219406000000,32157000000.0,,,121330000000,40597000000.0,202378000000,32224000000,249000000,,236880000000,126097000000,,635759000000,794000000,-6240000000.0,25917000000,12019000000.0,2032000000,1629694000000,670000000.0,229944000000,228343000000,240362000000,255053000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,1560395000000,94554000000,1472179000000,1312357000000,28079000000.0,,,130860000000,42399000000.0,217972000000,26751000000,176000000,,248038000000,113917000000,,672286000000,550000000,,28079000000,15042000000.0,2033000000,1746730000000,,274551000000,208322000000,223364000000,272051000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
