date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1989-03-31,,,1.32132,,,,,,,,,,14361275.0,,,,,582543969.223806,,582543969.223806,,,,,,,,,,,,,,,582543969.223806,,,,,,,,,,,,,14361275.0,,,,,21790422.669785,,,1.32132,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,1.320055,,,,,,,,,,14421108.0,,,,,577866167.014614,,577866167.014614,,,,,,,,,,,,,,,577866167.014614,,,,,,,,,,,,,14421108.0,,,,,20884321.503132,,,1.320055,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,0.36046,,,,,,,,,,14416609.0,,,,,527986797.962649,,527986797.962649,,,,,,,,,,,,,,,527986797.962649,,,,,,,,,,,,,14416609.0,,,,,6795968.590832,,,0.36046,,,,,,,,,,,,,,,,,,,,,
1989-12-31,957120333.595349,,,139046536.637615,,,,30210110.651383,,,,111537330.373416,,,,30210110.651383,,-1508933615.263966,,586667751.250386,,-822375236.89416,,,318706665.860464,,,2777129463.846107,719540819.21758,582194851.81698,599500643.522877,,,,-1508933615.263966,,,1954754226.951947,,,,1293032758.337724,,,,,2832347944.613843,,2112807124.532474,694532449.965017,246082359.699056,,-30269976.738556,,,,,,263488185.956517,,,,,,309203485.389007,,,19006360.942912,,1875227610.154705,352417948.673652,,,,,,
1990-03-31,,,0.959696,,,,,,,,,,14441275.0,,,,,522178332.478632,,522178332.478632,,,,,,,,,,,,,,,522178332.478632,,,,,,,,,,,,,14441275.0,,,,,-8498019.65812,,,0.959696,,,,,,,,,,,,,,,,,,,,,
1990-06-30,1050657731.560892,,-1.919905,129548184.391081,,89226561.749571,,-18863333.619211,,,313889861.063465,27346843.910806,14295839.0,125256526.586621,,-18863333.619211,,-11178272.727273,,521486334.476844,,-887674538.593482,,,9481569.468268,,,2846467037.735849,616601450.25729,371378114.922813,568594765.866209,,,,29143349.914237,-7685061.749571,-32536754.716981,1958792499.142367,,,,1293186304.459691,,,,443438045.454545,2717817107.204117,14295839.0,2101215656.946827,835376195.540309,111283686.963979,48904938.250429,-24851692.96741,-27446649.22813,,-1.919905,,21458289.022298,48006684.391081,,,,,99806.174957,304508096.912521,78048289.022298,-24851692.96741,12874973.413379,,1664564419.382504,346526421.955403,,,,,,
1990-09-30,1033742524.221453,,-1.497722,126292978.373702,-9493680.377418,91694901.384083,,-24198654.844291,,,287184032.871972,26798510.380623,14487862.0,126292978.373702,0.0,-24198654.844291,-42266127.696796,-2599854.67128,45513230.272959,496572391.00346,-14039736.929259,-924748583.910035,-5314215.067038,-103198.975292,9599466.262976,929158.561195,,2898838824.394464,607266236.15917,365079701.557093,546669605.536332,,,-6904515.192567,37850167.346739,-6099660.899654,-24298648.788927,1974090240.484429,,,-41336969.135601,1324326367.647059,,,,407477344.290657,2723148592.560554,14487862.0,2115882357.266436,874551374.567474,108993940.311419,51897114.186851,-18198987.889273,-21698793.252595,40450022.018019,-1.497722,,20798843.425606,68296202.422145,1701600.819351,,-51756604.766243,0.0,-899949.82699,310582731.83391,89095046.712803,-19098937.716263,15499138.408304,,1689406069.204152,340781052.768166,-7935176.761412,,,,,
1990-12-31,798277986.557468,,,63934390.766466,30077893.607584,92888777.946276,,-13829069.044163,,,267863050.314465,6112849.022047,,126165200.601286,0.0,-13829069.044163,-41270460.218434,-32681859.075219,-29359772.551435,448088364.848091,112359589.466658,-1104120870.48172,10393800.45335,5307272.313903,34472461.814915,50140778.894432,,2931261535.005875,518389658.92598,370578960.190753,311855523.014721,,,-101032868.376694,7764431.471556,-106258739.707204,-342066383.105535,1827140664.524155,,,8870318.675998,1255338731.944156,,,,387881445.977033,2424195678.692377,,1905806019.766397,851790470.143064,164245245.006566,52442488.263418,-235807643.398331,-229757601.53111,40446290.546775,,,19779655.99566,68243448.061373,907517.122456,,-10286995.093017,0.0,-289404663.294525,285099281.221923,60206918.871057,-227235470.889679,14730964.475776,,1625917692.134909,239303016.794526,-6872265.934257,,,,,
1991-03-31,771729106.603366,,-1.856667,59571369.874838,899567.544238,76763107.466552,,-2598750.971083,,,277966409.149763,8595868.795857,14427535.0,126039425.118688,-13793370.738023,-2598750.971083,-21589623.651273,-12893803.193785,83759745.36038,388413328.441951,-55273435.47691,-1110966069.917997,11194619.76694,-799615.882607,0.863185,-51775116.961588,,2919296985.757445,562829504.531722,292659348.295209,284863094.518774,,,-8595868.795857,24188375.485542,-7796252.91325,-31984628.398792,1808330915.839448,,,-73364740.612861,1381036273.629694,,,,324544024.169184,2445424728.528269,14427535.0,1882595224.859732,989224578.334053,161322468.709538,39680929.65041,-24188375.485542,-26787126.456625,37082178.679327,-1.856667,,18990872.68019,14692938.282262,899567.544238,,-20690056.107035,0.0,-99952.524817,302154784.635304,63869304.272767,-24188375.485542,14692939.145447,,1673695621.924903,230489226.586103,-2598750.971083,,,,,
1991-06-30,749090984.669295,,-2.40248,56021761.717039,901132.41196,76229611.038108,,3501360.490583,,,265403095.926413,11404430.135786,14573941.0,127949702.146299,0.0,3501360.490583,-18726037.321132,-27210570.302234,14378376.409222,409959248.357424,20259834.075245,-1160750893.561104,6312180.933892,-1001083.197551,100038.545773,9758795.454799,,2973254961.016207,537908950.503723,278608225.142357,254098704.336399,,,-15013302.470022,11036512.516468,-14005440.21025,-46418030.66141,1812504067.455103,,,-8967241.866333,1394541710.030661,,,,360940207.621551,2422240919.842313,14573941.0,1884331968.462549,1011793031.099431,164663964.082348,38514961.016207,-32412590.451161,-35013601.401664,38247082.818702,-2.40248,,20107810.775296,13105090.670171,901131.535919,,-17824904.909172,0.0,900349.540079,274206515.111695,49019040.735874,-32412590.451161,15806139.290407,,1673149935.173018,218084714.848883,-2703308.599657,,,,,
