date,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2015-03-31,-10611000,0.0,11840000,403000,970000,14434000.0,3660000.0,-0.15,20547000,32804000.0,,11572000.0,-959000,68764000.0,2054000.0,-3546000.0,14872000.0,6875000.0,-10611000,114152000.0,28325000.0,,54340000,7000.0,113182000,-10611000,135706000.0,3224000,-3921000,-3985000,188159000.0,29306000.0,-216000,2609000.0,95735000.0,6880000.0,56160000.0,68764000.0,14000.0,44771000,40000.0,4923000.0,485000,,,3582000,114152000,0.0,-343000.0,0.0,92424000.0,42500000,158853000.0,80863000.0,-188706000.0,,-10528000,-0.15,21554000.0,157000,-6345000,65318000,4747000,0.0,83000,26697000.0,-29463000.0,1771000,-3298000,-9569000,-2064000,-687000,,,,,
2015-06-30,-8211000,0.0,12297000,279000,6637000,14491000.0,4812000.0,-0.12,21529000,35952000.0,9393000.0,12242000.0,-41000,69487000.0,2372000.0,-1147000.0,15000000.0,5938000.0,-8211000,120789000.0,31026000.0,3777000.0,58701000,7000.0,114152000,-8211000,132703000.0,3305000,-670000,-3958000,202894000.0,44396000.0,-1692000,2694000.0,102746000.0,9480000.0,59410000.0,69487000.0,-1413000.0,49162000,-167000.0,6022000.0,858000,,,-218000,120789000,0.0,-318000.0,-4670000.0,100148000.0,46404000,158498000.0,87746000.0,-196917000.0,,-9580000,-0.12,11914000.0,364000,-6234000,70691000,5291000,0.0,-1369000,28532000.0,-30878000.0,1617000,-5028000,-9539000,5882000,1070000,,,,,
2015-09-30,-6336000,0.0,13475000,245000,9215000,3750000.0,4540000.0,-0.09,22333000,37391000.0,9393000.0,15187000.0,-564000,70580000.0,2287000.0,-1021000.0,24478000.0,15778000.0,-6336000,130004000.0,34286000.0,3522000.0,60275000,7000.0,120789000,-6336000,132311000.0,3406000,-3097000,-2791000,207214000.0,44680000.0,11852000,2681000.0,104329000.0,9500000.0,62236000.0,70580000.0,-7000.0,54447000,86000.0,4162000.0,-1404000,,,4884000,130004000,0.0,84000.0,-1836000.0,102885000.0,46800000,162534000.0,79851000.0,-203253000.0,0.0,-6392000,-0.09,2307000.0,237000,-2422000,76780000,5752000,0.0,-56000,29084000.0,-33152000.0,-1471000,-4616000,-5828000,2403000,1825000,,,,,
2015-12-31,-6941000,0.0,15312000,196000,7584000,3750000.0,5416000.0,-0.1,22862000,34702000.0,9393000.0,19163000.0,-866000,71420000.0,2317000.0,-1022000.0,24107000.0,14840000.0,-6941000,137588000.0,36657000.0,3266000.0,66573000,7000.0,130004000,-6941000,137588000.0,3532000,-4235000,-1324000,214813000.0,43767000.0,-46000,2948000.0,104681000.0,2320000.0,63228000.0,71420000.0,-13000.0,60577000,527000.0,5196000.0,1652000,,0.0,-1882000,137588000,0.0,-29000.0,-577000.0,110132000.0,51261000,171046000.0,80574000.0,-210194000.0,0.0,-6862000,-0.1,0.0,108000,-2464000,83439000,6298000,0.0,79000,28160000.0,-35068000.0,-1784000,-4202000,-5996000,6416000,2878000,,,,,
2016-03-31,-6613000,0.0,14926000,216000,1486000,3750000.0,5374000.0,-0.09,21740000,41574000.0,9393000.0,25624000.0,-367000,72114000.0,902000.0,-1025000.0,23033000.0,13903000.0,-6613000,139074000.0,39032000.0,3011000.0,70778000,7000.0,137588000,-6613000,139074000.0,3377000,-6689000,2347000,221592000.0,43043000.0,-87000,3150000.0,110463000.0,0.0,64868000.0,72114000.0,-4000.0,64798000,1069000.0,2798000.0,-2430000,,,-2462000,139074000,0.0,1414000.0,-439000.0,111129000.0,55852000,178549000.0,87430000.0,-216807000.0,,-6563000,-0.09,,17000,-2970000,86538000,6737000,281000.0,50000,27489000.0,-37379000.0,1067000,-2462000,-5980000,-744000,4809000,,,,,
2016-06-30,-7771000,0.0,16681000,193000,8717000,3750000.0,3939000.0,-0.11,22364000,44705000.0,9393000.0,24170000.0,-1217000,72649000.0,122000.0,-1027000.0,20431000.0,12965000.0,-7771000,147791000.0,42105000.0,2755000.0,75784000,7000.0,139074000,-7771000,147791000.0,3576000,1294000,5317000,231195000.0,44488000.0,-1590000,3237000.0,113280000.0,0.0,69460000.0,72649000.0,0.0,69480000,2203000.0,2016000.0,-1481000,,,-4555000,147791000,0.0,781000.0,0.0,117915000.0,59103000,186707000.0,92849000.0,-224578000.0,,-7714000,-0.11,,96000,-3945000,91844000,7477000,5887000.0,57000,29103000.0,-40357000.0,4626000,-4555000,-6304000,3360000,9872000,,,,,
2016-09-30,-7979000,0.0,16490000,176000,4599000,14528000.0,3402000.0,-0.11,23455000,46368000.0,9393000.0,23583000.0,-696000,73285000.0,84000.0,-1030000.0,8179000.0,1250000.0,-7979000,152390000.0,42738000.0,2500000.0,80445000,7000.0,147791000,-7979000,152390000.0,3796000,517000,3623000,238797000.0,46096000.0,-131000,3064000.0,116695000.0,0.0,74439000.0,73285000.0,0.0,73384000,2868000.0,4701000.0,1441000,,,-4132000,152390000,0.0,38000.0,0.0,122102000.0,63955000,192701000.0,108516000.0,-232557000.0,0.0,-7933000,-0.11,,351000,-3961000,96839000,8389000,2100000.0,46000,31139000.0,-43300000.0,2386000,-4132000,-7061000,939000,7755000,,,,,
2016-12-31,-6946000,0.0,17417000,162000,7965000,14528000.0,3199000.0,-0.09,24652000,48322000.0,9393000.0,30243000.0,-94000,73961000.0,63000.0,-937000.0,6588000.0,312000.0,-6946000,160355000.0,45159000.0,2244000.0,86457000,7000.0,152390000,-6946000,160355000.0,3914000,-6850000,2023000,252629000.0,46718000.0,-124000,3087000.0,122588000.0,0.0,78581000.0,73961000.0,-32000.0,79851000,2737000.0,7810000.0,3986000,,,-5249000,160355000,0.0,21000.0,0.0,130041000.0,69040000,205911000.0,116000000.0,-239503000.0,0.0,-6862000,-0.09,,119000,-2786000,104503000,8237000,6836000.0,84000,31994000.0,-46587000.0,1625000,-5249000,-6606000,5775000,7272000,,,,,
2017-03-31,-7309000,0.0,17087000,79000,-10665000,0.0,3377000.0,-0.1,27306000,51890000.0,9393000.0,31325000.0,122000,74682000.0,170000.0,-15021000.0,6454000.0,0.0,-7309000,149690000.0,49368000.0,1989000.0,91786000,7000.0,160355000,-7309000,149690000.0,3785000,-1371000,1915000,246934000.0,48568000.0,-221000,3025000.0,112450000.0,,83986000.0,74682000.0,-2000.0,84485000,2768000.0,4738000.0,-2224000,,,-6795000,149690000,4428000.0,,0.0,134484000.0,74699000,198366000.0,105996000.0,-246812000.0,,-7258000,-0.1,,98000,-3394000,111791000,8935000,2679000.0,51000,34161000.0,-49825000.0,2958000,-6795000,-7301000,-12563000,8710000,,,,,
2017-06-30,-7031000,0.0,18617000,9000,17325000,0.0,3175000.0,-0.09,29561000,49720000.0,9393000.0,33264000.0,578000,75867000.0,124000.0,0.0,6252000.0,0.0,-7031000,167015000.0,53367000.0,1763000.0,97418000,8000.0,149690000,-7031000,167015000.0,4057000,-2653000,3235000,268617000.0,50402000.0,-897000,2633000.0,114895000.0,,90107000.0,75867000.0,-10000.0,89875000,2815000.0,5556000.0,797000,,,-4977000,167015000,5258000.0,,530000.0,153722000.0,78801000,218215000.0,108643000.0,-253843000.0,,-6974000,-0.09,,15000,-2908000,119436000,10627000,14770000.0,57000,36613000.0,-53494000.0,789000,-5507000,-7543000,13873000,8742000,,,,,
2017-09-30,-5712000,0.0,19082000,6000,5291000,0.0,3409000.0,-0.07,30784000,26487000.0,9393000.0,36594000.0,613000,76915000.0,158000.0,0.0,6176000.0,0.0,-5712000,172306000.0,57696000.0,1612000.0,105226000,8000.0,167015000,-5712000,172306000.0,4087000,-6972000,4408000,289440000.0,55218000.0,-1007000,2575000.0,127496000.0,0.0,97588000.0,76915000.0,-6000.0,98980000,2903000.0,9956000.0,3595000,,,-9016000,172306000,7554000.0,,0.0,161944000.0,86144000,234222000.0,121320000.0,-259555000.0,,-5639000,-0.07,,10000,-1546000,129764000,10942000,2236000.0,73000,41638000.0,-55950000.0,3835000,-9016000,-6246000,1229000,13424000,,,,,
2017-12-31,-6089000,0.0,20362000,5000,8886000,0.0,6252000.0,-0.08,33620000,54977000.0,9393000.0,45339000.0,178000,77665000.0,198000.0,0.0,6252000.0,0.0,-6089000,181192000.0,64415000.0,1462000.0,113100000,8000.0,172306000,-6089000,181192000.0,4285000,-5774000,4690000,305168000.0,57125000.0,-1566000,2972000.0,132966000.0,0.0,103376000.0,77665000.0,-29000.0,106915000,2998000.0,7322000.0,-1992000,,,-5599000,181192000,7624000.0,,0.0,172202000.0,92738000,248043000.0,126714000.0,-265644000.0,,-6012000,-0.08,,58000,-6007000,140535000,11556000,5810000.0,77000,43298000.0,-60078000.0,308000,-5599000,-6185000,4244000,10289000,,,,,
2018-03-31,-2716000,,22651000,1411000,373771000,,6240000.0,-0.03,35674000,34795000.0,9393000.0,48227000.0,73000,78341000.0,229000.0,0.0,361505000.0,352004000.0,-2716000,554963000.0,68037000.0,22377000.0,116020000,8000.0,181192000,-2716000,554963000.0,5542000,-9243000,-13631000,775478000.0,124369000.0,-50924000,2328000.0,499612000.0,,113056000.0,78341000.0,-6000.0,114669000,3220000.0,4256000.0,-2816000,-15000000.0,,-25816000,554963000,6813000.0,,,275866000.0,93369000,651109000.0,138107000.0,-212216000.0,,-2689000,-0.03,,5560000,4264000,150343000,13267000,3688000.0,27000,50131000.0,-62925000.0,-10283000,-25816000,-1351000,387221000,12185000,,,,,
2018-06-30,-8291000,,24814000,4836000,12317000,,5757000.0,-0.1,38066000,76382000.0,9393000.0,67015000.0,1338000,79089000.0,251000.0,-741000.0,365374000.0,356788000.0,-8291000,567280000.0,73240000.0,21128000.0,127420000,8000.0,554963000,-8291000,567280000.0,5934000,-12219000,6813000,813329000.0,135251000.0,-1972000,2569000.0,522305000.0,,122022000.0,79089000.0,17000.0,122766000,2795000.0,6366000.0,2317000,0.0,,-9877000,567280000,10048000.0,,,291024000.0,102606000,678078000.0,156931000.0,-220507000.0,,-8152000,-0.1,,9477000,-3316000,160832000,17597000,8041000.0,139000,55076000.0,-66946000.0,-9138000,-9877000,-4654000,5328000,16690000,,,,,
2018-09-30,-9518000,,26347000,4916000,10003000,,5232000.0,-0.12,39274000,85714000.0,9393000.0,74183000.0,2533000,79903000.0,168000.0,0.0,369698000.0,361637000.0,-9518000,577283000.0,80024000.0,8366000.0,141578000,8000.0,567280000,-9518000,577283000.0,5718000,-8421000,11481000,841843000.0,139685000.0,-2471000,11463000.0,542396000.0,0.0,131615000.0,79903000.0,4000.0,134551000,2573000.0,6017000.0,-629000,0.0,,-8746000,577283000,11542000.0,,,299447000.0,115231000,702158000.0,172698000.0,-230025000.0,,-9410000,-0.12,,10380000,1224000,173825000,18515000,,108000,60200000.0,-71415000.0,-6004000,-8746000,-7027000,-568000,20227000,,,,,
2018-12-31,-5678000,,27230000,4939000,-10954000,,10806000.0,-0.07,44115000,100687000.0,31238000.0,94375000.0,2531000,80638000.0,199000.0,0.0,377358000.0,366552000.0,-5678000,566329000.0,88527000.0,19480000.0,147913000,8000.0,577283000,-5678000,566329000.0,6079000,-17994000,10453000,894326000.0,186812000.0,-1715000,10154000.0,576717000.0,0.0,146411000.0,80638000.0,-318000.0,144509000,2226000.0,10145000.0,3911000,0.0,,-39009000,566329000,8768000.0,,,317609000.0,120683000,707514000.0,199359000.0,-235703000.0,,-5812000,-0.07,,10869000,5206000,188624000,18709000,,-134000,70205000.0,-76206000.0,-7628000,-12575000,-3404000,5274000,23028000,,,,,
2019-03-31,-6358000,,29787000,5032000,-17299000,,10694000.0,-0.08,50835000,115363000.0,55373000.0,100706000.0,3051000,81400000.0,251000.0,,405921000.0,371534000.0,-6358000,549030000.0,93828000.0,30634000.0,158117000,8000.0,566329000,-6358000,549030000.0,7696000,-5267000,9792000,965702000.0,261334000.0,-1934000,10307000.0,634478000.0,,105922000.0,81400000.0,-3480000.0,150654000,1851000.0,19366000.0,7757000,0.0,,-38275000,549030000,13529000.0,,,331224000.0,128330000,704368000.0,228557000.0,-242061000.0,-27870000.0,-9444000,-0.08,,12557000,3284000,201489000,19398000,,-3086000,105922000.0,-80228000.0,-9942000,-10405000,-7463000,732000,20197000,,,,,
2019-06-30,-9243000,,32632000,5088000,18638000,,9541000.0,-0.11,53630000,121075000.0,55613000.0,105585000.0,3141000,82339000.0,300000.0,,411035000.0,376583000.0,-9243000,567668000.0,103362000.0,28514000.0,168702000,8000.0,549030000,-9243000,567668000.0,8790000,-5537000,11860000,1012200000.0,277094000.0,-3113000,10194000.0,656633000.0,,112890000.0,82339000.0,-77000.0,161522000,2093000.0,21161000.0,3389000,0.0,,-12191000,567668000,14481000.0,,,355567000.0,136070000,735106000.0,245598000.0,-251304000.0,0.0,-9127000,-0.11,,11902000,4751000,215152000,24916000,,116000,112890000.0,-85823000.0,-12583000,-12191000,-7180000,6787000,24051000,,,,,
2019-09-30,-12749000,,35286000,5160000,14995000,,9050000.0,-0.15,59705000,140535000.0,54743000.0,118282000.0,2926000,83283000.0,320000.0,0.0,421848000.0,381701000.0,-12749000,582663000.0,105159000.0,25839000.0,184310000,8000.0,567668000,-12749000,582663000.0,9574000,-14041000,16529000,1059479000.0,294434000.0,-5197000,9798000.0,689985000.0,,125425000.0,83283000.0,-285000.0,173647000,351000.0,22443000.0,-520000,0.0,,-10231000,582663000,10658000.0,,,369494000.0,149024000,765045000.0,268137000.0,-264053000.0,0.0,-12897000,-0.15,,13463000,1837000,233352000,27376000,,-148000,125425000.0,-92079000.0,-12347000,-10231000,-10663000,-1116000,26760000,,,,,
