date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2000-09-30,445106000,27070000,,-257000,,34923000,20753000,402961000.0,81510000,,,,2412000,-27449000,,28147000,383142000,0.06321,13348000.0,28934000,61964000,123849648.0,321267000,,50470000,6776000,,-430000,,4576000.0,-44476000.0,5010000,1729000,12222000,13119000,82558000.0,15143000,7947000.0,7947000.0,-5608000,21000,31481000,74591000.0,,358485000,303541000,5401000,,46587000,14170000,-84000,,261000.0,9535000,2496000,7947000.0,766373000,2412000,,2412000,715903000,3413000.0,344299000,7426000,0.06716,7394000,119729162.0,,,,,,,,,,
2000-12-31,475896000,25636000,,941000,,35401000,21787000,415772000.0,82812000,,,,2461000,-48960000,,28662000,416463000,,14260000.0,37504000,59433000,,334208000,,49035000,6739000,,982000,,4419000.0,-31535000.0,6095000,2251000,30792000,13327000,-777000.0,18217000,8570000.0,8570000.0,-9546000,31000,30153000,76174000.0,,384237000,334194000,5690000,,47411000,13614000,49000,,265000.0,8671000,2412000,8570000.0,810104000,2461000,,2461000,761069000,3644000.0,363505000,7558000,,6875000,,,,,,,,,,,
2001-03-31,516465000,22786000,,-13378000,-3067000.0,38097000,23246000,434036000.0,85114000,,,,4207000,-30129000,,31632000,457031000,0.03358,9412000.0,42216000,59434000,138778682.0,345845000,,53062000,6659000,,-88000,,0.0,,9563000,0,24227000,16033000,3942000.0,7648000,4856000.0,4712000.0,-6022000,-6232000,0,76744000.0,10410000.0,434036000,370724000,3226000,17928000.0,47017000,14851000,1746000,42923000.0,270000.0,1626000,2461000,4712000.0,879943000,4207000,,4207000,826881000,8310000.0,376812000,7602000,0.03358,8386000,134843803.0,,,,,,,,,,
2001-06-30,522825000,25996000,,-1416000,-2834000.0,42103000,24999000,438142000.0,93967000,,,,5157000,-11499000,,33703000,460745000,0.045432,10636000.0,48613000,62080000,139913056.0,353173000,,61488000,8400000,,-248000,,0.0,,9378000,-13711000,-8704000,19351000,698000.0,21153000,6398000.0,6398000.0,-9864000,-4552000,0,76745000.0,9956000.0,438142000,374622000,4238000,18030000.0,51864000,17104000,950000,48975000.0,271000.0,11289000,4207000,6398000.0,894190000,5157000,,5157000,832702000,8098000.0,375209000,7643000,0.047407,8510000,137031274.0,,,,,,,,,,
2001-09-30,588532000,30936000,,6474000,-5341000.0,42861000,55297000,497852000.0,97681000,,,,3993000,-29619000,,65463000,509406000,0.073086,17002000.0,58849000,79126000,160514829.0,364946000,,65585000,7735000,,-468000,,0.0,-31535000.0,13092000,-1272000,302000,19242000,1457000.0,28153000,10236000.0,10236000.0,-10833000,-93000,0,76745000.0,11731000.0,466317000,419569000,6766000,28671000.0,54820000,-12436000,-1164000,52935000.0,273000.0,17320000,5157000,10236000.0,972315000,3993000,,3993000,906730000,7788000.0,421171000,7104000,0.075062,10166000,137607816.0,,,,,,,,,,
2001-12-31,579563000,29224000,,-4030000,-4935000.0,44127000,19626000,538823000.0,100772000,,,,7279000,-19593000,,30294000,508124000,,14926000.0,68032000,71439000,,379965000,,66774000,9436000,,-17000,,0.0,-73017000.0,13264000,-1060000,-7365000,18768000,1523000.0,30244000,9224000.0,9183000.0,-13496000,106000,0,78689000.0,13355000.0,465806000,416171000,5702000,23555000.0,56645000,24501000,3286000,51372000.0,274000.0,16748000,3993000,9183000.0,979353000,7279000,,7279000,912579000,5305000.0,428005000,7717000,,10668000,,,,,,,,,,,
2002-03-31,633344000,30603000,,7719000,-3955000.0,46563000,29145000,569811000.0,105742000,-1225000.0,,,4109000,-41149000,,37173000,556656000,0.084938,19474000.0,80203000,76688000,161596230.0,395273000,,68857000,9390000,445866000.0,486000,,0.0,-73017000.0,15770000,-64000,7676000,20371000,2055000.0,30303000,12171000.0,12171000.0,-9007000,-400000,0,78689000.0,14377000.0,496794000,462197000,7303000,27301000.0,59179000,17418000,-3170000,55034000.0,276000.0,21296000,7279000,12171000.0,1048983000,4109000,,4109000,980126000,4407000.0,17095000,7505000,0.086914,8028000,139063913.0,,,,,,,,,,
2002-06-30,744294000,35175000,,2061000,-5731000.0,56069000,33519000,622104000.0,128091000,-2940000.0,,,5151000,-83166000,,44635000,654826000,0.09679,22947000.0,94545000,89468000,163759006.0,412865000,,78312000,12465000,,-1236000,,0.0,-73017000.0,18619000,-6314000,54204000,25544000,3549000.0,30004000,14342000.0,14342000.0,-15922000,-181000,0,83803000.0,17265000.0,549087000,552404000,8605000,32721000.0,72022000,22550000,1042000,63560000.0,278000.0,14082000,4109000,14342000.0,1176821000,5151000,,5151000,1098509000,4307000.0,523878000,7921000,0.102716,11116000,140348376.0,,,,,,,,,,
2002-09-30,742387000,38615000,,1814000,-5645000.0,58339000,35243000,636806000.0,133487000,,,,5638000,-23497000,,46301000,646414000,0.100741,24316000.0,109738000,95973000,164078697.0,430785000,,78803000,12613000,,-384000,,0.0,-73017000.0,15537000,-5210000,-17591000,26343000,2270000.0,41575000,15193000.0,15193000.0,-16566000,-162000,0,94662000.0,16895000.0,563789000,536215000,9123000,36820000.0,75148000,23096000,487000,63838000.0,279000.0,25009000,5151000,15193000.0,1194439000,5638000,,5638000,1115636000,3643000.0,525504000,8180000,0.108642,11058000,141063317.0,,,,,,,,,,
2002-12-31,787092000,30688000,-727000.0,-176000,-4771000.0,56359000,33080000,687572000.0,131341000,,,,4067000,-75079000,,44050000,687837000,,21842000.0,123498000,99255000,,451712000,,76207000,12898000,,-589000,,0.0,-109532000.0,14813000,5708000,47474000,25162000,6204000.0,26034000,13760000.0,13760000.0,-15281000,-70000,0,94543000.0,19016000.0,578040000,578481000,8082000,45905000.0,74982000,23279000,-1571000,63488000.0,280000.0,10753000,5638000,13760000.0,1261882000,4067000,,4067000,1185675000,3646000.0,582473000,8622000,,10970000,,,,,,,,,,,
2003-03-31,760542000,26851000,4232000.0,4274000,-3729000.0,56633000,33172000,680483000.0,128454000,,,,4805000,-16511000,,44343000,662540000,0.098765,22878000.0,138193000,98002000,165323521.0,469457000,,74346000,12881000,,-1186000,,0.0,-109532000.0,5867000,-2163000,-18921000,25788000,2086000.0,36170000,14413000.0,14695000.0,-11841000,38000,0,98775000.0,20213000.0,570951000,557898000,8465000,45552000.0,71821000,23461000,738000,60857000.0,282000.0,24329000,4067000,14695000.0,1253203000,4805000,,4805000,1178857000,5386000.0,582118000,8050000,0.102716,11171000,142156316.0,,,,,,,,,,
2003-06-30,767454000,33982000,4886000.0,1452000,-3489000.0,61456000,36995000,689082000.0,138883000,,,,6000000,-36528000,,48868000,667311000,0.108642,26411000.0,154832000,100143000,166048557.0,491264000,,81623000,13179000,,-533000,,0.0,-109532000.0,6485000,2110000,159000,25942000,4964000.0,37564000,16639000.0,16639000.0,-18931000,-205000,0,103661000.0,21757000.0,579550000,557165000,9772000,39095000.0,77427000,24461000,1195000,65961000.0,284000.0,18633000,4805000,16639000.0,1282065000,6000000,,6000000,1200442000,5309000.0,594950000,7786000,0.116543,11873000,143091567.0,,,,,,,,,,
2003-09-30,841117000,33802000,4942000.0,3055000,-1437000.0,63771000,37776000,711588000.0,146178000,,,,7027000,-75344000,,50672000,728539000,0.110617,26854000.0,171804000,112578000,166814209.0,511541000,,88965000,13702000,,-4564000,,0.0,-109532000.0,6304000,-7961000,35462000,34036000,1074000.0,40909000,16972000.0,16972000.0,-14200000,12000,0,108603000.0,23057000.0,602056000,613632000,9882000,47601000.0,82407000,25995000,1027000,72034000.0,284000.0,26709000,6000000,16972000.0,1375605000,7027000,,7027000,1286640000,8118000.0,650548000,8002000,0.118519,12896000,143868301.0,,,,,,,,,,
2003-12-31,834533000,38682000,13871000.0,-8835000,-33000.0,64808000,37011000,765428000.0,149994000,,,,5276000,-32568000,,50821000,730453000,,26404000.0,189094000,104080000,,537494000,,89020000,14605000,,-1134000,,0.0,-152203000.0,8400000,-5783000,-11755000,38869000,4147000.0,42572000,17290000.0,17290000.0,-25241000,-37000,0,120162000.0,23738000.0,613225000,601891000,9114000,31920000.0,85186000,27797000,-1751000,72474000.0,287000.0,17331000,7027000,17290000.0,1395952000,5276000,,5276000,1306932000,9740000.0,654838000,7828000,,13810000,,,,,,,,,,,
2004-03-31,823511000,37320000,5495000.0,9298000,-3917000.0,64195000,35157000,772460000.0,149258000,,,,4911000,-20199000,,49225000,715322000,0.104691,25779000.0,205296000,108189000,169373369.0,564488000,,85679000,15595000,,1327000,,0.0,-152203000.0,8752000,-3177000,-28055000,36955000,10585000.0,47889000,16202000.0,16202000.0,-15628000,76000,0,125800000.0,25329000.0,620257000,580770000,9577000,35866000.0,85063000,29038000,-365000,70049000.0,291000.0,32261000,5276000,16202000.0,1411616000,4911000,,4911000,1325937000,9674000.0,668725000,6823000,0.110617,14068000,146087276.0,,,,,,,,,,
2004-06-30,711874000,40499000,4401000.0,-5200000,904000.0,69672000,40376000,784330000.0,160561000,,,,5569000,-21368000,,54991000,605628000,0.115556,30576000.0,224467000,106246000,166871707.0,692875000,,92124000,15445000,,2622000,,0.0,-155203000.0,8003000,2910000,-14233000,35031000,8693000.0,36259000,19171000.0,19171000.0,-18267000,-1572000,0,130200000.0,25560000.0,629127000,467425000,11405000,31563000.0,90889000,29296000,658000,75965000.0,480000.0,17992000,4911000,19171000.0,1428431000,5569000,,5569000,1336307000,8624000.0,672149000,5174000,0.118519,14615000,160060141.0,,,,,,,,,,
2004-09-30,708975000,40729000,5524000.0,5601000,-177000.0,73438000,42783000,791202000.0,165444000,-2940000.0,,,4977000,-23479000,-23296000.0,57686000,596312000,0.136296,34730000.0,246918000,112663000,165260860.0,704170000,,94426000,16104000,,225000,,0.0,-155203000.0,8247000,-190000,-29446000,34843000,10482000.0,52333000,22451000.0,22451000.0,-22306000,184000,0,135582000.0,25966000.0,635999000,452483000,12279000,35863000.0,92006000,30655000,-592000,77898000.0,479000.0,30027000,5569000,22451000.0,1437197000,4977000,,4977000,1342771000,10105000.0,671929000,4928000,0.139259,14903000,161073383.0,,,,,,,,,,
2004-12-31,759540000,42941000,11146000.0,-12706000,1277000.0,62516000,32003000,837163000.0,154100000,-2156000.0,,,3610000,-47419000,-21683000.0,49049000,645234000,,23174000.0,261365000,114306000,,707522000,,101482000,14618000,,-742000,,0.0,-196433000.0,9020000,-1089000,2908000,37757000,7199000.0,43144000,14686000.0,14447000.0,-15000000,-3822000,0,146871000.0,24155000.0,640730000,489343000,8488000,37944000.0,91584000,30513000,-1367000,80864000.0,476000.0,28144000,4977000,14447000.0,1491483000,3610000,,3610000,1390001000,9266000.0,711514000,4799000,,17046000,,,,,,,,,,,
2005-03-31,782431000,34635000,-3018000.0,16184000,2709000.0,70232000,38342000,845205000.0,165517000,-2401000.0,,,3721000,-19298000,-44941000.0,53407000,667026000,0.118519,33513000.0,280724000,115405000,164965622.0,695022000,,96171000,17242000,,1089000,,0.0,-196433000.0,17753000,-31000,-33457000,47105000,9285000.0,52866000,19359000.0,19359000.0,-14315000,226000,0,148516000.0,25379000.0,648772000,500757000,11467000,44398000.0,95285000,31890000,111000,78856000.0,468000.0,38551000,3610000,19359000.0,1502160000,3721000,,3721000,1405989000,10993000.0,710112000,4934000,0.121481,15065000,160266606.0,,,,,,,,,,
2005-06-30,807950000,40841000,-1079000.0,59000,1946000.0,76649000,43627000,848245000.0,180265000,-2940000.0,,,7397000,-23092000,-26160000.0,60222000,686777000,0.13037,38117000.0,302132000,121173000,163886172.0,708058000,,112544000,17096000,,-287000,,0.0,-196433000.0,18490000,-6751000,-17850000,42740000,14528000.0,44618000,21786000.0,21408000.0,-19956000,77000,1919000,169598000.0,27074000.0,651812000,498689000,12905000,41546000.0,103616000,33022000,3676000,87016000.0,475000.0,24662000,3721000,21408000.0,1541201000,7397000,,7397000,1428657000,9793000.0,734105000,5575000,0.136296,16595000,157706061.0,,,,,,,,,,
2005-09-30,906211000,46837000,-717000.0,7262000,2838000.0,80696000,46480000,872638000.0,188745000,-3185000.0,,,6734000,-87657000,-20816000.0,63777000,766280000,0.151111,40502000.0,326606000,139931000,162413791.0,715860000,,120202000,17686000,,-303000,,0.0,-196433000.0,19719000,6739000,34682000,43902000,1403000.0,52312000,24475000.0,24475000.0,-27147000,253000,0,170429000.0,29155000.0,676205000,576132000,12869000,49001000.0,108049000,34216000,-663000,93305000.0,463000.0,25165000,7397000,24475000.0,1647237000,6734000,,6734000,1527035000,14938000.0,806928000,6033000,0.157037,17297000,157017524.0,,,,,,,,,,
2005-12-31,931750000,54795000,4022000.0,3653000,2723000.0,77377000,39280000,952713000.0,188445000,-1960000.0,,,7514000,-43225000,-21957000.0,57362000,781749000,,20136000.0,345308000,150001000,,718200000,,124376000,20471000,,-694000,,0.0,-252205000.0,20478000,-100000,-6011000,40652000,3500000.0,50016000,18702000.0,18702000.0,-36064000,108000,0,175167000.0,30957000.0,700508000,586104000,10706000,44522000.0,111068000,38097000,780000,94438000.0,459000.0,13952000,6734000,18702000.0,1676307000,7514000,,7514000,1551931000,19727000.0,810771000,6946000,,18082000,,,,,,,,,,,
2006-03-31,975145000,44783000,3679000.0,-4443000,7053000.0,77106000,39155000,957572000.0,190169000,-2058000.0,,,7847000,-24218000,-80586000.0,62150000,837963000,0.097778,24957000.0,361031000,137182000,160617856.0,676393000,,119286000,19801000,725139000.0,-668000,,0.0,-252205000.0,14919000,-2954000,-13305000,41821000,17361000.0,37856000,15723000.0,15723000.0,-19966000,-3911000,0,178995000.0,30947000.0,705367000,644049000,9234000,45647000.0,113063000,37951000,333000,89313000.0,445000.0,17890000,7514000,15723000.0,1678548000,7847000,,7847000,1559262000,15805000.0,86935000,7494000,0.100741,22995000,154134714.0,,,,,,,,,,
2006-06-30,1007687000,56794000,2347000.0,14982000,8290000.0,80396000,40803000,980052000.0,206970000,,,,7727000,-60198000,-7158000.0,60047000,851922000,0.121481,30878000.0,380231000,155765000,158237631.0,700394000,,131598000,20621000,744843000.0,-185000,,0.0,-252205000.0,15365000,-7963000,1938000,43535000,7555000.0,58140000,19200000.0,19200000.0,-29072000,-225000,3536000,183970000.0,32484000.0,727847000,652587000,11678000,55937000.0,126574000,39593000,-120000,99402000.0,456000.0,29068000,7847000,19200000.0,1735566000,7727000,,7727000,1603968000,7014000.0,87743000,6619000,0.127407,19244000,152463650.0,,,,,,,,,,
2006-09-30,1006830000,57446000,5498000.0,5054000,3639000.0,87838000,47531000,982946000.0,216547000,,1303000.0,,10527000,-24177000,-12501000.0,67090000,842769000,0.139259,36381000.0,402104000,164061000,157265404.0,707331000,,136908000,21424000,748686000.0,61000,,0.0,-252205000.0,16061000,10508000,-29367000,39114000,1132000.0,56344000,21873000.0,21873000.0,-24765000,330000,0,188666000.0,32404000.0,730741000,638042000,14508000,64407000.0,128709000,40307000,2800000,102155000.0,453000.0,31579000,7727000,21873000.0,1742426000,10527000,,10527000,1605518000,9804000.0,86977000,7572000,0.142222,19559000,153530883.0,,,,,,,,,,
2006-12-31,1009417000,53010000,15061000.0,-5899000,3067000.0,86248000,43897000,1053616000.0,210668000,,-1650000.0,,34949000,-25957000,0.0,63202000,859552000,,33536000.0,422731000,149865000,,736482000,,160233000,22695000,750397000.0,-843000,,0.0,-317188000.0,16712000,-18615000,-1515000,40735000,6098000.0,51894000,20627000.0,20627000.0,-22716000,-750000,0,205532000.0,32161000.0,736428000,637308000,12909000,57810000.0,124420000,42351000,24422000,100269000.0,455000.0,29178000,10527000,20627000.0,1773891000,34949000,,34949000,1613658000,6884000.0,86098000,7285000,,19305000,,,,,,,,,,,
2007-03-31,1028832000,53189000,2852000.0,13061000,1651000.0,90082000,46422000,1100236000.0,218951000,,-344000.0,,21264000,-72890000,-5414000.0,66494000,867511000,0.142222,35815000.0,447782000,161321000,158811966.0,763979000,,152223000,23910000,761454000.0,-1098000,,0.0,-317188000.0,26890000,-192000,-1709000,38802000,6513000.0,60914000,22380000.0,22380000.0,-36147000,-109000,0,204158000.0,36228000.0,783048000,636463000,13435000,64806000.0,128869000,43660000,-13685000,104082000.0,685000.0,24767000,34949000,22380000.0,1821291000,21264000,,21264000,1669068000,7098000.0,85764000,7818000,0.146667,20072000,154047057.0,,,,,,,,,,
2007-06-30,1038138000,54412000,889000.0,-674000,2970000.0,99510000,53758000,1108305000.0,241084000,,-4534000.0,,9971000,-32886000,-46480000.0,75167000,873580000,0.16,41698000.0,473046000,164558000,158906443.0,766409000,,150891000,24790000,765557000.0,-137000,,0.0,-317188000.0,29303000,8192000,-24771000,40143000,14569000.0,46364000,25266000.0,25266000.0,-28362000,333000,5838000,208425000.0,38312000.0,791117000,635852000,16432000,59339000.0,141574000,45752000,-11293000,113442000.0,680000.0,18002000,21264000,25266000.0,1833237000,9971000,,9971000,1682346000,6657000.0,85529000,8295000,0.164444,21409000,154333066.0,,,,,,,,,,
2007-09-30,1119663000,58498000,4243000.0,2833000,181000.0,104985000,57104000,1173060000.0,250775000,,93000.0,,13089000,-76289000,-12144000.0,80034000,930702000,0.182222,44038000.0,501727000,188961000,157204784.0,786913000,,165076000,25782000,784948000.0,-27000,,0.0,-317188000.0,30759000,-2903000,16620000,39128000,3747000.0,62787000,28682000.0,28682000.0,-31597000,-77000,6495000,212348000.0,41620000.0,855872000,687595000,15356000,70250000.0,145790000,47881000,3118000,124616000.0,679000.0,31190000,9971000,28682000.0,1935276000,13089000,,13089000,1770200000,12098000.0,90252000,8717000,0.186667,22930000,153050820.0,,,,,,,,,,
