date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1989-04-30,,44900000.0,,,0.0,,,434200000,0.0175,4400000.0,-265700000.0,,9000000.0,56500000.0,56500000.0,,,,,,,,560000000.0,0.0,526300000,,,,522300000.0,526300000,256600000.0,163400000.0,,,,,,526300000,,66400000.0,423700000.0,0.0,350400000,,172400000,,0.0175,673000000,9800000,322600000.0,7600000.0,,,,238800000.0,21100000.0,,,526300000,9800000,9800000,560000000.0,0.0,0.0,183300000.0,39300000.0,19500000.0,,,,,,,,,,
1989-07-31,,44600000.0,,23200000.0,0.0,101800000.0,,444800000,0.025,3800000.0,-273000000.0,,13000000.0,50200000.0,50200000.0,1100000.0,,,,,,,572000000.0,0.0,564000000,,,,526100000.0,564000000,253100000.0,169700000.0,8900000.0,,,,,564000000,,66200000.0,433500000.0,0.0,375500000,92600000.0,182700000,,0.025,693700000,14300000,318200000.0,8200000.0,,,,248900000.0,20500000.0,,,564000000,14300000,14300000,572000000.0,0.0,0.0,202500000.0,38700000.0,19300000.0,,-539700000.0,,439100000.0,,,,,,
1989-10-31,,44300000.0,,49600000.0,0.0,104500000.0,,470900000,,4200000.0,-267500000.0,,1200000.0,78300000.0,78300000.0,800000.0,,,,,,,,0.0,699100000,,,,511900000.0,49200000,244400000.0,186800000.0,17300000.0,,,,,57300000,,68500000.0,461300000.0,0.0,417000000,96400000.0,188000000,,,727400000,32300000,310400000.0,9300000.0,,,,256500000.0,21700000.0,,,153700000,32300000,32300000,,0.0,0.0,165000000.0,40000000.0,19200000.0,,1100000.0,,545400000.0,,,,,,
1990-01-31,,44000000.0,,22400000.0,0.0,111600000.0,,480700000,0.025,3100000.0,-272500000.0,,1200000.0,65500000.0,65500000.0,1400000.0,,,,,,,576000000.0,0.0,620500000,,,,514100000.0,22500000,241600000.0,166400000.0,8000000.0,,,,,31200000,,67200000.0,470500000.0,0.0,407600000,102900000.0,167600000,,0.025,715500000,14400000,307900000.0,10100000.0,,,,234800000.0,22300000.0,,,134100000,14400000,14400000,576000000.0,0.0,0.0,188200000.0,38200000.0,18900000.0,,1300000.0,,486400000.0,,,,,,
1990-04-30,,43700000.0,,22000000.0,0.0,114400000.0,,489900000,0.0225,3400000.0,-277200000.0,,1200000.0,67200000.0,67200000.0,600000.0,,,,,,,613333333.0,0.0,633100000,,,,516700000.0,633100000,239500000.0,159600000.0,8200000.0,,,,,633100000,,66700000.0,479100000.0,0.0,411000000,105600000.0,160800000,,0.0225,717400000,13800000,306400000.0,11200000.0,,,,227500000.0,23200000.0,,,633100000,13800000,13800000,613333333.0,0.0,0.0,207400000.0,37200000.0,18300000.0,,-610500000.0,,497000000.0,,,,,,
1990-07-31,,43400000.0,,19800000.0,0.0,104000000.0,,498100000,0.02,3500000.0,-283100000.0,,1100000.0,61300000.0,61300000.0,500000.0,,,,,,,630000000.0,0.0,654700000,,,,521500000.0,654700000,238400000.0,162100000.0,7200000.0,,,,,654700000,,67900000.0,486300000.0,0.0,428900000,96200000.0,163200000,,0.02,729200000,12600000,300300000.0,11900000.0,,,,231100000.0,18500000.0,,,654700000,12600000,12600000,630000000.0,0.0,0.0,229700000.0,37800000.0,18200000.0,,-634400000.0,,531200000.0,,,,,,
1990-10-31,,47600000.0,,57100000.0,0.0,111600000.0,,513800000,,5800000.0,-278900000.0,,1800000.0,102400000.0,102400000.0,800000.0,,,,,,,,0.0,772800000,,,,513900000.0,56300000,235000000.0,191300000.0,20800000.0,,,,,65300000,,92500000.0,503900000.0,0.0,486900000,102600000.0,193100000,,,799400000,36300000,312500000.0,41400000.0,,,,285600000.0,29900000.0,,,167900000,36300000,36300000,,0.0,0.0,184300000.0,26600000.0,24500000.0,,1600000.0,,604900000.0,,,,,,
1991-01-31,,47200000.0,,32700000.0,0.0,119000000.0,,528300000,0.035,4000000.0,-284500000.0,,1700000.0,139100000.0,139100000.0,900000.0,,,,,,,582857143.0,0.0,701200000,,,,516000000.0,31700000,231500000.0,196900000.0,12300000.0,,,,,40600000,,92400000.0,516700000.0,0.0,510500000,110100000.0,198600000,,0.035,819300000,20400000,308800000.0,41600000.0,,,,291000000.0,30100000.0,,,150700000,20400000,20400000,582857143.0,0.0,0.0,194500000.0,25100000.0,25700000.0,,1900000.0,,550500000.0,,,,,,
1991-04-30,,46200000.0,,26800000.0,0.0,119400000.0,,538500000,0.0275,4000000.0,-291500000.0,,1600000.0,137600000.0,137600000.0,700000.0,,,,,,,603636364.0,0.0,697000000,,,,524600000.0,697000000,233100000.0,178300000.0,10200000.0,,,,,697000000,,90900000.0,524400000.0,0.0,500200000,110400000.0,179900000,,0.0275,809300000,16600000,309100000.0,42400000.0,,,,270800000.0,29800000.0,,,697000000,16600000,16600000,603636364.0,0.0,0.0,215200000.0,23400000.0,25100000.0,,-669500000.0,,551900000.0,,,,,,
1991-07-31,,45800000.0,,21000000.0,0.0,110400000.0,,542900000,0.0225,3700000.0,-296900000.0,,1100000.0,142600000.0,142600000.0,900000.0,,,,,,,568888889.0,0.0,677400000,,,,531100000.0,677400000,234200000.0,181900000.0,8200000.0,,,,,677400000,,90000000.0,529800000.0,0.0,506200000,101500000.0,183000000,,0.0225,815900000,12800000,309700000.0,43400000.0,,,,273000000.0,29700000.0,,,677400000,12800000,12800000,568888889.0,0.0,0.0,215000000.0,21700000.0,24900000.0,,-655500000.0,,546500000.0,,,,,,
