date,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid
2001-03-31,5957000,0.041538,,,15081000,-422000.0,20262000.0,-19889000.0,-161000.0,-578000.0,68808000.0,37315000.0,-6753000.0,78220000.0,63147000,137324301.0,11515000,,118310000.0,51850000.0,147751000.0,0.0,-2275000.0,4004000.0,10824000.0,17291000.0,19642000.0,37020000.0,,26370000.0,45856000.0,5957000,5957000,24679000.0,173018000.0,-183000.0,,,5315000.0,87464000.0,549000.0,29877000.0,-3417000.0,-30846000.0,57577000.0,20262000.0,,139666227.0,12258000.0,34341000.0,520000.0,6544000.0,9479000.0,1100000.0,4102000.0,6662000.0,492000.0,0.041538,-19284000.0,12531000.0,11272000.0,,251238000.0,2588000.0,,-3746000.0,103487000.0,,,3566000.0,17107000.0,-7224000.0,24008000.0,1451000.0,,,
2001-06-30,11335000,0.083077,,,18500000,-1501000.0,17759000.0,-25417000.0,-1538000.0,1833000.0,80151000.0,35298000.0,-9312000.0,87281000.0,66047000,137526523.0,14753000,,141844000.0,51456000.0,146991000.0,0.0,-559000.0,9529000.0,15408000.0,20272000.0,21346000.0,38885000.0,,35825000.0,45775000.0,11335000,11335000,23984000.0,184607000.0,2000.0,,,5488000.0,110998000.0,549000.0,29817000.0,1714000.0,-30846000.0,53057000.0,17759000.0,,139659486.0,6494000.0,31022000.0,171000.0,6172000.0,7727000.0,-1100000.0,123000.0,7038000.0,1525000.0,0.083077,-29135000.0,19823000.0,16823000.0,,271888000.0,2750000.0,,-2503000.0,124897000.0,,,3747000.0,20257000.0,-10931000.0,20262000.0,1454000.0,,,
2001-09-30,6193000,0.041538,,,14058000,-967000.0,11297000.0,-16947000.0,-332000.0,-7876000.0,86344000.0,23282000.0,-19410000.0,91474000.0,63343000,141344912.0,9981000,,136310000.0,52301000.0,138039000.0,0.0,-858000.0,8565000.0,19220000.0,19970000.0,23651000.0,42006000.0,,39173000.0,43373000.0,6193000,6193000,27167000.0,198187000.0,-1708000.0,,,3706000.0,136310000.0,549000.0,32333000.0,-315000.0,,34579000.0,11297000.0,,141344912.0,7580000.0,33392000.0,213000.0,5915000.0,9397000.0,3600000.0,7516000.0,6125000.0,782000.0,0.041538,-24859000.0,5449000.0,9899000.0,,289661000.0,4074000.0,10470000.0,-6462000.0,151622000.0,,,4077000.0,16615000.0,-7162000.0,17759000.0,1455000.0,,,
2001-12-31,10934000,,,,20796000,-190000.0,56460000.0,-28545000.0,242000.0,768000.0,97278000.0,22512000.0,-8505000.0,143993000.0,71233000,,17127000,,203091000.0,57883000.0,177331000.0,0.0,-234000.0,4927000.0,70720000.0,22140000.0,20235000.0,39955000.0,,86110000.0,49093000.0,10934000,10934000,25022000.0,212975000.0,-431000.0,,,7387000.0,160365000.0,,31883000.0,1061000.0,-42726000.0,78972000.0,56460000.0,,,8542000.0,31966000.0,87000.0,7140000.0,10328000.0,0.0,54504000.0,6944000.0,1290000.0,,-28789000.0,20284000.0,18321000.0,,356968000.0,8434000.0,792000.0,45163000.0,179637000.0,,,3669000.0,20262000.0,-8878000.0,11297000.0,1458000.0,,,
2002-03-31,9506000,0.072692,,,20292000,,42949000.0,-19786000.0,4603000.0,-10327000.0,106784000.0,21328000.0,-11768000.0,144508000.0,70530000,138269931.0,15712000,,217920000.0,60720000.0,171440000.0,0.0,-4184000.0,4950000.0,68852000.0,21045000.0,21351000.0,46040000.0,,83788000.0,49485000.0,9506000,9506000,27337000.0,221286000.0,-461000.0,,,5498000.0,175194000.0,,35535000.0,-395000.0,-42726000.0,64277000.0,42949000.0,,139796227.0,6698000.0,33773000.0,651000.0,7269000.0,10087000.0,0.0,-1155000.0,6436000.0,1123000.0,0.072692,-20579000.0,8811000.0,15004000.0,,365794000.0,6179000.0,1187000.0,-13511000.0,194354000.0,,,4580000.0,22075000.0,-11253000.0,56460000.0,1460000.0,,,
2002-06-30,4574000,0.031154,,,19308000,,39497000.0,-29179000.0,-1421000.0,-6754000.0,111358000.0,18133000.0,-13592000.0,172689000.0,72747000,139287783.0,12200000,,240681000.0,69946000.0,185938000.0,0.0,-4718000.0,3318000.0,88389000.0,24355000.0,24827000.0,49992000.0,,102743000.0,48392000.0,4574000,4574000,29449000.0,260568000.0,-514000.0,,,3314000.0,197955000.0,,46142000.0,-4116000.0,-42726000.0,57630000.0,39497000.0,,140511709.0,10251000.0,36192000.0,520000.0,38855000.0,8705000.0,0.0,12040000.0,6743000.0,918000.0,0.031154,-19168000.0,5576000.0,7888000.0,,433257000.0,9907000.0,3188000.0,-3452000.0,247319000.0,,,7108000.0,20453000.0,128000.0,42949000.0,1476000.0,,,
2002-09-30,7289000,0.051923,,,19302000,-1000.0,51786000.0,-1326000.0,1904000.0,-2264000.0,118647000.0,11915000.0,5680000.0,175717000.0,76882000,140040820.0,12945000,,242772000.0,68474000.0,192063000.0,0.0,-3881000.0,3738000.0,92789000.0,26453000.0,25994000.0,46921000.0,,107243000.0,50429000.0,7289000,7289000,30174000.0,266801000.0,-644000.0,,,4700000.0,200046000.0,,49903000.0,-550000.0,-42726000.0,63701000.0,51786000.0,,140569486.0,6634000.0,37484000.0,577000.0,39367000.0,9238000.0,0.0,1765000.0,7310000.0,206000.0,0.051923,-7805000.0,13485000.0,11989000.0,,442518000.0,12309000.0,6188000.0,12289000.0,250455000.0,,,6357000.0,18377000.0,-1421000.0,39497000.0,1477000.0,,,
2002-12-31,1773000,,,,22613000,0.0,44893000.0,-14501000.0,-59000.0,5033000.0,120420000.0,11530000.0,-2770000.0,191480000.0,78448000,,15949000,,279169000.0,81488000.0,193042000.0,0.0,-5400000.0,3152000.0,95733000.0,24655000.0,28031000.0,51451000.0,,109992000.0,53793000.0,1773000,1773000,30156000.0,263031000.0,-2186000.0,,,2211000.0,211913000.0,,56113000.0,-11554000.0,-67256000.0,56423000.0,44893000.0,,,3274000.0,37844000.0,817000.0,38319000.0,8211000.0,0.0,-6527000.0,7688000.0,83000.0,,-11584000.0,8814000.0,3984000.0,,454511000.0,20487000.0,395000.0,-6893000.0,261469000.0,,,6664000.0,23661000.0,6586000.0,51786000.0,1478000.0,,,
2003-03-31,10995000,0.083077,,,23526000,-6000.0,51228000.0,-6544000.0,1445000.0,-14529000.0,131415000.0,11525000.0,-2019000.0,201108000.0,79586000,140172746.0,17659000,,284414000.0,85809000.0,208360000.0,0.0,-3651000.0,5064000.0,98916000.0,25546000.0,27867000.0,51685000.0,,115299000.0,54040000.0,10995000,10995000,28871000.0,275907000.0,-279000.0,,,4461000.0,217158000.0,,61121000.0,-1379000.0,-67256000.0,62753000.0,51228000.0,,140707190.0,10827000.0,36381000.0,1044000.0,37330000.0,11712000.0,0.0,6513000.0,7510000.0,77000.0,0.083077,-6627000.0,4608000.0,15456000.0,,477015000.0,19585000.0,,6335000.0,268655000.0,,,5867000.0,20670000.0,8302000.0,44893000.0,1479000.0,,,
2003-06-30,11103000,0.083077,,,23861000,0.0,51639000.0,-5759000.0,3109000.0,-6886000.0,142518000.0,11527000.0,8722000.0,193402000.0,86251000,140232449.0,17319000,,291302000.0,74932000.0,208635000.0,0.0,-1304000.0,4771000.0,101978000.0,30162000.0,25431000.0,52110000.0,,118470000.0,56089000.0,11103000,11103000,31148000.0,292005000.0,-564000.0,,,5998000.0,224046000.0,,62947000.0,628000.0,-67256000.0,63166000.0,51639000.0,,141304227.0,2589000.0,38770000.0,1066000.0,37765000.0,12360000.0,0.0,-8788000.0,7622000.0,237000.0,0.083077,-5761000.0,14483000.0,17101000.0,,485407000.0,20594000.0,,411000.0,276772000.0,,,6542000.0,18653000.0,12953000.0,51228000.0,1479000.0,,,
