date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
2007-10-31,121693000.0,272394000.0,55669000.0,9494000.0,,16089000.0,,140156000.0,230658000.0,0.05,-34694000.0,55038000.0,66655000.0,60103000.0,608000,503052000.0,,624000.0,,0.0,41962000.0,1307000.0,4206000,4206000,3512000.0,68079000.0,219453000.0,0.0,305309000.0,-70894000.0,-31759000.0,12476000.0,573000.0,197743000.0,0.06,,60103000.0,,,,,10179000.0,,0.0,3512000.0,3512000.0,0.0,-285000.0,3165000.0,85985000.0,-17146000.0,,,35041000.0,-31759000.0,7976000,208235000,-2935000.0,-117410000.0,347000.0,,,183616000.0,343943000.0,-4834000.0,17470000,6669000.0,,2463000.0,457000.0,226533000.0,-82728000.0,,124089000.0,0.0,,
2008-01-31,146005000.0,228944000.0,59783000.0,10906000.0,,20643000.0,0.0,212322000.0,240469000.0,,22566000.0,74770000.0,71235000.0,73082000.0,13604000,469413000.0,,33000.0,,0.0,,1077000.0,13604000,13604000,3789000.0,97022000.0,176109000.0,0.0,257910000.0,43344000.0,-27218000.0,,574000.0,211503000.0,,,73082000.0,,,,,,,0.0,3789000.0,3789000.0,0.0,-719000.0,3512000.0,52122000.0,27737000.0,,,-22289000.0,-27218000.0,23940000,309344000,49784000.0,-140749000.0,277000.0,,,111905000.0,377138000.0,-1000.0,34846000,22863000.0,,9259000.0,615000.0,236389000.0,-69124000.0,,-91000.0,0.0,,
2008-04-30,166802000.0,267636000.0,56490000.0,12018000.0,,19533000.0,,165377000.0,259203000.0,0.07,-31962000.0,86391000.0,80411000.0,65837000.0,4275000,526839000.0,,1024000.0,,0.0,18143000.0,915000.0,4275000,4275000,3975000.0,73921000.0,212564000.0,0.0,307943000.0,-36455000.0,-30545000.0,58980000.0,578000.0,218896000.0,0.08,,65837000.0,,,,,56956000.0,,0.0,3975000.0,3975000.0,0.0,-576000.0,3789000.0,66508000.0,-17345000.0,,,32148000.0,-30545000.0,8084000,239298000,-1417000.0,-140749000.0,186000.0,,,141141000.0,395872000.0,,20102000,7169000.0,,2894000.0,-492000.0,255123000.0,-64849000.0,,1360000.0,0.0,,
2008-07-31,179681000.0,251209000.0,57239000.0,12336000.0,,19164000.0,,175965000.0,282458000.0,0.06,-15056000.0,86390000.0,93291000.0,65939000.0,3688000,533667000.0,,18000.0,,0.0,31766000.0,1016000.0,3688000,3688000,3255000.0,73146000.0,197028000.0,0.0,309316000.0,15536000.0,-37527000.0,59012000.0,580000.0,224351000.0,0.06,,65939000.0,,,,,57435000.0,,0.0,3255000.0,3255000.0,0.0,-476000.0,3975000.0,40630000.0,5387000.0,,,14336000.0,-37527000.0,7207000,249111000,22471000.0,-140749000.0,-720000.0,,,129635000.0,419127000.0,,19543000,6191000.0,,2503000.0,935000.0,278378000.0,-61161000.0,,696000.0,0.0,,
2008-10-31,186516000.0,327112000.0,56330000.0,13265000.0,,20488000.0,,175368000.0,296200000.0,0.09,-20108000.0,86390000.0,100126000.0,69869000.0,5017000,623312000.0,,523000.0,,0.0,51590000.0,1124000.0,5017000,5017000,3648000.0,79475000.0,268928000.0,0.0,392204000.0,-71900000.0,-28536000.0,59013000.0,582000.0,231108000.0,0.09,,69869000.0,,,,,57591000.0,,0.0,3648000.0,3648000.0,0.0,-513000.0,3255000.0,97768000.0,-10457000.0,,,20501000.0,-28536000.0,9606000,254843000,8428000.0,-140749000.0,393000.0,,,205688000.0,432869000.0,,22871000,8482000.0,,3465000.0,636000.0,292120000.0,-56144000.0,,213000.0,0.0,,
2009-01-31,206951000.0,276708000.0,51202000.0,13826000.0,,,,240002000.0,292224000.0,,31466000.0,88047000.0,0.0,79988000.0,12288000,568932000.0,,209000.0,,0.0,18000000.0,888000.0,12288000,12288000,3638000.0,101392000.0,213602000.0,0.0,323964000.0,55326000.0,-14255000.0,,582000.0,244968000.0,,,79988000.0,,,17616000.0,,,,0.0,3638000.0,3638000.0,0.0,-631000.0,3648000.0,47811000.0,-4048000.0,,101288000.0,-31476000.0,-14255000.0,21404000,341394000,45721000.0,-177399000.0,-10000.0,0.0,,117013000.0,469623000.0,0.0,35230000,20516000.0,,8228000.0,1024000.0,292224000.0,-43856000.0,,248000.0,0.0,,
2009-04-30,209831000.0,284803000.0,43757000.0,15365000.0,,,,189482000.0,286140000.0,0.08,5637000.0,88047000.0,0.0,70389000.0,4920000,570943000.0,,0.0,5689000.0,0.0,12534000.0,671000.0,4920000,4920000,3840000.0,79343000.0,230286000.0,0.0,319622000.0,-16684000.0,-12320000.0,58750000.0,583000.0,251321000.0,0.09,,70389000.0,,,17616000.0,-289750000.0,57743000.0,,0.0,3840000.0,3840000.0,0.0,-524000.0,3638000.0,53500000.0,-3662000.0,,104168000.0,-5435000.0,-12320000.0,8954000,268825000,17957000.0,,202000.0,0.0,1295000.0,109791000.0,,,24319000,8283000.0,,3363000.0,1295000.0,286140000.0,-38936000.0,,31000.0,0.0,,
2009-07-31,168226000.0,259420000.0,53350000.0,15995000.0,,,,195028000.0,288537000.0,0.1,34478000.0,42365000.0,0.0,68275000.0,5750000,547957000.0,,283000.0,-13107000.0,0.0,23086000.0,645000.0,5750000,5750000,3663000.0,78511000.0,209152000.0,0.0,288901000.0,21134000.0,-17436000.0,59045000.0,583000.0,259056000.0,0.1,,68275000.0,,,17616000.0,-312508000.0,57819000.0,,0.0,3663000.0,3663000.0,0.0,-367000.0,3840000.0,40393000.0,28954000.0,,108245000.0,-34655000.0,-17436000.0,10236000,273539000,51914000.0,,-177000.0,3846000.0,1353000.0,120675000.0,,,10236000,9591000.0,,3841000.0,1070000.0,288537000.0,-33186000.0,,192000.0,0.0,,
2009-10-31,155327000.0,327483000.0,57811000.0,15406000.0,,,,193498000.0,293746000.0,0.14,25427000.0,24527000.0,0.0,75854000.0,8460000,621229000.0,,319000.0,77127000.0,0.0,14635000.0,441000.0,8460000,8460000,3795000.0,90545000.0,273978000.0,0.0,350975000.0,-64826000.0,-19634000.0,59376000.0,586000.0,270254000.0,0.15,,75854000.0,,,17616000.0,-327864000.0,57979000.0,,0.0,3795000.0,3795000.0,0.0,-189000.0,3663000.0,117520000.0,19933000.0,,113184000.0,-25295000.0,-19634000.0,14691000,284043000,45061000.0,,132000.0,5682000.0,1566000.0,195648000.0,,,30097000,14250000.0,,5790000.0,1247000.0,293746000.0,-24726000.0,,675000.0,0.0,,
2010-01-31,134670000.0,262774000.0,59189000.0,15400000.0,,,,271714000.0,290861000.0,,39180000.0,0.0,0.0,90378000.0,20226000,553635000.0,,-126000.0,-61133000.0,0.0,0.0,445000.0,20226000,20226000,4017000.0,124650000.0,206948000.0,0.0,261027000.0,67030000.0,-18715000.0,,586000.0,292608000.0,,,90378000.0,,,20952000.0,-337598000.0,,,0.0,4017000.0,4017000.0,0.0,0.0,3795000.0,56387000.0,17515000.0,,113718000.0,-38958000.0,-18715000.0,34272000,396364000,57895000.0,-225646000.0,222000.0,10781000.0,1735000.0,126357000.0,516507000.0,0.0,49672000,33827000.0,,13601000.0,1861000.0,290861000.0,-4500000.0,,330000.0,0.0,,
2010-04-30,135003000.0,281997000.0,54789000.0,15918000.0,,,,215661000.0,285766000.0,0.23,2119000.0,0.0,0.0,81203000.0,13661000,567763000.0,,724000.0,4306000.0,0.0,0.0,118000.0,13661000,13661000,8670000.0,104535000.0,228082000.0,0.0,257225000.0,-21134000.0,-7698000.0,60276000.0,591000.0,310538000.0,0.23,,81203000.0,,,20952000.0,0.0,58306000.0,,0.0,8670000.0,8670000.0,0.0,0.0,4017000.0,60693000.0,-20970000.0,,114051000.0,2534000.0,-7698000.0,23332000,320196000,9817000.0,,4653000.0,6740000.0,1735000.0,122222000.0,,,39250000,23214000.0,,9553000.0,1011000.0,285766000.0,9161000.0,,1810000.0,0.0,,
2010-07-31,141265000.0,297992000.0,68833000.0,15675000.0,,,,217846000.0,301333000.0,0.22,5422000.0,0.0,0.0,81702000.0,13062000,599325000.0,,200000.0,623000.0,0.0,,214000.0,13062000,13062000,15916000.0,103958000.0,224329000.0,0.0,271414000.0,3753000.0,-24886000.0,60672000.0,594000.0,327911000.0,0.22,,81702000.0,,,20952000.0,0.0,58727000.0,,0.0,15916000.0,15916000.0,0.0,0.0,8670000.0,61316000.0,-676000.0,,120313000.0,1824000.0,-24886000.0,22256000,321804000,30308000.0,,7246000.0,0.0,2487000.0,130149000.0,,,37931000,22042000.0,,8980000.0,2287000.0,301333000.0,22223000.0,,1624000.0,0.0,,
2010-10-31,155830000.0,378032000.0,83808000.0,16105000.0,,,,220273000.0,331390000.0,0.23,-11813000.0,0.0,0.0,94614000.0,14203000,709422000.0,,1385000.0,58929000.0,0.0,0.0,244000.0,14203000,14203000,8351000.0,118906000.0,301559000.0,0.0,359883000.0,-77230000.0,-42181000.0,61057000.0,598000.0,349539000.0,0.24,,94614000.0,,,20952000.0,0.0,59063000.0,,0.0,8351000.0,8351000.0,0.0,0.0,15916000.0,120245000.0,-1176000.0,,134878000.0,4248000.0,-42181000.0,24292000,339179000,30368000.0,,-7565000.0,0.0,3177000.0,204053000.0,,,24292000,24048000.0,,9845000.0,1792000.0,331390000.0,36426000.0,,2863000.0,0.0,,
2011-01-31,164598000.0,404389000.0,76264000.0,17238000.0,,,,316973000.0,326099000.0,,83700000.0,,0.0,107682000.0,30104000,730488000.0,,8331000.0,-33152000.0,0.0,,179000.0,30104000,30104000,111185000.0,156686000.0,218516000.0,0.0,327955000.0,83043000.0,-22350000.0,,606000.0,402533000.0,,,107682000.0,,,30026000.0,0.0,,,0.0,111185000.0,111185000.0,0.0,,8351000.0,87093000.0,55662000.0,,134572000.0,19134000.0,-22350000.0,49004000,473659000,106050000.0,-253700000.0,102834000.0,0.0,3756000.0,163357000.0,579799000.0,,66242000,48825000.0,,18721000.0,-4575000.0,326099000.0,66530000.0,,10803000.0,0.0,,
2011-04-30,168443000.0,433660000.0,66488000.0,17510000.0,,,,251101000.0,332147000.0,0.37,-15103000.0,,0.0,95845000.0,23296000,765807000.0,,8736000.0,-5583000.0,0.0,,173000.0,23296000,23296000,116811000.0,134905000.0,255547000.0,0.0,316441000.0,-37031000.0,-19540000.0,62758000.0,616000.0,449366000.0,0.38,,95845000.0,,,29084000.0,,60554000.0,,0.0,116811000.0,116811000.0,0.0,,111185000.0,81510000.0,-29976000.0,-942000.0,139359000.0,20729000.0,-19540000.0,39060000,386006000,4437000.0,,5626000.0,0.0,2808000.0,147998000.0,,,56570000,38887000.0,,15591000.0,23296000.0,332147000.0,89826000.0,,11993000.0,0.0,,
2011-07-31,182208000.0,464272000.0,73745000.0,18890000.0,,,,260280000.0,351576000.0,0.38,23361000.0,,0.0,94627000.0,23905000,815848000.0,,1313000.0,-130000.0,0.0,,147000.0,23905000,23905000,142545000.0,134287000.0,258752000.0,0.0,337816000.0,-3205000.0,-33139000.0,63241000.0,617000.0,478032000.0,0.39,,94627000.0,,,29049000.0,,61126000.0,,0.0,142545000.0,142545000.0,0.0,,116811000.0,81380000.0,12740000.0,-35000.0,153159000.0,2373000.0,-33139000.0,39660000,394567000,56500000.0,,25734000.0,483000.0,2388000.0,155608000.0,,,58550000,39513000.0,,15608000.0,23905000.0,351576000.0,113731000.0,,1060000.0,0.0,,
2011-10-31,190481000.0,556278000.0,81116000.0,19225000.0,,,,263884000.0,373794000.0,0.42,-28493000.0,,0.0,104955000.0,26768000,930072000.0,,8078000.0,52663000.0,0.0,,176000.0,26768000,26768000,130657000.0,149183000.0,354891000.0,0.0,405640000.0,-96139000.0,-45016000.0,63419000.0,623000.0,524432000.0,0.44,,104955000.0,,,29458000.0,,61451000.0,,0.0,130657000.0,130657000.0,0.0,,142545000.0,134043000.0,-25038000.0,409000.0,161023000.0,16605000.0,-45016000.0,44228000,413067000,16523000.0,,-11888000.0,,3027000.0,215159000.0,,,63453000,44052000.0,,17284000.0,26768000.0,373794000.0,140499000.0,,8527000.0,0.0,,
2012-01-31,207658000.0,580232000.0,66792000.0,20306000.0,,26153000.0,,384046000.0,376985000.0,,112486000.0,,0.0,115231000.0,46295000,957217000.0,,7772000.0,-47601000.0,0.0,,91000.0,46295000,46295000,253738000.0,198465000.0,244647000.0,0.0,372513000.0,110244000.0,-30941000.0,,627000.0,584704000.0,,,125218000.0,,,44195000.0,,,,0.0,253738000.0,253738000.0,0.0,,130657000.0,86442000.0,69109000.0,11395000.0,163463000.0,10595000.0,-30941000.0,73247000,582511000,143427000.0,-296369000.0,123081000.0,4002000.0,3382000.0,164855000.0,673354000.0,,93553000,73156000.0,,26861000.0,-4390000.0,376985000.0,186794000.0,,,0.0,,
2012-04-30,215648000.0,673097000.0,77375000.0,20985000.0,,22328000.0,,303186000.0,384904000.0,0.54,-12253000.0,,0.0,110943000.0,34868000,1058001000.0,,16550000.0,25447000.0,0.0,,21000.0,34868000,34868000,266345000.0,170912000.0,332065000.0,0.0,473096000.0,-87418000.0,-24799000.0,64072000.0,634000.0,584905000.0,0.56,3825000.0,113466000.0,,,43675000.0,,62496000.0,,0.0,266345000.0,266345000.0,0.0,,253738000.0,111889000.0,-29392000.0,-513000.0,,24860000.0,-24799000.0,57446000,474098000,12546000.0,,12607000.0,5764000.0,2893000.0,257448000.0,,,78431000,57425000.0,,22557000.0,-13657000.0,384904000.0,159242000.0,,,0.0,,
2012-07-31,229696000.0,617706000.0,80507000.0,21629000.0,,32279000.0,,314058000.0,421063000.0,0.54,-22853000.0,,0.0,106040000.0,34998000,1038769000.0,,11238000.0,-23008000.0,0.0,,104000.0,34998000,34998000,197401000.0,167625000.0,316734000.0,0.0,399084000.0,15331000.0,-46539000.0,64293000.0,638000.0,639685000.0,0.55,-9951000.0,110166000.0,,,43210000.0,,63070000.0,,0.0,197401000.0,197401000.0,0.0,,266345000.0,88881000.0,-24883000.0,-465000.0,,-46091000.0,-46539000.0,57459000,481683000,23686000.0,,-68944000.0,0.0,3453000.0,169388000.0,,,79088000,57355000.0,,22357000.0,-7785000.0,421063000.0,194178000.0,,,0.0,,
2012-10-31,250715000.0,766081000.0,90354000.0,22218000.0,,36649000.0,0.0,320147000.0,467165000.0,0.59,-31466000.0,,0.0,117934000.0,38151000,1233246000.0,,13555000.0,96296000.0,0.0,,39000.0,38151000,38151000,191724000.0,185493000.0,462833000.0,0.0,526246000.0,-146099000.0,-72692000.0,64483000.0,643000.0,707000000.0,0.6,-4370000.0,124186000.0,,,48450000.0,,63484000.0,,0.0,191724000.0,191724000.0,0.0,,197401000.0,185177000.0,-15182000.0,6236000.0,,25789000.0,-72692000.0,61307000,505640000,41226000.0,,-5677000.0,0.0,3375000.0,275531000.0,,-28000.0,83525000,61268000.0,,23117000.0,-10180000.0,467165000.0,232329000.0,,,0.0,,
2013-01-31,267240000.0,789324000.0,82136000.0,23401000.0,,41515000.0,0.0,499191000.0,485925000.0,,116995000.0,,2876000.0,153963000.0,64532000,1275249000.0,,6002000.0,-66291000.0,0.0,,21000.0,64532000,64532000,320475000.0,259644000.0,361125000.0,0.0,488307000.0,101708000.0,-44548000.0,,645000.0,786942000.0,,-4866000.0,155878000.0,,,56361000.0,,,,0.0,320475000.0,320475000.0,0.0,,191724000.0,118886000.0,71899000.0,3415000.0,,11756000.0,-44548000.0,103766000,758835000,161543000.0,-355331000.0,128751000.0,10054000.0,3654000.0,221067000.0,838390000.0,0.0,127167000,103745000.0,,39213000.0,-2348000.0,483059000.0,296861000.0,,,0.0,,
2013-04-30,279786000.0,828615000.0,78847000.0,24779000.0,,29925000.0,,378763000.0,502962000.0,0.65,831000.0,,3795000.0,133048000.0,41826000,1331577000.0,,3901000.0,29602000.0,0.0,,24000.0,41826000,41826000,293214000.0,203949000.0,442085000.0,0.0,527853000.0,-80960000.0,-42004000.0,64495000.0,643000.0,803724000.0,0.66,11590000.0,136254000.0,,,55988000.0,,63842000.0,,0.0,293214000.0,293214000.0,0.0,,320475000.0,148488000.0,-24593000.0,99000.0,,-28092000.0,-42004000.0,67695000,582712000,42835000.0,,-27261000.0,20732000.0,3048000.0,248067000.0,,-37409000.0,92474000,67719000.0,,25893000.0,-853000.0,499395000.0,301355000.0,,,0.0,,
2013-07-31,298785000.0,846787000.0,102007000.0,25968000.0,,30998000.0,,388921000.0,545205000.0,0.7,-14340000.0,,4114000.0,134400000.0,44911000,1391992000.0,,2798000.0,-17750000.0,0.0,,18000.0,44911000,44911000,286210000.0,212077000.0,461156000.0,36000.0,531530000.0,-19071000.0,-56025000.0,64331000.0,645000.0,860462000.0,0.7,-1073000.0,139209000.0,,,55492000.0,,63834000.0,,0.0,286210000.0,286210000.0,51992000.0,,293214000.0,130738000.0,-30809000.0,-531000.0,,7336000.0,-56025000.0,72868000,600998000,41685000.0,,-7004000.0,0.0,4491000.0,232745000.0,,-53000.0,98836000,72886000.0,,27975000.0,1693000.0,541557000.0,346266000.0,,,0.0,,
2013-10-31,319414000.0,941302000.0,97421000.0,26825000.0,,46911000.0,0.0,387120000.0,594045000.0,0.7,-63324000.0,,4629000.0,151306000.0,45430000,1535347000.0,,6653000.0,59455000.0,0.0,,7000.0,45430000,45430000,240916000.0,231661000.0,582303000.0,14000.0,607028000.0,-121147000.0,-78937000.0,64538000.0,647000.0,928319000.0,0.71,-15913000.0,158774000.0,,,55568000.0,,64061000.0,,0.0,240916000.0,240916000.0,0.0,,286210000.0,190193000.0,-56440000.0,710000.0,,18030000.0,-78937000.0,72887000,618781000,15613000.0,,-45294000.0,0.0,4397000.0,287614000.0,,-506000.0,99712000,72894000.0,,27464000.0,-2256000.0,590132000.0,391696000.0,,,0.0,,
2014-01-31,332822000.0,1002697000.0,103180000.0,28711000.0,,47049000.0,0.0,574521000.0,600030000.0,1.09,178534000.0,,4474000.0,177636000.0,70682000,1602727000.0,,26000.0,-41911000.0,0.0,,69000.0,70682000,70682000,419476000.0,293561000.0,457933000.0,0.0,599633000.0,124370000.0,-49058000.0,64607000.0,647000.0,1003094000.0,1.1,-138000.0,179423000.0,,,66718000.0,,64232000.0,,0.0,419476000.0,419476000.0,0.0,,240916000.0,148282000.0,120040000.0,3590000.0,,26000.0,-49058000.0,114138000,868082000,227592000.0,-426920000.0,178560000.0,15349000.0,4067000.0,266811000.0,1022656000.0,0.0,114138000,114207000.0,,43525000.0,4041000.0,595736000.0,462378000.0,,,0.0,,
2014-04-30,337050000.0,1090490000.0,90343000.0,30473000.0,,26722000.0,,467817000.0,608735000.0,0.77,34587000.0,,5352000.0,162443000.0,49953000,1699225000.0,,901000.0,35866000.0,0.0,,200000.0,49953000,49953000,456709000.0,245953000.0,531427000.0,0.0,639469000.0,-73494000.0,-39106000.0,64607000.0,649000.0,1059756000.0,0.78,20327000.0,165072000.0,,,67019000.0,,64273000.0,,0.0,456709000.0,456709000.0,0.0,,419476000.0,184148000.0,-11075000.0,306000.0,,2646000.0,-39106000.0,80881000,713770000,73693000.0,,37233000.0,27928000.0,4063000.0,302419000.0,,-1253000.0,111754000,81081000.0,,31128000.0,3162000.0,603933000.0,512331000.0,,,0.0,,
