date,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentAccruedExpenses
2001-09-30,-48120000,,-239144000.0,8773000.0,4300757000.0,243427000.0,,0.34,243427000.0,83106000,32996000.0,,,104878000,,61600000,,949000.0,86107000,-164202000.0,,4831624000,,84395107.0,,,108326000,,22793000.0,,0.0,135101000,96941000,29452000,,-8672000,,243427000,111312000,-39381000,38961000,-35708000,2205178000,24328000,,,0.35,,35245000.0,-78095000,155457000,,,,4539901000.0,72351000,,,2007801000,,68811000.0,-10629000.0,,,85707000.0,31490000,31577000,96783000.0,1767388000,8796000,,85644840.0,,,,,
2001-12-31,-22497000,,-265653000.0,-6904000.0,4422232000.0,73071000.0,,,73071000.0,64203000,34231000.0,,,-242124000,,-101037000,,2187000.0,36614000,-164782000.0,,4760893000,,,,,-170356000,-10830000.0,-6074000.0,73310000.0,0.0,243427000,96938000,25478000,,54237000,,73071000,108601000,-105933000,18276000,-68454000,2274265000,-66936000,,,,,27640000.0,-128168000,154528000,,,,4687885000.0,90325000,,,2135664000,,70794000.0,-20830000.0,,,71097000.0,32258000,32003000,-174737000.0,1752342000,9640000,,,,,,,
2002-03-31,-76979000,,-289701000.0,-288000.0,4416620000.0,86829000.0,,0.33,86829000.0,76689000,35851000.0,,,-19453000,,-13140000,,868000.0,48244000,-55700000.0,,4781123000,,83319047.0,,,13758000,,-3076000.0,,,73071000,96941000,28370000,,10982000,,86829000,112148000,-21346000,29675000,-2125000,2301001000,-22578000,,,0.33,,21544000.0,-7456000,159162000,,,,4706321000.0,82473000,,,2145433000,,75399000.0,-19502000.0,,,71137000.0,30711000,30495000,-2569000.0,1748707000,9945000,,84781872.0,,,,,
2002-06-30,-80476000,,-311058000.0,2768000.0,4555197000.0,109153000.0,,0.31,109153000.0,79577000,37217000.0,,,38161000,,89890000,,4047000.0,75828000,-168653000.0,,4937280000,,83710208.0,,,22324000,,-13000.0,,-31000.0,86829000,96942000,26725000,,9010000,,109153000,110218000,-143394000,31972000,-36591000,2366847000,6188000,,,0.32,,13535000.0,-92825000,157823000,,,,4866255000.0,78246000,,,2204218000,,80366000.0,6201000.0,,,64083000.0,28418000,28850000,12704000.0,1746009000,10762000,,85529416.0,,,,,
2002-09-30,-60605000,,-344949000.0,618000.0,4644161000.0,76094000.0,,0.3,76094000.0,86783000,38661000.0,,,56555000,,-16128000,,9759000.0,88379000,-145036000.0,,4942589000,,83723897.0,,,-33059000,,-11231000.0,,-8000.0,109153000,96836000,25363000,,12412000,,76094000,111946000,-105310000,33539000,-36665000,2389215000,15354000,,,0.3,,4317000.0,-56657000,164980000,,,,4989110000.0,78197000,,,2200139000,,81003000.0,26585000.0,,,64822000.0,39536000,27074000,583000.0,1738453000,12376000,,85527829.0,,,,,
2002-12-31,-220308000,,-362540000.0,5723000.0,4671313000.0,89332000.0,,,89332000.0,76404000,35057000.0,,,-9807000,,-14691000,,69661000.0,76350000,-193702000.0,,4992494000,,,,,13238000,-58781000.0,6051000.0,140503000.0,31000.0,76094000,96814000,35887000,,-1096000,,89332000,96579000,-48421000,39477000,-36704000,2417077000,-371000,,,,,6572000.0,-117352000,133506000,,,,5033853000.0,57102000,,,2235361000,,74207000.0,-6422000.0,,,64428000.0,22045000,38010000,351704000.0,1684150000,13000000,,,,,,,
2003-03-31,-230688000,,-382900000.0,7429000.0,4546583000.0,134793000.0,,0.69,134793000.0,87583000,37180000.0,,,-7086000,,-168508000,,1179000.0,76805000,-77432000.0,,4905322000,,81097725.0,,,45461000,-20562000.0,-2570000.0,146609000.0,134000.0,89332000,96809000,57255000,,-21282000,,134793000,110615000,137164000,35173000,-37728000,2317592000,3536000,,,0.71,,28311000.0,-627000,163025000,,,,4929483000.0,75442000,,,2129542000,,76056000.0,6106000.0,,,67754000.0,38262000,59378000,1307000.0,1687101000,12174000,,82514156.0,,,,,
2003-06-30,-92173000,,-412990000.0,,4676024000.0,68419000.0,,0.19,68419000.0,88871000,36645000.0,,,125322000,,56957000,,2803000.0,48356000,-172379000.0,,4976264000,,81015506.0,,,-66374000,0.0,861000.0,125929000.0,236000.0,134793000,145236000,15931000,,11715000,,68419000,104150000,-171687000,38334000,-33957000,2212085000,-19819000,,,0.2,,10347000.0,-124023000,154687000,,,,5089014000.0,65816000,,,2044464000,,83116000.0,-20680000.0,,,68566000.0,12949000,18126000,125395000.0,1722506000,12170000,,82465984.0,,,,,
2003-09-30,-178611000,,-442755000.0,3546000.0,4672285000.0,128378000.0,,0.26,128378000.0,83447000,35867000.0,,,-167440000,,-31751000,,125203000.0,48553000,-114852000.0,,5045077000,,81096837.0,,,59180000,-107021000.0,-25988000.0,133307000.0,1016000.0,68419000,49038000,21812000,,50307000,,128378000,99304000,42378000,25762000,-42057000,2392770000,-17926000,,,0.27,,0.0,-66299000,150167000,,,,5115040000.0,66720000,,,2213212000,,80927000.0,8062000.0,,,56159000.0,18237000,26953000,-113998000.0,1614144000,10843000,,82720130.0,,,,,
2003-12-31,-140338000,,-474452000.0,18734000.0,5029006000.0,127678000.0,,,127678000.0,93717000,38810000.0,,,-12028000,,255324000,,70884000.0,97822000,-396476000.0,,5420666000,,,,,-2712000,-137422000.0,13094000.0,148019000.0,1505000.0,128378000,104191000,26609000,,7897000,,127678000,96809000,-355858000,34245000,-38497000,2761352000,27122000,,,,,0.0,-298654000,156281000,,,,5503458000.0,62564000,,,2574257000,,88452000.0,14028000.0,,,52009000.0,20830000,29562000,-24667000.0,1666899000,12542000,,,,,,,
2004-03-31,-119944000,,-511611000.0,1709000.0,5228671000.0,123747000.0,,0.19,123747000.0,96742000,39425000.0,,,-7229000,,73753000,,12209000.0,67259000,-174251000.0,-60899000.0,5618950000,,81691434.0,,,-3931000,-161000.0,-2456000.0,167801000.0,540000.0,127678000,104038000,16037000,,12115000,,123747000,107733000,-146625000,38234000,-35149000,2962095000,-1197000,,,0.2,,0.0,-106992000,166241000,,,,5740282000.0,69499000,,,2753481000,,92081000.0,1259000.0,,,54006000.0,18352000,17820000,80178000.0,1662207000,15036000,,84861965.0,,,,,
2004-06-30,-125098000,,-546881000.0,3235000.0,5554816000.0,116757000.0,,0.22,116757000.0,99959000,39961000.0,,,12144000,,186941000,,2024000.0,56838000,-278868000.0,-189441000.0,5950607000,,82071604.0,,,-6990000,,-7198000.0,215835000.0,599000.0,123747000,104030000,18420000,,8310000,,116757000,104547000,-253114000,38253000,-36980000,3271494000,-9283000,,,0.22,,0.0,-222030000,165626000,,,,6101697000.0,65667000,,,3014920000,,96524000.0,-2085000.0,,,52579000.0,17789000,20203000,192157000.0,1648776000,15081000,,84535762.0,,,,,
2004-09-30,-214447000,,-595438000.0,2124000.0,5778869000.0,116378000.0,,0.35,116378000.0,101799000,40324000.0,,,-17143000,,161350000,,5900000.0,108286000,-318617000.0,-50462000.0,6221650000,,82193473.0,,,-379000,,-54000.0,237452000.0,515000.0,116757000,104033000,30266000,,14465000,,116378000,119241000,-271037000,44511000,-36864000,3514340000,27566000,,,0.37,,0.0,-210331000,176529000,,,,6374307000.0,74730000,,,3235990000,,102078000.0,27620000.0,,,48601000.0,21424000,32049000,56336000.0,1639267000,15747000,,85395787.0,,,,,
2004-12-31,-386721000,,-615646000.0,-148336000.0,5997838000.0,109392000.0,,,109392000.0,93945000,39403000.0,,,71613000,,-12339000,,7588000.0,61995000,-224466000.0,,6386943000,,,,,-6986000,0.0,8554000.0,180923000.0,-991000.0,116378000,104036000,56152000,,4309000,,109392000,105695000,-57655000,39028000,-36958000,3519477000,-17296000,,,,,0.0,-162471000,160612000,,,,6613484000.0,66667000,,,3257191000,,109028000.0,-25850000.0,,,55166000.0,22457000,57934000,-264447000.0,1671140000,13250000,,,,,,,
2005-03-31,-231708000,,-652085000.0,-20970000.0,6111234000.0,167781000.0,,0.52,167781000.0,107077000,,,,11286000,,85108000,,10951000.0,47603000,-189934000.0,,6555084000,,83133730.0,,,58389000,,-34222000.0,175217000.0,-2238000.0,109392000,104043000,44984000,,7445000,,167781000,108782000,-72512000,43485000,-37083000,3609286000,-23184000,,,0.54,,8040000.0,-142331000,172374000,,,,6763319000.0,65297000,,,3351127000,,135768000.0,11038000.0,,,,17486000,46767000,-56621000.0,1693855000,18799000,,86516695.0,,,,,
2005-06-30,-100243000,,-683679000.0,-13293000.0,6193225000.0,138962000.0,,0.45,138962000.0,107392000,,,,1540000,,103070000,,5304000.0,33910000,-225109000.0,,6624371000,,83521538.0,,,-28819000,,-5864000.0,160474000.0,-4397000.0,167781000,104045000,39006000,,-12252000,,138962000,110452000,-163585000,45567000,-38785000,3648852000,-35893000,,,0.47,,9992000.0,-191199000,172277000,,,,6876904000.0,64885000,,,3405908000,,173360000.0,-30029000.0,,,,34341000,40789000,187342000.0,1701013000,18629000,,87076011.0,,,,,
2005-09-30,-253591000,,-721892000.0,-35936000.0,6418543000.0,131875000.0,,0.31,131875000.0,108111000,40760000.0,,,4223000,,96145000,,23682000.0,112775000,-289597000.0,,6836237000,,84437568.0,,,-7087000,,13384000.0,173450000.0,-2297000.0,138962000,104057000,27285000,,15048000,,131875000,111782000,-214345000,43242000,-38862000,3814311000,39800000,,,0.32,,,-176822000,175422000,,,,7140435000.0,67311000,,,3551886000,,158000000.0,26416000.0,,,,14448000,29068000,-195824000.0,1723567000,19665000,,88373479.0,,,,,
2005-12-31,-439609000,,-697388000.0,5105000.0,6270250000.0,232881000.0,,,232881000.0,86258000,,,,-320719000,,-386179000,,8535000.0,101527000,-382008000.0,,6802739000,,,,,101006000,,-15677000.0,170307000.0,-2416000.0,131875000,176405000,139144000,,-35046000,,232881000,120351000,390035000,48010000,-39340000,3665305000,-8029000,,,,,101124000.0,-280481000,158599000,,,,6967638000.0,72341000,,,3401561000,,178682000.0,7648000.0,,,,69924000,141183000,634000.0,1916299000,20339000,,,,,,,
2006-03-31,-74884000,,-736760000.0,-33964000.0,6592748000.0,142468000.0,,0.26,142468000.0,113256000,39789000.0,,,44668000,,165557000,,106861000.0,52099000,-339827000.0,,7043563000,,86432895.0,,,-90413000,-154784000.0,271000.0,154894000.0,-1405000.0,232881000,176205000,23384000,,14760000,,142468000,111617000,-309057000,43360000,-42120000,3915544000,-26052000,,,0.27,,84070000.0,-287728000,181513000,,,,7329508000.0,68257000,,,3666395000,,148907000.0,-26323000.0,,,,19630000,27577000,1031000.0,1939402000,23048000,,90179329.0,,,,,
2006-06-30,-387067000,,-774528000.0,11834000.0,6843739000.0,202345000.0,,0.8,202345000.0,119692000,,,,160210000,,278712000,,14719000.0,107848000,-469627000.0,,7336366000,,87317494.0,,,59877000,-21576000.0,13364000.0,162930000.0,373000.0,142468000,176211000,72335000,,-35745000,,202345000,109777000,-334168000,43802000,-44416000,4128109000,35448000,,,0.83,,115873000.0,-361779000,180273000,,,,7618267000.0,60581000,,,3873886000,,127528000.0,22084000.0,,,,57217000,75353000,10286000.0,1978145000,25144000,,90135659.0,,,,,
2006-09-30,-392802000,,-821545000.0,7381000.0,7096109000.0,271193000.0,,0.33,154337000.0,145509000,44535000.0,,,180391000,,177785000,,26080000.0,61137000,-363270000.0,,7578361000,,88029033.0,,,-48008000,-19800000.0,-32635000.0,206200000.0,-2155000.0,202345000,224485000,29963000,,-7930000,,154337000,91454000,-281619000,49268000,-44023000,4280356000,-13195000,,,0.34,116856000.0,104789000.0,-302133000,187695000,,,,7917654000.0,42186000,,,3982998000,,143594000.0,19440000.0,,,,32201000,33387000,14510000.0,2060522000,25851000,,91058029.0,,,,,
2006-12-31,-589292000,,-789693000.0,114049000.0,6235373000.0,449144000.0,,,174763000.0,-50554000,35603000.0,,,-527848000,,-138433000,,5941000.0,114771000,-313157000.0,,6713512000,,,,,20426000,0.0,22276000.0,186807000.0,-1778000.0,154337000,224312000,83738000,,-2145000,-16580000.0,174763000,175152000,44284000,43547000,-43707000,3709295000,24044000,,,,274381000.0,147274000.0,-198386000,180918000,,,,7025066000.0,130687000,,,3437415000,,133998000.0,1768000.0,,,,63816000,87755000,-17880000.0,2166657000,30219000,,,,,,,
2007-03-31,-895592000,,-829814000.0,19948000.0,6383534000.0,539240000.0,,0.23,259818000.0,116540000,33865000.0,,,-72534000,,190973000,12192000.0,491411000.0,55960000,-262191000.0,,6976983000,,92265002.0,,,85055000,-12000.0,-15802000.0,192598000.0,-1438000.0,174763000,224408000,21730000,,3071000,,259818000,92749000,-162164000,41025000,-44831000,3553889000,-13974000,,,0.24,279422000.0,119593000.0,-206231000,168007000,,,,7213348000.0,51467000,,,3266517000,,141647000.0,1828000.0,,,,25569000,25682000,-8837000.0,2623368000,29854000,,95098711.0,,,,,
2007-06-30,-417854000,,-854227000.0,111923000.0,6193067000.0,573502000.0,,1.1,223968000.0,116463000,33369000.0,,,13169000,,-13710000,28996000.0,2581000.0,75620000,-308466000.0,,6759264000,,98937407.0,,,-35850000,-102723000.0,-13392000.0,184036000.0,-2068000.0,259818000,224407000,111390000,,-79198000,,223968000,96456000,-90028000,41487000,-55406000,3324415000,-4624000,,,1.13,349534000.0,181215000.0,-232846000,171432000,,,,7047294000.0,54969000,,,3045494000,,166449000.0,8768000.0,,,,117401000,118269000,-69333000.0,2712085000,30260000,,101361013.0,,,,,
2007-09-30,-385034000,,-884336000.0,59679000.0,6346663000.0,657071000.0,,0.69,296799000.0,120243000,28896000.0,,,-84661000,,154139000,48298000.0,157500000.0,85355000,-286794000.0,,7063178000,,98722381.0,,,72831000,-156098000.0,-45454000.0,238886000.0,6040000.0,223968000,224400000,69155000,,-36163000,,296799000,87043000,-185043000,40982000,-54320000,3663830000,10012000,,,0.7,360272000.0,200981000.0,-201439000,166304000,,,,7230999000.0,46061000,,,3330796000,,159269000.0,55466000.0,,,,66795000,73110000,74875000.0,2701066000,35145000,,100914340.0,,,,,
2007-12-31,-213773000,,-916686000.0,35895000.0,6677905000.0,576418000.0,,,220224000.0,22348000,30551000.0,,,-17669000,,88623000,,5004000.0,23608000,-500449000.0,,7262403000,,,,,-76575000,0.0,-7640000.0,210447000.0,11321000.0,296799000,224402000,93249000,,-65829000,,220224000,89777000,-195005000,40232000,-57187000,3801040000,-46599000,,,,356194000.0,244688000.0,-476841000,169841000,,,,7594591000.0,48645000,,,3494844000,,184270000.0,-38959000.0,,,,37097000,97199000,-41339000.0,2763952000,34251000,,,,,,,
2008-03-31,-613718000,,-941413000.0,45151000.0,6912731000.0,623005000.0,,0.39,256620000.0,97809000,30928000.0,,,-34000000,,219518000,17820000.0,484000.0,62444000,-329502000.0,,7689254000,,97750901.0,,,36396000,-87696000.0,-1056000.0,219294000.0,37492000.0,220224000,224388000,38980000,,-2556000,-21007000.0,256620000,120350000,-251325000,41673000,-53389000,4308152000,-18598000,,,0.4,366385000.0,232859000.0,-267058000,176486000,,,,7854144000.0,78677000,,,3986174000,0.0,181910000.0,-17542000.0,176486000.0,,,41490000,42932000,-107600000.0,2690834000,35153000,,99789253.0,,,,,
2008-06-30,-792142000,,,38370000.0,,339755000.0,,0.73,339755000.0,76441000,36555000.0,,206291000.0,33359000,,165007000,,-484000.0,65152000,-358279000.0,,7926792000,0.0,97083044.0,,7314590000.0,83135000,0.0,-39828000.0,270651000.0,30893000.0,256620000,224389000,73067000,,38708000,-12476000.0,339755000,125591000,-145660000,34749000,-98714000,4503715000,-37612000,,,0.75,,255066000.0,-293127000,209299000,612202000.0,326960000.0,,,84750000,0.0,57080000.0,4119675000,48108000.0,209926000.0,2216000.0,161191000.0,4176755000.0,7108299000.0,75919000,77019000,115041000.0,2712595000,34178000,,99432356.0,,,,,
