date,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable
2011-06-30,-0.6,134177000.0,0.0,646155000.0,23308000.0,97757266.0,218725000,6164000.0,-76802000,,-54314000,0,,52531000,231560000,228397000.0,417758000.0,-24619000.0,28217000.0,-22488000,264335000,218000,319380000.0,319380000.0,138736000.0,-58764000,-58903000,,139000,200180000.0,-522826000.0,4318000,,104000.0,-54446000,6926000,,100655000,57199000.0,-0.6,-7483000,0.0,,-3048000,,-58739000,58171000,24344000,3225000.0,,297703000.0,224799000.0,56257000.0,,-50000,77247000,97757266.0,-23122000,319380000,348452000.0,17542000.0,39663000,158967000.0,,-71000,54312000.0,18508000,31192000.0,-58903000,,-58903000,24716000,,,,,
2011-09-30,-0.63,225000000.0,65215000.0,700250000.0,18250000.0,104076830.0,-106052000,6587000.0,-90335000,65060000.0,-68844000,0,-13000.0,54083000,-225000,288129000.0,412121000.0,-28379000.0,28335000.0,-21491000,93609000,-199000,278388000.0,213328000.0,154181000.0,-64991000,-65078000,,87000,259794000.0,-587903000.0,4280000,,104000.0,-60711000,7885000,,319380000,53627000.0,-0.63,2133000,0.0,-24000.0,5058000,,-64477000,57666000,30513000,3536000.0,,406132000.0,288173000.0,2266000.0,,-96000,81701000,104076830.0,-178170000,213328000,294118000.0,24600000.0,40442000,251951000.0,,-594000,49216000.0,17224000,-44374000.0,-65078000,,-65078000,27618000,,,,,
2011-12-31,,268335000.0,91761000.0,713448000.0,9539000.0,,41938000,6805000.0,-81350000,25061000.0,-54262000,43000,0.0,61205000,225000,340610000.0,372838000.0,-32222000.0,30439000.0,-27088000,53773000,-141000,280327000.0,255266000.0,191339000.0,-81377000,-81489000,,112000,310171000.0,-669392000.0,4804000,0.0,104000.0,-76530000,8682000,7916000.0,213328000,56141000.0,,-2807000,0.0,-3000.0,8711000,,-80927000,39375000,39654000,3146000.0,,489403000.0,342393000.0,2345000.0,,-191000,88762000,,15253000,255266000,224045000.0,22237000.0,31540000,298064000.0,,-496000,50082000.0,7835000,29515000.0,-81489000,,-81489000,27557000,,,,,
2012-03-31,-0.86,360517000.0,0.0,761100000.0,13589000.0,104784000.0,-36696000,15705000.0,-118074000,25009000.0,-67987000,65000,,68391000,0,402203000.0,358897000.0,-35058000.0,26029000.0,-50087000,92831000,223000,243579000.0,218570000.0,216930000.0,-89814000,-89873000,,59000,376174000.0,-759265000.0,4163000,-14992000.0,105000.0,-89749000,10711000,20194000.0,255266000,64333000.0,-0.86,-5600000,0.0,-6000.0,-4050000,15000000.0,-88763000,30167000,22232000,3072000.0,,607226000.0,376174000.0,5666000.0,,-429000,98973000,104784000.0,-79440000,218570000,153874000.0,24345000.0,19957000,390296000.0,5942000.0,-1076000,55427000.0,10210000,-11461000.0,-89873000,,-89873000,30582000,,,,,
2012-06-30,-1.0,431792000.0,0.0,776869000.0,11023000.0,105242000.0,-8016000,16114000.0,-122267000,0.0,-61286000,84000,,74854000,0,459743000.0,317126000.0,-38381000.0,26101000.0,-60981000,72180000,853000,210554000.0,210554000.0,251038000.0,-105494000,-105603000,,109000,433642000.0,-864871000.0,4348000,0.0,105000.0,-105410000,12543000,35637000.0,218570000,78601000.0,-1.0,-12838000,0.0,0.0,2567000,25000000.0,-106175000,26653000,25966000,2610000.0,,714654000.0,433642000.0,5377000.0,,-492000,110937000,105242000.0,-19215000,210554000,62215000.0,21330000.0,21891000,463616000.0,14027000.0,691000,66669000.0,4762000,17071000.0,-105603000,,-105603000,36083000,,,,,
2012-09-30,-1.05,465048000.0,138338000.0,809177000.0,9164000.0,105556000.0,-124861000,18550000.0,-163424000,0.0,-68472000,78000,0.0,61901000,0,524636000.0,284541000.0,-45350000.0,26599000.0,-94952000,40179000,301000,85693000.0,85693000.0,334254000.0,-110688000,-110804000,,116000,498037000.0,-975674000.0,7522000,0.0,106000.0,-110610000,12475000,50841000.0,210554000,162025000.0,-1.05,-85594000,0.0,0.0,1858000,0.0,-108460000,50104000,-6060000,2477000.0,,837052000.0,498037000.0,5381000.0,,-763000,99699000,105556000.0,-70088000,85693000,-27875000.0,16642000.0,58865000,502798000.0,75952000.0,-2188000,159048000.0,-8761000,-1616000.0,-110804000,,-110804000,37798000,,,,,
2012-12-31,-0.79,452337000.0,138817000.0,1114190000.0,26842000.0,113763000.0,116197000,25170000.0,-28839000,0.0,-41483000,27000,221496000.0,68832000,-2832000,589422000.0,524768000.0,-57543000.0,27122000.0,-28839000,214445000,-1321000,201890000.0,201890000.0,343180000.0,-90079000,-89932000,14267000.0,-147000,562300000.0,-1065606000.0,12792000,0.0,115000.0,-90052000,14416000,50841000.0,85693000,343180000.0,-0.79,-90694000,0.0,0.0,-17678000,0.0,-90883000,306332000,681000,143781000.0,,989490000.0,562300000.0,140722000.0,,-13858000,114740000,113763000.0,-69408000,201890000,124700000.0,30088000.0,282475000,646310000.0,91900000.0,746000,268504000.0,23857000,3296000.0,-89932000,,-89932000,45908000,,,,,
2013-03-31,0.1,439626000.0,0.0,1143778000.0,46139000.0,114712000.0,12527000,35004000.0,64079000,,-57727000,118000,,54859000,0,617785000.0,525993000.0,-74933000.0,26728000.0,64079000,3684000,390000,214417000.0,214417000.0,475629000.0,11399000,11248000,14150000.0,151000,591057000.0,-1054357000.0,17850000,0.0,115000.0,11517000,14868000,50841000.0,201890000,344915000.0,0.090516,18220000,0.0,,-19297000,0.0,-5584000,561792000,28883000,9024000.0,,975195000.0,591057000.0,130714000.0,,-14219000,101904000,124265000.0,-55236000,214417000,168583000.0,26053000.0,465472000,499566000.0,25661000.0,17091000,237618000.0,96320000,2491000.0,11248000,,11248000,47045000,,,,,
2013-06-30,-0.26,578740000.0,0.0,1887844000.0,113544000.0,118194000.0,531640000,115591000.0,-38194000,,-40515000,20116000,,52312000,341571000,758302000.0,1129542000.0,-94965000.0,31255000.0,-38194000,597007000,7350000,746057000.0,746057000.0,451068000.0,-30201000,-30502000,14029000.0,301000,727047000.0,-1084858000.0,22198000,0.0,121000.0,-10085000,19714000,0.0,214417000,317352000.0,-0.26,-147466000,0.0,,-67405000,0.0,-11792000,405139000,-61010000,98075000.0,,1258418000.0,727047000.0,133716000.0,,-441752000,112275000,118194000.0,-27173000,746057000,629426000.0,39046000.0,304656000,807350000.0,-32082000.0,1668000,254891000.0,100483000,13341000.0,-30502000,,-30502000,59963000,,,,,
2013-09-30,-0.32,660000000.0,0.0,2166209000.0,47580000.0,121862000.0,49059000,212858000.0,102343000,,-76548000,6492000,0.0,56351000,-167000,947443000.0,1218766000.0,-116382000.0,24137000.0,102343000,24215000,-191000,795116000.0,795116000.0,517247000.0,-37718000,-38496000,13837000.0,778000,923306000.0,-1123355000.0,28450000,0.0,123000.0,-31226000,20984000,582502000.0,746057000,376970000.0,-0.32,-229171000,0.0,,65964000,0.0,-30554000,431346000,84842000,195037000.0,,1602044000.0,923306000.0,140277000.0,,-2746000,133422000,121862000.0,-77501000,795116000,564165000.0,55886000.0,328478000,1084797000.0,33743000.0,-740000,347545000.0,102868000,-954000.0,-38496000,,-38496000,77071000,,,,,
2013-12-31,-0.13,586301000.0,0.0,2416930000.0,49109000.0,122802000.0,50773000,294495000.0,129763000,,-89434000,6229000,0.0,68454000,-527000,1150991000.0,1265939000.0,-140142000.0,30072000.0,129763000,10516000,5205000,845889000.0,845889000.0,575374000.0,-14906000,-16264000,13930000.0,1358000,1120919000.0,-1139620000.0,37585000,0.0,123000.0,-8677000,25171000,182000.0,795116000,412221000.0,-0.13,-104853000,0.0,,-1179000,0.0,-13353000,615219000,72280000,273062000.0,,1749809000.0,1120919000.0,163153000.0,6821000.0,-2045000,169943000,122802000.0,-89507000,845889000,667121000.0,68053000.0,458629000,1174435000.0,-27565000.0,4584000,340355000.0,156590000,-71000.0,-16264000,,-16264000,101489000,,,,,
2014-03-31,-0.4,2179785000.0,0.0,4500410000.0,72380000.0,123473000.0,1548019000,361586000.0,60640000,189111000.0,-141364000,11883000,,81544000,-555022000,1344363000.0,3156047000.0,-169335000.0,43245000.0,60640000,1816559000,11054000,2583019000.0,2393908000.0,702458000.0,-48991000,-49800000,13662000.0,809000,1301118000.0,-1189420000.0,44268000,-189111000.0,124000.0,-37108000,37038000,589875000.0,845889000,504452000.0,-0.4,-197734000,0.0,,-23800000,,-43967000,620542000,17309000,323557000.0,,3588355000.0,1301118000.0,198006000.0,5231000.0,-2545000,199095000,123473000.0,-329180000,2393908000,912055000.0,98401000.0,465414000,2885897000.0,78533000.0,6718000,450730000.0,155128000,1295000.0,-49800000,,-49800000,117551000,,,,,
2014-06-30,-0.5,2426819000.0,0.0,5054464000.0,96607000.0,124250000.0,280523000,444095000.0,-1662000,,-175685000,31238000,,107717000,-83556000,1612770000.0,3441694000.0,-204690000.0,45722000.0,-1662000,281492000,24710000,2674910000.0,2674910000.0,833002000.0,-60752000,-61902000,13541000.0,1150000,1567048000.0,-1251327000.0,54715000,-11157000.0,125000.0,-29514000,35784000,593712000.0,2393908000,604985000.0,-0.5,-260398000,0.0,,-24131000,,-28753000,769349000,-66060000,374416000.0,,4102131000.0,1567048000.0,228017000.0,5233000.0,-3101000,241748000,124250000.0,2610000,2674910000,952333000.0,130631000.0,556354000,3269129000.0,55991000.0,-1228000,596927000.0,212995000,321000.0,-61902000,,-61902000,134031000,,,,,
2014-09-30,-0.6,2446422000.0,0.0,5437533000.0,156889000.0,124911000.0,-285885000,523739000.0,-27996000,,-284175000,29062000,0.0,135873000,0,2074619000.0,3362914000.0,-243447000.0,52550000.0,-27996000,33754000,24373000,2370735000.0,2370735000.0,1070989000.0,-70981000,-74708000,13420000.0,3727000,2022069000.0,-1326041000.0,64972000,-5563000.0,125000.0,-41919000,39158000,597626000.0,2674910000,843933000.0,-0.6,-214531000,0.0,,-61241000,0.0,-39129000,851804000,-94685000,415891000.0,,4479439000.0,2022069000.0,227056000.0,5247000.0,-3056000,290980000,124911000.0,-291643000,2370735000,958094000.0,147114000.0,599953000,3408450000.0,36674000.0,-3090000,752492000.0,251851000,-1905000.0,-74708000,,-74708000,155107000,,,,,
2014-12-31,-0.86,2466280000.0,21030000.0,5849251000.0,226604000.0,125497000.0,-482833000,661123000.0,-86402000,,-368661000,28703000,0.0,139565000,1000,2650594000.0,3198657000.0,-292590000.0,54583000.0,-86402000,11325000,17068000,1905713000.0,1905713000.0,1304417000.0,-103910000,-107629000,,3719000,2596011000.0,-1433682000.0,67976000,-10000.0,126000.0,-75207000,44516000,601566000.0,2370735000,1046830000.0,-0.86,-377601000,0.0,,-74486000,0.0,-74838000,956661000,-113389000,483922000.0,,4937541000.0,2596011000.0,257587000.0,,-2477000,336535000,125497000.0,-372231000,1905713000,911710000.0,173052000.0,694964000,3633124000.0,81583000.0,-588000,953675000.0,261697000,-3560000.0,-107629000,,-107629000,196970000,,,,,
2015-03-31,-1.22,2563660000.0,0.0,6120030000.0,200052000.0,125947000.0,-395637000,834588000.0,-131794000,,-426060000,26574000,,167154000,-958000,3198613000.0,2921417000.0,-342386000.0,62361000.0,-131794000,186156000,20803000,1510076000.0,1510076000.0,1335575000.0,-151141000,-154181000,,3040000,3136252000.0,-1587841000.0,77112000,0.0,126000.0,-124567000,43026000,620710000.0,1905713000,1086099000.0,-1.22,-307209000,0.0,-15965000.0,2175000,,-102446000,939880000,-155185000,539324000.0,,5294033000.0,3136252000.0,249476000.0,,-3726000,362519000,125947000.0,-432344000,1510076000,825997000.0,270029000.0,679807000,3958458000.0,-43242000.0,-22305000,1054840000.0,260073000,-6284000.0,-154181000,,-154181000,195365000,,,,,
2015-06-30,-1.45,2670523000.0,67700000.0,6468185000.0,138648000.0,126689000.0,-359403000,983620000.0,-159516000,,-405165000,24352000,,181712000,-4286000,3839564000.0,2628621000.0,-403869000.0,73301000.0,-159516000,218351000,18991000,1150673000.0,1150673000.0,1457586000.0,-181060000,-184227000,,3167000,3766263000.0,-1772068000.0,91389000,0.0,127000.0,-156708000,43301000,632162000.0,1510076000,1184738000.0,-1.45,-399011000,0.0,-14804000.0,60657000,,-170188000,954976000,-130051000,623155000.0,,5752251000.0,3766263000.0,272848000.0,,-10175000,383558000,126689000.0,-422837000,1150673000,715934000.0,296113000.0,741606000,4294665000.0,,13233000,1212279000.0,213370000,-5412000.0,-184227000,,-184227000,201846000,,,,,
2015-09-30,-1.78,2651351000.0,85580000.0,7547497000.0,119964000.0,129006000.0,275363000,1289234000.0,-203340000,,-392403000,29308000,,178791000,-11314000,4548702000.0,2998795000.0,-472769000.0,84166000.0,-203340000,893978000,22593000,1426036000.0,1426036000.0,1553845000.0,-228074000,-229858000,,1784000,4464536000.0,-2001926000.0,110366000,,131000.0,-198766000,56032000,638809000.0,1150673000,1284300000.0,-1.78,-385162000,0.0,-23985000.0,15541000,,-183662000,936789000,-192447000,710378000.0,0.0,6232841000.0,4464536000.0,269545000.0,,-59005000,415158000,129006000.0,-404090000,1426036000,1314656000.0,309730000.0,705293000,4678996000.0,,-15431000,1293717000.0,231496000,-11687000.0,-229858000,,-229858000,236367000,,,,,
2015-12-31,-2.44,2682914000.0,136831000.0,8092460000.0,168965000.0,131100000.0,-229128000,1658720000.0,-29849000,,-411222000,38617000,0.0,190243000,-467000,5300892000.0,2791568000.0,-571126000.0,106155000.0,-29849000,225038000,36049000,1196908000.0,1196908000.0,1622315000.0,-315349000,-320397000,,5048000,5194737000.0,-2322323000.0,143723000,,131000.0,-276732000,55640000,633166000.0,1426036000,1338945000.0,-2.44,-482478000,0.0,-3556000.0,-32106000,,-260333000,1214379000,-15606000,1006896000.0,0.0,7003516000.0,5194737000.0,283370000.0,,-130874000,478897000,131100000.0,-414280000,1196908000,1088944000.0,321592000.0,995815000,5381201000.0,,-17149000,1277838000.0,218564000,-3058000.0,-320397000,,-320397000,288654000,,,,,
2016-03-31,-2.13,3162241000.0,192423000.0,9191702000.0,318056000.0,132676000.0,244881000,2009686000.0,-249605000,,-216859000,40625000,,182482000,-1038000,5952159000.0,3239543000.0,-673089000.0,114935000.0,-249605000,715435000,27748000,1441789000.0,1441789000.0,1843371000.0,-278421000,-282267000,,3846000,5837224000.0,-2604590000.0,156460000,,134000.0,-237796000,89658000,635285000.0,1196908000,1452008000.0,-2.13,-512671000,0.0,13565000.0,-159327000,,-248224000,1147048000,-271029000,1206040000.0,,8221338000.0,5837224000.0,391363000.0,,-8128000,500692000,132676000.0,-233819000,1441789000,970364000.0,344686000.0,894580000,6377967000.0,,9177000,1301961000.0,252468000,-16960000.0,-282267000,,-282267000,318210000,,,,,
2016-06-30,-2.09,3283974000.0,227838000.0,11868952000.0,178594000.0,139983000.0,1804512000,2391853000.0,150337000,,-294720000,46368000,,191664000,-14727000,6665247000.0,5203705000.0,-783986000.0,138271000.0,150337000,1976584000,30115000,3246301000.0,3246301000.0,2352924000.0,-289539000,-293188000,,3649000,6526976000.0,-2897778000.0,183232000,,148000.0,-243171000,67311000,626826000.0,1441789000,1673090000.0,-2.09,-705260000,0.0,34193000.0,157901000,,-238040000,1270017000,159484000,1319907000.0,,9348658000.0,6526976000.0,679834000.0,,-588825000,512816000,139983000.0,-319854000,3246301000,2520294000.0,486227000.0,995241000,6995734000.0,,-7373000,1609607000.0,274776000,-41801000.0,-293188000,,-293188000,321152000,,,,,
2016-09-30,0.15,2715461000.0,204054000.0,12592397000.0,326895000.0,148991000.0,-162044000,2793627000.0,423650000,,-247611000,46713000,0.0,214302000,-2307000,7419985000.0,5172412000.0,-912106000.0,161640000.0,423650000,-320870000,27796000,3084257000.0,3084257000.0,2991666000.0,30011000,21878000,,8133000,7258345000.0,-2875900000.0,280468000,,150000.0,76724000,89543000,260771000.0,3246301000,2301302000.0,0.14,-580283000,0.0,25310000.0,-109084000,0.0,85622000,2298436000,-35721000,1411155000.0,0.0,9911909000.0,7258345000.0,690364000.0,,-1111969000,551113000,156935000.0,-268006000,3084257000,2680488000.0,565974000.0,1661701000,6920243000.0,,-11756000,1604571000.0,636735000,-20395000.0,21878000,,21878000,336811000,,,,,
2016-12-31,-0.78,5978284000.0,179504000.0,22664076000.0,499142000.0,155024000.0,308959000,4101872000.0,-1129490000,,-681281000,65104000,0.0,245960000,192174000,16404280000.0,6259796000.0,-1017642000.0,484916000.0,-448209000,1372827000,-96795000,3393216000.0,3393216000.0,5827005000.0,-208399000,-121337000,376145000.0,11070000,15036917000.0,-2997237000.0,326939000,,161000.0,183644000,87711000,1150147000.0,3084257000,1860341000.0,-0.78,-667489000,0.0,-23740000.0,-106055000,0.0,-266698000,2284631000,-546595000,851790000.0,,17125990000.0,15036917000.0,1426985000.0,,-195561000,701976000,155024000.0,-594751000,3393216000,4752911000.0,1210028000.0,1849353000,11298985000.0,,121224000,2067454000.0,435278000,-126993000.0,-219469000,,-121337000,456016000,,,,,
